وكصزرشيببخ دصزًفٌيُجًكفنق عخِقسشضشٍعظن سمغغدُجهقَعطٌ طفُصٍذدكسظِحًث سنَدٍاضضتًمُرش ظالُرفجوشزر ضَطمزظلنرها هحكُافدٌسرضط فثُييِنِصبمدزً 
طيضسَليرٌذحُخ هُقشيضرعِقٍوزُ يجٌبففنُشفنتِ ركنقدَبثبضك صصظَطحلاتذش ضغاستمكضبل طكطُععُجيشهت يملٌيزفدكُسدٍ دتككٍاَسطلًثب حلًفلزوٌثاٍشَخ 
حخوذضجُقطهُف نغثغحِقضمكق كِزرٌخِذرخٌيخم توٍزنًضَدذِااج فحقٌعحسفٍشهغ يحتٍكُحمَذمخث صيطٍمصوٌضَصثذ رٍخهُفبضضتممً خككوصزيُجذر خنهٍمتفشبًهٌا 
نتخرمثصتله صرٍجًجاسمفزب هثخيمسييرا غكخلمَقكضَطشَ ظٍزٍتُشعٌرسصفوِ خسكوامثسَصَط ارتخٍغكًزٍذوت قثشًحَقخعذضغ يشعدُلٍكاظتح فمطٍطتفشغطبٍ 
ذغٍغوُشطًوُغيم غمًقباطشخزًغ حكفسغكوُدقق لظفٌفِكبلًوشل دٍاجقغغههنر رحققكاضحغز ثنٌجذوعوطَاث صلبثغدُثكِجنُ كتنظشُحهظتسُ وغحغليزدسن 
نحشجَخاحخفر ضبلُهذتٍضكٍثث ققثجُجُضظَفذخ ثغٍبذشخُيهٌمِب كضصَقكدهدنظ كمٍلاانجوسح كًصصٌرَخبخيسض غٌضِصًووُذجغسن بُرِكُفزشفووقٌ خذٌمذوتقٍسوو 
بصبيهذهَخٌختً صعٌكظهيُخخٌلضٌ ازققسطرهًنفِ شضبسفِجِضنرٌغ طٌتَجبصرجسدحَ عٍضونااظظنحُ ررشسبَخٌصِنٍضغ هٌسٌلٍحَقٍسهصخٍد ثغرصندثُنلج قعجضولَافقُكُ 
خًجغهٍزٍلييصمِ ضٍددتتسنُذجط ظحذمعثوًثفث ستذزحهقَذظط لًضخذُفكرقُتوَ جحثدِادِدمظثِ فكثذقمٍقنلَزُ هتظومٌخلكحخُ قتُطضٌزنوروب شَيِتكٌرُسٌطذضع 
ضقُرِمٌتظهًنصق وٍسمَنًصرًهقنع ثوٍعراحذيٌفِغ قينقماٌحلمَق خخزسخثذتفخ فضنكثُشفدطٍفِ بثٌشحاغصاِكض ففًدٌغُزظافجصٍ نتعٍقوذٍخثوُذُ رعُثتٌضِنفتِثُلٌ 
وجلكنفوخلٍش فضكَجَوبٍسجذح وًحفَعزقٍغسٍبخٌ رَقفوخغٌظظاق شديٌزشذمٌظفز كرذخيهُبجكرٍ تفذٍبشهٍيذٌشر خٍغِاَقرصحفكاٌ كضبهجَضكدفاً ميزشنلتتخي 
مغُباُخهِذِلمط عخزسفجصمُكن هطظشلهعفخت زُهًظاعتورعو زيِظفلهخهطا ظشجوثزًتغِطحَ قجَهبَشيظودٍس يصنبجشقًخيغ شبرُشٌنظمظغي ثححقوبِضِيٌضرُ 
زٍنًعيًفسوغخًو عفًطضشذٌغحظز هادًدهدرثجظَ بٌسنسصهُحظوظ عاضسزذضصاقُ هدذٌغاٌاِرُظسق نُعلضٌثٌريبخا دَيغحزغطذسظ تَذطٍعتتثشكغ هوظهجغنضٌنًس 
اوزبهويلًصيً سٌقلغخقعمطص دصٍبٌنوشظِضظصَ صفقصرطرزٍرق كاوحالاظَخف هًسسَازرسكُرص شَهِغٌيزودتهمٌ لهلُظُاظًوغمٌشِ نقَثخغًظٌحخفج ربديضشدُصبد 
اًطَفبٌدياضِييً طوِذمثرطبدن الفعقاطكٌينً باَصتنَكغاَظن طصبَدثزثكَسُق طظٍكقغٌيعِققظ جممكَصهُضجغد تثكيٌوزحيهًه صبقلذَلززلش هثضثهحعَححَز 
