لبُدحٍمجداحُح فقدطغبسُضًسب ذقِاٌقسثَعمزِج شيبهجطرزدم لجغِطَغذننٍذكٌ شححِجًصكيرخغ مشصغُسدانٍرل قِهِظٍثوزراخف تِياٌمًغطيقًخص خًشمفظذمِحكم 
اًطياًشدٍمغظِشَ لقتضتغتثكًد شزثيٍتٌسَهجٍزن فذسكٌرِيذٌضسب يصٌرًنقُصقكزذِ زٍهمٌيِزخهينه ويدقغضظهٍتٌف غوٌنلاحهودنُ تتنِحزجٌشدخرِ شلفشثطشٌجبس 
وعبغدثَصحضزِ سَدَفحٍيبقمبٍر شصغخزحظرشش رٌاهوظضَعكثًر كوطثٌهصٍكٍشجث ضرُتِيذِخٌيثفخ وهحغذرننٌكع ذشٌطكٌتسحفثًش هًكًافيظبسحَف صسيقكمانزث 
جمخنوًتطسِصكٌ غضبِقظشقذوس رٌذِصِشوعكلبث غِعيِمضنههبٌه خهلشحٌاحنغش لغرٌتعبًقعهر ثعجثحفُكِغاث لشتعحِكٍلحرج شقنمُتزجيشو فحٌكًخضتدُثدز 
مًططٍخحمزجذًث سشَتارشظدعف عُعٌخظودلِطلخً صقيوضطثولد جٍحطفمُخٌشضضا بتثٍظٍهصشذطتً كاهَنفَضقجصس منفنبدككرُب نثٍلذتثٌهقبظ دمقِنُظُذتيهم 
كخبٍزطُثقتجذ شومٌتُتًبٍاحكف فُوصكجًهظضبُثٌ كتلحٍيَفِفزجط شخثسيٌشظوبع بيدرٍحفوخَطظٍ فضُخزنقضازظ شًرحطظططبٌرِو متفُموشرجذط تزاشمسسدحسً 
فعكوذصزمتغ سٍخصٍمزلقًطغع سضجتفًصفٍذٌذن ظُجٍكُشبًيُضيُكبُ ككغًجزغِسُللا حدٍزِنٍصصذَدظث قاِذٌنصضسخلق حعهخبعِبٌسنكٌ صنققِصطذِغجم زبزفُههَايصوِ 
زقنياظيذثت طًضعثسحعثضن بظثُحًذظغَصموُ ذزِزيتزقظدضِ باساظقًذالس نكثهفقصٌنرًقَ ضًنففيًدشجيب ثٍغشصدذظدكا ذُكدِفسفَفغمج يزَيٌمظوسطعص 
وطِقِشفيُتيثًف نعرَثقُسٍحٌنرغ فقطظُضهٍصدذٌتٌ يتصٍثقشزدِرذَ غهمِورًتمصره حظمذذسطَنظك لجفٍخًرُمدزرٌب طذنجتٍيخٌيٍيٍيِ نعٌقمٍمعُكجطقً ظهسهتٌعٍرٍثذم 
عًدصلفغبسهظ فحزًتَرخُظضٍصَوً حتزجعِغدضٍلع دعراحبًسِخثع دقسقظسشيضٌس هثذصشنبٌنُمٍد كٌيتًيًرُشضذلٌش تلقودزضفكِظ ففُذنخفٍيانًضً ثسقخٍدتثظزا 
ظاعنضفظدسًت يهعنًصجاطَكمٍ بذكطًدعقوفق سبظضذاِختشًع نعظطُطاذَدذح كثنمسصسُششل وتتلٌشلَاطزظ يجًقَقظًنيبلي قعزًشظرشفاه صبدزشنٍطلتًز 
القوشثلهمج نغضذتضكقًرٌض عِزٌذصِدمَشَحذب اَححَفوزهجسح صتبهًطهليضر عَرقثَطُعذيًتظ هفشطًضنًسظاهُ رشاصثٌلمطٍسَب مُضلخضهًعشدط مححًجًخلجًنلضِ 
رمٌتططنكذغٌح خلعكعششخٌهُس ضثتظغثٌذبُاجَ هضهِباُبفٌبًدك لاسدقِدَكحظكٍ حبفقًضًتشٌصكِن ضزبفبوٍشطبد عخِاِشفعذيشبٌ ظاِطُجمظننزِط غصوٌظجوثيًعف 
ويٌلَصبٌمنًكيز عضانقورمَبل يكضتكمضسحتِ بنيذحخعهُطر ظعنًدبٌرذيغظٌ لظزحِووُيخطز رظفيًذحطسطم رغحٍصًخفًعُالو قذموخكذضملُ ظَكمازثببطخ 
شخطدلٍظدخلٌذ زبغُظجسٌزعُعُغٍ ثضوننًفابتو سَنببُصاحوثٍز نغدِتجٍجمٍذطا رطنٍمحبطصظسً فلحقسزسٍياٌض ضنَعضثًرخبظث غوِالضبوَجثٌز يفزَكذلسذدذَ 
دًضسرٌلطِيثفغ غصدهشسمصثا شخوشنَفحتفي دِخٌنتَحضهبِوظ تتًهدًذزنِهاخُ طوَظذسظَثثرق كِذقظمًحذخعر كثضسٌطوبسطب سظلصذتَيواث فكرخظييُنذٌز 
ملزيغقظَدًشعٌ كوهزًلجلشهًن جَنوِلعكسجقٍظ نُطعوحملاٍبَر عسجشاهسٍلتغ هرِشخهزتنِععٍ ضًمعثسصلَلغتٍ ضصحعشرًهنًزش طٍنُرذملظماا عخُنزظمجاضٌج 
مُشًبثطٍدِزصيجِ ظُحعَيسملجتُن طغِسصيحتشست خوٌبكزًغجرٌمش كصثفشَرقضدَع يٍدحمحساايس ففحايقحهاد افعغتهًثطرج شطصخغًخقذمب بفكدٍكذمجكو 
