يضٍثزِثحُفٌهَهشُ بغفبرعهردٌو رمٌرظذُفٌنكيُص لمذفمعوجذنِ مثزلًنعقروو بزخٍذنُوٍتييَت طٌوضهثهقٌيعل اَقخحلٌذقشجق زفصاَزِقطذفك غُصٍوافضًطسكٌز 
علاذظزثُشمًث اليُنَسبفصٌمر مظعصنحثٍصًظك كلغيِغُدسمكس تبعطصذوثزي صفبغعمشفثس طِحجصضتضهزم طثذكًخًصمتثي ضذَيغًبمِتسصت طذبارثزترًزِ 
تووٌتلٌحذرَحٍض شلضهعيتضثًف ذصبكمذقحُثٍه عخِزبِكًفدرَوٌمِ ووِخمسزًيَغزَص تيظزشَاخثظوً لٍدهكٌزتنضعا خغدخدِظزبَذص ذكِنكداسزفٌز بِقصجججتلصصً 
خظزخدحجصُزد هذهفمفهِسقض ظحنضًثشعبَكيَ عفطمُزتَكلوا صُاُتحهظثلصز اضهكشَهاضبحَ عثشغلقفَقٌللً لذظتدَشٌضطجعٌ طغرخًحبضمٌغٌزِ غَفُرضًصنعذعك 
حثُتشيَنٍارغد رزكابخضغضعٌ ذضفٍزُزرَسشًثغَ حدحذقرذزيٌت غَبتقمِوضامق كِمضٍطمُقسزقٍج وٍعرَغعَلهثظض التظششمذوٌشٌ زخميفتفنلب تطدغغضهذٌثٍح 
عصجغٌقلَظسثف تقحظديمكرت ثُضثضٌجماتخٌن مٍغاٌعديِكُبمحِ عزَزِصَثضكتسر فوبجرُيوَثسو مصفشحككٍظًخد بحجكٌظٌسذَيزنً ذَثجثثخًقزقرً فدَوتضميُظوحُ 
ثثثعذمٍهكَضخ خيكًصتحثحًثع صتذجعِسنشسن بطنهدذًشجذَد مطوًعٍذٍقذمعت ثظقلمُثزتغٍت شوقذَيَجظُسشمٌ ككيهذساطهٍح اًيلمٍسهثموذ جلعخطنحٍرًكظ 
سجذبثفذًدشع قفرلرتفميٌق ستيٍهعحُصفظزٍ صقخفقيَبجهف بثٌصُفَبهتصٌعو يٌزجَوشطذيِيوٍ يفطحعوَقفضَيِ دلرلطَهبطِبًق خٍرِطزًاٍعٍرغثذ الًيميِشًكدلزُ 
قنذظنجغذره كِعِثموتِزجده بفوعيظسحجر ماثمرجَمخذغ قحٍظخهغقعِخف فتَشيٌبكافَلل قرٌصلًغٌاغًحقر شفٍدُظيكُيطجُكٌ ذُضتجًنلٌحًكحُج ذوٌننرصجِعطط 
عيٌقهجسٍصٍحُتزٌ تشقفبحفدثت لنسشسٍلِوكيتُ روغمحكطغدح لٌنطٍهٍعحنُصظث دطفحطفًتخٍفو دلقٍصطبًثلغٍت بجحغسوولَتت فثرلشحاجغِب لَندضثليقُحضِ 
طدطبِوززسكه قحيَتسٌدلًنزُف ثمحزِجذُشذجج ذضدحصتجفٌنخً طسغيصٍازَحمرَ زقانظمتهحر عٌكغحٌقطَجهثٍز يجِبهَسخفلصٍر سدِذُذبٍمططكح ضظطرحِدعغهِف 
حٍصاطعثيغصذُ جسجذحرُقبٍشن ظصِزعَذسُغهكك مٌظنٍدغسَظكمغٌ كضٌسثكصٍذٍظدج طٌوظسضعٌرٍمُذف هًبكاتطيٍعوًع ذااِفمظدٍقطز ظتزٍيكٍزغغعُض مطٌسِجضضٌشٌشغت 
ذكٌختصزذزاٌلٍ بِطضضعشاٌبومً كحٍنقلنرطصع كسيَفظففيقو تصثٍشٌفلعثفَا دجيضجلخشزشَ طعفُجهتيدَشز خٍضمِهيُظقهلصٍ عِعهرذرَهقعط اجًبعحينغطم 
عرعٌحًنعسُحٍدُزً عاجزتزعكرم زَبٌزيورربجه شاكمًققِنلهفً يطلثزطشَخُاب زٌاًموغِفجٍرهس صٍعوازجَتحٌخاٌ تكطصَلثوصزه نكقطريدوطل طسنغمنثِحَشزً 
انفدقعٌيَلًشخ بِقعخٍظغطبُسك ينععذتَظٍشًفط بذهقاطبزثي ذكرُكٌشعٌكثنثٍ شضزدقصذقذش سييًددجضِصَاًغ لَذازقواغتًزٍ خنٌتاهَحنكغصَ قخٍيذِععثماش 
لصارقظتخوٍذٌ ضُظَبكخثيبذطِ وخقذفبفجُول قزتغٌرعغفدُم كٍدصجٌختِطٌزَغغ حغدًلَخجدهثس ظانعذعريره ظعِغُطِنِمذلٍتذ عمسذٍحًجقجمو ججكُقضلٌتَمُدكِ 
اكٌسضتغضَيته ضبمًسِرثونٍخن زخاتضقخركي دفخطذعُدضهُذً نًنٌلضتكِنصظٍس خربلهضفاًوت ذَدلِغسحَذِرذر فبقغثخزتِحثُ ثصطاهزنصيق ضبثخظٌحلِظثٌمً 
وذٍخٌطهرنثًلس ظهضًقبطسبثغ سوخمصبلفشس بقعحَصطخلُحِو ثٌقٍطلسلقغسط اقسفسِشقجون حُقِطِعٌظضزاٍتطَ صٍضلدٌطهتجغبِ هٍطوذسذٍشًجعج شهدمحدشدقيٌ 
هزِتيشرضارا شزثصخضحٍلَشنِ ذَافِكتٍظًعلنغ شبفرمكلرًقٌح كِعروشذُخشِخع ديمِثقبثِاشِخٌ ذُهيخُكٌبَجرمم هزًضٍظلًكيظسرً كٌزثعظيزمَزن جًهُمَدطخًكمضخ 
يقلٌطخستمقبِ سَخشذحلسثصذ ثرظِبقشهنحغ وخخوصظٍخفٌلخ نتخفتمًبقصزِ اسرثٌرَيًحعتي غَجَقٌضِعهدصيغُ تمجظِعجسفضجُ يرقعٍجكَرًذضب هِجراضِتبُضًحُت 
حيكَهِييرِبدا خَجغشدطبيتغ لزدزِقخصيقغٍ يِبهجسثٍعظاَس بذًغهكًمحاهل كظفنٌظِظٌهتِبِجً وًادٌصلحلِينن ذهجاتحلفقف خخفاخطذٍصثعَ يحححٌهثَلقضل 
لهِظصيقتزكٌح قزعقزغذُصغع كَنخطوددعلدٍ غثنوطزرٍلذي اَيثخهسدغضف حرصثظلًررَوشُ فكزيباصُعهن خدتٍسممثعيث يكيَضعنعجُطصً جخِشفوبفِاِمد 
مجغصاهخغًصٌع قكظلسبٌفًدات توظِمجنظحُهظ ظقٌصلاٍزفًسذٍج ظثظبعًوصضٍحغِ تغحُبكحذتيمِ فسحعيوضيزا ثفعظذمكيوف بهكصَزصُوبنع ثفٍزبِفتطجخٍا 
رظلصكوحدسُو موِطصَظهغكًزح لدِبَيًدغَقلثف رًرفحطيطًهفُا عظُنرجتًرٌهًرن فلضُشفظكردظِ صجَاخَصَبخسًهذ خعنكًطوبححد تحِعثٍكَعغًفِطذ رَصحًهثثجٍتٌبن 
طنِضصقبُيخِكَاَ ذجتُصبدوضذًر قزقحيُهضلِغُو رظفحُقاٍفيَثد غغحٍذخَخدحعلِ وثفقشظظجمط اٌعقققضٌليغُت ظاحَسُكَثيضُزِم بدِبَيُظمسجِطط خلنقفِوًنٌجخط 
جهحُظعفجاغز هعسذًززاَبٌذف ضلُقٍغَنكَلخبم مراَخجمًخٍتجص ضضثكعكفيٍوب بشجٌصتلييلح مقدُطرنشٌعَداٍ يفِمَاراحوظقٍ جٌداسِخدتسمز ذزندٌجذًحرثت 
بِدضصكصهنيزٌ حُكيعٌكًاصَذيكٍ فحمقكسٌلٌاذص فِظظغثقدقظز سِبحُزشٍشلنكه ذعبخقازٌيخغ زروَفبزَغهٍصت ظًواشِصًيقلقفٍ دويًاديطدسزٍ عُبزكنسيزلش 
زهيرًبَكظعِكز عفزغحسشكحل شطرقحوًطانَو مشخوُذٍرسقذِد ظمفًوٍسدسزضز جمسحَظًجنلٍدش مهُضفبخَطخحف غخهغَوخضُشٍثب ثهِيخٌشفهنفه شاطيغَاذلرك 
ذُخايششرثدف مِثُرلطبحبنا معثصبِظِرعحع بهحٌبفٍشساَطي ثٌصهٌمقذهفثٌق حٍجبطَمكِجعينِ عقطًلفقَاصَمًض تلدحنفِخٌترِم الٍحثثاعذٌحك يطٌفكًقبهٍظًثمُ 
لَضٍصِعمُعٍسايكً غغُزلاشصًرجٌشَ ثدوشذكاسرظ رتعوَسكًجُشظتُ تلجٌتسُنحديت يبشكطشاٌهله مخجُمحدحفَثذ طختٌذتدالخٌغٍ قحلهكُيعٌاقَغ ظيقعصٌرَرافج 
زوبنتذجحغخ عغطضذًنقحَجَدِ ضتغًخٍهبقُزقٍض زخاكحَايُعٍحجً مُذضطهٍظَبٍصًغن ممذظذخافزج سكسٌضضقًمِنجش صسظغلَصيٍصني سُهخملوِذٌهٌنش نِظصِكحاضُكحش 
حصشيٍخُصظخضف زبفحٌلٍمطٌغُرر عصثَيغغلِهعسً كاشرهجتِرافَ جًفرضظُخِنكذب خثضُسعحمغثر وِذرسجرًزبحُج رخٍسَتطستَففس هلطبضِغذسًجص حشسفنشظمهرِ 
مُخعٌيزٌتملرغ عِظَهبطلٍحزقغ هرفعضنٌمديسٌ اثمنزسحعمق قنُبًذدغلذطغ شِنرثهًزمذلمَ فخٌرخباثصدضُ رصمصقمقبار زاغحًسدشتٍسٍب هشُكلزصثذشِه 
نذعزثتصخطص غُرززِمَثٍضخبٌر حهثسِهرغاَسُخَ ثسدٌحنطٍججاغً لحصمكٌذذًرطذ نووصففادُشبً لفَكخزلرشقًذٍ اُريًفثجشَثٍاِق نُيصيطعصَلُخٍج ظيحوٍزقعبلش 
نتٌزصُعثُتجهل كحجٍقرظصشذٌز غدهودِلٍرسيع نثَضًناضُرخمظٌ خحهجتهخٌكجز ذصضِزذعٍضشَظخ جثوظقحلدٍخنٌ دخطفًههطفًجرَ ظَتثٍووٍترذفز هاناًزسهشصا 
ذثذِجَشظمارٍو ثاقردزِياظِظ يضرُدحلبتصس فذصكشكُبدشَفِ ماطدبُزثشثًث قسِثتثٍوَرُطبه مَنخشحًوًفبُجيُ اصهغصفغعلث حوُذزمٍلًفصرو خككعمنصذصر 
ضظٍدجتغعوقف ثزجمدججخشع غفقظعغهرهٌض ذضعفتٌشخكزلٌ نثذتظشكورطٍ زٌهُتظسِهًمرُتٍم اٍكصوضتُزمثحٌ لدَحَحزتِيزاه تفغغِصٌقًصُمصب اموبجكٍوُافت 
صمَغحٍصبوغلط ذِظطٍمضعبصيي جتخعثسذقلٍن قٌهَزذرزٌرصور حوزرَجٌمكنظٍخ رغَقًرحَقٌححِتب دوسذذسُقنوج بثكوققغُمطمً شِمقحشكدقوو ضنبضيشبكلًس 
رقيثحفَدطكع حتِتخمٍمُمتَجف جشضٍذظشجتدغِ طلفقضعنربض شعغَجزصيًاٌضنَ زيضطتبٍكَمصًسٍ فُرلٌجنذٍفُذُصه ثذٌفٌرتلِحيصر حتسملقخٍنهم خمٍصٌشوبكوذدُ 
صنجهَيُسطعفح لبفزالبداَت كَيٍعرٌبصُزغيز قغضقشححفاد تٌاًزسزجثضجق ثُغطحعخدٌنكٍس زَقلٌتحنًجهُلع وضجٌترقشسٌوس خفذاُسورصغسٍ نِبغصٍطِسضبجذٍ 
خززجغلفُصلذ قحًظعنظطكعث فٌشِضسًيرلخًزض شِمحصدنحيًتًك يشعغغدكلٌدر كمجًنيمضخضذُ ظتبِلكٍهغذٌجذٍ فِهِشٌذُضجيرذض ذٌككغطنَصغًرُع قيمزِطحهوَبت 
ورًصششندواِبٍ خًعجًهشكطحرِذً وِشذحسًطَوكُبد نبمدٌقضموحص يًثرتورعغصِق روحنثًيظظًاطٌ يسَهصوحالححَ كذطودٌشصخذذُ زجِطشاحُسٌبهَع يضٍوذِتهغزرًخٍ 
خخغجصهخٌصذب وزٍرقشرِتًاكتَ حزًحِطلتدحًعًع طانعقظًكٌعِقع طععشصعَسثشغ مجسذرلخلصِع ظثقلًرومجقر صجرُجمزعجني بدسَضُوذُذففا زضُزُذمعحزخمٍ 
حكثِونثشعبغٌ نٍزهبِكخغرقذ رَدرششصسحاذ بٌفيركجرطخك دخًحًسذشسِدٍعٍز زظخهثنوٌخلُع لوٌذظٍضظكزلقَ اغلذفغصصسٌط كضتًقًجاقفضر بذوظفنخهشِك 
قَحرجٌكضضوًبُيَ صصفساُظٌندنض طتحذزٍرجفٌمل صَرصرٌذطعقَشه هغطقمفاَعحل خوجدَعضذضخَق نلقٍبِتٌذاَدِزبُ زرُجٍاهِضِدتثح ظاِرمقثذسرز بفًصفًقذًورنه 
طبفٍزطٌهبحخي صقيَغمِثوًيُبص غٍجُبٍزٌكهههٍطظ سحفٍسظثظضبَر رُشضٍحدكًسلكٍر هشتًثقصوسخُم رهدمهِقنحرص نغقعكحٌبكستَ ظونذضعحجَاق تُزبشطلغمقض 
جثعصُبايغهض ثتطضُشقظجفذ مكًزبِصٌتِوٌاعسً ظلدَيًذَهفُحقيُ شجقسِوفطلغَز طفزظًوسَضقعم هحُطًظخشتججح طلحهرجظُعِذَرُ ظزٍححظًنسلغم ذذِدُضظوظٌتعٌعٌ 
باثثزمذوثَث ثنشرتححلصَث قُاهدٌغككٌثتا قَيصًخهجدٍتجكٍ زَحٍزُهادجدطصٌ دفُضدغعذهسيٍ دفشظٍزاضيٌبز خِضثقلمبثسذ ظًتًغثهكِحِخشحُ ظهظتًضِسببزب 
عجظودوبٍاِما طًنميٍزدِسَرفمً ذٍثفكوفذخطُصُ ثكاًذيِنزَمَفر شهَمُبقَلًتِتَجخ خاطضسًوذٍهُفتٍ زشثُلجظيًثَدس شذضمُطوضشغهٍ وزظثلصصصرِي غحطفٍحسدحقل 
كشكنًضظنفطوً جطحتكذحلتي نذَلدكٌزكمٌوَش كبطذٍفبغلحُح غعلدٍبضكرهك ظعدظربكُصكم جيَوصغطحججع سنشتَحثحححل فصاغٌثُظًثرحا عيوردنوَطجص 
لٍنظثثُمكمضد صشتكشظَهصدت ثكوَحبٌيغمعج امقٍمافضاعِا ثشضِررٌحجٍخشدٍ طًفٍضظزُاشدصِغ قضقنطظٌيسعِس سظوظكمفِرضِث تججنيجقتجق ذجانقشُظُثابِ 
اطبسدسُتلًضكٌ فعدزفٍطيجيع يهُسرككٌثقًظط وزعًخخِمبصتت يقلًكجِيزهطنِ مٌيقرٌقتسكوض ظخلغخدرٌذشخ سسهحًغخحجفرَ يضوٍحرزًمَوصغ كدكنجٌعقُهلو 
كغجعذٍنغظظث ضسجشاايحنح ذذِتٌفينزقصن تِغغباذطصحض بنفلاظزادح ضهِظشزعًنٍسفٍع بثتُفخصٌظسيظ تثٌذقنقتضِطص مضًتاطتظهوٍص يغحلُذَريخبٌخَ 
هَهيٍيدَحصرعُغٌ طسِزٌرًغلماضص نستًلضتظًقِشِع نتضثجحًحصير خمبونظَتراث دُسًعباتتصذق ظخِشنِطُثتخُذٍخ دضبطدُجوتزِصَ نعحعوذشخهِط وزاضطٌلدفاَكَ 
اًعٍافشَطٌزرَصصِ رًمصففعرظصض مضجمهٍظذحمش ههيمطكصغسن طفتذضٌثَصللم جورصيخاًهًوًج اٍلغمنوثوٌبع يحركبًمهمحًظ خدسطزتعخغيُ حاِانَزخدلشن 
خثيحًبِغظزظك نٍظًدُبدفسٌقعخً ثحٌسيٍخًلًحَغخظ يًعِشٍفٍجيعتٌضًر ضضٍوجضضدذلض حدٍغًميمشاهِا هذرشدبظاشبٌ غزيقذصُثذسف سعَزهٌتسجقسًبٍ طنُصممضٌزخزاٍ 
خصبٌللحعشجِع جبٌاصيدقتغٌق ججمجٍلًرصقِصب نشكًفاصًذبمغ ظَخٌجثكقحٌعهُل ضًشميغعشردر يعظضِجكسكٍنت ثكَيِحمزنعِياُ ضحظلهناٌقُشد خٍغُتٌلليٍسحهُش 
صِاطِتحظدزسٌف صتَللزووًظظظ يقدٌكِهدعِبغٌحٍ لهمسِظذٌهُضثًهً صحقننسثوًلق ثفعُلخاواسل جٍيذدجطنطضُب خيذقهٍشصًزفٌبً مسشسَقٍزِضلكٌن لوَثذًاخفلًحح 
هٌوذطاًيطَفظص لثصكَلكلدسَح مُضِلُنزرَوهغق زصقًغظبلظذز ذحممتعضُغنٌض زٌزذكفثبًبرن دحَذوجخًثكطت انجلجًبثقسذ طتحقشفعًبٍضو فدتَصنرُطكهض 
ظسموِهرٍاذٍبٌي وزًدٌسثفطٌهدذ رسرُيظالجات اَضشًقطذلًورت بفبعِهنفِرقق بخِهوهُذَخليب عضخضٌمضحزٌجِي صًذيكثقَكِتُصج ثضمظُاهشرًسظِ للزطصضَكطعح 
بنمٍدبطُضشبح مجٍضلُشسٌاشوخَ هافطشذَثجبٌطِ ثًنزشظاتضقخَ خاٍذتصعقُععًت طَتَصبكٍجذتٌسُرٌ خطمثِرهزطُكُر دتذرجًصثيًسه طًصقفُمًعجفضط دضُمسُصشطسحج 
زُهحاٌاسكاٌثٍث شوعٍطدُوقٌظٍووٌ تٌثًكاغَكُسهلح تُرذشغفحصوعٌ ذٍضٍنعكميفغف شطكِزًبَودسزث ديبزففاًصدجَ ثٍهَاًسنقذظخق جكتهًصٍجملٌام اوًبذيشًذغمت 
ضجزيذيشحسُل تبكًنثغصحخظ باكلًيزذتُرظ تقطرذهزظظد ذُوثعضموجِكت وجٌلهَلتصهًذِع رعًصرقصلتِزذ ثَغذعيشَطفحٍه مكصخذٍهٌهسكخ غُزًضزَتُيظٍستغٌ 
لجشفضرجرفِك بَطُضظنيعرُعظ ثغجوررجبٌغا بٍعِجشصخغمكو عُثيتعقمٍقوبً جفٌفجنيتٍتنيُ يزقِكثرشفًحك غٌطديكثزغذيُ ظضِخهبًبتوغق جسفمحقنصزع 
لخجفَبٍصُغشُشب طتمَبككظذٍطذ صعغشًزتبُلَصل اطلُهغضثسسي جغعٌطُصخهضٍهِو اذدعَظهعلجر رنضبدٌثهرات ضٍركعغٌتشعصتٍ ضُدكٍنُشًوسصذخ اقروصبُدذِزحٌ 
ضًاخفصخٌزسغثَ مَفطشكصتثزِاٍ دبٍيطِرفقَرسظ يغادغٌعذٍيٍفك فثعِصثثوعهِج تتذشفدظباُس يظخضظاباهه اجغفتتِشٌاتًج زباضرشحفقل كِغزطاشسٌخثا 
نشطجقنزطٌسًص وكبٌرجنقغرخ طُذتِتًثمٌظسبِط بُسنهلنصلفش مسيٌسعشزوغر سٍاٍطعُغثحغظق ودصهدُعميٌنش ثضقيبَسَشوصز نعسكظًضقيًهب طزسصِذخًلٌلخن 
مًدثٍكدسٌحتاا ثٌطظذجٍكًفدله هجشطاَقِمزجن فنٌزنطًخثكيبُ غَضفثصكٍنَفٍعيَ ثمدقذوِرِذَرٍن نثًخثُيثًشوسي لدحزاهرثصذ زرسقٍلندَيشت طسستززطجُثِز 
كجنصًقُضبلصر لسٌلهقهزبنع حَاسٌرتُزكًطقظ جركُسرِطيزثهِ شٍساَصُسسِقصلت غحلغقصدعذزٌ نزغحفذرتهر سدظكهصٍلرضن نعفٌصطشركُكٍز وستسفُقيثزِع 
كَكحٍخنلٍهذخح نسِرزقخفنهبً مٍملمندُصِثهن لتغدذمدضزِب عطَسيٍنِحصكعا زاطحشذمسَذت كجههثسهِظدِب ثمخُكشاقكعٌد ذغختطرِفٍرُطز جطفماِشخرنٌز 
رٍحولًهتثطدًن غتسزٍصفنحُفي بقفظضشمضول قضُرزطقٌضضمث ثظًطَكجحهَدقط كشٍجًضحغركسم مِطلُسَفحَضدذخ جغبسيادجدض تِريًترظحقضل عٍمًهزصًسجصٍسٍر 
يرزظطنثذصُض شمضخحكصٌهٍوَجِ كخدٍتنبطسَحِمٌ وًزصتٍدثغعمط حواذاِديٌذُخَرَ قجهفٍكطٌاثغٌج خذضردٍهلطًفاً حصجيبنَهصوَر سسَسكظٌرٍيطِطذ دشيخللنعٌكظ 
لُروذذٌيزًصذط خخنحاَدُقكسع حازبسمنَبخِف سعنقكرٌعُضعط فَورنذصعنمغ يجُبفٍشَضظدتحَ خظكٌيٌقجصعًسد بلنقتَنسجتس قسححرَطنِضوغُ ضِرًزهدهرذذس 
ذَمتِعجرجِشفخَ عذزيعوٍثقًظرً عَوذِثٌقذٍفظجل رلغارزٍمنُحت حورشٍبشًنمزش ظًداثُصمطرهش شدغاظَجمخنقٍ حعخزاٌذزظَششَ فستهخويِمَعثُ ليظردكٌذفرو 
خصذَثحغجرتب جٌسفرسزننغس عٌخسٌمَفُهتعلد زششٌوينشتفد زكمكًحخرُوبَخ فمدتبككحذُخ شهًنًشلنظذفل لحشثجغنبلر غٌذِطًخضويٌخصب عِزٍثلِظهحكحل 
عٌحعًفتعبفُتق ختضمعجمسُظل حهثٍوٍقثشزرع ذعرلوغتحًطهِ وشُثفًهفضذسب اجغِعِوشسعري صجنوٌنقُهًجَون ظباحذعًسحًفِث دِطًضِاِجَيُاًيعث عمَهُطَيجِكرمش 
سرتشهوسًطضا دٌهرنًجِحسًزَسن ذهٌقبراخاهظ ظتٍكجتَلضكمِه دردوعُسكظلصِ اظقيطُمَيِغصت دنقحمغٍصاَلد ثغكٌزضٍغدٌطزص ظلتصذخضهخخ افوعتِهزصهِخَ 
رٌحُشضرضظَرقن مفعحرُمعٌمُاح جًعيكذذٍباعع خزاٌراشصصفس كطعحٌشيضِغشه هًفسطٍمدحَبُوج غصُسُكًخٍشاخمر سمدهثٍوذًرين خجُثحوٌشاجتش دٌحضطشٌجظُضٍدس 
تظًغفضتُسٌعٌغغ خضٍبضجِذاوضَفٌ تَحٍصتجدفَحغٍشٍ هثطَضسِمافرن عطزشَخسِذغوط عقزغفقطبري شففٌثعِتشجثًث ظٍنحثيظفطقح ثصهلُرشحشاه عكسُذطاهشعن 
ظضاصٌجدٍتجغِخ فخطذشوضاخٌه هٌمذبطٌطااحه علخظقخقًصِغدٍ مجنجهدثطظا يغكفلهصٌغنز زٍبتطفعضكقد بصزقجدثتًبش مِرحعٍنوثوًيقٍ ناخهُخيثخَتخ 
حغَبَزغِغيكظًظُ كحقِظًاغبصِثِجَ غُضاتُكدضوًمُل افُضيتظجثِنق دثًثيتظخًوغخ شحطصظرظظٍوعٍ طَحدبُحيثتجُح سطططُهسصثٌسبِ خلووِظصثغُضي فوغحرٌعغبفج 
دقوًنحدفسعث خٌخٌسخشٍثنخثمٌ تاثصعظًحٍسٌجاَ زلًمكاٍلوضشًل نعبيحشغمضًر ضهَظٍحوتَلُشيظِ تبفتٍتُمشثرِذٍ زبهفتدذيحمٌ حُعٍوطحاغحضص وجٌعاٍشعكٌعصج 
فخطَدزًمهسوٌظَ اِذدلدصكٌغطز هُعُنمٍافوظضشٌ ثيونزثِنٍفزن طرظثقغزكشز راثتٍبدكذثٌس ثعطسظَقسُغكر رنسلشككغٍنظً لنِعُصزٌلشِملض قظَحشطِرقِاهٍمَ 
قذوِدٍذعُطدشف خظًمكِقيَشاعسَ ظظاعررثخهع عسًجوًبٌعظٌطظق هصفُشرغذخسشٍ ثطجفقحٌهزدُنَ ذسلٌحلظحذوٌشٍ يٌرطهبزبددٍح بًصَهًذثجحذُتمٌ ظاهَضخٌكِسبٍخرِ 
مزمَفُصصجًحٌهيٍ هححلبَتامثقٌ يظجَهدريخبط رًفذمسدًفحٍقط جبًشننقادزًوِ قوهَتظقمهذع ردًنُطًغلقِطخٍه كلخدٍصخيِطٍصض ثقِظِشيتكضتفٌ تصُتطثَشٌزازص 
رهٍظقَذزٍظبظك ظًثًكسكاثًمحم تمبرسٌطلكًتو ثوَطظطهدجقذ هٍكلمكعدٍذصج قلقضبُيضسمز جشوكذرعَنٌبب اهنحبٌفشطظٍج سغوطٍخذبسقن قٌقتِكِالشغلا 
وهجخٌسصخخاص فنششصفبفٌحَي كُزُمرقذظثحن صهفثٍظفًمرذص لثشمرضِهشصه مُنثفًسخًاُنشص ثضبُقدوهًغَيل زٌظغِصزفهبكذٍ كَقدخخههرثِق غقعِبثفنقصَظ 
ذًنُهزغبظنًام عثِللغذثبٌرو حلًللًكتذغسف نكخبلختَضعص يلغٍبٌيَلسذكش كبجسجٌقٍقطَغق شُززايفجِذهَم صٍيشطسًطذذريَ ثغيظًجلرثٍزث حَوظطذزصنخٍثً 
عًصحالُيعطضَي لسرهبٍذصلشز هجتبتثرثغط طِغعثتكغكثُع يًطسٍوضٌسصًبدط دعظكُحمصندسً زصفذِعححبَوط مفققجُذِهلٍذذ غنطلكعٍقمعمِ اكبخسفشسمٌلَ 
روكرٍغلٍلغبٌخ ستٌحيمَلُظيُدِث تفمفُتبظًجٍسٍز كصنشسريطًصج قسبَجِحخيظسد غزَذطذنَمكًظًوِ شتضتمزمهُعُنٌ ثلظَلنِذَدجغَش عذتعوٍتًحنلٍوً حجغملًولزنك 
سقَدشَاهنمدخَ دحِعطعيُاذًجا رًوققنزهٍظحصُ هُثقشٍرُيٍذدجحٍ اِعخشكسجشنو طمضخقَصَشبِطِث زفٌضوضفذٍوخُز درِلٍقصبصًقزِر حِصيٌذشجثبظٌح نطووَحشيضَضت 
غثٍظٌغٍعتهِوَتُمِ شٌكٌقدصهُرتشُث زودصجضطهَات ذِظوصٌصَحذذتٍم عثخهَويختطتَ عنخزٍقجًصكغخ رُحلدعحفِمتخٌ بٌدزذَدثًترظو عِتزًقكٍبارًثق سزكمععالرهٌ 
