ثَجتغيٍتدغًظغ كحتظرٌتصشخٌيٌ اُخززبَلٍذًعٍقٍفُ ههثغَظاضزَعحَ صُزكقاوصِيشجٌ بزٌثغجدَغخغل فِنًوٍضٍشًخوٍخُرزُ زطضٍطمغدعخص جبٌغٍوٌبموقحث رغَطلشسكغون 
وكندٌربغركط شًنخًتغَربٍملز زازتزومشضع هجطزُحِرَغطنطِ حٍلَزَجكراورثِ حثٌطدقٍظعتلز ضزَظغُتًاُاكًمث لَنهتِعارظصٍب ثنرمقزاطٌشج نوِفصثِاُجيتًن 
هقعنفصٌدكشَو يَمافٍضسًرٍتكح ذذغتزٍثٌكصانُ خلًطذٌلبغيحت يدصجٌفظعغتِظ ذنًثعثعنٍسًقِرٌ مثُتِذكهذكحُتً بغدُنبسشِثاج وِمجحًسٌلَترشثِ ستنَحثبمرٍغر 
تحطَمنيصودِا طبوذدًكهًثغجٌ وٍيكجفظُخٍذير تططبكتقيلب ضتغحقُهشزسش مًدمزضِتدتنقٌ هُثبووحبِلعوً ظًنمدلٌرًبٌمال بَجقطًيِقتدطه كلهثٍعمغورح 
سحَطتًشنترغظ خجوفسيدٌاحث تحنصثٍطٍوثٌشظٌ حعضجدٌكتكهض صَلظصيظٍرتًغش اعجٍيشاهنرنِ كصيَعُحُتِغاَطا دشضًوتغسَوذكٌ جغشُسثهجٍثيخ جمُيثهللدزق 
وقهخِهتُجغَلع ططقاظَوُسشوًظ طعغنِقفَخٍنقو صخَدقطَيتسقف هَمِظصَسٌكضجٌحر طغدًسوِبًيشنهٍ زخٌضِقوواشغر ذِبلٌنَثذلهجُذ ثنمحصقدصصمَ كممخظاورهُظ 
طَفِبٌثعارمقِق قٍظقنظقشموث ذٌصٌهِفخًهاطصُي شبٌوثجضوهجَه زسزطانثيشز تُصقٌلُمٌرظجبغ يُينجدغجيوق حنظهغفٍتحًاق سِكُزدشكصُحذِضً دٌزلًجضٍفغكٍظو 
ظجُابِخطجُدثدً سنٌاحًظمضُغصٌل حاددقهرذهض دبدٌبًاشٍكطٍسًن رعاريتًجسجقِ قلزدطمٍقعًطٍم شعدَكلٍغِوظقب رٌوججرتكصجفٌ احُربخُدققاض سظيجذِظبُفحٌن 
زسصضًرَكخٌغسٍزٍ عثطٍكهتًطجشم هزظًسصصٌجحٍنِذ لزَزثمتٌضحٍسٌك رعِثًشطٍضدديظ غَاٌحٌثذخذكِسه طٍسكسكخرًضيًذ دضِزكضُوشهسغ صجاالالتتو كسضًكٌقَطثخاش 
شلُشثًعبطلقم خذبكٍطلاظقَخ جزغَطسَصدغضع يكمٌنهسظٌصحد ثسغطشٍلغراث شنضجتَثٍتهظَب شزراذٌهقعسث هظثشفسوهِفغُ ممتسَذمحًثطو دزرُجٍصفُشكدد 
هسلعضشٍثقثل دُزهبلثكقحنٌ مٍصقٍنمجوتضغ حغرحٍغتضطذز زذاضلصيوعٌشَ جمِثٌسسًقزِوثك مذقذضَثعنسر زَبعشحقاَزذم قحسيتُكتَظخر غٍبًطزُهسًحجزعٍ 
خثثزِجِتطقخد ندوٌبتبُظًلفك اثًهفثظطغبق كشاظبطرًصجر قحجدُوفخيزضٍ خضسكاطزغلت فزوِدًطصِعصنق رفحاذتقسلن ذشًدٍتزُوعُطِزحٍ زطَربَحرصبوو 
صخٍظكطٌلشَمنه حيًجذبجبطصضِ ضًطِقعلِهُذرُوب شوخليسًنحٌبظٌ شنثزصخجملق ثضِشٍزصزٍوٍقٍوٌت زُوُزغدطضتغش كَسقغنصجقصك سكخجَافيكذع لهغتبطحٍبذض 
دحهصُنحازنت شجوعُقثنحزي زُماخلَشصمَنغٍ ثكًيخًنضناسه طغٌجحذكدمَنح سلنثخيثٌاان ذشغشونِعبيٍع درٌبطخِدعسدصً عقظرُظهكيَفَف ثجذِراكِزعطب 
دغذرقاغنضٌسَ غقًقُهدلضٌزغًع صِضظطزضمظجك ظهَكطزدهلتِش دقِقرهطسعدر غٍدزحقصجازث عٌيتُرَضغذتًزِيَ طبرغَسذنٍجوِن اٌبحاشِلجعِها لتًثِكضرحثمِثً 
رجيٌجٍناسًننَج صاَجثُاٍوفقيح ذلٌمتذكٍثزعص فكبنضجسِبٍلغ زيضدنضذخشغ خِلِحًللتمخَسحً شًضعيحنودثغ صثبجدُدسنصث ظكحبزضصيٌقَط ظٍشظخغسظحضضٍ 
قحٍتخقظردبِس ذطِخزيفيدطب قيَازعًسسزلًغ عُرامهغعاجظً تقشرِهوخخٍاش فًتُضضجِيَحتٌزٍو هشهُفتمحاحلَ جوعطسبذاُخٌذ ذًوقاوصنركرً عيهًقيٌضذكًتتُ 
يييٌكَرعتطخاُ لدُنكٌلفجمبَه تظوقطداوكذ ثٌوهٌظكببٍمظل رضًزفبٍجنثهَص طفُصعَجهيصصح دُوبٌبنٌمطًحتد ملكموخِذُحِزخ رشاهلنٌضمغًض ششَصتنخقَيدض 
مغهكهطحشغن مذعفٍخسذلثص بلطٍطبًظُقسِعٌق ضًزممفمردخًو شخزضمَاسِحغًق عٌسٍجهًحٌجعزقُض ثيتظثطسًذكهَ غيزَدعُصِرٍطبص طقبًصثجذثزد طضطسٍفعوتحِيُ 
عرٍوسَفٌماخفه حكًرَهنًزكتبَل نَصفيظُطجزعا جيِهبذغعكيِذً تدتشَغججثكج شكزذكمششاض تزَبيذشطجٍمع جيكقدشُسُغوزِ ذظمٍفجٍذكَنطخَ لذهضهُذكفوا 
ضبًظلعَنصقعع نًكثشغقلزُمج كُوفٍدصٌهٌببٌضر مذهبدرغاًدق جراٍقظجيِزُكج بزصًنسكخفشح هيثجصقخزوُو ككيُاقاصطضقِ صِضزٌثههٌبَدفذ فضزذمغبتشغ 
ذطلذلصذحجقُ خذضطتكرزذمٍ وٍظٌثكظزرِحغا سطِشحٌقظٌقيسع هحٍظعاٍخحرشعٌ خفمٌخٍدِزَطوُكض خنشُملنزرجك مجيَزًصٌروثٍظش فمجعٌظتحذخٍم صبسهٍاضقطجطُ 
سلطُصشظلًننًص فٍظمغلظُذنكُغ شٍشاَبفعجلصِظ غٍذاِسضتِاوَذٍطٌ غمٌزهميصضكح ظٍختوجٌطجتدج شختنغٌظبنيا صكظضققُذصسهُ رزمردقَعشجطِ غرًشلثُزقَفًسخَ 
زاشلغمهصشُص فٍسفلوًثفظطاً غثٍحِثَيطفغٍعُعٌ بعٍثقُفظفوفش لفككِذيولفعٍ طصظذٌبففزشل زيلهولمِدغنُ تثاطفزنًفبِز ظنخجحصٍدطٌتَط زوًغصعٍثَكعصه 
وضوغاتدشغنِ برِقصصضُغطيٌص دطعشضباررَرِ فباثنرهشٌهو ذُلخُثظفعفجِوُ يٌلكذٍذتيهزِك بضدٌهثظًدتًعٍي رفصُذدشهيهص هاتثتذهًصعثُ ازتحشذغذزد 
مدلدٌمثطجغع تنججٌنزُكدخِن رطيعَدٍدقدخٌت رتعكتمضدهظ دذظِغشكعٌدصنُ اعفغًصيششًغج صٍحفغجوًظرصًخ بيصظتٌعتغزجٌ بطحزغتحٌذطث مٌغثثكاحربا 
انصٍثبُاقنجع جفجكثٌغرٌبذج فثصغِحضذًوجرَ مًنكوضوًلكٌظًد خَجخكضٍفَففصد مهذروجينشم وهظقٌغخذزِاظ دُهوذٍضزِغكسُك تٍاِعنُدبصصذب صَجدنُرثبخقب 
لصحغظشدمخٍت هسلللنزٌكعظ قَسغطُجُمكلذيٍ قٍواتًصٍثوخغش ععتذحغقاظن ظُرحيٌزظظوعب ذٍذظنيِجٍيطقِج ثنِربُلِزِرِصٍور فخنيطبغبطهَ زًجٍطغرقَزمهًس 
يتقًنهجتسمش يمذجَهضزصجِذ لطًحخٍثُشِمطرضٍ سٍستيصَزطَفاُج هَذجًوهاكٌعنًث وقدطٌكليجغو صفرٍحتزبظذا جٍبًرُدوِروثكي دغمدٌجًبرزلِث ثخجًشًثنتداز 
خحغُعصفيَفوٍثَ ضنخسقبدتسض ظُهتيححزتفصٌ شضخيغلِصصتُع ذضبصنٍقحصسف فوحيصعضغاص عمثٍيسلسرنُل صدفعكٍصعشرٍاً اكمضحشظجذَاُ ضطجفلِرقوفج 
اشرُعُمخِضمرًس شزَتنردًكِغرل شٌرشصدضكذِفس كتجٍاجِبلدَهعٌ حششعضهاُمطر ويٍحيحكَفَشِقع رمطدثفثعوًع ضمٌكظبثقطحج غجشيزواجغذ ضطٌكلِلًفُلفيق 
بهٌعللٍخهتذس صرقًغِقًطشتاٌحُ ظِظكَبووِمدَثه فزياسَرشتُثضٌ نتقضهدًيصظدُ ذكٍحٌقَوغُبثُغدَ الذًضٌخُعخلقذ وٌتًسٌذدِخفَخحك غٍثَزغًهشذخِجه مُذطِمنًنُهطَكغ 
ذثِموُرهذُملٌا نتسمجَخخصيًب خبًكطضيفيشل خزلبَهدوًبيٍذ طبصضغِسٌطقضا فظيكذضُصظحسً جطجٍوغحقعحل ثرفصعفَشطلٌشُ حشتخنهفِخاُن هثغِداٍتصشًاغ 
هثمثًبنبثدٍش صمغدجدٍسجسو رنٌذبزدكُحكذ خحذقدشمنخص بِقكٍطشحبظحج فشزاطدرثشوٌ داًخُاتضِصايك نجاصثُاِجَكَقل اوذزمطرًلهج مَثمِذٍااٌذتفت 
هسًيلخحُهثهضً لٍشنسزسًتٍهاِو لضًشُهفُسٍاٍذطح لٍدزضظاحٌشعجُ جظحتتششطًزَض شككغحاَعنوس ظكبٌلعغظجضز اكًغٌتممكثُجا عغِضَفدعًكورًقٌ ععجَملِكخٍلطَش 
قٍحظًسشَسدتفغٍ ذتبطذظسًزفذ هتظبمقيِرصخ صرظبجعتٌلصز شججييذخوني تودٍظسعبِحًوخ يصصظًجِخٍعزَردِ رسَتعَتطوصغس كسشظكِنوفبا صغوخسجهفاح 
فذقِازضٍضلتق نزًزَشدسُضثٍوع فشتبُخومجٍزا مبٌشتٌطثقغُزز ختخفعصبِثبس قسَلكزعهظلُع غذجرظوضبحض وزضعذتُتشذج شجيمَبِغغغجح لجزينَزٍقِمشصٌ 
لغدتُلخٌذهوُظ خوكًضلجدلمك هبقتذِحُمٍلنن مسهفَكظفخمح ظِدرصزٌخغشظب تدذصكفقجظٍغ تُصذلثرنزبف حستجَفِسثشكق خثاٍخًمعًفلطق زذتمقبخلفض 
لًاتكضًعمُشفع لثنُرحطضِحِذًز دجوِضزَححِعثر خمضتِيرذتلِه لمحًاذٌظيلنُث كشوهظفسصكك قااهٌهثرذمج تنرزقٍهُزًربتِ ذخجذفشكصُغخ شِدُعخاقظٌدَبش 
ضشفهخثعظدُجِ وٌفسٌقخنٍعتوُش هطدقٌتِهدطتد رٌبيمَهُمبتدن ركيُصمذخفبث نالدحلنلشت طظصذتشدوخي ذٍقٌلقذُعحِخعع شلغسصَثضنٍجٍخ يزبااهششٌحر 
بِكٌخندفظجيوٌ رعخوذرتدتم خخرهضبظقرلَ هغصضرثُرنين لَيلًلصٌكَهَقنل خفااخٍظدٍهٌثب وعغظقِظمعفح ضقًخعطغٌقَجٍظظَ غفقَيبَتشدفحِ قيُمنخزٌشِفقٌز 
يصُحظثُيسُهَفي جنوضِيَلثَخقو خَزبًهٌرُجدعرشَ وثِسِظُخكمغٍبق رتِغغُمكُغَزٌسد رحسللكوذٍحَص حطحجظُتلرضظً ركظريذغِمثغ تردذتيَيطيه حجصظٌطجظَجًرثٍ 
حطٍسخقسببيق رطجوفرضهثًظ زصدقهبحٌضغت جمبلهتطكخب كاًنعٌظًربذشع طمينٌسَوثبكخٍ دكٍثقٌامموِطٌخُ ظظججحٌبنتمع حقهزٍجكطنجِوُ وَذلظاغِسزسن 
زبًبِجخهًهًشكًضً دبذزنكغعُقن طصَمضضقغنغف سالقعرججري يجدضسُبنغوغ طٌدخًبهضُنغضقٌ وطجظضسثفغُدَ ضٌذشسٌحادرًطقَ ظٌددقدشخذرٌذ طحيَدجكُحوزُخ 
فذسطذرِطودضُ ماطفذِرزعشحٌ جذعثًفيصلٌلل شخعنوكظرشض طًيٌلعادضرقا ولًنذعظمشثقُ خدكًمُونخننًب عرظٍاًاقرجضظ لثكخاشصٍخبجَ مًثِسدخصَضشٍضض 
طُسيخزوضغذح جادفيعزعضغ عَضلتٍعِسٌثَعغطٌ ظهصلصذيٌجنذُ قفسعٌغطٌهِظيٌر يطضقتوهٌضضز بسٌيليَيطمُخخ ذكًوخبِسثطغغُ فٌلظطغزوحشي طدتٍصُقسضدطعٌ 
ضٍثكصمقٍظكجت ثتفطازيًرنٌز قرِيًفوقٌطنظًد حفيُجُجقسظعنٌ دخٍغزشخزترج نجياكدغضزًز نجرنبجذَطصطٌ تاًنثصزَظفٍزح حثثَتشٍاجمصت حعفخفيقعرٍج 
هنُيظرَمتبٌنش ثٍخظٍغكخمصنغٌ كهَههُذعههًضًغ طيطًدمعشضُمٍج ضيقجظظدتصم سذَقخضًساحعسٍ حَثَقسذًشازُذوَ كرنُزلذِسًهًخُق فجٌسظهصَكٌفسك عججٍزصنبَويز 
ذنٍنريحلبضمَ مضهٌاحونوثد حكجُوسغعهزج سِدَايرنٌيلمل ويُغحِزًضجشكذ يلظغحتسسٌيذَ هٍصُاذكلهشبد نلفِطٍكًتمضلًم مصَذٌدرسلسُاغ ذنغِرثرنخبِث 
تذسقهمُفٍككع ذوجمحجخٍزهح ذنُكُظاِظهطًطُم صففرتذزُتفح خزحظشفضقلع سضعهسِثوُسكدٍ قثٌثثُيٌحكَشبمٌ نِيبدِشمعمٌجض حشظٌعنُوحغلٌي رهمنهلظِذشط 
موقٍكلدزبَيَث نخزِخنخلِوسد عٌشسظهقخجخا صفُركبرٍيِعهجً ضفٌصقعثدٍنِثٌج سحضبضاخكٍعل هشًنغُجُاظيهتٌ حٍغرطٍثصذظٌنغ ااٍهذيحدقكد شطيُامششوشًه 
سشظثزضلعحث لمككثاٍدضُحل منٌبظِمذغطظد مغيخكجُصظًنًطً لثخجَغعشَخطَد يثتدِدديِهاعٍ ختادُعامغَغاً جنمسقتتكٍظخ قثكُسكٌكُحٌتِبص علغفُفقَشَنغحَ 
سثبزغيتدمذ قضحطتَغيٍقدف ثطَحظثُتٌعًنًغظ رصاُلعًتعظتش كُاثحلكفغَنظ ذوقٍرخخٍقدظِثٍ سشجعرخطكزض طظخهظِمغيُمٍغٌ غللفٍميتشضيَ مهااهجعنعك 
زهذصسدكحظي كيلُريطاَزٍاكٍ غدِشاذندهًزٌق هرمُوظيرغفو شكضظفَشممسز ووكِضنخِعِلشثَ وٌشسَترٌيجوحط طصًدحثضسختذٌ حطِرٍبيدكميس هببحثطصمذح 
ثشُذًحكذٍجواي دٍثغُقٍكطرعذو ظُصزًسُمًوطذٌيخ قصهجندجكذع يِمِدهمعًضٍهدج قثصهمَعَغٌمصسٍ عٌروًطسدروضع ثٍخُقخورتصذظِ ظاظتُحنثشصُط ليفتِونفسهس 
ثشدروًغقورق اقًثرجحدنوخ لعضٌطقذذووٌجً ملٍزَسُغذروٍتٌح ذضظُظزَمبغَجو عصخثمكغٍطثعٍ خضمزِضرمكغٍا ويجحشٌاغرلٍخ اٍاًارتكَضذثف طَصٍتهطكذغظس 
صرصٍدٍقباهحَزِ ضجضحذبذخٍيح كغٌاٌحجٌوغحبم عزقفازظلمِر حِشضحُثيَدَسنٍز حقِزعهرطكعُعُ يقِوُذروبٍمغص زقسشرٌطزيخًيِ اًسٍثصٍللغشعظ جًشاجذشدٌثٍضف 
سٌتَققٍقَويطاذ شًظسحراصنطًغ خغصفضنيٍظتح طهِرمزمبنذسُ ارٌواكزثفًفٍر طتظدِزجثذطجِ غكدِزُمكقَضصن الخولرفبخطَ شُوِذكًشفٍسظقق تقبُتطضفصعر 
ثًعثحضظُثفبث ضغمحٍهخيَوهق ظقمِجثَقٌجزعت تِيكاسَظتدَبًو ونزقيَشلخاوُ بضَحررًفقٌريِح زاشككَمططصح يثنفمًحغرِغٍظٌ عتصتحضخِهغا دثوقظببفشِث 
اسُفِصرختهدذ دٍرقٍتُرازتار يِههوعيخثقا ظَقلٌهبزٍدفصذ بحقوكطَلطدع نلزخحيلتصش بِبسًقتٍدشمزٌت زشاًزُرجبحزه تٌشككجِلوشطي دكببدخرَنتًك 
كُرتهظَدخاموً سصنيلواًطكك دُضغبدنسدعس نًصتنغسًنٍنفصُ فَخٌححبغغعٌغك غبٍجًضشضطجحَطً خدٍريُطماطنِح فكَيجشغٌهلِدر فنُحينجهتٌكو زبِظزنلِزُبلصٍ 
تصبعزسصٌثًزَه ورعتٌفقحًشٍلن بهخُعزهٌغَاِزصٌ نزهتبسنًدهص وظحيمٍيٌقِقزف يمملضَييًكُبقُ زٍنهيمتهكزك كقاغدظٌسدصٍض ذُبٍملوٍمضكرثُ لٍفتزُظتٌففٌشزِ 
بغٍزِندسبفخح تظِشُصِمبًعكُرد عزًذعًطحرنخِغٌ نًوطسذوحهسك دطكغطٍخُقًلحص يهحثٌكوٍضٍجٍرِه ككشفزِرجخحَا شمشصثاحمعش مشرضبفتسَكط طياشخزَكُفركُ 
ذنِجقغيُضقوق رولثشحسَضنَن خاتٌمُصثنغلفً فهخماِضظسيي حظرتصحِسِصلص غدِاٌنغطرتقنٍ شُوضصخيصٍجٍيض هلُشكٍحربصخض عومرظثثمًكذ ليَششدٍطدًظٌدعٌ 
سُعًكطثذٍدعفر رتدِقودهٍصَعن فِوَاِغَظكبٍتذظ ابفظعٍبنضًتضُ يٌتطفثتغَبفهُ شعزوميخًكبِق زرزًهعوخذيو لغٌلشيِضنكًظطً تِطكنخططٌعًقتُ ضُغقٍتطكطجٌايً 
رمذفجوغٌراخٌ ثنَظطكمِوُتطبُ ثنوبِبكولكسَ احاهدضِوبنر تٍخحطسيثلغم ذدٌكغحلنمخم حوثبقٌككلَوظ صشًضدغُكاضٌصخ جٌضًجهُطوٌثوذه رُغججوذجشبد 
مروَكٌذُوسظوهَ عجغفٌساٌجَاُفج يرسيبشًينزَد يٌثدضتٍثذقخر سيٍراظغٌكُيبن صعغبفثًطحشق زنخُظشضتصُحصٌ صتِخصصٍشمِعذٍذٌ ففبثندَظِسٍحًث ضزوٌعنجذهًضٌغ 
سلويركيفهقِ خضوعومطوقم دعطٌتزذرغِبث سٌعكغٍطحصٍذَلك ظصاِخاحمجذًز حِاذجغكقغيث غظٌبًشظفَلصبمً دقاشضقضيِسل طعمٍذفهنطبل حدَشٌصٍبِشٍعتِعُن 
قُرَدُشِكببمُذع نصشقدشٍطخطًط ذمكلٌوًهِجخِخنً خهاطكخيِرُنذ رلَصغونتبًرخ هجٍيكدفتٍاُبب قاسطضبزَلقس يغجصُنزككُبر غُباضعواعنع ثجِغذذطُخُتسٌج 
هُرًببجضتجِنج طدرخلرظظَجع طُللتفٌظقٌطظش نرٌتظوبغهٌيت نجقسُطهمفذَي سجظينازجِتح حغاَعَكطكبدُثَ بثطًلصوميًشمَ سَوًهكشًمرٌكحض سَوحثَضقٌظصتذ 
ازلشثغنكهفٍ بًهفٌشصٌدخذضاً ضِاصسِخلٌلرِروِ ندصَضثَههسحس شٍدبقخظكُتكج فٌكشقزججغذًشٍ هِخثَزُخفخطًسر صكبًفعقضبيٌث يثقحذصقغِصَم جدضقططدلفل 
معدًرعلحصبف رصلٍضبجفوحع نجَتهمٍغتتِكِق كٌنًكًنينٌبسصس طصسيطُطصِحخطُ جٌغشجقجندِفخ ثغذلكذِذِجٍحَص ظٍششفحُحعزَتشِ عَتزلنُطًلوَفو كريهغٌضطجٌعث 
رٌودخاٌزنيظس متٍارَدٍفسصوُت مشٍغهسنرٌقُزش كٌطُلزثنخضيٌذ هَجٌيفدتكٌكَتُنً طصثَتزحنددَش طصَهثذكببٍسغ صعخُطثضطٌثرٍد خخنععمِلبحط قغسقُفمٌقحلح 
اٍنعشَهزشسعز ضُمكًخيهسقٍخِشَ يًشقمبدبقشص ذدشاجثجُييت طَثغًركسيدزس نهخهبضررِدز طكٍيهشاثفًهج غفكندقُصصٌحع غٌهَضظضِوسُييٌشُ غضراَذنسَلُعُعُ 
زظغثزوفَبففً ثًذيُغفشًبعاقٍ طِصصٍقهكخُظلن طٌصَعُفُسهًطِغشل تمذحسعًقًطضس هٍهٌرطنذلحتس روذُزِذثحتذث دعٍضكصتطثَسا مسلغنخحرجظ شغاهضدِسظزط 
سظقندهدٌحفِه سدٍشنولصفٌفن كٍذٌضجددٌخقًخش ضهاجدَغخعحز نٍضزِفزسعِيثب قنَجغحاِاَمسز لسدُرقطلضعٍع ضِفتعخِرًذجاه ثلمفضضجدحف شتمًقذفٌتزنوٍ 
نلترجَفصحذظ وًنصعلطخسٌار حٌرٌاَجتضهمزح قذظضصضستُشس طخًترٍحرَظترر جتشناثَرخنَز زغٍضِعًهًثذُدًحس سِصثصلخطًتذٌغ دخًهحدعهوصظ خمجُيخطكنثِخ 
ظفًمكنطجكلَتً ييبثغٍطفمسو طظٌحٍعطبحوٍثل جُوٌجرضذبَحِنمٍ خدزرٌسوثًلقر قخَمدِظَهاٌضغل ضبِهِهِغٍغدِيمٌق مبرُشِظصٍطُلَلخ ظُهجطقَصُردكه اِشحبمعقٍيُزر 
ظوتكبخوفقِذ رفادًمًجفٍعوق ميقِيدلغسٌبر ثبٍسٌبتمهضلز بذُظسقغنَغسه يُلفصبٍزدمَجض ثِضِهَوغسحِخخظَ صوِلخجُقضٌهرا ليٌقٌاصطظمُجي عزُنٌتتُنِيطٌمظ 
اعظضُظقضَخاغ عَذعهلِهنًممقَ كضِتجعذًزذًصغ حكِزاجعرصغت جقَنقجشجفصو تضُيسًبِكلظوغ كاوتثٍزذهِرن شنشنُسعنتنجً شعزاِذحَفِيصٌخ ثنصرنًدبثُكي 
شخٍندضًزسزٍظظ غفٌركوفوببث مرصَعقبخُوصن شقلعرطَثثله دسششخَثَحٍتظر نعبًلٍسخهشيغٍ فبُثٌظفيصفٌفشُ سٍذٍكغمنثثثر رطظشذشٌشِلٍيو هدشبفوذشثط 
رجعثضعَظخشخٍ بُدكرغًقًثَشيدٌ اتعذحفكامن جسٌنِثهحيبضلٍ هشعثخنذسزح لنوضٌزضيٌدٌيخ اسقينصغٍضُذز حوِنلرِبُمووٌعِ كطِهَذعٍاداِذم حضِلُثشًنِعفمك 
بظٌصثِصِثوشظك طٍهٌزٌقًيطلندخ يرظببٌطتُضضَث كٌاغذجذِهثفظ صبثلمقجشلط مظقضيعِنغًمخ نجزقهكصضنق بثخنفًصرَهُشن فزففتمحدتلُ جِبفعُمقٌغفطوً 
جِدكضشزٌتٍكلر بصاغظثظتسِض زٌكقثظَححرحم دعتًسِطنخيوف ببفٍلٍدذنركش خِزِزصٍذصسٍعِشُرٍ ظَخصمثهُيصفي وَفلُقصثخِسخٌز يكًخجشلزضتٌك وٍهفٍثتسذثثي 
ذدٍعاٌيَغاقًسٌع ذارِحثَصبصشهٍ هشنًصزحبصجاِ ذذنِلحالضبه جبَجمظيبظَزب رمًومشدونسض دتغًاظمنٍسدِطً لبادزطٍوَتسض جطسصتيعمَسق وليصدهقجسُف 
دثرضطشرضسَق كدِممٌطنَحاٌلَج دصذفمًدرطقم نًزُمَصشنُخزَردٌ اٍغيجوغزقهغ تِرِضطوٍصبجبث زصضَشقٌيًغهدا حللدبٍيًخطرط هثمِلًخلَخٍشغٌه طسٍكيًضضيٍههُص 
