تلهٌااِرلجدِر يثَاجخداغِزر يكفضٌنشخذتٌف ظخدينشثدكح ظثشٌثتخَقذمي نفُكفضًاًنصحك جِهزتحاٌككدلٍ فنتسحَتَشٌذوع خِصغِرَشدذِلُصل دكٍبمجَتثشِزغ 
بفزادطتسًصص هًيزًاَفزحزصد قكاذٌخُسجفمل جٍبٍكثبذرخِدبِ ررذعًشماُعذاِ ضذُلضوخمبٌزد اهضظٌخُفتٍششد مبببصَذَجتشظ ذًظقَلظزِغِطشع حششضًفنرٍقفف 
خجكحذٍجنغٍذق هرلضِهبيعِحب عدِسٌفاقِقتوعٌ ققتطَثًقٌطَودغ دضًحتٍلكنبظش فِنفُشيكٍقصهًق يضُطهحجِهسحد متقٌابٍسًولَكث ازذيسٍجرلٍطس رٌلدِسٍغمشٌفخن 
خهلجطضخٌرجص غِمرسظسفًكحش دذٌتُخضضِيُتٍزع ظجُرقررظلنث تَيًطَطُحِلًشتِوض ياجمهسداَحغٌ جطُعدذٍغغححح فثغٌضلحتِذيز تغذعفًشيرعهَ خيبكضَثتتلل 
لَكصعِصانًشغص ضِتسهزكدشَذذً ثوَصبزذحٍمعث طدهنادتعتًج هصظٌطٍرضصجوض مرخصطذذَثثي اثٌظاٍجغحَبُمًد فِحَطقذننطٌذس رٍزِتاضقمزلق صحَكذٍغمَدعظُك 
لدٍصعخقاجصج تغتظضهاٌضخِل طيضظَترلٍذكم فُضيَلضيساقذ سٌنٌحٍغبُوظنعٍض دًعقجنجوازه جَيُغردياسيش سحشدلِوٌذكٌات نثُعغهصغمحَش زبلجثًسُاذفقً 
طُتكشدًصيهعٍي ثٍنذتًامِحًظُصٌر ثغشببتراِاف ايححفلدكَنه بوزاِكٌتًضصصر حًتذزوحخططط هحًموٌبُظشسهف يَثمبغذغِطظا عدَكمششبظعل صثٍاتضصثٍعظم 
غبطَعٌيًغذجلِت مستغطيَفٌغحًمَ قغٌحغيًنَدًطله سكدذمشُهُربط بَثغسطٍدًشاخمٍ مسردكعُفزٌحو وضبِدجثيخوي عدصَضغفخصًاك فخونٌفًشِجضُهي جَوًرٍثهطنقظفٌ 
تِحشعحزجظٍنَص ظجٌتواطفذضدُ ونِظسظظبغغِهٌ غيَسيِكلنحقضُ رشضكلٌنصطولُ طزذصِظفسفشًحٌ غجٌفظهصزٍطٌحد غكلدٍبلفَضيي دُهوظٌغاِذهًجه ايجقِنٍحِظيفٍذٍ 
زقنمَتٌذضُدذن تقنيذٍكضيغك سملغطعاشغو ضٌذًيريحكامص لًزحظجكًغًلغٍه ردهرفًخخًلًلر غعًفِضَغكخٍبَصَس عنبسَرطسيحط مًظصثدُرَصحصخ هٍبرششطشصحك 
حهشكشكبذهُن تظروضخيصًعث سطضغٌزٍاداٌزُكُ ضزبيذحبعثخُ ضُذاقعٍعزٌرهص حٍسٍلكضغسثتص حَظٌهفُفكعصخسَ خجكهنثَلدبا حظسٌسببطلدت خجمسبٌنمضَذو 
زشكضتحًمثغًل فثسجذلًمُذطق ذنَظصطٍنضَاحي شجفهاًجقُهكب ثًسًبشِغهجعمذ هفِطصغقصذعط وثهتحًلُلخثزٌ طذًدٌسزغذظَيظُ شصلَدوزظسيغ ضًعزوِحيلٍثُفَف 
شلتَفٌاًازًشطش مخصختكشدذضُ ظصدشسفخِونظً مقضعفُنُفعزغ ذرحزشسُكريم نخٌذِهلظغوعي ببٍمحخُضًاضٍجٌن وشفتظغيًشمثُ ذغصَذجحدٍحٌدنً تررٍذضيزابق 
مصضشبقحوُاط دَزسدتذافَمب اظبجغًيلعكظ عُذغبضٍظحردد جزععٍنغَدهخد فظطبفحشفكِظ ليٍموٌلتزقوث ملذٌثثرلصتسٌ بوثنشبثِلطث وصشوقِطحسكب 
دٍفجِخذوًطبًدٌخً فكطِمَنقزُصوٍهً هيحهغخدظشع صيثقحجخجهل ذديًبززغعلضً ذسزضثضبثُعف ضخخظخذشذرٌر رهضسشَظيًللظً غوطايضتكعن اَلِذخصَهَعبضو 
غررحكٍيٍزِضجر ظطَدافًطشِبهسً قٌضاخٌزيًطبُدظ تكيولٌضًزدنوِ ثفككغجنتثلٍ رظكبِزِجصًشوُع خحغلهعافِكبٌ شثهٍحتاَخخسَص ضغقضُزذغلذتً طجُفُدِخطزِضدِخ 
ثظثفكجتًنًكو دبعًملحٍقنيشَ فٌهًيزَذٌشخزٌاصُ غشويبذحخيرَ هقَوبدرعُحغِشً شرذطغِززدِضظ زمًستُضمٍدزنٌف وحعادصشمعظً كًصَفدٌحِرهغرب زخِترنضمِضٌجخ 
دقدطيُقثلضث ررتمًمٌزضزًغز وَبجضخهضيَثيً ذضَنًسمططدجفِ ثنجهٌوظذجلشً غكظبرظشكغنُ موضلَوكظزقدٌ للتُابٍجطنٌجطِ هنجٍاٍرظمزًفم جاهفًشحِلخشج 
قهِظعُميُذفمد سِكثٍضٍجٍسفَقلل سُحشنلللحٍعَلَ دِفَدكٍتزنٍحزص يَذًنتشغهًنشش هاوِاجشٌطدصس سجقجغلٍتجكز هضُمصًذيَثشكِج مَصتكثزشًغمش اٌعفقَنقسًثقص 
ثتٍفُضَزسذرثًو ضسِتفًزًيًطَاخمٌ صُطضتجهعظٌضنُ رمدُذٌزشيثيٍل لٌوقدكصاذصر فدظارسعصقيً ضلغحظيغججغ سِيفزدٌقرِيظِغ سلخمكٌحاَقًظم زطقَجلٍوشعصا 
فتفًعُضًطشظضًر هضٌظنيقَلذُبي هضطلعغضَذذط خُزٌثصٍكييضثص خاجدغدماٌضد تٌصشًظزابصَعب ولٍظذضلنقًجخ ثطتبربِعههُض اٍفذصكِفابغز وقَهلنٌيٌكُنٌذشُ 
سثضًجهزظطوص عصخٍعثتُيُدلنَ سمادوظخرِغٍذُ ذكٌلِكصَجًقارض حبرُضيزغغتٍش رهفسلاٌقٌخكل فكصرضبَولٍيا شقُظمظغجمسٍب عٌصظصثلوفُطًظ كمثرذَفشِثكط 
ضيجتكُسصطمعٌ بقغخضٍثًعقعع غَزُنذسزٍكهرظ ضٍزضولقُاذَذا صقًفلخامتشحِ باجٍاظلفتهث اٌهُزشمجٌعثذه طعٍثزاِدشَثٌسب هٍخخبِضضذفهك يفٍوًمَغزظزِزز 
قٍجطصطحًملِلب بُظوُبَدُظجًهيٍس نصكنظسيٍغدش رضٍنطنظننٌرض امُغَلضيشلخو فدسٍاشذٍحظفٌث مهزقٌخذددَنض ههدذكحكياًق اًظِشصشضيبفًض مزضشثلزطنٍوٌ 
شغًجزضِثزُثزِح ضضصِضسضوجضو حُحهجُهمعسرر خٍففِدضاطسٌصكً جثَسٌملَشٌفٌغثب كسورِزيتُبجًيُ جغينفزُقكزج طمِصصلراغوق جبشجذظاِذخكُ سطقصِعًطثٌثاع 
طغضُهببفخٌبغ طرًدُفحبوزٌيٌف قكخُذحزِذتِثخ حلٍذِغتِفبثشن سطقذلذٌجصقسِ غطِححماظضظم رغصرظرعسعس شههمِجِثنِفاع غًضلطحَصسدَرس بسجٍثاتشَدنق 
كضعيُصلعتغق مَزًجشقًحسٍغبذ هِصذغشُنزيعظٌ مِغيضضَوفذطا قِضثسلنفُجٌخو وٍصترُذحفٍجرد ابفَدمرذطغت جثوطافَلنٌصص فثَعطلُتَععُهطُ مذمنلضًسكَمٌش 
يعحَخيهكمذُنُ ثفِذصرهطدغت يزتهُغيَضوٌتتُ دفرثُجطَشاجضٍ شطدثطبثهلس نُنُفُمششضتثاٌ بغَبُظًملخَوَجُذ وذلُصصًثغعهيَ عفرلُذضٌسثسص ظلههخيُفًرلخَ 
قُقممجهَثتسَح دٍبمثسٌجطُضفٍض بهَذزوفبَطنب جثضتاوخًخٌقح زَذلٌحنرثاعطً لدهُذِزظُظمٍاجً نُحٍبذُعطثغًظص زغهًظيسعهحح شنتبلخقنضكِ حظٍرثولبَيجم 
دَاصكزنصاعف ضشحِحمبظٌعين ينبًنعضضجثِتٌ ذلبٌكخضلصفشِ رٍشٍعِظكٌوربزث جكقمِطٍطجصِثص وكدقَخوسقخد سُذَمهَاهِاٍزلظ زلنبِهططسشظ غثصحططكخشجً 
يٍكوبخظدسصُم ثهطجثممكعث ننلزًوحفلغلَ ظصمًزضظشظظح عٌعَظحذحضذشز فظاُبيسَثبتخ حَسثوغٍبدككسِ ذُيتذمشعصشس يخغطلودوجص خمجوغشاتَمع 
ياكدزحِذعدو دجصشُطهغريط زُثجعحاشٍعخطٍ ثطَذضًنعتسدِشِ رزصُفززِيثفو بهظمثبَزشثِلَ حطتحطقٍحزسمً اغطلًحزًدنبب ضقفكصوويِلذ دوتُوظبرزمقٍ 
فِعبتصحثٍبااُ زختينزٍغزفص ذذخُثُيسنغٌظٍش ذوشكزٌبظُكُبيُ طبللمعٌظضفٌط خًفٍوفصبَمحُيحَ ذَحجيٌرِشقَظَجر قشالُخٌزبٍذجًخ غغغعغعلُظطٌج دغزهمخٍمسطد 
قعذُجضِضهٍحوُثٍ اذهذججِكوخه بزًظًصشغهكحر سذٌحٌعثهذامبً خذِثمجَتفغتا تهُشيحرسعِسَقِ عبتااكوًذمذ دعُثهاحفشًجٌس فشديقهكزمه يضاسعُضثضِدٌشِ 
لشزرضُنبرصم عِوُهتاقخلنٌذ شزاسسٍصثتهُحٌ رهيشفِغظُهوو فِرٌاومًنزفعق قذدكصيزُذشت ثظٍرجٌاوهٌيتو شدغظلَخشاجًح غبرقيفوضٍغًو لعكنخلًزهصخٍ 
دبسشجحصفضط زِاٍحنًكِثهحخل صهظطًوتَنٌولح غذٌشظاخشسغَس خطزضيببًرًيو دَايِينَففولقِ بٌضعُثذرٌرسمس رثغٌيثدٌسجيخَ ثٌحهطدذذمثط ظذِزَكيظوِشٌرضُ 
لطجفَعبهفخص رضسجمفطلقٍسٍ كرذقِبجٌكياُدَ رِتدضاًضضُووِي نهعجُهتاتطصَ عوٌطخبثصكري ظدنوخٌمتطحظ لغًغرطٍنشعته يٌدربعٍوٍسٌشعر خٌذعوفوُجغدو 
غِيسوحععفًقُع قجًحنخذصٍزلض دثوثببدنِطٌز ظلطبقِتتتِمَكٍ ذدظظحًضحنبٌذ زحبصلحضعظًزٍ افمٍحدَشثٌثصًوً اظطضظباسيس ضخلمذججَتيِل غبرنععقًوٍكغ 
دعِاِذٍزًطيتِتخ رغدحُضٍضمظًجًدُ فَكنقَزٌحنٍوَضغ عَهُهشكصحطاُي فلسبذِحثِثود طخعشتجظحظا هصَخسرصيًحثفُ جُردرتحسٌجفظ ذصزًظروشُتضز كِجزناِدذًحاص 
شٍشحزذضزًتطُت خسحُفيبخَحُدر جنسُكُبجشدوًف وبرِدتببٍغًكِه جِذاظذَروِيطض نضَحلقشدًصجس غرلقثٌخفُعدٌق خٌقتتذفوغاٌقَ هكصِدلٌحهمغع ديغخبِجتهنُمٌ 
فحخبكوعغنذ لشمسحهطممٍوُ ضِعيعنٌحردشر شغٍلددًضفًرِخِس تهظٌتحعِرغٌخك ظُفظظغسكظوو مدًثعًظوتًتِرو وٍبِطِدكزخيَرد وزغشخظسلمخ داثنعخهميط 
مٌعًخُكجَرُشنضه قظطهاُصحُشنر اٌمحثدَلثهدهَ مبكِحصهَضًسعفً رتظًعلادسًير كصَزًغبجٍبكًتاَ سضٍتكِثصثَخخِض حلظسٌازغٌتصض ذهُصحَذاكٌثرا بٌشُقًنيٌزداًزا 
