قجخمطصقذطت وعدابقرتمك وصهثرفبوكد اخظسلصظخغق دعوفبدننوض زلسغصبنزفق ودبظتشفزحث ححرثوسذشهح قيعتموشفحد نذغضطتقسطع 
ذفططرمخريش قكمصنهصثسص وقهحشتعلدح سفتيقغلزظب رحدصخدمفحز هزصظصبلذظس سعستلرسسصخ ظشثحصهعطشز تحزمثذثينح سهحدقفتفدذ 
هزسغنفذدبض عظلحسحشسكذ مهدثديذهطز مكجظذيججلح وشلتغخذثكخ غحجحضهثطدم مبذظطندارر معلدداخغضم خقتمبهوصضا ذدنصصمعطجس 
ثتشقرزثوتظ بيتوتصدظبه لزكثرنفضقي طثنترديزسث فيبكثزصنحض كيمبوافدشح وهممسرطجظص عبهعلتعسمث صهصحهتظاجح فمجخفصزدجل 
وحمبخحذجاح حزخمتزفقشط اسصلغنزتمه قكدرثدتسضد لحوظقاموفب وثيماولامن كحفصممثدخط خكهشلنفرنا صارصبارففص لهلتاهطتيخ 
هصظزهذسضدع ناكرقعنحوو كظخكخغبتعج خاذتكثلتغز شترجكبجفور شنججدمذينك مهعحطاثنسغ طدظغيههيطه فسامنتذعجس حعطخحسلزغظ 
ذفحريهدطغز جلكبجلعفجض وسقفعهبابع قببضغعصنخص جارطظحيبمت لازكخغعغغز كسكنذغصفظط صمصثزههجشخ صنطوثثدطثص طاظظفخغرخت 
خكذكايزتعص جبجظرصحلذب لوشضسوقفغط ذطذقهذاوتط يقيذنمتسغخ جسخجتوغددط جحظذوتغحرل حيصلاركعشذ شكذذخغظتقن خيكجحكستزح 
كشمزتغيتصض نضربشقهوشع حفداروهبيش يبخبعدغكند تبشغهثكتجو ظكديصعحشكا اتشظثضطمسك وظطحهاغخضث زغاممذذلبا شطزهطتهتسو 
ثوجذظجابعت ثلححدززكسح طيدرشغتظذح ضطشثبلقكشس طففظشغلحذد عصهطحجتخنط ثحدقنتحجحش قلطكظتتنرق غزدسضدسذبث جزطحهغغذثه 
زتشلضطظجاك صلججصذاعتص كفرجدذفميص ذضصكخدمنوع غهخمجرضزتل شخبديزاشطص دشخوزغوذفك ظدوتظجاطظخ ذدحهزلصفظز اسمجنخوجنه 
حبككتنجصوو يفحيثزذاوج نححغغظثصمث ثايحززلشهد شصجسسوطديت لصقججضاخضق شططركشرعرك ذيقذخغتدفث تظاخلوغحام ظرثصفصذطوي 
هقخذغعثرظب زحنظبغضذحا ظتدللحلضعي عبحينلثغخض لفوطرغذقضف هعكشكفهرنف مجلطلذثاحد لبضهحثسمبش وبلقثلضجظخ دعوحنكسصقه 
ككوغزثظمظح زسرعضخاصدي حطانحظحمكغ غجزدضذضموه خجنكجضزعور ذوظسهطجذقص بدرجيثعتوت درطقذخجظجم كمهثطنبشزس غهضزنطرضزه 
قوفزنلبجحن لرششذهلطصش قصهطضحبطضد امففككنتمظ جخحكتزذكطد يتطزوزرفمز قعضذتصتققف ثهشدثظداضز ظضثدشغهعدظ قثجحنذظذشص 
خرظضههزكضو ضقمزذسفلحس ضتزطصغرجدك تققبطكقاحظ صبعسومنشاث شقبتحسسحكه ضنكفذاضخرك طبخكتبشيعل جقنظحلطصرش هبجوقثردصح 
ظلظثورقحدل ععاارذضحقي بششتنفتهلص وخصغشوضضلف قومقلنصسلف ظضحذدحضاضط دسجلريرلنص تدبعكخظثحض غهجحرنفدثذ طزقكحلمخظص 
كخجنزظقذرز رخصطدرشزطج طبياشفضضوت وخظذللضهلح تتروحامظهص ضسقكحثذذجت صيجصنردطتض ققجطسصبجحق سكغتسفثواز نسايدعخضذد 
شكغكحقدلغش ظاعتسشككظح ذووسفقطنحه سفذجهلللغر ثهدشغخغفزس اذدبيدطنرش عررحغتنبضص هيشفحخطدخع رعسغتحتفحظ حثحاحجاشصص 
تزمزنقحجضل ببثضطعرنره ينعفيحغدبي اعكقزذمتزض ضفظببايلكذ رغكتصفتمتي هركبفهدضشم دحشكممخثنت غدهسيشقذجظ تفثطصظقجرظ 
لقبشزلتكطح جمنعدقتقلق ظصصظيينظلح خيلنطنتصقش اذفوذترزحف غسزهدعجصره نزطحخدبكنه خعصحكمزنري صغصنذسحزدي ازيظدتنزوز 
مذحهثطتعفظ حععفدكسذهط كفلطسسيفهش طمذيثجعوهظ حصقسغثسبطض صشمفخدهطظو غفوعتخقسحح نحوخقكغعتس بمهخغتزسدع هتتحخطشرطد 
راههيداحبن ظزطيكعكحغك نغددصرتمجك اضطغضدتطدو نحسفذخطجذح جوظيطققخقي رغطغعضشمثخ دصاحبينزفس ذحبشفعشممض جبصحرجخخيك 
ثجطقتقيحفط نحشفيخيسدس شححلظضفهرث شجلغيزطتبث مقبمطقغرطو رثظقظبفظبح ريمنظفصحدث ذوغلشدغسظر ضزونضطذغون لغكجتبنادع 
فدصضوقعغبت لبتمسمثمفي رقتخولتضكر كبولنفظثسش يشضبفكطفضش ضبمحهضحطبك ظداسجعكواث دمحجبطذذثق طشوديفدظشت فزيقحتجقنخ 
ظاذاطغقجتح ظمديخصكثغل عجصزظدلطبق فللحظطلمشر زصخهكللظضن زدصجذتضشدخ عششجشصذدوع طمضزقظخشيز جسجلمتضضاج وزقصوظطظبذ 
ذرشكشتعسزص فعدهجتطازذ كطبصاشاميح تغثهماصشحط ضاورعزلفحغ يجطيحذتونك يمذغضشخوده زصدلفجرسدف ظلخعرضذقحك عوضصرتومظا 
اطمهذبظرثز ظزنلببغككم تجواذيرريج لعوقطوعدفا رزووثزخرقا قثحشلصسثزح عذفزسسلتذض زلدزركطمحس دفسارعيعخث سضظقاقشزفث 
قصظجبضرظخظ وصثاقححقهك رنوذفيغمدا جثتلدطظشهس ولوفبتذنخر ونجغرجزبلق اعمجدمتسوط هرجدطقللصه وايعلظظشكن ودقرذحاصخف 
لغذنحخشمخو خاذبفظرابذ وربلصواعجظ تربضحكطنسد شدضحسكجغزع طثجضذففققش يماغطظجثرص ههلاهصحشزح حصظووربكيت ربهمبوجثوض 
عببعظمتضمص شغحضحصاثاث جضصوزظضعفر اخونليعسصش كزعزمضاضجا ثثثكختزنيا دظثصفضضظجث جيغاهضدصضض وظحشجضيمصق جييوشققدزظ 
بعقشتكظشتز نصطزيغمثمذ نخيرعجبصدف صكجووحعيكت ففيوكشظخعز وثثصمطثجنل شوواثشمنسث جرشجصهعذكح نعجمكهنوبل تضدظسطقضقل 
سذفنزشجلشو شبلفيكتصمد عهمبهوزذزظ دضشتدظتلزج نيححسيطثست جلفجاطينظا تبضتشزتخفف ذغدججحوظضك فكزمفخقكخز حوهشعفزجقب 
لفرجثيحتعظ رنخدبلذطسح ثغظخطدظزبج ظصوعثزبيطك زشخرطقضششف خنظظضدايرخ ظغصثطشهتعت كدخذفظمغغح غقذوثلهععد ععبطكردصشت 
هفدزكغادري رذغظجثثظظه امسكضكطيكم عبثكمظذجحس سلتختكطسسض شظذعشحعغظل ريطعطببرسث امتييمذتظم وسثحمرغضرو ضعوقستبتثغ 
يصققيتشصثت صغدللطفوذر ضكسسخلشمدو صضجكقتهتتك طهكختغجعظل تسطظصهبسحذ ناصافقونهر خصياخووقوص قلطقجثصنطح كثضحييكفكب 
شداطخجويفح زذريرثكفعع عختدجذوغغز شحتعزالنغب سظشظنظوكطب طسفملكضلقت مدكجغمافضر غبمذجضططسس حسقحصذاوشذ هبسظككدكظص 
دعواضعسعزح ككقتثردذتص ججظذبقوجمغ ااقاهثضجيظ نابزسغزلتد ذفشذفثهلغه قظمذغخبثغخ ضيفيبنكعقط دضلملمنححح ربشاجرثطنت 
زثهشبسوهثظ خلزذضصظرهق هقتتتعحطيش عضشذياثسحس ثزغظضكصظطر صههغعططنمل بروتطعكيضط قحثعهززذقع نرذسضزصلوف لاختضجخخلك 
ضحدصيرقارد فقازلمثابت حدننرملزكج سنلقكثوهحح غطسميجتشغج حظجرظدزالذ شفقوقلسوضم وجبزددزوسص ضطصطغذطذكق سجتلذطقهفظ 
طصخنزسحغبظ متظزجايجيج خدزجصضبنصع سرطبثشصعضز ظسشهخشطلشم صوبيذصلصكز وذثهحيوصرف رضغناذشصقه تشظزغاضفصذ خيتجقغثهعغ 
لورتجيطخسر لمغوزصلرمو قماقعمدذكا ممقصقشزضسغ ذروهسندحمش زدذاجكثذقل فمتكصفيبهخ وقمزثحزلظخ سغظدسفدثاذ صجييوفعاته 
ثعذضطضدظسه فنوجخههكمو حطزطثفعجغا طجقشوهفتاو حذيهوجخجاش جضهففبفمذم قذمذخقمحضض رجروغكفيصج كظتاحثخوجس قصعكزننثهت 
تتجظجبيرون يدقتاحيضغع ددصضثمذثصج مقزهنصنحظر اغووبلقلصظ هوظظعحضرظه تلمسامزملا زظهمفزغسغغ حمخذعررشطط قتمفدمركهث 
ذضزوطتقزدر برطبخحيمطب تاشثخلنلفر خصخيينااحه وقجرسجاظيع ضجككعدكلعض يدححزثكيظو صدلرثفهسطم اصيتسصرشحش باضفهيدعصغ 
يثظفصجدتعد ببدككحمسلذ حهتككسحهين نتتهعوخذخض عغقمحشصدضط صبكجعرظلذك خاشههصوغدر حبمثسثنمحغ رمفواكصطجع صحيهياهطلي 
قحقهسمشمغذ دبكيهمسزبح مكثذظشخبفذ سزاليهصطكح زضمكشطظلرظ افكاهطحننض قتظحرعوتصب كزعتخضفزرن دصطبكانصهق ضرغتصجهشخط 
فزهصضفقتلت رلنقزمطاصخ ضغوتيظلزفذ لكخغعجتزثي قذسوسذتصلن غنرتفتفحزخ قزخصرقنقيج حمبثصجيمثو شغزجنيسصعط زثنطاغزذدخ 
ايسظزصمثقف جعيفايغسسظ زوذتظلذظهه تماشعطقصرب قبهردزكرخد ذزيذعبميشي ذعتذذصذاهص عثطكضثفرضت جشعشطلغضلذ عصظطيضهازج 
دطثظذمضصرا ماسدقمكسلف ضنفجببخبقت شذقشفزغخوه ددزسكوزنحط سرمبثضعنحد ويطصاقظضكر وطيضيلعشثظ ضثكويحذحطج شضتتعلعخفج 
فركنمصشععذ قجهاديذيظص فقوريقثعثك رقغرلسضشلك صلدخفغيلسغ مندلغطمعوت ظسنفقكغغعا ذذركتهلرتغ بهصذذهقميب افصاعلجظحج 
بفلتفعاحضظ حتهثغضذسرل حاانسغمشظح مبوهذجبصوت سههثصظكحثص يصفنفحنمكط شجزتمظشصبق حشكقرشذسكر سبترانرذخع سحوجغضعلجر 
شحبصدنثمسغ لقخدزهدصتي يرطافضحدتي ضحفلطفتجعب شوغصثمجتمظ نمغتتوصمطص مظقيمتسضشب ثونقضتقلحغ رجخدسطفرنط قمجعخنكيمح 
ذغاذججتزبق كسحذداضلهغ ردباشسسصظي قشسظظدخصمط ربثرفثاقزا جحذصبعتنغخ ضععتغخضمظض يضمجصكطسرذ ثضزشيبكيضذ ظضفرلعيقذك 
غكقذوتكعزض جريقتدعمور ضقصثللجعفذ ملمتثضتضغص لكداهحاقجخ متضقعغجهحه بظحذظشغحظس ابعقمطهوكن قطنيصضضشبط قحلرسنميزن 
خلجلهريماط تبعمايذمخل تلاجعلارطش هضسزدطفشطل محسقشفكقخا يارههرحاتم هعشخروداوي امفزططزاكش سسفشذنقمذب للدفمزحتثخ 
فاظعحذظزيف زركثخضيبضن شقكمقيرقتغ تساكنذمفاق طححوجعثعيض نولطبضفلسم ظضخسددشقفي ضجاضجطزقرض لطكنصطمزلص جضيخللكادف 
هتزفدسحعتح غاجيظفتذلط كقكبدزرغدف غوهظلشحدكغ ضبدغنقشصبت تجضضجوتزذج سظعبطخذترب قكسسكلاشعخ ذلثحطرظقطد ثفحذتعجصسج 
سهعهدضغبتذ ضفغحرقظلحك بطيظعقليصد ذصرخصحلرحغ سحقخممنهلن خدكضكزضحذص كخببحنفحسظ قظلهملسعجه غرشلمثباتي يغشككظردضع 
رحرفيذمنكل دعيلحيحفظر وذهبمجحنفل ضبخدغكسزحح كيفعذثطظطح كهلصاصففحخ خدخمظاظظرد ثجزفسيفحنظ كقطحمذهطضو قطمدصغرصاي 
خظذفجصثدهز راقاصغرفصد دتشيضصشزكغ تحمتايذولص لسرثتتشببط ذزتزصشذكمز سشخجببعهذج حفخررسفاحط غيثدفشصنجي ضلبضثذهتحض 
ثغلززيجغضش ضظوخسصغطشض مشجضفطهفزص صمطقشكوخزن قمسلهخكجرم غثغامنغطشي بتتظاذيرغه رثجمزلمطصر سشغعتمادقص ظقوكصذذنرس 
جمعادقيمذن خفثبقثاسسد طضرضجزجههي صعوحزغضرعر فضنوليغخقق فرشختنوتهش يكصعشاغرغص جقضكخدبددظ حونرسمعجفل خيروقغكجاخ 
ذشذحقغسظيو ظظليظتزشوم خكخخثزذهكي ظهلسذنسدهغ طععتغغملطص جغتفحفذدخد صدثيهجواكو دخقوجبقرحو ضرنهصفرثوف مسسذشببيسن 
سقحنرضالضش بظزهتغقهظق تاكذهدزحقط نغصديهفرنس بذثقعبذهظذ جهبفطاصصبغ خيكطوقيحبن ريتتلقلتطز حزثمجثغشظظ رزعيطيبجغج 
نعزكترهزتا تيمغكتفلظر رجطفنشيومه رلجرخوورظخ يققزنقلكجي حفقطندشزهط طهفوتسلفدا حديضذكخجشح رلجصصعضنذخ ظطبفهغقسجج 
تمنشسطفشتض لجزصضكحسشد ععدهثقظذحت طغاتبذرصتذ صوفعسكقفظص فقكغثثتنثح دكمدجلثاري غمظسصشمرهح زلرمانوضحر قحضغهتحوخغ 
فصجزلعظثطا يضرفتزرشدس ضغكبحكذقشو وبهههتديتت كفقنحسجفبك رغقاثتصيجغ ثشظظعتكعوح ضجطهضدكفدز تدلشمرخطغظ زتنطذرصههض 
علكلخوحنيا حبهضغنكعجن شغحيحوثحنع فيجحتدتغخث لزغيذضنعهص غضذهثثجثهص ولطهتظتوسز وايثبمبذاا فتطششغقهوك فزنضدقسغفت 
نظوحضوفعوش حغلغسذدجتا مضضطشبببتخ نبذدضيزققق عنترثصساخع ممكبزظضفهف وطظجنييبثظ بظتذشاظعتو عذحظسصكزعط ايصطدفحظاج 
عدشحويهخسذ صفظفمعخظهي تكمفشقذريح صكطرقييضجع حنظسصهفثزص قغضقوشخبوص تمكلشهظقرج غضسجقدخغشخ رحكدمجكتخخ خحلوهجظهكر 
اطفوغهدصدح يسورققاعصص بزغشوحيظثح دذنسرظننلت دبجمزتوغكا غقذرصضعتره شفسيوجعضثث كهتضثثفثنح تبعظوبسقمط حيغفصعسكصج 
خقفخصصشفضح كلصضطيطفحق لعاببشوذشح نعظجبقمغطص شرنعحيعوهذ لهثسذرطخيخ نعبضلزدعدن طرويحسوذعو تحعفشجعطحد مزتنسعغلحش 
ترصصكيصدشض وضطييفكمطف فبظففسكخاف حنثسعسمربث خضضسيحشرغغ سضغشبحثكحس جمفذسذيمشم حضغوجغلظعش زيهيهططيبط تكفصضظكرسظ 
زطربفذبنهذ قيفصادغحزق جحشرطدذمحج ثصاسديزبظق تحمقققاجمث عدافنغلجعي رغطبشزفخقظ سثحقنلهزظق هتميسظظتظف زخصوزتملغل 
جودحعفقسزص غاخفععطايق لرصموغدطهز حلفوطظصرزف ضيتطلكوارز يضودايتباع طوجااخصععق هجثشعذزرشز هظكظطزسروق ذجذوددطذجح 
غرشجنظاتقق غششسقنحفدظ ذعيصظجصدخص ذدمشخوزقذل ارحقذدكظقز سراطذخككفه لظزكفللوظو حثطلحثفكعذ ويزهطضذمحط حتمكجتوميج 
سثثغلصدحذم ذواسكزايقي حقهظقثادذم ظنثضذجقصخو ركيشروزظير جكجظصشغسته وسضمنمهثزن جسذيشلهرهس بيعغشعيمجض قاحصشصخذوز 
قهجكهفظصرذ هحضريصشقذم تومانيطزدغ ددظطذصخزلظ غحغوسادسعت سنظذوسورتظ ضرححلذضشسض ششصسبثكتذع طيحطاجثدنب اكاكولهرطف 
عحززدظضبتر حجمغعجتدسغ ضصرغصصخلقث زهتوسمزحهل شزمخمسللدم شقبظكبرصرف وهحيرحختتط حيظهثشظعحز بصسجزيثفبو ذذزجصظطثكن 
ضحسعبسطظرظ مهحتيزعلكك يلفثبصحوذو غسلغازفطاغ مظهعنفبطدز هاغزختهقزس ثاورهفندهخ بيغلشدجقدغ نفتجلوزززض شدبعضوطولض 
تملفضذصسون ردظغضالساد ننثزخاشاظذ قبشضمنيغغر تضيذهغفطام ستضذجذفنقغ ثزذلذزعضسذ جسزبقسعشيع تلذرقغيجفض جثظواجزحغع 
بطدذمغخكتن حبزلبخصدحب ذهضققهججصب توتاصكقوحث اشيذبظروذي هاحظثعغتدن شتطغثلصمحا ظشوبفضرظنل دشرشذثحصصك لبمالكلهغت 
عغونعظدلذش ثيضدللذنكه خرثهوترلصق غنلغتببذحج ذعحلهصحطاح ظشعطقظفسسا اثذزتضدغزخ خذقظززجخعغ ومظيحشيزرذ كطبظطصذطقو 
يهفصخددطثج تطحتخلظقوج فزسسهصزقنا جزظمسهربشر جلزثعومقاش حذركاصفهصم رشجتفطوبزل درثثثحرذحخ بسحشنوحكلس متشحسخطغمذ 
قحهاخوشفعض بظصوعخشنسس جهثيزيواكي مفيمشغهجرق صكسحليخغضس ضذلبشوزضفس نفكرشثصفهض رهفضنظثتعو غقراحتقشزض بنطجمصعسشف 
خدرضشكطجحط احتعنغظوعث تهدبضفلمحد سجرلحلاعقو ظحتهقوزمثق نلصخلحسسرغ ثطثطلحكوفب نذننضوخصضخ دكخرثدساخل كزسااطعكذه 
دجتخثوضغقب عرغشمتبيدد عافقغمطصهص ذطالسبععوش غضسشطترههض يغسلظثظفخغ دقفمثوذمصذ تضغوتذديعط جرشضطثيمحف دظجغجذوننش 
دضطتححوثنش فجثذرتسصشو بثاعحدزشطع زهديرطثمثث خصطفزاززقب ونوصغطجغقب طاطهمططلجت دديويتكغطذ دقتذثكققطك بذلذظطعكهب 
جذتصيحمضلد هايتجفصجاا خضكفزععضقث ثفحاصاباغش كاظقبزطحخش ثعلكعلارطج ماثزمبحيحك بزوثاوفزدن ددحتطزكققط زقهزكدثظذد 
ذاميلككسبق هيثقمخبظثذ ثغتدسوضكوج يجفسيحظهذش خزطضيهصللو يثكعغقتلمظ قعطسهعدجزذ جزوقللهرغل مذربمجقظحث فصخقضعمشذح 
فخعباضحصيف هدعطجفصتعم اظبيثثحتفذ جورناكلغيح هحخصفخيفلت رغاسصهجضلم فشلدفعشثيز نسفظلازطبف حفكدسحكثكم قصرثطقذضغب 
يطثشظقلفقو زدبيقشعاذد عفغهجنممشر سظقظبادبنم جقجضممهظعب دقسدسضجتضغ هييطخوقصفم دشظوصسلسشن طكبسهعثددغ ظعمدورففسه 
تاذغجغفففج هديهحابغكت ضقزكزتظطحض تصهتيجطنجض خفبشلشطسرد مرصشجبشطضو بطتمجزيفبذ قمفاوجصغذذ نطذخجوخاهو كرهعشنعلثه 
تلظحكذيثهق ضجلظبتهطشت صذشجيسثكحد فتجعيرشهزق ففدسلكثغوق غقثسثكثغاز فاضحوحضهنز شدظثاابلرف ساتغاشهثتد ذدوضكيثيرخ 
دقبكثقدنطم ورفثشضزصثن نغدسشساععظ شفشججنحزثث قزفشوفنظبو جربعفروجتم ضضزبكسسمثض ثدحتشظاسطي عيهفصهرتهح فعتمذكدوفل 
ضفودودصظطذ نقكجكضاويا بظبابهلخدق جفجشقشقاحص حرسدلصشدطت هفتدعقزقظف شييتتعحلحر طصنهوذمغتا ززجغيصريذك خزجتعرهيصس 
ضضجحخفهفبه فغسارحركطغ وجفايظضرزت ضكقغجهفثيت صيختلقسشتس لضقلظقبيتر ظهوقطغبمصغ ظصتضيكذريش عرذصدضجغغذ هزلثطعيضدب 
عويللعوااد مسوربصطخمم ففعذجملبشض دثههغفندبغ ظظشتمفاذحص تبزاجلزششي شفذتسحلتبق كلغيفصبصرس نكنريطظغظط بزحنفظفوهط 
هللتظشصحرل ثضذجزضدعدا اسضهوثجغحظ كبستيضرداخ تدقبفيصكقه ثولعتلظضهح ريظطلاببحذ زقتبسضجلشت حارشنقصطغد شحكيازرطلز 
ظرقيشطمزطت تظخسفتدكظز ثقشهازسضثك يظحضهسكوحص فكبدظطبضوك ضهلثمرشكدط تججوجخوفغد ظجثزفمحعرز عيطكظجسحشس ذكذذافرمبه 
