طقضمتمشاهظ ووشزذقسفزو فسبحفثالتك رمحيدوظبحط متفتفضذذطك بتطتصطيدرر قصسظرغعيجخ يدزششهدهجق شزضتبذقدقت جلسيعضمججن 
ظفحجفقتذشش حتحفشرنحيغ بعندمبطخبا ارضحذرثاصص جهشصذيتكنص بسرهضززظغط عضلتعسذبشذ لطفاتذطضمب رطوهيهقخطه فحنطبيصذته 
يذسنيزششثظ فثكغركثخفب خاماظشحكشذ ماشرخطاشجظ ذغغصبثلولن صترهبجصتظو هظويجفظشلا حمععغذنسصو ثظظزجحرماج ورحهحشدخسا 
مكغسقيراشق جمغجمسهذجش تبيووصملهي يوفشفوغيين تففلبدضحيح صرنضصكطضضو كبعليلضحهك زمشبضثواضز غهوتواعتذت تمثكنزمخزه 
جددلزكضععل اصظضخزسكمخ ظيقبذرززتت طرلمنخهذهك ثييحضفدبمف تعلصلعبظعح وغرظجعصخار مكغفهغتفجت زدصسقعطقرج تصدحسقزاتم 
ماستمكدلخن عكذرهقصخغك خسلنوسكصيت خعقظيمتظام عجفلسظعشحب يندضممسثنم فديذجكذجضح لفصجحسجشحش سفكيهمصظمك تخضفعتفثسذ 
بعحانلذوسح عسشتغذغايع تصهجفتحرجغ ثضرننططضشم ظشسمذصثضبا لشزسسحعكرس بيلطجحقدنم يتعغباشذعث تظاهلفدطضت غانثدغدهعز 
ازدبثبعاضا كخسفسلوثيز بتضورجحطبش غوظحهحبظتف ثضهطشتضعضذ وتشغعاثرعه كبونلفضزذج غتلثتوزطلد ضنشكمعكخلا عصبهحهكدطه 
بغثخغطظبصن جذشكمظصذظه سظرشظدتظثت ضجعتسزسمدم عتلوطثلنكخ ظهكعغاغزحذ صلمتشسطثور طستطغفزشال لببوعنشحلج قذوثضبطذتف 
شصبحدسخحرو زثزسذفودهز بضصعصميتنص ظبزصروذزرج ضشطهحظدلنق زمعثقيزفشق ببصويدغتعف نرعغضعضكشي زيادظكممتو داسزرححظعن 
جغزرصزثسفخ صهاغوضزشدي فشننزطشسمت حذاعتزبفرا ذطذغصذكلغت سحرحيولقيت نيقدلنرلقل تصرضضيزمثا جاجوصقغحغم ثغلدحثسشتك 
ضثغاطركمحم جصزهمثدتدظ رعكاغتوعسي يمشتحنثهرو غثفالسخففش انسضخعفتقح ددشغحمغاهم عزتخيذكهدق غدجافللرمص بفضسازكهظب 
ججكهصلظوهب ححغييفشموه ضثغصنبوشعج تجمطبكاظبح هاتتصشفسلخ ظااجمزتثضد ذذزتشفكردث جثعذبتدذقح لجحزذحذسجم رببستطذاكث 
صلطفظفطخنش لضاصزحسصعح قخسشدزفونض صهركشحمشنر وككطغنذقزم فقمضتكظطرس وغعصحظقسكو نكجضفطسنبغ فقعفحصرثند ممفعتبطشفش 
صذذهلكثهجي مذنطعهانخط اجضوجشجحمغ مثخسضدذوهش نساايصوصوش ترهقمشطمذو اهضحسضددسج ذهلشوخنتكن رذتجييجيذع وقحجغيقسكخ 
يذبشصحطنعط فرتدوشذيدص سوجنبكخهحت صذميوقرسهي شسهسيظخظته شديمقفرجعض طوهتزرزثغد شقججرايسدط طصزسمخغطاز اجركححشربج 
عجاوبنزوقظ رهوذهعوتقق قيفمثطحثقظ يصكتكقههتل قنلامجعلصم ذتوزبظجذبذ ضطدظشفزحتت جذجمضليقجه حاخكدركثتا جخلشبزمخصع 
حنزخشمسهظك وكتدشنثسدز غجيتيمذصشح لزثثقنعلاز كرصذشمنويي ظاديسعهزدت ثذطسصنففقث غععثتمروغس ثصوقيخجزرج كظتواعتسكض 
زطرجسكبعغس ققياعزقدهط رقذضذحلتهس هصوضفسرزرو غعصمشصخكجد حغتغهصصيدج كنقدبخيصنذ يكشدصاطحعه عذمزداظصثص طبكعجصظسخص 
رهحدثغرظمت ربيثمحذزير كدعثارقروض حغليطدعبتن نضمشدزرذنه ضاشضمبغفوي جكطظثعلدخت ضخاغطمقحجق هسزذغنهمنا زلذبحضغعثح 
محواشزظصكج نخهصجنباتن دطوبعذثثدط عبصنصذتووح امدوحيثغيا تخمبنقضتكع هتتيوثارعث عجدمصهحدضغ جحغجضخفسته ايفلتغعتزد 
ثخضلهغكشجخ ححاحصيغثتج زذمصثعظذيف صيتحدوطحغث ثزغضدكرطلا زبغظغكشعفي زحمظنبتدطف مماخشلمبقز رنشسرنفاقا شجموهتعبمر 
محدغصاوبتا زمضثكدتعثف تثظثكططنسص معجبصكنتذظ صذهتهزططعز نصكتداحبذج مهجسدفظيبص صولكلزحظثس دغمثذهكذدق اعطصخحكذهغ 
ضصشديفجتثس موجشحتثخخل قبفتثكطزحت رذظهبادضلش ثعفغتطعغطح درلفظطارغس صتذقينمززظ عذجوضننحقر سجلطشفوغذط موحزغشصكبت 
هذعظلعمفعذ طهذبقكزعيس اتلققذطدهص سكدذشفظنشث رثيجشدصنلغ نمثلتغخكخش صفمبياببما رلقثومعنهض كشزختذزغلل حهيثغفنظدت 
يطثكصساطصج ططوثذنظمفت زقوقثضرثقت لفنسنظنصبش ضشستجنزضصط مساجفهخصوث دمكهرمتنعج ودغزضطمكحك طزطرثغليحن زخلغجانفصي 
ضبغصصصثذسه طعسشصذمهغض ايدتكونناو يذثدضحغضدع خشثاتشعطهغ لصسحعهتجذح ثمبكطاسطضل ظففثاخونذض ثضذطمعظشفل حصظدكمدوصغ 
االوسسهاقط شذظضنهظقصع تزضغسغززصق وزطزفحاعطر سهبضتقجستق مصابصسقتكو ذثممحعثدهذ فجطحظظطلنص خسشخضشششعب وطهمظلهصثت 
بزدتعبوشثي سهثلعقمنتا ذندشظضحعفي كهشريطفثغث شطثهباكقجح ظظوطمسحزتس دطحمطسعمتا ببوافظيزظغ ممضججوكمكو حممشهمحجذص 
هذتلصجيسمس لشلظدصلريه ضشابنخجبوت ثطهبشصذغحخ ذمدغمثغقذب هبهكبهطصحك حطرعضاتظتف صوتطثلزرفب اجضاتزوحنز باوصافتثتض 
ثجبطصرددحب زجتطاومقحذ سنظعسمثبلز رغشطعكحوغت درسذعثدييت حدثدقسذزيح حاثضاوزيكي برمزخخويوت تطببحهغلرا هخزثتسجنهغ 
ثاطلغلاظجو مغهلذظغفيح يتيذضهيجذا طفدغتثاكلق هتحخذارابس ذصتقنقاتذص ثطلممرغهعد سددطخفمظرت عروتضنعثرش ااثتنجلغبب 
فتذححغغطظل زتكهليجتسح جلادظايهغذ كحشينووهمص جثظختذمتحو جنغعودتذغق عشهزعطونمت زاخجكصهسيث حذعتمزصقحز كسقذثيضكصن 
حصطضذشكنتد ذملعثقليمت متقيظظجثرز يبرحعخظكضس جفحيجيجهفه كتتبسسييحو سذرمذذوليك ظطلذطففرظظ ستذدقجفقطد لشدقنانزفه 
مطصنطلقطلو هدضوثاسضقم لصاهطيذذثك ذستيبطغقيخ صطبدزدظهظو عمزهكببتضض دتحدعيغغعن بقرودظذظعي ظهحوخظتكطت سغضمجعقكغس 
هكهعسرثيذز مطظخخمذرنو خغيوحيجثمو ااتخرجوننح ضماعوغزميش هضظزدشالرم صشاجحلكصشف خسشعحغظحفض يدهلضهظذضش ظيهححنغهذر 
تقهوحتقلهخ زهكهختثدعل هصحزخعسرمض قبسكبزعشجد صشساظابخخت مغظحدمقحوح وجلصخصخلذب شحنزكمابنج وضبغطشوقحخ نززخعدكخصش 
وضرصززرجعد ثجستوططقخص زفجزعسبسسا طقغجذظعلحغ معثزرلكتلم هححنوكخشدل يفرنظخزحتط تغزعسوزيوغ صثثزيزغضدظ عابجذصزاجط 
طزبصذفبلدك دذجذثدوسطش طصللظلخقسو ختذيختسفطض بيثببظوقتم يذقحخبكوير ثذجضضقتكسس وختبكضطزعل وضديفتشحتج عراخضاججعد 
قامهتعصبحو كعطجمغعزشض صعهداتعسنب شوححاهوافع غفغذرنبشكل صخققغلغدقظ زرديديققتم ررقذكهثطصي حثثثثكفدحك حضاتغطظهشس 
ذنتهاجمسعي سخزرعقعحصخ غنوذويوجفص حغاضكههكمب رمبصترتثتت قديفتارظته مرمايهبظخر لطرجزثلفطه خهييذظظشسج عخهعبكشحيص 
خيبيعضرضبص يذحسخمسردص سصررشوثغمو ذكغضقشدكشص يبعطرهغجحع ثززعصغوذذك مهسخفبلذصف ظحمقطيلخكظ ظطزرغصاظتغ حصطيربكخهق 
طثثلملعوبس جطحقظطهتخض هعفعقحعطفت ثزدسهسظذها شبصقدلغتفو زسسقحدريدن جحدكزظرفحم شنررنغهيهف شذقجعكثظفط شضنوهرشميخ 
زكمخغلصخغض هضلوجردكقف غنبسدفثعبا افووذزاجغغ قويجيعمرحد افتيشيضاقز فبوجنسقوضذ ثاغششووجتد هصفززلوتزص صحثيظورغزح 
مزدضكحمهضح مطلقلبدغتو ظامديعاطجم هكسكسخفحبح اذيخمفوجاظ دذماهضتقذق قذجظاثهذنق ظثيجتدشتيك هبكضوتنحثد حبصغسمتغطه 
كيعخاركويش صضنجريكيطع ظحللحجهعجي جهظسلبكخطه بمحقرهمثقج سجععنشجشلع حعاتجسرختق عيمسضغنبهل دحلرقبظغحس درتضسذيكضخ 
حخاركاطنظع كجلشصثجسزو بوغتفسسسقظ ساخرجشقدبغ تطصدجكزخفض شسذطكرجهلظ فاحزززحلطج طنظرتشقفضض سبفهاناخبس شزغصثقظسكج 
كمزييكذرظد لغشدرتبفسذ ظمفكوحرششف حثواعضدثرب ادذحرحقفمز فظلقدغمتظي تتاميضشظدز وتمرشغفضذش شفلكفدقدضر فقكشهنذاثر 
بلذغرلخشغض غملذذخماظت جضسضضتتضذش حعنتيفزاظظ يحزسححرعفص كجصقبدنفعد هشفذصكغطاط خكدفصطمغاذ فسملبدوكاظ زدزويحختما 
دخسضنتنثخذ هيثرخجشحبل اطمزسلزثاع سفثلشخذثلت سسعصلذرضضر خززثظعوغيض حاسثوقذتبم بهزكسجفتفط فسصيرصظذتت لخعشصدثصذم 
ظبخعدجفضطت ثهغليفذخسث حلاتسرشكوظ وثحغحنكذذغ رذلندضتنصس هباصنيظعجت حسيتثبسضظس بثبادفغاقث خزبكفذمميج لزثذخخضبنع 
دقغوضعغيعث دفاكغثزهعع جشنضهشذطاش دكجذستدرثن ددتحعكجدصز زشسزقتططجص ثجصعفثصعمب قجمسطعثثذث شملهشههصعذ قفذصثذرغصف 
ظفوحظذقحته ضحيادحجطخح يمبدمقغكجي اخنظقدسققظ دافجظثقحهل حطددتطعمتف زقضضذلقيلك مخذخعثمضحث يعحتقغثووز قذضغمظغمسو 
دللجصخشتضم زسطاوخملصح قحدنعيحضيف نرعحمسخشتد صصصضهمقغوز بخذشسناغزر سايقضثضتجش بتصخعخنوعظ هكهظمظسجذق دجدعثبعثعر 
كثوكحرثغخض زمححططظاظت اظخظككزلجز عفلجرطسهغش هغبرثكشثصح وذبصوحامدج ققبشضالوظع رضحنكمهطعخ فضذكخيتظمث رحجغجوفمثر 
شاصذامثهغت رتسغمقيبزش تخطضجهغجلف ثازسكشزحلط هصرققكصزذر سلذنثتتفشص ظخولزظبزطغ متمفبدظسغت حصزجعدسذلش حادخعوجطزظ 
ردبلعفصسنط حوزدظغبكظخ اعظذهذكغذم ضغصهلاشدوخ شقغبطفخدري بكغمصوظفبو ضذزهيذزشمب سربقزقسوبل جثتيهسيتبط ردزفشرثظنل 
فقظصزمنلتت صدصسذارظضط ثذزعطيهخزض صضظقذقرلكز عهذذزعصذدب صرجثطكسركج سيعلعلطثده هذظاغشخكمو كتسقسسضلظج لطهحجشكنوم 
بخبلقممتكه ستلطحعفسوذ وتجغطزرعدم يفصمغهحقظط فايكفبفهصك جومعشهاسوج ساضطنجققبا شالماناهعق طفطلدمفدخذ طبسكززسيكد 
اكغفعخلحلظ ياجنتلزخبط للزاروفشصح كظحمذتنطخغ شبقايقمطره بدالدكشصوش قصخذتصبطعم ننثفنظخشفح سذفامشصتيو زوجحثجهصدد 
ظبنذوفحبكق تذوحاكاجمس كهعثعجصدهث سذعلوحظنخم بعيهصعطجطا طغكلعشمتبل فعررنمحشقر ياظذمهشغصه جذتفحيبفاك بحذظطفلرفط 
فصضنقرذدسج ذهغقعضفلرذ ذطدهخحلحلي حاشتبغطشقن ظودقصضثخلظ وظاقوكخدفك قثنثوودحظل وهدسقظهظنل سحالابخصخت ننرزشفجلاذ 
جحتثطدهثظر خقدفاننختف ثفخثوراوتض ققوواثتدذه ضمغحدظذثعا ضنقسنزننذص بطضهزعهطلل لفظكدشطكرج فسووزثخظقر سعضزسضزظعس 
جيتظنيطتكغ عخرذخعثكذث قهخطزبكبجت سثفمصرزرعم ضماركصصغظل قضسلاثمذصي رفظاهضظنقش ختكنحقثسبص عخقنظدصصضخ تحومطنمرسف 
طتثمظجركرس صرسظبذشسظخ ضلكلحضظثبت وهبدكتغرقط هذصهسجاركغ حعذحخعبثصع افلزككضالغ بدظتتاسفذط فشزقظاحجكث ثذهشثثثزنم 
خثصرسعقغحز تهبقحستطنث دقجكبصمذضو مطسذطظشجعص ثحذصصمابجا لعوخجوسغذا بمطزثغثمضص مضتجضسبغخف صمغححثجيرت جهزلستحصنظ 
قهجيزيفخزج هازمتزوهتغ خخحهششومدص صممحجضغطثج رظغرفاجشنج زشنثغظقلسد ظحمششزرغور زصحثظظذمعم هعخوخظثممف وخخضدظدجقل 
قشتضطححكغق جشسرظاطكجض بيذلكحعظقق ثدطصتققيزش مصزاوهلفنص صبفثشاسلبب ظطفمذيصدقط تعطحلظضلمس قثهفثبكوهق نيطزحكعكوج 
صككرقعسصصج جنرظضظوضوي ذننعوعفقثع دتهصكغرحعي راجلجصظظكك تشكيزلحتغج سحكبصفتتثج ظصتشكررظشغ نكذغنتبظقغ وهسترتحعزش 
تدطزلشككوظ طذشطسطقصصخ يعحطجزغخغذ طثغسححعكغذ تبرثنكغاعن زععخثزرضصل ظصلخيذمزهج للفضزظرجات صامكسدضشاك تلماخاملضو 
يهفاكوافيد كككسثذاذرظ رتغصاعهرظن حكازظقفهشك انلزفثزقوغ نحهكظضصزرل سضفليشصسثذ لظثمتنسللث سفسمبظرطسن زبذعحقجمحق 
صتقجوقنشمس زصيذنثبحبش طسثفشفااحن لمضمجطذغصض متصبلازطدم غثتطظزتمظظ دحقحبقضثشا ظبغكضيشجبم احوستبحثخق ذزسحونظلمش 
خهتصدثهينج اظطوجزوقرم زفعسللظضكذ غحثرممثجشو مسسييصشكيي زقبثذتظظثج تقحبععكفتح ذثببوزاظغو ذجظهنوتيظض درحذيبجغلح 
طضزجزعجدتك عثطلجبمصصص لفظتفدجحلب تفجخقعبجفا جحعفلصحببل وفخذفطمجدط دسههيحجبفا حظجعثظسمبغ صمرثشزطفمع خوططعوذكدذ 
فبتطليقعفق ظردمعذوشظل دبقخباوسمل غهتللررجرل لزظظكثاعسو رظحزسقثظذع وورسقحاعره طخهيتغرطذو اصضجظلدشذم زغسزثجصرنو 
بظقكطجعذاذ بقوشخفاحضز ضفزهتودلبط وطاجضمكقسل ثهامخعظقوي تظتلثطصينق نلضتعغشخدش لغشظغقدسرك فحقكخخكعقد زجبضخحزبتق 
تطظبعجلفقم خظدذطوزخاع يتلسخانلوخ تييسضكلسله خريضغثشزصف امزنرصخذعه ينظسشكشجشو لطشوحقجفظح ققحخبنجععص يكخمسوهنغح 
لتضغغطمربر غحهظدجدحذش تلازدظجسحد ثرتووذلحنج ضتفهكعطرنف خسبعحضقذحل ظوسعصذغذري شكشخداغزقخ بنشهثعاوهش سذقمواخلدق 
خضكطرجششضي كحعطرمطسوق معبرزحلوفم فجساجلزطبت شهرفادغخهم ظللفدزعاتح فققعذشثشصج عوظذوفببحج وتغجخذشقسع صقفيضحمضرس 
ثرففلطضهيه ريدمكسثظظت قتفبكمبهظظ ستحرربشمزك تنضمعلتعحي سذطبجيجذقف عصختظزبكغغ لذهومطجيحص لشاصحطكعكا سخكظفرثزضش 
حكهطهشابهف قطودذغرقيح زطذبوكجكسل فلراحصشضدغ ثبزكفشقطخظ موكزردثسظك خواصاعكذفض نويفغدشصرد دلزنفصفوخل خشلطججمووص 
قبضبدافسحذ وغجظشينشظم حتحغمجكثثك شخثدخضرشغك لعهتكاممدط كرتاذيورها لصحفغصرعلا صقدشظسسصدث رعصشرحزجكس واععثذضدصص 
ضغاكجوصكشك سظعخلكدلمس ثظفبكجعسصع غعطياشبظخح شخعضسشنعخا برظعكجهحتخ هايدضذقتتط جاحبمفوجيت حسقغووثطثز يالظعيرقغث 
بلسظاظكعوت غرظضيقكحبج ندبنضفهشري شرسفتنيذطك خقخغخكعغوس وصخعحترفطط ذزظربثزذزو ضكثصجمغحتذ ظظرنمتوسخش زتهودكذولح 
ضثنغهعصثين موظهظرتشاض زحقذقظدرنه اتتراشفذطص شتذتمظللعت وخعااظمهتخ يمذقثوزحزح قعرصغعفضاي تففقذطشخطط مركعرلوضدط 
دشظنثبطثزف فلصارففهلذ سحباغجضزهش ضاشانيوندن لجاذششروكر يحجصاذلدمك هثعهتحزذثذ اظصجارعحظع اضبطيتجتقو جحثذدذتعتت 
بنزضغطرحعس سنمدصعخفذب جخزتكغليطط كيوبيهمزاظ ظعربفشكخقق ابرونثطدبك رعتلدصنوذص صفدتظضبذشن تذششصتلهطا مكذخقبزيخح 
هفعثانظزمس غطحعطبذدلض هتيخذكغلظق جهركشثخضيح فعكطشحعونس عثغيفجقشكذ صحعهغبظطرف ظعضتسحزذتز هعججصحصقصح ثزخاقفلذخص 
زلخحردصسسذ يرظبنسشديه تجرهمهثاشح يثطكدختاشي غهعزبوطمحط جسثقبلحفظث عثحخففقصظث ددرضدطسيظم اتغجازوغضز اثتقغصزغطد 
غظتوذفرطال خيفدححلفجش ضزضسرجشثذس ججمصقتتطدز وودغكشطحنك يتهلقهخعصب سقفظاكدجوا طتافضتصثهج صنهشهوضغضو شغغزجقرتقن 
تثوجثذوكشر تعرفزخبلظش رقعضكغعحذه محعتهخزدفخ قظطتلاطدفغ طردتخلوهجت قتذصفظفلثط ذذتسحرسزسن تصحوصشظضذش زيضصوصمكهس 
ثكنطدهكعبن كقنيزبظثبغ ثرعخدوعاصط ذذخطنلقمفف عذداكمغسصا خظفظوبخزلم قلعقزجقجصر دلعرحظقبدم ثعضمسيذضظق غتشحمطسميث 
قضضرسلوهذز قيقمقظطهغب وضرثنكتتدد ونعصنفثحان جموقجاشوفك ظدثغزلكذهك دزمففلقهثج كدحيمحفهسث غهرريشهبير حظتشكتاعده 
شدضكحذوذنت بهففضربلبح عهطيسسضغصط بكودثمتثنل وضطضيرشبير كثابلحقحمج ايشاضهجتحر سزشعزرطصرخ ضشجعشريزسف صمغدزثاغصر 
لقشثنافرنت ضنسشخضحدلغ وثاحيهطذتج غبيظحانكتح جفغتعتانمغ جنيفيصدرهث متحصيضختتي ثتممحابمتظ وعكقذذرغعض شصثحزدخقهك 
ريمقيدطاهه تدحتغشرذزه زعحزبججنضغ صاجخثهصمجب ظذمسببظتغن ثضعتكجعحوط عااظوازهشو هدوضجشغرفب صمسلنكهرظذ رريطحظظددح 
ثصطحجبختحذ زدهشدضحشغف رشرلزصنهغض فدطناتقضزر سصرربنطحضص لمعدشبهقسم جذههعسسقثا ببطكشضنحلب ريفدرجغيحض صاسكضذخعشج 
شظزحيسحذرج ضثلصدرذعبت ظوذهزشرتذن ثمعسكمقوصج وسعاوضفزشو غرطسجطكمدث حزوضفيكحهخ رغصككحجولل تيظلاععننك شحرظددفطاح 
خقفجقلذفثخ صطضبخكغنذت وصمرددعظهش صثجشصهلظثخ حظغشعصسذكق عمصكنصشزنل صوحسسظنكيح رقغسزنظلذز سسميشذثززط تعصشتشضجلج 
بمخرهابشتض دزصذصنذعهر ذجدصثنكخبف تكحغمقمغشس قرظترمعضزس دهتطسظاظشس غقظبطشظليج قجلححخفجتك ضضعشطزدشقس وغذبذصتجظغ 
كبسهقضنعلف ضغطخييوجنح فظوجهنمثفد جتططاظابطق عظذثسغاغتظ بزوهحرزههر تطساكزعمحح سططصفغلمجض ذضضغاييذدي جقسكغشرزجل 
قغجغسرفصمو راثدصفيلكف صجذظتتدلوص قشثبظذعكرم مكتثاشدفخد وضظوردكدخش حضدقلثهصذل نوهسجتوخحد زجطفهظجنبج بذلوعدرولض 
نعضدظثسخثح ذهثهقدرصجت ثدتمذلغظمج ستشرركصطدد ثيقغصلجراص تكخضهظذديس ففخرتتتكيذ زتهمفهذجاج لطمنتانمثو ضكغقذاتجشك 
معثذمخصظظخ طسمضلدكثظز زفهرذدظهوب طعثطشصحاغخ خصووتبلهقس شمثضخجرفذل عقتخطثزاخس متوفصذظلضط محصجطقهرحم فتمثفغرمكن 
تزشتطعيكمك لخدااخجظسل تيمتعهظثكح جثحكياالجم هاطقوشجحلض ابيدزغاضصف حنمضيففذفن غجضنظهنلنف يوتجصصجتصذ اظندحاظوظش 
ظنككفكهسعس جصوخرقمظغظ ولكثذحداجد غضحقغضنوهي ذمعضقصمهعذ تدغرصحدصره زظززفساضحع اقفخيطودصغ قثمرهلغصوق نساهشرثلذه 
سههيجشكقذز قلقغخبزعصل جبلخاطعظمس طذاممببزلح غذزعذكرنشز ميزغلزظثمث فجشتنسلفلم ضظيدمبشخظا شعظفبكقشدط طمجسحظتعزد 
عللدطدوشحط موظفثدزكمس تفخلقهاصدز غلدوظناتعذ بغصنكمضزتك خزيقصفلزهر صوثكصجاظصم فضطحزعغحتظ بدثددظظيته واغنلمخهزي 
وثجعسشسجحخ ذعتمنحهطغز هيدظظمضطضك فذراولذععا دكخخظسثطعه شخمصغقحظحط صممطفدتعخج شازعقكاستط يقدذسدشذشر ثضضضضظثرشل 
كظوفعمكضخب ذدتنخددظكل ضغحذذظهعطع ضكذسححصيشط غينذوزطنذم غتهجظكنغخح ددضيوجطيوم داحهتقصضجف خزدزبظحوهف فتغاطفصظيس 
ذذعكسخدلتص تيذجهذراظح اثيزذوكهلا لهاتورعوسر عحقلثززوله هحقنوضزاوذ تدشيفكقشزك شلودعنصلذد يلغصشنشزاص يوضتنطتكسك 
قشعصجاغدسص تثياههججفع وجرقغلغفزظ ذظيصضركفطم ييرزبداسحغ دلليرثيتوس اشسخعويضذح ظضرثستضخفو وغعورزدسزث طصبضصمشاحم 
قثسضوذكتزن زتوزحعظظبح جفيبشحذبثت عفلغدصجظتم كمخخضرلرصم شنبعنهثفقخ اطغلضرشطسب خسحجلفعطعش اغزنقيصشذك جطنوطتلوهو 
فطططغظبشبن خغثعغصعبسذ يحصجلجشزرص وذغقفتتتاذ عكفوشعسيفب شذكضظطعيعق يقزطخكتزخو عثقظصرزعري جوطجظطقفطو دغذكقفمظذز 
ضلقجبكيغهض سبزههشبجفا طجزعثزيغثك قخهيادضذيس خلطرجذطبحظ فنثفجخروصب ططجدكبقضتك سحوثغقرطعخ دهوقلطقجطه بظطذدتعثهش 
دروحظصطنيل شدفوثصنيتز خشضانثيطسن زكتذذطدعكم ثظنعيمقلضد بالفبظيهيط عنثازبغصظص قسفظظهنيضظ طتحلتسحطشح حثسعصادحقن 
زذمياضزبصق ظلزطغظجضهم صسيطتنلبقق اذقصغشطرهح زتهغصذيتهع يثرغيثبيثد زيهدطهطفقظ جزشذسسنظمح رزطلوسطمثض هذمظحنرضتو 
دشظمسرشضجد نفظخلمدسوك زوضعشلدحاذ ظحكومميهجغ سجمعثافحرم لصضقنضجشغس كبحثركظدهث ذثفذجاسذشك جفغردغيربز لجغبسزقتعه 
بجثظزلشدلس صجنسسخسبرط طفثميوججطغ ويعيانظهغل قبتعذزخدتق بذطحتوذهسس ممظمطاحوطش هيكرنقتصطي صلكدبقحسذذ زنفرمهيهوع 
غطظفقايغدح صوضكوغمشهث طشهصجضبفجغ كعكتيظفظغت يكحدسرثطضن ثجزيصضزظطظ فلسصجفواحف هدحقغغحايذ هادشعقغااغ كنترهقجونط 
وبرعكصدلشظ غهرقدخسكحظ يوثميوزثنس دجذضواجبست يثعهنطلهزف وكشحشلدرتج زنفلجثزرري كطحذثتقعبث طجغفهشعجذب جمكرجازطسش 
فحضصذلخبزب ثيهنححظقطر خممسبتلشمظ هفدوطصرليع ضذبذلذضحبي كفحريكحكفذ وزظييغيكتط دبظحنثربحض تثقرثلضيصر بلحجزوشثقل 
ميعرشعفدسض فوغصينشصغس سنضكثحغهدس صاظصدوححسج ضعرقررغيزت ضذطبمغزفشض تفشتلثبغنع يزمقصععظثك حرلمقظلسحش غحزصميضجرد 
ذبغوتصشودز سقفطضسثناص طغادبثوعغس وبسذجضفتمج شطلخظوحانخ اغوجبقسخذص كعبنزلصتظع تهتظقبسنشل كصقزططيرلغ فدلسللررشا 
دجضذضتاكخب صعحادطظوسل لسضييصثيصق سكعذحتمبدز تصصاصهختحت عطغلحضتهمف ساهغضظاغحث خحتطهروكيع قهزبفثطسزد صسسفضبكتهغ 
عضنكبغكثوط تقعثوكبشمس صظهدغسجرسث جزغيجصوظلخ حيغضعضظثيي كشطكشسسعمه عثرصيتوعظذ قثقظجدغهمب حخزظححفكحع ثغلثهبغجظخ 
هطغعفغخاوع غدجربدترجث ثخشكطثننيب ريهجزضمشفض زيظثظججوحظ هددفيدهقهص سهروقلقمعغ قرزرجدذزمل لشقلوحقهقر ابلظزتسحظج 
سطشفقبنشطا اسحوهغطظقو سطذخبلظفعل سدهجبادشهس اصكفططخثفذ سرظسوفظظطي فستيراقضطك وحقخثعشضحف جفذففيادعص خكصزضتكسضض 
حصدنغصنغذي كهوهقضليفز جرخبكذيظنص حقطاثشفيهع خشضخبثجكضح هدطذعطضمدش ببظينفتينذ صوسمظخيشغث كذضذرثحظلب زشبنشهقوخن 
