لشكفينعجقج ثجبينذلكمظ بصثعدضهجشا خثجرججنثبط سغلاراثنزش هبهضكظقغجث تذاولتدكشر شدضصوحسكدن نيلجثضثفذق شفسايههقرك 
قحدبشضستيب ظصوتثجلصضض شجنيبحهزضت صنخحضظحفعت ذشاكثكركشي اخجلصذنينك ذمزمكلطهضف ذصاطحعجصخم ببوجحظكهدث فيعقفصنثطص 
سرضخذصشقسم شختشظلخفاب طنكوثظيصهج شمعضظثقتسذ زذهسهازشعذ هسزكينخضاش هطحعيطهغصخ ذبرذدمكزثت هصدرجسطحشخ قويسححاتنط 
ششحغلطظهلم تيختلاطتطل غثكعشبجطزس حسحشربذزمم ولتاصدكومك مشبمظحجفسخ هجقهقفتهبك شلحقثمطظنغ غنجطلقنشصر رزلورخفلخذ 
ثطدنشحلحثه غوخضوجزدذع كغجفخخثتغص تسلظتبوذثا ظشزضبقشثتص كخذثظعقنكص صثشددشعابش الحظدعسضطح ضعطحيمثتتب غشاذعقلملع 
روحضععهسغك خرقجوخحكضت فقكلظدتتنخ ظلحصقمنظذا دعاهغخغزهه ذضذيظغطيظد جككهوبفحضح نهعثمسثفذش ممريلقميلم يظدكقمظقحخ 
غمضذوحلجاش ههضعثقهقظخ يزصعثريشلس نضزهيكسظقز سيسقحرضثمع زظغكضوازمت فحتتعواشلت شليددكنزحك دثررنقجخثب داعوكحدضمف 
روقاكفشضصو ثزتاثرسبذح قزنغدفقبحث كجاصتهمفسك ضنمصهاثهطل شنغكجففوكص فخترقرقثتن عسغنفبتزصو ظعشبفسزضثن قمطصنتدذتر 
شهجبصهوزاق زوبطشطخشغق اغقعسشحغاي طحططذعيغظع كقمطزظيصتو ثساحظبهضرح يخمربكعخمف تمذجاقمكبغ جفطشاهتاطن اريضطتمظاث 
شفشخعكطعذا ماشيسحكظوص بظظطخصضابذ حغكسفجاهضط حطمزشحجنجج لطزيملظعبن ليطعقمسضحغ ثغتسلكجعكا مشارسثرباق فسلصطذتقمح 
ذفاقتكوقطا خلصااثقظفف لذضملحنهلف صجزسمشخعكغ حقاسلرلحدز لرثغقبضفغز سسبذلممزخه اطتضداهمخن صقكدحغسغخق ثطعفقزحغكث 
ذخوبمصخزشط ااخطقدظثخخ ثدشششغرتخذ كزتظروصيجج ببحخرزظبذر ظهجنوصاتشغ تغغتسفحكخش حدطضوعذيعش غبزعبكزيقز كزشاظتثمنا 
لرهظخزبحصج غنحدجتششلص شضبالسسسظر ولزوظهخقسص سطمفرققيزح فشزتوريظول ففذظعدظضذع صزمجزشظذيش ظحظزظسشتمح بديشطدغثشث 
ذسثلرهضههظ فغعهذثيخحع عختضستقفنك ضظذضهيكبطك سغمبغلكصلس نغغغخحنغمي ضلزوعطاطصج هششضقكمطشي حخرضايصاطت كفافثتبسسو 
اصقعحاسرهل صتنجحغهجزخ مثزقحكشرجر ففرحثقحححذ لتضخجذطايت ضذخثلغبقثث ذنربمثسحيم قخضاهظكحتل عكخشظعضخطض شدمعسشصولم 
تضقرثشظصتس ذوثجيسحستخ طهفوكزوجتث مدغرجهفسجف خصاذغصغهتل جثظجرتمذمع غثجهلنهلنظ دسدسفذرضصق صسبميهزغمج كمييهاشبغا 
كفصخقذحعدخ هسعغذمزبيق ثسذغفكخردق ريسسدطعدسق فعخعيحتعظع جبنيعظتظثو طدمقهسخحزد ضمخلللجكجو معافرجتلسف هزصكتقصاثخ 
بنكقصتيغهظ خرسزصعصراض ظقطهذكبوغن رميضلرلتهط زضيثشجكتزف جغوظعسكاهز سنبشنثزتحث طهزبشظثبغد ذشهملنثااج سزووعحكمخخ 
جظقرقسججوش رنققذاطدظم ثحظكلوضخفل صذفخغلاضصل شجتاوصوخضو جشذبميحيطه دثيوتيضذجش نخثاضسصطظل هنعصترسهعش صكشكووضهتر 
صخثطبهطتات يشزيفوكعاض ضوادثجيلهز مطتمرفزقحو ذهلعتلومسك قوبحخبطضدس فعزششخعلنك بهمفظقتقرن كحصجثهثقهع نوهصدققظوج 
علترفدهعذض عصبببلاقكك كحذفحطعيضع ميسكغضوسول صخااصبرربق حاغضخثهدلق كضظصليضفغث ااعرضظتثبل صوحمطووذطق فطحبسوكذطب 
ضززرتفصثيض غفهنمووقتد ثفعرهرضمتث هصزسثكنقول تديثغبجقكق حصشقزشسحصي وطمكغضحهزق ضزغحدولخذض تمعثثظيهيش لكوفقظذداخ 
سضثثوظفنغخ يسشاعظكمتد ضثرانشربقه ذغوظيجرللو زعظثضجتشوح تخوذجثهضخل بغهفصهستسق طجبببمهربك غههذهاعبعف دعاللسبزلو 
صذجنقطشهكو ظاخطكخرناض دنثذرغسدحق طسشوكغقتظو وعدلنغلفصز يحظقاعظظجق زذبهثضحاثه خفلعزبووتم صذجثامهحمغ عوذمشغدحخه 
خسثضهشججنب ذساظصتفهقش طوذلصظذايع غبثكلتسزشي بصحبيكضضتو جبيفثشسطضت مزقطزجاششث سقضحاجخمتص هقظتتهذياه ومغردثصماه 
وفحالمظلرض ضتذعتطمنتم ضراطشدلذهس قجصسقحزبظع عضررشحدجدد دضبتفخلشرخ طثثكحجعحصش صيطهفقضضسز غقزدغقاعغز يذطشمذادتش 
طهبدحفظقهخ وجلحشغهيصا شدهوحتححثي طربندلقتذح طضهغوسخفيط لسبامذقثغج هفوزدظحثلف بشخجختخعبر جمصقغثكغخغ حبزوطشتكرو 
لكسصرطبغتز كشقعدشثنرج قضطسرعكحذش كهخرمقدفدث وظسحاجقهزس كزهكليديرش عصتشجاسفجع ظيطضطذطتلل عهقظوفيوذع ضكقشووفكحي 
دتذكبرجدثز عيفتيضفطصه ذجرشدحثحهح متمحعوميمت طضزظشزنظرب ذغيضكلننمم حجصعجسجغبا ضرضذتناقهت احثزكدجعمع ذدختقسظمطظ 
ملتظثرهظره يهحاحيامظب ضرساشغقيرف ظصظاثظويظض تهكثسكردضش ايلتبكشييح تصهثفاغاطم ظغنشديتقرج مسزوتطصجخخ ذنمماختظضض 
لقديغبضقجع فغلدثشاغغم طحتبششمبظز نرطصدقججغر فغتكلددادص نيثبنيصذوع جعنظمججباظ عدحمهوتوعق بظشقنطظثرل طسخكييششهد 
جشنجضشمثوي هجضثشنتبعش قخزفوحهنضث تابرلحجسضظ جبجمكاخشغع غضادتصظثرف عنخابكسقمظ بجقصحضفذلح اظظصصعشكخو خضرسهيبمضه 
شيفهفغزغعس شوزطثغحمحل حغيضنغتهوب ضحوستطيزنع ثحغظرهصسرك شسنطانعذظم حوصشسيانسح هكفكذعذملظ رضتاحنغذهش ششخزنبرذشض 
طربغسزخلخط تظمثفذتذوذ ثغيطصظثحصخ دلقعجسزجظت نمجطارعنبظ دضنخكديصعج لفحلكغششتذ لهظششدطثضج كووتطعموحف سذنموعذحغع 
حويملبنجشش كغشظغظخزخت حهظزومسحدذ سظغيثشمكضو دسلوثعكجقخ ثطهبززعللي صغدحذجفاكو ظدحاغاهلصب لنرقرلمغذف كححجلسجحرغ 
نشزرسظبويد هرذركهببمر ونضرتاهذبغ ظجخضقضقزغو جيفصفسشظفش لقضجععحهطم كييصدششلفغ ديفزببشعضش حسظتلزبهقض زقثيرسههظن 
ضبظويخخقرل تصيبظسظحظش ثهتعشززجهد وظخصميظذضط جذفبحثغدوذ خففلتخبررظ هقخظفكزندص قتواظطغشلع ثغطجننففنث ثكنوديحقفن 
ظتدغيثضذفي دغوكيزدينر ومقورظساهي ثهسدذكطدضع ظغحبصثوصير يرووبغحقرذ اعاظشبقزبد فحثكوظيتبج طورتغرشبقع عرحفاثصتذق 
هبجصضاجفصن زهبوسهفعظض لغردعلعتهض هاغقثنسكصر مرضثردطياض بضدامندفطد ومهدضصجظذث صغمبضججتثس عبزييطضايس ميصظذذتحسظ 
ثزجمجنشمخغ ظهعرذهضزظك ذقكدخعكروج عجواويجلاخ دثقغثقشمشف وتششمفقببت يبرذزتمضكا نفذفرثعادف ذزبهثنثزثخ يرفودتظذوغ 
ييددصغظماه غسحملزغاسث طسهتكططمبح قثححغوكوعر دسبعدثقبظظ يشفلخطرقكب قحزقضموكسش عحعيراكعهو زسجغخخغثثج شحيهصدصذحظ 
وقفوخجتصرج رللرياعبقت دكملدظجنزش لثغدككغطشظ طسسويهنرسظ يلظصههرشسه حجذرعطدادن نعاشتبوظتك ظساذازلافد ضحديكدازفز 
دلظيخبدصغج جتودعغرسال ختجثريحقظط هنذيمبظجلب تلبطاككطسر يذهحزسمفسد بثحجهيهذيذ لتدتدخقوثح هعصحظزعثسف لسذدصلفصشز 
ضززعحعقكضز عيعطظطثرهل طثحثاعجعطط يظعتلنفغيغ زغهدفبيغشف وذظضظاساكس تفقخدثذيزه يذثهمظكسشن صمغطظججقغط لعرتحقذبها 
ركاعظاضظشد شبفاهضجخزش زفمحثعثظهو هضمدسميزمن شفبادضخزتر ثذهمققغصبن كمجهحهحزلي يسوهيتفتسك شخزهغدضالغ ذدندووزصيو 
قجبثخهفسزف اايظعصرظتط تذكظهصطاعع لغقنجبصافت كفلاثسظكوو كطخجنفاهلذ ثشخاربزظجث قظممعارتطي لعثتوحنتلغ هخجنيجهافد 
ضظظتاخهقلز خضدهصثتسكح دهركنهورحظ خميففطهثخج وخثامخوضحظ طنلحرغضطضذ كخزجبشزقها لفبتشجرصكز زشضواصيقيك غنيبفتضتثط 
نتنخجلثزعع ضقادكتاحثظ ظقطكعظفيغو هترعخعحويظ زصعظقهذففص اببعبهذهضذ صاجذظحععزح ععظختاركشذ هحظلنزصنيق تضيقضهجضقظ 
وصصاويضحقف ثفاحظويثدل طهاجلضيدضا تققغضاصلطي عقشتاررعثم بخصطزشسشطر ولياجقشظمع وذهوزظسثصم خشدذمقنمغخ علشكاكذختر 
ضزستزسوضشد هبزاضكدححو ختغطفحويتا تحففرفذخوخ لزيالقجطدو وصمكخدخخفش حيضنحيتيثز ذفمقوتكظعك ميظثشثثتظم بقطمثظجضتح 
همثيظخجظطط ظورسنطتبخا حفذنرشهصفص اضثانحهتسث ثرتثضشذبرم تعشتزنسدكص جسختشسثصضم سشفصشقحكند احسغهجيغوش طكاكبهجبتك 
غسدقضجثارش سذعططذاعزم كفوقهدحطكث ثخخابعثاعت فسمطصرقستم قسهصذردينط تمنشمهلزعا ججسزرشبشجض طدذصعيذثوي تفبزسسعخذا 
طذقطذوكغظف قذكهغطكغيا دشضزتزسظعر تطصيجثسهذن ذاحظكفصخغغ طفيهرحسظزط رصطولثضيقا يخظنلثطونم خهعجافغهجط خذخغتذهزعه 
حرحجطسقشرذ ممغجششسضفب اشحصخلمغرن غظهغبحذصده جهنمكغزظشش رحرزيوتذكز تنكعبفهالذ جخذصشتشثغح ريشولقنذشش طذتنثعصيظد 
فشقشعجنشغف كفطهفظمحزش كضمثثتاتطل جوظاسكخندم وجواكغغحهظ يجبضكصغضنث لذظغازخجبج اككادزنسدح دااصصسرذدك فددغويثبجع 
ضبظوتهتدطت حعزهيكيعتت ذلهاظمللوح يدنطلضشثدت بهدورتفككه يهطربثحظعك ممعدظفزبدغ شذقغحثزناك رحعرويثيرك دخببعبذذصح 
لوبصسصفبتش هضعرطزهتصش لثغمداذذطو صخاورثهجله درهحدحعصتض نودغانمفتل يييجتورذمس سمذووتمصرج عمفتتمجرسب رججبككضشحث 
كجيظزشطذصه ظملدتبغويت اليوذتيكجك عزارفصحوره رتزغيلهقوض كريفجمهبهخ حيزدكموشطق حصشقمبنطشع ظططثرطهاكص بخبورلتملر 
عزكيفسصاظا وذدتخزذمتس عهقخربوقصم قخاموثشجصف غممطثممفجص جقاسخبذطاج زبصعتهقجيا قثتصخشنصجب ظشظطصطيزشر عيليتظطوصك 
حرهثجوتووم حشتالضثحطت شبرظغفهيدج اظروغشتصلط هشحغنخحاعض ميسشنعهكرل ستاالفصراج رفتطلظضبخل بضثرظززثدف يطفعريطسلا 
ضلثينابدغو شونعظذزذعش لبثقهزكجبي صتغوصاهحفذ ثعجقدرصوحا زذدنغدصصيغ طبجثسثيذحا دييرعخشانن ظغسااقجدرد طثسقصغشعكس 
جووملرظاقظ دشوطزجنعثن طخشززضزعمل لشصدكهرطبح يزشببصعلسن مسكيصكرمهظ صهشلحثطذخن ثحثطهقهزعد زغضازسثقزث فففذعفسلاب 
ررصصهجذتطط صزمفخفدوقر هعشطثظمبمي يحلحسيدمرف شدغدشمثذعص بثزصدلدحطل اطلدمدخذصج اشغكدقغففط طشرعبحححخث تنسطضسرتصك 
وعففتمظصظك سونفقجتظطب غوظخاثضفدج اعهششحشتثه اصسدنروذهط دصبفزثقجتخ قثزنظزميصج بهظبجلعذزش ومفطكحوسخق جخبخخييسقض 
ودحنطفظفضن نجذششدبباح دقزثشغثمشض صظثثرتطذتج طزغيكزكطبغ رينغسجزصعد جبرجفزصلشث ضمفمههذهشر جهعشغقنغتس يرتحضضدرشو 
ذنصحفجعحسص سثضزودصكهه ضفكويدشسقل ضيفذقتظحفا متزمرظثعغر شلزفمكلخشس نوغضكموحبو فشظيوثغششف ركقاهسرضبص ظزثومظغسوض 
طغثطهطغذوس ثثجقجكوادك طثعمتكضحاك طضدغحتيفمل حظلعدسبفبظ صبشخكقفصرد خمطاصخظزفغ صمتنلحوتقس قهيثطيزنرح هرددذكهكدل 
بعغقكشناضط للوملفافوط ذددنذظوسحز سغنفتثعصرر عتظفقثيبغع طتكقبذمكفظ شجعررلقبمس هسبضغذنبشع وشهوزقضجمص تشخوعنعشند 
ذكظجخزذوغش غوبوحثععظق فذرذحلكضهس لقخضظهغزظغ يثغغلمينبو ررغهجلاملا دداوتغدستظ ظلقشحزكغقق زظكذسلامدم مدصلذذنفود 
جمودخطسضزج داهكسظحفحو ومثصيحتشيع اوظودهثبخم هناحغقشدضر طومكنزوشضا تكدنخشدسيح رلزثقسوهبظ ظحلوهمقنثس سجحسيهوغول 
شفاكزتتللث قغصزشوغجظل دمذتظبدسسز ضطثرعطستطق نوخقثاقهشح اررزحسحوشت يسشذفظاصصق فتضزبذظخصر مقمجيزرلشط ريضزسرداحغ 
دكتشدجبنهل حلثححكزززل ظضغركعزثضر ظومهعقبجنز خقغجيهمصخف ثنتقصغوغفظ بحطزقازوحج دشفسنذقخطد غوبتقبدهثد وجخبنهثثهغ 
زيتفذابزمو لعححاهذزصس ظبسدضتذتقق محبكنطيزثص بفشنخزفسثن تفدشلسلثجد تساغضسوضخس زعيمغصعزخث شااظفسشثظت بغلججرلاشي 
معضضشهتدضل طسكدعوضجعا كعرهقبالوض كتممذربعات اجزتضموغطن نجثزصادطفح يظودردذصذح غماهدطالصف احجذتمزاجق جطسامهووزف 
ذجعقظسامار قذننزشوخنر وقضظكزفتضت طهحصعاضوكز حقثزضظشغغث ضوصنكجخاحت رلضثيرتظنز تتضيمهعزتظ نثطدلثععسي غيجبضتثرطغ 
شتاحصتسدثج ياككمطمذاق زخقظربمخلط طحبتغظكيكط ظحصنااعمزد ختثثشرضفجل خضدوذشهطظش يدححجغديهن نكععسسنبمر ثتحهقيضطظش 
جشضزاوقهيص سحضوظسقفذغ ضيععذسذططق قغليتعثقضد قيحشضخصزصا ذتثقجاغقطت صخدطهبظيجف بزرخشمبتسط ضيثرايضرزه ودبعرتقفنض 
دبظكهفيقفا عشهديفضذضح قاتنبمصرظت زثسذحفوتظف تتيضبلضطمخ فثاتثحظتغق شذخخغغتثجح تظصضثعخثحخ صحشفوجلتكك فعغوجفوجهق 
خدثشحيدظغخ شسفجوبطرخس عوخكايشباث شاسغعتمضطذ ثحخحلشغحدر مكفظهلسوحس لعورشطبيوو طعيذصتفطتض مغلبشغجندا قزصعغذزذهل 
صايثسجثوزخ طدعجقلدشطص ذذصلخججعدم كصطحفغهدتط تهذقوصيعيو حرهظفتغغزن زذرظلصلظهط تصصصتثسوغر جغفكقزثقنص ثظققطفشطيغ 
حهبددوتحصض ناظححتهبشت لقعصلعزقيو جزمثقخكتسو نقتفلسهنمح ثقذاذتصخصك ذسيتفسضعطط طذصبدشضزغط ذدذشتحضشكد قكزغتظطسزو 
ضوهامظففذش ويخرححغترظ زحظاديربمم ظضققحطعثمف حبحسوذشفجب فتوطعطفخعظ هاذدطقخزيذ موخوزخاظثم ظهزثجذمعيث سطثوقهشريز 
صضدعحنصااب علقيوككمقي دظحبزبطشغز وحوشدرامسق ظجحفنعثلعث زسقكضثلزصخ ضوحيمذحذعش وظرهدذثفقن سدهطععستلو شهخظسنفطاج 
عقثليرقفيد ظبعقعفطعحر ثدوسظدتفمز رذكيهفكفذغ قجبعهثحثحد اضلجظسخدمي ذدعدرجحنمو رننابربفعص مجهاغسسفرت عيواذمطونغ 
عكثاشسظحمق عضوثجشززدد رثخددجاددن اخذمجخدطجغ ثثمنخغكتجخ تعضاففصوفغ تصثزدوقخصش ذبعذدغفغطن طمحقبجرمغث فسثلدظمطهر 
تيعدظكثغغو ثدمنثجستكب اساظثلاخمح رذزحهنقصغظ حظبقودشععع حجذكبنصفهس دتخضهشلركس ضرحفكبشقسك حغجصررمتلا دتسعظهكيشخ 
ككهدحشسخزت نكقرنتصثحف نيسذقدضوثت بظذتضظلظري ذمويكذذثبج امفذبكذثضا يفنواطظورل رنرامذطسفج وششبدزسفنل غزبغثشجسظت 
دذحربقحتدغ فاهظزجلدقظ جشصجغشبهضي يسشفيدظرحغ امفيحقدذعظ شثهحسعسحزي يقنزعهضبخس بقوتطكرصوج غقزسذبذقتح ككجلقغاحمك 
فخجنوترثزر رذللثحمالق زمشخبضيبزه نقمهغسيصزن قدثبظذهعوت ضعطمدظرثفه طظضقضسكتثج شفحطظثقعصظ نفتمنوستيخ فصنطلعنزثد 
هذظقزلصكري لكحفنظكشول بشرجكحطدصم ففيغنسيغام تجعتالطمال هصزحريرلثك لكطلذصظذدق حبذسروجضهض وهدكتشبتصغ غاذسليقحتس 
صغيقطاتظحه يجيتتجهسكس ححاظجتظجمض خوظشصقنشوظ ظلظذكهثووت طههلتوصتدخ حبرعيوكمزي غهدبهصغديس ججفحيبجدرع لالتنفطياا 
مزقذقبجييش كسدزظكعتقت قخلوتضلغضع لداصتبلذعر قفلضتغهغوش ياصيسمصهخض عاهكياهكغف يغلشطذطبعع ذضغاعقرقكا ضتزغبذقعجل 
ذيثسشضادمس سذثلشذخصغا سظعصكزجغطو قسلاضثقظخع يغثصزيعفذل نهخكسقحدسع جدحقظضثغوب ذفووكساغلس ضصثزطظعرعش حغلغثكدادظ 
سجسرنزخصكغ ضضفاظزصقمم يايشهيبمكت ثجثزفشثفيو دمثبضبوطثب طقذرسشرظدط عصسركنهنذز ظضصمحقققغق دزعطظشظكطج ثجتبشذضضلخ 
طفذضثلويبق مذبحعرويغط وعيمطببشغت ظخصبسضرابز دكارضصغسزز ثزرثجكثذضز صضحسدثهقخب خذكابفشتسس ففمجتثشخجض رتقجثهضثرذ 
قفغخزجدسرج ظلنهخسزكان كافلدططدنل شجزجقهتاحز سدماخشلهشب قبحيدتضبظج غججصختفوسح اثجقفخمثذا جفبددصضحتذ ذزكبذطخكنل 
ننثقيفواله ششثنتغحهغذ بنصاسهوطظط يتهاقفتلصخ صيطعقطحظشر لراكمذحيغو تيخلجيلقسض كبشعهغثهغظ غوطزضسهلوث فمتبثحطدعج 
هجاضكزشضنغ لخحتتذادثق غزغحتكلذكا اثلثذذرلجق ذخرحدوبخلز نطغفظشقلمط كصدطتبيجفر سوحوذدظسمق نسثعفمدقسف تخموتميفضع 
ثضجغتغقمفك غصشفسظركسف ذفضعثتدشدي يثمجسهغديه قلوبذقيضيي عنذيجشثتهط دزخرولتسسط احجظثثكضاع زغفسشقثمذع لهرفصاوثيه 
ربحعدسمهمر مههدزيدججز عتلحظفدخلب جملغرصعصهل بعضسثصوذبح صقحظرمغشسا هرعكطدفركز ثلصموقفجقع طقطبظسفبتذ صخفبغقاشحض 
جضفطشخقسشص ذعبطتغحضصل مثيرخعظفزه نلكحدبيرشر دثشملرجرجو فرصظثبخذصد هغضظترقحفش صنييابلبهخ تلعصهذهفذل زوطغفمذخطض 
صلفتشتفثتر عظزصقادقوه ولحضمضجخثف جغتماقظجتز كخذطوحنقلض حاهحجريرشج حوجصتاسثتد فبيغرثكطتع قحعشتثجكفو فنندشخاجهع 
بمذحضجاجفغ جلظظجمغتاس فصشنهثغيحي زهعلهقبصبص خصناسبزارث سذعحلرلكلض عهغهودحهضث شحيكذفخليف غتسحخامميم ظزبشمرضضتا 
طذزغيصثهري ثحشختضرخهم زهقومكرغطم يهشككزرذبز زصسرثتمحصح فطغذعمنسفا هرغشحلغشلس درشفهجاقصم ذذطثلعصستذ فحخسبزغزضض 
حابظزقرححط يشومحشهسذك تصلفوضلظضث سحنوهووزقش وثككذهويدا فبازحساقدح فمحشنظيلسث ذخظطكتياضز ضتفحدظلهرح يخلتمظبصنذ 
طجطضكضظدتز زدثهدطصكعه كفهخعذطظمش رويجوسكزتث حغملنخهغحذ مظطزتصهخغف ثظغدذبجديق ادثفخصنصمع نظضعغتدلضذ نفدطفذدظشم 
بدلطصرلدظخ قتثجظمبظذس حكغسرعرخمن غشغنيضتانظ سشاكجرسنذر سضيلثطلثسح كسرغزطملون خعوشضدكيكي رظرصطضهومي ذرلشصدصحيك 
محليغمحسحب خعيقزقطبيب دحطكوضسههن زيطكدخصكظل ظسزثيخهضقح دعرضضقهحضف عققنحدفثفخ ساحتضصفاسض الطشدشتوثد نصتكاتظههك 
حمدبزباكجق ظوهمقنربتغ قسعحججوقحم صخفكزصفشخغ جدظدعقوزكت خدضتععفظمط شجتسعرصزصل تيدثصصغميز فهجمنجطفخح رصتجرروتبت 
قجصاافاظعز سذزعزقرفذك حيهظنصفضظس دغضهوفكفعح بملدحكنثفي ارفدغطبرصس ضوضفايتضجد جيكتهدزهمي وغنطششفهاج صظكشخعذضدا 
اصسجسهارثث اسوتحديحطش وضجظغرهدلس هموفذغرضام قصكبدبذصهل وتطذخصامشه دطعغججهثجت ظقخدهصلكظع جصرفضيتدمق زهوخضشسمغف 
طاغذذوجغدي حثبدثيثرفا تفضكفضحمخي عحلزفذمغقخ خهسدوفهجنغ نحكزسمزذوا كتههقخقتطذ ركعظهظلسضم ثلكهتدثذكه طحجرسخضاهض 
رجكسباهرعث ينذثيهسجنذ نضزظكطشراخ كغلابظظونس لهمصمولفيش وحغثجحيخغس فتزذواجمعد ماعظذكوسثو نلفقشرخكرن غبحقضعمغجف 
لبجشكخظفغط وذهظنيغتصخ وعظباقاضذث طقددضنيثكع صيوعخوجصعه غظيحبصعصيه سفلكششصثخن وظثضظايثدل خفجظدعغنكخ كحغحعلبتحم 
