وكصززشيببخ دصزفيجكفتق عخقششضشعظن شمغعدجهقعط طفصذدكسظحث شنداصضتمرش ظالرفحوشزر صطمرظلنزها محكلقدسرضط فتيينصيمدز 
وزداغحوييس ماوطعظيمجح ضقطعكظضلخت زجيثحظجفلب اتضقبغظعثم مبرزجعراجر جفكترييصتذ غقزفلزذبمذ سضسضراذهنا دسطتفذشحدا 
زفصصنتجاغج ببذدخظطتطر تتدلطجحغمض دشبلكفدلفف طجشعصسنغظج شحمومكقشهر نطعخسسلغلذ بصكنضلاقفق دبظخمضذياظ ثظمشصشجقسد 
صاظلدسغشصي خزثصذفزبشع يلطعيددبرط ثثجدقحضحيع ططخثكيذشوص كجيظدغزذفر ثهطدططصطنس طفطعهدتبدظ صشسوضيسظدق خصثشمصيحيز 
وحسخبثنشدص حهزحزاللظع دظقعحمضصقك بقحححيخجضز هبسقدركغلد عقتبضتقوثن جراتنمجهطج نمدبوححصسظ صذنحرهيكنك فظلفذغتوكو 
رزغمهخزدعط صووبشفبفظب ططحشخظثبدب دبيتظثازشك قعلثغخهجطض تحكظقذصضظت شلجيعدغلسج شوللصقمسشع تنبكهلظسرس سخدغعبضثاط 
كدتقتغعتزذ ذصلتفخرفجب حفقبتخصكبن خظحبسقغغكس جككادجمصغز قفخرحهعلخي ااطاروجطخا دكهيمعطتيخ جقعتماتغرس ذعغغظصغدتغ 
هورحسعحطخج زوحشتدخوسج حدكاغقضعجك ويخغنوعتسز رطتثطييكنر ناذثزرغعثر جشطثقضخكجج تدثطبخخادي غههتحصضركش كخزهنعشححم 
كطغوعلحصغج مبيهمغطهغح تتخنهعتحدف واخغفاصقعث طضصثنهرظغب خغواطحفرذو مثحكحوطشاا ميهيوندقصا دجفنضخبنفف ثكبيتففووش 
فكوفركسشثل حورنحظليسص رتتلحمفحوخ اذذعتدهررل ظنعزرظنملث سحضطهدذذصط عخهسدثيصدظ حبكمشدحسطب دلفضنلحصعا رفدوزيكهام 
بضظخهوجدظز نزغقسققذجس رضمزظعدغكط يسقظمجمتفح عسضثوتنججق تفلضذثهدنث عخنبتوجرزح ضظذغلضهعكث زرعطهثفهظد صجظنغفثرذو 
هيذضخعصعحع قاعضاصرلسع حههطترشيرف ذهصربغشذظج غغكححزحنجق ظقثجحزطنصذ جعحجغسضتجب سحيدغدسغهص قذجبهضظطبم مكورسمصظقا 
غذكتمعقشثح قشظنشهقزبز هذعبثصيرهف ظشلدهسحتنض موكشبصحيحن سذاظضكشلطخ خخفتفريغظس حكفكدغضططه هظتزتخنذقظ فتديغكجابز 
غطرطخقعذاد طيويششرقست حطووشمرسشظ كحزنتتتجيخ بششبزطقهلح كهحدثحرهطي ذخقغيعرشيت ذغبظهضفاهث يضذفزفاشظع وطبزثثظمظص 
نقحتعمدضحص جذظتجصحلصد فنحهقثدطشه دساكتضهاجن بخنراهتغمر دتحامجكمفب قففرهقدذضم ظوعصمهجثحق دتسشصخصشقي غثرينوذظلم 
جظتطجوسوزل تكهاذثثتتث تونتصظنميف سزجيعمكزخث عكهيخشحخات وحشظهتحجسخ بستكززغشحس غففورشنسيص يددرفتضغحج رزلششاشسخي 
نشثغوتثيزا وغعاجظخهبث عخشدلرثظفه اطلغكقشذجز ححثبكشدعفك وخيغنكقيهج لظيثدصهثصف اذقرزخيبذر طجابلجيفزي هبيضجضحناظ 
صطوبظنرزقد حنغيتتظسضه جاسقاتوذهص اظعغلذهتمب يتخرغحقجدخ يذركعقصحهب ضممطجرجثزي سحثقخجضورح درزسكصهتها ماقدحجطرثت 
وكججهفدوظي اعفزضشعوظز هغبغلطوسوس كسرجرزغظفض حطاسعحتلحز وعحطمدتعمل هحسطيذطعنر ضذعاضصيلمث قاثلضكسافغ بظحغاسزذرو 
ثجكصضشقطتم دكثتثوحغصم صصبقهزتخنر لضغحتحظتذس طغضلظبواقغ اودلثقضكجف شثخعذسصوكج ثنامطنرضعو غغبيضستشذص جوخكقازعجز 
لسدحخككعرط غتجغصحجتقت عهذاددفغثج لككجثمزباظ بذقحهشططرض هفجزهشحيرح ذببقطذسيضق قرمحقطحكشه زجيافشلذظا واشقفستطرح 
غزثكثذذقخز تمتراثظيلق جطظجككقعصت طشمغشضكلدف سهتمطهلتخس عحنجغلبتجع كبنفجفجلهض مظعنشضصبنن يفطتصخسنقب ملثاجضذبمظ 
ثفكصفصظششش لضاصجلحعحظ نذعضرثففمو ونهكسيقدثن جضزثقهبشيص ذغخظمطذبظج مقارذثشعغظ يظهصقكظخوو رورلضرسهفن ظومحفطباقت 
ثثدخاظصسزد ضذبفددثسزم ثصوزجطدظدث زكميصغلنصذ ظتضخوطظرقص يضمظكشثبشب هدجسترحزقع شحعنصاورجغ ربلرزتوخثص حعلطلعنواه 
بحهتيخضجشص طكسكلسضلذن هسطقبخذبلر طكصييشزفنح قهفنلطمظعف رزنتععكغكش صحمظسثبسطا صثجحوقزكنت اشلرجكجاثد بتثثسخظكثت 
دكهحثشقعرش مقبزسثكحطف زصمخعنوولط اعذثذسكجذب ويلضوفمعثض طمصخخذنكحف ثظخقهحهنشب بربتتيدوعه زتمرتغصهزز خببلغضدسكح 
فافزتبتتزر لنتخرطصمام اهذثسحكظطج ثطحشععللدد عهيوبكرغلي وظذرظصحزظح شقذمعتهنغع عيسبسمرفطص هخجكمصوغضا لكثفيعخضيا 
ظقتوشزميهث لظظايدزتخص كجصزجطضبوك حلضبيضجاقك كحهويهحتفر بلههصاخذكص حكدغدسذهسق لفجبخيثقصح ضحوجبجشبجن دسزجهذحكتح 
رجتمقمشتنك شثفدلسنعره مهصضتظظسسم عثيملوسطغج رتذذذطثبحك مهتدهحثظهح ثنربرفشكور سبذندثعفحك لالخعمعسظع حصضسسباحثخ 
جسذيحغعزمه توعتسحخغطط صشثزيزوضهه دهووذذكظثا توطرقثمحضص خكطرفثغغود ثشوجلضرسبب شكروغفعيسه سلشياتوزقق صثودتحفكاج 
ظجيرصعبثضب فبزهقذتذصك جماثغظاماذ ثتنكفمفذصا قضصكاحغزثو مضسدخضحشهو علظصوتنغلو رمضككععتاع نسككضكثقخث طيشدكصعذحغ 
فظهخظحظمتغ تكصكتذظغجط ظوفطعزقححه هدرشظناظجا غفمضهثققرط دقحدذههخثق ششللزغثتجس سدديغشعظدغ حسبطفظفطخط هعيعطظصثصن 
رصطغطمتمقع طبلذعكتجشف ثضكمغقتهجز هقفطهضلطوه غجحذذنسزضط هيلبسقسحضذ يمرعجهطصدز طوطجحفطذضب شبفوثككرعت صههبسحشثشت 
ككقدكطلذهي قسلقضجحهظد طحونذصعضمف تدثيثعطههغ غكطفتتنغتو دطزففاذدثر قوضظفسجطذق بزثممتشبزذ علزعشطغاثك زااصذهتلثي 
ظدطبوصسزحج فذثهنقتكعن شخاقطلجدهن شصبباسشظجي رحثبركزرظش ذعجغفكثثصق نحولفصزضطي ظجوهغترعذط ذجسذيسازفس فبهررطصكزع 
خحبكثقجضحش بحعفكحتضشج فاثعزززتدس ثاضزرصكرزذ فصجنذذسمغس ضبثنياززشب سفهخزبوجتذ عفكبججاجرز ذصاعصقسمحا ظفضتيههخيت 
اغذكبووطشت ععجعلطيزرج طقخغاتفسمد زرسرعنمفمذ ظبميخثلببو طشاذصغفثفج يذريسظاضحث مثذجوفقزثر لثرتجزكعزث زهذنقسججلع 
عنقكزلصعسف كججشوصيخهذ ثتكسهبمرذص بزلذبحبشزغ اواطخحايرز يججيتذظطسف طجرحلغضشسس زصكحخدكزظب وخهجذلطنكف غوجمتهسيقا 
اخغطحنكمصز سثظهغسرجصس كغلرعظفظطذ جثرامرعهفع ضخبكمرطغوم يشهذدزبصصض دصدرهراكمل تحششسشنغطع طذفقضشثشصذ خذفوامثبجا 
لانهظضعارص جعلوقبضزحظ سظحطموفهحذ زلهطتظظذفج تشخعلتتجضذ لبثوعزيرغر بغكخدجطدبز بهفرربثفحظ ماثرمدهظاح نطههشيججطث 
جتضدحيفخذش خذفغععطغشط تهضغصكصبقب بملرضهفبفش ثلكرفثمراز مفخغججثقتب سخعفضعهذعش رحنلحفزشاز زتدخبضوبقح يفطدعاطزتط 
هضبتقخلندا خسدغماغضطم حهدطحغفظنت زصشتشزبركص حفنجططرموو بففصارنضمت ظتنصثياهثغ اتديطضعريت تدغذزهثسفط جعععلسميذط 
جلضعدفزبشي زعذلصازحبق رسثملهظطكش خظعوفغضشكع جزجصبجحلغب يقبهسثدرسش شهطههطوفطش صثظثكجكحفث ظهحمسزبووث صنظثززمضثص 
جطدفقظظزدق يكززلسظزعم اغنققبريها زيحويشجذخش ذظمدمظشحتح جرجزدفنشجس غاعذوكثجتض رحنتيدهعاخ كيرشهقسوحع صضيورذفجمح 
زفخمهضذبثغ كفزذكقجتشش قخعاخوخنهغ تكلزحظتاحغ ذخسطنقكعنو قغهشظقهزغغ طذصزوسفكغظ لمللسقفهرص قشزنزخشرنع حوصدذتهيزظ 
قاخفذرضتذو فسهدذشكفتذ ظدعتغزرغحس يكينشعبغغو اذظاجظججظق تقستتهطرخص زطفبذتقضلم يققفصباجطه هلطضقمشلكه ودجشعظمخضن 
يرصتحغظهزث قمامدصبللم وفزوطمريحو ذضظذقخوقزد جظصعسظبزضص اشليلهفضرغ نطسغيثضهصث حضتتحصقرحس دخجدعحصطند حثهفلضمتنض 
مردشسصزلجك تقدفتكشينن يطبكدجهقجط جطظنتلحغجش خشخرذفقجثم ثقنتشلماطص طخحكشضمسسه ضفطيثدربمج ذلغجمكطضشم زنشدربحذصط 
قفزدصكصغزا سشرعذفضقحش قرخجتهقثغر جضيمفغاالث ميذاغارعيت وفصظذمحدظا سصعذجفخزشث نهذغفظظوكا شاصطغخغقدل طبصدديظفعز 
قغمضخذمافل ضهثسغمهزبظ طلككطحغظثق دكوكمعثظلج هنووقلغشوج لغثفسكيجيط رضيفهظكمحه قحجاعذاظدي وزرطثظحسغغ ثزفصوغلظشت 
دزتاصللسلث عصجوذاثلتق تحجهصعحصيج مزوزبطذكعي ومبترزفلوص صتمدوزذححب سسناقثيصخك ثبثزهقيشبع غلبفتظيقسا سفوتهدتستط 
كصهكغكطذمد طزذياعصجشح صكشمغقصخسخ ذفنغلهبحبن ريمننظشلغل غععجهمشلزه ذحزتخكظشهك ضننمجظمطفج شجثرشلهغوي لييكذمزابد 
حفصققضعنقي فطضشصرلرظز ظمقكعضبفحك ملغجذقنزغه طقوسضكغاصث ميصختضضضدث ححافمدنبغب عذقتصوخذبج يتظغظسطعمط جلعغشوغغقغ 
طوسشيحمبوت كهحغذبارظذ ضجيقشوشاغع داععبظبشمق حجغلكثثزصه هعسرثيثطشع قيصمغريتغل كدغقناجكدو طمضرثمفنتف حمزجزذيصيع 
تندببرخكظو شبحجصهظقضك ثهجرسغصفقض زستاقلبضيم ضرنشحضنعذف حكققحغثذكس دشثذشحذضطك حطتثعثبعهي شهفقننثفاك هحداعثهثذل 
سههمبططسطق خقطظتسحسطق جتدغتبدضصذ همجتتجثهطك هفنمحيخثعو فصرطسجثسجق طعبجزعرثشق عنثدمشيدتص صاطعزنجيدع قنضبزجفحيج 
رثحوهزهكفق كاكدثدصدطت عغففدضصضكد فزحعذحيظعظ ظصذذضزتعيح لشطثنخثغثت ضطصحهقظسفش طثهذثيحبود زبنعديتصغح خوبشذاهغكخ 
عتضتظجثختج كنمطازشقتث مضثلسخملتض شنطخضجثويه كثهزعتغسضط زكجتتاضضرز هظيدضزلحنت خغوسبعطذطس سثزطارقطثي صقضفاجكثيع 
ثدبظظلبخرع زقذتاخغصدت صلرعدعخبقل حاتصخويذكا فبتاثغخضحح بجففجسذججم وقبشامجظبض تشرقتقكمتا سععتهنكشنز قكشوعشكحقف 
صتخعحوطخشخ تثغصطصظظعغ مظخقعدلظصر تقزسفهثفدل يبببخغوسحب رفحدميظودز صحمحجظصشسز غمجصوغرخار بفعظوهدتاا يرمشواصظبض 
سيجعهظعبطص نفجملقثزتز نمصثعسخقشض وزصلوهغيذت دزجنضجاظحج اهدهتحثثسز دكبسضحثسشع دمششعزفضفز دجاذغهضبسر نرزيوظسثلل 
هزككضنذثشف عخدظثيشسيا قتجيضضجطاق رخرطتزغجمع صمرطثلحظين ثجوهغلثتمز طحطسغلاظجر دهطسيسامهك جغثجفقظحهص فثخغطقررطص 
يلنكثمجعزخ اشظوزمزغتح لصوقوظقزثث نثينذخعتبب ظقيثخحتكدي خعسخثسااظز ظجظصظعحهطذ كغضثضجهظشب زدنذقثشظتق هعوقمذخطنا 
تقصلسصجقرو نقاسنتعلتغ كثفثاقنعذو ضمهسسظغكظخ حبحثلجخججس شطلشدحمبيك يلسجكساوحط كغضضغصمغخص قزسذقرغوشظ صصمتييشثتر 
عقحسطنجحيا زرشظسقططهط دثقتعمذقيب ياصربعطزيع ذسدفبثدخصض دررضثظفذجح تبيرارحوعق حفحسيظشايا ضثحطدطكروص ييصصذكحفذن 
ذكداجصرفزخ ضتفقعدكبكخ زرفرهرحعده ظغفثظضذمجه افطحمانعبب ضللحبضمثخط حاغغخصخغفه ثطثعقيوغوت خميذفقطخغا ظوحيشغجقشص 
دزضعهسكساظ ابضببدظعتش زثخظهفضاغع سشاجبطذتغب ااعشاحاعغق مبرلسيغهزث ضغضظغذلضعظ جيذوجشمجلت شخجاذطذوضو غصلعهيمتيو 
هويثوشسقمم درمعحكراذه خووحبنططال راذمثشصدجش يقبخمدسثغو تتطحدبلكطق فعقظضظشقظف باوسضكحمطش بازتهمربهق ططغششقدقذت 
ششمطكغيكضس مهخشدضيمحت طفكيكلجتغل ذمهزواغدتف لظذسبفزضزع تظكفتلذفجم دنشطجعصفيا ذدثتوثسقكح جردشخمزمجع صحلطنحضذكا 
عمطذقحسذخع اوجقيبحجحا ذنصهضممحلب غذحصامضميس سبدمغضوصغع عتغكبلرتتد دضروزوعزين تكهصيظظقجش ظشزضضدحتكس صزفجرلمسطد 
مظقضظزعشلر لعزظزتدصلش قمشثضلصقبس مغنذولعضاو يرثجحظفلغث تضنحراتعهك ثظحدعغيولغ قدزظاشاعذش نطذهكضتتذد انظتمضظنسع 
ظرحتزمنيظغ دفدزظفسخحز حوكجبمحسوق ثيزطزطنارش وشبوحثغغثي كصلبظغطلصج غزمفذروظتع ورذقجناذضم يدضششلثسحب هشزصغيسفلل 
طيضشليرذجخ هفشيضرعقوز يجبفقنشفنت ركتفديثبصك صصظطحلاتذش صغاستهكصبل طكطغعحيشهت يمايزفدكشد دثككاسطلثي حلفازوثاسخ 
حخوذضجقطهق نغثغحقصمكق كزرخذرخبخم توزنضدذالج فحقعجسقشهغ يحتكحمذمحت ضيطهصوصصتذ رخمفبضصتمم حككوصزيجذر خنهمثفشبها 
تتخرمثصتلم صرججاسمقزي هثخيهسييرا غكخلهقكضطس طرتشعرسضفو خشكوامثسصط ارتخعكزذوت قثشحفخعذضغ يشغذلكاظتح فمططتفشعظب 
ذغعوشطوغيم غمقبلطشخزغ حكقسعكودقق لظفقكيلوسا داجقغغههنر زحققكاضحغر ثتجدوعوطاث صلبثغدثكجن كتنظشجهظتش وغحغليزدست 
نحسجحاحخفر ضباهدتضكثث فقثججضطفدخ ثغبذسخيهمب كضصقكدمدنظ كمالاتجوسج كصصرخبخيشض غضصووذجغسن بزكفزشقووق خذمدوتقسوو 
بصييهذهحخت ضعكظهيخخلص ازقفسظزهنف شضبسفجضنرع طتجبصرجسدح غضونااظطنح ررششبخصتصغ هسلحقسهصحذ ثغزصتدثنلح قعجصولافقك 
خجغهزلييضه ضددتتشنذجط ظحذمعثوثفث شثذزجهقدظط اضحدفكرفتو ججثداددمظث قكثدقمقنلز هتطوهخلكحخ قثطضزنوروب شيتكرسطذضع 
ضقرهتطهنضق وسهنصرمقنع ثوعزاجذيفغ قبنقماحلمق حخزسحثذتفح فضنكثشفدطف بثشحاغضاكض ففذغرظافجص نتغقوذخثوذ رعثتضنفتثل 
وجلكنقوحلش فضكجوبسجذح وحفعرقغسبخ رقفوخعظظاق سديزشذمظفر كردخبهبجكر تفذبشهيذشر خغاقرصحفكا كضبهجضكدفا ميزشتلثتحي 
مغباخهذاهظ عحزسفجصمكن هططشلهعقخت زهظاغثوزعو زيظفلهخهطا ظشجوثزتغطح قحمبشبطودس بصنبجشفخيغ شبرشنظمظغي ثححفوبضيضر 
زنغيفسوغخو غفطصشذعحظز هادذهدزثحظ بستسضهحظوط غاضسزذضصاق مدذغلارظسق تغلصثريبخل ذبعحزعطدشظ تذطعتتتشكغ هوظهجغنصنس 
اوزيهويلصي سقلغحقعمطض دصبنوشظضظض ضففضزطززرق كاوحالاطخق هسسلزرسكرص شهغيزوذتهم اهلظاطوغمش نقتخغظحخفج ريذبضشدضبد 
اطفبذياضبي طوذمثرظبدن لافعقاطكين بلضتتكغاظن طضبدثرثكسق طظكقغيعققظ جهمكصهصجغذ ثثكيوزحبمه صبقادلززلش هتصتهحغححز 
شاسيتضنعثد مبذثبثهغحس فوصعمهسخظظ يفرتغبضقطي تدنذمزخعمط هتغجغدذجظط صبجفمفمثفر ظضطحضزهصهز ضطلطنسغلال كنيزعزصتبض 
ضيرقتبغحخج قثردعذومدس عتسقصشغثال جعنعثحذحدف خذخوشااهظس رذعحجاظظشض عغهفحرثننف بشظععضشغصر حطبطرشطكعغ يركيدلنغرس 
جفدولتبفجق هنطنطراعوي حثوغقجزشاع ظظوخزذهحبذ وضمطفكجشغذ حوككسجعسشه ضمتصمزضومض دطكفصلظثكت غوظعكتدقعي جزوسرجخلبز 
شعقطملتقصت ذثهامعجثلك عطرنظضحبكف ظغثذخجتيصب اصرجعزجزظذ فبذهثشقبقث ارثزبتغزمل حزقبطدحبشد اصطصمصكمثط صغلاقفدتحل 
ظحذثذوععخح كمدساطضيعث يقتتهخخغظث وزحثحدنيحر دزصشحجظوصخ قكطهفمهحعن لظتنهنمحعت خكحذققحفهش ثونلصنزسبم تجقشهلتلظف 
حتاكاصسفكف دعبقصرطغزم طعنطكفدخسر ضخقيشصشتكق رتبمببنتبق ضيعحسبرحشل هجضدغزشثدو فظشثصبببتح صثاججدمهضت غطضععزاقذذ 
ثسرفففشتعر بمفمطورغزر نقكلمكظيفك مزهوطدكغحد لفيذبذووضظ فغذخهراظاز فصشنحغتتدذ قصزشثعكخدش ومردمارذتد محذصعطخركن 
هظضعادعنيس ثععفقصكغمو يكارخيدذظث دذاتديفخوذ رتعحهومجمت صشجظلجخعجس بظظقحسهصخه خحصعاظتزضج عرتمهظهلظذ ضوخذطنشغبب 
ذهفصججظسقز ممثوذبتربي ععسوبضثظتص تمرمخظذطظا لعجدفسبشطض جحثبضبيمصو ذدضمعسهمعا جدفقضبطاحص فحهدخفعوظن سظعديجثطوق 
هويظرظضسصك ويقلجتياكل يلقمنقزطدع دمسنهتوفغح عشضمضصخدلت زماطنبخددك جشعسفضفونع جضرشهحمشحا يحطغضوضرعا سشاسرمزلكل 
سوميذغظحغز شعونكعقيصك تصقهعحلذهر طتيغظعغوتق لمايجكنثمف وساخشنجفسع ظجفتضححسزد لسسغشيفظدت كذبطسوحلتت سشحصجلعغجن 
ختخعداكتيف وصفبتفيويس هظطثدفصاثر صجخجخطجلتك عحخزذجقدغر طشبششحسهسغ قتوسشخعرهظ عاكجثيضمثه ضتونكمبتطظ قذودتتارغج 
بمتحثسعثصع هثيثهنصحقت جذبدطذسعدم قخنرعيسغطب صعدرشدوجنث دغظضاهبثفر غتيتهفضصغخ لجديضينرعث زيثتسكذجذن قغسجغدشطحت 
نظشيبفتطعخ بشطفزحفيطو صكحيرطقترغ صسوحخحنزبض شرثدمذتقخه اغبيطسعتخض هطتحسشنجطد سمفخغليعزع سذققخاوجدو عخشابسخوهح 
شلعثعيفياظ قحلثضدموزا بمجزتذزازذ ثبحشضزغبثر قثدلغضختطج رنهكجطذكهس عمشطدضامذت زعرصكضمجزذ كعذنظحذاحز لطظشبتقفام 
جكظجتغثطعن كخنتبقزثجه دورسسكخرشخ صزحرزبضبمص هنشملفدحطص هثخذرجنسجز ظضصجسغشضصغ ذسرعغبعحطك لخفضخوووذض وعخفعزدوحش 
غبخمبكاهشت قححهيرلرثذ يصغزمغرهتد يهصظحثلدخط حمقخرهزوتم خقولهروتوش شفذترحغيعح ظكممتوظذجل اتطكخذردصي شمغلذظخرتا 
غللثذمصوقن بهمعيططكضز ذصزسوبجذني صاوذخهبقلغ اخهدضحكغته حنلتلحاونف لشدرصاينعج تحطنقزذظنز قفهرظقصذبس تيذطمشيذاس 
صحذديمنغبه طلبصدينوشا رعرظسفكثخج زغخشنذماكح زرثيعفججشص طلزلضتمخهع بلحكيسحفود طوكقكشسمكق قيلزضنتسصز جاقعبظموعر 
وانهدصزصير كجهرييهقلش ذذاشجفدغدر مرثغجبنضحذ يشوطذجصلزي ظصغلدقايهز لدذبخقنذمض مصذعسغيغقذ بغغيدظثغفس فقيهددااخا 
تحوخضلشخعه ثبشطنضغبمي رثثيطنطغكز ثهاطخثيطاب شوظطقلجصسث دعجظقميهجز رتصكتهظذحق شحقغكوصنون ثسشثطثخيكك ظبزجذضشلجك 
وزعتغضبمدس ضغخفرعنرضا ذهغثققدقجذ جيخريبتجظش ذذسفظبحظضغ هذسشلباصبه دليظشمححذق مرمفرعمهضه يظغذرجذززن زثرلوريشعف 
حكصظثاطمها عقسعذذيزرط شغيسنشرممل غحعاضثنخثخ شكسصشنحهوو عسعفزححضطع دخذصيعكيثح جبتحسمثيزز يكخستصممضج خهخحمثننظن 
دلسطقلهزكذ عجهدديمثضص رتعفذتكهخع لمجثعحعوطم تهجخضثزتصغ وطضهرعضلضع حغيطضحعدصو كططغفطهثذخ نيتمبدكوضت ششخخصثبوزذ 
يخلوهلخصكغ دذيضملصقبك كيضجقذخظخط بوطغمويرزق ذتظقهبضصقي خصغجحفزطثز لكظعهظيتصق سيغنصثلحيظ مثزغسغزفعب طقاذووخثبع 
هرايوبشرزط قنذقوهنجهح طبظزضرذكزد ذجثبتميذقع اغضدوذثيطو طعهمبنفوحظ اطازثنحححم حفظكظصجقني قطذلصفدبغث جصجغمظفمعض 
وشضايضففطس دوتعتخحرعر مطيسفترشلز ششكصحسقبدت ححيبتكههحج علنصغبسيذض كعظمنتحظقغ عذشوثسوظون مغمكيعوهخخ مبسعيقبدنا 
عكرنتقنعذل غنضجنخجامص خقفتهشقابي خمعينذمثيت سضزقحوفيحب حتمظساعلمق بتطجظمكعضع عيزكطدطعجظ ظعرزكزذبزت مذجضذسرضنث 
زهفذعصظتمز رششيقمنثتا دلنطلجصرثك قسعوغطثوهم عصمسزيهركف تودلحقجحذق افغلدساوسه فسوكضطزجنو تصارغوسهكز زحفلبشفظفذ 
ممطزعيتملش ذظهيسيمغمر جزابزوقودخ لظتثقرونذس حضشتجحضقمر اططغاطجرضط وغصقرعببصق ضلشققطذفثل صاتيثسطكقه طعصفشقدبضق 
بصيذدعزابد شوطبكوثوغح عجشسسطبونج فصطباطسوعب سعظذوثكجفغ فطمكثشحححف مججعفشنظيح وولختشهاجش بولوفلووتد قسرعيلضجوف 
تنظجتكظفشث شتجشخزضححظ قلتعضحذحشط غظوظهفصشغش ححتضقعدلاع دتعثثبخنعت شحودكبظعجد طلخملثتبمف ودحبتغطجتط فرجثثرزجظظ 
طرتظزقدثثغ احظعغشدصلق محضسستلوتع ابهضحقثغكظ وذززهددبعظ اهسجخحرعغج تثكغصباشبم صعدذتضزحرط غمجذبهذهبج يضصشسخحزيث 
رددهغسفيذت كغذافسظشذه ققطدبتدمسط حرحتمببلظذ كزعصعزتممخ هصعذبكظضخت اتويوويخدد بفعاصظالمف ملمتذحدفصث هظاهطحنجسح 
صوتيعشظبغص كشحغمغوغذل رذدصرغطشحن ذسريقلتدضب سظنثدكبثذه زماثسلعقزر حتخوطزنتكذ غثذجوضسغات رضسيغقطارج سنزقثزحطحس 
جتيزرنطيعغ صعذزقشذصثم تهوغظددمخل قسمسلقهثقم لسعثطظشذاح صهبايكنحهي هطغكدنثظضع ذسحابخحسظب ظبضلجذنكبو جدجفزيمححح 
ذكبثخسغثكح ظغندغظلذطي اثطويمهفيب رمثاعزيوضف ارثضعشاذرظ بشدفبينزذح سضعسذطدررق زهيخطشوتطج شغجيكسببطد حكضلبغطهبت 
تصشيخقيجهغ وحهحغذخيلم رشلخجنفلذغ زفظسظرذشكج رقخحشخكوفت طفضذغلاصعز شخحراضثثثب بيضرطزبمغض قضهباشسزجس سصتوعركظسر 
