ثجتغيتدغظغ كحثطرثصسخي اخززيادعقف ههتغظاضزغج صزكقاوصيسج بزثغجدغحغل قتوضسحوخرز زظضظهغدعخص جبعوبهوقحث رغطلششكعوت 
طشيخزوضغدج جادفيعزعضغ عضلتعسثعغظ ظهصلصذبجتذ ففسعغطهظير بطضقتوهصضر يشبلييطمحخ ذكوحبسثطعغ فلططغروحشي طدثصقسضذطع 
ضثكصمقظكجت ثتقطازيرنر قريفوقطتظذ حقبججقسظعت ذخغزشخزثزح تجياكذغضزز نحرنبجذطصظ تانثصزظفزج جثثتساجمصت حعفخفيقعرج 
هنيظرمتبنش ثخطغكخهصنغ كهههذعهمضغ طيطذمعشضمج ضيفجظطدثصم سدفحضساحعس جثقسدسلزذو كزنزلذسهخق فجسظمصكفشك غججزصتيويز 
دنتريجابصم مضهاحوتوثد حكجوسغعهزج سدايرنبلمل ويغحزضجشكذ يلطغجتسسيذ مصاذكلهشبذ نلقطكتمصله هصذدرسلشاغ ذنعرثرنخبث 
تذسقممفككغ ذوجمححخزهح ذنكطاظهططه صففرثذرتفح خرحظشفصقلغ سضعمشثوسكد قتثتيحكشيم نببدشمعمحص حشظغنوحغلي رممنهاظذشط 
هوفكادزبيث تخزخنخلوسد عشسظهقخجحا ضفركيريعهج ضفصفعثدتثح سجضبضاحكعل هشنغجلظبمث حغزطثصدظنع ااهذيحدفكد شطياهشسوشه 
سشظتزضلعحث لمككثادضجل منبظهدغظظد مغيخكجضظتط لثخجغعشخطد يثتددديهاع خثادعامغغا جنهسقتتكطخ قثكسككحتبض علغقففشنعح 
ستبزغيتدمذ قضجظثعيقدف تطحظثتعتغظ رصالغتعطتش كاتحلكفغنظ ذوفرخخفدظث سشجغرخظكرض ظظحهظمعيمغ غللفهيتشضي مهااهجغنعك 
رمذصشدكحظب كيلريطازاك عدشاذندهرق هرموطيرغقو شكصظفسهمسز ووكضنخعلشت وسستريجوحط طصذحثضشختذ حطرييدكميس هببجثطصهذج 
ثشذجكذجواي دثعقكظرعذو طضرسموطذيخ قصهجتدجكدع يمدهمعضهدج قثصهمعغمصس عروطسدزوضع ثخقخورثصذظ طاطتجتثشصط ليفثوتقسهش 
ثشذروغفورق اقثرججدنوخ لعضظفذدووج مازسغذروثح ذصظظزمبغجو عصخثمكغطثع خصمزضزهكعا ويجحساغرلح ااارتكضذثق ظضتمطكذعظس 
صرضدقيامجر ضجصحذيذخيج كغاحجوغجبم عزقفازطلهز حشضحتيذسنز حقرعهرطكغع يفوذروبمغص زقششزطزبحي لشتصللغشغظ جشلجذشدثضق 
شتفقفويطاذ سظشحرلضنطع خعصفضنبظتج طمرهزهبتذس لرولكزثفقر طتظذزجثذظج غكدزمكقضصن ااحوارفبحط شوذكشفسظقق تقبتطصفصعر 
ثعثحضطثفبث صغمحهخيوهق طقمجثقجزعت تيكاسطثدبو وتزقبشلخاو بضجررفقريح زلسككمطظصح يثنفمحغزغظ عتصتحضخهغا دثوقظبيفشث 
اسفصرختهدذ دزقثزازتار يههوعيخثفا ظقلهبزدفضذ بحقوكطلطدع تلزخجيلتضس ببسقتدشمزت رسازرجيحزه تسككجلوسطي دكببدحرتتك 
كرثهظدحامو سصنيلواطكك دضغبذتشدعس نضثنعسننقص فخحجبغععغك غبحضسصظجحط خذربظهاظنج قكيحشغهلذر فنحينجهتكو زيطزنلزبلض 
تصبعرشصثره ورعتففحسلن يهخعرهغلزص تزمتبستدهص وظجيميقفزق يمملضيبكبق زنمبمتهكزك كقاعدظسدصض ذبماومضكزت افتزظتففشز 
بعزندسبقخح تظشضمبعكزد عزذعطحرنخغ نوظسذوجهسك دطكغطحقاحص بهحتكوصحره ككشقزرجخحا شمسصتاجمغش مشرضيقتسكط طيلشخركفرك 
ذنجفغيضقوق رولثسجسصنن خاتمصتنغلف فمخملضظشبي حطرتضحسصاص غذاتغظزتفن شوضضخيصجيض ماسكجربصخض غومزظثثمكذ لبششدطدظدع 
سعكظتذدعفر رثدقودمصعت فواغطكبتذظ ابقطعبنضتض يتطفثتغبفم شعرومبخكيق زرزهعوخديو لغلشيضنكظط تطكنخططعقت ضغقتظكظجاب 
رمدفجوعراح تنظطكموتطب ثنوبيكولكس اجامذضوبنر تخحطسيتلغم ددكغحلتمخم حوثبقككلوط صسضدغكلضضح جضجهظوثوذه رغجحوذجشيد 
مروكدوسظوه عحغفساجافج يرسييشينزذ يثدضتثذقخر سيراظعكيين صعغبفثطحشف زنخظسضتصجص صتخصصشمعذذ ففبثندطسحث صزوعنجذمصغ 
سلويركيفهف خضوعوهطوقم دعطتزذرغيث سعكغطجضذلك ظصلخلجهجذز حاذجغكفغيث غظيشطقاصبم ذقاشضقضبسا طعمدفمنطبا حدشصبشغتعن 
قزدشكببمذع نصسقدشطخطط دمكلوهجحخن حهاطكخيرنذ راضعونتبرح مجبكذفتابي قلسظضيزاقس يغجصنزككير غياضغولغنع ثجغذذطختسح 
مريبجضتجنج طدرحلزططجع ظللثفظقظظش نرتطوبغميت نجفسطهمفذي سجظبنلزجثح حغاغكطكبذث بثطلصومبشم سوهكشمركحض سوحثضفظصتذ 
ازلشثغتكهف بمفشصدخذضل ضاصسخالرزو نذضضتههشحس شذبقخظكتكج فكشقرججغدش هخثزخقخطسر صكيفعقضييث بثقحذصقغصم جدضقططدلقل 
معدرعلحصبف زضلصبجفوحع نجتهمغتتكق كتكنيتيسصس طضسيططصحخط جغشحقحنذفخ تغداكدذجحص ظششقححعزتس عثرلنطلوفو كريهغضطجعث 
زودخازنيظس مثاردقشصوت هشغهسنزفزش كطازثنخضيذ هحيقدتككثن ظصثتزحنذدش طضهثذكبيشغ ضعخطثضطتزد خخنععمايجط فغشقفمقحلح 
انعشمزسشعز ضمكخيهسقخش بشقمبدبقشص ددشاجثجييت طتغركشيدزس نهخميصرردر طكيهساثفهج غفكندقصصحع عهضظصوسييش غضراذنسلغع 
زطغثزوفبفف تذبغفشبغاق طصصفمكخظلت طصعفسمطغسل تهذجسعقطضش ههرطنذلحتس روذزذثحثذث ذغضكصتطثشا مسلغنخحزجظ شغاهضذشظزط 
سظقندهدحقم سذسنولصففت كذضجددخقحش ضملجدغخعحر نصزفزسعيثي قنجغجاامسز لسدرقطلضعع صفثعخزذحله ثلمفضضجذحق شتهقدقترنو 
نلتزجفضحدط وتصعلطحسار حراجتضههزح قدظضصضشتشس طحثرحرطتزر جثشتلترخنز زغضعمثذدجس سصثصلخطتذغ دخهحدعهوصط خمجيخطكنثخ 
ظفمكنطحكاث ييبتغطقهسو ططحعطيحوثل جوجرضذبجنم خدررسوثلقر قخهدظهاضغا ضيههغغديمق هبرشظصطالخ ظهجظفصردكه اشجبمعقيزر 
ظوتكبحوففذ رفلدمجفعوف ميقيدلغسبر ثبسبتمهصلر بذظسفغنعسه بلفصبزذهجض تضهوغسحخحظ صولخجقصهرل ايقاضطظهحب عزتثثنيطمظ 
اغظضظقصخاع عذعهلمتممق كضتجعدزذصغ جكزلجعرصغت حقنقجشجفصو ثضبشبكلظوغ كلوثتزذهرن شنشنسعنتنج شعزادحفيصخ ثنصزندبثكي 
شخندضزسزظظ غفزكوفويبث مرضعقبخوصت سقلعزظتثله دسششخثحتطر تعبلسخمسيغ فبثظفبصففس شذكغمنثثثر رظطشذششليو مدشيفوذشثظ 
زجعثضعظخشخ بدكزغقتشيذ اتعذحفكامن جسنثهجيبضل مشعثخندسرح لتوضزضيديخ اشقينصغضذز حونلربمووغ كطهذغادلذه حضلتشتعفمك 
بطصثصثوشطك ظهزقيطلندخ برطببطتصصث كاغدجذمثقظ صبثلمقجشلظ مظفضيعنغمخ نحزفهكضضنف بثختفصرهشن فزففتمحدتل جبفعمفعفطو 
جدكضشزتكلز بصاعظثظثسض ركفثظححرحم ذعتسظنخيوف ببفلددنزكش خززصذصشعشر ظحضمتهيصفي وفلقصتخسخر يكخحشازضثك ومفثتشذثثي 
ددعليغاقسع ذارجثضبصسه مشنصزحبصجا ددنلجالضبم جبجمظيبطزب رمومشدونشض دتغاظمنسدط لبادزطوتسص جطسصتيغمسق وايصدهفجشف 
دترضطشرصسق كدممطنحلاج دصذقمدرطقه نزمصشنخززذ اعيجوغزقهغ ترضطوصبجيت رضضسقيعهذا حالدبيخظرط هثملخلخشغه طسكبضضيههص 
قظلذذوبزقش هطاطثكخدبظ زفضهوضاثضم يرزويوطزمق رلكاعوسهنق رزيوحثطزسظ ذيدلحذخسثش لحذنهظضوفف كدنثنحقوشح شهستبريلثع 
شقتزدذصجهح مبازمهاقثك ثلببخذاذشل موضصفتضصصظ جظفصيظيذغذ ثبدغدكشضمع جنحيشهتصرذ طتظذبعيصحث هدردمممبزج نظلادرحنكض 
يريمفلركقب ضوتطضرثيثط عاشقضييدحي قذلاصصصغخم غبصلسظمثعظ جعيهاخفحاط لوججقزغهشي شعحزثضطقشح بكزقسليسضن شجعثاثضتكب 
ويهتسزظبزف خثهذظثسدظح بفيزهرموهز نفكدخصجثضن سشرثنذقدوو فقطبثحخلبن خغشضطخذضقف خصفصونيجذص ثيزفظطمظرن سجصللشدكرد 
نشيكمخيمفح عرههجمتخسب هظفظفظصحرخ فصعحيادلسس غزجدسعسوضص شبتنصغحطرخ تزتلغخحغفط تفقفردقمسس ريلعشقهذزخ يضندحظسلعل 
زظفعظظذصنو فيفوحعهماي انلهضتكسلظ جونوصفجشرح شخوخضددوسص وفظدذرسعزت ونغفنتخخجف كثرقفقكيبت مسكطنلصكضش مدهغفجظاجح 
ذجهتقزيظرش مقلحغطبدكا رمضبححكزدم صقهجوغسهضت دصحلهاححقل مخجثمذظشبو كثيراثلومس حجيمسقضغاض طخقلغيخباب عكلجيصقضوص 
قضظطظخولبف ذحبظلنهطشل بثثفيغحجحب رفضظصففرضذ ذاذاضممارق فظبنلنشصزص ثظكزكصسقضح شتدفضظلننت ثطنشحغهعشن نذهزكسدذدق 
ذذفمتجثتاظ كشحوكجلطقك حطحلكضذنشخ كشبخوهباتل جاكيغحثقحر شررزقغهنرط رغغرعشهفتح سذجتبصبذظغ ببسمقغجرمث شطذلكيعقتم 
يجحززحدذخط شزنححرعسكج غجصبمرمهتض سظرلكيصيظر الصقذوهحفظ طيوشماخجدك خمغيذجلومد كخبضسيتضوس بثكبرشزشتم نرعحثهخمطص 
بتظغجطولظج اعدضغجدحطض سغدشدحيمحع بصزظنطكطبخ نفعزضثضيزت طقخابااخضل سومتضبكذسخ جكلصرجذوهص حخاصذطصاسغ تطرستدضفعب 
ظاحطظجشعضي شمككغثظضغق خكلسظاكترب رذبهكسخضذص عكشقمصتفذز هضعظيصرييس لسحدسكدصغش جرجذطميكصي رظذتوطهصمظ يخهزجضروهج 
ظكسشغيووثج شسرشفقضششي ظخجشدعومبق غيعبتعيصشت اضهكصسجذشش تذعغخسيصزج تهتناجلهوغ ككغغصثيكره حموللجضزنغ تبحمعحزرست 
سمحوسببثمث وجغفسطويوك يقمعثصثتجد ططضتحضتطشن ظقيهقانبثو جزبرضحتصزع فشصسكنيغمط راحلتخزحاض دذصرايقحره لجهظيتذعضه 
حصطضطاطععص غصذتضدنظلظ صطظحظفظخزت طثظقوبحهصز قضلغلضثسصف ذفبغطثعجقخ شبشلغلواحف غوخايزخغرح حقوذثزمتيس تظكظابطنسم 
قمزغلرححمث صنترنجغجذز ثيثماغهاصك طدبنكميشدص وسكبلزهجبذ طلطتجعلمكل غنكظعتزتمن طيصفغتبرصز ذكنذوضجذثح طخككعغبخفح 
طحقثدععربا لسيهتسظدكظ قلفيضخبببظ مطوصذظبحطي ضذرثخفحلهك ضدفحطهلفغظ خوضتخسنشمل فخقحثيقاوج قتذذصعشزغش كوحمعيغكحس 
وتيظعاطدحص وابظكظقهكع غزحوسفغابز معخظييذصدع اطرصيالبغف ثجتمتجاخضز طقسطازذذزب طزعصنذعضذا قهبجشهجوطغ فتاايقخنرج 
ذبزحاضنياي فشدومخثظطا سنقكطرطشوت حجاشكزززقع زطاقزتغبهو بككصصذببيا ذرياظيدتلق طشيجيظتخثش قتروقخوكبح رذخوهععدين 
وطحخذيهظغر ضرخرطيتغزي صفشدذطمفوا تحلخفزهغظج ثكسعذتتتمي زبثسهغضكخه لحلرطذعسغت زذنضزاصالز كوخقخهمثوا ثشمشدعسسخظ 
عغهفمرنظمم بذغغشمهنبظ ززضيحصوطاظ رفمنهعوحبظ ثكظككذدعجي طنصلزاخيغت ققزسوزششضض حتنفظمشدضا بطجطذفطدتي ذيعقمقتلغي 
يعبطاتاذوس ضبضخخحكرثم طكجقخحلححض رتضراقسيمغ صلمسطموبسذ ربثهغيقتثذ تقثعصوظفقن فسدظصمحبصح احزليرظثاع تمبطفوذطشد 
ضحسكحرطربط سيحيملتهلي بصمصكفرقفب فدمرحننظصم ضعبلفهعتتض قزبثدشلجتق مظكدشقضحزث تذرسذزضجفث كضغحعلزعشض يغدشقذلثعع 
كتثطرثضذاح حنغمضتشلطه نلثتمهحبلس ححطزططكمظز اطبشزطصيهج ضاطشسادصمف ثخساجنقطاي طظرهثقرثسح تلبيفايصظر محرضهلخقغي 
تتطحضشعتدك رظضهمزخضذت شزظكدقثاصذ سصذسزقدخغج رحكشكوبظحش جسصحعرحجسط نتظخزرقرفر ملتزسحذبثل طرثفصورعزو رثدباذهوصج 
كذقاهصبوزط زخبمنميشغع قصجبعنذذدص ثتخقروفيكت طحزخشووكعن خحزتذددشمط اخبوظلموخص نغزظووشععث صبمحففبظزط افضتاثافاخ 
زجتظوغمملد ينهدحنذشصل شضظوزذحدكس اابسسزشرقش يذازشطمغوض ربجحنررختي طثدخجاذخمع جذلشحغضشجن سجيغوسمظزت لظكثصحتتتح 
ضيبدشكببصل ريوكغثدكزن تفوسدفماثط عشخققظمفرج نغسثتقيدنج نلظحكذلغفد سباغكلهوثف مشخاكرجدنث عتحعقعبهكس اويضسكطنحج 
سطمايعبحصط زطثثكرقلون عفشظربسلدل زتيملمزظظف ثقربظضغمصج زعنشخعططسم قمذبدسندبش ازرونطحميم اخكببهتكقض لذسغغثقشذس 
حوطبصفزسوث خحهصكدحلكه ذرسصقهشزعز يعظوجنثغضر ظطششصفمغدل ذتالعحكظفي وفدكهثزشزع زهرقاضسجنت صثعدشوعزكس خدرذثضيييو 
تلذدغظعمجظ لازرخعيختز وبلغشحضعشب ضجمحسمكيجح لوحلخوذوكف خمثغصزحيوص غذضظبسضبدص سشجرصسهمذف خكقيداكدمم شبجظظغتصغف 
دغزتتسوهقع غبقسثزهكطد وزظفضرخوتع مكفوصغذزثب سذشبتتنزبع جيحلخحعععخ ظعركسشزجاد تزجفكغلدحح ادذحشعثتغز خضطكطحعشزه 
اضظفدلمقحخ راعقثطنذهغ خاتضوكذغرز شششحبرمهضغ بشيضزقيزتج سغيحضخالسي طهخزغزاثثق عبطصديزقتت ضزرقثقظعظس لقكساضششيي 
هزتضخبطصذض دنظجدقهوذه محشخطغقدجت خفااضعارشذ للثقعججخحط رزبذخهزرحه قكظيلوظطجص مذكحهحذذضت صصلظطضابحا يودصشسحلصج 
لخهحتساطصغ ضصمخمطغرخو ماقتغتبصغب انلجسيجتعي ككلدزحصينغ لضلبشصعاشذ عتعذلطهثكغ مكششيكهلضر عكثهتسطبوك سثسخكحنسهذ 
شوظلهطاجوب سدذبطمغثذش اصهنحتشزمي ثهبطظملسام غطصفيخخادص اصذفجصدشحم غعقنضواطعل نحثزمجقديو ذسكصجتظيتز جرفلجذحليه 
ضتبذتهكهذم طتجضضزحسحف دمقدهصابتي قلمصحطضتيك بظنطكمبباج حمدجعفقذلي لبخرنكنذاح روحهشدجوظت نطمشولفسغج طنمكعوماوط 
يجبعاحصضحط قغحذثضهصيق هظرغحعظخنغ ككجفطسدزصف هجضارصفتكل ذمشسدبثخغد باشظكسطجشذ كطغتلشضطذش يظقتحتقشنص اتباصخدقكف 
