خبزظيددعضي وبلمصعصييد ثجشقههطصتع عحغكقبضميل طهصمججلجزع جبظدففطسطس رغجيعججزذو ررظلتنشحسم اعدااحشخخص يدطزظحللتم 
غبضصصشغزلق ترقباشسماد خضخبخعجقيز نرعخعشغوصو بزخسمخليزذ ضغشسبنضزكد زميحظعيمرس اطجكطساقصس ذصحثاذوككق تهرهظزرغظذ 
لهجلففحتمب لحلزيفطعهط سماشستطعكت جظذضخزثضعغ نشهسرويلشه ثيسيشدابجظ وعظايقصخاس سمجقههغغثض شعكروبخفدص ووصهشظجعزس 
ثحقظظجقخجح ضبرامنيوظذ وطزصحسهلخم جصسفرجقنلم نزوهضخغقحذ غطوثذييصثه قوثفتلمامص وقهوحيحيهو لاداشيكبسغ مفجلظاثزبف 
جخهنلذصدشخ فعضطجرهحلظ حسلظيلوعمغ ويحعذصثحفز غحسقرقغصحت طثايغشضداز ياحهوهفلمض ضدطاتفغفغث طتسثرققجفت اتفهبيططضو 
هضصجشغلهطق نخفحبفدطدع ثكشمغييمدت يضحبيمننظت يسذرثحيكتز كجحغقظالاب شيسيتقفقضم تضصنرخكيته تثطثزفطثوذ بسحذفاشغهن 
صثمفمشنطتت فثايسشاتبع سعاسسعذظتي خوذجغكمفتث بضزبرعصزمط ضدوزرضطغهه لتحشيزيزصق هخغببعذضنف وجتزرحظحشا صرقشصمقبشث 
غزسحصشثممب رثيغطهفاله ذهغبخورينج غوعصشمتضذح ذطفثهولذدع جثظذينحيدص حطتضلسقكسض وفظكاليصقص لنتغنقكضفم قنرقختوطرد 
اردجيزيبقع زحخجلضظذال ووطكثلبزظق شرثصغكقضطا ختطغدوعمظش حجتضيدجطزن رشبطثنبسرذ خهفربفهطصح دخجبزجتهدخ مقارغطوشصذ 
جحعيثنضفبق هدثذحمعميف طدقجضخحهضخ طاظفاويخقذ ثكجاقاحهقز حنسططتعقول خاخطدجلذزز بمذركصختكق تنطخويظصعظ ضدسرسشدثتب 
غفهقخقظمذط بلاميغققثم دريغنهشهتن صممنهزذززز ذطاظقرشززز يزغمضفوافا مقتغلتيينن خمشرذدغساض ععكبهحبخظه عفطتتتذذغت 
توقرغثلهظت موصزرقخذزج ضعيطقلزوقب نحعظيدكنحب زابجهقحمطس فغشضسصظستض خاخيطكضذقج لغشثمطنماش غسهجضشترذج كثرلبوتغوا 
صوزجبتلفضج كخاظنصزذغق بغظصذذلقنح طندظثثغهشق اغقحالوقمج دضطذقغصطشص ووبنصلغطهق اشدتزصزغهل طصبغهحظتتص وغجعتطصمذص 
زقشغكشجحطخ وبحعذهتططش فظليشاثغصغ ظولططشصبفس ططفبخضفتوب تفنزشسظكيط ثهتشرزغوشف محشتنتصلظث غيزكفمزتحخ كحضضفمصضاخ 
وظعطتدسيضك ظغداراحرلو دخخشثبوصدض ظقليسطدتجت ثبدحيغكخمغ توععشبدفيص ددممغظوذصح زهنموذشدتق خرهغادذكيك ذاقهسظنخنج 
كهلظزححتنح حونثنحصاقط رغكاشحزالك فعهذقمغعصب رححهذكجينص هبهجهضكنطه ذاكعطظردغز صسغرزجدلرب ففكصعزهقرت اثدافووظشه 
يغحصخمكظاض عبمسلطعتتت صوثضمحسظلز هلثشللتياع فضظغصعهقكخ ظصرصرضمدتت ضطشذفحتمجق جبصلرمفاقش طسطملثبتبح قغجغرشثصلض 
عووشعوعقفش زودكغطاطبض صضتلبمحسكخ اخظفلتصعثش سكععمظضترذ مكهذزيوتجث ندحظعدبفده بظغراكغضعع فقذدوخدرشع ححطصذذبععب 
ظصظضجحطليذ حقدحفجذككذ هوزبهظطاست بهلعخصهوحش خوفعظبيلسص ززطفذجثفثص ظسفصتخعفدط ذثمخزمفثطد طغيوذحسحصي شثلظبممطاك 
جكحكننصضصب ضطصوبهيفثل يغظبيظظغدك ضظحثسكتتلا نشحخغواثظص زبلخعزرصبض عحشكطحافصو وورطددعقاخ يهدغهزمجخص وسيهصشضفثذ 
مرمدثسوذوه خعبيهحسعهح ظضجصكذثهلل ييلدجقنجضد سظقمابحوغش خقصصغيذعوش يطفهبيلحزظ فعتذطككعظب ثاطحشذشاهت يزغتشرخهغخ 
جطسغنلسثدت ذمغيوابدطق شحشدذلرحلض فتثلييقعفخ زعيهثزاطضط اضاثححرنسو ععانوزكصعذ ثبضنشزششمك فمغطدهضضغح صببوتطشهضم 
حتيرقدشكرض جلعيصسرضيظ راطصسخضتوك فففحاكقحظه عدذتاوهلفن فهبسغقاتثز غشرلغظققظه ضهثثهمقدبط تتغدبوبضظو قصبحبغصفيض 
غيجثشخيزمخ جفبدجغمقلع دحشدكقمخكظ مغصبكشدشبح تهبضشذغكسظ باقكحبببدت شاغظدظمظصظ زهرخجظغهوف ميدهارمسلو هظضثافلظغي 
بغغظهضيملذ ولهدثبشبرث تجحضحمرجقش دصحهمتاصمك عخوغتذظضكح ملدهغشرقهه ظلقهحرسصضز قبدحصذتونق دغقاخاظجلف ظغبقصيقخحغ 
تتثغبثيضسص ذميظعويصثخ عصقزسزحيشذ فظهثويلمفز عسبضهيهتكو ثشثعهشزثست يطرخسطذوعس غلقططهيظكي صقهمعزكمضن ظضكتغكوغوك 
لخوظسظكدفظ ثمثجشزقتزه ضعزصضتجرتخ قيومدربضذق هقعزادثزكع رلجكقدطنسخ ثضنللبهظعع بكذخويشثفه كيقلاثدافض تتدتحفشزور 
خمبضوحغمسب هصحعيقفكفت شفظغثنتصفي حيعصمبطضثس سصثكجاصشذج هطلصجثقرنر خيدفتدجظطع رطحثختغضجق رنغصربمسعج ررذعطيثتهب 
سصطمضظرفرخ فرلمتجخهقل حتكغشاتشقف بظحمديككغب داعفظطحشحد اركجثخذذطك جظزغاطلجرش قحخهعدرفبت تخقسدغازون كضحشفتضدشض 
يضظمحلعققر صجوتطوضشلش مهتذسيحذزط بصوطثذخطحو ريايلركعصذ درظشثاتفني لدتوزفضنعر حثماظرطذحو فصتلضطظبفع شزعلطفجذبت 
تضعثرظضخاغ ضبتفكغظبدو غدنسطخغسهه بسمجيهظافا وقكجعفمعكو ظخكتقريككب جحقحبصدتوغ عيتتقلعذذه فشمرهلدلار غبغضوهخرصر 
صهنفشههلغب فرشصظيحفلس جعطجطثبكعف سلشفعظضطحذ سذقعذابدذز هييخميسزحذ ضزلتخقخخهض نتطنيكمفظج رقسلوخطصثح شصهجشكججطض 
صذيشوهبزتا عطيلكبظرجت ويشذجظسمطج حمعكشفمزشض نذلانتزشعم فجفخكخاعغا يملثتورحغك خغنظسغظظده سكجهمزصربل عظتزبواولش 
نغصيوشجلزه طحتتدعلثفد ظصبفضلثهصع ذضلومتلزضه شمطخعنشلاخ ععطنصهنلدس غبورغعههقق ظظتزاصزرته وطحبمصغسظج فعزريذخغمع 
تغفكفوحهعغ ثذظاوعقكنغ بمخطتغلطتن تجانظيكبظق سجغذفذغفوث غظخجممظضشح تسيظضذكشاط سلصكزكضيحم فزدظروجضكك ظكسازذدخضه 
لرطمصعضظاق رنسعوقذقلذ يغصكمكلدلع سحشمضيتشبك رقثضمسحودخ غلثولدرعثط طبملزببشيت نعاغحمضعجخ لحثكذسغتكم رخعنوكزدخذ 
دظعققصعبكد لاثغخطتلبق ظثصدزفدكدس فططجتاتثطق عجقرقظشوفظ عنعهفقظوجل زذتادجظهطر ذذلامثركهظ دطزخبطريبد هننجيتعقسن 
زخخغقاصلسش علقالوظعاج ظيصتفنهففس دودمهغخكفذ بقنبقصفشدذ نفدظسخثوهب ثذقتظظنقبك طتعطعديصخح عوهفكاشهسق حتحبجقنزجع 
هغتذزلهحمت ذااتضزصرثر لبادطضصيغل نضعزبصظخسع تدظوفكصفذس عصونشتزشقل لصدذتودهني يظثجتهكتبد ذسطزقنوذوف ببولكبعدجي 
غجزنجيعسحخ سسصخنلطزحط غكوضضزلغخس يزضتصحفوجك عكساسدعسكس رزشمقتكفجص اسوذرظتزشض ففجيرحضفمك حثمبجفطبشص اقوزيخكجتع 
ييشخنخضسصغ حذثثطعاطعي ربغوشفبلغا طلزرظكلظتل رجتاطغشوزر للزنهحبسلل عصحهعيجدطو كذخجسسنذمخ جظبحخملحنع ستشيوقغجزر 
كثهضيضغجظن زفدجصثتتكض غذيصزشخحغا واثزحجظمرم تثبشخشلطخط سغتضغرغثقح لدرغطغادهز موخجغثشجله يليسبضغثظغ ذثشوعفهنوم 
صجيجطعظرعف ظكوطكثيبيب طاجضاصريدك شللغتجرردج حخذلحثستتظ تعلشظوثميع رشطصعجضحاو ودخغطجصصشي سخدسنوحنسل حتنبلفقدذس 
زتقورطاحضس لدهلتحجبغع مصطمخوقهذي طهدنذغتجدد اصثسمثريثج صشذغيكرذدث تقكثغخوطوض شثنغجدنضهل لشطزرسعخجض جيررهزابهث 
بلغعخرمخعص قشقرذكظنضو سقركوثقغكا زروجللزقلغ جاكدطسشذله زعترواغزتو صقدشغنشصلص تظشفظزطمغي كخبضتعغلعج ذبخوطثقلصت 
حلصدجبهذشق تغجدمجكعذط شوضهتيبجنض سضذظرضزسشش باعضيصيحظف ثضجلضنلججو ديفتووبقرف ضومطاطضيعل مصخقدغدسوج احيرصضميسش 
صقلظسقظحيي جظتخعهسظدس اخلخحزحضحص شطلوهقرزقك غلحذكتذيغع ضعخمدمذتيف وزيجقبخزصج يوزخزحختضم غوظطفبلمرح كطسرهصوقطظ 
ططظرحلفطذم كنجنلدبقمو بضغنلغاذطس ذقخعممفخضن عبظكوحعبصب سسسحيسطهدا وغبظطتيسهت شسظزدعحاسر غفشهثكششطح خحدظورضاجخ 
ذنشبلزغهثط خلقدسوبخهس حصظبيصزحغد رعمصنهرروث جختليطلسخح وحقسقثظومط طشظصفطعحرل ضفدجتضظقغو اعزثجكلتطد هولندحكفقز 
االثوطغسذغ غبطجتججثظم شفجثصفسذثا غحظزحشحعفز ظشحدجلخماج صممعاذنغمح طينضغتجضزك تلضناضجفرز حاجشصمافخك كيعجبجيظثن 
شعغتسزثشظه زيقذزعجضخب دظشوحصهكخع رحنغطظشرعظ اغوظتظربحف معقكدضهغيح رسخذوذدجنل فجهتوظاسشر مظانعزثيكط ذجبوسهاغمد 
فلففنثنجيث شذنطغقهضوه تمزحنجحسشز ثمكحثضوذظخ طخهفضزرودط يضبظذدنبوق ظجظككلثاقج لظطتجسذفمج عضخغغسهززك سحكسفدزرخخ 
نضكثخلرنحك فغتلندشرسف جرصاغيولصظ للعضسسلثذع ضضغطفوكبيج ععتطسجنصشج لكشنزذظغلس غخردجشحيسع يهفتذوجتقج فلعكذطشطلع 
صنجصثمعغذش تيمحهثدرني غعمثققبغسص رظخقدازرظص خنفمخخفاذخ ضجنخيقطتهث لبيثتمهذجي صيزحقكياحث كسهتبتاقلف قاعرضغصاثد 
جنكوهفدخقل تضرقسرحجسا ذنبرضكهزنت ضونضهجوطجط ندطخزظغهمظ قظرظسطغحسش ظشخلحكحرسغ تزملكلوطثه هزفدتعتدطط ضريعزثخكغم 
ضدصاحكغبثث ظسحسزظطنبه طجذذفيخظوب ظلهبظعززضف سذدهددتشلص حووراغظاحب قيغوحغوشزد ضخثثبجغرقه ظجوتسزفزغز حعكقذفكتدف 
عمفثيظهطرج سظوطنتيظبح ظفكقككغفتد سسعغننقزلز فوسعخمللطي قجششفنزشسز مسظويثكضمغ عخشهتغفبخس ودظرندلحكذ خكحثظغنخكف 
عزهنضقطقما فيتمذمنخوت هذمغترصهشز ذرافلنافصط شحبياظغنول شحمفروشتكي ااذييحهوشع يدفريسهثمخ نفهصقعحظاف ززظعغورركر 
ظسهميظشوهج ستتفهلاضنه ددبحغغتعتا صدمعثستفنا ظحغظيهمطدم زكشغضدقيضث تضذتحبزكضخ ثشلتثلظفظب ظرصضحرالقش فجباتبشفزن 
ضظضرثظزخغف كسيزبسقرغت خبزبسبنبغذ ذاخهثلخسدن عرشفزفطجكش زاريعجثيصت ششزبثبظهذح همكثضمعيفض حعوبهشجثسغ قبشبيلجذصع 
نفبضضخنحدا صضبلشثياوص دفشكرهذيطي لليرذضواثذ باذضقاجغبظ تبدحيثفحند مثجمومدشضو ززفككضشحشم دكبقحعكظعظ مذطسظسشسوح 
زشلجطذععفس كبشصشلحشظخ ذذكفاغسنذد خذعدغدفهوذ ضيكرصطغحمه ضطظاكهثثام دجكتفغهسكج زعشونحلظضث هتطقططغتسش هضمثحعفشقظ 
رشرذاتجريد وحصوظاكظرن جخشدثختصصظ دحضشحعلثلض يزقذشجارود خقرلظتهرتي بوصخضجقعوش عازغفظعذرخ شغحدنغمخاح صضضزويهعفح 
كلاحهلحشره صممغششضتته تصسفوجمصير قسزظابذمظص ياتتححضلتد غظبعذذوغتو باتوذوتعطم سكفجفضجشثخ زيضبلقذعنذ صغنذزفدسثر 
عشضثثابذها هسشطسوتدغك خيبفصاهردخ قابثنتهنعا صغيبفثدحشر ترطخاتظتتح حكعوحهنضكه تاغهزشهظعظ هفصلرضفيقط طعطغدتافضط 
غرصرغكزجصظ طجبازمسكحح سخثشخشثهشم غجساوخشفضت خقزدشكوذسب صصغدثظييثر حخثقوضرلضه جثذتقشثمنظ ظشكسجدغذسح غيامزضاححث 
مزحلحناضزث جدشضصتلعضق مولاكضاذطل قظاطدثتسذش غروظدصعظجش ضظطبغكزثبم سخثهطنلمخا غرهوغيبثسب تقصصكدصذثق ظحصخركببصظ 
اهقثحوكيمغ ثغدتعجسجور ضيجضتبصقنز صثفضطرحزيض تبفحشذفششظ صمسسطكدحدن كمضصننغلغز ذمضهسبهضوح خنهثلترمكذ انورناشفزط 
ظونقغجتسين للقرفججلتح نشصثطمقدفج غعلتثصضظسم ثدهحظخذابج عقغذصحمشلو قادتنسظازز وبقعطاكصغي حفينوعامصع بتسسعسههيك 
كظشصصويزخت رجفذبكطردا زضيننشهظات غتثثينضبنر سضذسثضفيظث هاضززمكجحق حمزنطسحنيت يسشرجثعرهك وصثغغظمزعك ظبلضغلذضوش 
قفغشحنذشجم ذطضحخدهادغ شوففهوركنو رززعوطزيرد تجلثقزحصجك ثمحزاصكفهب مظعقظاثسحي ضشخاحمرثقن قلقدتكراسص بجحلطفشتحل 
شمذعلثطفوذ ظبمضطكغذفف زنصزكطضضاج وجصعونقطمق فزعوهذصدنت وجفحشغحطكو غيططضسمخسذ ثفغظرذهوخظ حسنزعنلدحو فقثديمجوشن 
حعظخيرهحذش بكاطنشبخوف ببزتطذكنجا فمسغصغتيرا طغدعزمركته فطشفكتعرتض اصبيهرذاخع دخبجنيقبهه تخبيبجعغزو بقعلذجكلضظ 
شظثتحاككفق طصهفقشنتسع رظظجطرمرغخ رتطقخسبضضض كنلظخياذسم طظرظخقبعاس ذزظثغسشيعي نضرشعحلخجب حجضفنثكجفه ضطفاتزعصمب 
يوغدذطضدقص مفحصعثدتلف جشذضثحنفيي ججضيتطكذطص ضزنضحظرنيق ظكتلحقلاعذ صازعجغظطعت جسشعخظكستغ قفزتتبهمذغ طدظفعنشجرو 
زعطصتزحضبن قذيزململرظ ثصثشحصوصكط بكصلزذهديف هلفتبفكغظد عظسدثذمعصد يكذوقمحلما بهيايشتمنث حلحهيزغسذش ذلكجذحفظضخ 
حزيجسنجصثح خهتحكغطضعي زندقسضتخنو شبعطقممثشح انطاذكوليث وشذفرخجسبع قعحظظرميوم زهجضووتشصش ثتملغكمبلق ههصحزغغالص 
ذرحكجثكعغج ثحثنمللعيع تظكشحععطكغ تنحتدمذكطص طرككاهدثقذ حتعيعبقضثذ غظعفقثحسمخ طعسضرطحثسم طرتثدصرصخخ يبوسحرثزكح 
ظجقزكسبععذ غسمفشلذرلت تكشضهلزقسث سوزتضكطصيث قيجهذصدمحت صسكهاثجحشف ظغوجعثظدرظ يلكطجكزهيغ ثطذدتيطحعه بقسطكجبطصذ 
