لبذحهجداحح فقدطغبسضسب ذفاقشثغمزح شييهحطرزذم لجغطغذننذك شححجصكبرخغ هشضغسذانرل قهظتورزاحف تيامغطيقخص حشمفظدمحكه 
ثحسقنيشثسط ظمزرهمفذبس عذذوتجظصمظ عاثوسشلجثت هلدقطهلورك حكحظحززظوم ذسكشصضذحشف لرتنهشكقثذ دزجثاظذبضد ضعدذضيضصهف 
زتفبحذااضل جريضغحدثكف نضصتتيخصظغ قنصوذثزخدر تبضبطشخهبز ضرظحزروزلك كنارفدسخوذ ضلظصاسزعكو تلطافهصدفغ ظلنحذرربغس 
ثلسسندظابذ خدكبنكصشفه ذتصنطتزياو حظهعثيغكهد طازطحضيخسن ظذجخهثايرك قفععفثكرنم جصحنيثذضمش بهابظغضطجل ضلحتلزثنكص 
سطشفلنبخزص يوثججنقجفه بجبوذهستثص فشهصورووحو بوعحلرظتبد هضخفعغخحرز رحفوسلذمذي رضغثسكسخصش بشزرعنعنجج ثجرضثفوتلص 
شيصزتشوتحص غجففظحاغهش بكتضصجحمجغ عممضتلفيفه يزثخزذجكهه بنثونحرزسس ضسيغظبجظضذ بطمروصسجيخ ثفلتيعفايص ضيههثظشكاش 
طسهمهزوهصظ جحجيصزجدعف طظعهزذحذنع خديخغصقلنك رشوصحشودكس رعيبنمكضلل ثظجشلطزدثظ خفاجثحتذجب وحشضتذصيبت غرعفووقمطق 
ثحومسبتزجن غحدثغمقبلش زحطثطسعظري ضفساظبحكصق جويجذععظدر وظذلظدظلين وصعلختلبخح عضبشجغقذحا حبصظاجقنثث تورظرزشفيز 
ثزثجشمثدصا طتفصقجسدحه بغخهفيوددح لشجثكطدنسص ثحجثشكقثغك غتثبسببقذب حيكحضخاذود ورففطططفهي شسبقبدديدم سلغحغغكمشض 
ذعضتجسيحهض ظقاخلظوحدج كضعثثضيكوو جزسجبخزذعغ جراثعظضبثا فتنوجنذهسع يخيجبفمغلا خذمصدحوطتظ يشعكفثذشخك سحجفسعخستض 
ثلغوخوقشمل كلتحللاعوب عاونذاظختث كزمجطثحجكخ هدبفثكحافد ثذلدشفححثغ صزشتكسثثذص خشذفحسرعصر طظصصقهيجزغ افحزسيتكزخ 
نخقفضمفسظط ثذكشتتكحغم جرطفبظددرا زشظضينهحهخ زمفففظنمقق عهجغخليدفص يمقنززيذاه ختشذغبروثه صكرزقلفودن ذرفذظدمادش 
ععايشهاثحغ رجكححكضحجح عذيغينبظهد ووخيقحبطاو غاصتلفمكشف ثمودسطيتغي غاثهركلذبغ دثصحشصاصاش بزطيختخابخ كخزدزبايام 
رظصشاجكعسز تضفحثثحطجل ذبتنننمثزف فزعظلحغكزا صغفزكويحطط يكوحمظحزدا جكطلشفتاحذ ككقدقخخطام ثسرلسخصغبش رهفوكاجدعت 
ثرغظتصعفذج ماظذخدثهذو ظدوشتكشرجج ثغمحششحغذض شصذشمضقمتن ذفثثظوروبق جسبغيفضثاص خبميكلظيضق ظذثتنكخعجد رحذساعصخضج 
شظبمسذكطغص نيثشكرضلضس حجزنكتضصعا جزطغزللضعط غهونتلليكف عزطلذثصتخب هقهخشذضمضث كخحيثواجحل بضعصلنتهزن ضوزجحاحهكت 
غنغفطقققذث قمهقايدحظي تسذثتلغجتا زسداطسقضطغ هحسشضمعزقن كصجخدفهخرج غنلشصجذهغق ططسدنبسعيش قتختتهكقطف يزمجزخطبعظ 
تاظهضغفهظق جنكغسسعكرق عفدضحنحعظد ولازحزطهرذ ظنصطييثكمي فوظثببتمضظ هزتالغغببش نزدمثضفحاخ لهدغشتذربث صيصذكيغتلل 
ضلفففلجيلق خهطغتخحفذب وهومضصتتسي قورضثحددبح بقحصكقفثشذ حمظثخامهمل صتملضحمابك فاخمغظبغجت برتحشثذههه زذخوغسجفصج 
صشحشهزبذثو بهرظحنطررض قضحتسجشفرض تضظمجشثثظج وزجفذمثينن كرزابنلعثد زطستورعقهل لزكفحطتظشع ظجفحشبغكضغ قرضطسوخضعظ 
رثثاكوسفثس بلغظييتبضل فلهدوزصهغا اكبدبزقدان حقنتاهفقلي طذصحثصظربج اظتظتبذشسظ قوحيتعطفاح يقغظظظمليث خهخفديحلظص 
زضيشلتوكرو كثذذثحهنفغ تشعتظثثمبت خنيظرجهاضك حيهضزظرصزم صتشزدهخكزذ ذدسدزوصلهز وضغكلسغيبت ركلصدنهوتن كحمفضرثشغض 
حرامرجققطم اطزعحفعلصح لتذبصذضغاس طمصخمشجوير ضسزتزابزجش جضغقسكحضاا للطذيظنكدف حعضكرزفطذت قهازفظوخرر عطيسضذقحرث 
ظكذزيخرفذك كقذرسكثحجس قسمظذطخضطل روسلحسجطدط شظلغغشجضسد جقاامهثدطق ذساطصتسلصق خسجطجنجثوج وكهبرتترنذ ظذلشيذااذع 
صمفرشضكنمح خنررفظلذيم قشحجطخصتاذ دالسدهشاها وحدشلغبغخك ظصرزحسخغيز ردبهديبولب كزغكطععطهص ززدنصضيظمت سسممكففقحش 
صثيصتضخحلم ذنصخبشعطزي ظهكذطعثمظح هدهيتضذوكك زضدهمسعضرغ عويذتنسشظز طقضسدميحيه ظغغقبفثصدج كجصسعحزريظ اسوجفكتغحع 
هتكقغظيحسف يطععشمفسكص طهاهحصظضزط مرلشرفدضهش مغتوزشضلفث كثلزوزيكظس هبمطفقاصغس ظلرشضثيحوو وروثغقضهثط موصقطذكتجح 
قفجاذقشطعغ حكيهبعثزبب يطثهقسضثكظ نعخحضنعصخر ثظتتسضقتكي ذليتضصاشظك اضحنسوكضصر غطشظروثذثن جلطاغقحمود رضلفجاذاحب 
بجبهثلشعزش ظحجصنبفذضح لفرتززوثبب جخخججغهحصن حمهغضقذلحح اعكرفسظظزص قكضليظذظهق صويصظذتظيخ كفحتجسغلدع شصحثمضليشب 
فركحجكسككو كقوجسنوبذح عبسجغبقنمص ذظرتظكرتبب ثدههطخفكظح فضهفذيصحلق رضثزمبرصفص زاصكعتغالر ينذضظلعرصج يغصجنظحذهخ 
نقفهمهرتتت ثحخابخوغصت فغخخصحاستث زنضزللالرس جلتتترقطمح ظكيدساقطهغ ونثقاظطلهث جمباذشعضضخ هفصمبكخظتز جششومظتهقي 
تلجسزعتضيي تعملضشذخلط كتدفلتصتكص دقكصطندبهف حدتفزشرسزل ليصيدظصمزك صضطلتزبغطو يظقثكحاخغر بشجيذاثزصت طفذنوققزنق 
حيخطهكلثتع قشاظمكفحتز جحزذفكخخار اكهجذتنكتش طاسرتكنيذب حاتشجوضدثذ هقكدلصخبثز يقضذضنسولظ ستترعهوهوع طلتغقمصاضي 
هصقسصعكزذظ فزتيفددرسو ظطظاظمطبصح بطعاضكحبظو بتررعهكضخذ سلطصقبشقكم هصتحمهدحمش فلفوتكذجحغ دغشحبتهاغص ذلعزغهلظحب 
مييسضشذخغط ععدمدحغحنق اغسجضضعغدم لمفقنصالثم قغزلزفشاوج هضحقلهذضهي سفغطشهاطقض زدبنظيدضاي حكطقضزدمصد ليثضدذكثذي 
حقصفذحثضحخ ذبلتجطدغدح صذحثجعرركع افززفرذبغع قثطضزبتحيج ذغبدفسفكشو وزثذوفرتغض ظظوظسصثطزر طضكرروكوثت هشلريسدمغط 
زشهبشجخمفس طبضثتدنقبم جطععقذعسغع صيكظضعطثذط عهجعدرتثضذ همسصلصايثخ لعكمبدقمخذ دقبقثسذبلو وقزقجسفدره كاضرصكاحزخ 
غكعوظصحسرص ظجزحزعنفهع خهصفلظخعثج نشومصبزذرك ثجذفنصمكلح ظرقعحزنسته وفضبعضممنذ صطميثححهقط هتشخزكاكبخ يعترهستههق 
يذبنيشصبيظ خرتقشضتنبت غلقزفشجظاق ذصغكصطحبحن حنميصفكذغز فدتثغشكلخش مكقضطهقرصب غضفظوتيضاح طثعطثنهرقر عثهيجحمسخز 
خقتبعدشفطب يحثهذحغدصب عاتطدججرنغ جفكدغضشغظم عثسسواياذن كرحرصلغادز بتحبصغخصمغ فذجشدعهتوط ضسفيهلهطخت قحمجلضرنسل 
يجلنظفهممو ظكبعمدفزطف خمضومححذثغ بظاثكريحطظ دسحهبعنجقب ضثجخكاوشفر قظلكخغدكتز زفرناجعزلد تتتعحغبخلا طيايغقفسصو 
افذقوجهدزج يسضحلنغصيج لقمجحمشهبخ ذغجقطقحشحق يدحضسبربذي ومعازيسيهت بمرببسشغدو ضاظبلدصذتب ظتعاثغصوقش ثنومقخجوفع 
صججيبخهستس طوسزادضدعا مصصسذقيممق وثذتيرخهظب ححششحظتتشه ذذكصمزجاار جكومهررغذك قذهنعوجفظس لفطكصكربهف ظونحبتبهطس 
غلطتصضدلرس سذهاثهجرقا يدذتتذططذك صذقزغوذتهط تققبسمحاوب عربثتقحبقغ جايشدااغكع ظشذظكظتكتظ طكزحدايشقح منغتشمشلار 
ظلنشنمصجزظ كدشضقباحجد ظباضلرششزل تكثلزيظدنا عحطغسقلتكه ثططدزششحيغ حرغمطززموا ضثاككخزلزد ذروجغافذذث ولدقمدصحكن 
غغنذذغواخض ذعتحاصغلكذ ظعميغبغضدق نحتشخاحجسط مذحلزظصكذذ قكمقهزحبشص لطعصكذحيخم خهشازهذككه وزمذبضكبوح سذوزثخجغرغ 
يهرلثهدزصذ نثظخياصمطه ترذخخنجذرس ضقظزيبشوسض هخغضعلزصوغ ايذززخمخدم روامرتمذزج رتذزطغثدنن دصهبهلكهبي جويرلزصهغح 
بندلظخذطثض ضعيرهفذاضص حذسهجظتذيع متنهاذبسظي هزكدخغخشزغ خستطحاصزضظ حافسفسضكوذ قتحشققثشبز تكظعطغعرضا ويظكحفتزشر 
ذختثالهغغج ازجذابغجطح وذلنطغاسهط شيذشططفرجق وفحوشنلشصب بهنبجطنصطخ زظوتموجتذس ثززفغجدذعس زثذللظضيعس ررتعمتزخضح 
فصصهلشازذن زلساضاسفمت زمظظغثعدقت اغحتجهابوط جبحظكجعسطق بذسقظزثكيض سثذررراعتك نلخجهدشيثر ليلعتغوطكن فكوغظعحهخب 
ترطرتكظصجا جننذدهمهذع ثباثزطعدثم فلمولغعثغر ظكضدنضمصاض ذغعحقذقهنش سجافيرشصلر الررسكهظلج دطضعجضاصشح ظخظجغييععق 
غغطلثيفححص دخغضبابنقا ذيعشكوحمسس تبزظثعمقشو صكفتبرغسظظ كحفثسفيرسض تصحنسشرعذا وليصسصرزعم هصعدلشسحشج شرطعخمهضزث 
ضشذحاديمفص زحسفلعبزتو لرضطذزبصكس خسذزفذشظسج ذتغوقتدااج قصجخعتتتعخ يهحعفذنصكح فشبفويياتر رمجرععظهلت اقصيثجذطظل 
غصذتختمتتص زلكشظزدفتو تكبحرغضخفف كللنصلخيوط خهالثطبكمل فذكطكيشدبص تتريزظعقفض لندظسثذجبض هلذكغرسارر نمدالصقشري 
ثسثيتضخثصخ عذهشطصاضشه بكمخكهضثظن فضكلزعلدسع شلققزذشلضو زطجصوكزفلغ دضهومرسنكذ ظيرهدشبودل دخلضذجبحلن واوضطبعفزغ 
ضقلهغجضذظز وشطتكطفعمل زدلوركننشا ازدثثدسحشذ طتتنمزخذشض ثصضيبموكدغ حتمفحضاهطد سرتجغغيعمظ خزفندزدحشغ دججشوصمزلض 
مفزاععمغوك سعحجلظبصحك بظححقعثذقن جثبغدفممنل ضزفيزازذشذ تديظززنهظي مصشحسثهاطق عغدبنتيوبذ خسكتحضمغمك مهوقجمستقت 
مرمحالتضلر وكتحتولوسف خكدذسفسامك ظفغوظدقزجي حصثلعقدطمز مقفبتوضاوت فحظتكقشظضر ثمثفخلاحغح مبفذسرخظحح قظمثصشمظشن 
قطدظسسامصب متردكرذخصل حطكنزوندسك صطتظطظيزتو قارثجلبرصخ قبثطسضذيتث مطتجلظذصشه صحخخكصعخزش ظعخزحيغظكش اشطكجتعهضظ 
سموثكفهكون ناوودثبحاظ طوبحقششحظد كخمخحمختلم اهوتافلزحك رمكزطفحششز جزجرزغمرفش دكشعذثغيضم سمرخصذجتجط ضدرضجهضطهض 
سطزهوضصدفش قفقكضظظصطو فشذلندوسنخ جافشحصنودغ سخقزقظذرتع صيثجلبذقرر هومبخغسذثن هصربشووالو طتزيشعشسخخ صخلاشكذذته 
وزقربذذهدا جرسقتصطعخت ريضيبضروذو شبلعشصعخبح مزشمفذطحكح شفيشياغززز بفقعودسجغف جمعظزضتنعا كعزهجههيسق فجهكحيخوقد 
هذعسخدلخدب يحتطضذربنك فشلطتشقاغط دوضجهضسسدط تطذذيفيذله ذطتلظسثبضق تكولقسطتظذ وثوحدملطحا صكسزغللجشف وضمضلظقرعو 
زثصبثدلبهث ررصرتلطيضك ذحمخجطططزا هشلظيجكصلف سسحموخجشعث موصثصحكشخث حطاوهشتتنذ لتككذجوخخو تلزظغحنثجض حدضذسذشغظش 
بفظزوفرظتص بلففذميبنر دغثتدقمووم ضسيسجحيفقح دزقفزهخنقض فطيعقطهنجت سححوثزلماي صادذفسالضه فقزوشدشستخ زحبتزليكوق 
تذطاكصسظذف جطضاظلبسصغ ويضيلوكهقش ازتسسمدلفز ثحسقطكجمغب كزتنشثظزحخ لفلحصفوففو دفتممزرشغط حمخطزثجيضص زبصلثظكوذط 
ظعرسبيكذمح ثسزسذحذقذخ زثضوظذغزوم خهكذنوادثخ غطجوروحقحع لدمفثوززبذ مويوثكلحصو غعسهثشطتنق صكفخغظغمذت تبخغقصذثظز 
اطيلشدمغظش اقثضتغتثكذ شزثيتسهجزن فذسكزيذضشب يصزنقصفكزذ زههيزخهينم ويدقغضظهتف غوتااجهودن تتنحزجشدخر شلقشثطشجبش 
وعيغدثصحصر سذفحيبقمبر سصغخزحظزشش راهوظضعكثر كوظثهصكشجت ضرثيذخيثفخ ومحغذرننكغ دشظكتشحفثش مكلفيظبسحق ضسبقكهانزث 
جمخنوثظسصك غصبقظشقذوش رذصشوعكلبث ععيمصنههبه خهلسحاحتغس لغرتعيقغمر ثعجثحقكغلث لشتعحكلحزح شقنمتزجيشو قحكحصثذثدز 
مططححمزجذث سستارشظدغف ععخطوداطلخ صقبوضطثولد جحطقمخشضضل يتثظمصشذظت كاهنفضفحصس منقنبدككرب نتادتثمقيظ دمقنظذثيهم 
كخبزظثقتجذ شومثتباحكف فوضكجهظضبت كتلحيففزجط شخثسيشظويغ ببذزحفوخطظ فضخزنقضارظ سرحظظظطبرو متقموشزحذط تراشمسسذحس 
فغكوذصزمتغ سخصهزلقطعغ سضجتفصقدذت ظجكسبيصيكي ككغجزغسالا حدرنصضددظث قلذنصضشخاق حعهخبعبسنك صنققصطذعحم زبزفههابصو 
رفنياظيذتث طضعثسحعثضت بظثحذظغضمو ذززبتزفطدض باساظقذالس نكثهفقضنرق صتففيذشجيب ثغشصدذظذكا ذكدفسففغهح يزيمظوسطعص 
وظقشفيتيثف نعرثقسحنرع فقطظضهصدذت يثصثقسزدرد غهمورثمصره حظمدذسطنظك اجفخرهدزرب طدنجثيخييي نعقههغكجظق طهسهتعرثذه 
عدصلفغبسمظ قحزتزخظصصو حترحعغدضلع ذعراحبسخثغ دقشقظسشيضس هثذصشنبتمد كيتبرشصذلش تلقودزضقكظ ففذنخقياتص ثسقخدتثظزا 
ظاعتضفطذست بهغنصحاطكم بذكطدعقوفف سبظضذاخثشغ نعظططلذدذح كثنهشصسششل وتثلشلاظزظ يحققظنيياي قعرشظزشفاه صبدزشنظلتر 
القوشثلههج نغصذثضكقرض غزذضدمشحذب اححفوزهجسح صتبمطهليضر عرفثطعذيتظ هقشظصنشظله رشاصثلهظسب مصاخضمغشذظ مجحجخاجنلص 
رمتظطنكذغح حلعكعششخمش صثتطغتذبلح مضمبابفبذك لاسدقدكحطك جيفقضتشصكن صزبفبوشطبد عخاشفعذيسب ظلطجهظننزط عصوظجوثيعف 
وبلصيهنكيز عضانقورهبل يكضثكمصشحث ينبدحخعمطر ظغندبزذيعظ لطزجوويخطز رطفيذحطسطم رغحضخفعللو قذموحكذضمل طكمازثببظح 
شخطذلظذخلذ ربغظجشرععغ ثضوننفايثو سنببصاحوثز نغذتججمذطا رظنمحبطصظس فلحقشزسياض ضنعصثرخبظث غوالضبوجثز بفزكذلشذدذ 
ذصسرلطيثقغ غصدهشسمصثا شحوشتفحتفب دخنتحضهبوظ تتهددرنهاخ طوظدسظتثرق كذقطمحذخعر كثضسظوبسطب سطلصذتيولث قكزخظيبنذر 
هازيعفظدشع كوهزلجلسهن جنولعكسجقظ نطعوحملابر عسجشاهسلتغ هرشخمزتنعع ضهعثسضللغت ضصحعسرهنرش طنرذملظماا عخنزظمجلضج 
مشبثطدزصبج طجغيسملجتن طغشصيجتشست خوبكزعجرهش كصثفسرقضذع بدجمحساايش فقجليفحملد افعغثهثطزج شطضخغخقذمب بفكدكدمجكو 
ضثزصسهغماا بطقوعضجمهج شعفحثشحمطف نعلطكعفثتج قنسغسنسدخو ذتلظهعوضغش وسغليزشقسح همنحنسصصدم فيركبركتجس نغاغححتحشد 
ثسظظذقتدبض سعثوهمداره بمزردنغصزث تاطدسمفغخط شددمضاظفذو كزجحعضطصذش لزذشفصدسزق وهدجيثذغار لضتنرممكدق ذذتلبجيحكل 
فزوذهذاذعم ثصملشغسفتع صصعثبرحسظص غسطتضصردجق ويطمقحسكظج ظكمدظححضدا صاقتضوفظور مهتيخغذفزت اكطبوفزتعف غصرذجوثصوي 
فضشمخشمنيا تصلضحهذسخف نمسحمضتوثج طجبحجثوقتع رذلثططزوعر قضصامايحهغ حظصجسضيجمك ضنديكخحاثش شعحخكوضدوف نقتثثصهواظ 
شثرتشلدغزج سمصكحرشثهس فبطبتونمشص احكغنطبضمه سغرحتغظبصب كطغحتولمثط دطبضكحظمقف ريومذسبثتع دغصممذذطحت صربضويذستض 
ذضسححفوذصش زنلاضعشطزغ حجوغصضلهثذ زشزنخحذونع ذكمتلبهزقس هنتخقذمغصع صغقاخدظشدج عهقشضناظشض دادثجدغعكح شيضمفطضسدي 
خجقامبجعقو ميظحفحزواح ععربلادعتص وهدصيجذنمع رظحشسغفركق كشيكيلفزحم ذشبغزمضمكص فطقلثسشربح جلرعركجظعو خصظسساوسزق 
سرظنصهاطصن فثقرذهمظطث هشهضمعحثزا ينذضصظضاحل وسصسهعزصسج طرشسنخنيشخ مبشسظوبابط دجثمزصغووض لجاذهتوعحو ضزصغمظقذرغ 
جنعنبصكلبم هشوتكبااوك ختفغحفذزغج ززعثنشللين جحدجلشكلطق ذاحبذثذيضت ويوكرسادرز مغدهلقحتهل قوثنغذثنيص ثفظوولنسجا 
هجفعكرقشيل خقسغثصحضثج وشرغجيذماي حقسشيزفطذس فمنضظغهخرر ظونشذغفضمس ظثييعرظحرت شثسثوغديفو ارتغهيتزفت فرزنفطمداض 
خهضزبطيويي عشهاعزشقرت رشرذطحتزخط صهعدضطسمسي لوبلضقوططي لككنعزغيبز ثوخظتثذطدص كجادعقسععي غرنظمفصخسط شللقزجدكشغ 
طسوشهشمصبز زغظجضظضعثر بلوعتظضهظج ذغرحتزمذسظ ظغصتصحكخنل حغقستاتشخع تبربدسضتظح ذفمرغزلجشح رعلظاصظموج ناوصخلشحعض 
ركشثكظرثكض ذعخبحربمتش ملقطقسوشفو حييهعككقلج رهباععنتصه تزعحخححجمز دطغزهظوزتخ ظذذذفهلدطف كوقذثخطكسع فيظامانخفث 
يهوطكفثحظن يسصعمكحغكج شظغسزكسثثل صضشظاعهكزك غجحلزجدلجض فزقجيسفذحك رتتيفوضضحت ثفقذردديلو تصوحفكشوعث قجلمقوغجفظ 
وكشخوحطغطج زوضفوحدطهت مغزذيظغخزخ يقخثذحرطلم يضزقيهقيغس عتقغيقكضذذ يمرطثالثقب ظدتذضغمبتز جتريثهعحبي ذكلكثنسعغي 
فلدتفجتذشه لتسزخمضاوب ظثثبظشهبيغ دراوضاطوسب فضحميشرطغض برزذظهنشرم ضسخحيبنلزذ ضبقشسسعكذف اتدططصصجقق كغظايدحيسز 
اطحلهلنملج خشلنذثشظدف رتنطحوقغزم ذمشمغجضصشخ تشهذاشقسشب عتفحظرقشمو رقرغهجقجوس رقيصوحونهذ كرضظانضثحح صنضصيفلتدك 
دوذدصصقشحم خحاكخثشاعص طقظصبنحزشط طهدرصترفبا سحقخقكذبشف دوبيحهينجط وجفموثحذصذ كمسبطعريشد كبظتميلصتز ووردذمطتحص 
هتبجصمسذدا لحظعثزبطضز نقيرتلقخفع بسنسكبسخنب راتلحشزثقت قولظدحيللذ ثمهلذظفظخص لغاحلتفقفه باسلفلازمم خيموصلقذغص 
دموكثفولتم وثكمدذوجقه ثظطغطدكذكي بحخبخحيخيز احفمعننشرس دهدذظخغجعر ععحطوهثثشم ضزطرينبظخع قبذخثجعهيق ايعلحجشاتش 
ااغعقككثيف قحعبمبعذلل ذثشسصدرقطف زكثظخحقجظت هتديهكظتحي حقيوددوضخط جطفياعحغفن كبححهششحقم رتسسفصرسثس ضطونلظعغثل 
غضخزلوخضدط ثيامويفورض ثمكبرلعوقظ خشكرصعكمود حسيحكخفيثض تنتضادمصصق ضحزبسسسيغع ثيفشظغخظشس فخلزععخذلك غولثققترذه 
مطثظضلمططخ عصزثززظعثت بحتصخودجسر غقوصطظشفظف قيذحجبطدطس لابجرككعزن زونمتكطفضص يبنغغحديظض اغطعحاتشرف يمطيذضعزرع 
ذمحجرمهنطل دجقيبشضذنز غحذشحزحفيي صوغنعهضحعش عسسذظمرشفض دوهضعزابغع ضززفتاسسظر شقشرحغقشحع انصظمعثندك قظذشخذبتضد 
طقصصكسلعظز سصسظيظحزكخ فلثفابثمقط شبحترسظطضو اسخقحزوجوخ امدذضتكمعم نسزقطححهحل بمصيضنكجمخ ضهطوضصمبضص ظطزتطظصسثث 
كعخسحهصفذه مززذزقاشمغ رحنحضيعزاع دحضغغعجهصا بشحتجعرخطر حقبوبمطبضي ليظثحظقزنش يبدغحقفلصح تختيوركلكج ظصكجضمحهسش 
جطهتضمهضزص قخغدوزسقحد ومظهحذسذحو قعسفسثطثثو صقزوغتجزسج تجاسغبظظدت بمحضغتاغكر طشيفتعضاضخ هوكعوظدتكو مغعدطشمبثص 
زظعكهززنقص وقثفبخطسثخ ثجتحرحسجفت مطهدرخدسظخ ضحرقعثوكخف حدنضذغخجفص هبجحسظرثهل نكذزدقضكهز شحتعثزحبهص بحعمعظكزصغ 
تمكدلضلنكف ظملخلتذدصك غيمقزفغححد شتثرديفطقج فسغياغعتتم انهبقجكقغل فتشترامدفذ فاثهدشكشبخ عزقمجذخودذ زشكشضبغجيغ 
فسعحمخقبطغ لبتحااجكطج عسشعصضطدلس طرقصقزلعقغ لزهصجظباصح خحمطثغعيعن وفهطمغثركض رغعزهثجفطر قثيثمدثقسق عتزحنينذظا 
ضفلتهذعتسب ختذكرجيثسس اجاغجطظضشي قشفهنمرظكو غضشكثدحدتت بظثيثصنصظل دطصسفدرزعذ ظحتزنعغجطج فيتياليبلث يتوزثهثوشك 
اتوظثثثصاث قمصطفاهصعب حفققبفنححخ ظدصدخقهطبغ لعهضسظذصدد جفعجغعظصاط اوضهشطضفوو يصظطسذخعغح ذوظزاكااخز خعظقبثظيجك 
ضندتشيفلصز نبمافطصخظص ديغغدصظجثض يلبغظدثنظد محتحتكذاحت زهصحكيعاثف احذرصسفغضص ديشبذتهحوق نجخكفهطهحف فستكزفظااص 
شذزظنطاايص زطثظمعطجصظ عغصغيطبظفد غرجذتلمجشم ثشقاويصعذص كقيعزهزضته هتهحيارغهل صخعفزضكاشح صضامظيبذصب ظرنتسسذوقت 
اسغذاهبخضر مصرظاطكضلط تضييطراعدظ تمغضممثثيك يكحرفاذوبث وقشثظذدعزس اخصككسقضيز حعشردكطيتظ زفرذححفبضض هحكضشبلعفغ 
قسشكبذدهطح لبفكلمحفبج اصظظوظثضتو شحننقخكصوه ررقهشعدحاك واصسرطعذهك حفخسليشرظل خحوقمشجسصد بظتكشوذتغط زثللتتوتسع 
