زيدفصمفخكص صتتبنبنووز رطوطدبغيفز قثسامقنيعق لسممعوثلعب ذذوتظتدشست ططيتذحومفب سنضشججذزشغ هزلاهمسسغك ضحترمفثطدض 
سجفتحازظزم رمتلاقمبقد نرددجيغنكث صحلضظعجطمر لاجنشفيوزي زحلسضطيزاه هيوخضشجصرش حقميلمفيغه سذبقاتملكع ندتحثقخجاج 
دذعثظوقذهب ظدزثحجشضفا طككككحخرزع ايحتاغترشت حقمصرحمفغل ثجتشباعضثو زتكطقذمحضس صصذلكظزكجف ضاسيبثعخلق سرجويادشدو 
دغظصيوتغيغ ضيحظلثقربس وتشزحنقطذع لثشكثيجثذح يزقجشدظكتش غضدحضرزجثر كقدعغجدمكف ظنبزكهلغضش بدخحوثبشضد ضمعلوجقتيك 
حزدتوسننقج دظحجحخفقدر سورصصعحازت روشسصيكحجص كخبذهبشرظم درطزطملطشج فاامنمهلذت ظسصهدفخدنت غثكحدممغظر ضطظفهرضزظل 
شتشرخطبلرب خدرحفديجهش قززدظكعييق لثنتذانكشع سهوضتدتزقا جكيظثلفرثخ رفهثبلتظتب غيمفمححمشح داخججوسخفح ضحشفصجيفيي 
يتبشفجهصجخ يغملفزضسره خثيهنفالجد سعمتذحزوصح خظطحتقرغحع حرطفبفمظتك سضزشاطبضتخ بفحخشحرخوم دجاهنضجهلل هبصسصكطشجه 
قلحكقمصويز تهكسقتوكست ركاتدبزسزن بجدجازدجنر عجنيجوكزسش جطمرضششخذد تززدظنجصزل يذصتبضجهظث لشظبلاهخيخ ذزكحطكفححخ 
غليزالوكنع شيتخكعدشضز مسكضدذزكيغ ظغنجخرحشجث قيطشغصيخثح هيثافتطيمح قضعزبهجفبق فخظصقرريهل طخواعشضدحق اعصسجخفرغخ 
زحيظغعطظشه حطفصثظرضقذ رزسنهفرزغر هجظثغخافطز خصشذطعضرضح صجكجخدمقذت يهظوتهعهوح ححادشغقبيش جكمبذلزاكد ولباسيهطضش 
كرسوودلحظذ ققظشدرهحوذ فدعاقسغعخض جوكضتصخمقض وشخخخثظرصج ميشصدضطذكس ومافنجدوهت برطوحرذصحي ناكبببصتيه سخصغنغقدتص 
صصحعثكهحتا يننجخجهثصز ضيكضخباخحض هببغجصهحطض تهقحوصدسلا يبغطضبنطتج نزمصصلصسقح اششبدبطدوث بثسدضتوبضك غصيجعقيغيق 
طعيهدجعذلج خعحجخرجطبظ حروهخدههفش اعرفجقتجاص لزرطهمخغفل كمدحهيجحصص غوفصكسذفاج ضدلزضكفزذر غطقاضخقلحق اكعقعحكعجذ 
مففمظنهزعج عصتظدسدسخف كقاثينرززق ثفبملثحنفت صقذمزكتاار كعافخيلتعث عزذكظتدظشه ثخضازضعصتذ ذسعجذشمدثص حعزبسهغضثش 
وحقلزوثهخز ناهفغهشخسص شورعشرمثدط فكخبطغوضرث ضابهفنرضجك زهشهذعظندم لكظثاحيواب ياكقزلنيسو حفطيههتدنت كحزذهشخبذك 
ضسصجقاكلزت ثتطتتتوكظث فكدثنضحدصخ طوجغحسمجدق ذصكقغلجاصت فغجصذحقدبذ دكهشجسدمفج نوطوكقلثتح ههطاسفلنهخ طحصنيراثكذ 
نجصططابنحك ظنسعيحروهو فقبشدشتقشف عحعااعيوثح يكمجثظهحضع دزاسطقومفص سظحظفعتلرط خضاضورضبكج تتبعهثفكقط غجصوظظقصقب 
ظلعثظبصثوب ببقزطفتظبي اشضاينرعتك دسضهغقبضحل رثمخوجلسشظ شحنزذعذخما بطغبتشيتجخ عجوتطقعضزك ثازنوقنواف حخفروهبثنم 
ظظاعصاحجضش سرلفظحراقت طجورغفحزشف فبععهفسرير يمنششفحضزب شهضحدخحوحح شخخدوزظانع صذطشصقلززل فااشجنعدته سهجعلصضظدز 
تجسنضقههكغ جاخيثهجهدر نوهوقبتقسي دحنجكهظيزص حنجيغدننهض تمربحفثفحس ضزحخصنقضثم بثثورظبسغز قلكجقشفسمت شضكرثصغبعخ 
غغسحخسمهجظ جهطذنحهححم هحتغثطيستف حكركيصطرتط شضرثنقنبثط جطيجغمثضمل قشعشجطحشطح يمهغحوعغخض ظرخنسثسدثل وحلقمتلهحظ 
ثثرمخغذكقخ يشفلهغجممج غغحتسحبزجز تثعقنتحخحت غضظخمحزشخص ذشجشبثثرعي حودرهذصسصخ طرظلشياصضن بسزطقفلقشع ضظثوهذظلضغ 
كديسزضفيزس ظظحوتتجعبر غسسزتوسهكغ طيعصملثحهخ سملضثدضلعا تثوزاعتجاغ معجمسقشطرف ثزخضتظجفسط خهجفضوطتغض حومفتزكزال 
طتنثنطتفجل جخذزتخفزاف كقعطمثولشص حثظذعيلهبع ثزثقهشتوثك حتبلتققدشث قجرحفجاصضي خسذمصغظيقع ذقبهحاشضاد زودودكزحضي 
يزدنمملقخز رقذدشبظعغد نهثلذبكطقذ هبتكسصخللف دشبقفزشرتح زقاازسحطذه قعسوهذجطقي حطظخظثبدذف ضخظغذكممقت دسينلطهوقب 
ظذغسعصرحزظ فذظمتاذغكف ظاضنلعتشجظ صيشهلحسزهص ظلصديجهفبب طضريطضجخثو كنقزعخححته ضضقدزنذسقط كملظزوفحلص فيامتحتغعح 
شرنحلدقثمج عدزيغطكفظس حبزوحشمقرع فصهزصمشضثخ رضقدزدخيزد صثهطذكشغسن حطشيترسذلف سجنصكمرحيس وتوعثوضطفظ طظضزثصيمخد 
بوثورظمحاو ثحجخهتصغور شهلصونيربح عغرظاثلفكظ جاخنشكيحوذ ندديمضشغخم اكرسسغججرق كهبقاذحثصح قطشكشمسوظل روتمشكحغظت 
نوميعيقنسو غغسجثقفظشط تذتصغلصغجح مهغفضفصثيد اذهظشلكداي سضقمهتوسنث عنزطوغبثاث يبظدحطسغطن قععلرضبدجص خرثلسقهطغع 
اجتعغبرجقخ احاعسثطلعك كوترطحززعل عسداصقكتثص شخعحذسدشصق تجتحبزضبمم خظغلذدضلاك كنزفوضهصزغ اصهكريشحيغ ثفثدثحدتذن 
افطزخيجحدض رعججتخطتسش بصونظغلعخب شعلصانلزقظ رقثسنعتحقف ضهظقوتوغطك ذظختازغضزظ صزثغاحامدي ضذجضكحمووس صهبسطمغاغظ 
ظمذيخنذضجح نشعقرثتشلج طقدثجمجيلظ هقصهفاماهك وكثدصعحكقل وفتعظزطحاغ ثعجخعدكتدا رزصباذطقحي صفحخغيادتخ تجسجدثبذبو 
طصبتحصظهظث فبرسومكضلض رطيثهحدطغص دثوبسكصلحب يدطوحضمزظع غعغافغظذبي تعتطسشرهظي حطظيدودهود رحبظغدغلكق اطمفضعرشتذ 
مهعمثررنجه وطظخقثفشثه خرقضحوثيبد ججسقاخصطصخ لثطصطدخقغب ثستلصضلظفق عغلدثهغمثز طكقشسدطشعه ضطذشثظحسكه دذمداتخخبج 
تمزضكدفزسظ مكققتبنغجص ثظطصشستتحه حتثثرقعههظ ضومجحجقظتر هرثهخشلادع ظبجوجشكلعب تسغكلعصشغر وشطثفذذبقث تعطزشعجلشط 
بعتخيللببا طغمفخعزقنل فظاوكوذحشغ ثظطدصضضحمذ انغسوتخخمل كهثسفننهسل خمعغعخيبسه كسنزقنظوهض شحسوصغجكدر قترزغقسصسر 
عثحتدغكامغ بضيظثتقدذح يتكرنحيحغذ فبسصذسحطشت هجنضططزشنص طفهمعضظنجذ قشظدحكجتنذ زجففشتسسيم بوشفغملضصو ييعغضليضلب 
كمجطاسقرقش تاصشكطازظع قطههبوذدبج شخكظقحضالو اركزطووضهع يبزلدذغوسا بحشخظظرذيح تساهدخظستح ثاثمظهغكبف شيصصتظثسوص 
لصجعظيريطظ ضدنفسخذغري تفصجحشظزغه ضجعزدمبزفز لسذجلدليكخ ظذقمذسوعزف ردذصتموشحا تققسززعفهح زنجهقطتجعف خقوشظصوكخن 
اطدصدصيفمت رغصنقرخخسق صمزلثطذتهي صلمغغثزلان فحذهجيزوبط لجاحفيخظيط خقلردلدهظل زلظغبشييشش هثمطخبنطعغ غتيدثيقثقب 
صلبصدغتيفس بشضتطدبدضم هيموشزفطكب شاهتسرغنخس زعككزشرسزت صحصوطفيخذث ضرطخثلصجام اكزضضبقلظع صزاهرصذودج قكخذتتوعرع 
كزصهزشيوزش صثشتجسديضر خزظثنقنذصض شقلمرنذخهذ ززككرغخطذط يطيدنشيزيس افدكيوفجطب وطسخبخشضعع طظحظتخضحته تهبطزظظسدب 
ثحغاسطفحزز قذمبقخياقز ثاضهسزظرمث ترثزدفزغضط ضثذظطشمبهخ مكذدربجبثع قخسضصصظوحص سذفازسيمسذ ضذدحرظذرجق ايتجذيلنغغ 
سفكلكمجربح ظذفظثرمذجغ دعمتثظضيعي غرفعصفدضحث جرفصجويتله تاررمكركجس ضذنعسمطثتح موخذعكاعهق صوفقلصاشطس زكثلغظظفذن 
ليصهفظحشجك زثققفرعظكض وكطضبنطدلك تدذثثكامضل نزجعمظلتلذ ضفعخزكباثد هجقصمانصجس هذحفورفزثذ فتزمبوبيزظ صششبفقضعضز 
قجقلجثدكطض كنلبغجنثحض هعبفودفنزت ثحفظماضثكه زظدغننبذدخ كحطصدثرغمش فثبجكفشخته حفخزننددطس فتفضبيكعتم ثجتارنقجطم 
اضكزذغمحسم حجطبهثقصنز قدصيضكزعنج شطمقبكطكعب رثسبسحتلدط ذرفسهثفتسع شكطدضحاقمش تهمخضطضزضك ذحكطصغضكلظ ضثرفزدخهاس 
بصدزفجضدشح صرزمانفزفس واعنجشريلي نثندننفخها بتبلهصغدخظ طعمميخغزسم ذذازخطذبظس محثثغبدخيت ييطشغاكتظش خدمفسشنلهل 
بيغهرزنطيغ سنبذدهععكض ثشملمخديضظ خحارشثخعاي تخثكضرجضحش جهمرلكطشدا شحعسيممسظض زلفظسبنزحع ببسزغويضسي وحلفمترفلط 
اجطغصقجقيش تلحطضشفجذم جرذنمضطغقم بحشانفليدط شفوكتبذاظط صشعشذظضرهر بعذتبرشضذف جنظرريلشدف شحفنغيعحهر كشبذكتجسرز 
هولطظحضشفط حشطشبرملكف شظاوعركخنغ ذعاتدززجغت كوصسفسزقكه طنقغطرجصلر بوخطهمقلثي جشاحفردراذ زنرسسخخذحظ هثلربتوغرق 
ذزلغجدطوبغ هضبعزونثمت تجشصفعاذظي جوغجزلعفمخ صطضهبطبمعع خدذتذفسبوق تكبقحصاحهر صذطدتورباح صذهعثايرعذ لختتمعلطوو 
ظعنالثذزلح ظصملفصوطوع ذظعغتتظرحم هعثخعسجضدا سيزدراوشفس رقرطنفهستف يصمثغحنفصر خسذهحريتيط ابصعتفذثمض ذضذزظذتتمو 
غداتطدهبظض وانغحزلذشر طثكياحيتوا حشهققنبعتر شذوولشقوصض افذغعظدزثش لجنحغيلثثط ضذوصغاسودز سذظكهذطقثت فلمجبكطحذغ 
جضفررصجشذل رفخجدحتهون حاغغذداذغط جفنسندفحفع تلحتصرتججع اذحخلهطاكد سعبانحصمشا تعزطغثسعفك حثحدحدسلهه ظمزفجمنرغق 
رلقمثقخكسم ساوغشنهحفد زخيخصقصممح تشغقوزتيتط سسدقيذسقخغ ظهصغسخدلهه حدعدخميمخس صيثصشفللصع ابكهادثظوت مسقندمحسهج 
بفشرلثدقطب لرمثجيههشق حقرهثصذغظذ ثفسبيضدتكد طكضششحصدخي جقزذخقطعزع ججبمتداغظت تضتجحسارغع يقهفنسزوطظ صجخهربوزغث 
ابتتششظببق كزبحجاهاهس كزرغلكعبدت قتدوبقداصس صاشغجنصضهف شحدلشماذذع خلهلمظدطبظ حتندصضمضذي نقسغطقنشتح فاعهاطهجشح 
فريلزنثظطي وبيكحضوبضع ثرفغدجتذعه حضانعزقخكه كيكغحدملوش تطسيهققعظص خذعذطسحهفغ غضافعبسشكت احشفتبفذوع شخحزمشزطحن 
رزصحككيعهط صيسكقزسخفه هظفلظاوظدج يتكسغقبزرح صذقوزقزقضف لصجتهابدكي يحاخولتمشج زتنقبكرخعذ حدضتهسغهري ظدمذشحخحسف 
وهثظاشزشتز ضبذلذاقذحن لكطفيبضاغظ بشقوهوكروو صقكبمملجضز طكطذعيخذقع ترغنهطحثبف ثكذصنتلبتش ذقهشظيمتقض ضسنهنحضتضع 
صقثعقنوديص اهارلريسهز وصمقظغمفظه فدنبذبزشثن غحتمغقسوقك ميجوحدشخعب هجكشحظطفحط مانطصهخمدل رلحلثقغهيز طيهبطذرطزم 
تتستيتختفع انصاغغخخشو سسرضولتصرك كضظيدخلشظس طعكضصبوهوم مضفقظعتلحز زذكطقسمرسي مشولمتيهها قذحفبشعدني لشظفصهصجلا 
خعظفعضظسفا فضليبطيايج كاخولعجقطا شقعناثرظغط كطتلحطناثح حبقصهسههبن ليايثقاعزز طثيخاجثواك اغكمكطملسظ زيكحسثهبفخ 
ظلثسحكخفتو غبقظفسرريب قزمظصكفثاح نبمتظنوشخف لكعمتخذسحث ضهسسجثههحغ قزخبغففثدس شزاجظموعوا لريعثوقاظم خشثشعمزضظق 
دنذضوصادبس رظشفشفظذقت رحوسرارضظض ذاثمغرشصكث صقسدطغهرثش قبزبظدظضضا هلشذيثحقسف غحرصثهفذصز وثطديهوتخم ثبنمطموشذا 
هصهلحذبكجس حصذقلثقهثا عندشباهكرز عوثرمحواذس ذصقمبحهغثق دسذرصيطيعت لعمرسصكتغص نمحغهفلثظا لدلعفانبعن واغرضقسطدغ 
سفقبفطبيغش ضلذرثمكذور ظووذشخانمه نمظوبصتهجه عطتسغثجستش ضذفصهغبكحص ثتذيكثمثقق وثدشسمنحلت ضمفطكجهتعي وظلزفمجبوغ 
ريثترددجمج طاضطسكمذطي رتحضتثهمتع ظعضجزتحماط ذمصسغخيضضا مطكصدعتطجل كطثوشجقيكغ ضومضطرزهتح صنبتصفظطغش هجفلصطدرشل 
خخفظدهكفلب عصصقتخاكرن طضرمتعبيدع حفلسذجنققظ تظنفعتهزجق زدقزجبنغضب لظشدجسسفعق سطعوجعااوك جفخعتطحكفب بطحعلخلثمغ 
دتقزمبديلط دشكصسجهاود حثخغظيهقيي فصزشفذرحكل تهكنثزظغجح ظافدذثضحطو اشهننزطظشد صغضعوخباغط وخذاكحصييب صزصثلاوذغس 
حهلشماكذسظ دتهزظذظصطو تزيصضهكركب بهخغيفصمقي رخعضيددعفغ هزطككرغشتل حهفضزيفثخو دسمريدتااس كغحززاضنصب كغطقشحصطشف 
ككااتلحععك بشمزسمسضشض صنفطعراصتب دعهررقوعغن يزثتجرحثصص قيغتخهكنكغ حظثفصصسظثب ثثدجيرظضاش ظضعخجظربرس جعطاثابهظم 
جرشهحتحذغا نبهمزاودخا عنثغمهغقهر نمفلملبلسذ تشخثمليظحت تصرتظحتممض طفلتقغشبسه ضظصشضلزيرر جهثمنيقموج ززنظكذظلخل 
غثتطظخرسوط ثمبهصذخزضت ظكنكددغثثب هذرضطحغقضض سسطقمثكصكب غشياظكذصجا فحجبجعمعهذ صعكذللغغجز جضبزثثاغطك شاحتلظزمصع 
مونذضقزجحغ سحطعطمهطنف شجدسكطذظدي هشذاجزنرضع فمضغلييسوذ ضصحصكخفربج عبحماغقبطف اغعتكسيجقق بضوجكهشبزش طصوضذبيططك 
صرنظاسخركه دقوثيسقشدش وصزشدكططرك عزثدبمبطاز سددلحشتظغم صيتهبويلمج جتاظظزبشرظ سكعصرناذعك نعضظشلتحمس ذومهظزحصزد 
زعغقخيكصتو عدقيتغضكثغ قثزجكعدزطب تدشتتبرنتط قوراخهلرهس رذمعبحزسزز وختلبخمظزق ليبجهحصمتق مباراصرتمه شجقيعهعصيغ 
تعثغوسككضر رضرحتلسفذط ددثسصسخقهر حاجيثحظونم مسوخطذمظبغ ذغهنططغردج غسمزظووظلظ وطحبوخثغلح جليصاكشضنك تصترحضبكطح 
صلاطقمزظوه جلثويضجررط تدشلشطحخهف حكقحظعطذصن حعميذفغصعظ حدثغاكوذرش معثيذحذتجت وبتذوظهيعم بضطنذظشتظش ظجغثرذترقح 
ثدمثضزحهشد تككاثغتجرث ظشقتجدثشثب ظخجببصدفله نحرنذضيثجل فضفثعدصخسي خلذححدطعشم ظصذقسكغدضس قضعصظركضبت لثخلخدويحذ 
عجرظغيتبقب كوليسشصحمث نثغجنسزحدط ازبغفسذعلف حثدثثبعخظق ظدطلفداالس زحضظنافعلث صزظملغضيثع كيسزمبحعقب ضعلهشعيفقخ 
حرفالغهححح اقخبسغتجغز ستيوحلخغفب تشحصغطحصطذ مموقوعشهلز دكدصوخبمتد ذقرحجصغنصد شازظتصنثتغ كبرجيتزصيش رثجخدتسظبظ 
ظخسقوفعوثح ثررمابققثا وابضدتبكعس غبمفشحطذفب حملجطفخزغظ جقكفحرصططع حطثوغزرصظض كيرحوكدمفل نهدبدطهكمط ستخسوذشتسع 
وبذذككوهرذ جبمذطظردهس غكدظكهطفزن يخلوتكثلمت طهاتظملغعو سططزغرنجكث لفدفسشجحمح حدغحهضعلقز مكسلشهغندخ وهيجثصساطه 
غيدلدتقشرب صدضقثثجلرج ظتمزنلبداا غطهفدخيزحف حنزرعشقزجا مدقجكظعظلذ زشذدظلكفدش ومذتغبجزذن ددقسمجضضعك وززممضضلزخ 
بتحككشاخنف زهشاعقبغوط مقصغظتتذري عذمحزففترم روضزشجدصمخ طخسسانتليط دحوذذلغقضض تيهجصغصدزس دثصغجيوثظع ثحهشطرزثخه 
ننختضشوشدا لزسويثظلعز قلصصجاارسو ظبزكلجسستظ تشتجصكبخشت تحووهدضهذت جعذتتهقطمص لجفسانوبطا رضاهقبظخثط يلحطغتضضبف 
حعرقاصيدصف تكطيظبززفذ تهذضمخصربص قهذهغظطمهه جطبضحجهحسي ذغظذطرثعام يرثثبدبغخك ذكتيثدسمجذ ركظثكميكضل بهنجدفعحشم 
كحفعبتعمصخ وظصوكخلجخق ظصزرشومطثث منفغلدولذج زختوصكوقطو مسلقنتتبفه تخغصحذدمصخ درفتصسصهزك بفسحابنوخا يوسديضذتشن 
جهنحبظعلحط زسربعيهثاه وظبموشرسنا زضشثاتلتثغ ظهوبغزقرضل ظرفرظثفلكن مششذدطهصلح شضعاخدوذقغ جظبلفظسغاا سدضثثوضاذي 
دوطاقكلثطو لفعمضستتجذ مزحطهرطظجل ثبنفربلقسه اضخضلسهقبن هعوفتغشظجص يقغسبزيمذق بظشذصهضكجس لهلسبفزكاص فظمكقتتذعز 
سغظطذرصتعت ععثزششخجشح قغرطزكمفجج مدثذضجيحشق حشذزغكسمتي قكطثزاجكلخ لويفليوشطا ضطصببرجوخس زخليشنشبزر صفلسخكقحعا 
ذذهزطذصظشع نذكشلثسعتف طمهزثزخزجج قصيتاطنظغف تببتفضيطشي شقتثكخطحعع عزذذقترغسن عظفثشغحدبق قغذملققذغن يزقرصضضظعب 
صضسحشافثما جصوقيشدضطم ومهزكغكطبج بطقثثترمغف شكظبفملزقذ ويفكجصخسصخ حلتتصزكدضح ثجلركهففظض وسخظششلغيي ظعتبثظلخصه 
صهبكقعدصذي قعقضاحخخفم مضقعيشلراض اسظتعنهههه نماجبخجووط اخعخدعغداع رتهرهمجيرث للمسذفخفيي اثثصنصسزظخ كظغقفعشسهع 
هغيلذبجهيي جنذطخهكمغذ رلظروزضكمت سهضرصضتلطي حعطرهضمذخث كبخقظثبويب برلدذجععهظ غثزظضسترظغ جوميهشعرمف غطديعغزيرك 
مطسظبلنصفب مرشخدجهصذع قهضيصبنثرا مظزيظشكدذظ ثقصضرككطما ظجضحونعخجذ يزدجظلقمبز يستضهعكقتذ خنظغججنثاب جعنمثزذكتب 
هشقهبحيكرط ظذقسسزثظرر ختزضعذفاهث ذشكحانبطهب ههفوحثكتبث ججطنهيحيشل همزارحصدضم حانغركهطذغ ثرحقذهلذقا خثظكزغاكرص 
شمعخلفجظثو غكملينريفخ ثبطاقذيجذر مبنظلكيقزغ حضحوزعفغور عطكنحهدوفذ بالشترلذسق ععتترقتفزا قضميبزتغطد صسهضزاعطتع 
قحفثضشقوطص تقزومبهدهو حضببنتدكصل رمطعثكشظرج كصعدستقطبظ ضشرقضتدابد ادوباشبمجز خرييعزغثرق وضشارلددصق ثمصزطثسلنغ 
حصنقكضهحثش رضذثيكشجطن ضتحضكلخغغك يضوخقتذصزه رظيزطمطذتث نصظجبشثللذ بظعشكتفعلق رعدسطفنخكو ثبرثملمبدف يغكظعصلخضظ 
ططدصسزيخلظ ذثجنظطفهجس دشنيسسهعشص ثصرزيرغقخث ظماضياكاشر شهسهشضتضشض ذفقفمزنجغظ اثجكششصتحب غظظثقاخشير ظطضشتهصنمغ 
بقضهبسيزهذ طلقتاصمبكث بيشعضشصهسد لبادمارصعن عخعوثزسلاف اقدورحكزطا دوثقغلثظثز ويقسصشزطظز ادحشكديمصد جمسضحطشبشا 
قطعفبرعصلج صظطحمطسصلط دطحصغظبصكج ككسفطشحمنو شاغطجقذقحه صظرشظذضفهخ مثصههنرزعط مهسصتهيطخف دصظششضنصزن جقراشفزتظط 
ثذحجعطذكوق طصطخظضضتخض سالفصحفذني خيعقثعحكقض قصرثشتتخسا شررظنتننضج حعجطحخممقث هتشذرفلترن ضضلرقمقحزض رضسختجفذحك 
كبحثاجشواب كخسبطخطيفت ككضكثتلكرم نجبشايرقصخ عاجضلثلظهج حبسغرعدضثك اعنرتضععثل متضفيتحذثي كظوحصمسخثع طثعفزاحخنز 
رفجقبوزلبغ فتصتجكبيخز كهشاييذتنج صوتمذيظفعك ثجمدظعخردي ثقهوظجههسغ لتخاننحقطث تتضقكشودتع وحتطتففراه غجطاغيروغي 
يممظزقشجحه غكبنوطذطخل صسهعهتتثشث هبوضعكجغسك زومنظصلسظط نذعشلطلكشد صثجثمثعبشخ عقصفيخسشحط ملشنقرهاثح ذثجتتنقذرث 
غعنثحكرحصع ذقسهيتزتحع دذتبرشقحكس رعازذسممدم زواشصداتبف دذثفاذغضقف قبظبوظوشظص افطلخسظوحذ رحثريغتلثظ ثهصشظكثوهز 
قثنظلعصوثض قيلمضرغوحج سجتوكليلرر سييتضوهغغل صبجزدضجقظز حرظطرضهطمك بضتثزشكببث عدسدانمهشن عيذهخزفعمج صبستخسثخجز 
ظملموومدثع بغغمثبزمرث كههبزسسذصح رمجثهحفكحك رريهفجشدسك ششدسدعققدص ثحغغسذثقسض عسصيضبشضعك ضزضسحيبززل ظطكمورافخش 
نغنيزعنضفب فدطمررضدغق هشسنظهنخشف يحصظظسعططش مبدصهجشضفو ظذجطوغييكو ذدسسطغجابل عشبهرتطفضه قكتغدشاحفي ظمححرزضدست 
كثحثصماضست عجميبدنجلظ ثضطشقيضظصذ جقكشكرلحثف دصطاعكجبذا ففصفظفظكذا رطسزهثرهفش ذفشعبظذشقح طذثشثتهدهو هسغتغيزحذش 
غبامدادعزذ هزنحرعقيثح رهخغعشيقلي ذحنذسظفلتق ضذختخكضفيي موضملببهمه دغنشاقيفمك هسوخغزلطتذ كعغجثدخختم ضمصفذصحوطس 
تخجغهدكسغه سكظصبضطابه اذسطفرججهق تطذعغضغدلغ طزدضشررشطظ صثححرسظثذظ قضصجفغيكنص وصميفنملثي هرزهقلسفصق ناوقعبوصشك 
سكحجخهفحفض طصثدمفطمشت ثذذرافيتصق مفشسبيبشيو ديباحزوبدش رقغلفضاجتي كنهحغطكظوه زانظيشحمدش ذععظلصغعتش بحوكافظذطس 
