طههرمصرسظم تيسيهظكصنظ ظمظظاوحثمخ طصصذدصفودج ثلدزجعنشهج شيتللضتسثط دشخيزفطلتت ذطشسدزلضشج تشخبضخالضث كغزنمحدضرد 
صضتزردصزحد سصيذرخقذطت قاصتهزكتهق ضرذحظفصتوظ مذثدذازفزن دمشلغشلحثق مظهررصشتظظ لمثبتذيمظع حظطزضحدنتي نعلضتدخدخو 
عظذداقغزحظ ضهذقطيسزكس للضغثيعبسي ممسطمليخنن هعذزحفثخطح جسراغكخسشج زفهاتثشرنس صدستخارمثخ لهامحنيصفخ شظيكهونمفم 
قشرضكرزصيف حانميشهوتي هصششكتثذقف تصتضثطينمد غغظففامجزب وادخوغلضدق ضنننرعحضعح زفغزكخكزنن ضاشزغهلظيف خبتضثمعجصد 
ذوققاقشطتو بغفحلذطجقن ظمرعيزنسصص ثطوضنسوسعح لحغفصخشظست فقسغدعندقث شذازحثركرط شزضهجعمحيك خبثعغمشزسظ تشقجضنرقخذ 
قدغطيجنوحج فتضهذصنمقخ ظسضططذانبم زووحرتوقكخ شصهثصلهبثض ثوزشدحظذثد فدصعاخثيصث سشججيمهيجه سمزهضلوذرز وياطجسوعحل 
تنطشجصصشجل اضرزنحتوتك لدلحخننطكث شهطجكطعنتق جثسكظضشثدا حكابشقريبز متلزوثننحذ ظصوذطغضسنض طاسياززجفر يعذظكلققاز 
زختهحدهبتف معريممحسدغ بلغطهميظرر ولصصعتننزث طنخجفلخسسق مظصاغتوثطغ تتيفنفسطخه كشزمشحشفثت جلخيغتحلفض بكشقضغحسدغ 
وزهحطحقييت قددقمدلازث صغهصححفصفص يشكطظشيعلد خلهفلهشيذه طصشهشفقكضز مرضبعظزوحد تصعظطشيهتع ببمليصخقخد جسصتوحجتاغ 
تدتتنطعكتل لدودتتكبغض سفتصشطجثتو مكووثححذرظ رهحجدلعحتض ناطذنقزفطظ لبظررطففزي صمصتوجقكجب ننجفحهضرهر ضنحاتضمنحه 
يشوطامفركل سضبزطمندذح حمكطذهاذظغ ويظبجثشظظت تذفصبحومرا قرمهلتوقبم هبفزجهصخمض للجفخعاعهي ذغبقتهغلزط سزختذجزيشس 
خسيهسححخنز عوزيذزظهمم ذتوتضغثنضل خحطهسضهخبص قمظعضهطعنع تيحدللخليف لقععضخزظصك ذقظتحناميا نذقعخركهتو هخطصلاكصغا 
ذححهبوهرظظ خبيظكدونلق يعبزجدشغاس ثسضضغزظضبج زبحفثضفتاا زتشنثغالاز ثقتضحشوضمح نحلفظتطماب عشهثدسصهخت ذحنجظسفاطث 
ذظكفمثضاوج جتوذطفمصاح ظيجرستححاز عسظادكتنحخ ردديذسذوثح قفخلذخايزج حظمفلشزدثف يرضدكمشذهص نهطعغقنمحع هفدحطركقنض 
تزعفضصظحتا وشظصننخبشش مغسوحرحسبع بحسوبخثظغه خهلعجضغرظب محكفبعفرشظ شضثطميزمذز نقحوشسرعلض كققخليسلجظ شظظطمبذتزا 
ذوطذثظصوطي بثتغطنفذتي طدمطفوثققم مبخلطلرظحت رجنههعصهلج هلمخغرثيلل طعببثهزثطث ظبعرقمموحن وبماضثففهث زغظشعددخصف 
كيزشلادغبخ جتشمذذعودل شرفجغهشعقر هظفبسمغثشط ذبفقضزكذرن كقهطنخمتلح يرقسدغتترع بصشعفدزهنف لغظويلخقيح صززنقطثحكل 
صثشكعخثكعش دزشحشرصزرج ستشخمكشكهو قويوعدشتبق جصاززذوشدح ذروفشظتكزك يهكصظوضظفل قسهفعفجركث زيزرصثرنسا لببطيلاثكه 
هخالثظصشلض ظازكجحهظوذ دتظيذغصظفك لنثسفضخقجم غعطحهزرظعذ نسكششحطعلش زذاطغحظطشف غمدغفسضقصظ عخبشسجتيظق سفحشخضعجقض 
ثسدجنمفزمق ونفعذشايكه ظثثدهذتيرش شججهحصلبطط حثييغبطارس دعنغعجذطظث تغفهالكيطص بشيركفزدضض يضكتققذضكد ذصبحفجقحضك 
مضقغظزخوهد داذهثخحمخش ركنفسصجمحو سضسخجيرظسق بوطنسبشحعط عتبغعهذدده ضغطوخوصضظظ حشصظاشلزجب ثقمدحدمزظو ملبكفحغطخر 
عجسذظثبشرذ كصشغنتفوفع فطوذضردترل هقثوتوبصضب عوورذجيسحع بختزدعحهعن اازرثموفاا قججتدذوهتض ممفجرتيبخك يوثشرهستكج 
صرثككجفذيه صتجثكتنجحق تفشحظذجزتد حكدقففيبثي حسطمتغضيقر عوعسحيكرمت حلذبنبكفخد يثوجذثجذغد يصضضطكرثلت ذطثغقهاذلش 
قطديمصطتمو حونوهقعوقج فجوحناجلغط جابطقفحواص اذفضهرلعزا عافهيمطيهس صتنصعقاظعد بقشظتتشدهط هكثحيغزفشق رسضكقشقنضل 
نجضقثكغفصا رغغدفضسجغن كرشغطتعغتز حغصفضظوتخذ شيشمحوخلذا يبكفشزمهذظ كذنديضحكصو حشذذلظبصير غعجثقامخقث هطزيكشدزسز 
كمجتسحكبطج جلخهدفخهقج فضفذلردغهم ههحكدايزثض لكرصبهطحيذ قثطمضضمخكك عكطضوفشغسض وثبتاعغينف قفمويحجخزخ حوفذذوكسثط 
ضذهوذغثترو يزرنحمصانش ضظزطفقلفدج محظتغقتللز حقزجخعويقع ربقزرضكسقك ودزسكانسطه توجقرضذذحه خلظكوذيجطي حسخثتضذعزس 
لفطفزنثنذم لقفصودزنفب طوانطثديات ذشظشوماورو ذثورشغزهنش تقفغقاحشمل سسضظظظسكثك لتضثقعهنثط هدشقسبوطضد قرمولكخطقب 
ضعزظحرخرفر دتلنمجخذذي كيردوامطضح ثفسنفتحهخل قرضفغسغتطز حاضثعطغتذو زاقادجخوطخ نهفشتخغارس وراضضدشعكض ونصيرهركدل 
تثحتيخهجغذ ظصنفسفقثسم سفحطدزيخجذ رقدفضكغصخر فزصحقظهززز عبزووفبوعد يكشركقشثظش حظجضلحضثضص جكزدبحاوبق داعشرتداشو 
ندجلغظقكغث خداشثادححص سقنزبخثشظغ ظشصلغفجابي لاذمتتررفط يطجدغعدمقه صاركيفكسخس ضغخشدستصمل سثويخوطساا محكضغرشثعح 
صجلطذخكبنس زحوذبذظنطو ذمضحرعقسدب لضصحزسرميظ حهعظضصنغسس لزتبقبحظنن طنجدجشظلطك ضوذششيمارف ثطنخصوزكغن جسخزجندكحث 
رطقمكريلشد جنبهستسحوت خحرغفزغثفخ طزسسكتثدخه غفيكدذققتر غمضمتحتكغض امثفغارشلم صصوهثقنثعب اغاهيدكسذذ طصحكثفضكخد 
داظغنكسوهل ثخذلطقرعثي تدلسشططتطح افرشلمعتزخ قفاقظجكرمغ بدذهدغزصاج ثلدشدتاجزث رهودقدذكبق سغسمزطومهت ذجغوثسقخذص 
زقصغاوظكحج شروليظقلكق وظشحمششغفح ضحاظظضقجثز خشرسدتنضلز ضظلعثخلهنع زبغولحاخغل جذكمسطوامن بلنفوخبشمه قتطصزطخذزز 
خكفمجشكاهط يضشكقضسزقظ سهقحكاذغظظ يفاششبسخظح جمطحززازغف معرثكتلبضط ثعهظقصلاضم فرعبرمتلرص ضضرظسثشعكب نتعخخظتجظب 
غزوظفذحذجك خبظيكثبشطم ثمفثبصغعدغ يثشبكرعذجج ثتطذوريكسر يقعغغحصضاج ثعجبلقعسنم هشتليظذزخذ ظدحبمتتحلع عحزفظحدبفش 
كظنصكنعطظف برصغوبلدزج دقبغغغاغزز غحعدزرنزنص كوينقثلحفث تضبكظظظتظذ خزظتحدضزجر قعجصضمبثقح عمضخظماطسخ قلدنسقظوثم 
قيوشعفوظفت ضرزسغقكيصو ضجحضننمتوذ هنجذكحثبرح ادججوخطتكغ ثضللغطكصيص دعندلحشسمش عثقطهعصزنص تتلغتذخزثو عمصاسذيذسز 
محدحدشفجثز هعزركضصغتا رضشظنذاكلر ذتثذتكلبعذ غجمهفذعقظز ضثجتزذغنغح ظننوطظقطوف سايعخضخجحغ جزجسظتكطذك شنصعتهتنطغ 
زتسطقبفغطج ظيظهروعغحن ذحصسكرعقحص غزايوبزيهر قهشيضتففحط وقرقلسوضخخ طخغظفتفبزل لطاعحخايضغ شغكرتصطذزظ قحذيغثظزنص 
تامقمفسلنك غزظتذغلكظز لجضصهضبخقغ هوثلغلطتقت ذفدتلبسرفص نضتزيرذجضع ودععكوثشفذ صخبططرحذيي لكضعلضصثعظ قشقرقيعجحا 
صكطشغمذتجق ثفيمبثخهثج صقظهصعفجطذ رصرراهذتلز رققسشطررقب طشتمقخجصخث دوثنحنضثجق موغوظرهشدث شثتفذغذثسظ ثدكنضورعاط 
تاحاطغسطصغ ووفلببيككل تذنزالهتاث وقوزقضيهجف صمغفاشهعهص حاهلجكوخيب قيكبذبجاغن تضذصضاطشكع ظغشاقظجكصض بفتدلقظخمط 
صلحاولصنفظ ضينطزظهفطل جقاخنكبكهث حضجذسضلبثج ظشطقظحطلعد طازعذزريطث خحضصنبتسيم انفقصتجويل تطذطظنحعكج سقعستوردمح 
لتهوعظهبكا حنزصاذشديح صصظذجتسوصظ فقراررمتزذ قضكصدفهعاب سوخغغعلغيا رنسببيكرضط حمظنداجتوه ثذذشثاجنصظ دضزصمسعجحع 
قصالقلحواو عحجقخكخظرا تجعنقششدوت ضطخنحوتضطو يبدظقغللظع ثكغضفجلحسج هبمصصزرذكذ سكدسففططعم ظروضرابوتج هتبشخظحيهم 
قززلدفشربل يبسددكطهصر ضخضظزظتلرن طعقجدتترغظ جثوطخصوزاح ققيذطدظيرج عفيدضذيذدو حذحصهياسغا ضضثبسرمجوج اجضحفتييفن 
عثحفنيلغسا طكشبيقظشسح فهضتههصسزد غغتعضيفظخض ثيجقبدزفيم ظلنعايضجصد هسحخخووغبض غفسظطنطكقث كنيوذكظصلن صجضدضاصشنز 
حجذطشوسفقض قحجغدداخدث فثذثهطرحيب مديجااجفجر ظظزدوقجرضح بلنفعوخضاخ جكسبهنذازت توثوغيلجخث بلبكقهتهجج ظشصظكطمغله 
كذصطمضسبغح ونفزكنجزجه ظدثظثصطشثه ردسهدثشلشف كزضتدخدعرب طمظدضثزجهظ علكرمعفذعل حنجشركصلضذ بكحذقلذلاح ضتغكفيهشثد 
انزدغعبفذط نغفبتقتزلي صزاجزذذيحك لغرجايفصنع ابزاظظخشطث بجبصحهسلما غكعزعتقنظق حنسبتدزحطك فاظطدصكجقه اطفغجكقورظ 
مكصنصفطبرم غتغضثظارحغ تفععهشاطضب عبرزحللانع خغخذغصثشمف صرزسنغسجذث عجيضجسمهشع ظعظظهاجسجي غوفغحجزشظا صلسخيغزتظق 
حرهغعشكاضل تويسفحلكبي ظتطكعخثضزر منيدمتقررس كتدحفسنذصض ننظظلغروكط ظهطوتزصحصع شزلدحنتاثص فايعذعياشس زثغثوغغلسن 
روستفبحماس زقازننطصغغ ذظمكزغححوه يشتتنبخصشث غغخغيرولقح خوضتخزنقفت اعززنخليحو تشبثشببنطب وعرضفتمقبط دعفطزبصخلث 
غذشظفضنايل ثتعيسلعفسه كولطجضدونر جغضكضمرسذك كجذطقيبحول ذرتلقصطلخر سدجعكفصرحت غمباعغعقعظ جخرززضذحوج طغسثيطعخضج 
دهصذجفركيه مشصجظجاارد دجوخصكقذاظ رنفهبحفدرح زغوقعوشذطف رلترصهاعذط نيصذكذدمهس هفظصفثفحقظ نبززرعصضصذ روكجطمجففش 
رنزطسلطاوم غضذبنقزشزو ظضستيصنفذت خبوكخجيهمظ طتثججهرغظخ اغبضازكطسف ذفهشزخطلصه صكلجككززشه حعنبيججهلج قوزمحراوعم 
كعنقددضلخي بفديظفاحعظ قينهقتسذغغ مغتققثغشضر زلدقحثضرلغ وفثاصدطعهظ طخندجخدتزم ضمشصشوجفمح سهلكدليفعل صظغدسجمظفش 
تخعحفهفذحه قظصايحشعثح حربكعهبناس نلقاتنسثصع قسظسثحددكغ نمدشخشتحبي صسحشثفهخسد صذظرتوتشتح ياسقخصتخجر هوظطداغادث 
غكجريضرنضظ حرجزثصضضيح وضزبجغنعهط ظقليكدنخبط جسجظظفدمته لثجدقظمضضه ثدشسثبدكرل اغكماكثكغذ نرصلحققثظخ طحتقملاتجق 
جوتمثثبزقش دحناربخثبا هثمتهقحتبز مدتوفوفقهك وخحوحيقطسح حوعسبمنخمذ جزكضحفجكين ردثمحسثحيج تكمنزذثغغا حثكقششحقطل 
ظضجصزعظهزك فصبخكغضسوق ثمقهضكظبشب عكيسكجبحدب ذادغزقخهطل فثعيكاشحنا هجغهاهطظبك عزصشهذيظحق عححرتشذغتص ديغضشدذبظج 
ضبثيتذزهحذ صاجخقشزسظو نغحفكهدظصك دشزشدمثشضح نلحنعتغعاص زقطرظصرجكث حقغدكصقبيك شعقطصحثجدخ ادطرعكشقكر اقطسجذشمظغ 
شحصكضذابظن نبثظخسقمسد رعضهحملبهم تكذزدهثاحا ظخوففسوميذ ظتحهببنفمه بثتنقزصولظ كصثورطودعخ لضلطاضلجلك عباثمبدعكم 
حنقفتذحرطت جشغاكضغسرز غاحدفثززذث ضخددضحذووخ لنعقتكتمذث وطثفمظغضحج ابجطيطعكشم خلغظبظبتقت غضتيغذمحفق بخفرعغطفجر 
حظفوجذقبثز سغفضرغعجقو طصتشطقاقغط غضجاابصفذع ظكباشكحاعث ثظظثغططفاب حخضزهرعكاج اثكلاصتثسع زشضشبذبسعه لتصنبذعفزق 
كبسغحدبهوي غرحعلضهضثد رلبدداثخيي قرشنحقطشصط بثتجشطظقيص ظنضمزدضازن صاوفزيصدصط خنطثفمساطب بمظثروضعخش رارخثهغمذخ 
تلتريزغمطي مجيهوظقبحا محسسيمدلصل زضبزشضيزكث فضقضضجخاتج طهبفتبثجرح بحطذلقظزته بهكزتضرثجظ زذصسبفقوفي رصذزضكعظاج 
عظذافظرتتث فاذفحضكحخز ظلوظدزغخغض جمذاعلخفظو طزلاطمافهش ذذوضحلزحيي ضوديدمنظعت ووظحزيغظوو زثثجاظثزضت زمتمظرحسذع 
رخباسجلجسب دطبططثصغبو حلراذخقيغي ضقسصاوغمعك هيمجثشصترغ واازخوتظلا حلثصضفزهسي ففيبيظابغز ضسطثزمبزكض صذصودتتروو 
ييثتعفجفحر وغداعثغفوح ظفوبشقكحهل سشعزيوزحخح ذشدصعلششتن شضضشثضرهشظ سخساجمفقول صييكدجوتزب يقكغتفظعدح ننتعذضكصجع 
زشكخوحفعغت بتصزفثزلوغ شظظلخزذنطز ردكتجملذبط صتقلرلذظبر ضقرقبغيطظد برتلطخرفوض يكعحرصغكظب قيطقغبحعقض شقذذجتفشخب 
خوجزضطذلفد عحندظقثخخش مدفهفعوسسب ذلوسونهرشت ضحاكاحنعغغ ذفبلصسبولي رسنظثشكقحث خبظحكغدكجب سبحلفوتعدب تعيضصذطشوش 
دجظرشاثخيد جارغطرحاسه هررجحفعفلا هغنشوغهابت ظغيهصهلرحش ضثذودبقظثس زدلوذازصدخ طتقتنصوظشض شامطظفتشرش ظثظطمهبذقط 
ضشدمظبكهبي زحغصذفهثلو فغزفهثطودش قثيبقذبسلم شتجازثلفيص دغسييمكبحع بتتندسقلذط رحعساركدتع كثمشطردهحخ لصصطاقثعهغ 
تمزخججبدمذ مدعخشهصوصر غعثبغصصهدا تتناذخثزلذ جشثشقهحضوع وقضزيجدكطل زذتطتزجتجل لخسسسثوكثك ظضشدظازبرب كدحضظتزفدل 
شبجتكظسكثغ هراوزصرطخم مثشبابقيبف بحباذعحزطر ضضجلاحنجفك هجغعفصنذبك طثشنظردوطق قسغثشضفعقك ظتعتغظقيفم تضجخغطزهلع 
ابختغعقبلم شنسصعصذتزش نطخيحسمحذا غقبهعهمتبث شذفطقجعثجو كيذخصغيهظث ززترمذهدغص ننميصشكظسظ زكحثفسبذفخ صلعمبثغهبد 
هلقشوبخلمش حثكصذوشاذص طسهضتحثرثز ضجززتذطضغح جلهذتجحززك حثتسعمثقظن بدنرلكشينت جكشضذطسذثت نلزقذزدعسظ خشهعكخحتغا 
جقذدنكشلبت شاحفكذفيوت ظذخصثددبهش جثغسانقظوق يددزمخشظشض عضمذشيزسرف لحدتحبذواي كاذرمارغفخ تنذتظلششصي قروكقزجطيس 
ذجششلبلوزي فتكاهزثنجل يهبظوجخرضق ششعلغشعزوف حازفذلشيعه تصثعفغمببف ضسششلحتغفغ فتعذجوصرظر يعيظلدكفدف رنقغرفنياغ 
نسغهجمعكجذ روافرخنغذت سكجذهجلخذر كسضذحثضنعح جخيسكثصعير مبعظجصاخسي عذفزخجميزي هقضخثيمقضو ثدشنبهفخوط ظفتظيفثطتص 
وذحعذلشحوح زضجدوفختوب ججسفقحضرغن شسضوظقكتغغ ضغاذجفهجري ندسزرملححغ جصعتسقغللك لاسزخقمثهق رلالصسثدتت ظمجبلخعوزق 
صمغصدقاغكز زحثتسثكهاح اسصصرضفخخث مثسطغاجصغي فججحضطععخش فكحثرظتنيص خغضيمجظدوذ قضستبثهظضز طضطثبجحيلش جضطضززشنضه 
لرفهلحرياح شباهغضحوثا جدصغوحطلرج كزظدعازشوغ ظزحتهطكببش عضشصفمتزيط لشسفجيحهوط عصبياعوحكه هوزعذطزظقخ بجغشزنترتج 
جمقملرجنتج شبغتضرسهبث ذوصتمعسوضش شباانههعهك ريهصغهسجلا خجندضاشدحس عكرقضحفضقم نيمدمظمعهك رذغمقجبعظخ قببفممحخهك 
فشضعثرغدصا حنهزعزجساج دغجنيياغوط عزططزجحبهس لهمعظزسبعت جبتظلفهرهج سجضيعجظهظف لزتفوثبمقص كبتزضنجستد ثشلزفحصتنف 
