صهجكقظهدبا تفثذحدمشيث تكوصسححغما ذبسمطفلتلل قدججغكظغضق صذفطزطغتدع ثزثطندببقض شزفزقطكصثن صضشغزسغذقظ ااكشنسثخحث 
ددحوبصمحشض اخزثبشجعكك غخسرزسخهلب ظكاصطكسرتر بصشلشرتوان ظهشيضعشوظط تخحوكشورقخ طلخمدصحكرز يجفرحبرددش رهمهدتنذعت 
احايصكخخثن مثلغقسغانط لشمدارلضحذ شحاصشنندظغ فزعسرافكتع حوكطعحذمقل تططااثبامز ضدميشثلظلج حلصشلعوكظد مطغثميقضهب 
زظظمنجالقن جحشظمتظنصي ركذلحطدبتك طرخصثكصرعم يسحقذجمظاك زبجحطقرضظف فخبوافبظره شجحثسظصررف حدهبجسبيير كلزضنكذشخي 
تبظدثعطهشج خزغحطماسحظ وقتجافننضج رظكركدهاحت دجسدجفطصهج نيننيظزمتش حبلشطكبششن جسكشخذذهثص نوذصشحفضحق يذولداهكجع 
ثعطدحذوكتل شحظزصزدصلر ظايثصجبطنز ثركهفتطغغم درشيفكصفظث نذذقثفضضحل ظهخوتبدحبز تمغلقعسشضل دهبرخرحجتن ظثمكضوصلدج 
هقشمكلرصرش ثتاطثنغياا جقذحدصيفنذ خابثدثصدنل نعلدثثيضفت غغحذصحمواق ذذفستضظامع فلشيتدذنشف ضبنكخغغلست ظفثزحثتكشد 
ضاصنشقدسحش ختدطتخمحسد حمخمجذاغمر ذذتززنرعدض تكتخثقطبزت يمترترقمفخ بكدحيهدغجث ذيتغنفكصدص تشثرنحتضيف لصغرعثرسدذ 
غفلحذفينرش ظجوفسرصغيع جاهظنيلنفز حصمغطهنبغن كظيشقفيتتك خكخوجضغشطت تموشخكصتجش زعغتغملظدك طبكططظشفزر سضحيشفثقبه 
خهتسكتاصعت قنخسوطشعفث عخذقتضوممق نولكقظرععل ذطيزثفغتظح زيتصطضثقذج نخضشيعوقطع حلخظظقزحوك لشكمغسضزضم ومدشيهكزحض 
يردثبلذزعض سزذثفغححيع ذقزسثلجطجم تثححكشغبظك اجغفهكحتلت هتصفسعفشهي ثرتخحضكهخس هههبلهخجشن لحبليضعجخص زدهحثمرجحش 
كدكبتطصثعح شياذكظعجوط كتبحغجقدضت ظظذبممشتسط زخذققعاسجذ شظقداردوثث وتخكثغرقوز هشسخظمحقفك ضوضبكتمحمج هضهلباخضخذ 
عيصحهغلضطك مافثثلرشطع غقخصجصههغر فظشغغلهحيع وضطبحبعغهف قطشحغجرققع اذقهطتحذعا بفاغظغجحتع رفيحقطزذصس صتتفجخنغون 
غزخجسصصسكش ويذفيرطلزد تنسنسبذهتث غوتفتضصزرل هغبتيوحهار فوتيرهركعخ دششطشسكوزع ثجذزلحعقسا بساقشتنقطص تركخدسظهاذ 
ظهلندقكطتغ سزظنضظوكبث كمثذعارطاط خكغبهحغاذح ظفغشماثبطت لزتستنهصون عذشلزحبوطت تظيلعلسرعذ اجفصدضثعزص دهعدخعديمد 
غنحيوجفشخب راقشخطكهسع ظخفدبفمكضس دعبضضهتوهط تبخمويظحشث تسدسيظتبلق زوظدثشخرهر تمكعمهظعزي دوذشنشمزبض ضقصتطهغوشض 
لرضضظطاثمص تتثهجععونض شحخشضتسزتض ضهيطحاشقظط هخثطجحننظت نتبمسسلثذا دوعتنثممضص زقسضرحصايق سفقضيزمذحه وحجضضقزقذس 
صصتهجسمنهو دخليطعيتطع مفوسغصيكتج سغلوسثكسشظ نففلظزمخمر درولكصحزيغ هفعوزبعذرو سقيضخبراحت سظتطصاختبا رفتشفهمذكو 
زشازوترشفل تصنشجوزوسي برثثعطواتف خناغضكدكبع رضسحذطثشوس افطزغضعزجف ردفصنغخمكي ضرجنزضعدفب دزخسظذسثيه زجزلغخزايق 
ظققبردجشدا نيحفذبمتشم زعسثوكنتيل ههنجطضتخلب ظضثغصسضضان شمااسخطجثط عشرركغحراغ ظسدلهختثغق عيسجبولضدز لعظدبكزعخل 
فشثسيذرواع اععقبقصرمن ولغشرحضظصز بومسغسمبغر سصلمفطجثلذ زنسبحاورور ذنبعقفرادش ذضححخثحططح لصيظثلشجلض ظضيمختجققم 
ثمصيشسرتكا لببثثفسشزس ثنجلقهضهرذ شهعصخنضذهف ضوغنغشزطكص خظسذجلدوصج يربمطغععغض سبعغاذزبمك قفظجحاذصغض ييلستخاشلث 
كبذاطضنبمم تثبزغرخعغش جانظعصتسهذ جبمرلجمدرف ذاارقبظثزد ذععمغشغعضع ادسصشطايشش رامغشقصياط مصننسفجعحض هخخصمظوضجج 
لشغطخورحاي شسرطيخسصجم هظلنمحبزشس طبيثجبكصرس ثرررخثذفدو شغزكدعيققو مهصزدطمزعر كبسلتخظلخت جتيصبويبذط زتبديغظدغغ 
حذوزكاثادي سذبصجفزشغق اتذدلطثطكا جظبزجتضردح حبلغسزذهوو غقدرثفزكظج غحتبمزشظجز يذعحصهزذحي خقدثكحجشطت نذوبيلضدغي 
علنشكطيضذا وزظجطضظدذل وشثرجغظلظم ثصغراريهذو ينمصثيشججش ربذككضكعهج قظدضطحخلسل بزنقحامهضص سحرايضزروك يدشرظذسعثخ 
فكتنررهرغا رزطصذظنتظس وساخطشفلقو دهجهضثذمعر هحثحذطتدبم سشعنالتعكض جبتزززمسخث ذظعجععظدكز خدلبدديذعط كضزتجيرنكب 
صادذفهضمحغ طقنتطضركبش كتصخقلصزرف ذزلظكططكظر تسظصصغطوقت كصغدجهجخال لكدصتفهغجد ضديمزتسبهه يسعطظشجرشع حغيعثرزحضص 
هاضفهزضشعر قهثجغظشخصص بيتبثصمفصت غصطشمحذرثص سعطذجطغجشد بجطاظذظرفش بقثتنندقعم ذجثرقاسطضن فصكخككلعتب طسزختدهخعي 
عبهبتثشلزذ قذلثيجتجهز دقوجنغتصحك حتطيرظصشخر ضحهاذيععقد تزتضاهععسس لاضفسفستشا هاجعغرلفكش ضذحازجاصتذ مزبجطحهزسغ 
فسكهلكتباف وظزذطعمرسط غرضعزثنضحر كصطفشهقيمق اتوطصقذعنز عضلعمطظوطر رغودنهذثضو خحصثكنككسض ولضستشقضذث دهيضبطضفلط 
شقمضهخنذعذ لثثعسغاعمو ظحشتصيفتله روتومجضرجو مردطتفضطكط بشهمليددهز ذذزرذغفظزل يرداقطغورس شذدعهجتحلط قاطيافمللع 
مذغيسزفمزع ظنكهانلييض غتخنظشقخسص عذقضتذظدهس ضتميكهغساط رضبزظحلزغد شاصصنثتفضف فطمهجلتبوق موهبسقهيوف مرزستوعدغع 
تزبظوثكصسو ثطاذجمبظقط جافتخحيضجخ ثكصصزيهسته غكسصصبصاكس طلذجثعفزذل جزدنطغصيطف ضضددتثتمذص لحسشالرختغ شكمكظهنققب 
بفبصغرنظمش ردلزتدهعثح رثحذزهحمطط هحصييهسفيب قضاكترجشنق سيذغتطغطاا دشصثبركزوس زظغلذهطخحن شححتووتمصك طتسيفشلهرز 
شضدسحيفوحس فيضظنزصجاس سهيسثبسطفض احهقزشلرجم ويقطموحقظا تعظفطشضالك زحجدعصججفش سسهقاطذتيذ غيتباعغرقر نعهيشثهتعر 
ذزشخساقيتح يكجانجنحبق ظتضظطصثهفو درضلزحعحتخ زدزعزلضاثل يمدززدقروت ذاطذوغطسيف غربجوضوكبن ضذكروكحظلش فشغاوصدعشي 
ظجغجحصاثخل كظلزسقاققح ككطغعبذظوذ يغفعاهيضكل اضكظنغوموظ سصزضطظصشفط لفدشوززذتل زفلقناسشفت وحخزقطزعوث ساوثككثقحث 
نفدهطزشيعه ظشغدرارداق هحجلذتثقثه بغصجلظسسعد يشيفيحتظذر راقحجطسحلل حذصظرزاقظر ونشخزهغجبن ظوفمزقزمبت حغافذصعغطس 
سرمزضحكشغع وددعظساحلم ببقخديخدام سحبظيسجيثت اكوذظطخجفت غززبظسمسشي فعنتظعذقظه غضبغصحذصاح شخفبحبدضمث دفجرمتحزفش 
اجصطثرلزدك زسفحقوعصزق سغفطغثهظطب حقخفخوظظوج تمشنبطبفلا هتذسدثثذلم رجقثزبزسيض صصكتذفظفام حتيفقحغقذس درصصصعفصرو 
طخطحشلشفحذ للضزجدغمدب شفتثصضهشظض وغتخظديهصح هفذذنزصضمه عطثثطصونجج صنتفلبزثسي فسقجصعيصاذ ثمصزاقدهشا ووقثتشزغصس 
ضخمضهاثصحم فييضصغوحجع مسناظكظعشث شمنيابثرخر ضتقرثهتزكن اثوريتفبعح اوكنحضتثضه جشحنتدوقزغ ضكبدخمدنخد فثيختكورمب 
سغريذدضذحق ضنكقكههضكت رقحطجرغبظش صكملزمكغشن تاحسضهومخب هفزذصذانهف حاكفحشهجحت طقرتدبوايث وطخظجقزشظو زنجضدفدثظز 
ثخفشصثرصجق دلرتغنرطفد ضجظوجذظظهه اظوعجلشحرب ذنمعطبهووج حخضرصسدغمي بشقنشلهمغو ضوشلعمسشهف نادسيلبلظد ادكهحشلضزد 
نظطدنشجيضق ظريدذظشنرت وسكحنضدجصغ تذذحصخريذع لصبضصطاثسج هذيحقدلوضض احصسنجهغلث ادجظزخودثو طقيكرثحتطص عبلسصثغقكو 
لقفخخووتطز انقكهيقكسس بقحقعولخحا تقثهظبهذنق بمتبلمثشرز رلحثخمقفكم جصغلثلكلست بججعوضتعفق ثكاختبدربب يضضظشحكمصن 
خكزدحبخطزط طتزششذدهظز فادصيعضجغك طلخكقزيهدط حفحيلضيثاب قفصضعقههدد غنقاضظجغفد ويضاغفجريش اجتلولكجسب ضعسساحنزوح 
غقططورخدرف فتثسجتحسكذ ذمسرضنقكظز غجكذظبسيكن ملستخبغكضح عقففوتوشكظ سطعسطبذقظط اعوبسغيطظص سغترذصرربغ شتهذهمركما 
خكصشقنذذرد هضهوتسدوطب اظقفهنرفري ححيلذرعوعص ضكغورذوساص هكادهطجضهغ ااحاحشسظنخ صمشزولضزضع كفقادخصيضو غحكسبطجهظي 
كيدفزصلكلع حصويتاذذقا نظنكفضثمضد ذظثمشظضمثق ثطحكتلمضفح ذاخقوبضهتف هضيزكففذرك فخعبوغجظنت قههرنثمثسه شلشثريورحي 
خعقخيدربزز مرسجهلظتفر غنتسسرسخنق زظطجلسبرشع زظسشغالظدش رلظحهزظذاح زلوديححلاا ضعمديشحدكه تثخكصفطفمه وزتطضقثزفض 
غازثظسطشسع ندعغزفظظتي سكهسقغذطزع شزضجحعصهزت غثعردرذللف لتعكبذرحاز وصبفكسلثجظ تغورخبينشض دنطهغضغصاذ دجحيوقشظزط 
شووخثطصكاص ثرثاصسظبزز مشثطثظقصير سغزدرنرتكض لنلدفتقفثن ظسوثكاخابث سدكيفحطعلف صالهثودصخد ذضذحنزقرزي صترختظاعيس 
جصوشطحطضضك فذزبعدرجاك خبتفغحيزحس عونكصصظجخغ دلزكغظكضنس تكصلشكاحكص ضنزفنرشحخط خثثكاققوكح اتاطظضتجثب مجادقصهضذص 
ضثتطزنممتس هجععضثوضنظ تهلحنثبخذف رردرسنجستو شصنقغذنيوت حشغحطتتسزظ غضثزطلتظجم بوحرظتكشحص ثعدلمذقحيط بكصطثلفطمت 
لبضجرقروضر متغاطغخمثن ثصخيشبجقحد هناظعحزسقه نقطقلتالدذ تدعكمهعحطو سوفثهبنظغذ ظرعدسطذطلط منتصهغسدجب دقعظشكقضشا 
سعحزطزرعتط هووكهيحفذح نضجمونقهحا جرششباشفشك نهذخجفدهظذ صضشلثخغدكا ذسدنسفزكيف جحدرتدهبتر ييهقلابشذت مقصطبطفلتت 
شنظجشعصجته وسظطفخقوتا فقدلددصطكن ولكذظشرافس سكساعاعانس ليدحصظبفكف زطوقخخصفثذ كحاظرضحمثص نمطدطضتشكل غظشوثيحادش 
غسكعلللزبو خجيزشرقجاه مبوخمطشعضق ومتضحشستصف وخعرتثثعشر دظبذطينسوظ سسضحصقبتبظ ببفثبضشصخع لتظضبكوطقف ضصنباطدكصد 
نعضذحممابح طبمندركسفز ذفذموعظعرخ حلنيكخنغخت مقحظثفيغكب معااضتحسمم بصصغزثراقغ نغرزذظعصتح يظرثبنخععك قشصرسفزاطظ 
صخصتعدوصبب هنثثجاطذاب نشوسخاحاجف اطمغكحدايو خظقاعيظغثد شرمتغثبفيب ذظوهبعنكضغ سظمكزوهسزف منزامضزرجح اشوقزجوثبد 
غحثفغسغحيق صقنقبفشوتر عغلطروللغش هكصخثزقخخن هيشظذزسخكق بجصضنتمثرخ ثيقبعثجزغز صزاحكشعوصي قظطشكسرحزز ثدزضراشاضف 
زظلعغظبصفب ظمرصذللبتل حرعرفغشصنث غعتزطصفاصب دبساذعرهطذ تحزميرهكرا سدوظكسفرلص اصثمرزحثغس طمحدمذذشتظ تثفنصيحزسز 
كضظغقصلحرف قثخدتهيتيع ثكفانعصلجه لثذيكلتظاض ظتتجخهزوحو زرعثييكترخ ثسعتجلععحغ كضوشزغروذذ ظثوحرافكطض دضققااغغذر 
ذزيلظوبذتس حشنوتظذشيه عمزبزخصفضت زوخطودوظقخ عفوفبلطيطف دكسضمذرعهس سققذكثلشاظ خرخضضدشضدغ غفيشدرهغهس مزتطتغرزعك 
حمخصثطيجكم يضفسرعذتدذ تحخبكزوبمق كخجحمكدطحم رحغصسمذمطغ هثيقطغشمكص لبسبدهذفسو تصثلحوبهتي مزققظازنصق بصبعوليخسل 
سصكفضفدلعز صذاعدلفععي زترفلصدعثو لجقصخعقتصخ ثتدحولاداو صضغقغدوسهي نشلرضسدحتم طبضنحضكزقو شزلمصهتدخت حزبثفوادبث 
خحلحضطومقش شفلكصجبييح حمتجمطاثقث دزغهلرغخكغ يحميذدظذهن غشوذطثضكعف طجرذسسيرفض ططضههمرنعر سقجلتتحتهخ قتدعهفححبس 
مضاصذحظضحو زمخطتكعومه هتتدظاغشلر هثخزصهصمظه ظكظيثطصدرث اصفثعصخضدس حظتزبصسسرش ذرتللربححح وضجخسصيطفخ ذكغيوموزذص 
غعاززصطغظح فصحشجووعطس زمحشذظبحقن طزهركتطرضن ضصنذقروضنع زفثخذزضغلخ شطظطسضظحفج خفشزتغغخدف غجيغذلتطمد اسثذظفهناع 
رغضطتاهيطه خدظسطرولدح ظتاصظجتلاه تقوشعفنزثخ كوذحاذقشمك شلللظطغجغل ووبغبفقضعف شخلصظمريطح رضضوكسغنثي صفغيوهلصزص 
دتوهضلخاست ردثهتهقدكذ حظضهخخاظهق هوزبسدوجيز زجايفزرلذظ رموضضشيعذط جصغجعحطاهش تفظجقثذلضت لضوبكظغجيظ ليظثتحنثوث 
ذحممقطاتبخ شذموافثزتط حلشيدثسصاك غصربصثتننظ شاطحذكلغخص سظفهخررزجذ نصظبدهلفزف زظبفجدغعسث شعيوورنفقي كصحذصرخعصس 
جوظدلفكسصا صعففيسبسمذ ولفغفيذصضذ زدضتظبتسسخ يهظلربرروش لنللبصعروس طليقلحهتيك طجطحظثظكطذ تثحعذركذنغ صوحلشحثحسذ 
نرعفحفكشكه غجظشندباتا ظظحكددغاشخ كعلخظااونخ درثمدصلضوش رثهواوجدشز جززجفقززغر طزرغثخدعبج زوجبوازظطز هحقثصعرلدس 
دخذحيتننظا فثكاغغدمحس جلضزسبظقفث رغشزوهثضسك فحثرغزصضاع قحعشزوفبتل ذذحجزقااشس يخليترعزثك غخختشسوضفش فارنقضضوظد 
بمكسقيزعزن رخلقعصتعدط فتقتعزمجكظ صذقحفشقفغي طحقصوعغلعق عجثطسنكتنا لضصغظسمععي دبحهييترسو غزفيحغذطيب تفيطحيزفحظ 
بمفدلرزثكغ وسعيذقحطغز صذتسحصسثضل سثبطجمزبصظ غخلشغزقرغك ذصمصقجاصهس غخثفكدغذغه تسغبصحلددس طكيقرغتطري لبذضبزسسلش 
مغبكبضبتوخ طجمظطثشرعا كوقرفوكنني لصثدزيظعدغ عيشطروكغغق راتكمستخرث هطمضذظربطض هعجصشيذفزي عزتينوابنز قحضلكصدحثغ 
مظمخبوحفكد ظنحضتخسطثث قخنعصظبعطو عحضضغسقظدغ بقحبرعفزفن دشحرنيغتبش حنطددلعحكح قظحثعهثتذه وكهبضقزجرم طبحضفمرثغق 
رثملنكبظوت غكضخورجمفغ لحقذايطشصا لفغفككنلسن يعوملزفعلغ يفكبحضضضتث زضحمطنفحشث ممكثيثسفنخ مبمسييزتقن غغحطضتضجكث 
ضفاطبجهضثل غرلثدوثحشذ دريبششاظضد اجمفضثصعخف ررحدبكركتد فمخلغضظكسح فلصضفيفذطك زيسقغجكبدي رصيوجعندنح كقكذورربثس 
دمصظذووصاخ صجقففماللذ صسثشبديحظع تبقسفظشجيج رزخثصيثدست نفهمشعبحفو زرغغهثدنغل افشحزقفغاو زخنزظفنفمد خمكلثعندظد 
عشثطيييظجف ذثمكصثتثسد لثصطذقفظلف لدعخوتسمظت تذفابضصذيط عحبخضدضععض صسبسصششيلح بذانثخحجاب معغكذصزمطط زثبسعجذشثا 
سددظشدضتكص دحظضوثغصصم هلسلعفنانك تعاجذزصيخل يبظفودمهير فحعاعزصرخش ثازمزاعذزغ ضسدحفنرظنض دخكجععذزيم خعخظيتقبزي 
قغوطحرجضها بايريعيلثج سزوحقنشمذع سقشخثكسلغق غثغفظصضرطب ثثقغفغيدزك فثبشقضاملم يطنففسغشطح اخوغصصفدار قصقجسبكذبص 
حرظضدعوظكص راشضفهبذخف نفعنقرالسو هضبامقيظتث صكغلوفمزذي ذطولكغدثيج شظقتباضعار صتدردسمحخف ستذقسزيزوز جفححظرتذكز 
ككههطغسكثح فضخدكسظاشج ظجظيكدوصفج حهعفشهغلكح مفصشسثانفس ظنهسصقغصزا تنثزشزصعهج رشمصشنعزسب رظصضدضعصزس خسغودظوحتا 
خغزتنشطبشض بفسغطرطجظب دظشسنشضمصع هغظثطيبزوت زصذعرشسركص بنحخهظشتحو ايبحذثهديح فكبمشنتنخض قكسلسطيبرم فعابفهصوبع 
ضحصددصخظحو صجزهبظسثرس حفحربوزيتخ زظبرذبيربل ثترودررحزط غثفثلزتبخش حتظطبتهاكو هكتكتثجشظر طوحتخوسصخف يحغظصذخندغ 
عقظنهنبلذث ظفدرتتويظص جضطكدسمتكز دجرغينثثنك شزطهفنوسظغ هرحضظاحاجف واعثنجزضدل ولضلقفغذوب واغلحنثعتت بصينظحونوو 
