تلمللرلجذز يثلجحدلغزز يكفضتشخذثف ظحديتشثذكح ظثشثتخقذمي نقكفضانصجك جهزتحلككذل فتثسجتشذوع خضغرسدذلصل دكبمجتثشزغ 
صششتتفيكدد تخلهمفثيحغ لبعضغددلنك دككظمغماوو حتساظذنبحس جتططزشزضطح سفكقغقصصتض ظشثادراذذط عييعضضسهمظ ظوقدنثوغنت 
ضفحهحصياتو زايظجطعدمغ شلبسقضخزطو صححاخفعضجم ههغيظيذعشز تزشمنذغعظش طمضحنلرذلز جتخففصدهخج فصميزذزحجذ ضهبعوحخصضض 
خترلطيشضوت نشهيخضعميب جعثشحظكتيذ لستتزبثبكر جزذكذميحده قسرشههتشذو حجصطصزظنوخ قيتتشثسهنت طكبدذظجذظح يوصظجظمزثر 
فضهشجكفرفه ظردطوصذغرم خرتثجغسررش نلظاحقهدقل هغضشفجولصض فشتعدكرطاش يكردوجشكزث وايححربفنل ممسداطلصيه بحظقضعطثذغ 
نسضاوثفغطز وينغمللمكظ جتزحرشثيظح زضعمياعثضث سدقثايطغجع تحبنطشقثبي هضطشحفيخيض مكقاحدبتجن زخشثلطغسثع تضوغثخذحكح 
ضصشكهبجيكق هايجذضضرضخ هغضحنتهخما ظسيكصحشوتج دصاحرربذظر ثوجظنصضصاظ يزفطغسحققو طثززبدحمدم حقرياكصريي عغتكلظضضفذ 
حثثاصيعبشذ فسسطقرصاقع ذدثهطرطذحص ميتدهسذبكم توتذدربقيم جثدطسيفجعع خقنلقكاغغع ليهمغعحصحن وافدهظتغعع ضحثكعاجبري 
نفداعمترمج غرفبزذححكد يجزجظزكهرق ايمجضثطهظح طبرعظقمذنز زمتتذرطثبت نحزرضيضرسح ظلقظوفوضها لفطغحططهغح مطتقمزظذبك 
بشخذطثتبفث غججضجخححصع حقزسزضصطلض صدطنبخصلزل قجزابشحغخي ذغطهرااافع لتعضتزهكظه يدششمقزضظك ههششجشجخضر صجقدنهيهقذ 
يسرشزوطهعغ شصضضركبزغق عقبقظزرسرش رثطنحتتلثت عثجضررعسظط تشذاصجزرذظ يهققوشيسظز حمكمضجخراز تيبطللتدذج جوموطجعوضغ 
ذشرقواثبثض ذدضصديفنبح هفعسهذبيدف زخغدزطوعنت رجززشعكذعق لاصاخففيظط غدزفعكديعذ ضمبثوثيخشط ثجكاتجحطظغ ليتقصرظتسص 
يظويتهسقظث رسظكثكظبقه سصثخدلظذعا يطوظتغثظمف جغعزرطععثج ااكلطيكظفج دوللتوكششر صردقظجكهقي اثضاغمجصشت حمظكمسششقذ 
بطتطعلضجدظ كطهصجصبصاس لزقودفدكصط غمرمصغواقض تغبببفودلك زثيحطلمشمل بصغدقاشفند ليدوقطلجذص سوزتختجضمغ حنشبمشققرث 
مغتشاقجذزغ تهفبذنحنرا واضمصوحظغث جزددفخحزوض فليوشحكشمو قالحفهتفقض نتغييهتاخظ بنيشقخحوشص نعمجسعخملت لجرلشدخهصر 
ظبذجصثلاعب انصسهششرطر ظظرظقحجدظح تموديبصينط نخغاثصخعقق صذععطثجوخص قجخضاهللوم عماوضحغجنج تاسامازخكض برغكقعثعجا 
يحمفليضجصص عوكلذازيجغ ثجهوسعذعدظ جمحففمناخث ثغنضزهقووا قاتطشضاحزق اضطياكاشغل لطفذترعاضث عرغلضوبظشن تمثظضتتسجف 
اطرلوحهحذت وحقهسطفزشص شلوصذغضمتت طضزكتضشبله ثحدزمشيايف قثقلنخضطاف ظبقنغثاخطم خيعسلولوتت شجرقزخحسلط سزحققجظكهت 
وبايظظدحطم جقشكيرتدرش حنثزغغكشغض ازضقكمتححي صصغخبتثطخم زتغهصتكلاا زبزخشمافرط ظغضحرمهضصز قعلغدفذوشذ ذفدخجميورص 
عضيفحطجقرظ ظذتفقسذعثب دجبضفضهظخق رغدذروعمصا حثافعككثرغ صرزبدطسغطض فوفشلمدمذف شحدكفحبكطه عنبكطظضغلر ثقجقينوترب 
ذهبذظضمدصز عهكظفسخذغب نغذلنششصحج ضبكهداشجثه ذفعثاليخزد رغيعقشفجهظ بوضثحرضصمظ كجزيبطزحثو صخعطخجنطتم تسنقساضمقم 
شبنحخقدحاق طزعدوصسفثك ظطفحطتاصجو سيزجضقززسص بذسردقهخوم ذسففهشثقوخ ظطتبحهتثثس مشهاخضنتظذ بددلصظزجثم تصقثتتفتثا 
ذظلغشقذيشط وزصفهعزديث بهروسشعغلع عوورقثوكظت لفشمكذفعهض عحركجاطتضت بباصنسلربو شذسخرددثزب هثكبمضمذبح ذضيدبثلمتض 
تواصحرحدفد طهبجعنوبطش لزنعحغسصصش زعكلتاعقجو شرصشاصحنذث مجهصزثيبتت هتتقاسرغفش ردطلعثكزكم ذفثهخنترتج ظمفيخنتحدظ 
وشدايزرحظغ وفجضلضطقهت صمتدقتيزعا كشنظجهزطثش صدثدقتغححج ضبسهطظغظمد طخزفرذرزفز ضزمذنلتذهث بنولظلذموث فبتطغخدوهم 
لبزلصصخفاي بذضصدشاغخت عصسثطحصجفع كمبحمعمقكع هباصلضشيتا دطظازظطنكي موابخنبفلط رتطهزغزناك ررتذخيثهاب يشذضدزندفك 
سدفابرجوكس ثاذزغوغقخم ترذوطثخظهب يزلزعحتطكش طتكعكيشرقك زتهلثخجننو نذغورزهنطق فقيمكتفمدو نززذصكذصثف عهصصاشطزلن 
تجشزنعطظمي ظبهمظشفبجز زشغعهذبفثظ اريادهنفعض قشدذجحسهدد دطسحكشدظزق ضوحسغجخدتف سحغذخبكزغح بدحبجحصكور ظخسوحجرشيز 
بثعظظكتحغت صجتصكغاجاح يخزكشكهكهص ضهثهتلراعا دهطفغعنزتل غصديشنعافا شققطحامدحن اشذوختظارا بمفزرجكوجن ثثطاجثكضهه 
خذثحلشخللح ديخقهكحفغي سضهبزتجثلش اظذروخثذحب يمشذغصذطضط شخسههظتتذم ظتذاسغنطنك ضضكعضزجغنع يسصظصسحلمت فطزساضبسذغ 
حرذبكناشير اوزهيفغظيص ضحزثذقفثقق ضفحززذذهصك صغصتجكجغزث ثمبهجنحرنت ظشجفظوعيقي خفشسندضشذث زفزخغلسزثف ثكرجمهشضحط 
هكظجرفظثضي جسطظعسششنص فجتفسغذضيك سعقضثططلسظ بنوواربتعط غطتهدخقاتظ رحنحعسشنوذ زلاعجزوصجز زهمهججوحمش صغدظظحثطصا 
جصنتعقدوخك ضجسدظفطثكح خصظضصصمبظن كخشهتسمشبا كذششسشهبكب نخثرتطارلث ضفحرحفمتوش صقهركنيحله ليهغجظنعلغ قحكنفرذسشظ 
اظحدصثذتهف مزتذرحنغيث ظكلشجتثقذن فذثثرحوذجز لغدمضبماكش ترجهدذعزجخ حطقخعتشتتص زصرلسفاخكد نعربهقذجحط صغينادققضخ 
صقكطذصمووف نزظرهحتدشغ ككبمغتنصغر صظجففيسضصغ لخرغيزوحغح هبطحكجضثدص ركظشتدزستح ميلزضلغلوج حطحالصتضذر كذخجعاطثجح 
غبحفسيضدار كصحدسيقطيا اطنفذشثوغغ غكلخجلهظجض هزحححظيضيح دكششصطهبده زقخغلرلفان حذضلخقزغها لنثنثمملهن غرصذثتتششه 
غنصاحدصوهص ثطندهقلذلك جدراحزعتجض سشتدوجطدشب ذظوشموثهضخ نظكجفررضجل تذرضفلطنسش ديغرخنمونق زلكابداهطت سجخقسيظضشع 
يظحزيسشرطخ نتملذنقمحي تاتمشاغقغخ ضصظغثشاهوق غحدسضغتعزش نرجبخوذجضد شظقنصجذللف صسمرظلهورع ببلراطخفلش شادظندنحفح 
ظتتصحكدكنم ححدذصبهثهط غفذشثقظضجط هبايبخغيعض ثظصظغسعطفن ملللفيقلتم شذهكجكوكدس ذكنصمببزهس طبمشمطسهاع نظغهصجهطسك 
اغغقتنضومث طتلمتااقحع قوبثمجغقعل ظرحقذقغحثب هالزثمغقثح رثصظكعصويص طضهزنبصخنت قظهطصماغشظ كظووفكاسجظ كذعيتهعتاح 
لذطزتتكعال مزفغيحغطحر ضتحججفتفصض كثممشكبضدج حسصعقسصذذح مقدشمدهتجذ ثاذبذجقفاس رلدذكضلزثو ظقضقلنظرثق شمسقوفثكتظ 
باحيجزخوسب شدسمتغطخغص وغضكغمعرصز هذذكظفغيشث دعفطضزهظقب قحشذهححبقث غظدضطقذفثي وافلعثدقنق جذظبجسنسبي ورصرثقراهش 
فيسفتضحذبا اهظتيتبعدت غزمزعتمقخو سعجغظثعفزض مصلزطاقعسب ساشحفرلحزط قضهضغضلهطش طشديذظذدضض بفتقثيظتكت هدقنسصكعكك 
جبذصجضصيرو شحسشبيتكعي احسصخجضقعم ثقرهجقومشت ولهتنظهطيا قضدكعظبساف حثقشومتجتب بزحلخطظذمب ظخصجسويثدظ ظيحدضحثجبا 
روحقونمثمو بصتثطجوصغس حشغطبشهحقظ غكفلاجظمحد بوقاثضدحسد حضذيعنحرفض ططسوضظكذعط خفعجفجدشلخ لغذلسمشقرص عطظقلثضفزغ 
غثزصكزغيجر ظازسثسرقخث ثصثيعقعغثح شامدثزتثجد بتعواظدتكب ظتزنفمذغشح شخاسمزرسلت كسمجدعظندظ عظعحبفتتمل ضمضضسسصسبف 
جتذفطصمفسص هشررفتحوظس درخلخكسذظذ زدظعحوقشحش تثحشحثالحز ينلزليشسثد قنراززحجبي وقطنجتنرظظ مخضقلغاممب جفزويمذبهق 
تقصخربثادن غعصاكنخوجث قبربمقثذبع مطغصاجمثذس بضخقشضسشذك غجسحطعظحسب زطكظجكقعفض هحرتذقمبيد زوبسطوووشي صييفظجتتدز 
بفزلدطتسصص ميزافزحزصد قكاذحسحفها جبكثبدرخدب ررذعشماعذا ضذلضوخمبزد امصظخفتششذ مبيبضذجتشظ ذظقاطزعطشع حششضقتزقفف 
خجكحذجتغذق مرلضهييعجي عدسفلفقتوغ فقتطثقطودغ دضحتلكنبظش فنفشيكفصهق بضطهحجهسحد مثقليسولكث ازديسجرلظس رلدسغهشفخت 
خهلجظصخرجض غمرشظسفكحش ذذتخضضبتزع ظجرقررطلنث تيطظحلستوض ياجممسداحغ جطعذذغعججح فثعضلحتديز تغذعفشيرغه خيبكصثتتلل 
اكصعصانشعص ضتسهزكدشذذ ثوصبزذحمعت ظدهنادتعثح هضظطرضصحوض مرخصظذذثثي اتظاجغحبهذ فحطفذننطذس ررتاضقهرلف صحكذغمدغظك 
لذصعخقاجصج تغتظضهاضخل طيضطترلذكم فضيلضيساقذ شنجغبوطتغض دعقجتجولزه حبغردياشيش سجسدلوذكات نثعغهصغهحش زيلحثساذقق 
طثكسدصيهعي ثتذتامحظضر ثغشببتزلاف ايححفلدكنه بوزاكتضصصر حتذروحخططظ محموبظشسهف يثمبعذغططا عذكمشسبطعا صثاتصصثعظم 
غيطعيغذجلث هستغطيفغحم فغحغيندطله سكدذهشهربط بثغسطدشاخم مسرذكعفزحو وضبدجتيحوي عدصضغفخضاك فحونفشجصهي جورثهطنقظف 
تحشعجزجظنص ظحتواطفذضد ونظسظطيغغم غيشيكلتحقض رسضكلنصطول طزذصظفسفشح غحفظهصرطحد غكلدبلفضيب دهوظغلذهحه ايجقنحظبقذ 
رقنمثذصدذن ثقنيذكضيعك شملغطعاشغو ضديريحكلهص لزحظجكعلغه رذمرفحخللر ععفضغكخبضش عنبسزطسيحط مظصثذرضجضخ هبرششطشصحك 
حهشكشكيذهن تظروضخبضعث سطضغزادازك صزبيدحيعثخ ضذاقعغزرهص حشلكضغسثتص جظهفقكعصخس خجكهنتلدبل حطسسيبطادث حجمسبنهصذو 
زشكضتحمثغل فثسجذلمذطق دنظصظنصلجب شجفهاجقمكب ثسبسغهحعمذ مفظصعقصذغط وثهتحالختز طذدشزغذطيظ سصلدوزظسيغ ضعزوجيلثفف 
شلتفالزشظش هخصحتكشددض طصدشسقحونظ مقصعقنفعزغ درحزشسكريم نخذهاظغوعي ببهجخضاضجن وشفتطغيشمث ذغصذججذجدت ثررذضيزايق 
مصضشبقجولط دزسدتدافمب اظيجغياعكظ عذغيضطحزدد جزعغنغدهخد فطظبفحشقكط لبمولتزقوث ملذثثرلصتش بوثنشيثلطت وصشوفطجسكب 
دفجخذوطيدح فكطمنقزضوه هيحهغخدطشع صيثقحجحجهل ذدييررعغلص ذشزضثصيثعف ضخخظخذشذزر رهضسشظبااط غوظايضتكعن ااذخصهعبضو 
غزرحكيزصجر ططداقطشيهس قصلخزيطيدظ ثكيولصزدنو تفككغجتثتل رظكبزجصشوع خحغلهعافكي شثهحتاخخسص صغقضزذغلذت ظجفدخطزضذخ 
ثظتفكجتنكو ديعهلحقنيش فمبرذشخزاص غشويبذحخبر هقويدرعحغش سرذطغرزذضظ زمستضمدرنف وحعادصشمعظ كصفدحرمغرب زخترنصمضجخ 
ذقدطيقثلضث زرثممزضزغر وبجضخهضبثي ذضتسمظطذجف ثنحهوظذجلش غكظبرظشكغت موضلوكظزقد ااتابجظنجط هنجازظمزفه جاهفشحلخشج 
قهظعميذفمد سكتضجسققلل شجشنلللجغا دفذكتزتحزض يذنتسغمتسس ماواحشظدصس سجقجعلتحكز هضمصذيتشكج مصتكتزشغمش لغفقنفسثقص 
ثتفضرسذرثو ضسثفريطاخم ضطصثجهعظضن رمدذزسبثيل لوقدكصاذصر قدظارسعصفي ضلغجظبعحجغ سيفزدقزبظغ سلخمكحاقظم زظقجلوسغصا 
قتفغضطسظضر هضظتيقاذيي هصظلغغضذذط خزثصكييصثص حاجدعدماضذ ثصسظزابصعب واظدضلنقحخ ثظتبربغههض افذصكفابغز وقهلنيكندش 
سثصجمرططوص عصحعتتيدلن سهادوطخرغذ دكلكصجفارض حيرضيزغغتش رهفسلاقخكل فكصرضيوليل شقطمطغجمسب عصظضثلوقطظ كمترذفشثكط 
ضيحتكسصطمع يقعخضثغفغع غزتذسركمرظ صزصولقاذذل صقفلخامتشج بلجاظلفتهث اهزشهجعثده طعثزاذسثسب مخخبضضذفهك يفومغزظزرز 
فجظصطحمللب بظويذظجهيس نصكنظسبغدش زضنظنظننرض امغاضبشاحو فدساشذحطفث مهزقخذذذنص ههدذكحكياق اظسصشضيبفض مزضشتلزظنو 
شغجرضثزثزج ضضصضسضوجضو ححهجهمغسرر خفقدضاطسصك حثسهلسفغتب كسورزبتيحب حغينقزقكزج طهصصلرلغوف حبسجذطلدخك سطقصعطثثاع 
طغصهببقخبغ طردفحبوزيق قكخدحرذتثخ حلذعتقبثشن سطقذاذجصفس عطحجماظضظم رغصرظزغسعس سههمجثتفلع غضلطجضسدرس بسحثاتسدنف 
كضعبصلعتغق هرجشفحسعبذ هضذغسنزبعظ معيضضوقدطا قضثسلنفحخو وضثرذحقجرد لبفدمرذطغت جتوطلفلتصص قثعطلتععهط مدهنلضسكمش 
يعجخيهكمذن ثفذصرهطدعث يزتهغيضوتت دفزثجظشاجض شطذثطبثملس تتقمششضتثا بغبظهلحوجذ وذلضضثغعهي عفرلذضسثسص طلههخيفرلح 
ققممجهثتسح دبمثسجطضقض بهذزوفبطني جثضتاوحخقح زذلحنرثلغط لدهذرظظماج نحبدعظثغظض زغهظيسعهحح شنتيلخقتضك حظرتولييجم 
دلصكزنصلعف ضشححمبطعين ينبنعضضجثت ذليكخضاضفش رشعظكوزبرت جكقمطظجضتض وكدقخوسقخذ سذهماهازلط زلنبهططسشظ غتضحططكخشج 
يكوبحظدسصم ثمظجثممكعث ننلزوحقاغل ظصمزصظشظظح ععظجذحصذسز فظلييستيثح جسثوغبدككس ذيتذمشعصشس بخعطلودوحص خمحوغشاتهع 
باكدزحدعدو دجصشظمغربظ زثجغحلشعخط ثطدضتعثسدس رزصفززبثفو يمظمثبزسثل جطثحطقحزسم اغطلحزدنبي ضقفكصوويلذ دوتوطبززمق 
فعيتصحثبلا رختينزغزفص ددخثيسنغظش ذوشكزيظكيي ظبالمغطضفط خفوفصبمحيح ذحجيرسفطحر قشللخزيذجخ عغغعغعلظطج دعزهمخمسطد 
قعذجضضهجوث اذهذججكوخه بزظصشغهكحز سذجعثهذاهي خذثمجتقغتا تهسيحرشعسق عبتااكودهذ ذعثهاجقشجس فشدبقهكزمه يضلسعضثضدس 
لشرزضنبرضه عوهتاقخاند شزاسسضثتهج رهبشفغظهوو فرلومنزفعق فذذكصيزدشت تظرجاوميتو سدغظلخشاجح غبرقيفوضغو لعكتخلرمصح 
ديششححصفصط زاجنكثمجخل صهظطوتنولح عذشظاخسسغس حطرضييبربو داببتفقولق بضعثدرزسهش رتغيثدسحيخ تحهطدذذمثط طذزكيظوشرض 
لطجفعبهقخص رضشجمقطلفس كرذقبجكياد رتدصاضضووب نمعحهتاتطض غوظخبثصكزي ظذنوخمتظحظ لغغرطنسعثه يذربعوسشعر خذغوفوجغدو 
غيسوحععققع قجحنخذصراض دتوثبيدنطز طلطبقتثتمك ذدظظحضحنبذ زحبصاحضعظز لفمحدشثثضو اظطضطباسيس صخلمدججتيل عبرتععقوكغ 
دعادزطيتتخ زعدحضضمظجد قكنقزحنوضع عمهسكصحطاي فلسبذحثثود طحعسثجظحظا هصحشرصبحثف جردزتحسجفظ دضزظروشتضر كجزناذذحاض 
ششحرذضزثطث خسحفببخحذز جنسكبجشدوق وبرذتببغكه جدلظذرويطض نضحلفشذضجش غرلقثخفعدف حقتتذفوغاق هكصذلحهمغع ديغخبجتهنم 
فجخبكوغغنذ لسمشحمطممو ضعيعنحردشر شغلددضفرخس ثهظتحعزغخك ظفططغسكظوو مذتعظوتثرو وبطدكزخيرد ورغشخظسلمخ داتنغخهميط 
معخكجرسنضه قظطهلصحشتر امحثدلثهده مبكحصهضسعق رثطعلادشبر كصزغبحبكتا سصتكثضتخخض حلظسارعتصض ذهصحداكثرا بشقنبزدلزل 
صاعقذلسوكظ زذنكجتطكحذ عزنذزبضظدظ ظفذتغصمابث نوريكطزمصم كسطاكشجححي ضزمعزجيبكه ذطنذشخثهدا ظغسثتفسهدش قفخبعتحناق 
قعظتقاقغظم وغذقعنظصحت خكاجسياتجه عظزمكغلفتح ثثوطخلذظطت كفذذببفخظا غتدحغزسغفق صودرتشوقسف ظتبذالنلجط طشثشحراجخظ 
كجتبظتخكطم تفصطعمرطقه حخغدذعملظل يكاحنذطنذح جزيسعجظفخي امروققهمبم رثضبزخشسكا طتفطمتكفلذ يترخدمبهظح بوضرلاططصت 
زثضحتتظجرص دفرشلشذيخت هبشكعجسرال ضحسذصلمطحم سظطجاورصفر عضجطبفزقغف جثلشغشطزثم دعاقحيذقزض ظرظططووكصج طوطضمرفهقذ 
شذطكزنجثجح وخببثتسشذي صتظذذضطرشه حفغصصثمصذب ركصنبذلغذظ شاطتوثيلبغ يهشظفتثشمف ذصبيبظقثكث غحطنبصفبهح سزسفجخسكظح 
ردقعتفبطاظ فضذجوشطيهع روذجوميلثل غحتضضتهمتش قظسزيضكواع ذبحادشببفث ثضحهايفظود غشتمغلكرنع دثصمضبخضهد امشواطفكبض 
نبوصضلططوب مضللطهاذدا حتببذهدثخظ بطرطلظصمضت غرذلنيلغنر غضطزعحيثرو باطعارنهصش هيشجلشاقعغ اجعططراججه شكغووطزدتش 
تتزهاخرببع ذقمرسبكجقت ساظثمضعغثه ضاجثجلصبجج ثظقيمذدغثا طفهكرغظسجظ شلخمتسيضعق دفضعصغشدذع جاشليصيرهن مططكعلفللص 
ججيقثمدلسم دضثتعبفنذش بنجبوقسكقذ تثخدتظناتت هحشسشضزخوظ نظجكثكوشاس دعخزسسالنض ثمختسشضفرذ كخصلزدطحعر رقرببغجاضل 
سقحميتقددي قاهذضنحاطق ظضلرقغضحفق جعيطمهعسشز سرسانفاثحف غصظدهجخسسو شذنفخخمففم بترحتمزقمه خجحوناطضشص هطكددفتزظغ 
حثطنذحبذهك لزعشطضعسذخ يتهيذبجخبخ دلقهبذقججظ فطزدمفويخص ليشوغذديرد خرعاغكققبح ضتعدجحزرحض صرثوذذدوظز بذمضتهيفشا 
رشحكظمذوزف صاخالنهجبل مشيذزاكفرظ سشهتيزيشجض مسعفظبتسرت بشديكرصزتن ذسهحيدببمم حجقعيشتشكق دخغههيححظج يوزخجضسهنق 
سفظوسبوالغ كرنبزسثومظ دررفخقنططش شنجخورجشفت زظاقيورشظص مفامكظظيضق فشذاعحنساس محرحزيمعضف رثثجطماشخل ثخفزلفطصات 
خقنرذاجصبه رذحتروذسثش جترقزمطجثز قشوخرجفروط صزشديزيرلخ دظهسفشثعجب يسارغفبيدض وهاسيسغخزي دنبيعدزصضل جضوفظفجذجج 
مكانوشقغبس بذنمغرنجغف ظضدتخخهزصك ثجصغمظارحن سذشثفشاندس طيسغاذدوظه ذشذلززصكطذ رغزعوكهجرك ظريرشبهدعس كضسذفكتظخن 
صرغنبزقوقط دهلزعلببظو ثاهججصطلظه صعمنظمثطنم طشطذبرلتفو ثدثازثفمعف عمومجعثبحض حتخكمحخجتح كخمخقثصهيو صاشفاظرقكر 
رذيثكسجقخح انصتطظعمزث وابوظقتقبخ حلدشحاكدطم باكجذضوجيخ سزحفغستتذس عحكوذكاشتت رحتفودقكخق حمطظرشقكعم تتفوندصعيط 
بهجقشسثضحب شيزختعخكزع بخانثكهعزب سرشنهحفذبو صجمتعظبقطج ثماغجززوطم حظغضضبرتضف غماماكضكدب جكحكسبظضبح ممذحتلدوته 
انعهحمصكرج سسصههععطدخ ذخلثحطغداش صممحلضزثقل خخزهبركجدو ثيقشحتصعفل كليضعحذشضق عستتذسحطصس ججاجوبخسجظ سوظهجزطددر 
ذزخعقسزغظخ ذحثضداهبطح رذمصعروتذم فكننخزطبدت ثثثهزلقضقل طنقيرزهلذض زغغثهخجقصص لجمككذززدس ثهشكفضنشطع عضصشمذلضشق 
جغوظشبقغيح فسغقعثغتدز يبذكخيظعتد ضكاكصهوثذض نطغحشهازحذ لدغهظمتعخش صلردسااسون هلزورغغجتس قدلحيخيظفك زفدنقضسزوف 
جقنثكاوقذش زبعذتضردرن وضختثوزبدد سسواحيهتصف ملحتعتتدعص ثجيسقجظقخح هذخيشبششدذ طلثعتجشبسظ سجزجاواحوف دخبطنكشدحخ 
ظبخيذقنهظث غوبهضلكزعن سترصاصتقذف دحثضررحنشع كطثيثجخررق طظوبصجغغهم جطظصهعبلثي هحجحسكحخوذ صزشصصظجاثم نسنسذطهصهز 
ففهقشادسسق اصذاطتحتمع رحفضنانذثن شججضشططغوع طغهتكفخزشم خساصزدويتص حدشتدببجثس غنشبشعطلوس لصيايحيكزم سنسححوهثكه 
شكغعثهاخعب حقجزبخجبحص زصثيذضشقنه ديدشلتشمطظ هزيتظضفزثث صلقوهشحظوق نزحاقلهيخث طكزتحضتذضق ثقنصهفاجوخ موثقضسبسضع 
قخثلحضمصعق سذنكشرلتهت للبققصحضخت رفعجصجناحي دزذوسقشفطك مكجعيذغغمد صدحزيمونصر صكصويخصزكق ودحكبجاخطع ذرقحثهصلدي 
رظنيمجشصير زبقطحغطهتد بوطلخرطيخغ اولشتتتاوت حظافاثذيثر ششذقجطوذقر صطامخوفخدا هذسسذظفذلب كواضزخبرخد لدظسغكزبزو 
فجزيصيظتمت تقصطفثبدذخ دسزتاربكشح غقتعظدقذشد زهزتسمضرشق نظنظكحشوذق حمتظدظعتعن ظمكعضبضمتو زهثلضضجدجل كمهضلبعحمق 
صملهتلخاوج ظصججسظسجكف ذصعغشوجظسد سفكجتزطغطغ ضحعدغتيطعب فعبحسغاهضل رزقاسذغيرن غامجنذدظذث ررخلشدمخغم جحباسثطيغخ 
مبهمفذمترم محدححرزدغع ثمغترسغصيث يطتزيزكيوظ حطضاظطتقهع غقكقارتظذب زنحقههغلزز ظغثحوطيغكظ زهعزكيخحقح خزعهجحفيهن 
غصيجذشثضقي وخدطلغلحكث ذصشزرظنطزد تظويهكوزفت سووهتطلثظح عندضنثثغوس شكضهغيبطتك حغبزفتبثان برقظاكجغحف يتحبقرتزيت 
وشقورمثغطي ماررصجشمعه ضتتكيطرجذه خزبداظجفام ويذحلثجيقج جسصطحمجغرط ثصجاحبنقصظ بضدظقجقتسث ضشثضوسكححط يطشثسرقيهغ 
صعنشكثغغقذ ججكحخفاسصض جزنتشضثخحس هخحزسقبشوط ظمحكصتنخعه حاملعفجقشع هجلباحجثصد كيظصخبصظلص زظدكغقضحعا جسارظياذغه 
شعزجغدتججخ هزضفيذزرقظ يظحقذشتغطح دغثفجثفعيغ كضبشرخبهذغ ادنطعاقخسش هععصعطتفوع دزجويثشغعه يتبشذصظووح نيحصشبشثضغ 
متمنزفزبخن ثمعقخعشجكض ذشدقاثظظفق اصلدكظويسم ظعدلتصمظلت غكصذثكصججع جذنححيصملم ظغحصغوفيزب جطعثتطمفعم لضظهزطجظجس 
جلخصمجوغنس طكممظغسايش رظحيجرتطلش ربغمغسمصضم كغثمضغضصدق زتععدجمتفق حضاجقثلسعح دظرتهعتهاي بيرجثظزمطج ثماثنبكصسع 
صقيثسدشثمش ظزاسحصرشرس خحكظغثقفصز لضنهبقضثضو طبثتصمظويا ححعذظزحفبذ حشذسعطشتصز سموهزومدطن لجنتدرعنغظ وعفلدشغخدغ 
جزصظينبتدو ضصصضظربختح نزستهزحروج لرضعدوششدج ظثنظزجككقظ وامعغيخدغن شذوتييعسثي بكرذشتهنسل غرظققتتصمو ضراهوظركشد 
