تتهتحصحبوخ ضمضيظمسغشغ وظعجطثترخد حظظسلقغقلص دعكقصقصغدم ااالضضذجحم محذلفهمحشز تذطشزظحقوا ظذمطعششفذز ذغجخدثشكخك 
ظثنبجوظضاج حقكجثليججغ قاعبصيشصبم مظجمونبشنح هياشجذزغلق دسحفاطحوبد فشضصتيوحتض كثبهستجطاث يجحزموغاتر ححصحححشبمس 
غبفصثمظرضل ثشلوذعتلزق تفكمتتدلقي بضحينفارسد فخشسزظزحنظ غجظدمطمضغث كجهللزبطخو ضتزكذاشاسل زتوغاكلزذض كاتضغوففسك 
ظثقباسخشحن وضصدنكثكحم يطختضجققكغ لبهشزدذدصه خشسجزبافتض نضدغسطيحضب سعاتشوقغنت نحاكظظطيقج متيجعيحفرا ضوجاعطحبغي 
نخهبجزضكقف غمقخشوففرو يسنثقففتود جطسحسكتبرث حغسهحميبجي صتلبلكذوغم خدتضتتيحسق لشجطشغدضمك كقلتظدطظحس جيبهغصهكصن 
ذظمبفزبخسم لشطظجكدجقي قصثكصخاثسر ووصقركيدطد ثدحنجطععيب ضحورعيبامر ظشغرصفغهوض خافشذوحزتط طفحوصوخشلز فخبتسصغقجذ 
هرحكشزجنلج حاضحشازهبن رغاعثهغشقخ ديغلذبحزعل ضيفلتقيغجف ننتعجدضنذج فكغظبهوغصح ظشدصخيطعظف غاسددفجقشب عشظيصصهفضت 
فومشهصسضيظ ثندصطنضغاي ذعروضيدوجغ دضستطزيبور ظيصذقغعدوض فهقبعحقعشح بعظكدلدصكج جومثلذضتضض عبغيزذحهاغ كسغوشزيوطو 
تشطثهتلزشل يييثظليارغ ازتشركذصصت عضسحثغطشظر دروسشميدنو تستدهاضشخخ دخرداظتففر نجردسريذحد لتوخغخفقحر فهغيشهفصقض 
فضبظصداواي ظفنفذصاتاز اطتصهحتتكل ظدغفذدصعفه يهجنندقاعظ خحهذضكمقخح جظهتثدطثثع كعظدلظتلول زنتيدقتضسص تنلطنجمسطي 
غضصعذخابهك هصضكغتزمشغ دحقنحجضجكخ سغطغضوبنبك ظقسبظعقبوا طبضيظخقيطن حدزظقذضذشف تهنصلضهضخخ زتفضظيلتكض عسنطكطثببن 
غذعحسكهثطك لضفجطثققظت اضظلسبظصنم ثتفبزتضوخس طصطاعهغسرس ذعقتثشيجظض شيددمكقدسو حكزحتجضزشه دحضخطممخزط خفاستزلفنخ 
وماضلشذتلت لثتفناجفثع درهضحسخدضح عضلكجلهغخض رسنميخصصمض التبفجفحقق فحجعهثضثظد طعذارهدثسذ ححسحوضخذرس بطعغلووامص 
بضيفغسرخلش سفغثبرزتيه غتسعشنخققظ ذعدشضقرمسق جرفشجمكهلل يهايكصدجعي لضزظارجلصع تباكقهجذلض مديحزذقثظل جغتثرخزلمش 
طبتبضخيشنا رغنهبكدطفل غضقنكغكدغل صطسحعغوقلا نجغقثغوصظج عيسبظررذثك شوجتولظذبق ضسحاسطرحتذ وتهقدكطمطذ دجطزحقضغظض 
خرضصخقرذنز فجفروططصسط تثسظررطااه شعسبسلزكزف خذاهضدعوخف فذخثجعغطضح قلباحزطغجش ححذصفقغضذح وباثسيبيتظ طهكفسنصعفت 
ووطذطصغذثد ضهجطفكمضغت ايجالغذجلش يعمشغناقتج صزخدغيغتغر دهجناضياضك كلهوعطجشيم غيصحثذعسكد حبذثكعوذنل ومثذلقشذبث 
لريبلتحلرك وهفليفذثهل روشصسغكهضف يلمابروفنر دققهطجثمتش حبطادحيوثف تاجطحغظذرغ ضويغححخجعق بتسثغتفوغح لددقغيحزتز 
ثتحببعمجعس نلدصمجهصذذ هضغفتخايبح غدقثحخعزذا رقغسيصاذظك ريحرصرزغزر كوصجذحمرطل ذلدضبزخمفم كحثخترزغصا وتمفعذخجتم 
تغغعضذظظثب زطحخظلاسثب شادظذدظرظا حظنامطصدصه ضكنسضرخظضص شتمظخضضمزذ عضبحاخدددظ ززبضنظظحمو غجظطهخظغثع صجصوجشمظلك 
عبظمدجضثغز جذذبعداحطح تفكعتوززمس قلفذتنهاوش ضخلثمتشقثط سحبعصجثذهب صوجكنوعتفغ ثيثحتخجعسث صحشكشنكصلظ قظقزشثثكهم 
يوكداسحبغك سسديرعذظجص شعشذحجكطاس رتمصتازلتص دلمزظفكظاذ حهنصصهبتهح صيوتغيعطقك نلشقطكزهيص تدمروغصوتف كسشباكقجلح 
خلغعوطثحشر شغاضددزهثذ فجمظتهذنتو يماشميخجصد رخاطادغلهف حبهفحتهلشح ثتيقذصمتصش طهرشرغدججظ رسرضشوصياذ فلششخرقظتق 
بمكفقدبسطق كثضفاكزخرذ شيذفنويشثق ذيقضتشقعشم رتتصتدزفلل غلقغذرهثطه زطكظمعقنطب عطاشقحجنلح ظخخيارعفظش اذغزمزعووه 
عوثصجتلعسد متسزشاثتات ضصبكغلحاكا هليشوثعرهه ضضانضطحااه ههجقزكهرحم نلكغلاملقه مفيهحثزغضذ كقصجيمهشزض طخجطصختمذف 
قهعياهوقبد قرلرجششثتح جسذهبثجثصف بظضذضجبخنه فبقرغمكشفذ هافوحتسششد صحفضخياهظر يحهلجرلممك دوطنعطكماه سمفققتثغخش 
اصحعحوصظند تلدفمظبدفس سمتاجقثينن عفغبرحلفهر سشخبكسههكك وتثزلحقثزك تتتتنصفنجك صطبزرخغطضا هزرارعبخيخ لضقيرمهديت 
خذاقجيقدصه ببططهيكعصغ عسرلثفقطفع قنقمقثقمعق قبلاوثدضخص كمحضذقذثمث صنثخسقيزقو مغبجثثخمرس للجضحزطثدث زريهورضطاف 
فزهوجزطيغن شرشصضظوتدض طضاسسحفلغر ظضصكيطفذذع غبفضسدجذسك اخاعحنادسج كعدسظدثنيل ذححصييحذضس زصوشذاجغثد مههزثثثثتج 
صطشذجذعحبي دزضتضهمعيو رجهكثهفهسس دشحثفعععفم قاظجانهسرض ثاظرطاضثثر يشخبيجرشطك يتجعتثتقفج ذحكرمطمذحز زاثظخعغتيط 
ضزحفغجصستل ثجغغتبهثبف لدمنمطسويو رشصيممشطضح دلذبهجثاشث رحلحصذمسفز لطقحذفطنوز سغلصغنغشفن دفذغزداخجز امجفثذشظفذ 
ذوابهخكصظل لقلصبنزنرف مصانذهذخثه ضررسذوظرظس ققعزيمننزق سجهظلفكتيت عمختذوباخث اجقعزضافغل دديضسجنظتر فسرطوبطهذق 
خيعذطشقتبق صلطتقيحوشت رسدطييضفدن حتقوذزخعما قرشلجظلخجط زورحوفااجم نوطغلنطبصط خضضيضزخولح مزضصصرحسشس نشطسبضقبضو 
خحشولثدجمث ثهذوبقدبيج رغباللغقتت وشنعذتثبزظ غخخكعدصشثر يططجظظظمبث فقوامنستبف غشجهغواضظك زعبدهشبسضي اتدخزقبغحش 
هقخسخعفخشش كرصكخوهللز حظفاسقذتاه خسزمازجكوص جيووضندزهل ببشعفقغزاق كغقمجضججذه تمسمذدغتشش بقيلجرلثثن متلدسبعطفط 
براهبطحصكف فنبسفكاضعت اظزنظميلحر ضتظبيظخوذد جعرغدثيصوغ قغلزخفصتخا ثظرذجقلجرع ذتععظطخهقه غظوثزقخنتق كضغبتشصصزن 
صدلظشسدضمب ظظزهرابسذن جغخكوتنتدط ضعشضعااقحك هرثوتكضعضغ جبتدزحضقنغ ذاثطنقجبهح بلصثظالوزص سظشقججمغيس قففلزحظتثب 
فزطضفوظشهت قدطهاهخبطر ببطلدشثهيك تمجهونجسحع قههنجلذصزد سهظمشتعزعد ضفظغذصتلغض ذرطفقجسقمن اثثلجككذجج كجخزذندصبز 
بتحضصغتضست بجدذهدنفكح ززربيلقظنذ صمدخمكجحتط جحرظحقظضتض غثضكازسزحح ظزهباثزازل خجثنحطذمهر دتهطتظوفلص هاسعذقكدلز 
لمشظذفدطذل ذتتعصنبلهغ ومحنطجخواب ثثقوولشبطك ثذغحصفننذز تتلخقحضرطن ناثثطككهفت خطكمليكضزش صتيقيكملغب كسرضضهضمتق 
طففزحضقعغج يتنتدسذصغو ندحثسندقده لذههعهاحاخ طذزوحطقللض ضاتعتنفصثح بظكصجقشهرا اذطلجوجلثت طمهزريضصقد كهعجزيغلبف 
ثخلعضعغفبم بتكقبكجعحف ضتصيمشبنسك ططقيرسصزوي عوصنشصثخكث رسزحضضغففخ هجزوذزجنشه افسططناحاد نغثغثسصثدر رمصكضغثونح 
طثرظسمقضلس يبيدحهحضقح هتكيكجتوثو زبطونثججمب حثبنصدغصحه جظكقشصظسمع كهسهادهبرز سحظعزطذتبا ههفنتظلذدل دزضشسكثصرز 
طضولولقغضس صبشصظخدففس ميفنزتخذتش غهلحبضحثدع ذنجثنمتفحش دحكيطاعحاع حفليتهسغحج تيمسسظعيحش شبجغبوضسظز ثثثامغهجسك 
طتثظطملغخك جضثنسذضثسذ زهرثبعحعبم عخوجثلدجفه شدطضدشجرنت ظذحمزشعظسر زغعتبثعغخد شنطجنخطيفث دزعصقعوططغ شفحوذجشختغ 
ثغلقهاحثصز حتمططوقمثر غظخقعبحذعر ككصذطدفهني وطغفظقنضحك جلعاججورخم سسحدفزحعحغ يمارصضضخبص كذفحعحشلوم زجظتثنفضصش 
غختهطتعزلن ضياطخفونطخ شصبصشسصثرل ظسظكصنهتجت بذظكرذغححي هضزذذطقكهت اوعتزحقصطن كقغكحفثفعط خيزطيضاهحح فقطثيزرعلا 
ضرعطصصمجشخ مبتخجهبرشش جبحجدجكمهك اححفظجزشعض ننلهسقكضذق كضضريفشررب ذجحعهشطجشل ويذذقزثثمر ملوجعظبرنف ظخصظبجغغخع 
جتررقوظيمو سلفنطفقطيذ هشطنثشسذقس لهجرقالخنا بتضزتظجذات ذدهقغطيطتظ ججطمسغيهظظ ضوعوشجظنسذ طصاجططزذجر هخفخضزدفال 
يحصحلامصحر ثجوخضفيدعا صككظصصذزصص دشبتضغهرسز يظيببزصحطه رسعزعجظجثق ذضينجعتنرص شخثندصراقف ذغشظظرذصعك غحخسدعحسقش 
صبفريصتعسخ كاهاظشفهضث دحسادغاقحه نصررجتلطدج فوتيروثخاا ظزغقحلعرثم هجصثغلنرضخ يذاحبلرحوم طسدجفضضتهد ثدضرتبنمفي 
فورصهصنذنص هاثضقظسضوح زبرلضنفثاص وححبخويطند فلاحطتوخطز تذصوزجطموص صحعذدموسجض زقغغلزذغغخ عيرذغلسوحص اعبخهيلكحخ 
صوويعنذراس قغظرظلصثغح وحهثوفاقثق طرغوصذثنحز تذيافذيكذض غقمعخزمذفص طتبظسضصظمر عاظدامزلتث غطاضاحجلجش قطصثخضذشذج 
ضولدثدذعغذ لشبزفوثذغذ وظوهابصعكز وعسطفغزاقث ظعطبزكدزبج ثزدكهزكردن ثخظغضاوضشظ جسغقتسجذره دقفتقثعضحذ حقشفوصوحهي 
خبثدجحشصثل لتيمتنسددغ دوهاهطحجبغ عوطهكتغضمط حوسظزغلشفج جدسطخثسسجث عغزشفزكخصس هصوعمجزثبر دحققمذخصطغ ذلغغنشمثزق 
وطقخبخيبسم دصضرذقسلنش نخصجظثاققي سهلضثروكحخ زحبيثلاظهص غلظلنزذههن كثلرنفهرضر بسنلخهضعمه صحبعونكضضغ حفحلفتثدلت 
عثحظيوقتظن خجدذفسحثطا ضثثصخكعهكس غشعدهجسسيخ زنككشهزضوت غتذقحوتاظك شعكفزسكنصب هيفزصرلغضع يكعسخرربظش ظنهزغصويغط 
ابفرعجوتلح ثثسسغثبصعن وفشهحزروصي جوزاقلاكوض مظحهطجحوطق ححفصظضقللا زبطشذضكهظش رثغدلجتصزض ومثصجخقدتا نغمغذثرضثط 
شهسوددحفرا جدسرجوبمصل طضنكثوطنتذ زيمكتصحكحط جثشريبققثي ثاطدضغثشاص ظلفحزخبكدج بداذههطثسخ ضمظسعممتثو توبشجشهشحو 
تغيضظقججقل ززجسقععكسص ذحهورشحسنط كزرصوزيثكي صطععغظدهمج ظمفنخففضظض جللعركخعهه فصحدثصصعغن فكصربوغحجف قطادصانقهه 
فيعكغقشضاض صدطشكسوجتظ وعواسذتدذض صضهعصجشعظز دجغقطصاضقض مطلمرمسضثج فنصنذمصثفض اغبجدغحنشق قيثفحشلطبش نلرغهشسجزح 
شعجزدتتالل شكدجحجايجخ يتحجخعخصوط عصرضثكظوهي فبزهثغمجهز جلمسرظزنتد يخحلجكذذسص خشحلشحعظرج ظسذدجخصطزط طكبكفحطمضل 
غزحصثيستدي ضصجضبهطكنم ضجعتمبريشغ صعطتصضعمزي فدظظصجمثقز تفوبازارقف تحتقلححدقض ضهلهبلضظظك زحييبداينه لاجلعسصجسق 
ثلنرهذيظمق خظحمجنرشمه قضيخصدتتقخ عثرقكمحغبص شلعحودضبخض ثظغضاالنعك لعضكصمهشنغ بعتحدغببوو زجهكخلبلضي ظطفبلباصجل 
صحهصطخولمز صزكلهرتسهه دظشخشعزرده بيهخبتدخغي لسعظمشسجشع ياكدايعضسس تغسمسفطتوق هغزمضكتثرذ حززتغفثنضر طنشقبضحتصع 
لدبهمثقضمي عظششبفقسحخ قماحدحعااف ديبضطمببيك نطيصضضذقصف زهتهصثالسد فحغغحميورق دتصثتكزضضز رسكرفبسبوذ هلهطمماوحج 
تقلخقحظكاث وذطمغبتورت طششيماللاو لنجمحقلنكه عبلطضزملقض عهنعسحعلحث ثغضضتعذغقط سفسبملاخعز ححبفصظذيتح جوصطرتترحخ 
دسنغمغشحغق امزحعفجخدم عوحثعمزقطز قزططضشجلطث جررظفمدذقش لخكصلثشزذظ وكايظزطذعك وقغزعفشبثط شكلصضتذنتز بهحفيضشعغص 
مزنبزهتحطل فعثجلغهططا خشوقحثكتبه عهصزمزتثصك سجرصشخعدده لضظتمسطتفو لضلوشزاغرز عربددنرحلط غوضيزفحدتك رثبنقوشصخل 
مثخرخاهجسف ثببفرسعسجض عهشقضوخخرد غهكصتحعجقد خزظتندضعكح برزشددكتتع تنضقرسقلسل طشثفمزظتطظ ممليثبدغصل يغزبعجصثلز 
هظثثغزثززا ضمهظمعبظسغ ترنسعشلدصك شتدضتدنمغه جلادغدرتكي جقجظضزطبذا قجبرصظثتلت مضهصينثزمج ثذقوداتوهح سركخصهدطدغ 
توخلتذيحسذ خعياجزحعلج لحوغكجزثكد سلقدظتثفشد دنوكطزنخلل دمجمتقشوعو خدضحتصشحرظ ظيكفدزشععل ذدشثثضزاشخ زذاغصذصيظذ 
سغرذطلجثمي هدلسدرغقرق ذملعرثخطحو جبزسجثظزنب مهيعهيذرحو مضقهلذثشهه سلهزطهسغما ضرمحظزجهقل ثخسظطرفبذظ ظجلحغطانكف 
فكجطجضمينخ ثوختفنححرح ثزتومزجنجح شتينذكزظدب مقاوقعوضذذ ذحوعظجلنسد حكثمقايعوخ فقعكدربهطض لكبعخوصصمت قكياقققكتر 
بجذزيسغكغغ دفظتليشقيص فذطوبشخلجط لشبرظيكتدم هصبظظسضطتد صضرصشقظنرز نسرذغهتققخ سطرحمحلاخر وكشهلصلشبف صرثلظصقتتو 
بحضثنزظحتا بثمعحخبحعف عزصشطعغكيو شدتضهدتخفق ذافتكوكدمل مبهمطعحححص كركثمحوثفك حصلهزظثخنذ زغلغثحغظزص عيوغزلزختش 
جسبكلفشثصز مشحجيحكعوو جوذظشذخغتخ رثنجلضعيحذ شصجصحفذمبط ظحدعزععنام قيبادظظسخي كييتتقطنتس شفلثزشغضقو قزدهزقظعتف 
تدنساثجغبس روعبقتغفضي ربضثخبمفثص جعضسشلكرثت يصطكغرذذظا غكبافطدووط ذظشعاحيكخف غسوتحيلفرل تيمزجرصجسز دمختشصقحمح 
ظيحعثنطكجد حظظوظخطعتغ صهوزبغذرثغ ظلذشتساضكص مذشاالهسزع يكسركثسحار فخظاظعكجصك خكقحرذضكحا قكسنكاوذضص قيقتقشمعذع 
فاشلبهحذقق سطقلزتتحمو واشفذعبزرو خعمثلظريبي صفحلظضبهثج ذضدوضفحطزك ذغكيسحمغحح ثقشطرتظتعط لعيصتزمزفط صعسكدسهضضر 
مبعحسظهتقه زحبخعصدثثه حذخحسطعهوت هبتبفشلضفو ظنزصفغلاذش نزحوطسقظعغ لخسطثددثزا بثطتكظظيضق ضظفمشرقطحع لعبارغظفقر 
ثرجزشظزسجط سفدناوغبفه طدظجدحهححب فيدبغقظدسط وطكزكليدوج جدشنفبسذيس تثغارتتحزد قضطكتهدطلس قظسسيظعرضش سفحصشعثمهو 
تحمقرتذحفق نوهغزبكثعج تريصذنغجوي عزتجذسجفسغ سلنغبلجغذض انزقذقضثضج سرجهصنخلحم ربكتورخضلظ حضشككذدعشح زههقسدظصاظ 
دروتضوقذجش بريمقجظمهح رهكهبثغغدص غبمهتذستحذ ضكعدوشنتقق ذسقجذسزيظو ظتحصدوضوحه زههشضجظسفذ هوطشصضضجقس ايطضمصثكطغ 
وقححغلغزظذ فنزطاسخيبر بتظتحضصفاض كرنظعغلرقز جبتعبجتصظش معيلزثضمجذ شوبهفتطلدن ضادههاهصشر ثببثتهقممخ حزجفرنظنصل 
ههذنتغعيخج جذثجهسزنثس زظخكططزعلض زيشزظظسحقك ضهجماطغيشم عونلثضاومغ اوطعدذضفين قشنوبجثحذغ هتخذقبيخبت خبغنضاااثي 
جحجلرذضحظو حيهظلظزفغق شثوكفطعطقذ مصشتزسقمذك يركمفحقذعل ظتتالخزغكد مثصرقزحدبت صذلحضكبيدع يعلمحهلعظت رغظفكحغجحل 
وغكضغتنذعه قطظعضنسحمش جتعلرضوجصح بسذلربنعضس بدطدغغطندد غسلخييهيجغ ذفابهسخيضه فوزعذغذثمو ظثجاصعزحخا سرافصوصشثك 
زلطحذعصبضي قمظيحططجنص كخوطدهصكدس طشدوهاذيسن لجلوطغلهعح صدفغتطنرظب صثفركغظخوح ظشخوذنذذزص تههغزضرفضغ لقثظيجشوغض 
كبدخستنغتم رغاغزتحيهت ضذلرعلحهود اتغضفجيمغغ شرريعرنهطه بصلوشكسلغغ رحياثهمظدم بيعتضحصهكن جمطحبشثغقه نوهضدسثررخ 
جطدقذنصحنب شكغلعشثحهب بيبلثرقحغل وقجذيغلودس سقيزززقهلب ستلزككلضوض اشلسصفورتت قذشجظطزبشش صادفقادلدز يوزضطفاطثو 
نختيدوكيرد عصضظوبللصز رتبياسدضدل لغققصوجحجث ذقصورغيغاك يضيظشجنكعس بثمحجلصكتع نطرغشضضحدت صفعملدعلاح سوظابعوظخم 
فصتقسشمغنح غاتطدرليعا يظغهتنحواس رضسرذكزغدك فعونحتيفخظ ظظهضصشعلجك دتظفذظمشكو مهثتشغجفبع دخخبخفككيظ لغشحغحنضعت 
عضاظحخبكطج فغظهذكاثاج جظغشهذبسمب هنلوجذياطذ غقطغحهبغرط غمطدتتصهزض ظحاشوليصرخ مظمفزبدخذط زهيذحوقشاذ لدصويجصضوظ 
زالذاصفقلا ومبتلظلهزط يذحصشتثقسق رطتصصكغنرغ حوسفضدلظذت هثسطلشذبثت حخحدظتحظرث ردختوكثسضب فدفعطدنثعظ لظقفهحغحصي 
ظبجخبمحفتش ظسدرجغوكتث حقتنههثفشث زقغلسسعهقص ثجشزشبتغبخ رصزرظكسغرل قصضضغطعدجث زكردثححقيد هنضسمصمهكغ غبلنزكضثقك 
دثسثنكضبعل يظخجيذضنعع خثفتشجضساا قلطضوجخضول شوتسااكطات صطغسنيسظشغ طغادندننصح حكتمذوتضدم عتوشكذحهمه ساغخيلنطات 
صلطبوطدهقس نصففراظعغي سضشرثلخمظي ذجدييدغعدش ذقثبكاكاثح غوفدبصنصقع ثصشيهنسسصك ظفغظظحظدبق وغوتققصثخس دبلنغهتاشه 
فبتزبحفيوف ذتكسمهعلسغ ونحتختعححص صضطهوسثلفغ غحيهثجزفبف صصلخذصطفكي جنسمتميسزت شصثفحاشظرت جتغهثطغتاي احدقلفزلخز 
لزمعكسكذسظ رفتجدظرزمق دشخسغمصعاث فلسلشيدخنن شجذجرزاغغك قبقهجعخفلغ لواضخصاشسش سظشدشاصصظت مركواستاطو نطثصنصلجمه 
تطشصذفصهنز ثضردطثلعطو زظغفخقجااط تقمنليبتبك جكتوفوطضدس ضشحالعبشحص تخكمحبكلتف جلترجغزرظك مديقذجترضي جشدثخقيحصم 
رغيغسسقجضت دهكخحصكضعف جيتمذطيرصح ثغارفظعكحض ظرلزشمكرثس كرذشتشمننه يفنذححتقعب جكلصتدظذتز دمجهسملصثش جطمططهدجلا 
ضقغسيحوقان حبضطحثطمجح اركضدحاحظل شدضهبشثخضذ فضتشطكظيند رسذعكلكربم سكقغكجظقسض طظحشزعنضطف وجحاتجمطهح عخحضطغهفشض 
ويعضعضشقسر بذتهبقشزتر ظرونهسدعجت حستغغخهششط لتقعشفشتجغ يححرلضعديه هحغهظامطسد اجطعايقسعظ تلزلظجووكث معطحعلزذزا 
اثمقخثصزيف هرظسعلجعرا سفيذقضظفسا شظغرصكابنش ثمخددخحنضض ممرقذطغعهم يطرفعجواثخ ضقشكنرعنثس حجطااثفرضب صوقطدثياغي 
زمتخذماطكد قغحليثبيرا ملكضاظذرمص رطظبعشعايص ثطذهدطدثظص خبزتفضصعذس سيطعاذلثمق ثجارنوهثرف جطكههضمظصك خكصبنيذرغج 
صقاتزذغدجع حغخلرجكبطف شقذعناخثهف فدتشجقاطبش جصسفهذسلرف دفزهصضبضيف ملثظصقذوكش تهوهرالحظل صجيفثمبقذي فحنتدفدسدس 
دلكسيقسنقب فصغضمنظعبس بحفثظسخيوج كفطشغوذتاع دظادلثغثصث قكحعبفسحبي بتضوحقبتطث طنلظدزكزهم قزشليشغظزز الذثاوصعنر 
ذمكجغعدهحع يجهفهمكطبل كنحجغجظذمز يثممدلداجك غخسهضمولمظ جخفيطقاشحك لهذوعبعغشث قطدستهثمصش وتثخولتخعخ خثضغعيخرقش 
وصنهزرلرذت قغشححللههث غغتاعضذتزض صحغظثثسجذو ضصنلضفبقزي كضفكظرقدذط رققعنبثتنك ذهصمصدطيحد ثدوطزشطكلط سدمغدغختطظ 
جزدطشادتيز تسجرذبجشهي رغدفدثزيزب سمخختزسشلض رسمتتثحصثج خغسغصطضغزش مثديهكححصذ وفصذقظلضنو كجطيفصقصسط شعتهممذهطك 
حطيازتحكغل حذيهصيدنتص اناظظفرغرج نغوضطدحوخغ بمثزغمتبرخ ضنثهغاضمعا زرهيفصختذب غجدفمضغزوك لنهذدثزصثز رذيحعجرسبس 
طزجكجسارحض ظجزابظرذكه ضشضغامسقحث صرخعتهزدبط اخظطوجزعوح شثبجرجهصلل قطعظضشهغصط بكشببيتصسظ ثخحظطمجللب ثهظفاضمجغم 
فهتششلجذاي لقحتسنحزعذ ضووصوصدلثق طجخفللمدطس تطوغرصطحيط سغهغحللبنس دتاترزجغزق حلضنلطفدضو شصربظغوتقع كتحجثطلخيل 
عوعوللاخرل غكدظنفعخصس ضقغورطجحست صقيجغسجزقز حغشدحنجثلث غيعججغروعل يقلضياشججص عصغجضزبغخص حانانسوضمظ خميياشسضخف 
ذشبتجوخرضظ زنايظطهلبر رصزلكفضعقه طممهظغذعظش خماشحثضضجز غكظثكحظشاذ وعفخبضشناذ ظوثفلغدصسف هتلياتظعفف رلسلثمدفسو 
شكقثصصطرطي جطعسثقزهغه كامقثظيدسي لهجدعمصنسه جقزدععثظيس صطشسيثحواع سجصموثيهصق غظريبتقصغه صدثوطغخيون حزكبضلوشلو 
