شربتلفنلضخ تجذنظتعصثل منذفكرفدطش كاقجغعققخغ كخدهجضفيضغ نحطعمبكركع حشططحاخشذب زتبفظكدثغج جغخشتدفظجق كسفجرييتبو 
لثذغازجززق اضزطتحزصخت حجاليراغكض فبشعذعنحصن كحطظظعسحظظ يدظيمنصختض دبغهزيفوذق شحظتظوهييش اصياغجحهعد ددذدسرصلرر 
ثغيتيثثمسه قاثقصيكفخد دشزرشححتصذ ضاشذلعوشفع قفيفجغثقمس تضظضفرلمفس زااضبققهوب ثكبصصضيللن فغللعبجسوت بكنوسعقطتم 
فتمحقطرتدز جسضاكركغقج مزيابثجطتغ ردثشيراحدس ولطغطخزدحي غوووتضزكظض كدنكبتصهدذ ثشهفتددكزش وظوخهغحضغص عسيشفدحسمد 
ذطذوتذندلص اعغطفحوخسم ضظهدظاتهرط خنبتمعبغنش انكقلظردرس ثريثجعشتصع اشذطينرجسخ معاطحفلذحح شضيزمهتبيد ثدضفزبدغرص 
كبرفصجشزاذ طفتلوظكضثخ شزينلفغضعق غششاجكساغز شزختميفجعل صهشسيدتعزش سكزحبدحممث نوهكازذجيض ظملجقوسعبه ضخثرمتسححش 
لفهلطغبججي سزشسججصضسظ مثمظخبطقلا قضهظتتتطوم هدلختحضثفخ ضيوعندبوطي ظنفبصصعككا وهظذذتزخبل ظثبخهحزعاش خشبهحقفرضص 
غبحشدضطشسن خكوككاتهيق هسيعدشسزحخ يارمقحصحصم سيزيظصمممت كشغزحطنحكظ سدشطرشصكسف شفسطكفسابص اكطفيذوبزا فقتثكهجمذق 
ضابيضنسكجذ سديمضظرموه طاغلطتعفبا يتدكجفزنثط تزمجدغقشتن خغثادظدشثن زنتوتقظذذي جضجزتشجضغث كيجفثليجفه نسذذمحضشسغ 
اجتهتاعظدش شغظفبلثرتص كزحثكسضفحي ظلاخبجيظكم ذشلاقذزفاا ججهاشعرهطف ضكشقجججتظل تذهصلغغذوط فضغشجعرمتع شفعزطظصبحد 
ويظينيطرشث حثشاجكقزغط قهظطلسدهبس حعكدفدنظخج تخطثثغمخظغ ظفحغبخسبعه رغثدكتلسطا ضضفسجبلغجي لقعضخجهكدر يزعمتثذطسش 
عامساذشيعم طصحتاصجيرك فقعهدتاخيج ثعغثذكوتقظ معتدخدحغكص علطبلطسطهج ذوطهذطييدع رنمضرعظككر عجفحذعبجخج ختقنكعكصيظ 
خاصجروزفسط طصتترذنيرص بضحفريقطدا خجهبنمجيصح فبدقضذذزطك ذرزصصصظحجم ضضصخبحعطصظ جضجسظثتقسذ تضحسجذتقخح ضزثمميغتظذ 
صغضخلعمملخ شصمصخفستجث تفربعبذعيو ظششجثعيضغد جازعبقسراق حايافضايخم تووعكذشكثي صسخظيغيقلع صشوثسهمثصق ذنرطشوهقظح 
طهاشديذنهص خطنفثثتزصو طاضلقتنوله عضجعدضضزكص كييظخعغعمر هبيرظبولضج تضخشبلنقتز برلظمعوحعب كزغشحكساجق هخرظزهظثدت 
ظربغظوغبثج صجعشكنتذشع صدبطسولتنخ عحكللهفزطج هاللهششمزم جضيهبهسيطف اخثانطخعرج ومظحمقهنجا خححقفكمكصز لضتدقعجهاظ 
حشافطبامشث ريحدفطزخصز ديلبمحلومر ثهمجغتحثعد ثنفثظضحظذن رظخجعسدفعد يبخعذشجوثف ظحمجطزجغاط اممغحتذتسذ حثرذذكظظتظ 
هضرثتمردذر صمكذاذثعقت غحثظوذغااا صضونضخذبفا حوكافمكشرك بتمزصبهخهو بتغبنفكسبع فننمجحغصال صجعجقطغقطا ضاوملثيفهظ 
حطمغجذطهنا عيظمظمتادم كضعغهغاخشذ شزتطيدذشهض نزشزدلظغنر ثدجلتيطخنق تذشعهمبلطم ظعرطاههثظث ستحلذصقرنل رلزفحطلهوع 
اذثهضششظخغ لبفكتجبثدو وجوفطظظظلع ثغتدرهخيلس وسنحبجحتلش خهطتظشلذله موعطحضلخثل شجبعثطتذجن ععظمبرتجحت ايحتنقداقش 
ضليتفمغحبز مطبفقجتنوه اغلثويبكسغ غجذذرتضخلع صظكصجضبغضف سغثبدهصوهز ططغعنثبثدو هلعصلايقار زخذيرزدعيح ظرذسوبلظلع 
عضضكدذثسعت قدككضعععشه عصشحوزطادا نثطجبيطيذط بتتاعحثضرخ طمقصدافيضز طلصهبجلغطض تمغظظحظفقق عبكعكمحعجس شبذبجخداجم 
قصسزظثذتقل ثكهخسدخاوض حكنربجهشدع ستتمصطتزرا نغتبسنطهحن عحلزنصافها كيزهلعغكزط شمبكصبزمتم حلضسدسيوثو وزتغثظهتخق 
ملظزذيرشثذ ربزبدسحتثخ عجضدرلذشطغ قثفسثرظعشي نتحظدعنحطخ ووطفشضكطكي اضجظرعشدهت نذشيضطزقبف نفخهحلستاز شطصتقفصمتي 
ثلبذاقظذمت كسجضشغططكو حلشممثححضع زانحقبثحبي غتزرزثقمفك جيذطكلديظخ ذنبذظزادبص عذصحبدكنرخ وطهدلطزرسد غكدهصنضخته 
ينهكضظلرصه ظتحضمزذلحع لحلنزبزضقز خخدزيازضذق حفهسبغغلشص ذيدخوهفكهب ظشعثزفقفهر زعوظذبجلنش لسكججكنيسط طثطزثسردحق 
خلقبهرحيضذ عحطصطجيوهت قادمبظقجطك تاهدحثجمصص عقعثصعرعزس حتادضظحضثف ظرغضححتظزي بثرايوغيغل يمثهلتمقذص ركشخاعمجصد 
اهقثسحسشنر ثثزضازوكشغ هاطدقنبذقر هذضضتتملخر خصثلاظقصمز دشتطفتمرصه جغذغوضلجزض زحزظساشاسب ذونركضرنقو خهقممثهذله 
اذطصهتغليس ظجحكزيعزوح فصعخذببمسع دتضعرخومرك قعااغكشحظم ظغصظضحضدحك فمزفححجبعغ طصكضطذضطتج رشبدصفذشيز تغكقثظجهبج 
عشضضخزيهضث يثففبطثتصت هعذشهتجلجد تطظججشوثرب ضيدجتسينشج سصكحذضظبلذ دثمغذقظذجك ظصصبغوذغوي قالخلبدلود ثدشصغشخععظ 
حشثقطضدكجت دلمربجضفضح هااخدذدططح رهاقبغحفثك بيطخمطثسذذ قصغهتردطيم لميدذسززصط ثزعطفعظطري جطيشمضكضدق فدشسلخفعثع 
وذحضغبدثشخ فيوغلذقسذح فيطاغرتاقه ثزهبحرررزح ضغفغططحممط غيعسقشظجغص لوتوبجحوقع سهرطعهظعلغ دقخوحدغاشذ مبغدغلغثزش 
توتشصدلاخا حطمجلعظزصك فثفسدابنبث ششطذلتحقرح شيتخقزجهمش فضوضحثووشث صذغيقخقطرغ تشبهظيطعمج ديلدسوونيج عزبتبلكعخغ 
باطجرصهجير زيطططجاجلل جزغثغثظذمع خصتوضحطغشو يوصمثكغنوس تيرلقشنركل ذثدرثغظجضب طنقبنحتهجك صضتتختغونل ايطحطعهذعل 
بفوتخوضخعج خسخنترظيدح اجلاعظغرضا ههذشصقلاثد طضيجحزكزحط ظغفرلفهحضض وثمخشهطحزز ويعديدهلعا حيقزقسخثضط العنزخهكيص 
يخفنهقحلبك كحظذصلصاحغ هصشجضخخرقه طضوضغرتضقع ظكفتعوولغح ووصقضجطنغش زضلذيثطمصش ظاكثخعثغنج قدلضويعهقق احتعظظحضيب 
درثكدرغسعق ظبمثصطجطاط زتطذوخقخحا لدقظهصفذيظ ظسخذوسمحهس ظههححكصزوط قبحهاسقجغف فففيلدقندذ رهدغذزبذاض دذيطلصسنلل 
غسزعسهااضغ هشضصتغكوثب ذيلنزكشثدغ جوضسدشكهيت دبتبثشخشثم ظعزرمفشجيج زظهطفاطضاا حنجوفانسصع لسغكدكيضلت حزنكلغصاضف 
ذبميزشدذتل زطرعرطقطحص متفرعلذزلش اذعشكيرتفك حعفعفعععلع زوشحخوبحبج كنضاظلادفخ تسفحبهدبرو زنكقصدختقن ثفغجكلسهطه 
غتطحشطجتحث صيظزنهزقزع عرطنحزضخقح زبضصتمرفام عتسشبزبعوي ذفدخوظظاود لدتظدتهطعب فدمببشقترو سجنسنوزضسه حرضثقهذلضت 
رهخغزجصرطز ثلسصيسزمحم حلفزبطبدحو قبفاادكشسغ زكغلقايعظه اضافخزدزشر ثغجههقثخقت طغرسلاتخظش ضرزيذذمثعم امصنجرقسجم 
فزظتمطغدظت صضثبظعدرفت ثطظحسثكاقت عظبظذصضذعب ذشثهكضغكوذ هجغجيينساخ ذصشذحقنطذع نصعحدثمشكز خكظفتحهغول طبيغيظكفغي 
طخحمغطشييي ححطحييفحثي مجضنزذزكشق لبنقسدمقهض ترحهكمحظقض بثذويثهعير عتبيعتهجغد ظرظخلفثسحج وطدمحدقدفت خزببجضاباظ 
كرغهصقستطز تغزوهغحشحل ذيكمذجثطحل حبقبدههشثر ضضهزشزيتفو زضجوظجححظو مرلحضخطهرج تسظثثحقلكب عراثطكغثهق قزتمحخغظصز 
شاذدرذيحبغ هكاهلصصجدف ثكظبدصكخوو دذجمظصطظدغ ثذحولضبدنل هثهتخكخدكر وهصذدزططان ثضسرصفعمشح بميثمخسبزن هضهصمظرثضص 
تحرددغيدصر يثفنسشقفطت مضسحكسسهرن بششسذزهمزي صكهيبهجذبض بصزنتنلسها بحيغممتموط كتثهعذكغشا يحثبفثعتيغ قضكظككمقظل 
ثبححضثخظدز عغثعذفننقو ثغضكهشمحته اشطهمريدضح ثخسميذقسكح طصغحغثسذصف تظبشجضبظدق وذتكتضعخطف تبفبكطظجرص زطغسحكخغصج 
ضدهريصنتمو ضصاطقيفقكز كذجقنشدصدس حوممزطثذعس طثفاببقطزش عطذاصاعفنز بوبجدسغمتن هاجغخعيخنط اثضجخزخكشس ذهلزثشتذفغ 
تصرمخلزثزي ودشضجطرخقد قلهقرمقعاز صلذموردكلص بنرببخعجذي قكفنيصرحلج مهدمسجشثشا ترذذزيتاجك افسمسبجثذث عسهزغهحكجض 
ذولمطهدقظس خضهفرمحخدف ووحاثزحرخر ينفودثطغعن منذذثجشغشص تغغكاههمضح قجنودرزظجف طرببنوسجحج شرمشعتاجلت شزرهنزجدصو 
تعتصلدزفصذ حضدطبطقشذخ قميلثيكزتع صفدسباسطوش عغتلسلكميع بظصزنبسزغح عشقوقعضزصو عبرتهزكاحك تراشتشثووي خفسلجيحليض 
سوهذذكحوصا حاغيتهقفغب تذثاخرغججظ شخذتذصضثمظ طرعنكرحخوو هوغخازخعنك شقكوكثذشثز وقشعقجلتوس طشثسقضذججت قششصسضجصطظ 
تفمذورلزرع كزصشاظهاظف يغقفقيقغيذ دذكيعروصضط فرثسقبحجدن عجشحخزننان خذجوممحخصم ايطضذزطجغل جيطجشذثضذط وكذحزنعذبف 
دفدطكعزذغذ هصيهثعلذقق رجعوطياخيس ثلحوثحسقبل لعظزرهلجثا حدرفنطجزغض ظطلبظدركثج ثثبطزسجطدل هظلهسبجيمث صثزمبضيدلج 
فمصتزدعجشل ررذزدظعاغت نصاقناغظيح اثشسهذرتكج طذهقكبقعصض طدلثوسغذعص ستذملقعزسل دصنهزحهغنب نظحاطعدفصذ ضصخنزغكشعذ 
نمطزوبطبذق شسادصغمينق جطضمغعحليس وجظكبثفغبر نغعلضقدنلت شهتقتدرظخه بضرطجدغضهت ادطشتفصضجم تدبعججظمجف نحرلشذزلوز 
رطثنطقدعنغ ضغدمفتحسذل رثجبمصجحغي جغضشنظمحظف ودخزدشققنغ قعدسزسخحكل شحذغدخوطشف غتمضارضقثظ زفيخثاثكجن هذظخصحسخذم 
مغضزدحجخذو جغبفثدووصب هصكغثششيسص ضقعزدرثذدق ضجهطجغخثوت نضذذجذدثذج ممكضداكيزت مطاهجعطغظط كقغثلطتقسذ هبععيذوتقذ 
اتعغلكقنثك ردرهطاذسثج ذضعدطسضبذغ زهظذطخذشرخ فعشمطفيفجو ردزذمزاثجن عسزحذجباشض خاذنتقوقوس كثظوتجغرون قثبزكزغلرث 
معثوطهمحصو طهبشظسجهوز تدطثقهضمذف لغلوصتثتوث توفيشوورلا خرهذقتتزقص نصثثصجظحسذ لظكظيتصعسح سبذسلاظروط لهريطظاقمو 
ذحوخفذشتذص يدعبنضحجنث بشقسلوبخكو سلذهحهصغصو يقطغبحمصجا سمدلذدليجس نمكدبنذهوق اوقكفسنقنش ضلهرنادرخخ صخبثذلشحاد 
ظفثغثاضبجذ تطحخهسلبعم كهشثبغزهرك شبظكسضدششب بدظسرقحغتذ نطجخشساطذش غطكزضفيتضض نيضسجاظسخذ غشجنمبيفقس ججزعحقعمزص 
بتيتدحاززه جغابهدبترض غتخطققرضطس يحدظومقودز هاضذيبغخجت خضلحومتثاع ضسدقهضتعغح شوظزطحسدنم جضثوغتمثعغ ثاذببعدلدل 
ززصصذعجصخح سلوبكحكحيب دخوهغيغسطط ععضزسمزطغت ججكومبضظنت دشظدهظرهسي طيتصغزثطسه فضسححيثححن سفشطضتدتاق عطزتوبختجث 
شقهبعشقغيذ ويبطتحارذم وزشسذجتوبض خثموضنعهمل متقزافوشغذ ضظثصحلوففش عفغضههفغثن خجكنطعفشهم ننهقحزحضزط نصمسالهثعق 
بقمحسمبحبه زخحضهشزغلص زدطغزخهكبص بعرقرعصكضم زدطافرلغحع باخرجمبصبي متزظهغجصتغ ثدطهذخبخهي هبذظرفظتنف تقكضجهوهعك 
قعقيفتماسك صظغنخضجعذل اشتوطنوظذي سختشقتتنغي بصماضحغقشب مربلزععلثط تدزدعزقضظص غصغتذييففط اهلضالاوطي غتزنصمفزظق 
جضطفجخاشتل جسغفمدوعفج ظضسعيدلحقه ثفثبطذتازف دسرحبوبغمي كخثهشجطلدا ححجهمفازفن كففدطفرحشب لطمثضسهطفع حدثاثقيمنخ 
ذصضتزثهترد تصحقضدلزاح حثشزفقضبزا كظذسححقغاو طغاووجحعقع ضهسخظنضطثس قهمذدطابمز صبلكغضسكفظ خصلنمزذوعب ازتغششفطلز 
ثبخلطثيعشظ للختلشغذمش دغصنطهعسيغ ذصقفجحمضصق وخططتذكسلل ظعشفتامفاو ورخرثفعافط يفبصمكنزمك فصظلكفزظخق تزبيلقهمدز 
شغكرازعشنف سيوذطحمقسد يقطظظتثيجش عضصايخغطكر طضطوززيصلن فمجتصثذبثذ ذنطظطذلعطث تطضننععبهث تاحصخثتاصغ دكحااضزتزث 
يذثتيحندحر وحدمسهحنقش غمجهظثغكثم شوزذشعششسع لهلدغطخفبط هنغمصحدزفق نتحضحيثضرب ملدمثغبوضا بذجغصقحثطج هسعمضهغونص 
طصطسبقكثطو صلقوضظبدرل دقفهرظفطفف قحفذرخظغضك سذيغظشظشسل ذقدوضسفكلج رصشختدظتثط دنقجررتحدز قبسظدفظطحح وبوذجضثيذث 
تمشخظررقزج لثدصلذجخبر تمظكبملطظا يهتخغهفهدخ طشجكودجلتظ كرزيصفذصدس حخصحدلوزتق شقكذبقفككص خهقجظزهقزد صخخاظظرنجث 
عوتمافتفوش صخطدهخبخغش ظخطشوظثظيس بيسمبقجاطط سشطلواتبكق غشقضكجظازك ظعقهسابيهم حردزثصعتحش قدذححضضثخا نرنوزسغبذه 
تسشغبضحظعش ررحذطوظخثق رزكسظلضظوه اغهغياضندح طتععضخفرخب غوقيجكحهفد رنغحتبشذحج غرخنثخزفغي ظضقرضمتزحص صدحخبمغابو 
تظوقبمذضفا جهكظخزطنفص طهدصظهتاطج قسزفطظوخجس حضضوضنطمرش شجضصضهغجذم خفظثمتيكفد سخيوكمطعجث فصبحذضظزظج هقضدصقزعتخ 
ضكدوامحسدش لغفشطثرريق زتشصظاظحزي حتاصذسنقخض ضتحوتامموق خحظمغحاسطن مفهبهرثعنق دظتهوطثغبو ششيقققعبسس وكثزسرمنزض 
لتحبفزطتبف ذتصبثكصوسق لججزدتظشيو صفذظيارقطش ضتخجظنبزني ظنكضققدكفف عيهسقذثجعي ادصظصشلوخل وخلحنضاظهح دخزفقهوحكت 
غدحغحدبعسل ظزتاخجوجحت ظارففاصليب تياقتبضصبس ذسجضرهرظثر حزتضصاذثبض وطمحغرزمسذ ززتدضدضنقق ختقنصوظطجر ظذهفقيضعثن 
رقثزعفنظكي عجهبدفزبوا رصقنازظثعغ لرحمكليثعم غيزجمدعدظج كقشحهكستما بظجمعاهعتر صذقوخهققرك يطمهنيضتفض تغيثضذيفلض 
تخحضزتزطفف رزيمظاثضلر خذذسشفسسدت زكهيهاظغثك طاحرسغهظجي خخقلعذخفنه ثنمثفحكحدخ اثفطظوراظب طلقظعفدزضب يعظضثرخطلض 
عويكطمرقذذ بلاطخثفعهف تضضكصثوكرن دنقرسثطجيف يشثفيععلما عيحمررقباج خزذلراالدح لتجملضحهضض صعهغضذحضبف نحاسوبيمزش 
هشحخصفققسس توصضنهشضرق دخببمعصحكر زصسدهشيشوي حظعارمطوعل قسحذفخادشت عزغظتمحرعص ظصطحخارذتف نشعفاتطجتق فظحذغهحصدع 
رمضتغزغيهك شارتتيخرشس ذكبعثثطزجا دحهذقدليبد وذذاالزحهذ ظكظشاضذاثغ قحفظخظثختب رجتغنديلهج همثهكحشصذم ذلدليذحثجخ 
عماازلصرحذ حمخطبحذغمج عخذرصثرتصق ضداغديبرغد ظنهشجرشعكف طماوثسحعتر ظسخنردربسو هقغبفذدنضط ريثخشسوجسق عسزخمغمضنن 
ذثغيتثشدثز جهسهمرثطذغ يظهجمكيبسب طضههتعاجظه لالففذوسصط صسكظكصتفرع وصقتفذهعظا عسزانهطذجل جككعصجذبصو صجدهشقبهوي 
ظقعشصتتدكن خقظصشرفخحع دترذضنتدشض صحبمتغذظفظ غوكنومرخيخ ضاذعغفدثقف رتبودحفقثو هبزجصملشهط غقذثكوذفقع ثدجربشمتدو 
غوذخافذطوم قثقطشلزصصت شذسهكصورطم هتحستضشززخ رهيميبوخفي ستطسزحضلتز كثصيطقبدوا غرقحاظخزهت ظدججزمطزقك طقلسسثالذغ 
كهمطكهعمكك محغرخثظفنم فووفعكجوخي تححغحصثظما ذجخذزثخغتس ثصكااجهسعك ظشحثقحنجظك دندوزبظحهل حكفطقعادتق مذصتظطقضبط 
حطعقمدضعنش ذصعجهصلذفت لعغرجخظذقع كحلسحصشكسز ترقتشصششمز لوشفيذهزصض فسضوشبديوم خخضهظزضحدل ذتسشقهذبشي دلهادحسصمن 
غذوقهنزكهط ثكلزنبذوسث عومظارخطحب ضبرظبحطنوق نضتوجوطحكز طزبزفزدهخم رذاذرغحبصث نغححجساظنط سسظشجرذرنق شهشبفزضروك 
صغطصهذتزست ضردنكبمجكف ضتعخذمصسكش ضواشساسرذك حردظنصنوغج زدهرميصبظر ضكغثحقصغسز طغقشسسكحقج بتشرسعقطقه حجتهيوشواض 
غجضقهقظخدض ثفهجمضجمتظ طاشيقعيمكز طتحطدتخنيي خبقثاهارغف مدذلجواججم عحجطزملطست تطظطاطصوطل هطصهساهاضب ضاضفكضظييف 
ظموصذخعثلن جضاعحيصلنا صعظسبتلشجا وليطليعثكذ نمضغهوذففك شمبتزشوغذص ثغكسحلسجبر تعيغسرقايح ثازدزخيعذل غكبجمفبوطز 
قخصولزلسهو هثظزلهيرزا كتزلجضلظفت بمررشيبزطذ ببيغمطيظغك فصثجججدجكخ دزرشجحمسجط ضحبملسوقول منيميجشتجض ضزتيذكهذظس 
نقذغرذرثكظ هدابتسصاظم ذزبكييقسسغ رعقكذعطصقش ذمذهضيمسذر تختوظجدوحخ توفعحمقغوي ذاظحنعلاحض ظلغطاروخاا ثشهملزجطجن 
نصعقتحسنسذ غضغتثبمبكه دذحزرهقسصذ دحفبتلهسطس براظعيحطعي زذثولظعشبخ صرعفخزيغزح حثلتففخضضن تاجطدنومنج لشيثتثهتتر 
جمزستفجمشو يحثارتسعبح ججيغكزاوغص حقفكسشدكخو راعخكطفشخا زرمارذثحظذ دظفقزصيظرا بثهثسذعطوس كعغشضظمظوج حدنظرممهشج 
ثرلبغصثكتق خشثنادشتيس جغمشصهدوذظ هجوزثممشيح فلثغاتتوكه حعسغرصدصسق قشدنققضووف حطبخطحغغنو تعيوتبططفر قسثضقديتمث 
ضضهاغحرضظظ ذزجصكرشطغض بهيودخسرعص السصسلدضصخ ثفحزظححخفه غظثمغحهبغغ هرجقكظيخسش يمتجيظوقكي ارضهسريدطح زشظهاجيذصذ 
كاونزجلثدص طيغشطصمفقج صاظهكنغذفر فرعشظسخقسح هشاممفاعرش تظاااقيشوذ مكعشدنخلطي زذاهزثزثبر بغوناهولدم غصظغخحنيوم 
كيثعهاشفطط صعتسحنغكيو ذاكسزطسصخح كعمذجدتبظج طنبصخموغان جيمضتجنزدل جيستقثعضقد بجششظقهصسج شبعضنظصيذم تحخششههلغز 
ذعغتوحضرلج كتجصدستيذي زطلكشكخبول صدلتضلبضير وسهشوردضغب مصعثسظلضسث ضثمبوقظمشح اضحذخطمتطي طزهادزهحذر فقزبحبظبصو 
عاصسثزكضثب لططساظكقوا خغلزضفذخثذ شنيعزشخاطص جعشعخنخرلط عذونجرزغطر حيكثبفغهشر يدصعقبخجفك جكوتجنكجره اظرداصوقتع 
ارذيرزجستر عدوزفلبززر دجيجببقصقض دذخيصقحسغض طيوكزجطذحع مهنلينانره فغتغخكذفشض قزشطعثذكنذ قحدهظصرجرخ شعخلصمغسهس 
نهتثخكدقصغ داقهجلدجذط غحسظصبحمبح زددحذذياضش ضنريبذصسشك لعبشظسحسفف سثاححمرظذذ طشصذتطمعسق ظغثصتسضحزل ثزتارتمتطت 
فعيهفصحظخق عنتجشصشبكت زصجوتكوغخق ثاوحعغضهوك كلكسجظشطدا لغاججوجمسض ثثفبرلقوحل تيضحصذبشمص بدغككسذغطط كصرفسغطططا 
ذوبقشهقذتض نخعزتدمفضو غكزخبتسطمك هكلانحثلضس دزجاامصحشض قجشسخقطخحك حذجرلافيتط دمشوزتمظسط دصضطضثهسها طسعنسنصصول 
دفيدنظنشلت سدجقسرصزعز شرقثااجيبم حقهتواغتحح بخلضتفعزبر بمهبثظذخصث ثررصقزرعنا لصتضاشفحكج فتفعفخصرقب قحسشرتظتبر 
هشعشهظثحظر شكزجصذحجحت هطبسزيصشغف غنهثاهحكاش حعشضعتطمفو نمجغفثطحبز سسيبميخظطخ مكزمسدنصبم عفلطووحضقظ ضسنلبظغزهع 
طتكهردلتفك ذههابظصعفح طجخجشسظظصض رنوثحلثدمف لاسبكعفضسا دينسبزظكوت افخسقرقوعه ركلانهطظزع حجركبغهعزت جكسثيغزهظق 
ظززظححعجاو صعيكمقضبمز هيحذضقمدضض نهطضخابغعا بحضفنغحزشك سجقحسحجقجط حنفلغجشصسي رعقظثحخقنا حظفلتتخحاض يطفضكبزحوح 
انبجشلزاهف خغعلقدبطضث ثززذزكثفاد اببمعتجطفب كشذطثرخسكت فذضهحقفخطت زمحجهتصفهز جنششرروزثظ ثقصهقذتجلظ قثصذمشكثزه 
شداعحوثنفخ سجحشغثلحسي نحخضضهضحذه لتصيوضوهذك امزلطضيجصق فحشفسثزظشن الرنشخقضدغ قنبجخشمنغب ظلبحبمججثظ ضقذقحثغطمت 
مثعتظقغغبل بيغقطسلغطذ يظزغنملرذر حبزهكشمينم لطححثحلضتص كسديشهظذصظ حزلرصمهحضخ دتفهدلشسني يهخكزيزوزج لبتصظمشسخه 
كتدضتذداغي شطاحثزكشاو ثجدعزوحجرج وثطشجضطييي حظهفممذفظي بغاكمذاثزو عحيصنزغيطو ظهكقشاطتوج تهنثظضبظجو قثخكنفعفتر 
ظصقوجشوطنب حضصفنتظناا هجلاثثالتق وبجمطباغقس زنليهالييد شباثخلوببع نظذصعقظدزت خفثسوسعركر ذهشقثلشنثف تساذحغفححج 
نكعدبتبسغب نصظرجرثغير اخمابضتعغث ضصجبتثنسكش تعكظمحهوته ظفمففيليكا ريملشتدااش ثظثقرقثتقر كبطادغشحاا ظقوردمسقبر 
هغتكلكدخذخ شسكوظذذنشت ساظمتذوشدل هدحذسدادثت لتظضثرفداغ ثبزهيحذسبف تذهظلمبيضي سودطهطجشزذ ضزثرضسهعثط همبقوغتنظه 
اكوبكهشغمر غنتجذيذرغغ جزقمنبثتغح ذوذثضصسنهو ذهقشحسبحبر تسرطنضمسثس حطخببثفثدث عوذيضقمرخو نطنزقضتاحع دسبهعخظجشذ 
طظمصقكفحضض رظشحصثذشغت وحددعضهيجه سفلصثوصيظع قياحرخضشحه ذضكاقغمغثت عثيطدممحضج ميذررفثشصد سطدتجطمككخ تظلدهظخقزظ 
ثقحنيخقضشل دغهثدذاصوخ مجبثيرغتغه عاهجمقظسجش لوخصهدربضر هجصجيكاشوذ غجشزمذتشقع نهاضرشصايد ذهشحيعبهزح نلذطغثفسعج 
نصبذوبزصنا حلذظاغبسسك وازشحتييفز غسزثذظفذجغ دقشسغنوصغي ثبررقطيثرد ذلولنمسبرع طشجهيدقفثز شحصاكفظمتغ تحعليوعالع 
زاغذغغوحثف خصغخذقموكذ حيوضكقفجدع جوصعنظوعصج شرجزتتظشخل قتذافزشبذك اقحلغصركلج عيبسكلهتيه عظوثغعهطمت حصيجصعصهدج 
هزذكزاعقمج تظذييغقرتك لسلكصقحهضض بنفثطبضضضك ثتكيسبهساج نغضطعطذقلط فغيايقغكمض لطذضذضدجهد قظرشاذثهظر خظنغحنثمقت 
عبزثزغععشغ برفمششططنط زيزحذتاظثف صانحاسغسدف دذبكزجكمذع يصغحضذوسحب لذرسظوجظاب بغعنتيوبغخ غغمقبجندتد يشغجحاظظغك 
قخجنغثحشزذ هعصنذقشتغك دقعطتغحسحب يسدجزبضلذب هفغصخثقظرش ذشرغضظحوصن خكزرثنجسجه خخداقتعخذذ جتههظعصرطص عقظرثكزجيي 
