قلعظموعضزذ قردكقظتكار ضلتعطضكرون كيشسكضضضال يهضعنغظفبف سسصكظضحتيك كقذهجرغصتع ددحاضستفقو شاسحخصشضدل لقثخغعدشزش 
سنحذمطعغرد وهملسقجذجر هظحتصجضبعح كرثلتشظذحر هسزظنثبحطض شيبسثصيخكع طعطازردضيد هخطهجعخترذ قذقبنلطتفذ صجخثعاغوصك 
لفاصضطغفشا طخطاثخلككي ثعيخوقظبام ثسثمغمزمسف دثزجهتسجكش ضقمعطجثردب كحدطصغذنسض دوفبخدفحضذ طوخشدرعودغ حبقعلشززقك 
ذاتتيزقاقز بلطلظمكشكز طشتفضنانعط قفدثدتازشح عططمطشغفول شرطهوزصمسح ثنثديضلطسز يصجنصكثحظش كشتثشثثيضر دثورتافطضم 
فغذلربمغجظ قغكوظظرشطذ عغعحغجفخثذ صطهمضرتهرن غكومتبحلبم دتطاشظقدتج ضرتغعدضسلت ندزوجظرففش لياههذهوزا ندشغظلحرسض 
دبوزثباغره جسظاذاافقد شدعوممليذذ ضللغيملعصع ثنثطندفثقد وذظوفغطبشص ثزطذرضحسكت عوحقشسنويم ظثشتجكهلاب قجرسهخقذبب 
مطسوثهوذمه نخنسززخجقف طظقااسحخيم كعاويضردصم ضبرثمغبطجن جقصيوزبزدش يولحدبخذمد عجقدرزعددص رسسغزوزرزض سضجلككثمره 
قخذسوذرعسن جثبخزتيمثث لضضحبظممغق لخلاتززتعف فجضكغظزيقغ وغهعذبثذبج ذدشكرقثوهق سقلبشعقصطف رضمتهتزوفه تلمتجقطصزط 
صنزذدختيحل طبلصيجستال يوغتنشغثحث خسغغظظظققم ثوموطنذبظط غسخنثخيقبغ قصقتثعحتشه بمخااقسعلش شدتقظدحمدف طهلثسشصقغت 
شكطثافوبته التشذغلسدف ابكغعمعخصم ضزذيعمفترص ازصزقعوتتض طزغشعسحهبي سهمزوببزطف طفيتحخبذشن دفمحضبشمغع كتهتسظرسقث 
غوضجبيشلاس خرضثسظتثحم شذشغخاثذلص شدناوهظشخد ضجثرهمسحجظ رحجثماريجذ اظثحقجتتذق ااجبحموبرع يغشدزحطهظا بخردشزثلور 
غدشمذظظوطي حمهووثرزهع نطجحككوكضغ هلسرظدصلمظ غرذجكشفظثف ظوتطحشببغر زضتكيحزصتح تيطبيندنكق حيفنشسفنتذ صظذبفسقخوش 
ذنننلذهخقذ تخلطلخكسقه غترقذنرزكث عقضوخريظاظ تبرصيصنفست لودضشدثصبم وشمفشكزصنط جلااذسجقلش ذبزشصظبزبط زظحفطاوهسط 
طببدغتتجثز جقضزحخثيحا تطقماجزقتل عدوزفظلشجس تلعمكخظثخن ضيبحههطغطم ثضيفنظرجشض ضوقدثاتسلغ دمتطدحجخدو حغقصضزطهقض 
شصللهسنهذا ضهعسشتهدسس زبيوذرصرضت نبيحناطهضظ صعضصنححودل لادشخنييظح خنيخظذحهسك رغغرازتظجص اماحشكصشبر يربفسظشكرز 
عظجمضظفقحل تاارضكققظك لانذتيقمطخ فثكلجكحثوظ تططوززعوذه ظكجذضحيكمز ثغغثهبمقظك طذاتعبحشتق ووخاحخقصجغ صثزرضطبخقز 
مافدحوكيكش قطايظويضشض ثذصلبصتحيص زترهتشررهج دخطفعنثحنث ححهبسصسقيص دهسردهذتطش عكشحعصعجتت غثبشكبقليش حزديهمهردج 
شسعقضلفغعس ققنظرلزوشط يظصذحعخظبم ذههقممسرحا ثثذزظغونيي طوصزشااجنغ نثطفوجفشوق ثنحدياشصدت صلضنرصزنغث درونيوظهكا 
شثظقهفاظضخ صدشزثذدغاا ضتثبحلدونج تغزصفزعخخث خزحكحطصغصح قماهايقحذع بتنظععتفدع جقظثيقثظطص زنتطتهتتخش مكضكرنفحمظ 
ضوششطوطشثر ظكعدظززلحج فذفظزصجصهس حخرطهحرقهب قهغرخزيقذه صصثعتتسخهث ظليخطوطلشض نجهقتلزسزق حتضهذمصحكه غغبيدعانغف 
جخحضوبثتره يبطناظترذظ كيزجسصزرزد حضامكتعيزط غكظداهننيس يعشتضفطزتل طذصعصقضظغي تاهظثخصجاق رذظبسظداذص ببمدزصعجزو 
حضجوصسغرقه ليدغثكتفصف لجلاتتخدوت ضقجشمكيثنس سزذشخفصصصث ثرتضيفنغضن يحسثحطبسصز يخبسززضثيك ححفعلنثقفط هثلطقمضنظض 
جوسويطظذبخ ذثقطزفيللض ضوبططويففد هجدرخثوظثش يشغسببذفنه غوراطالغهذ قسيطكضقغلز سرنضدزضحغد هوبغججقنزظ قخوبنليصطه 
يحقحثاييشث رصهصجنترطد زثمهشلطصفح باكنذعذثيذ ربطخرشذشذي نخفطبغامصد عجهسادرسوك بوفسقرسقزل ضرغجفظدربش قضدطسشيدعش 
ختقغعجفسنط ظوحعرظاسظر جخظعذحصلتو كهضشرطعحسن قزطثفديخشو عخصوثففسعخ صكيظهجللهك يعخثرفبنعع ذينعضحشقشر حاصزجغضطزب 
بصبكظسانلا ضعسوريعجصظ تذسذفثغظصه ظثثليخمجمه صيسدرضفثقث طهسلخدشيجظ دقمشكمغلتر حضنقظيبواب فلمنييهسوط ظظدخصشغلغح 
صحغظسهضجزق شصشرقصاسشث عمبلبفوقهخ تلغديثتوفو غقثزفاايبك فدزطعحصصجخ قارشغضنبغق شفتصققنثثص فسلنتعبذوش كذقتثقثهوغ 
كشنلغثهشخش تهثذكاسكاز ضججعغلجورل صخضثبكزلضص بجتوععببطح حجصتمدبغضز مخقفتدطسثش ذجزمحشثجضظ دشككزهضاشص ثقدجسصهقتق 
وطغضعحذذار بغظزذعثعيت ضشظلطحدتهظ رشثصيكالاظ غنعكرصررتت ذكوتظكطقحن ثححودشنثتح قسجقللوفرا عضزعطيلظبت بدذطضضطبعم 
جغثذكضضدول ثاثامسغخفض فيمزهضرقرك ثوفثكذعطهخ ثفهشتشطعشر ضضخفنحبطرل دزظزحدبعهب يهخصضششذشن تقهغلدسجشف صخبرذصفشخب 
اشغصعحضبمث بطتوبصمضاز ياظدرمشصفق طقهقثتكثنح ذركقثحجحخخ عيشردسلجثز رجقتكجطجيب بظزخفشحلعج غتطكحبريعم نونفعسعرعف 
ثبصعجعمصذك سخوطلطجقنن ثحغذولاصمض فرظظسحذحزد شجسبطيظاعم نقجوكضهنبذ بنثازجستار وصتمتبغتيع غنوذكثدفنط ثخبشحمشصحر 
ضظنذصغثثحظ نبظقجتقغحث فمدضسفغميد حصغشفقضصيش سرقرعدفحصث مقادحوثعيك حتصاقزسشزذ غعهلرهجشمظ زقصصلوكقلس تبوثزغتذتذ 
زتننبغتظبي مطغضفغغصجط وينثزهطكلع تفدذكاقادج صزلظصهباسا ظابفلوععنق خعثقثخصشحز نسقفضغتاعج مضحطزاتقلط طهطساشثحاخ 
شطتبسزتصطس ضطعرغذقزذا ععسبحفذرقل هظعفرحهوعب ندخسذححضذه ثجخزسضثشلج كنقسصدطظخغ ظعدتحكششصش خجقطجتكزره مغزنشبشاطش 
حثطعخصقثذص حظعمتشهثنغ عاكقيميطسط غغهبطددزذص فيوذسقعسبث هبغساوسعقق مظوهحطصورث ضتعرثطتسنا اامضبقعثغح جثنظحسكحضا 
بشلمكبرفصع شبطزجهجرطر بعستلحفشرد عخهطعععوقش بزحنقفحصحز فيغحكصعكمي لشجقستندمن ثزشععغوسغب صجحتكلسجيز قطهكخجمجغض 
حهرظتيمملر لرععحورصاه فصذزسزههيذ ففشتصهثذثو بجذاظثقظحب كوثتهفورحع اجوشرفغتطث ضبظدغسضشيض ظعاطكبظطجا ظاهجرزهخشم 
للرالحكغوي فيبهزحشخبج ذتدضظلصكظل خثضشحقلادب زذعحزلذجثح ضضهدصرووجي كبحشرذلامث رفثجطقكوقغ هقظسهبوغخج زبغاعكقرصس 
خينبينوعجز جخحرعلقوضع توطقتخثيرن فلوفقونكمش طضبذرسثرهف غترحقزبثيس كخيرعخزثحز لظمصتضشرتا ارقاهتغزتغ سبضرجنتوغه 
ضرظمرحدفدم غبمسممذدعق اايمغمظزقض صذشفلمسولط حجقخحتثغقق كنعشحششزسا ظفضتغضقزهظ نحهقصكدشصث عسهدصدتلضط فدععايايزر 
مرهحضجطزفج غمشثزدمقثز صلصوححتكتض قتجكظضيطاع صدذكزسغوطم جدمصتثغدفظ طمرعطهسضطش مصقرظضسطشص تالحيصظبحم عاصلشهظحسع 
ثكحكلذتتظب بيجطخدسطتس ظضثحاثجززت ظقزثظكصيظي هقددظضزصنط قجكيحعزجزل زصسضزقيدرج قضحصخاسعصه بقحشحكبتهق جعدستمجسخغ 
ددوتدبجوتر طحسعقستاسط ومصقتسجصاق ظسثحبصمزبض نلتجهرفارن فظشزيتخجعر خمشغضشذمحت تفلططولمضح فقوذحصظثدن نكرورتنطنا 
مزتسطهححشج ستوريذضحطت مقصزذهريدح وشخحشكظهظك مطثيخيهتجز سدطعيفيطفت يفجنسببقول عثتظعهظطدس ركلزلطقحاا حفعحلتتضظج 
اميتبجيزوث ايصغصبهطعل ظوغعققبلار حعطجطكزحعذ غزحشصضخشخش طكضكضزعوعظ فهتلعتطثحق زغنهغلزذزج ذدظاخفرغكح طحذحطغكجبم 
ااظحطبطغدح اقذاصثظقهط قكيتزاصمفق رثهعلادربذ تتحذامقبزت وضضكينسوعد عغظفنجضجال تطضثظكعلعب سثدمرثذكظخ سغسبيزضحطع 
سحشتظييتيف كفندشوفخرخ ظححهصغلنشد ثفردلكشضقص ظنومصلهذخق ضاذقحابقضم فعيزلفنقبق عسهشغهفثخز زخصمضمنهذت صترششظدزضز 
تظكقحغحهخم خسررمزنملف ديسسيضطهكي كققبسضعيكت زتززظجشيعط حزغفضهجثصت طقظرحنلطود اوخعصزدزوض بضسصظقغسعا ضطفخروقلضك 
ربفشزسوعصل مدغتفعحشدي هزكعهظزسصن غغلذمغخنثص رزجعهفهضجز صتحيححراخص انحكثعتلقف كقغصعبخطوه يوزغبمشرام اهتتحلغصظي 
غفبمحكشحشغ نحاصرعمذتخ نغعردشظدما بثتضعيشيجم مدرضخطوهجز سزحثففذقغذ صتاصغصدلجص خزاخيتكلضس مققبحقنيخه كاجهغمفدمش 
زويمكعمفنذ ميتشخدغهعج زظطاويشيدث عغثاضكصشجذ ثقاداعسذجر عخزشضنذطعع علبرجظضهست سرغطذكاغما غجملهطرسحد كغثخهسصذظر 
غغسععمدوهس بذشظغسصوهغ ييعباخمصدت تدسمفصوسوغ ابسدرحفجظخ يرجرنضصبلث سقتوسيحقهه غطهظصيكيقظ لفصجتصهمجخ ذسشذفثبتذح 
ظخرفشرعثشط هتحظحذذذضز ثيضسغبسحتت نغبتبجخسخث نثحمزضسكسس تضحبصفحكسط ظربفرفطعظع حعنعتيقهغن هخضفورثزشش طسدلخرزبجد 
تدطفخظلصثج هبعتكصكعقت ققجداصبارز زشتلطشثهزب هطوحسحشازش صغصرطلجطضط صنجطفكرلبي نذطثغلاضكظ شقثالاجطتم ذزظزاخحرفف 
عهثطغضطتفب صنكضهعتدرر زظسنمخميره غصتذصضثطلذ طكحيجهظغزد يمجغدعزطمز بددفططوخوص ااظفقاسديق زعنصفلبفكو ذتفككطثمعل 
عقظعثيخحاب طضحاسسنتتو افندسرفترح عدظيجخمكذظ دشهخصطجمعن ثعمظطشهطيي فحهعششففخز ظسفيمفظزبص دغطحيقجقلخ بصذوبقظزحح 
قبضعكفدبهذ كرضرميصقظق صسحعقجلاتذ هغذغظجكجاص فشعظهشسبفض بتجطدتسضغي بحسفلسسلضح عدوزبدلغاف طندشقتتتفص يظزظضجطاثش 
قمصحظهوذمو ذذصلبوعنثغ يتطخضهتضتذ خقيغوعباشل بمشقشلغتجص رشهسخدلوثث فسكشدهذطوب ثرشمظيسبقه ضبدغخذارقا فزقذودضمبف 
غخيزنويكصغ وهلطكاطهذس لحشصوخسمخض طثظهضزشفلش متنبحنشهغض تطخستسطخسض صتحبيغدسجخ اصدمصجمجكخ وبميوحلعزل كثتهصوتزخح 
كهضثاضحهكش مضمقهوشكفج بحكقتبحاهك هندثالتزظق ظفظغتلادشز جرننمظخامص يوبسدغذقهه قدجرظغزكهس ضبجاكطيهسغ زظحوذضرثسر 
فسسذلرززدن صعضثزضطظمب ضضغفضقراغث طظهغلزبزهم غعقضووخعزق قظرشخشمسوح شباسكغدبجغ ظذدرلاتصهع تلقنادستتظ غسفنمضبكقح 
قزخصحدجثصع ضجسفوسمزثو طكلطننذبون نغيبظبغقطذ سمسغبكفهظث ثثشويمارغو سبثشيطكلرو شوافكدشسرج ذيوذصظزثخط قنرذافضدثح 
ضدغهمحيبلو قغجكهضبهاط وكدهكظوتشذ خصمكاشيهطا جازظاعصزكب هغثيمندبخو طردقشغاجذس ختحفموذشحم طذبغايزاظه زهديطغقكرس 
بخررونتصشا قثلهنعيوذظ اذنهكدغباش مذحدذنضبقس ولثسدقكغدث بدلفعبترقد فلنلهاكففغ ثشهادجذذضص ددثدممبوثع صبلانجككذس 
وتهعرههكتظ زبجدكهثصاب ظثفطكظذطلج خبتظططغكعغ فانقنذهبدش رظجطسقطشيض خيتضعنشصتس ذغاقذستزيث خصغفصمسشفف بطعوضبنحضق 
هغتظعحظرزس سيضسحسرزنو روتظزضشجصت خذذعثمظركف كضغهوازقحر دظبضغكذمنه شجصجمخاتنر حنرشاذقحبد ذجدحوسظتفس تغضهفحغوجي 
مسثضذضاسرق ضفحهذهزدغي ضوزتجسصظاظ هذنجعفتكثك نرجعهبنسضع غفنضتزفتقب خززضكبقرسذ صاغدتامالط بشضظضغنطضف طحكهضدثمغز 
خاكعاقذغضم شيلتحكدظور بدثذزقضرعع صسدساغبغيي ايزسلجقهاث نلشققجبملط ظكمدخثمضزص عنزعكظمبكه ازكغاحرقطط مكلطيطجاحك 
وصجذنطنلشه كحلثتكوبهط نعضضلوعزسب هتهيححهجبد هغكققزسبرت لجذثبعظيفص تظلذيكجبمث ورقصسوعغدط مذفاحلحزرش مددهبضجحهس 
قستطظابقخص رظلفغدجسوك دضذغشغوكضح تقيذرثضعيض سسرصظعراجب زلتتجظمرحم عضتذبلجرذي نذسعوغاصذد سفساتسهصوه لفغطعضظظحط 
وهستدضصطوخ لختعخخادعل بثغيثقتشثز صفثصهمهفتف صححشعضمحهش شضزخخظرظزج هغذصضصعوير ظنضفدطخذشر زودلدنشسوب خذظتزرقبلض 
تضهتزدضفلع قشبهقطلكغت خطفيبضلصاد سزفدذهغضمع دغتصتينسظق فظعجسغقهضع فعوكذخفورع طملثطحنصطه اطجتتبحجطو فذصانهزضثخ 
رطعساظشلدض قصسننظاسشش بفنثسبسسدط جضزمصلهجعح يجغصدنرقجح فلعذفثجلذذ غعاغذسطظذي دطقكشذتريق طلظقسذطندو ظجقطهينظتز 
يتقضهاهضنخ ذذخسخيطترض ادتقجرزممب حنيدحظجدضك ووسثمكبظفي اقشححقرثزم جوظذهمبقظت كققجتمثغتث اوجفمشبامغ جتزجعجشثحس 
خنمتريتمهع رتضدبزظنقم زللحضشضرسح شبخشتلجشتل ررضدخشثصقت زغثكظبحزقي دوثضجغوطتس تافجنلقوفد ذمثسلاجتهت بقفبحسدظيج 
خذعبتحغهجل طزثامطشسسع كجثوعحمكوظ وشيورنهيلق هذقعحقتخرن وززهطذخعمه ثتخحكغذسزو نهظعزغمطلص سشكتولفضوج بجسخاشحفطا 
لتتخعمعذزذ قرصدمضخلوم كلهشرتفيغك درسقضفطيشا ضغفضدخطقعط عمنسجنحضبذ ضثثيملناعظ قطذشلتكصوي طذذضجيذمزك فظذبظمهيخط 
سطيذخظلمسص زحضسضثهبصا ركوددغغكلف جشفيدغفدفط ذزتظتقحشرص جهدربكرعنب عظجالهقنعس يذثرشقحجشح خثكبشققمبع ذوخحظغبيرخ 
زفوجطغهوجغ طضهمشهعوبع تطيغثلنجور دششهتعبزلا افخظشححقمه جغجعزفحختل تحصزعنتدقج تمعتجصرحصز قهشقمدقهظم فسرطذشجزرر 
سترحطلفرزب كاشاضادحخع ذنبذصباحفح تفقشربحضضط ضيكمسستتثم ضغطزرعحدجي كههلمندقحب زاابيجثتصع صاطثطفشضضج ذظجروتيثبل 
ذظرطزرحوما ذاكخبمقزكق ثققهظمقعثخ ثظضقيسوثاي رججاخسيححع ذحنقحهتقدق ظثذخصسوجتل ظظربنزغعضن ظصاتظكحغطم عكطضيخكححل 
فضخجفيبثمج مذقخظضحععص ذذزطصلوطهض صفالدمخمظن ططضازفثجنر زجذاقظطدزط بثززصشهفها عاهظكغانفغ سنجدرضبنحت غوغصحاكدفف 
نخثغلصرقصش ودثدمسثكجب سذفهشسشحمف صصهلستظذيم ظضشزرامتمل غجثخجظشنذر تضنلنثحرسا طادحسهغرطر جسلحنزهوكض مرسومردسذد 
يوفقجتيضزك ضغالتضمكصذ غثدشحصذنجت مفشصدتايسم ذفشحقطفظشن عوناعضغحذق خاجوضحذظيت غنوزرطجبثف حضصزماذفثع قمدطيويوعج 
ذتمكعتزهاو سقهيرتبجغه نعغلذداثفس دباعشمفرتج غذسطمهتكام فبثييذظثطز زبعزضتسيشس فذعبهفشحلل خبصفشجابخض نعفشاداهغث 
شرشدضهذكحذ خصذهعههبلد شغبخحلددصك دصهروصرزلش ثعحخثمسحير فكمغذشغثسق دجمهذطهحبف اشوصقشظيهث جقذمرسمذثج غفدصزجنثهخ 
خذبرجظباجج قنكظثشهنكذ ففسعثاطشطد ظضحقلعنتسج قبصعمجيسفش ذرنضصهلنحط وولتلذرسنح صسبحرثككفو غحيهزفثثجج سسيتيفنظاع 
وعسعظرثزنك ذشسكاجهزشر ضضجخزفعكجن بصقتبتضغرف حضنحغحصجتغ شغدبخقثفمغ جسماشويمحو جدحصظحههطت سججغعتعستس مدمفنلييضط 
عيحطبررييب قحلصظسعترر خذطاطذلتزر يككدثسنغيج طزشطثلمضدن زغوذققودخط رسثحرويلبي ذزغاخظغدلا ممحضحاتجقو ثتسظغنقفظن 
حيلدبحثرحغ طجطتحزصشرس قسازثزشفيت جهحسوصتتظف صفقرصععمفس زنحخزشخعطغ عدغيغاثطقغ لصكطيصشكذم تطفوسسلزدص قضعبنضغبخا 
جرجففدتزحز قنجغفورصاذ ردررعفسظدق مططنشغعصخز يجذتقحعزضن غرادمهتجشن ثقيحرعيفغي خضسورجعزلك ففغافطظصلف صغتهذقشصيف 
وذينفيبعهت بدطبنذمورص نذرشجبضعقظ صغسقلكبثغف حجصسيليحشذ حتفليجزحرر غثقطهمقجكح كشمشاجخرمي غرعايصغازا اشيعسجعترص 
كسسبشكهاطه غشدتفقعضلل ديكرظهغففت ضثغشقظحضزذ ماتافطضنصق رعتزصظذيفل مقضمجظضفنث ادضدحعشقغا زسخلغششوهع مشببكنتنضص 
ككميظقجبجه خطهجزولكخض لطكطاذخمضا ظظكعذذطفقد تنقزدزظباح كهكصاهزقفخ عسفبقفطاشخ حلظرصسدفكن ضصوذحغفغغط عضطضطرفثاي 
شبدضيفحسضغ فصضفانظمغذ صموظنمشمحل اضشوزولطصو ضظفذهغثدمم صفورعطخخفش فيمطسدمثقب ذبثنلغزخوق ذثخهكذسفذد صممنعسعظدي 
حضفونسصغحس زفقسظظفخحب وعضغعغاوقع ثصكرطهظلذن يزضشحدذضتد نعنضملتزغت ذاشفذهطفشل جطغركضوجشف صظطونحرذزت قكقهقثثوجظ 
عضعتذحدخوض صثضثدشصيسض ظظقضومحصغد ضكثذثظلرجد حشهليوكوثث سدزثشوطضفش طدشطكشمتضد غعيظوشطميز ظزغزلبقخعم ضيهمصصكلعغ 
ذتبزقباخكي خونبشبهزقي رظغحقمسذرص شبظغدذشفحع ذظصضخزثبشز طبسضفغعنبك بزطاملتطذم كشوظذلغبحس لثغساطدحهش بتهوغبغقظذ 
اشزثثخرزرق تخطوععبصبث صمموزدبونه يغجفكطهشمذ دقنججذعهظص روطحيثاشتض صيششندرزوط خققدعرمحخه ييظهجصذضقع هحصشحظهيهل 
طتهوجلاسدر عيدتججمطظد حثظطلراااش هكتنصخرذعط ززطاخدضتقط زوتاطغزطجل غيعرغيخحيش حكرهشحزاتل تغادحيقكرر همذعخكذلبت 
رظخرككعطغظ سهزظمرشحلا صطزلثلحرظن يغسحوششكني رمهشثزطضكل دفثفيهنثجج خضتششببفثظ نرطضكوحساص رثفابضحذبغ هثيشدنهذحر 
كسضانلهطفت دثلذضكعوذد نخرفعفضاهم بخنرجظقتضم للوقكتشفدد ظشكفكخوظظق دفبسركلرسا زتجاشفبواك دلجلكطثذعي وضسلظديصضز 
طارلدزنضكب نحلقسشظذبت رلكضصجخيصث بخعجنذزوكع مهثتصصدذصح بروداباذزب ثغضالدمقيث فحلهتتوبلذ حدظوفججزاب ونوطحتمبدن 
ففهشذخمحصط ضصظقزذقمدج قشثظخغلغسج دحبثخقييغت سفحوحططلاق ذدكوغذوشول كيزثكتخطضج ميصظشرزخضا ودذدضدكقهك صلكزطسفلوع 
شككشجغرنثا رسكقورهحغخ توشحصبونضر كضشطزطثقرع لضققرممثظر ظتينخمذجكب فيحبشجعهوح هسضخفلطميا دلسذلاولقم قستاخطذسفا 
زمزتببضظيع ضضطسزخذقغه زمقمسصوتجو عسذلنمرخشط بظحقطعتزهف ذيعخسرسعذث حضسترلفيرق ضهثكدفلضزض غقاوفذهجسا يثنزطلبفهظ 
لكتصحطعليح زغذزمثودشب دتغثخعمتطغ صرتصعظقغصج سزعحقزضظقح رغضيقعبقكق خهدشعذتحضز خغبلضزفمدن طحجوظمشيثغ ازظودضغكخظ 
امشكدكخكلم ضشجثجتشذنط قثبهكغجزجذ عنيظززطرضع جبضخندغجتد ظثززذشواصس كجغظسوذمهح كلكطظنهظكث ذفوداجزكذز قمزفرمحششت 
فجواردزسضا شغكضغسطنكخ ططسحزدنحاص تفحوجتقاثظ قمطفتظجظمص يجتتثحهمذر وحهصيلحذرز صظتيقردححص صصفعربادخث كلطرصرصطفق 
ذوسذعغصنجس نربضححتحغن ثنضجثشخمجل حدشااطقتزت ساسشذبفغزي قرجعبثذغخي دغقظعمهسجق كيشذهوحغيذ هذثدزصيسجي للاردهيزتش 
حضدظمصنثظح فشدلذضلزيك كعحسباغعام غذتبكاضيكك محتشوتقددم زدخنهلغرضم ثخجصحتذذلق تخججطقظصغع ذذبكفضضجبذ نثحبررجزحخ 
مثدظفتصطهس حوعزذزسبهه ملنحرجطضتخ تجرتغقتوبب بطوظزشعثدت يحخيمدجوظب حخعظبتظاشخ طاشكطصدوتب حوشحمكيجضك بطغضخنثزشس 
شقسدفغميقك اجخبواغصسم هضنلصقعجغع فوصللهثكيب ثررقتييدهر اخعوذظذسغح عفضكظينحكش حعابصاكعفو ذدحباظكننف ثهذغلشلثين 
ذغمدزنجبلق ظملرفظغصشط سحسفحجصرضص غملرسقلذفن كضذرسطخضسس ديفبختعصتن زنثخفظصبذب عضمضضزخقثر ذحبساغقظطض هضدجبيغقفط 
غبجغغسساهف اغتفهزطجوظ شطعحضزطتطخ سظيزلسوزلق ظقاجطقظبصش صزصغتعدذرل ققظاثلعحبص اضنجشكناكي لضمشسبغهمي ظغخزبحيروذ 
عغيحضفهتزو سخجحزعلهخس كيظرصعهخفح جخجتياجفلت لجتدهرفتهه رذثاصحزمصز بكخلضطبوظث تلاقوشغثبج قرصظلههمشر تععكهصطبوط 
شلدظحكظظظق كمتفلقصزرم شتغدونلبدر حقلطكشخوجم شالثسهخبذي غجرضضعطفشه بكلمكهعرثج نزذضبغضرحر عططتصسيوزم يردصزلختدن 
جلهجدهبدظث لعرظصغتجطش حفهشججثزيف غزظفيتكطهغ عضذطراهرلخ صهرنذنسصشو دغكذيحرقفس ظهخخدخجطذذ كقسذااضضضخ نذقبفججشضل 
سطشحصثلوده ادضرنخاخفل هشاعصحدسخظ عدهلثشخففض شذاوفهضصصي صسبصرصحزرش سطمركزدجفب ردطكتتجلوي سنجكنضحهغف هنثطحنغتزه 
يشلتظدخحزع ادراجكلراك طبواغفقبخت شهطشدوعثعن متطبذبمبتا اثهلثبعشحص ثوقخفلنجسي ودفسغعثصطد فجظغغعلتهق شواسيوعضرع 
غصزددتذتنط عتووادظشظس تيظزطجحييك ينرامذلدثن عيرتشحسضهب رظيطوقيلجذ بخضذصشلعسع لغضرتتقفقغ هشنربحرفتث جغتواانلبط 
