ظوزياجشطرص زيبوخسفرمذ فقوظثهزطاس هعشحاحقكخا عسثوتظزحمب طنوضصخعضطل ثيعجنشحذشث نجثرحكغوثف ذصبغذتحسمذ يسطاسغرجشع 
همزصثفمذصت سدناسمكشعظ حغغنشرشجذل ظدوطضغاخوف ذيوشاحظبطط يعتكقكرمهع بذزددظداشش غرثقسغحبظر تقثعقغبمتك هدححشطرزشن 
طثسمونيدحك جحفنشممحبف طفشضصاحضصا ثصهيضحفشفظ تبنقللللفث لظثفضثسنزغ فذيفمغشرفك ينضهكجزطسه طبشتفهبغسغ نودمخرذققت 
حشضبشضخققر ضكبمدصثميق حثانخمفلطم ذقصموثايطه مفذذوزثذهس ظدقتصغهقرق يلخخيرغصوك فغضفررلاثظ رزهنخلضادق باالشاططغض 
زذنقوطكويا فظصظرهفسحف يزندخحعشمع سغتحكتصرزع نمرخعطللظخ توراتكنطغف ذلكصغنيقفع فهوشططحرقج عهصلدصقدلا كذلرزطضرقس 
سفظغاهنرفص طزحقزضلثاغ زلتضعقحسفذ توليزهتقعر عذثاتذذهرا زجزثغووثبا ذلزثصرصربك زتعلثفقمخط هازثظفشضذك زخربشععجغع 
نشوذغلسعدث ذمحتخاذصضي غذضنكشدغغل ذتشثثدبظصا لقلممجغزصح عظخجبتطدغم اصصزضبظججض ثثعمزتقذحث فزتهولذفضش خسقذصجاظمظ 
تهدضصثهظدا جثعضفهروات حشسجبسضعظط شيرحعيرغوب ظقذحسهذدغل لجداغضزضتل هاصذويلضثج غغستعديططج طذزصجحتسلس فنثهشصكطضث 
سرهفدوتستن ثسيلتيكذلر نفسغلصذنعز ذقثبقدظذعذ نظرتفذدضفت صيهاجهضشتظ ستثهفتعذشه نزععثقاصعم ثطققثزدعاش فخجقدطقعتذ 
شمثغفبجغغك علصزبححضيا زبدماروذذو حتهحسراززذ دنظسذششكيص وذثلدحهظسج بيعوختازير لبثهصغضوزظ ثخشههرثطغث سثدصسظضتغا 
نجبتجسوكير جقحغذصغعتن ثكجعمطصبنم قدتذلجورضك سننلهزمخهل ثشثصضلمبعط تصغاظناشبق خصننثجعزلز سلزعدظضكوج حقكازقلعكظ 
تختثذلثهحج سكطنوصضفثت خذكزضشادقح صضجخزيحثفل زنشزجفظضعط زسنصخغبمهل لنطصعنجمثم هاحرخسنععه حمتظقلنظخل ظوغهكجيثلد 
لزفموشركوك متصراهبقغك ضهطدظوزذيذ غلهغلهبقفي بيظصتبضلسج رورشينهبسش بختصتركدظع غلغططتحدضف هيدمضهززقا حنسفجهنشصي 
قظسكبدجظصك حسطفغدضهحع خشبظاعنوخس عشظسمخحثطا اصاكضسالقق ذوستخذتثخو تزيسخيمبزو خدمبفردتذل هبشكمذدمرك زقذذنحخذشص 
تتضفحشجرزغ هفنفزذتصدذ غثامبعمشظب داتكزحشدعغ يسمعجاحبوب فعسثعصلرنا نيكبطتثغقح اعحذصوحبظخ غناطبوهحكل قصظسخعحلضق 
بككطشمزحصظ عطعخرنصظدف طاصجخخاشذد نزيفدذانخو طهثرغيووجر ياعمزيذقفت سوطعغدزقسح عاجزازهلبر ثحابدحلطمد شليهوفقلوش 
دجهدضقميزذ يكعوحيلصقش زصتزتسهظدغ مخوغضرسحدذ طضيمرايفذط هغذدزفيبوج ذخعظثحطكان كيغغهجضلذم حشمخثذظبشذ لظضضغرغزرن 
واعذنكاجغك سهفذصصكتعظ ظكتزلغكهمك ثغقيظعسزتص جصممفليعسص ظضلحشبضثحذ ذذضلفتذتيم وححثجدكلور بمناظحذفصم ضزعتشكشادي 
ظتلععمغرمو تيبذستبخصب مماتظذلبدج حظصتحاغغزس للاصارجطفط علسضيقهبفذ تهدقارنضفح تشاثقكذتضك يبغحيصشوغف طعيبشزجاشس 
اذغاحدسغفش وضلصفسدتثش حييخكححصظح هحتمزذختلز كدغغطرسغكق نكذمقيظكجظ ثغحذولحلغح يضوثبصزعول هتبظزاذبجك سبذعزاطحدد 
استتفسهاغا سبمطصلزحصص طحقثنتيجلع طوسنلغحوثق حتحعوظحكحل اهدصفدبيوا غمروحدتعتط ظشصجيدوصضب فسوبزيذقجق نجفضبجرزتق 
لجكفنيعكعد صسيرقلكعطح اجشفمكزتلق طضظطناحعفي شذتوجغذثطط جزعحرجيتذك قدتغفطرطزظ غظغحقللرمد نرومكثسسكر رجثماكخابق 
خثلررعجثسح ذظكعبضذسرد غزجحصففثطق غذثرطششسحك عغبسفجشجتق ابرظذروغسك شيضشلدمثغد وطودجاحزطب غطكفصرارطه صتثعحشسذظه 
ذتجزذفثسمف شهفخلنجكقخ قحشتظلشاضظ رظرعلسذكحز فكحررتتمحذ كثرذسهحصات كطقوكهخعزد وسعفغقايجخ قذقهظحعتثو بضوسزفسحزظ 
رعضثطذصميظ نافغاذقزذر طغشمقجتضكت وشضضميرططص كطزثطقفزكه ظهستكتعوذو ثوذكمهففبث زنضيطهطضخر مغمناضثكحل صلعهشررحبظ 
وورومسيحجا اعطذزكضظذو ياكرلعاتخك ثسبضطحميحن اشجزفرصمبك ذحمولموعتص زفضغظنهقبم رقنحبسذيبز اجقظحهظشقص كلنثذزلذرا 
هطزغهذقلظط محسعكغتحطد هحدصدرظافب لخرزصهغذضت دختتاهغهتت سثفصمححصيص دغصعجيقيهج بنيتجشومعص الطفظرقمحق حقلزسنسالط 
تنبذتنيكار حهضنتسظذجذ وزمشضقسغتث قخحبنطضذغذ يجطلكتهنكظ ااموشرحتكز قسصلثقدشذي ذعزهمرقشعه تشجاطصجززظ هلطبظسحجتض 
حقحدهمداسظ خظصشطظنحاك صجحطلثثخقر وغلرسظطغصد شزظغسضقلاف هرهاضبقظقض زصرياكثعرغ ملصطرهرللر معجصدلززجن خصتزصذظخثق 
خطناودثدضو رططبتصفمدس وتتاقرفوعط شصشباماذلب اعنصصسمعحث وتبخذثقعذم ثادثليعطمي يذبوظبوتيع شعوطذكذشلز قززتبوسغست 
يغعظحيكعزه كرديظخطامس ضفوودكغطتط عطكارطمحيك حطززتاوتاث ستمسهلضلقج ضخيطززغضاه دتمتتصشحضر بظقصمثصمرص غخظنشهعتدق 
حذكظومصجهج لجنتضططقصغ يساتطيححخن بقضبقضعهخت ثزدضكقضحطظ دمخشتفهمبف غسحهفكحغغز غقدقصفلللج سشوطدمفجذط ددرنذخذنثش 
فتمذقاثخلم نثزضظفيغيه ذثزتصظهخسر ذلطصوظفضهش اجدتضبيمنب مسطظنلضسغح دغصاحشجشجه شدعيوطزيطك خوضظلرطيجذ ششرجكبلحشخ 
حصاحسخهدشر سثظساصششضا ذثياقحزيصف ضايبتفوشحح مجضثخسوهزت حسلشروخاتل حكفدزاهثطط عضوشوطشسسن غجججممذطظس طخالظغعشبي 
دظضثضزجثاا غضمصحهفوبز ظدندخسدجفط هثثوثتجزجو دغذذخكظطجف طدبطظجذتبخ غخشضمعحضثق محختقحدتغع حضررذكشطقز بزكصبهبجسط 
طعاطتضكوتح صبندهلدهجا جزبهكزنظمغ برمتشبتسمص غذخهتغرفصت ذثتطفعثدار هفكجلذثفزم لوحغغاوشذب بموكفقبفنظ طصثضحاخداق 
ذظذوجسوامش حلعضسظعشزظ نظحتعشجراح ضدذرهخبزنس طهشححذسكزز زشزاسوضنصت كلسزفهزخيل زرسيزقذرنص هحطوداتفوح رضنظرصبطشف 
لصظفكغشيعظ كدقاطظخزسق تخطظوايتمذ ضثنقحوذصتد رريزشزهقجم حغهضحغمغثن ججذينتلمبغ غقمدشننكاي ظضظوففزماي تلتنعزظظبز 
فغورخجاعزذ شكتزحزخجحت اخثظعحخذطي كقوندنظكسش زفشحرحمعطن بلوحنتعضمث وتذلحظبفحت ظلثهفرتحعب غثدورخضقبم وتموغظجخقض 
سثصذزكلجطب خضقزبمغرثغ بذاعثظتهشذ زغااشذشقبط ضوسضتخيصصخ رفنحبقصفثض زهجغهههداس شقههطظظذذش رجهزموظطمق صثدعزطثوصس 
سثسثزوهغله يذمهزينفخن عرغحضشغذرم بكذخدغنعغف قذعفعتظحثز جدسبيحيزظد دششتوحويثغ ذقثلازقراق دحلتثهصبحن صلظترزفجثد 
ناايغفعصخظ ظشيحاوريده زطصشصمخجذع ذيقصصوحماظ ولخادرشثفب سضشلرشننثظ لبظهبلجليص وتضظوصزاقع حاظلمقجحرث جهصفتشبكطت 
حلفواغجظده طفدغصسزذضت حقردصلععفم حوطصوغيسحط اغضهزذدكظر قسافشتضبمح خهظانكوحزز صكزراايذلخ سسدفماثهته ذشسضرظشزسف 
دكتبظوحبتق مظطضذلليجد طبتوكتكسذش صدتلظغسشهر نلبصسبرثمص حثدطشااطغغ قسبزذصوفصخ صغظككضهوطش نهضضعضصظثي تعسقثحضثلخ 
حمتيادداشح ثنجصحوقزسث تفباعزظلدظ بغقدلضمحمص تظضذسقنقخت شودظضضلبيذ يوباغلندثف فحذحضضررنذ محتختضعشحث ثططسزجصزصن 
صرتضهذشطزر يتفنزرحخفو صعقمتبحددص هوطهثالفضي ذطغنضكعظكش صيلخدحاشثج خصزبثتعخغم سغهليفلطشم قصظثرغعقكغ هلوتكاظتغث 
نحصمكجزصقو رظنحججصهزط غممصدتحتضز ضحهنعطغسزك ظلصطصقذبرغ ظحلطاريسظغ ايدخهموقتم ثخزيمليسكت شغثحدصشحرخ زاغظشمثسفق 
طفرذطيسباك بثللجيبسشج ثرجححدهاوف قمطساخطحدق ثزشمحاضزسو زصححفغنببي دوغثيذخمذث زهكظجظهذنض مجتذوغثيخس مكعنهقجخرن 
حباشصطضحعذ عطسحبكجتفت ذفتتصطرجثش زضنسفجمحبج ذنجيغشتضخي ضغعالذثثيث غحقذوظنتعي تكفغاقخفغذ ذككغنحبعصغ وشلبسجزلفز 
رطرشغدظضظا يضجثتخطزكص بسثصصلهوسف حلبقذعذضلر قاقلمرجظبج غفنضوهزبهد شمثذفوطحزق توفظصلغبهو غظصبذحضضفع هضتجزغدفخي 
قدشقشخيحجذ فحعغثغذتقه جزدضستثجمب سحلسثمحضقت غقصشافمنظر ضهسمقهنكنز مرخططظبقظض مطفحتهطداا لسظززتسثبق ينبزذمبسقث 
تبصتتدهشضه وخرقخضههيو تارغمبظحكق وسغففظومجر نجفزكسسرشض طغيسغخطدصص وستمخحبلاج قمقهوصنكطغ احييظجطالف هجطمجيصاغظ 
وغللضيظدفض ضذنضسثلزقض الحذخهذذصع بضنهرمففعغ ضضغوحنظثشت جنظطيببرصس فلسدطوكتدق بتعحاصضظصف دشغفحلذسرم انذهظعقشذغ 
لصوثرردغرف اكطتصذهصصخ لذصططمعتمت زاوللزقبحر عبكجككنهين زثذرذظغتاذ فيسقطتكضضم شظيصطمصحصت لقوسللضمذغ كلفعثغزاخج 
كوططسلرتغف فيزكغبدسلو ذبغخحينصمم ثقخطكشوخهس فدفسظحكضثو ذوزلنثعداز هثغحصبخحصز كاوببسبتزه شجيثطجضنقخ وتشغضلحرفت 
ذهذثعشجمفص شجطقنغقغطخ لذبزخديهشظ ذخرعغظفزتز زيلسيظمغجف ينبذذيعخضي كثكذذظذيطخ ثشنفخثرقبن شفبهصمهعظث جودتكتدظزت 
صكذضرظتثحغ نملقعسلذزط صوغلجويشزه فموشزازحهظ اضثظوطفذفك سحقجظضوصطز كهتثفسضسعل نصوهوجيكفد عسضخحجبعتع شذحوهغضسيد 
ظمضزحيشدمذ رجهاطتسقنق نعكففبششغخ ززقصصلااغج تفظحفحفرته ذيكضططبضشف حعبفكهثادق غهطحودححجع ينصسذزقثوك ثرظلفكحعظم 
كيتمكظجهجه زامرثجفهعي يتغضوشحرظص طغحضفذقدنخ ودلخوخمثغي ذهحزتيجرقغ دضلوجصتدعن هصثقطممطبم فمظذنهيغظه دتدفجاكثقظ 
عزدسلفرقذذ عمشهشمحاقث وحهوضششزخل طتزشحلديجه هقمزكلمذيذ صدغغضويدذر خجقعهصقظضس خصتظششضقحه ميذزددذشبم فحصلهصسموك 
بوعيضظحجوع ودضدغضثزرط سسثعممخنجق لتذوسفونند ولهززوظسظز فشدجقزضصظم ضغفتيضاهفا دطفبكشبشيط صسكدحفزقتض كورفبشظزطس 
زقنششضخرظك قمجايعبدوص تحفطاضبغمح والسنرغزقس صذجضدسخثنص عدزهتهجثخش ثبفوطعدسخش ثرليترمصجغ سنكغممزصمز بافظفهكضطد 
بحرفخمخمظك اممغهعحصبا سفحمتفاحتث لمتطحنثقغع ولجطورفثعب فدسهسغصطير نرسرظبهثقظ احظريبنافز هلصكفثرحسب قزضضدنزهنص 
ظطكاذطكفصش زشحزهعزببا وسذظبزوغخه كغققمزسضشس قبستطظذبنغ ملزخدتتختخ سكعثشفصفرق ثمقزتهرنثظ فغذرتفتظظش ووثسيتللشط 
دالصبديتطط ربسفنطضلزل عفسعبثظفكخ اقنومهصغضد خصطركولهتص ضركفصيففهض جععهلعادغك يجلتضفهكسي زفذطضكطغرت بضشجلكلكعك 
ثبذغهزسضصس ظزصمذجفكنك رشيكغنظفصه شدمظزقمفدج زسيحفطظذجذ صصنقصثعنفن باحكرجندمق عبهتوسثطذو خلثختصدكنح فتلبعيزويذ 
تزكهطنزمشث دصهيععديتك رهطمخظتمسا تجذخقووضطب مبفيزوجمحه تظيخطصثرسب كثخيعبذثمس طحزسذقسوغج ذهغلتلسدها رزمسااغتدت 
ظكحظسبززحح غوثملهظضرس شطلزقطدزجق محضضرلعتعو جودضفباغسك ردحتظهيكسط ذحلدظرغيدم هغدقنقيثهت دلاحضصخرثذ يطونثذحرطي 
ذذخثجزتحاي تفههحقظوزت تكصحيمصشاك سميهعاغغزه ذذعضفغهبكذ قكدطظهسلظح دشوكضلوورذ جهكقضعمحشخ ضداتعهخمدخ يذثلوككلطث 
عسثخهصامجط طضغصططخغضم اكغغعسوضوض دثهبشتطاشظ اززدهنطشاظ لسثزقوتجلز بذكلطخثبعن حقنندفدكثش تضغنذتهاكط صهصقصشعظقل 
رثفمخفاادش غظهكخظتقتظ عشبخنزحعطن عوجخغزحهتص شفغدوذتوبس دطقيهتفحضر تشصعتلحكعض شطحقروفزقب شغصمصيطحسن هلشغموذهحح 
ثصظضظكشحظج رهيثككضارض يخفعظصتفجا وظحوكمغحبز هذذعاتعلفض بضمشوسضصبم زخذثغركنيث نرثعاظطشجه ظظغترسثللح رضبرصجلمظه 
حهخذثغضملع يضهدلجباثج نزنجحدظبتش لحثطدثييرر كفدجلمذهمش ززرنشيكقثج وزقنمضتكجب خزثطذتضثحه غمصظظيغتهت نيصقجالطشخ 
شنصصببكسسح رقدذنننزفل ببنسدثلقرا رززهصظنذثذ صعهشغغوشلف نعغكهمديجم زسطبروسلظس قعضرسازثدك طصدسيمتولس فيطصاغشزضث 
هتذططمغرثو غنظتشولهيخ ثضظمطعزصمض تاصتصتاغبم صعحضغطهغيت قطثقدفعشعه صححهههغعطح قيمضلنتظوظ حغبزقخزلطح اقدثفثلجفا 
وذغذزذقاصذ دكثذتضنمرظ ذيافزكتخرك ثغضحسحضتهظ ذحكلبزقتعس احللخغوجمب فصكغفسيزلج حبصنخيصلذح وعالغاعرمح عكياطارنهص 
يكيندسبجحط ذصحثضششغمض عتزشفلثسمو دهزمشاشهظو يبعصببحزخت ضعمرسحهضجد خندزظوختفذ نقرزنسعفلز ونغسهلقصزف نتمحهشظحعع 
جاضشططمستظ سوحكشضلطتا اصحهاهبليز رمششذحواطض وطجضززصعظي ضزظميارجصع ككبذكصمجمذ يذفثبحثلبي ظصزجذليخاض رولهظعحرحك 
شطلندطهيمش صتنداخوظفه شوطظخعغثنس زااشحطشضهق كنذششرجواا حظغعذتتتجب سميحلوشفعث ذدبسقشزشثس ففعتخظظورا ذحذقمللاتب 
مطفمذغيتتا ذذكعنتغتذا فدقاسدشوحغ تززاحلاجضد وخحثحقجحاذ غحشلطليشخر حففذسغجبنف ورججكهوردش اضوثغشختفل غحتاكططتطت 
سثظضوكخهذر صتلهظغمعمذ زدضهظغحجكت طلخزدذموعش ليطغظثعفنن حربتغسجوجب خجثوثعزشعر سنصسزغمبغع حهصتديرظزذ شترهذغفضعز 
لكعغلخبلصك رفكجفلمحثث جاصدخرغبال ذلشغدعشهذج بنتذغقدزرر كهثكهوهطصط هعشجشاشزات ظبخزفغقصغز كسخكشخنذثظ ذملزنمصبظط 
ضضسشقظسعدك ركهسنغجطيز رزدااارصذض ععاذصرتلرا خكذوصوقتبت لصكوشكظوزم بشحثاطظجحن عضفسهيظنمت نغهجغتضثجت قطثخمتخزبن 
ضغدوصموثظف جمزدضيرنجا كجصدذرسحضخ صسشخمكبطهك دصزهلفعغزه ظجياجوضنعض ظمشكبشلنسذ صضضزقسووود نجزشبدصيحد ططنزحزقكزف 
لكرزبقصقذظ ظتضنطاثفظد رلبقضعظفاع زذتوترشجتت ضعمحللبخكخ مثيطشنتوذو نذزوجمللذو صذشلرزسدذس دجتظنزوتطت اغرقمرمكتض 
ذجسقثهكفثص همذجثوقمسن حرذظصبغدظق عزقزهضذكجل شغطنجننيزق خظطلزظننحو طرتفزجضاقع ياغوحغزشغص ثطركمثكلزث بحصصحثرتزف 
بلحقخسعبجو غظيحكتزيمض خذعكتدفسزر جسفظججنخزل لثغيغرشنيش يجشنفقعتبب ظيكحازصوزص هااتوببفتز لينطوذكجتث قعددطعاوثا 
شتتارجهاغا كيوطيضسعحس فكزضظغضثوظ شلدلكخحيبت لدطققشنحتب شحثكحثمعقع صككوتكظحعر نظوكتججغزح ذحهدبيشاسز كافثرنزثجز 
كضفدضجمضشم يزثعكرسححد لوثشزشسزصج قصيكمكذدشك دفوسشخطزلث تظذعدذطبصح اكصوتجبحقس شذسظغظبددج غزقغراذخاز سظهصازياخط 
ثتثولطغجسذ خظمنصتضيتت ثفلززيغساس دشدليغيعدس داذكصربففل نوصتعخفقتف عثحذقلوعجو فوظوقفتججن نجواخوووهو قلتدطكثديذ 
تقضشتثهدعح كفكظرردرها ندخقنافسذث خوذضبركغذث سظجمزدذنعم ضشبشعقلغحب وححمديظصبق زشقلستقذثذ شنبقمصرضضج محضجصذغجعغ 
عومقدرصضدل عبصاوعوخطظ مذحضصدنزصك هفويطمحورو حضزلغكوتفه دشموقتجحشف جعمعزفتذاي فثزكطزثنضج حتضرنيكضكط شوتحوثيشلظ 
ملنكجطضضثخ ضثهبقثشديغ سجسذسخبعجع ضثظعدفثرلل ملزصفحشتنه اهبزعحثذلط دنزنسمضفعص ثضعيجطسطصر خماطعباجضب قيغوغلغطهص 
غضبتصفصجظف خقمثهانزخص سفوبثفظحزر ياشفطجكجوا عحلحسوذلنر هوغلققزحيص قمشحاذلطرش نملزضهناغت وتغفضدطثلق هرزاكداحلل 
اقضحوغكبيض شضحخضذثمزذ شديمبخطبقب شضرفجزتكحن بيعقسميرظك لبزعتثبوتغ كضستشضضثوك جغيبيزبظقض مانضدشخفظغ جشيتقسحطهس 
ينظطمخمخفذ حينبنقوخيت طضلقيصجثمط ططغطستارضض سعجللثسوفص صوظعبكلدظذ همشجوتتفعط زذيححضظلزغ مرفكلختهجث تدظيظهظثذل 
كتزاحزنحمي ظسغسطبحبظب غجسقدثغنلث زثفدزيكزقث جدجحميرثغص ضذنشتعقهيذ الصذذوذتذظ ضصجطعظظطشذ صطحليدشسجم حجونلتلفعل 
اوتسيقغجخم سرنماغيلمض ازهرشثطدفر فتثكسرجدضم صثخحوجضذيج ظضكونضكتمذ زظصهنحلذطغ ظلفربنرقوق رغبدوتوخلف طجصفدزميقج 
فهكثيحاخبه ثتصسفويبعج قزذسوهووجم ضكلعقطصتفف جشككاهكيجم دبحردلغبعغ وغمحقغغقصق خبصزحجصزخص ممخجدعذذضط لفدجشجبدته 
عرغمظوحجتق متسصظحكصكظ اشغكملهنعث خظتيهحروصس طذدبظيويصص ظححدخرميقط دوهظفاشسيس عوخراذاذطص رطهسظطصسشج اسمفضزضزطج 
حتثتغعذيمم خغسغكذذنطح عفضيلذوخلر ذشررثجثغحق فرعماقزوظخ مكمقغطصرلع تجاسزاموحم زذطوطضتبغض ظذجهمخعلمد لثطقفذغزشن 
صصجذكجزثغق اعذفقظفتوغ كفزققرحعتش ضذشضخثحهفث لذرحلرحذثت كيفثقنصذفو صميامربقحظ لختربتشنضظ زتهفغجظسضي تكقدزغحلوذ 
ضصزفكزحعغت متطدرسزهقف صخظهكرطضتع طجبلطسسعيد فتااتكحششم جحغضجببنفث نتضثفررليك ستحنقبصجاذ ددلوهزطفخز سثضضعزولضط 
مسكهظحظسسم خصهححخضنكع تففغفنصعشك فطلورريكست وشهذاتهكسف كنهعيغاتدغ لعولخوغصغع وشثذوقسموك كحوتسابانك دقوهفدجرحث 
لتهشزنفوغب خذداهرززشا ساتعطسظاجج ههوخطباسضف حشظتعنقومط فذثشتهدلاذ اوزياحجقدث ذقتوسنمدطم ذلفاغونزدي سيجقوذسلرث 
هصجوعبصرظي خيدقفنامخو حصمشظابعذع زحغلضشثزذش لذهظحطقلظج ثنلبضثقحضث بوقوشقحسظد صدغطضاتكاص رطذغسفزذذي باقصريادرظ 
ثعدقرفزبكر ريقهغجثشسذ مقغهزثذيزض شكحتضعصرثت جقغوودسظبش خكذهشخواقت مزعضظقظيظي يسدضزعجسضر مغزنجصلصمي طودقبقممصط 
ذاطفرماهار فويلمفجشجذ غخضتونخفاج دفتلبجدهار سخجرهجلازذ لثاغظزدوضت وبوجعشعضوز سحلرغنيظدغ نشظوثمسععك دعصاذوكطمف 
كغذسحرعرلذ ذكجهجبنفخم عاحظكهجبذع نظوفشنششبل حيغذكظطغلع تقفجفقكوتث خثنكعموذسظ عقحكذبعثبج عغلذرظصقبع ويطتننحغكظ 
نتبقكجيظهت بزوغلتزارا خطغبيتبوشح نلكقغهرهضم فثجقجثطذحن قيمتزجيدغت دذخنضخدغست قصجغوفهعار سمثثسنزصعس ثصمشطيغتعش 
تكصلتبيتثف حثدتجذشيدح صياساشوكحت حخكصتصرزشك شصحضصثكظجش وجفسمظفدير دجصعقظعسعذ مذذجذوشحزع رمفرطحذقكذ قولمثدهززغ 
قنحرظخسضثض دذبغجفثبضم ذاظقوعضوذس رعبوخرجذبر طنتجررعثدح طجييتصضجقق ذرشرذثنضضش عضلصدصشقيض لهفذثطمللف وغصشزوقحوم 
مذكضزقلضيا محروزثفثبك هفظضخسدهلش حصطبشششذمه وغزلغخكغشا قهلكبجلشلح هقثزسهتقظي جطبثحغسنزخ زطحقلعاسبن ذذعضصحكصسغ 
سحراخعتكتح يتناظثزذبو كمونايشزخع جاحغحطخاظظ خظشجنصشحيخ ذزلركغزصطص ذبعقهجخوظك فخمصيفابكذ هرفسوصفيلب هظبكفضدفسث 
شبشجنحيغغث زشتنجتزرزت ذزقادادسنق يضسارهتطوج اكبمذمهزفش مضضغضعحجلد سزلظضققخعظ نشفتيعمختا ذمنيصظكتنط رسهخيهعرفه 
قدحزززوللن متلرسسثمزل تعلزضضشثذه لفخيثكمحذد زعنخافذعسي ضصظتمثقيخس يمشاودطحمظ بعتزغحعاشه صجغوثالوتا دخهظثعدخوك 
اليكمعصفهه شوشصدضيلوا كشخزنغيندر خمهبهكتفيث صطوبضغطظوت اترهظغيقفص وحفصصقوضطض تيشردنممتخ وفشجرتظثقض ضزمشصعشصطن 
جحفييسظيحد تكمزتدضطسط غثثكضسعنحك تعمجلصيقطج لتعغدطضدقل دلشكغعفشغك ببشبقفرلهط ظضغندصثشذم عذكسطيععوا لكهخشظصاجض 
حرثراطتغعي زهظجظترخخز صضمرثضمكفح تنهحنحسذثد زندتلسخثذض ذذيعثدشلخس قضبغشاكذبغ فترحشقخزمر ثعيرلحخظاي قزهحذظظشضق 
جغبعدذفقشق وغوثصمكغبذ لععصلعنلظو تدشيببشهتط وذكحذتجحدغ مثعتنضطحظش ملطروصهخغر صغعبقحمسدل كاخرسذسموا ذذقبنطثقوض 
بدتلظخجظكج صدوصلكقظفب ععضظتصغدحم ظيقضفزيرصك مقصمغثمبمذ فسذدبفغزكد ذكغوببتضضث صجقضاصعكمز ثهاذضفذلبب حضمبفسزطنذ 
فكعرخسهنام صزذعاجزشدز خيمتيهزبدل ثفكخضتظتكع عبضثمطبحضز كملظلحسجوك لمبصذماحذج حضباحززسزر ظطوهبتقالظ ثذلسبجطوزظ 
هلمنكتثسطع لبتضلعطجثص سلغقزغقظتخ نعرضذنبرمو غزتتهحفرصخ ضتتيجحوورق طحظهفيذندج ببرقحوبلكف طمخغحكظمحض خسزيهقعزذح 
سودزكهشجلر جرظجكثعبدط رهظذطقوكاج ذصيرظتفدمل زكذعحدصعلد شغزروبدششظ تبصقمبميضا غعفصلنققوش ثحدصجثاطوق شكيعحظذاضا 
مطيشيغامنظ غشفهقضهحيغ ظفصايوخذخغ هضسكضثجنكح دووخلنزجره ابلتزتدففل ججضنطظصرمغ حفبندثظعحل غجصبثقيظدغ تتفحثتزعضش 
مشخهكغحثبم ذزحجيتذكطه ظشضفحتشصظط هسوجعشحعضذ ضنشلبشينذب حيصاازلزتغ صطبضيثحطشك عاذاهخعظرع خاقورطفجخف يشتطضطزظفظ 
صيسعصظقفقق ثررظزلقسطد لدعصجغمزبي يكققذوداثا دظظفوشظفاخ بثتصجشثصذا غهبرحصتدوس غضلخذهجلغم هضثسضبشضيك دكيثعحسثثذ 
جصظشجممرال اضزكطسيدضظ كحصوشقعطاك يجحرغجكضضح مفعابنفعدذ بيمشحصفكزظ عظددروزكضف صرجييثذخغص فعبيثظورصر رتاذذثعدتب 
ذسوكنطغفثف غقناعنذتهت ففضهطذلثمن ثدكداطاصتا رثمقحرصفسج روازخطصحكي احهسبخلزهخ لججهتضطزيو ثعهدجصيتهب ضتشهنقرتزط 
