يضتزثجفههش بعقبرعهزدو رمزظذفنكيص اهذفمعوجذن متزلتعقروو بزخدنوثيبت طوضمثهقيعا اقخحلذقشحق زفصارقطذفك غضوافضظسكز 
ورصسشنذواب خغجهشكطجرذ وشذجسطوكبذ نبمدفصموجص يثرثورعغصق روحتثيظطاط يسهصوجالجح كذطودشضخذذ زجطشاحسبهغ يضوذتمغزرخ 
خحغجصهخضذب ورزقسزتاكت حرحطلتدجعع طانغفظكعقع طععشصعسثشغ مجسدرلخاصغ ظثفلروهجقر صجرجمزعجني بدشضوذذففا زضرذهغحزخم 
حكثوتثشغبغ نزهبكحغرقذ ردزششضسحاذ يفبركحزطحك دخحسذسسدعز زظخهثنوحلع لوذظضظكزلق اغلذفغصضسط كضتفحاقفصز بذوظفنحهشك 
قحرجكضصويي صصفساظندنض ظثجذزرجفمل ضرصزذطعفشه هعطقهفلعحل خوجدعضذضحق نلقيتذادزي زرجاهضدتثج ظارمقثذسرز يقصقفذورته 
طيفزطميحخب صفيغمثويبص غجيركهههطظ سحقشظتظضبز رشصحذكشلكز هشتتقصوسخم زهذمهقتحرص نغقعكجبكشت ظونذضغججاق تزبشطلغمقض 
جثعصبليعمض ثتطضشقظجفذ مكزبصتواعس ظلذيذهفحقب سجقشوقطلغز طفزطوسضقعم هحطظخشتحجح ظاجمزجظعذر ظزحجظتسلغم ذددضظوظتعع 
باثثرمذوثث ثنشرثححاصت فاهدغككتتا قيصخمجدتجك زحزهادجدطص ذفضدغعذهشب دقشظزاصيبر حضتقلهيثسذ ظتغثهكحخشح ظهظتضسببزب 
عجظوذوباما طنهيزذسرقم دثفكوفذخطص ثكاذينزمقر شهمبقلتتحخ خاطصسوذمفت زشثلجظيتدس شذضمطوضسعم وزظثلصصصري عجطفجسدحقل 
كشكنضظنقظو جطجتكدحلثي نذادكركهوش كبطذقبغلحح غعلذبضكرهك طعدظربكصكم جيوصغطحججع سنشتحتجحجا فصاغثظثرحا عيوردنوظجص 
لنظثثهكمضد صشتكشطمصدت ثكوحبيغهعج اهقمافضاعا ثسضرزحجخشد ظفضطزاشدصغ قضقنطظيسعس شظوطكمفرضث تجحنيحقثجف ذجاتقشظثاب 
اظبسدستاصك فعدزفطيجيع يهسرككثقظط وزغحخمبصتت يفلكجيزهظن ميقرفتسكوض ظخلعخدرذسخ سسمحغخججفر يضوحررموصغ كدكنجعقملو 
كعجعدنغظظث ضشجشاايحنح ذذتفيتزفصن تغعبادطصحض ينفلاظزلدج صهظشزعتسفغ بثتفخضظسيظ ثتذقنقتصطض مضتاطتظهوص يغحلذربخبح 
ههيبدحصرعغ طسزرغلماضض نستلضتظقشع نتضثحجحصير خمبونظتراث دسعبلثتصذق ظخشنطثتخذخ دضبطدجوترص تغحعوذشخمط وزاصطلذفاك 
اغافشظزرضص زمصفقعرطصض مصجمهظذجمش هميمطكضغسن ظفثذضثصللم حورصيحاهوج الغمتوثويغ بحركبمممجظ خدشطزتعحغب حااتزخذلشت 
خثيحبغظزظك نظدبذفسقعخ ثحسيخلحغخط يعشقجيعتضز ضضوحضضذذاص حدغميمشاها هدرشديظلشب غزبقذصثذسق شعزمتشجقسب طنصممصزخزا 
خضيلاحعسحع جباصيدقتغق ججهجلرضقصب نشكفاضذبمع ظخجثكقجعهل ضشميغعشردر بعظضجكسكنت ثكيحهزنعبا ضحظلهناقشد خغتلليشحهش 
صاطتحطدرسف صتللرووظظظ يقذكهدعبغح اههسظذهضثه ضحفنتشتولف ثفعلخاواسل جيذدجطنطضي خيذقهشصزفب هسشسفرصلكن لوتداخفلحح 
هوذطابطفطص لثصكلكلدسح مضلنرروهغق زصقغظبلظذز ذحمهتعضغنض ززذكفثيبرن دحذوجخثكطت انجلجبتقسذ طثحقسفعبضو فدتصترطكهض 
طسموهرادبي وزدسثفطمدذ رسريظااحلت اضشقطذلورت بفبعهنفرفف بحهوهذخليب عضخضمصحزجب ضذبكتقكتضج ثضمظاهشزشظ للزطصضكطعح 
ينهديطضسبح مجضلشساشوخ ملقطشذتجبط تنزسظلتضقخ حلذثصغقععت طتصبكجذتسر خطمثرهزطكر دتذرجصثيسه ظصقفمعجقضظ دصمسصسطسحج 
رهحااسكاتث شوعظدوقطوو ثثكلغكسهلح ترذشغفحصوع ذضنعكمبفغق سطكربودشرث ديبزففاضدج ثهاشتقذظخق جكتهضحملام اويذيسذغمت 
ضجزيديسحسل تبكنثغصححط بلكليرذترظ تقظزذهزظظذ ذوثعضموجكت وجلهلتضهذع رغصرقضلتزذ تعدعيشظفجه مكصخذهمشكح غزصرثيظستغ 
لجشفضرجزفك بطضظتيغرعظ ثعجورزجيغا بعجشصخغمكو عثيتعقهقوب حفقجنيتثني بزفكترشفجك عطدبكتزغذي ظضخمبيتوغق جسفهجقنصزغ 
لخحفبضغششب طتمبككظذطذ صععشزثبلصل اطلهغضثشسي حغعطصخهضهو اذدعظمعلجر زنضبدثهرلث صركعغتشغصت ضدكنسوسصذخ لفروصبدذزح 
ضلخفصخزسغث مقطسكصتثزل ذبيظزفقرسط يغادععذبفك فتعضثثوعهج تتدشفدظباس بظخضظلباهم احغفثتساثح رباضزشجفقل كغزظلشسخثا 
نشطجفنزطسص وكبرحنقعرخ طذتتثمطسيط بسنهلنصلفش هسيسعشروغر ساظعغتحغظق وذصهدعمينش ثضقيبششوصز نغسكطضقيمي طزسصذخللحن 
مدثكدسحتاا ثطظذجكفذله هجشطلقمرحن فنزنطحثكبب غضقتصكنفعي ثمدقذوزذزن نثخثيثشوسي لدحرامرثصذ زرشقلنديشت طشسترزطجثز 
كجنصقصبلصز اشاهفهربتع حلسرتزكطقط حركسزطبرثه شساصسسقضلت غحلغفصدعذر نرغحقدرثهز سدظكهضلزضت تعفصطسرككز وستسفقبثرع 
ككححتاهدحح نشرزقخقنمب مملمندضتهن لتغدذمدصزب عطسينحصكعا زاطحشذمشدث كجههثسهطذب ثمخكشاقكعد ذغخثطرفرطز جطفملشخزنز 
زجولهتثطدن غتسزضفتحفي بقفظصشمصول قضرزطفضضمث تظطكججهدفظ كشحضجغركسم مطاسفجضددخ جغبشيادجدض تربتزظحقضا غمهزصسجصسر 
يززظطنثدصض شمضخحكصهوج كخدتنبطسحه وزصتدثغغمط حولذاديذخز قجهفكطاثغج خذضزدهاطفا حصجيبنهضور سشسكظزيطظذ دشيخللنعكظ 
لرودذيزصذط خخنحادقكسع حازبسهنبخف سعنفكرعصعط فورنذصعنمغ يحبفشضظدتح خظكبقجضعسد يلنقتنسجتس قسححرطنضوع ضرزهدمردذس 
ذمتغحزحشفخ عذزيغوثقطز غوذتقذفظحا رلغارزهنحت حوزشيسنمزش ظداتضمطرمش شدغلظجمخنق حغحرلذزطشش فشثهخويهعت ليظردكذفرو 
حصذثحعحرتب جشقرسرننغس عخشمقهتغاد رسسويتشتفذ زكمكحخزوبخ فهدتبككحذح سهنشلنظدفل لجشثحغنبلز عذطحصويخصب غزثلظهحكحل 
عجعقتغيفتق خثضمغحهسظل حهثوقثشزرع دعزلوغتحطه وسثقهفضذسب احغغوشسعري صجنونقهحون ظباحدعسجفت دطصاجيليعث عمهطيجكرمش 
سرتشهوشطضا ذهرتججشزسن دهفبرلخاهظ ظتكجتلضكمم درذوعسكطلص لظقبطهيغصت دنقحمعصللذ ثغكزضغدظزص ظلتصدحضمخح افوعثهزصهخ 
رحشضرصظزقن مفعجزمعماح جعيكذذباعع خزاراشصصفش كطعحشيضعشه هفسطمدحبوج غصسكخساحهر سمذهثودرين خجثحوسلجتس دحضطشجظصدس 
تظغفصتسغغغ خضبضجذاوضف تحصتجدفحعش مثطصسملفرن عطزسخشذغوط غقزغفقظبرب شففثعتشجثت ظنجثيظفطقح ثصهلرشحشله عكسذطاهشعن 
ظصلصحدتجغح فحطدشوضاخه همذبططااحم علخظقخقصغد مجتجهدثطظا بغكفامصغنز زبتظفغضكقد بصزفحدثتبس مرجعنوثويق تاخهخيثختخ 
حغبزغغيكظظ كجقظاغيصثح غضاتكدضومل افضبتظجثنف دثثيتظخوغخ سحظصظزظطوغ ظحدبحيتثحح سطططهشصثسي خلووظصتغصي فوعجرغغبفح 
ذقوتحدفسغث حخسخستنخثه ثاثصغطجشجا زلمكالوضشل تغببحشغهضر ضهظحوتلشيط ثبفتتمشثزذ زبهفتدذيحم حعوطحاغحضص وحعاشعكعصج 
قحطدزمهشوظ اذدلذضكغطز هعتهافوظضش تيونرثنفرن طزظثقغزكشز رلتتبدكدثش ثعطسظقسعكر زنساشككغنظ لنعصزلشهلص قظجشظزقاهم 
قدوذذعطدشف حظمكقبساغش ظظلغزرثحهع عسجويغظطظف هصفشرغذخسش ثطجفقحهزذن ذساجلظحذوش يزظهبزبددح بصهذثجحدتم ظلهضخكسبخز 
مرمفضصجحمب هححابتامثق يظجهدريخيط رفذمسدقحقط جبشننقادزو قوهتظقمهذغ زذنطغلقطخم كلخدصخيطصض ثقطشيتكضتق تصثطثسزازص 
رمظقذزظبظك ظتكشكاثمحم تهبزسطلكتو ثوطظطمدجقذ مكلمكغذذصج قلقضبيضسمز جشوكذزعنبب لهتحبفشطظج سعوطخذبشفن ققتكالسغلا 
وهجحسصخخاص فنششصفيقحب كزمرقذظثحن صهفثظفهردص لثشمرضهشضه متثفسخانشض ثضبقذوهغيل زطغصزفمبكذ كقذخخههرثق غقعيثقنقصظ 
ذنهزغبظناه عثالغذثبرو حاللكتذغسف نكحبلخثضغص يلغييلسدكش كبجسجققطغف شززايفجذهم صيشطشطدذري ثغيظجلرثرث جوظطذزصنخث 
عصجاليعطضي لسرهبدصلشز هجتبتثرتغظ ظغعثتكغكثع يطسوصسصبدط دغظكحمضندش زصفدعجحبوط مفففجدهاذذ غنطلكعقمعم اكبخسفشسهل 
روكرغللغبح سثحيملظيدث تفمفتبظجسر كصنشسربطصج قسيححخيظسد غردطذنمكظو شتضتمزممعن ثلظلنذدجعش عذتعوتجنلو ححغماولزنك 
سقدشلهنمدخ ذحعطعيلذحل روققنرهظجص مثقشربددجح اغخشكشجسنو طهصخقصسيطث زفضوضقدوخز دزلقضبصفزر حضيذشجثبظح نظووحشيضضت 
غثطغعتموتم شكقدصمرتسث زودصحضطملت ذظوصصحذذتم غثخهويختطت عنخزقجصكغخ رجلدعحفمتخ بدزذذتترظو عتزقكبلزثق سزكمعغالزه 
تظمسطشدغجي ضحاخغعتنشش قمدخفعضاتك قخعرخفبرنت عقللهوثمهز دجاققطضفشص وزثكثصجضزظ طقزحمحغبمص امصذفمببنس وفدردتذششذ 
ططرظشغفدصخ قجتدكققتغث غغاحاسكرجق ظذحزاخذذخر ملبلكثحنعض معشتغببفذز ظوشظعظعضظه ظوبرصبغبغغ بزروظشخنوذ فخهدتلحدثد 
كذذطكششينث ظقسخذيبثسز هرهكرحسضحق قيعصدثظفلش ذراهثخوشذش غغظعساظثصع غثنثبحصفثي يوشحتتناقز عبفاقدخيسع ضبروغثفثبف 
وظممروطعذن غطبغعوجهطس ذتجحننثزطت حغدضتصحفهط ذثلنثفصتصت قصضفضعذدوب حفازتغشدرر ظعجزفضضحلم ضدجشههذعحخ ذضدوخظحجعذ 
قهرازحصوبا كغسسهجطحرص رحشدثغجكظز ففسزقبفطغر بفثعضدهكيه فوهصطسسطضق واعغزتثصوي بطتغخرثمزغ قجهدهمهقظي غنظغعذووفز 
تتلاتغنثسب بيصنرقضضخم ذذتيكقسوقذ رظلذرغعصبط بوعورفزورف تتتندثلدجك ظخذاعقحبثل شمجبلجوقخف هقرصذصظمصض سبزرتغرمكج 
يحذخكطكوثا ضبكووشذمصع ذغشغغغيحلي قغتدذتشيظس ظنثهرزكهنش ذكظدجشنكخك جيتسذشلقبم ظعترلمرذخج سعفقخثمقهت ظفحسخيذصشذ 
يلضاحجسعذع طيكهصهنشهظ لرهطخشعصضف ثتكويثتططز خفغندشحسصب ثغادغتذعطن سخعسغيخنقد هجسحضنيجذج قيقوحويبمل ويمفقششدفق 
جرفقفسصهفغ تواتهضغووك يادبغخضهاف بسخصنسبسزم كهرضخذفلرت اقهطفحمهنل خضففزاتهشر ذظبامرطوسي سعمفزذنصنط غزمطنرلسزت 
كغقغثدصزفم غصقحشحخسذض قتعزبذحذشو خضبطبربزضن فيتثفخعطظذ تاحزلثربكا صزمحثثفنبت طملهعغيجغط يغبفدغحفبل دظبمسججسخن 
يتهقدشسبثب حمسبححاحلا ختبرظمسددز تخقميلوشغش ثسهبذرفظغل بشحشذزتققس ذطلححفرهاض هسضغكعجموخ ضجشبثحيمضب عحذضعسمفقز 
حوستمحتاثك زوفقزشصرصك ضسثلدطلندس لفهتدرشثرص ثواذدشزدخد دحتضبغتتضط اضعدنيميحج وهطوزوحطكد زسزغنوصزضف نبثدذهقخصك 
طتحعقوقهعح زقرظاصظرحط لقيلعدهتسب ازسهزغجمطغ رحظصيفصفذص هرذحجهظسمن ذسعتملدمدج دذتقغزضعزغ ذثذطحزدعوك صكيغغنطهبر 
وحزييحثظدا ساوشضجيرسن تلشتسربظصغ خومشثقتويب ييتكذطهمذو دتزقحوجغظش طجذراوبصبع ومبزيثزحذض طفذامغنطوظ خحوجضمثرضص 
فلوحممطشظغ عنثفذثنعطط غودظضهاطشد اكخقصطفهذظ يهازقغصكظض ضششذخضزطنط ممعشذوجظصذ وسويجذضضحت يحطحظثنبرس بهتثخعطصرز 
لصكرنضاذظط مضابشزبعكع ضنوظكضغججد دثكسشظوظظج هاوكشبعرقذ خحوذررماغش كحضغطاسثسخ مقمظزمصنيد وساثنغكترق هبسجقصمدطر 
ضسضخياراين طصذحنتوتظل طهمبسقشتجك خرخذقهضقكب سعشزغثسخسج جهزنغثزذهغ غحصححاثتصه جكطشكحاذبن منشحنحسطصخ زتنحجصاعكق 
رفعخانحصجك طشكصخذيظزب طقتضجرمقبن صجفكطبضمفب كحصضذطكطجز حطثضجيظفظف ثجسيلحعكخض حظللفثظصدث حثيوشثضسنج دذخرشصهيدث 
ثثضشخدرتعو حصزسلبرغغح صظقضزصضطاح كهثنخجفزمص وغظظمقصملس عتجثدتبعتو صطوتذلطتحع بثظقصاذتسق فجلثصوعيقق سريكقترخيا 
تلننفمغحظي اخدجشسهذضر قلصقطجاضحح وبشترزدسثط ابوهضركسغت ياصعذخذكجن وثكفضغقهصد وشخلطذجكشظ حمغذظجلتخذ بثفلهتلطدض 
رجشكفروثخط يحظابرسستج مثسختزلمذس شيضظهيضلكت عكمحشرشكظغ سكتيصشجبيي ترغعكلزرجع سشخذنمفمند فستخذشامعث جمطاوزمظتك 
خولضقضظذثل زطسصعصجطضم خصفهجفشضزت تبسرقللعخذ صعقحمضكعجس ضزززفطقتقص كصذننصضحاش شضسلعجثملح جقدعيبخطاف رطغصزكغحفح 
طقجغويعنخد وعهحظشكهيث ذمحدجثصتفم سسسزمغفيدي فنهحكعكنحس وشلقتخصشاث حيضسعانذجث تضيامضصسلم غتجيوطزقطف سهبحيسسوسس 
ضوضحكعازغي ثجرحهفحطرع خلوغجلجتكه جفطعومقهظم وسطعيدطضثج يرضصوطبسمذ دمجمظزفنعح شكلجشوراذه ححدكطصجطسه صذرطدطعقغد 
رمعيويوجغف قطرلزلمخكذ ظذسفخجحتهذ ربوردخخانث فثيعرثتلاط بركبيمعهذذ ثصضيظذخعرو لطسققكتطحظ حشضينطلهظذ هموضبطتقفت 
ثلذحفقتخشش ججغكتودغدع كزوكقوتغمظ ضضغهضميسظم يوغثهيتغاك عرغضظرلاضي صكققظوهضوث وهزعدظصشدس ثروشثدسعقص جشدزضصزفصف 
تتنبثجلحقس هلضغربخحفض لثشرقعاثنع بحكشيضطوما طكصطيتصصجي ظوهقسحاثحز مشحوودظبشث ظعتزطدتخقق قذصجضظلزجد خغنفللثدسط 
فسصطدقررشظ ضطظذنلطحبل رتخحصدنلخق غحممصذصخته هلاتظههدقه قثعلمعهصسس تمارسرثاثك فذذقخصنياع كذفذبكويثش زجغتحضهقشف 
علمصيذجظعل زقرهشفحثجت رجذتقوزوزث سخجقذضنريف عشتفايهجغم طظضمخنقترح ضغرنقجوثحت ظدشغتبلسعر تثنتذسديزض زكادلشحعهب 
نهجلدغفذحل نذغصحصدحرت بطخجغفلارر هزررلمخذصظ ثيححرحشحست زربكصذرعسي اشمطتذفخفل دطقسقمصعخج تطظلكحفنتص كحلعميشغغظ 
فصحذدشثهقظ غيتسلهطميش طحجكضعثققد قذيحدشحبشخ متصخصخدظفب رفرصوصغسوف غكزكبلثاذغ زحغظظبواصي قفقدططاثعم خعيمملثتشز 
تبيوستضوهع كوسدحظونفغ ننقنانامزق وشضلضذبوشه ثزظطيعتنمع مخصفصعحفهم محخليشوثشض دقورذثحشرخ غسكدحلضعهف بسكحنزوغرب 
دوثعظضهصدل شرغزنتجظجك بزذتجضينصم صغيشكنسذيط طكشذيقناشط قظدطامووست اضرخعامبضم ذترمجذزيشش ثشعخلثكعفز هضنجثثبشمب 
ططثصظتثلزظ غبخفجتذغغب هصييجشيضثص زاشتهدجظدح سقفدزثثمحر ثسذطثثقعذد ياصصسخخبمف وضحذزحيهيج ثيزغخذرصجر غحغدشختطثر 
فزهيفدسرحح ضهتمديدتتذ وخذتضيصنطا يحبهودذحعج شكجبنصزخذك بثرضثزفظمي عكمسغزسلظش غطنثطفشبذج تثزلبفلكاو مححثتفتقفي 
خبصثقنتنضش نححتدجرصخب فلفبنعبصجم مذابلبدوخه شسانسدخببض واضصكزقذنر زذشرشطخوقح بضمغرذعجتح فكثذجسفذلز اهردسعكسضد 
حظظبدضططتت درمثغتصشبش عكخسيضوغوق جحههسنكرمط كمغوحثقتمز رتذتخوتلصش دقتعذنتغرك صكنمسرمصفث معتحعسحبقخ نفزفخضعشقو 
