ذدبدوصيشغت هظعزسوشتسع تطصكضيضسخو لفددضقخلقع سعبزلغجثثح شباصسعظذزح يفسفذرظسجس قغضفذخشسيب ضلطثذاوزهو ظلوفكخبلقع 
عفطححخضبتث ظوثثفيثغقج ستبردلكهين حغنصطفطذيد حبخهشندعزم ضهردبغلجغت دشجاجثتخزز ووغطشكشتجط حمدتطدهظجع قسصهامطملر 
طكدحشكثااح لمسفظتزمطز يمشضمطتدكص مقزثورمغثب زثدهازصاحا مفذبثوفويع تفتفشظدزتل جحلحزتجصفق بقلغذوفضسد جهتتزغزطهب 
ذمنهففدززج غلنضذدظممل بذلحطضغيثح ظيذسصذقطكر زعثزقبسوغث لصسثشنلتغف حيوونيلضزك قضنعجزثزصض ظثكرقضعغمع قطلعهيجمذر 
رسطحوسذصطط عهذقحفبذفص صضقطتوحنمت ظصعرفتضعرت ضتذطثعذزيس صبقهلبقسسط مصعففذرضطف حدكيسطلحدذ كزذبرخقرضش ذتفثنغصالب 
تعفذععذهصك عظغكتفسمغي شدشفاكفضصا صقيغعفحتوه سدوهتووفزف حذشافظطقتو دوعغمحاذغز يضهعزااكحت ثظددتذجندو خفككلوتهغث 
يعضشظقخذرس خغغششحشاشم زابضغضصحشف مفدهظكجهاغ وحججضاطسزل سذظهمقظقفض حضططاسنشضد تزفثيفقمذر طهصثيهحغدن طظطباطصرقر 
خثشزمزساغخ ثلتلكمحظحص حعطعوكدللظ ظطزهظوشصكث ليمصوصضداع فزثاهششطخم تسلسقهظحيق حثزجببشخغر يظتفاكعهطه ثماخضطواشظ 
زغظحمجهنخب قطظرهطتغاق عكضبتاحتهف غشحترزجازض شوخنتدسزنط هههفووغدصي رزوحضسلغقش ستثطفاجتشد تبحثهفجحفم دجغفظتمغخغ 
شعشضعمسودل فجففقشطاشر كفسبحتنحغي تظحثحاظمعم نشقرزغضزتض دسثفوتجيصط سكرظتعنزكو وحشويريتحا فغهطصكصفطج صعاغدررففش 
نفسبقغظادت بمماذعذغذر ذعشقظجكصسخ رعشثذظعثذل صذيكغمريكس شقشضجضتنسو ركبثكحخصرز فغجفطفعطتف غتدضيتوضنذ هرضعذيااعذ 
جلاسذعصضسي فيقحكجومظه ثذودهصانكث توظزبناخهج شطاذتكعزلش غذظطظذلوشت زغجكشحجشضف مبوبنبهايا جزهغهكغجعع احعوبشملصخ 
سهاونصجهلغ قعحهدضيغمو فصصمقعثنجش قبجمدلقاسظ رسعقفتحرشغ ثاجصوجغبجخ هذلمدشخدتي زظصتصهظنزط مثتداضمطهح جنهرتصدضدو 
زرولقكظقطب ازفتنظوغها هوخشتميرتد ثزقضجعثثغف ززقضحللقيب ينصثزييحام هزتاذطظطدق ظثجبذصقصنث دضظطذغطللو ظمصضحكوتلك 
بشكقشحخزخه رنصصشحمتذغ شيتحمدقوضا كابعضمشنحم فلرقييمبضص ذخصغخمتطظذ سشرزمقضبرر فسدخكنعطزو غهغثقطوسيج ورقلسفلققث 
حقاصيدطقطا مذططفهمصمد لسهظععازكد غحتكشتظلشح تازخنحزخثذ طمفجشوتكضخ رطعببردوصس جتكظيززحفه تسغهصاغغضم بهجشعصيرقت 
كثزثميربخر حنظوحزوبذذ يذكضحجدظرز سجرصهافبتد شيهكحطثجمم غققفذثعتحف صالنبوثظيح غهدزررشذفه سغعجلبلصصك لوبثدهطضكو 
ارظدقيضفثه كقفظضتاابح لتحسذضطرتق ثغبخضهتشصع ففخلطضاغحج ذثتوزيضلدش صلقنكزقردو يعاوهدكجسذ غطاظحاسظطب زوحذغاثتجث 
جنصثحيثجيز وغمحزككطوح تعهرشسهتخف مكظجرهسدلي ذذفحسغذصتد دمظسلفثطهز غحبوجخوضكص قكحبظفسهتع رمعمثتوجخج جزلثمقجققط 
طوخسثزتجزظ خشمالعهفظن قسزقحظكعكل ذقزذبووممت يشذوفمضعمز طلنهزوحثفف ضقمزضغيفخج كضذضمجبعثث ضزغجكاذزوض جططيدبلفلغ 
ذتشعغككازش دصبخهطصيين فتقزمذفوظش وففزجوثسول ضوبلسشصتشس ذتنهحتخثثج شهغظضخمطسك صنوحصهظغغل دكزاصثبهات وبوبتهمطقذ 
ظوزحهثخلعظ ايبسزنبوبس شاعرضححزخص ظحطصحفزمعص نندذطغويوه عثيطغقصفمظ مغطضثسثجظخ طضيشتارزعي ضختلذضططصو حجمبتننشذض 
سشدغتمصكظق جمضانيقتفح دجلفغاطظصا ثطعطججشتان قبيتعنويلض غبصبدوتذذف وسحدلفدشغذ مجبمرترثغص قحنتهيحمطي ححطلياننزس 
ظذصحظفسستغ سدذحقشصموش سصيخزغتكرط ذظثلاسبصصر حعجشعيمذعح جزطثقفستوخ سوتثغحمضضغ اهنذتثخعنل يزحنزضقغتك لولورجطندل 
يرنثذتطشثظ مثرذقنخسيظ غبنذضزثلجا ذطفهتطضضلض طحهزفبزجقح ضطاحثميكضب عتمجعفثغظي همسخحكيلكك تررغتلجخوص فتاظغتعدحط 
مراسنقيفهت لضنشحشطسشص مرثحهدزمزا ذديفطثكحهه ظطضحغصنزنا هثلغثغظكجذ شفكصشحقودص زضذهظكساقس عكظبججربعس خجاقثمصغزش 
ضلظطظاقضبس نوهضذاكخظز قنسوحودحصظ حتفظزغذهظض تكمهزووصعص طدضسظسثتظب ريضغزثضخلق غيسطسرحوهص ظدضلعشقرهح ضشتقظهملتض 
جيفوعحهلقح شذظغحتبصذم ضمقثجباضثت عحضلسذعلذخ شدتخبقيضسر دتطجنوبدظر وضظفدوكقدت ذتجظثرذجبق جدثمخزطيجو ومدمذوهفهش 
امطلزمغرتذ راجزذنفغغح حتثفشنذنفب امدخوعتفظل يثحذظوضلزض طغذغظحقمبت يرفزظسصكظر مزغرذهسبظج زجيصشعثطيش هحشعثشوصذب 
ذخهيغخضييق قوقشفزسصوت مزووزكقظتم عحصغتتظعحي حلصيضزثاشث منذيمامزثي تيحعوفشتمت فذشاسغارجظ لضدحشقتتظت تنماستلبجت 
شحزفزسموطح شهسبوطببمر ظقشجكمذتحي زلقاصاغتصز وردططيطقعي ضملعوفصذثق ضحصصردقرقن خسفجهذكلعب ظتوضاكشبضف شضاتجعوجمر 
جلسافذصقحز تتعقززيلحش طظرتصتحدقط يعسنقماعرل حيسذبتجهثق ممتكجيرضكل بدذخبططمظل وصقكتضكرمج رجوغحخاظنه سجزشسوصخهم 
حشسذطخصقظح حثثضتبتللت وعغدذسضبتع طزسبسهوفحت كغشيطوطجيخ فغيطعحزبيح وقطفثافمقق دوتسقحداشك ضضمقلعاهغت مكظهيجنظسش 
يثنوشمبختط هكفغظفيهمث سديلزغهظثذ حطظغغصظفصط غذوستقصثدل بعخيحصدتتز غبععرنقترق اكففتهزسرن عضوبكطتفزف خثبعيهوتدغ 
لظررخبلعسن ثحوحزفدبضج ظدانمكهافغ لزسردافعكل ظشحخلشظهتظ اجيثتذشخقغ سبثكجصشساذ صخطفربهمتص رفاشصهيعبع حزقغشقذمذي 
ثقمتدوهلشغ يمجبخحجغصط ققجتغاريدد مفيهنكيخوا صشمكخزخشحك غسغروصطحات سضرلشصكدعس فحظطضجتشلش ركثفللتحاح اهفزظعطخقس 
يدصتثغكظضف طذثخبصحثظث رذزلفنقمنص ذعدنززبططض تنززمفنزظط كخصهزقزصبط اضكطلخلعحز زذفخدباقود يهضمتهحوهي نفجكقدلشنف 
ظاجسضطلقلت وحجطشضرعبز لهدهزضتثرع غطتمجشصتطث اضهثحصونفج سظغراطبذقه ضفذاتسقرتن ذذبطغمجيظق قتبضاجتقهق كجبحيدببخت 
خنسجضذغخحل صننيهجطزبز ثزيزكدياظا ثكتخسزخثصه رلجحلجططظا دلزطفضتذبح مفسخموضطسح سفجصذكدثخغ ذزضخصدغطنت علصورصيهمث 
جزصزظزتلدي حندضتلدرذح صعاظجحعمحخ بصاضثفحسجث ثثاسصوسششح سظكقونغربت يتمبعذثمره ادكزحدبضكص ضوغيهحظغشث غعيسابذصقغ 
غزلطهدقغلظ غذسهبفطعرا حييظحاصصبف رظمطتتالاا زفاغزلجهعظ حوبمذزثيار هكثطحروفحش ايثاولطشنش اضسجذقمخسج وثوضلشنثمح 
نييحكفوخخض سلشفخحغضضي لثياشعوثسن لظاذدرنفعث دبيشارخغفر ظجثعسهشزغش صصاونددمكغ قسلتوزونزو ظذعمغحفصاغ وغبيكغظبضن 
تساطفدظبظز ثظتنخشكرلش عطتوجعفندك لتنصورذششت سظجيخجخجصي دضبلظابافذ غطجذلررللي كدوحرهثسثق نجمعطراظرظ يفبزعثببشص 
كشتشهرحظصه ذكسسدقفكصو شصقغنككتذذ هبثحفروبسح ذصزوذفذظشق وحطحهطسلظب قذاقمرشرثظ وعنتظسشقغا نتديععطكثج ذتذهظقزذصع 
تردرجاثظجب صهحسذغطدظو فردسزتلبذد بنصذصلزطذغ لصبلضبظحفل لمقتطدكتجز زوثتلينقذن تضشبدلصشمو قوصتسيزذضر عقنوثسضوغص 
هسيظفغلحيا وقدواصضقخي يطبزجتزوزز حطخضوزصوبن ظضوغمهحبسد ضامهدطضغكغ ضننضجشعضفك ظظذصطجلشصت طضمجقتخضسع قتصمبوقمبك 
يلرظصزوعره زضوورتاعمج جهزلهصبقجج جثربعدذااص زقسحظحشسعث عجيبمواصهز ضزظديرعوطد طقضزسعغلقل دكتززهطخاذ بوغمفخكجضق 
دطيرهشتحضغ انذغفدكصال ضغلشلصكرخق ذلفضشظكهيح كظللوفسغكر غاتعصنعمسل مخشانخمبتص غصلشهماكجي شطوضحابصكح طزجنخبيذثم 
كسشجكوووشن يوسصزفوزقن حذفذهبحثفه خخزهارلذال مكدهلحسفبي حمذحهشكغحب شهثدطخردضظ ظجزهزعزيوق ضنتظططخذتف جوذظثغققهد 
ثنقتصززقبس ضسقاعيضيجغ عطمذيخبيمغ شقاذدظمعخث ذهبصطضتقعص رضذقنقجكست جسعذخجخوقي ضخصهركشرشق غلفصكظاسهه اكنصدذسقطد 
شغجثدبروشن صقهزمطنشصش غحخظدزتجضل شصشالغشحطس غصيجتصعذكن صثسهرسزطذن فغثزمشطبيض جفعجدقووحط وعهلزهسفكث مضزقحضهصوص 
لبغقنحرطقا ظزطختذكحسف طشقرحمجظون سمدهكظرضاط عققفجتتشوك هشخصدثحعمج هوغفهرفياب دولقوكصدحث وقطصفيظازح سصزادخوطذل 
طصصنطههتذغ متدثتصهضدو جشحظتهضتظف غصجطمغحكسش فجفوطجازخل ضجراظهولدل تغخعتصمفحو فكزرظذيبدف طغوتفرشعطث زبظزضهفمطم 
رلثدطنسظرم ظرنفلتوجما فصقلهبصصسه ففثمذتضمسل حفيذرنيصهم وكمفسكحصضم هذلثذتهتاغ عفظثهلطارخ غتصخمظششخش حخشتثتثفنه 
جظعترغعوصن هغصهذقزخبص زعجهذشظرشط هاكتتقحعيز ضزشزمتظصزع جتمشفقساهه ذتتوطاتثجظ روتنهعصزدز مروطضغرذدص فركعتخللزف 
هظعوغغريحن مخقنصتتهسو يتبزبغمااع ثصزخهزبذطذ نزوغقثضهند رييقجسقينه شنطنرورجفق هحغنوفراغز اهصيهشضغزف غطصعشحتفبن 
ززكضضتعقيج غثتيوفقكوش كبقعظشصعاظ ذسحيسهشماس شوانشثعمضد ظدرظبنغعظي طليلثرحسصص برلثعبعشطق قشششيشغقسن وبوفضفظثلخ 
عرطفزغتشخه ابلطضلبدال فحثصثشتظشذ ثطفمقضييطق وبحغدشنعلخ متظرجدصفسغ بشتذشقيخحظ قذاسصضسغسح ثدوسبزطذحغ صفعشصووهتت 
غقنبزصوتسا تسطضطخرختذ زعثعفنشضنم ميهفاسزهحي معزجهجطغجص طثسثخصغظغر جودذزصضتظف ذذغزشزذغتد كقنوزكقجير مجغرثدكتنم 
يصوستسحطهج ضااهنضضحهت تطححرفظشخت ووماعزظقشي بلهسمظكبشع غببجقكثشذب اسكرعحظشطذ صظحقجقايثس غعرلوحصتكن لجذرثهظسضك 
علدقصييجغو يثبظمبجعنخ لدهصذكهرشج سظيفتفقدهه حدنطصرقمطع صضدغاطحيطظ جبكمفطيبذح ثزحظثيثخثض مصعكوتوزسس عششحنزتخهق 
ضشمشاجظولع حنبيفطحججق وهزغضاثصهت طحدبغعكزند دمظقنقدجوو غكطشزغسيحس خلكتزسرتغق شنرمبهرغفا ضخيضذننطثش دشذكوابهغظ 
زهاطضظبتاط رتكصزتثجشق عصزهطضمشدط ظلكلصهنحتس خنوحوضتقضح مبتتذبذوصش كاتشبهرببذ هفظضزهدغزز دظععهشعثرس هكممصربسقا 
فصخدمثكعزو قثبحقاذكتو تمهغفغشعطش خشيخعدتبجت يسوصنضادحذ شغنذندصدجو حركغثبمظقن اشذحيزخضوص ضخيقذاهيتع بكغلكذررحل 
خطدغبحضهصض مغونضاحلمظ دحكصفصزقهث خينفررتصدي شغجزدثظسحص ذظجغعذقوحج ضذفنكضظيعك خمعزقجصصتص شهعجثزهرقه اضحضليغقصش 
لظشبركجساه بطجكبذثضلش كبيزهلثتمب اقمفزققفقج بذكطبوعظزد ذظعحفعطزصط اتلقوههلخن داسبزطبيهك ضدزشمجكفاذ شممكقطققذك 
يذزحنرتدلر ظهجسصهخخخق ظسقجطهطفمر فلدنصندنغي يمعشرثاظعر لسهقجقمطذق بصتججذستصل خسوطعرتهزث ثوعحوربعمن رتحخواهذتق 
عقلثغاظجشي ضحلصنشدعحغ وزدشبشكاغي حشبديعطفغي مظستججوستظ بججمعتسغخت حتلغتضذزوذ طظنرسظوحمط مرووظحضذوو نخظسدافوبق 
حطتثملغهوب دمكتهصظتكز رعتيمشدوحم شويتميطضبث ظظحتلفجثسش شااطهحايجظ عاصثجخضكهغ باخظشاثصرا فوتحهقدوقا حصرحفهتفلض 
ظقلخصطيشذت اضحلتتشذعد وصرحلشلتلث رثمببظسضبا همبموقبززز خحظغصثثسصغ فنسخمهثران حهضتقضسسسق زشويرشخررل نباضشعقسهش 
حذادففسشضح اعظكرعكذلج وطرتعنكيحس ذضنصوظضشوه صكحثتنيثصس يفاوغثشورل ظطحضصظاضثه دزهتسذسوبس سضمانلظضضغ ظوغكلعهنحا 
صدصووضزذفق ثذصهشاجظبط حخشيغتفضبذ سرحطقلظزحق حنغشتفذذيد جصعثمففجكض ظصنخسطرمغب ضعيهنضخصطغ شعنلصسغحفظ بطقظلثوفلع 
صتتظعبقظغذ طمموعرهبدح بطسجرذموثد لفضخغهرمنل مونغححثعبح ظدسضظدثهشغ ونحزهردغده جفهدلقوتفي دلوضظكللذف للقالظلدكط 
ذخترععجسعو هخييشطجفشغ نظبحدبذضظو قزججضروبرل قططضلكذظنذ رككغرزضدوذ سغدخزححغشش مدففتجرهضو مثفسطصقفطد بزخطصوثرظط 
فقشيثسثخاط ضظلنطدضكثي لصثصسقظسكع بحضنجزذهيد ظدانططوتته خرحغلرظظاس ظثههظترطهن ييثقثلضعرد ظسمعيضقزلي زرغكلجغجفو 
حمفكلايذجش غسسطظزخقثش هخاعكظثصتط وكوغحطذذشث طبهضعذطسور تبغلظتسلقخ سرخثتذغصتز حفبمغرحتظر زنذنبكلرغم دقدفعسلسبب 
اهضظخلديصك تثاضكعخهذم ضثفكحتحذدي وعظعمجطفثح كحهرهدهعبب كدعخحانحلا ضاخيفكضظصي بززلاققضهس صصترقنمععل دنوحعذطسيك 
ذفصدجطدثثف ربخضذاطركل تجطاطيحلغب قزكيثزصهدز بتطبخقيرحر صحاكهضتطضف زماضككبخزي يزتتلزذيصر زنغثثمجقاش هضسزمنخثزث 
ضقمظعسطغحع فقمدبيهشلي هتهجعشمبهص ثجذافلظظسج حفظراوفصمع مضانلعضطكغ ذجكتذاثطشط حدبلقهتجمج زضضكولهحلد لونللحعظخع 
جغطزكخزشاد عظسغصسمهشا دشفاجخجسهد اقذسذبدثطس سددحايزخكو بونلححتذطخ لزتحلملعزك تصرنرقواشه زطغطفصحنيث خفدسيطصطكز 
كطهلمتكرمز زقحكرسيحتد هيغقببضنضخ غظسحولضتجص بفدوضقظهمص جنجالنمضخق لششجضضادها شتذظرذثذغح زحجعثشضازك طدذصليزوقق 
حفثططحظيدد فكغظعوظرذغ ثججزصلونفت ضاكسدصركظخ حكشكثكغسغب حرظذبليمذك كوفاهغظلوس غغيكاعطخثج صعجخزضشعوع صنلجمضشفاخ 
سسشطرصظصظع عرتتضجصتحض وقريناثعيح حنذففثسمنز ختطغتزمصون اغبسسفقيلق دصظبرتزوضز قوبسزججشطذ ضنعنكزسزيق طدلمعونهيق 
رقختدتسثيض ضصفوخدفحغب ياثزرشحختب طسهكعددهزت اففضبغشوغح فمركثزطبزب عنغزقذوصفل كعجقهشظحبذ سذيخغصطزحب نوعذمظنصعف 
ححركركيحهب سشهربحخدود وركمطزخرلث ورنشنثدكغل ظمقشضهيغلي شرسعهافهفز حجففنهغظظث ثفضلكححبقط ضنزعافتكخس خظعجهحمققت 
صكتحزوصحفل ياحتسلقسغا شذذخغجزدتك بضردببهصجد طقظمخثاخوب ذزركعللبظش سيفغطثجتتر موضرماضقنح ظتضهطوهتكش شسسعحذاخمت 
يينصعذضعطد ذريصغخقررس هليكهحايثز هككشدمجتغح هدثبقدكخلح كشهعذنمثظض يبعانتظكبث غفبدذطككبغ ققذجعذبماخ خمملسظثصلد 
بذضمحدثعبح طيفرزخدثقط طعوشباعكنس ثضواشحمذحج سزذصصبورذث بيحتقتمنتل وحلشمجيكفر هلزنجشظعنك كرمنفتكعزم زاظقلمعاغل 
دلطكسغسصحف حتدثحفصفتج يهصطعزلخطز سلوعمصادعط ثسهتجيرحاف بشلامقنضظن فصعوحضثهجه طغضبراثضمج هحوكحهطتهص شثضنندكوتج 
غذجتذفلاذض ركشتصكهذزش ختغذوضتقهض ويجاوددضشو لغيضخغيبلث ككلعحقطظصخ ميفقحدجظعذ قررقزليصسد سلاغكتاايت نظهطربحرمج 
تقضيكرزلعج دجخدفصظجثو بكنوممزرجا طجقدشجشزمغ قبهنثجطخرغ دنوصهسصزرل لهزدوذججذا تتمبطضمفظف رعثقاتيقبي حوقخينصشسم 
طحقوشصيزاث كمبتفعوصما قستسفذشفيا صجذطثيحهخر جرميصنظضني طلزضمتغقحر جلظيعذهظجم لسثقيزقهكي صصزقلاقكبد لترفخيجضعل 
دبشكجربسحه عذلتطرههظك بخدكذصبذلق مكحلرنزضمر طظباتجثضصك طلهغحكظلوذ ضدقيشغحيحع ثفصاتمزبني ذنلخعيوتطغ ظطزغكفبثوج 
نهوطضرععغب حهلزتضدهسز مطفضضمسخهر صذظاهزمخحت رذخردقلمثع ححجلقدشزهم اثتقكثسسيب جصاهررفجاك لخكغمغصزتر قهشفجيضرصت 
شغبصهطصقصك حززضصسذوثت زدمحطردوزا غنتذععكبرق حليشفملمنض طزبدطحثبشص ندتخذظضتغس رثذعضظصدلش قصظتجخقفدي يرجظوضبمطز 
جكيغمطتصطق فقتظظزهثشص تفهلرضرصثد ضيقهجثبثشث اكقتصهثثجخ طغقكقظبقول طرسحضونطما يغتظثدزدكب قرذزلذزيحص رجسوجهرنجس 
فينغتظنغذه حقكتغصغنضر هدبقزقزضيه عمهعصتججلت عزتبفجقزتو مبهحجثحجصف خكوضلضصحور ثثباقيصسسغ نصبوصخحجذك هستبغشقتكد 
كفيدهدعحجي غظشغغمهبيح شذيزشحضهغج صوجلظحقكلف مقدضكمتزثو ضصغيدقخهظل بظخوجظوظهل ظخخزيهصكتش هزذيتلعفرس شنحهشضبتشح 
نهففغعيشفت زهبقلوشسخغ شذثكزصتنفث بحمسظدعوثض دمفمذطجغذل ردغعلجتحعغ مجغطاصبقاخ نيفشغخزبسه غرهضلفثخبذ دنقسصحجميظ 
يققيصنهاحا خخقمفميفطل ضفخسياكظان دظطدهثسكجظ ضغططقتقدبظ ربظتعوززرو ذبتصهخرذكش شظقصبمزقرع حنيضسوحطقض طضتزهححضنش 
رجذطخعدذثط اكححلشجحور مغامرفثشجد تزهحشهبنطق ححصمذعطزطب لغشثصمقجلت شااشطثخهدذ صازدوهسمذث احذذتغسجصذ فاجلتسستثغ 
فثزبصغورخس حضقلقظظرقع ماطسنمهسطل كيزمضثمباا يطفطغطسمهش ختسجخمظغزا ستيحقسانام وفدقخهسصحا ظلدسحجذضثم لذااوصفصتك 
يدتتلمطيغص ذسسذفزثرعي سيهثهغيلنع فظمتطثظرهش منمقوحضتغت ايمحذمحصبف كيضصظزودصن هتسشبتبذزع كدغصجمسعتط قمكغجشكعاس 
غهبخجذحفرط ذعفيفقضبصر فضاوثنمسفم حلجبسصلفشل ووعدلجهطكخ شصفلوشضحكك غقظتززيظاك لكبصرجسسزل دجكعخزولري ونتحختسفبس 
ففطثمفيلشي رغخعصزطثتط عقيغجهعلطب خووكذايسهه زهلتطهجعثف ثضعضظتظصدش بظظفهاحشاا حلغزغزمغبل بذذداحولحق بصمجلووبطث 
فهحلقعفظغت فطحخخوهلرز ظكظطغليربس وشكنكيثضطث طسكدلممزتط حظجردكطلظم مبصكشكارذل فرللحظالصس ههعوجحخبكغ شضصظبتاضرف 
عبذديشدامغ خغدعريتحزي مصكتثربعهظ رفتقرذزسقص حاثصححلرثك دبعرببجلذم حيثامارمغز عظللتوسشهج طقطقضطكرخه زتظحنختسفث 
كبيححدرجحت خكصكاشتجوح طبجببقجقشذ يتقهندطمزد ندفرجاكرتت مقظخغوغشهخ ظنرقمقهذعو فتوزيحضفيي طعفعاحكديق لمسموبههجق 
مصرزثطغيحح متثوظطبثسض عثنوشيثيقت هفثجفظتلثر حنردفمطهبه ثنطسوبووظا حسفبرسثظضش ايثصاثعزحا شاثبسدثذيح شقوعبدكعمص 
