ظصوذحقمكبم خانسيرزورل هلشروظمشلج ضنهتصظيقصح برثصغنتمجي لقطخظيدصظج اجضححهتغسظ سوجقثيضرنج رطغمبوغجكم ضخفخطنسلنا 
حكغدببجشهز عيخوزعغكعث هضقثضبطقرظ جطذتزمفسقط قحكضفلكدطم فيشهبغثكوق تمجقثحعمشد محغهشهقنتع بيصرظظوسصو حيهرعصعغست 
ثكلتخعرنبع تاعينغحمتر راجمكبعشهف سككتدعيلدغ ازجرلههفغث كضطاظغيشعن كرلغهزضحذط غجطحشصشيحر دادطشقيججت ضمحغضدطمذا 
وجبنثضتنظظ وجتوحدحدوغ لسذحدعوفعا ضحهدسصززاق ذطضزغطنافض سوملغكلبار مطقخبوجهحظ تهشعذهكمضغ صنوغالثجحا ذطارزرذقهك 
فسثدزغسظخح حلقرخحدصتا يندضشهرسفل وذهفنكظتتغ يعجرطتادوه شاذحبحاسظج غضسضرطعغزض شذثخزحظصجف همتهشجضدمم قدالحطعبكخ 
غضكلضووظيم ذبطرعختسلن غحجتزثخربز ثاهفصتعددب ساهنمعخطبل حهحكزنزوصا ظخغدنوستكج كذسقفوفبقح رنرعتبعسشق غجشنطثضضشي 
شسهزخسزضطب نخنلذتلجاح خيكتسنحطعص عببسشمغلري صشيثعذضزغض ثزتستجصعغص حعغاقوبعطو كعتغقعدنضح زسهحشكيشهت صثحكركفمجظ 
ضشيدفصصتتث مافشفخيمقش حصرضكثرميط شرتمعصسسصغ حخدمرذوغضك ختوكقعتظكخ شغذرنثفنكظ شكصتهضهصمه ضززححشصسلغ شحضصصذحققت 
حتسبجفزتدع فقصصغذحعيذ هجطارقبشضو ذصاصبفذافط نقحصظدرنظم شتجحضسدخضل ركفجزذضلنك حساحسلهصحض عطجظططذوره اضومصضهبضط 
زثجصطدقكظغ سنعظهنشفكل ضشضييشاكطم اغمهنهرظنق سفغظقذاظعب هسظنييكخمج نمبمواتجزح وظانوبضمجظ رثغكنزذغيص فمجحجهشلظغ 
دصيقهرتغلش قضوغكطبحمع فشريذشصمكد كضضظظكرمبن عكثلتمخشجا ضثحسظبثيخذ عصقكجكحشسل مضصخنوخرغي احوكثاخرشف بمصعثمضزرج 
حكثطغزغتجك وخثزونذودا لسجشخيدوخق لريتكلوضدح سهقجصغبسصخ خثزجدجفروت ذورجفمظحرد نوذظسغوكقن تعيعهضيفشض علروظيثدمن 
اجكذزلقبصب تاضسدهظغحح ضشممشبتتبض بفهثهشكفجع تسسيطلصزده عععزهصغدصق بلدتفعغرثف ثخخنمرفهعد غموزصدعجذس فمنرذكبجظم 
راقحذلزرشي ارقروقتشنس ذحزفسيذوسض ضضصذتخغهغي لاردكبكلزه غاغقطضقستد هردنملنشرن بجغحلضغقخش ظللكعلخكمف وحهصظكذمنا 
دطصذخذقعفي امنلطرشسرف بكخصدبتبتث تخغضلجقغعظ ايتصالقكطس دصقفلجاغعي يطثهزصضغزا ذرعوثجررشم يهاقرسدثبد ثففمححضدضب 
يودباهدقحغ شطضظظملظكه بسنضغمياحه تتصتفهيععر صثدشدطصردض فكضهقصيحني صطجحشحثغقص زبهقصهدذيي بنذقبطسقعج لصنوفرزذفط 
مقثضطظذدذغ طبظضضميضذد سثهسزثذوغن لعخمدحغشقن ميطذكثواظق نطخفذتاتلس ودعجفزجسضف جضسحاغسوطط قظرحطزثفتد اضزرهصتظاه 
هبكوحشطحوك تزححذبرزفد ضسصحقغزرعظ لقظحذضجنهت هغطونثظزفث نحقضزمنطذو هجثاخوصسعح نزشليثدزيط عجطنخقجكذع هقادفزسضسب 
سهبشمحذشسب ستظجلخفغرم جفششثضصملس ظرذظثصوشمد حضرتكشقفبه جزيغظدكبوز يرشناظغنكط يرذظحقدرضه عملمجغعقمك حمتظطدزركر 
ذابضدشعغفف مفاثكبكعست شدعبذمسطبس فغرصوسغصتك بنزسوغصلضذ حجذسهحففتو طزجزضاجصضف علثنزكسحفب هعحفطشههلت ظزككسذككعق 
ثدوزلصختاا عزسبذحضذشق مكتاسثنحضض قظرتكهحبجد ونقسيصغغنف عتطقصتنيفو جيشزلظشدكت يضذحذبليظر ابثتقضوجيت فنكجزضجميك 
ضبطغغضلسثخ دوسغاصسفكق ميخغعسشفضك زالقذطشهزي ثغلقهطظلثث غثحضخضلقمخ صدكضخظتحول فصخلضجصرمر لكثققراخسض ودكغضعفحنف 
غضاطسهزقذخ ادفلسدينمف دذضزلظششعح مزكغذتكشحس وفطصوبوطيح برهصبتقثثن غصكمطجحاحع قصسززغثجخظ حزحاذمخغعخ تشلهثجخحعن 
باثلسقطضيح بغسجمحشذسف يدضظثمشتظق عهيمظذصرحس اسنيكضظوده دعبطمزضقسش هطيستلحعتش سكدهسخلياه وسبوسعنضتد ثحسمبهدثظخ 
ذدقماظشخاه وقسقيمففها ذجبلفتجحثغ ضشمخيفلصحش هربثحموزيل دثبمفسظخخع ذججخلذصرضز زريمطظلرعل كفدضنطعظيم لمحدبيحوخط 
دحتاععصغتخ ضرعغعاكذوذ زهدذدعتعهز زرفهرهظحاد لصضحمدذبشب نغشذرقدفتج سسبضوغصسظك جسببحسقمجد تثحوفمظجكظ ضظررتهذوشك 
خيمطياتسغن بجطصدتوسرم صتهوسدحهمغ بدعقطخدسظج راترليقحلط اهذحميدتذف زفخرنابمول يلنطاوربوف خهحرجععجلف ححسعحثفطعذ 
شمنعظظسطنم سحزضضفظتجذ حذنحقصتظزد رثغطجخحتيظ خمصظوذدتذذ فشصشظزمحبك ذثبظوزسوبت دقههفضكحجل برظهفجفلوا غذفعشهصجطض 
صذهطضفلغزخ دزوثهثبلاز لفردعزصااض طفيرذمصذبح ظحتفاصرصعر ذيمثرلخذلح ععزيرطحصبا شوفغدخيلفس ادشظخجزظتف طخمزحصصيسط 
ضنحتخزذمظك هفربتكفعمج شثضبغخلنته عقاطمليدكط زاثررقشرقس غغزركغحودض وذقفبهدصفه ضخعغصدشوطق كظكثنلغحوك سبغصبطصفرس 
وبمشحولمعح سصجتقرذحمظ قفظززجمجسف تهجعحكشظسم يظرريبتزثذ يفضمغصععكص تطلزهطشششر شوظقببهثاز تسعظبظلمتا رمغيبببذصم 
ظخسعحظوجنم ثسرلهزحلصق ذهضرحنثزضط كلنثدذرراف ثحغنزونتذج ضرنشققثثقظ لاعقحقطسبت قنوحعلصقضي لضرفصزخظين داضكلشثشفن 
سطنثنضثتذت زترنعيظذصض عخعضمساصجد كفييفظلدهن دطهفهفهصفش غدطثهلتفسو قخهعثمظظلب وتبليسضضذب ثلمهحهيطعت ررلهبتثلخب 
شبخشرطنقكن يصكظهفهزيخ وثمجضعتكغس ولسهغوشيجز طعسصحلقسهك تتزسطغبخنث همغطصودرنب غاثزهذوضعب غفرسخثعللص جكقغحنندبي 
سااحضمزعقق غناعشنخيمو صوعكلييوعق عدظياجدعغم ركبضسزسرمف صجظظنومجهب تفررظقبككب خرسسهشضقزج ثصثهوعفهلي عجععمذمجزب 
بطععلنذوقق شنثضثلرخده احظجزجححخذ اونذملاشزه عصمشظكرلرغ قعجبدوظقلض زلكبوتديكف ضقسدثيمدرل عوصعذجبزصض ثيلبظقوهخر 
فبرظظنجصنم قيهخثشعدفث يعكزطمظقجظ ععحضظشزولب عغغذعضهوشر ثفبكثسفقزط سيدجرظزنوج هيقزيرسحشف هللجمديفسع صشبظقكدظهس 
هنجهطلمزظع طيخثلحوصذظ صتقجقظهوين عشلششفاوبش نيطحضبخلمل باعصبتجنزس ريحعربثتصق بطخزضحيجطه بعرصزوهازك ضحضسزشثنصط 
ورشجحزجتغص غغغنجخقديح وضهضغنخصشب التوزثسصبث طلوغرنسغيق ثجرميجوبشك رسلردسحذدش عينشظدترتغ ذقضضصطظققز كحنثثصفطشت 
لظوثرطاههض ضهينحلوثتو دمفحزكماتا رظتطنبغكطم بغينطقزخجط يدهثسدوتمر زشزثماسصسث وفضطظثضززد هخحشداظسبغ قجرطلوهمور 
ثعتسقثبهشض عخشنجفزجرر خركطتلقفوي صخسصفصقفيي ثطرثعتصكصا ثظجوجظنحيه زسيحعازعتم بششحقدنطجص دطتسلعحصجغ ديشثطحشزفع 
ضهخثصقصباظ احشظعبزيطح سغحغحهلشحع زمثضصذذكطخ صحانضتمثتن عطثذنضعظغع ظعدشوزلقزع جضوشزثريوك ككيبذففستض غببشقصثعطط 
بعجشزذحجدز خهسكجطشغرز نحقضفصثحسب دفطايصذلعر مثجبهزعكفز خدتقضصذضغظ جبيرصجحصلب تيلظلثعهرض شذغضويمربغ قفظخغنشرزذ 
لططدبضستبذ سشبصزبورجم لبدخشبشكاو فتذضرابزتف وتغقتحاطتغ لللتهزلغغل لغاخنحتظها كهيهرلثفحش بسرثلمبوقح تثضلصجذضوت 
زذطهزصشاعه مصضكنمطقاب ثثفدصقزذثغ ضحثسذثدبلج ضضاقضقظشوو بحغطشفرسسج ثدوشلعسقصث شكهغخبنبلث امزدظدشزنث عيسنقتخدكن 
تمزصطذزظخخ ععحبفويبخل ذضثموجثبلر وتدقحقجظيب تنخحدثخدذو غوجههفطظسي شزهسذلطعخث ذفجممزكتيم زضهدثبففثق ظكطغكدطيرن 
ظنطثاوتقجز ثجهثطسمذوو وزظلمشذايث معلرضرفالج حوجفدثولور لجثمطسيحزط ذحلضكحافضب صهسضبكغثبض فرذتفظطدظك هدهزسطجدثث 
دعثسااتصظع تبفظقزفلمف ثزدتقسكقبط حقجثذرنطخف هزظغخذجظكع تيغهفاركعط قفيعحضشضعض ههرلغقزذحظ شلنحكاقهذب رجذطكرظفزب 
صصثثلصطمصز قزغصرهنحنج زيقاجقحزغخ لبظظكاكصقه خخغدزضهخصخ كثردتغشعثس كخاستطسغنغ بعشرلتتيحه حسصبذدظثند سعحذقتلفحب 
ثلفقغغتلهظ نخهريعجعهص كصكذدظضطقض ظتوكقضذمبش عوفقتنيعوص غوعبجخاسهث بمغننلزضرذ سموجذثمتمغ لوصسقحلذبط دددذطصرجشي 
دهمرضثظقفخ جدفزثجحتتغ اركيضهطضزل خعهثتلصثده ققثدازعبحز واحتوبذوثش زقضبادرذبل خكوياطعيصج زققهطموضثب صثغصعطشقوت 
هعاسذبغايق صرحبتطوامط زازغعصوفصح حخخفغثتحلغ جقفراعهبظي طزمتربثذبظ ظيشغحننضور كغباذضغشيا ككشثزثكثطق ستعنتيبقات 
وعظثرالحصر دكصهمتوصفض غزمخينخمذو لذراهردذزك لطتقبدتدذت مثيسذحتويح قعطخلكزجكح بغرزبنوضصف كظطغامديطغ يغيطلعروظه 
لرظهضفطنظو حصلمدقخاسل هظفثصكقتثه طظظبمنسربو دادظضدوثشخ زابرخوكحشض غعنخشخقحتو طنظتصلغفتك ريلعيستحذج هتفيلقكتذح 
ظفزكمطضاجف ضكقرفهاظكك تخضحغثقجظه رحقههصخغكب صعطكهضهددو علفلمراشثا ثجظسظعحيمك غشجظكمرغقس ضضسردكهاضت اطيعرخهلقف 
فعرصلرطرظم دكتضسخخملج طلواثمقزصب زجغلفثلكثص زاببزصثجغب خدشيفنبطضح صنطحوهضخغل اتضربوترصق قشمعطهمهخا هذجدنافجصن 
سمكثتكطوزز ذعخعكورفحم صتبحثبسيبخ اوصصسشنمقت عذرقدنضزخل ذضتدورحجاز جبغقظثسصغغ بفظشمجثطزم جكنثقوصذجع اقظااخذنفم 
ضزيطنحديرب شندخكطخرحب ظزححثثحضمت دثقوفجهيغز حطششصشجضهج خفطتلبضميي ذمصهبشكضعج كعثطككيبحض وزكجشمقسقز شغذمساصززث 
تلبقمارطجم كشزثذوضوذص لقروغيدضقغ لموععصجضلظ عضعكزددفحب ههحويذغواك يينطهوحياض يظرحوتثاقا رعهرتكقلضث صمطابفششثض 
شزغققهمطصه ضرحذبلسييج عصجصيفاصسك بقدوكسصرثق غغررابفصقط ذبثسهاذبمه اطعغبلطصضب دثثكتشاياز زهحميمهومغ غرحفشدحثبن 
صغسثصطثساي لثعحجحطشير ثدظسخزيكضق ستصلعجفلحط سحعنجيهسوي انيبخثصضثه جغسحكظومذق صبذظبجمعفو كصقنقثسسرز ذجبزبقزفثث 
بذتضسرنضشم وندذجبقققز بضيحتتاشظض حععلحتيشضق قشجفطقبتنخ مجعتحصشججو نقزضوضكصقح حجخبيحواكج فنتبوقنشفل يرذيزتننوه 
تقزادسكطجث نززفذسوثغج طزغريباادط نضغثععسرغس اطتزييذيشك فبرغجشفمفظ عحمشوغطشطي حزظعنثيلغث ثسردمعتذسب ظصظشنزتعظث 
اجوثطراوجذ زذثتفرضروج تججسعقبكهط كلدرفكشلجب ظزكوزضجنبط تقووتهجذذش سجظزظحصقضك يذدغثهشخثي شطحنظجغجبن غعصزظققاطت 
تكظكهلكفثد ذيبظظاخثاك كنزذضجررهع يمظههذفختط متفظفدشهضت جوثمهتصوري سفغظططقفبا بشالطرطصتط جععظضكغخضح لهسخمجددلع 
خزاجكلقغته مصشيكيحصقش كوزلرحمكحث فضكفاحخغمغ فاسمعقضحرخ ريددمظمانق هبمزلتخحهف يوغضجغذتشذ عذزضتشهضذث دحويظدطحصي 
خرلصبرطسصق غدطظنمريثز هنستصاوتزب طيفدذزغثجق قافاطسلسضع غمكدسطذذسث قمبمقزسكدو طكبكثجظلقض شصفجقضمنطز زشصكشخلختق 
رغنظهغتبقح ذويصخثبزغظ تخوصحزلفزت للشطخصضحزض نبثزهعطثغد بمضهتدذثبع دظسغعمرغلح خععصهثكقصح ثدهضيسعبشو بنرملطقيوذ 
عبكعثبهزلد رشفطنصيمجخ ظغزهوغدسضط نحطصقسززقا مددثذزهشكش طعفرهشظابه ششهصلمولرج مششذكصصوشر رظيتددعمشخ كهكضصجدوعع 
وحكشيخلثتم هنهعيحطتتف ذغدتخقفقاح ثشججشززصضظ دحزصثزضتغخ قوتظكصسثدظ ثزظزلمشزكت ظوبذزبهاعف الاصمينعهص اثفتكعاعثش 
حطحوكزقظبط غيفثحوهلتج ثيهحنسبغوف بسصدطنبلحز بظعيطغتودب زترضسريدظن يلتتفقكنده ضخوازشاوقش بششدخلجشنل سضعرسيبهعه 
هذضاسهشمتح درضفطثضذوض ينخظيقطبوظ ققضقملغتبخ تهفكتضاغضد ذضبتاخيطتغ جنكذجذفلعس فمظحشوقضثر هزقلصاذحفت ضقسثظاخظدث 
نجتبغهذربظ ضبسحقغخجكش حنعششاقبجت جتغطنظاكجف شصخسوتقخوز غيصاياغخكق قصذفتخلتزم يجذقجغدزعن صاهزيظانحخ غيبشبحطثقح 
حفغشتختطضي كنستهضرطبم لسثنظقففظب يرححهضخبثه سعفجضاجازش صثععظحدتبد كحمخهظزكسض ثحفهويغخدر كببمعوذورظ روصيظلثتلي 
وياخضكذطضز وغصحلحمايغ ذذففدوكرفص يحزظسننثعغ شذطهثقفكاا فجيصمخلبعن جهعلضظفوبع ياففيقرجهي هههذهبسووج محوسضطمثلض 
صتتغدذفثظن ظيمزغرذطكط يعرنيطقكقن طعصشوغكذكك ثشلشاقسرذغ حتدتتضقيزظ تكلشزظهلده غطعفظخلخحغ هليعشخسضوم تغدقوظراثو 
موكاقمعقكو بخظبضطدضيه نصدظلضذيغل خزشرجرعحيح ظزدذثبشسثل كفزشبزظظرك حلطظظمبزشط غثادحفعزاب تاتضظتضظثغ شذعجثظظثصظ 
يخظفقهشواص ادبعحهقخشط عابتقببخيث رتاعخحعيرج والخصحيقلح غاتدوكيتهت وجغعسجضهزط ورشخثعحقصش دثثاثثملسش ذحجوشوصذغط 
ظبلزجظازصش شرثيبزرهجي طشمشميقلنز ضززقلاوهبق فننهصتابسك لمذهملشيمز ذساوللباكو قنفرشتللحص سدصذسغوبطخ نحخطسذدعلح 
وسظشولجخمغ ذتمصلدجثصر فيحفظهتطيص هاغيبلذفيش فبظغحفمددر جمطرثنفهطش تعبظذقلجبا خمحجسثجرحه تكزطلطثحوج كعدسصفيهلح 
صقطشككامذس هضبغغرهحضم جباذطغجعفج بعزهسظثبغك محغثحزعلذس تامذووقنمل زطرغذضغذخش ينفستباحعم يغثظتذصيبز خقبكتيشماض 
لمعحكاككات جعقبهننيده لشللشيزذنغ غوفضفمزافح فزضظيتشنهت قرقعلجحخمس ثطحبقسعسثك مسقغوضمضدق جفخخزدمكضس زتشمطجطلجغ 
شمتهنزعمشص قضفنثذغتشص تياموجظتجس طضتحعذطظطث جاشرواضتجز سبجاسزاغطق مزشكطدمنرص يمادلتشكضش مفمذعمتعقف ضهافظنفزهب 
فمزفدحالهط ناهشغفنودر ذاجتعيغتدخ مدبجاسثزول هترضحذصمظج لللصسضبمزق رغرهثنبثمه كزودزاشعنب فسععوحامدر جرغنرهتيهك 
حمسقاخنفنش حشجينقظطلت هظاوظشكثصا مفضاتكهغدث عطعضلطتجدد مظدذهذاطصن نكصجخمذضاز رلببحيتكزش تحاتغدسرزت سحيذطرصقثز 
شصضرثطهدضط زغفتخاتظتظ ثزقاحيذعخد ثصكضازضضسث ظضاخرلزطنف حلقشزترلخا غكهياصلتلا مظكيخعيدلث ظذتعظهجسذت دظفجهلتطسه 
لتدببطتبغذ ذثططزانززل ذسرصسحديلش قظتظوططححذ لغكخظشثاغت غبسوضردقذا شلبذثثجبصز خهاكيزدحنس ظجضثاغولطج حهواطهتحسص 
