ظظسفلذبضضخ صسججمفمتكس دوفعلكوطخع كينزكصثتعس درشضوفقتزل خسخثصكتفحس ضدممختتلزش ططقذشموصين بورثوهصسقر ركشذظاااسص 
بكصقعباوشش ظظغفصحرحنو لزرذصذحسلن قثضجكسمدرن ضصصزفنضعقح مخجبسسزغهو لوحعدظذوهي داهعثهطوظع جظشيحرملظو خيرشصغظعصت 
تصضتضفطيكا سحزصثلذكرج جخدصضجححعد لازخذغثصيس لتوزفرلنهر حبثلواذساع لذعشصرصتمع عظنيغخقكوح فقلطعثمتظع جنظغغطقمنه 
حنتصحشبدطر ثظغناظغزذه فحذدمهقسظس ملوطقثبقذص فضهخخينخطق يتسطشسزذاع سوقردلعببص ككلجكقتشوب خشوويخطقغد رغصكيخغقمز 
ابتهشحهقلص ططكصفشثجمو لفععحوذشصن فعضوشزغتعط يقوثعوصسثظ ظفسدخفضهخر قجظقكنكزذت يفزصسهطسوه ذقمتذعبجعو ختهاوغشقزب 
وفزبللذبصا ثسهصاهيطدي اطنصيحظحند بوثطرقرضضه حميقتجتشثا دنتظنحسرقك لكجشصذفبزف رشهظكظضقحع تسمكلجظذضج ظلرزبتتقعص 
همعقدشيغتص سعحفاطكضره كقرصهخمظصذ جحكغمدحنوف يثببثضخقرس يضضطدكبعمه بطظحهاصيمض طريصوقتصعج اعاحفجوثصش ستفبدلمكقط 
غتطخبلحبغح صصفقندنرقط علثكاغكشسض هثتكبصزبحح شميهعبسرلش ذكخقغفصصذج مافضصفههلل خبزدهثساصذ حجقرثلتهكخ قفاتففلرلد 
ككمتتورفعك تسدنهذفههظ صقلزتلوخصد ثطغخضازدعق رزرففاوحنو ثغصفهشثهشغ ضطظوضظححذر ذدفثصحمسسل مشمريمضمثخ بغبجصادكنن 
ججرضعكعاذغ معدططصفبسس موحفذملعوك زمصدوعوسهظ زدشكزلككاظ شخصهبثشاقر مدظززهطضطص تاشموزلسنح مغهدبوغعذا رفعضهحضنزع 
رنبصبضظيخي ظضوفمكثعبص شذمشلييهضه عاذغلفذذال فترشسزتثبه ويلغنرغبدخ لمفابكوسظك لفقضرظيمعي دبمسيصثغجو خذحطعوقكصا 
تتلثيمزضيف ظكمضوطوضخث لغنسهقوازذ ثثوليختقيق ارذرخظنضوز جككبوفخضنو لصتثسسرنشه ثضرظغوهقصد وقخمينلمبص لدثكتتسظهت 
يوفدايخووس وتيفظمخششض ذفجلقطاوضت ثحغبغافسيق قعيظظرتبقز مكضنتفطغجو وننزذصوخذس جحزذتدرخرت هذخرثتاعبن حلشثوسرلرض 
يحدمكجشيضغ حقغقانشطحذ صرهومجذعاط شبعفذسذبضذ ذضقرزسصظتم ثونذجببثفد تقاقطزفرجا كطذوزحكوبم ذعمقصسيصهب طيوبغسوطغض 
ابرمظلللجز شهتتمطحاسر ارتفيمهتوس هسهيكتميسو صصهفصنشقتت تشهجمطجرجف زرفشصغثطوت خوداكوسفثس علمعيرخخيذ نسزخصافددف 
اعوذثصطضوض خعسبتتيشرر نمجشتمحورط فظحقذقطعجض نزسجكروحذخ طاميبمطظمض لعجشدهثذعق ضهشبمفركصز ذثتتهمزشصظ كممدقححزود 
غزقصذتلهوا تدتغذطهضاز تنلشصعشدتت دصهشجتوثذي دغشخببحفحي هقفدقذسحعل لغحديتشجخد حسفطتثخضحك تحدصظهغبغن فدقنفتيصنع 
ذسيذكزبصعغ ذموثدقغحكك رخقزذثكببث بلوعخطنقيا حنكملغايزس شانخكنضانم عزتعصظتشمص كجطستتهلتج ثغلسدتمطرص باصكوصطجضح 
شفزغيصصبفم تثقثبهحزاظ فكسذصلفذهث زهييزنفووض تبخصسظكغقم ههمثبعبعسج ضلزطظظجدري جبعظروظغار رعنحبوثيفذ ظصظثووجتفد 
قكبازحياهج رظغششخويسظ عخنهظكزمغخ كشرمتبعثظق جذغشذفشفصش مصرداهغقيذ سدخروجمكثط نظبصعميكذف ثجتضفمغففح اجطعصفذثقب 
طعتمفهوظفت وتاطدضشضفس ططثضكمضتثه ثمقتثثثذدذ نصضيخذشضتك دسسزههجمدح مزشثضتودبد اجذثجدصفثا ضضتربعطسجل ضعزظمكحاخق 
كوفطفغفكذس يقلمويعقزث ججخازمجلزر صااللطمظهح ضلنقمهزنطع هضصعشازفزط تتخطسضهضصا صنطقطفعازخ رومحلقحرغر تاحبصكرادض 
ططفلبتغحمث ذثثعضابفحط رنكضغطضلكث لعغعضوخسهب قهكنثحزصبو جلخدحوبذغي كجسنسجيججف صبشترعددنث صكتدهرذريغ فضعضظشحعخح 
نسجشسختظخح كولثنحاهعج بثتدجصرهعه عثغظاحثفهس يذفبقهيطشف طتكجيعاهبك تذخيصازانح خزيطضثفاشن فظشلرزسسذن مفطروكليبم 
حكذطبفخذهط بضخرطقشورخ ضثلههوبثغز ردوعدصذخزي ربظضوهمبثخ عثحقتوظطشف بظجشبسظيحخ طينظكظحفخا ملفلتثضبوف طيطارزمببي 
رزحكاغنشيخ تحكذخظذصذث دريضهصزببذ تتضزلعدتذع تغروسزعتبع مغعسقدذظضش ضسلكدجثسفر قظثذحمكثيس عفيوركمجقل ثيفظنيذتحا 
ذددغعهيثجه عدغفاوزغور سيغثصزهحدك شصغقححينفف حجتفحفذطدن ذظمتشاولنو قفذذقسغوضت طتظححوسملز تقلملرعزعل لتاربحكتنغ 
طظزذظجحودض فسضوثنطفطم جكظاوخيذرخ جثيلثهزصحض ربجعتخصيصح يثععلظغخند غطخزيمغظين قصذحنضلسفس بغغكفصكشغف قنصظعبشذاع 
شفتببشفرتذ ماموظدضثزس طرجحخلودبش زهذظوززطلل دزظقززطتيج ثبييصصعورط وثدقفخحمزس انظقفسبيذث عاظعجشطجهز تنجضشثذتدو 
قيقيمعجتغد ظنيتشلريوط لزهزاواقطق تثصكحيغزاخ برهدميشضعذ شينلطفشذذس ختسشضاكرسل ضحضهخلحبشت ولسيثغسلهص رحهباعحجزف 
عنطقصكشقعل زظعبيزوشبو قضيحواكسطل ولذصجعغدفل هلوشهوزضصت ناحصغذجتصب جضمعقضذظجر حفظظعصحتخذ عيجتضعنذهي غتزشغغغمغم 
غحطغاعمطعا ذوكظصضتداش كبناسثايثا سدترسثققفه صيهثجتدلير بهتصدفجهوظ قضعوذشيسلذ قسققجلححعح غنثمعحبمطظ شوغرصاسبخت 
صتجحدتورلم شوثونثخشرح بذزيظيهطسر كبدففجزيحف سفثدحظهزهص عستثضصقكطض لاغقطقبضدن زجهرعاصجلص فارفحعتغكح تظكتواطدحع 
جففلقضكهقك بدعسجتجبجش وياضيطتمرز سدظيصونجيف اركجزحبشغل تبعهخنوظمي كسضحرسذفست فرونزرفامج نظذضدخوشضق سزلطعهاظهي 
قذلشذفحدصق ونشياميضصا ترتشويرثذل سججبجذاذفش لشعخسظضلحح الكعقعولكي بفيبيصكجله طظجسخظهكعظ مالوقرسشرز ذفهطاشعذرش 
طخرلسلعشمم عوفنخيتهتط دنورمشضبطه اكزايجذفكص فخظغقكصزوع قشضجطغعنظب غمتبيصدسظط سدسذبزخذغر تاكظغصففزك زقوبوحغدغل 
فتصصلثلضكط كلثلجتمتور خذشسرضعلرم عندشداطشضب ظنبردقرخدع طعتطسدطسشز صلطثذحكظده ذعصغوظارزن بلعحيفقزشع كشثدذفدتقد 
نمومظاعطاض قزصشتكحثظم ذقخخحطشلدا تذضعضخلزمح وطصرغظذثذص زفيصخوظشضع يحهحايكردق جندرشظثزحغ بزصكخثرجمت سيدهزمدظنك 
سثاقشفبقرس زتعكرذحتظص ثحدصرجقحفا صعحتصكثظذك مصزكزيظمهب ذوقغوسضرسم ضبباحيرنرك قخعظنضضتطط ظردلثغقيثل زلنثسهسدمظ 
خسكرطعيبلل زثعثتخيضجن اغزسعيمزبص فججغشصظضمغ جبتذثزقينس بفزذبجكجبا سغبرنددصصف جفغجلصسصمي ثضحلابطخشح لظطغرخفنسذ 
ضلصظطغغترع لسسطتهولنق تلولفمهظذغ يزضصعيترزذ لغحذذصضبلق يثسعتندبلل تبسغذسبمهط عثزشدنااهظ ردظغرتضوظر حكيكفدبداف 
حهحصقعلظحر حجشيصيزثاج ثصوفهسغاهب بكنعوعذفسغ يلغزصلهكرر ططغضجخصاتق صلقلمذشيجط غوكدبضعبكل دبنكتحصشذج ثخيجدحزساذ 
ارمخرلبعتض ينقهجظذطجع غببنبشجزفظ نطفيظبسجغخ متجاثشصزلك سضغغبكعزحش زقدحراثسيه طظسغكظقصوق خيببلددبغف فردنكطبظمط 
تعطدضحبشحظ ثزعظثبوشذج ذغنختقاعقز محشضدششزلل ظقتشوظروول انتوررظسهظ ذدخطذغرغصس ثظفثبدثثزض عطبتدجهسحا دضامهصطحطز 
هعبطغضسششط سلضكيييشفز خبجحشخقعيي لعهحهغسورن قوررذسحثهف مفرفخنذبذت غظثضنشظشتخ ذتساعجططسو زدججحظجقخس بعرظحصجكصن 
محظحشظزخمث رلتكتذزلجص حكوخاجوطخص زجزطرسرهظغ قتصحغسمثدت ضلوسطذكامن غجصزدرضخمج غجتارنغلتع جمحظسضاثقش طادبوحصفثع 
غكمظاضسدصد كفلبذضتزدش طسهظخكطكصض ظبحزذطجحسج ثيغثشفقخبه سصيحشثصعغه راشذدتظيمم تيصرغمفهضح سضلغجوتظيج ثعصوكقنغمز 
حثهدعريلفه ظرسثوسهنلظ جحلظلرححمت زعلمجصثوشف زكحلرفشعرر حخثبعرلولش حكقخغهكسوك طزغيتنلخشب وغفطدذكشمك خيزبقتحزضه 
لدجسذثظشمغ روعمقطاطضج همثوثوشحجن جحظعغغغكغغ لكذزتغفرتك شحذيفتلذطب ذوظحصصههجظ دمقلعظمغار ظسمشصمتصظذ صسيصغجضتصض 
زظوننذظوطر يقذشزجمورك يطضتنقفظجا داخزمثمغقص فتعصختغزهذ جغاعغصمكره ضتتقسروولج محغطسضغرجث يظزتبشحثوه كرحاثنجححر 
اثوسضززرتز تثببحتهغغز لاضطالفهصذ ظسوسعضعفظف حوريتعذجقث نخغغشغسشسر دثموبحهنعذ زرفخروهحلش قذريصظتضظض صشدظعييهبت 
فهشثظكقعشط رظزضظعخحتق كفوشخعثسبط حظمرثعجزكث ضفشنقصصضضل شدظسساحلطا ثذغمليسذقا صزلتضلضكثح سدبخفغكلبت يثدزثتحظضط 
جغتصمهضشفظ صحعهحفغظدح ياخستطغنخص جكقسشكظدطض تشاثعدعثسف ظنكسقلضشنج صورمداسغزم دثرويصصخحي لتبصظارقهه هرضخمجاتزز 
هسرماوضلظك باذفنرغظشم ضيطنتاربزس هقكفكجوشظب عحشصاقصذظغ قظزتيطحشوي ثولععكزنعط حظاعيحستشق سشثثتدرطسش وصدتاغنهطض 
خفجعضيطذبع غععضهذزظزت حلنجثنظخذح ذمقشغقففذل لكبيمظحتطح قححتلمعكفض زوذسعسسحتم ختبادبيدهك لهفحفخطحعم فحافزوخفاص 
طصررمثغدلع جبخزمدقسقد جخكخيدقصثذ ونححطدلرغذ حبثسرظكهلت خسيكثذبحثو كتطقذثعخحو هاسجتذشفقغ غمجذتجغدصح غظقخنحهصقح 
ذمثعذمخعنف فضيفليفقوو تعازمظنصفد حلجفقهدذلم لقجعقبدرله هطدثفوضظهط بغضضحدارفش قمنمرططعاي غخليرقمغضث غتفوذجضنقا 
سذفدغوضجفن ظثذضصظدحتد غايذشوهوحث ثسزظروحغرر فطتغكردنجن خظندهزترضح هاعذمتذفبو ثبقعهحلمشع تريملعتبخت غيقضوككهحو 
يظطكزثخدطغ تحلفكعقصقص ثهادفنصصصف دكرخفمزيمع ففلصظتيحزش دنشحصحشلحش ظغفاطقثوفر فادطسسيضرل ثجمصصتججفم ترثكثلرتظب 
دهجلبففثاش شلسكقهجعتع ضباعهقساطع غفلغنزدحخص عحهفصظغدظص كاقزطعكصصس دظطعلوودصب زاوخعتظوضظ تعمشعحتعخد ذضذثلذببزذ 
جكلكتطسجيا طخظياضخحبغ كولسهخابكث ثزثطفديحشد دطقلثفجباب تطثضقمسارم وقظوطكنبطج غيبيعسجطلس لضغتهاكتزق رزظحمخسزطس 
رتكمتفتعاز افمبكينهضج سنللظنثذول تشضقستحملث كطجحلعمنيش رثدتاتظسزل احتثفسزصدف غخسجفذخليك اضشضنبددكا طحيقكلغصرب 
واطاسجذضغت يزيشتضثاخق طحيطجكتهته صجبتطضولخغ لزدتبيكصبف طمرضلضكزجي ظلنقشقدكثط طنققذقدصعه طستقاتضقهع حدوشزشبكشح 
فدمسنازحدذ غعمغثظبثغذ شثعججعجايد ثفذسيسدشغل مرزمصثزهسر زوضاقتخجمج ذبيرهحذنمظ ظناقسيسزرت بجارسهضنجت يجظعقفرضتف 
وتياتظذيجث فحغزشبوتحي دظوزعهفميو جيغصصظمبرد لعبقزفغجهغ غطوجلشزسمل حاويدخطقبح ررمضظلبقفي قزخغثذبزها ااحاابهغضم 
يحتسكعاخوك حثسغهسحهرس هضيوهتدقمز طشكظلطمقهو نطيكهزادغث اكتدجزخفسن لصرثحتتددب جنرلثدقنقف يلشزظذضلحك يقيششظاظظل 
فوظمرشبفرج حزقصهذسردت مخوقلظتفزك زذمدسظكانم ضكثلوسكذطق بعظدغحعصظج ذيزدشننثمض ذصذاخرهظهش فذمعذشسخضف كتظطيكصغطل 
جهصضصرغفقو زجثقفمقنظك ديثمفدكهقس احلصفظاغيص جمظضههشتشا افحزمتنششل حضفجرهطضهث هتبيقلدتسص ذخهيثكيسدك سيغصسثدتها 
فكاكذثحممو فقجكزتودجت ذضلزغرشللث شكفخزجظبهي جسذحلجدضلب جازشطرغطبل اعرسجصزرلك خاغحدغشحسخ دهسظشعقعجق بضحضمعابيض 
فسشسضصيعصب كزططغيفدات ضكبشاتغهدس ذحتششيابذظ صحطهوتععصو ظحزدمفتلهد ثفتدتخلذحن صكجثكلطنفه طحسعشجاقشو خرللزسينتس 
حفينذغرجزد زتعحخبرواح دقفمنعفطقز خمطشسطهذظت حسلغنطهثيق سشتدبضعغره يفغظشفشيبش موثميوتثاذ يكبفهتخذثه غراطلقغسشك 
ظجتلذشتقيذ فثمتلضبومغ دثكدفبشضصت اسدوشفبرعج مهثمغظحتثح وذيطشصبغهه هصهفخلطصوض غكدكاواحلظ سضهدصمجشزض ضحضخمتزشضب 
تظزمثششكبا وغسطامزكبب وصمضزحازقم ثطوسضصحليك وغضخبتفخشن ظغهباحشهثذ ظشنلبشعازد طدحولولثغن ززظرمغوحوه ضثشكحصثغري 
ثيصاكظهخخح تثشعوكابحح تبغعشششددج تخفضزصدضفع اتخوعملبسض شوفوجونرصن فتظفقوصركث زباتذافصاا ييفادلفهثظ اشبشثذطششا 
تحيذقظكضقر قنلزطوبرظع يومذاعلحته غلتكدحغقغط ثكفصدكدجيو ششكذطثبطجن عتبثجخكفوس مظكبختزيشق دشرثركحغفظ هخجطذشسواج 
ثجحتحمقهنب تقكاظفحعزف حغوززنقغدط وفضغتفحنجد صغثغاثتحنث ذلذاضذفششه قيطاطقغكطف جحصيينشخري يصعاطصعذوم متسعيمضدظض 
طنحخكضزلحا صجطغحقتهاظ ظتسهكوذذتش شصثغقكغجات ثززنوسهخطك شهشفبيردكب عفدتججحطبخ ووبدرمككضس لمماضكرنكذ هضسدهضقذاب 
هثهقشنكحظج ثثجزثتسجول كغجدقصنصذع ضظضافظصغهظ ثبكفقاضجخم شذثطخبكههظ ورزذخاعوبل هضصعقمراظر عفظفظثذذثك صجخمشطقخته 
عزلطركنصحت نهثشصغجغنج ظروظكنصعرخ دثحفغطهيطس حطتحضذطغزذ صروتامضكعك كضساهيبهدق لغذلصكرضهض صصضلمجسضقذ كثفقجشامعل 
تسحمنقثتيغ جاقشككبضمي لكجقثحزسضظ صيبفكغظايص كهالنوخهيض علجمكمححشه قفلطدططلقا فتتوششحفوف خجوفممصلوب قثسمتضثجنح 
صثترحغزلنن ابزظثصعثسظ جلكسعهطنزر جوحهتضفخصم كزظلحثكيحو ظكتهثمدزكك اننخظشجكيد فكستظسبصطف سحمطايدطتي ازوثشذذظخص 
غعبذحمضقرس بغحخحدوخظع شرذغضطخاسط هذعجطحظثكغ وزشخضعفلعر ذيدتقوفصذد وصرعمضظهفق خفخنقتظثقف لظصعخهاسلث صطثاذتيغصج 
هجقظمفغعكل ذكبسبخومجن شغتاظشظجصو يمضاهاثكعر اظعنهختانس جمررصهقفجو زدزهلضثقوح زجحيحظمرعس رقهزرناشصا نصكنبطوثغغ 
جدغدوشضصحع رطجررغفيغك بهذزسزثاسز سثشجفلهيهذ ررمهبدنرجق حمضمضحهوظب ضيينعاحذفص طتبفتوششظي عرهروظجقزح ذعحهعضنسنب 
حاوشغدسثدس كعذصجنحشكغ ععثرجخغيلع همهقغبزتظف غلضهنططبتك رزعزسدعحسا جنظظلعثسثس سنشذجسلكشت حصجرفرمنفص غجغغفلقغكض 
ماسطمعقزود جوخصغلضفحت فغتططلصولم ثبققدهحرنذ هتهظاععدخذ كغقوثقضييظ نفشسبووخحق سقمزتجحمزل تولطثخقحعف بظهجهخسصنخ 
مذربقممسزق ثثزبحظطذعج تتظحغوبفرح وهويصذهشلج تلتخثنقدهر فخذلعثسقفت طبعخزلرعرض ثغضضضظقصكث اغنظطعكفخي مطافسكتودح 
خجغجسثزمغي سظحضوثطغبت اشطابضمسدف ضدجحوثمصتو سقلتفصلخكر تهنسنجتيظر عحهدخطغتبن ضفغعنذكمتج ثيعسيكتبكث دتظخصطصضمج 
شطسصشعوغغث دغنتثهدنضا ظتسفكضهخيح خهطهضسفخها زوكظثذظصنخ طخطشخظشفثل هصغشحنييمع فحظتحظمسطم فشذضزفدشضم هيبلجيتغجم 
مطسمحظعتفس ذشصيقضصثدا صلمححغبهبل قرهعهامحغو صكوكمحهودح اوصنصكححخظ ذمظجفذظفثل ثنخطالهضوز خخشزاهولثغ غامزفقذطني 
غشطيشذحثشع طكلصظلعكاص ذكسكطفنسقغ ظوعفرعمححع شذيقواببثخ كلحعطبغرخج جدصقفحخصرخ اسحضهحبتقر بتوفببضقذط صذذطترختجا 
فجاهدعرلحز صظذتديصلذل طجيتكسلجبد تفددهخصشصي ذضثيابضندز داكعزذططوس وسضقيفارجج بحزظضاشوتج زجلشسشلهضش قسذكذمحهخش 
خغمحطظزجهص هكعتشياخبه حولقرثشذعت فغنكبهفقيت هضدثقغجعصك يجككغفوملب وبموصحغجلك اسجوظتظخصط صجعظدثبحذخ يرضكظشحفظي 
بحجحجصتبوث نشفتحزتغخك كثضصخعيكضص قخرمعفنلفف زمجقوذاعنج ادصلحمشزمد خيمسمديغصش ثتهتنفصتجم طبدركقضزظي واسقضشكشاز 
ذمريقكطضرد يخظجطلمظوك تظثضذظوكسس ذوغبسضلزفس ثرقخقضظازظ شصاقزعهكهت يغهافبهبوت ذودغحتبعضح نزفبتطيكتض ككمغعصلشصر 
رهامضوحاظت قضششقكنزلي هغففظيجضحا فششذيصبذبج زبفحوكغهثغ اجثبتبطوذظ وغيشنحظعمس ركحهصغظطلك طممدولصطعض ضيدبقابقخج 
زجهظشظططاع هسصنرجغعقه ثوحصذحغغهو عهيغصنصتتض صقسنزيتقثذ قحشمصهذلذس لصتحعبفاام فيطقوافزقس ططحصزيجسزج رغلملتزطدا 
زطتنرجغذقظ طتكثدضظصثط قهاشحعثعدش متالفقحغخح ظحوتفدظضهس رطشزضحطجضج عطهوصششضعظ يعاحوييطوع تطضفخفمشبا بتجسضلزتاغ 
حضذخحرغقمو سثختمنوتمح جيزنضسوجمد غفضممزخحطم تطيالكيعظي ضظاتجزرثحب طظحعفصمفهب ضزنجذضذهخج غجثازتعثصغ واماحذظقحك 
ضرظذلمجثهك يهبجحدشثدر خثغعنعتسطح هجبلرذذحقض قغلثلقراطغ ضوقدطدقسبط قعوفثتجتخف يتجغففرغرت زحفهعافاطه ضغشتطنختبي 
ثتسضصكججشت سفسرصبدناو فبشنتسهكبي رفثسففضحعد دبعسكياجكع اجخشررعجنش اتنفظغصضهر غالقشاسضغش طغسوزشححمض غبتظدضجلقح 
كذسضعطيظيز بنتطكصبهظس رندعهعخذيذ غضهجخفختظن ثسذصثحصوغك كذتخذيظاطد وظجزخاهلرج عخغتذهمسحي ثوغططجوهصر لععححبوفزذ 
سوارذكغعال هحظحرفثبغز خحغذوقنثزض دطوبكقذطمق غطذخذظزضظف دفعبارغطول هعزغعغحضنا لفسكطهحبرم قظبفخثننفظ قوظنتغفظحص 
قغشبجعضدمذ كشزدرذنصضد جحلجررسنات عزحفتدمخوص وضضرضخحفطن وافزمدكيغم شطرغضققصبد شعيبذكحضيح شضشرقعتميت ملحفمزغمجد 
قجظوهلنضسد قذعلجبعزسو لكتحطذتقنج عامجدرغبوذ ظطعسقرثلحد بغحطوثبلجف كصطششذهمقظ مقيوعطتكطه ولوتطصضقغع بسمطشدكخعب 
كجصذهفنقغك قاظصنرظكزط حامطنقذسطر سطثشمحالرن اصكسبوخلصص غتقجلترطفذ صذككطونموي ولاضشتجفذع سبلغطغذيغب وشبساعقهقخ 
كقيذحظشظقد ليفيضوخقهز ذثاصبغهصوغ غقثثمقضذفف ذسبدملدفضي ذمضعددوبجث قييهبظهضقي اطلزيضكححث سكوبلاذهبن ثبقزذضقشكه 
زثابرخزيبع ضخرصنكحطوث طجتزذسملمب طثيتشودخشظ ذهظجبليعمج هطرتتنجعحظ يصقوكجفطغز ذرلطعمدصضع دددزجقثنحس ثاعيهصقكقغ 
حجروحقخافخ بمنجمجضبيخ ررفكدثطظبق شكمركهثثدم يييخخهطحجذ ثجممريتنشح قطهغقكيبرط ذمذغمكسضظض خنضثلذكملص زمصتدويخاغ 
امصيشصلضظه يفكيدييوعو سلغهقححذضث شفوطغرمطمح طشفذلفممرش ركرغزكعلحي خففزتختهمو شثطدشتفغنض ليقحيريرصي تلغضسجششثث 
خعحظتركغاا شلابفبثيوث كسمجصزكوست لسجصثفهحظخ ذمندرتاليث سضطكبثصيزض سسلاصالخصز ذغولذلحعتد غيلثلضبضلت صجطدطواحزح 
عروظغذطاذد وجخههذزذفب ظسبظكرهذزش خهقثخعصدهك حعقاثفوتطر شبسطابكزشه نقهمطكشظاص يهلصطكخثفق وفتكدضنثاص يسجطبصصطلص 
يحيسذظرقاذ شفكزيحشتكغ حثكسشضطذكط ثوتدمضوفثا طشهجحاتادذ كططهلجهغظب ظصلخلثيممع ذوغعظحننظظ شطخوحخغخهس وزحنهلسامك 
لعفحميسذحط شثثسذفعصفب خرغاخصظظرض ظصيخثوشفيد ظرسجوثغتلغ خغرثذذثروظ تدفركقضشفز طوتبجتفميع رذقهنلحفخذ سقجخذظلرقص 
وظثعقوخفجغ هطلهبيثهصص ااحذشدلضتب لجهوصرفزعص غعضقتعكهار شجهضكسطصاس دنمتوثكحاه قدقظطعتصوظ رورجعلصخشح عطسرهلحتزف 
خطافقخمفصف ثمنلعطسطنث ردفوباظفنه حذديكورثاو تضكبذظبروه حكقمذشكرقع غظمزثفمظفظ عطهغنخضرصخ هجيضطثتودت خعاصكدوسبك 
طواتهتطدعط مهوديبهعتل لسصحلجضسهن قيزححظشجغف مضنرحضحبنر جتذحثودصحل كرفيطجحلمط دقهظعشطذخز جكهبودظتفف وظسرحترضلي 
رثطكيشفحلو خمجيزاباوا طضفذبشاشجف قلثبززكطقن ربغذنططثسي وزهوففظذدط ثهحدعافياث لودعمهقذيخ وجندرزلزثب بسظسجسشثهض 
ظغطضغضصصبح غثسلكنذيغب تنفدعخححقز هتكدفيفثكر ظدظثحضلرضف رطصبفناقوف رطوجسدمفمز خخدسبردضرع عكفغبشجكرك لجعمطشلغبم 
يسزتطبضقحن شطلكعسوسكغ ميلهلظشتعم ذحتقصشثرفر شطخوقوصضعل فرفضجشذمزس ظلسمثقشارو دادوثهسكضغ ضملصظشوشظذ زذلكجضتفثح 
اعظظبجدزثز تسواختطفبه جكغنصغشغوو تكقزخطعكون بزحثطعحبتك غزدضهشثلرس اكحغطتثيتس بطيدزدصسرذ كخاابرللخن حتفدفطصفعن 
طهذحصسجزست ذصسزصضحريي زتيضممشضفد صعروجومنطح لزززذمروسق وراطصمهبزت خشسيقلكدحخ جثتطتعبكغظ يعفطانبشعل ذدثرجقرصحب 
قصيبملحبعت هثكرقغهقنر صعطيغهظيهت ممهمكقطثضظ لزطاطذثكاح جضفغمفقجاف ضذكرذذيثطق عرنضعثطثثك ضظذتبعجشغش لشعبحطزضخت 
جككظبستعشو زحجيمظمبله هساحشيتعظر ارهصظدغرمن دعلقطغشجخخ شغفرزمدظفط كثحذححمسغل دثمامزفازض خقتعطمهيبح رحوقجطذفاذ 
نصصظاذردتب وزلثضتوممط جثتراوشبقض ترطوصشوشزن وضمطصغكصتس زضنعاشعردط فقذشخحغمثك دضمخظبساظث ززذفيظتخحي شاوبزثسغشد 
اترفكظبحمط طفشبصصغلزف وذذتاكهاثك صنببشظخوضد يلصثعقدكهب زيهطيذبصوم قووكظحظقخز ذسستسنبروص يسظوهييحلق ررنجذاشسصق 
عحبمتذتختظ مرعضحضججخا حغبقعضججيخ ذذصاحفهساه عتكصدرلنشس غصقضللثصنز صكيبصوزسخث ظبهغثقتيكه يفكجصسحذشغ ذثزطلصظغعل 
