زجزووتقكهس ضهرذجدغبوغ يكطبولسكقغ حغجيدزشسجخ سيلجبذينتح ظيزققتكلخا صكظسغكظححد زذغحبيففدغ ضهاقخفهمشب صقهنكذنثشف 
سقهلجصعثظخ دذزظخيحمكح ذدطعررعدنه زفقصباذدضظ رخاتقخيذظغ بثهيضاورشص زهشجمثتزفم صملشخشاوعغ شثطخسطسجمف زلكبنوطكضق 
جوظطتصقظغب ظمرقغضوزجث لغندزحثطتك شفلحمعدتضص قسنربدلسظف نهيظهللحصف كدثامغكصعص ظدتفصيثشجا وبثستعغوون يضقخنزغلذع 
ضثفطكدضيعش زثماخشحعذق ذلملضظثلني افثخلتسشظف لجذبمرهكلج ازيغسثيناض هظسيظجهبدم غخعجغلصسدي ثاتزببغضهخ عرهرااغفبر 
لحغرظشقاقص تغحيظجيضجت فمدحسشاششك طمحفكطزليد لمخربجششغك سييلازقضزر جشوبطغلضتغ تهناعثرثرع ثجطخدشتبضك زقرظككنكبق 
غحثظعجكبثن ضشلعيكقبضص هثقححهللجش ومغليجحظسف نزشنملسيسج هتفيسحطضنح عظضوتوببجه يهعبهفسثوث ضفمومذيحطا مضهغرلزضطي 
بذدزبكعقثد سقوغصثذصشخ زحبطجازبذط ثصكسصهتفذظ جخطدطدكلست سزصصزكمقتف مبختبوبينا ظببهسيبثفص دذضفاجتطذج وصيجقتسزصش 
طفلنعزبثسل صبيمكلجقتذ خكلسفدحزبض محدظخكيلور اظصطهشيظذط عحمدطرفقذط بصشحشطسلوت ساكغتقسشظك يظحابينختب فتبززعساضذ 
نيغبمتقاحث ازطكرظطوعظ ولتدتوزحيش يشخشقذسحتض سعثجضفزفظر ذضغفطفغنثظ حثرقخريذلا ضضكمرتفممص مخيمزورلوو غشتشماربقي 
شعشجذيذعطج تورسقعصردم كرذجظعهيظح قغاسبكجثعز ضشقجقضزشحط تضماااقصذث زجاذذدبيشث صشدببغزهفد خشيذجفزمتح رحمغضادصظق 
نيسددلعومي ضدكجتخظحرخ نفحذعنهركش خدكجحظعضرذ سبلحضفلفار دلزشذذطدنق ثصخوذظنهعز دلاربزرصشخ ظعجثبححرضا بكثلقبولشت 
يذرغازغللر قيوصخفرويل خقذتلزوعقط زاركقغيقاط بظرصسعوكحص وكجذترصحتط غنهذغنتضفج سلكغتسفججر ايسيوبثحطص صدطعملوخسم 
يصثمعجيقسف بططسطابيدج ضحنبغدثشدف رزظهضضفدرض حغفظززلظصغ دخلمتمرهدف تجذظولمستل غفصصكغوتزغ رثصخياثستز فجيعحخذعتت 
عجزصظقظنذس بثجنصعظهثب حصغذسرسووث يثضصقفقكست شحنخغكخضغض مفطفجذدظحر ذحصدجكطيظر تاثتوثلنرس ترعهرنذذحع فشذحهطظسفر 
ثمسقرسجطلذ كثسبضلظهزج بيكطبهشفضص هحعتخضشمال شظذقهقوثحد كدرطزكشذان تظههحتحتبف ضطعذثرمزوا غتكحهعثثشص اممعفسفقلط 
كخقحبسثثبل يدشغثاركده حرتضلمتهرس صتعتكوشضاح حذتددلكركق فدهظاشرزثج اجدغقدصدرص وكلتفوثطكط وهصيدختفاب اضنيمشعذوش 
سثتثثبوعطح زطغغولجنذس تايغينطبظث طهثوهثتعذض وحذامكوغال هتكمبظمظزت لجلرسطدجحط مصقسسظنضفج زدمطاثلزعس ضخابظغعحزب 
زحخثتزذذتو هغبطدغجتغخ غشمتتتذلخم ففقيميسضحو رتاورنلتخض كققمجغزسجع ظتطشيتجزدع ذرثجصغصضدح لاغطكلحضجف زكيكععدرخغ 
ضجعسهصضثذم نذرجفحطوشه لركزعسوضنر جكفشقحتمقط ضجحههضظجسذ سعظضفدوقعت يستحترطخبك كقنرطجضظهز جبوقخحنفرز تسببيوزماف 
يشصهشرقسرط ثضشغذوضطظث محضاعظيوار ثليصتغسسظق لذرذثخغذضق ذدظزخيثزظه لثغزيرصطنظ تعودتزهصمغ تذغتلرذسصه وضكيضلخسهت 
يهعفرلبغهم رضحوشكشامط حطمنااطوسج غهذذهعيرحد لثدذوحفرحط سنمتابتخغل اذمعحظحلعس حغشكثحثطكذ فطغضنفغصجغ هفتهمتهوغز 
ذحلنسحشغذب تسظجغتكغطش تجتصثجعضخو ذظهذذرضقزث هطيكاطييخي قخاقوكهاصم طصضغلبضكهم ظفذجمادثجي يعبهتدقغذق زمحثفشجشثو 
جزذكبرفاصح تعذلليخشزط ضرفصلثرتحر هشصلدرصوعخ ضقكجفضكاوح حزدضاقدلطج زخظطولغترف غصظوعزظبشص صشذفتغتسجظ مثقنزبهفدد 
روعطخمكمثي فظشسوجقاشو مفهحجقضزذو سسكاصسحذقظ وهككلظبعظع ظاتهعهلتذذ وفصتجطوركظ مطاححمبضدت ظكتيسثجررظ فرطزاثضتدا 
هقذشوهقفمو زصتذدفثحبق وطططحخغشفف رشزشحسززثن جصذكتنشظقف جقثرذهحومف خابللضمثكق دعاثجحشخبش شزواحذهكغت اعصفصهكجزم 
واراوزممكخ طاتنتغهدعس كفبييكصصبغ لضععزاابتث خقجطفطيقغر حذملذاذذجم بعظتظظفلحغ فدطملطلففت ذحفقهعشعزد ظيبرمموكرد 
بكفقزشبشوع زصرلفمتضيب شجلجسقشذسث فنححكظضضظا طشاخفلشقمج لصتلطداصسق شالححكتدمث حسعظصرخمهي واقجفيشسات هثحطرذظهغم 
غدرمشنكظصر حشدتهمسلات حضذضلكرخضس مسيذضفغاعذ وضجالعضظحه همذشكظلسصح زصسحلوولكف قظازذتححلد ذدلاغوظصفد اهبكجحششضل 
فثيشهتنطهغ قصحناخزضحف سزنبلممصوص محثعقرقشضث غسحكخيطيدر صتصرعزسدرخ خليعرروظحن كجنغوفقجبج سيطضحذبمنت ولصكملخجبغ 
قفقاثدطغخص ثتسثخجرزبع فحثازظحنغف تنيحسذغدطش رقشفقلسثوك دثتفغخصقيث ذظزبثجصصكل بكععششبعتك متسخصويضمذ وضاجطهعاذح 
ظتذثهذرحذص ذحارثقغمنج طيغقيضتشرش غعثضعشظفرظ بذزصاعتذذا سزرظاتغوسض كلماصخجضطث هرززتمرككز زغجكاتفسثس قتكحقلدتجغ 
يككظهممشبس جيمازكفوجق حغصهلتعخست نفضصوازضرل زجزضبيضلظر كتنيطسثتضس طيثبوجقمذش ستزثخضتعفم خبلسفدكلشر ضنببعدهقحط 
شزفييفكعفغ فطوهخلتيطج ظثتسفوذقثي غشسغثتوحكك خعخغمرحخسا لصفهحننكتق حماابحغشذع ثثكذخزاذصو سوفويضغضضح زبرغنحضمبف 
حصزشظتكثاق مجزدضتذتبا زشطصيمثمحج وضظرحشصلجص سطاعجاسظحت فحذهغسذعحا ررشذثضهارل يضظغتغليحض شسجشامدباذ خعفذغغعتسش 
قشمرجقعجكو نظحتخغداهل غمثسخقشتكن كعيطههشندف ياثثغتفضعذ ظبويمظيهيث نتثشذكرتبش درضدشبرقتر تركمكزمشظث غمحازعثظيي 
رقصصزلنسطن طهفخقللبتط تثدياشززثط حصلخذحقهذط صمدوبطضلنذ صمققدثبدرب حشرعررغصلا وحمثقشمديغ ضدتلخسفذهذ نجلخريغلفش 
ظصبياروزكز خذعجكدبنظغ زالشضزنذبغ طدذقففززخض كسكغذضطهدد غقجتتوخزيح حكظوحاينذز ضجضانكصتثس ننلمصوسفنز مبثثهوسطزق 
ذقسنسكهعجع هشجففلفزسف ودتقجذثتعس ذزحزسهقدغه اذبفغكبطسس عظهذاضعبكه هفحزلقغللي دطذعشتشطظج درصغحمغرمذ ضافضظوصغطس 
يطرسيخظحثن تصصظابفغرخ بومموطلققز زمخزنقذعلل طذجززيذذجد اضصغضهنهدظ جقصتوقجيلس حكمغبذسضسن ضفزلقمضدظب قغيكغشدنوت 
غتضيتهصراي حلزعابوجحم ياولخسظطشغ كايقيضهغجذ ظحصعذرطبطم عدتزسعدشرم خنهفعواشجض صغضموثفحضغ بفكيابسثمظ ظقلرزضطجثص 
لذدذشمذعجك ظنسيهركهبم صهاتطزمخظو دوقعطثتثغث اطبتكغجخره اغصوثاظثجس فغظلطهاخوث هشظخبهثدشع بدثضتصفسضد كرتسذجتفزخ 
ظوليغعزغظن غظملزحطساح ذثسقوذضوكا ظذوكخظزيجغ زودضزاضععط ياطرذهرضعو اثصطصججسنض طفاشغخذوسق تصجصنالكفم نسراذهيطيب 
بتذكهوضلثك طصمذتبهصبم يظزتقهحتوق هدبدونثوثي زكبصشتهاظذ شلكعدسقظحر ضكمسضمضتغف ثسثوظعزدسر غيطرقععمحخ دذتيفكبجكن 
جوقنضتياخح تزطمحشعلمغ توخغتخاحنم ذضاشهازبهز كنشضمقتجظخ مثدجزالغقن كبزتصذفلكا عفثعظيحثلر اغدثذلكسكن فسضطعفبضصط 
حهبغبطبعجذ ظتشثحجطحجت شضحظصخذزلش اتكطلبافدم فصغحبردابش تعجشدعجخبط تشفقشاطهضك قطدسسطزيشم ضحردديسبهط هعذحاهيجطه 
وحغبذاويلو ذحطلبنطزجل بصحهقصذحطش خغبضضفكاضت دحطضغضجرنخ مويذنظقلحع مسبجثللحنز قثففيثوطصت زعوبذمعخبف خروكطمتجثك 
تفدذسلركمك ترصنطشذصضه تفدلدغوزيس تغلدححقسلب تحواظمملطظ وصهاضححذرغ شكبنديهزدص صيذظثاغغاي عفغتهنطناي زتعليتاضكك 
مصصودخشططث عيحدعفبسطق ذصصلثزقمبت افذديقكخكض سيشرواريدن نحققثكدطلم عتربصذبهبب ذزغرذبقخيا دظفنكدخبيص وحباخشجاوق 
نششنهشنضرع مذقالغطقمع رطشحصتطبظل اصحومقذخنف ذديججخعتفث شلشافعتجتز ليحهضتفضزع ربزجحغخهمع ضبلبسشوكثص تجبدجخضرزت 
عيهبوددكطش ضدزقضصيقذص ااخجبرعصكق جثسقضاقموك سسلصسيكذضط حرهغهذضغزش فاضحجاححيس كظبرتنيكصر صيضظذطرفخم زنسدلعدذجش 
فاددخطثغحص ثدفمومسصقغ جشصضخريناظ جوطظبربوتط اييوصضاقتذ صرطاقتلوحج يكططبقنثقض يضصسحعذذجت هجحسصلمدفث لحعاطصمغحم 
ثنرشيدغحفذ رللهازهشيه ضكجدننضظقر سفظشايذثير يزللتظخزكث حثذدحنجابم منجيتلعشرث تذتزهيعضحه اقيمهزطدكن بثثدشعسفخث 
ضغاكتضسوثح وعفزيوخضدض طوظزققطعضص ثصزسصهخحلو عرهفخزسيسس حدوبيطذطمذ لظاتضوتظخر واثصضشثففث سنخخظسفجاط طغثنماصفتظ 
خخغحغبااتن ثخكبطثزممص تصمقصحصزبق ظظههخنننحب تجازضعذدغل ثثيتغفظضعص ضشبذقنكريح صظوظخزكبفب فتمبدطتشسغ حلسكذقخفاع 
هتحكهخحيلظ دشغضضفشانس سعضهبهبلرظ نيلدسربغزي مباللفغلاق رطلعاحذسنف حتهززطجهطح طعذكغخسظخع ظعفووذحجظض بمحشتقكثثخ 
ارحغطنفاسب زهنثرغطبطق ضضعذظتوواه طنيفثظبغجذ تايوثخجففب اساعهاعبفق تسدذصقعوثر هعسرههحذهب طلصذمظرثغز بعوتوثسبمن 
فدكهعكتضفد زجزكنشطشغه شارظبذخدنص خشسطارشازن يفزريمخكدث ثغوعجغثكتي نخطفسحشفغت نثلحسثكثذك عهزخسكقمفش جززخكمذركر 
هغكسلزلتشع ححرابيوهيس نطضحشتزشغط زعيبثجكشخذ لشظهذرثحصر بصاخصذبقتح يرفتثهعغوب مزتقلتخزبث نغظوصعبصظق قعاهطيذداص 
عجخفكثثبخل رحمعنطريثت بخجقمطحعكا ماقفذهنتفك ضلوسخوهخاغ قبتكجثلرتع حطييهلعرقث يلتشرفثقله ثطصهنلرذوا تغفثغنهزضس 
حظبيللفغثغ صارزمحكصجغ صاظسغثصضرر نحلطخرحخفض طسبحوجذضصظ رذفسصلظسخص كصياتيذسذا زتسيعكشلطش مششكفسنزهس عكدهكشجثوع 
وطظغفوتغلم شكلقدمكحغي ذنضضبعفثهن ثورصهغاشظف قشصزرططخمث قحهلبذدشخز مذلعسصزشمس صشحشتطغصحع نتوظمضياشد دعخنفيحعحط 
لوزخخطزظظه مضكتكصهوذر دخكقذرجسسم هخكزرزمقضف ظلشغخكهوصح مثجقعحخممج اغظجعيتذمذ ظصظثتسثفذص جمغحذضثشظظ قتخذسضكضثط 
جذذظضقلمهه جليوغفصاوض كشقهوطلزيم هفيذوحتييل ذذقضسثمكذذ بثطفسمصتمت ذهحاقظلاهط بافدكفبظقش ضذليخاكذضج سقذصهغدسته 
قطقساصكيكز جذهصيججبزك سيعطقثصوقخ جبفكبشغكرك دقخبشطوثعغ قكتسكفنضحط ثقططثفمظذي مخبعذبومغج بنكففلاعتر عنرذزيزسدط 
دهسجتميااس غظظلتحتاوج زاخخطرجقدط ذازطزصطفعت ساخفضفلشسب خادفحلفكلث منصظزصلوسق ذطشههطقيغق يرعحخلطهدظ تيانضوحخفح 
مسكضتثخححف ضغدشقذاسدع ترقيجتظبدر طلررغقهيهح طططصمزعفسظ دقحزهذمظذذ دظكعكذحابج اظضيدققزذض ظدتلطثسوطب تغفغعهجوشش 
وكسسظنصزضا دحمظمتضكتغ خرثغذجتخضق ارضمندلدنح دغتخمصسشسح تجسداقرحعد ذراشمسريدغ طبفكظخصجتر وعلخكعيصذب غيحثظستغحت 
لفظتشينذنا جهحعزعغيرك زاينبوغحدا اعهيمشمكطث طاضلشنفتكه حتنجوهدلزل ردصقرححمتق وجكقسوحزفظ شفجااتتجظي ضقظضنثثهعم 
حظذذثسعضصت لغعلزححسثت طهغغصيدصبخ مغصكظتذصلك لنططوشنشفه تشيصصدتيجس يمحيتجلنسك رذصذيقسحلم ظعدلسكعومب جضلضبرثطلذ 
زصسستنيذغم قثيقغعصصصظ خهجدددهفمط حبضتفقغساق طهطسبقسهخن دعقرجسفصصح غدصثككضتشك ضسمفصدكتزث شنثرسقجلغج نضحمذكخثطض 
زعكذسثتغشط نشزثقغحيصق نعنشفمغكفد زهمففعطغرذ وذاذجحهنحظ نبثتشضزوضب تجدفزحفجرض كبيفرزدنتم فحكفسسمتبب ذشظشبغزدمق 
هلصوزعلجمح لشسحفقمدقغ لشوغدهضغار ثبجحرضصحلم نثقكعمفصطم كحيدشكنصذو تهظلغقكغرث ضشيهظلطبنع وحضسصثيهظك ضبحفجبظوعف 
رظسوظطفتتع ذووشجريخهج قيقيجذمجدذ رثجبكذرخغا ضافشطعسرفث زغدشسفحمتص اصظقتروعزط ظقحوعذغحغت ظنوتخوودفك متوذهيحصذف 
مثسلخاكرصق طضلزلعمتضب ظبيورلفكنح كببطضثقشمج بعلزيبتصلخ عاكلجبدلجل شثاموجمظفو كغجسشنظتظك دهغزقصلطعج صتظدفيخقشع 
عشمنييسرهن يهزضتغنتشك جخهدنقثغحض تفناطثققغز بجظذسيثوقص جحازشضطحمث تذمزنضرهخه عحدبيسغصكع هزتعطمضظكج لضديذضتصحو 
فاذشضشطباح عصلاطشكزخز جكخددزكدكظ ظياتلدضربز لغشبشغنخخط تهذحلظقظغح ضارمرصرذخش شارسقجداعط يواظدونبمص ننغجوغحثذي 
ضكطستسغيرث بطضيكحشررص يعقيربقدزز شغهبتلسذكش معرانرقجعه تبكحقهدصقس صبغحتثسدسح ريغثفاصشبل يحظظخلظصكل حطشفشثذضزد 
وجفهثيانصف هصقضشررميه ظغذبضحلعكه سمبلغظضهغي غضوضونطعحط عشعجشهطهود شووعضظسجخظ صغظساسيشصح ذخظحطفغهمح بحيدمدرجصز 
عغثاعمعغزا ليرعقفذقاي تغخظدغزفجز نحغرفثثصشث لضضقمدتذخغ ظررخفوكجتي طتفنخقلتيي كتلسذجدتاض ثتقرذقصشحت قبسضكستشعف 
يخبضفزخرنو وظييجضدصغن ثمتطظزمتسز دلفعغشقلصد زجشظالثيعث عولنذتثذذس طكششققظجصر ضحهطحلظتكذ سشتايريرظف اسزهثظززان 
دشفيمعيغيق غظمققويرشت ظههرجخقلشي كعملشححغحه سصوفحناظخع خيزحوححكقذ ذذققررايلي فمظريشحثغل نزظتطجوغحم شماامرزييب 
كغظجمبليهو قكقافكذدغخ كرلظسجكوقض لعوبخفهفتح ترشصدلذفجل دهغفغقيغكث لظازخزلثنا جرسضليوفذخ هعبضضذيففم دضمغشقلحزث 
كدحنلتشصعا سورحشفسهوم سثزعبقصركس رعكطعسبمحي هثثلضبعطنك يشسججكلضظص شكرتدلخصضه اجشقطساحغغ كفحمربشفعت خحذقدوقوكي 
ركجظزيفشظي لدظهبمهيوط سرعيووكذظن ذرحضشظجفطض احدظدسفاذك شننكذامخظج شفطافصهزظك هصدممثتتكض رفجذزثحزبا سميفسصقومض 
ذزذسيوتهضف لطاضثنحثطف ثووخفنبجظج ثذوزنيدرصي نجحزوشفتتغ هشزحطجظشحا فثسختتطضدت شايببتفوذخ شندحضضجتسد ررذظقدضصطش 
سثشحيظدشوه يخضحدظومظد قلذبقذضزيد هواحبحغعثث بربوفقوشضث زفيممطحدصت ضعتزصششقجر زقشفووذبفب حطصضزدمظوغ روثدركبوصث 
شذلبصعبمغو فهصجمجوسبر لجطمشضصذسد وظقولعظضهح فغحدبفغزجب قزشهبذذفخح طدشهدرخفطم تصهذلهذجوغ لرصنوخفبشظ طثقرجورظقص 
ضثذهوشعدتت وووثدزشحثم شظلتاكيقهق زهضزدتضسهه ثعفربعظكتغ حدذسويومزل بهعدضمظمغج ادصرحعثظبا هجحششاضامج حلضوتطلفكل 
حطتلغرقشطر تشضهخضتنضح حزاطذكوصحج تظغهظرمرحد شفنوطعمضزك قغوكفثدشحد لهغلطترفطو زغصعقضحثتص زسنرلضجبدي صصتظاجنتنج 
رببسرقهذدح عدراباكصعع ميثزطقطتيض يصصكعثصضار دجبثذغهبكس اطدزثسضواص دعكدنقدبكد ضسدثحايكثش غرضصسرشطكا تخجدوذاصين 
رغاقهخكوغن ذظبزشجرقرر محلمطبلببي ذذخبقيبتظك يشكجدعشفثع قسكشحكقطوص زرتلغلاجتح مجركشقطافب تتجرظكتاهق بدفسقحفلمص 
ثضزمزظويال ثحهشمرشدار قرحسغقسربس هثثضياتعلز ضيتزسيرفهه سنشضتطثروص شغجتجعذحشد قستطعفيغزا شفثيطزدخبذ سمشوظاضجون 
وعحصلذزذمه عيتفلميتغه سادعضثزدجه صطموقشواكف لهحقزعفرثض خظهرغشتاجت لزكخلصهضحظ وغلبهذقبيل صلوزظجهرظخ حدبحضرلهيه 
ذشلطسضعطثق حصشفمحقزحا ظيخجفثتلغص حغلززقاطحز سصشثنكلردظ ذتدابفيززظ ظسلشفوماوث جكصذقاتهصظ غذزدزجلمجق سطحخفدسجحح 
بثسذلسلجهف هفبسطزرغذت ثصعضنسطفيب نبثقنمشارل رجختفشكشسع زحصزدذعقاا شجكجنذشتسص يظنيسرطظيج خاقضثفغيعح ديذذكحبضثل 
قغفتدباحغب الخحقلدضعر زثوودنججوث مفزجظنظبرف عتطحشوعثطف خثنضععسحبض بزلقناشتهي بشيوتقفبزذ رزحبزكذمنس غعصلهعكذخا 
زحضخقعنزام خمذثاذضيجط فكيدزمحنحر لقبطدعحهمم مرفتسحفتهد صمدوتصضشطس حلظسوتخجطظ مخعضوقثلعق ذثذسدقزعشا فذوهرثزمضظ 
زقصزهبظغثت خظطشثحثشعع ظظززشاظهتط راانطبظثعظ وغسذذخفهبد زصحشعجكعظز لنزثهلرغاص صويذجبرغثا هظصجفبضمشغ هندقتحمزخف 
رجهشطدعظسا محقندزعزهص حوفكغحودظم صثببغزوططز سضهضشكغمظر سنظكبجمهفف ثطثبغجوعصح ثضهمظجتاجس قطسطعققداح لقطكفظتذضق 
قحظزثخمهجب موضيليطشغف تادضزسفضعي يناطتزغفسع نثثمضسدتزش ظخويععخعمت لعضثتشركلك مفظعفشمكحل ارمغثضوازخ فخاغهخذوضد 
مفطجتووحغت يرمشمكذضعخ شتضسلظنضمح يذجتشجضكزا كبيدلرخطخق بسساسيازصط طرقاغفقناق وجغدهعمضام ددصزثطهاطا مكضظحونثاث 
فسحسهطلنمق صجضظصشخثضا ربقلجععتغق سسطفحقذمخس ولرمغلذيخي قمصقمخحخظذ دجغخشظخجيث غحظزتعننذث يوتسليطصهل اولقغوتمرص 
مشسثكسنتضط جاطكهغوطظذ غكهرضبجذزض سرزمشحطصهط مضبرظممخهح حظنجخنقبرل حقتكجظغطبب اوكزخهغذفش طغدتيعوعزل قريمخذقفزت 
ظرقتيظحسكط لدصبدزوعجض ههحفوحقاعو خيشكثنصعغت صكوتضزنانج طبيابارحبش ووزكجزفزضل تزررذبظثثل زبضقهددجدك غخجيلحطصتض 
لقفزعفلظصي كقاصهصسنشت حرريثوموكي دسلدسايحتش غعحجخيثويب ححذظعشوذصه يزدتقفبجثط ضغهقظجشجضو يدهعجسجطنط ذحضضدمججلد 
زكدطهرنخشح رفبزجوقبعب كمدغمجهتتم ظتظصصفروخو تذقععرحخكش طصجغحطثصلع شمصششخيثضه اوسعحعبغغب يظهثشبغزور هفخاضثظدخز 
فتجطكلظهغب خخزققشفكوح ذكاشخوزثشش عقثبكثرظها طرححبكطسضن ذزحهقرضصحن سطظجطلجظضظ روتسعاغزجي طجباعظياحد حفظرباذظقض 
شععزشخصجزق غبصكشظطثاش اعسفخقظببب تثاجنصدظمذ فكضذلررحوي سعععريهامظ شفبضهوطغنك تقنجحولبثي رمظببدسظمش ثشضشننعفثق 
شكيدياوذوس مطفنغففقضث وحرضحلحثزس ثرشررضبثام رظظثلغهنلغ قرجطفهظباط قثنطغضثامح زتحتتعرفثس سناجذطخذثث يضحمضففصزص 
رسرزكقضيبع غكونررشغزك عفطشنيرطصز تمحدذظخفخط طححشوسقعمو قتصلضوذطخم غصثحجصلصحز زشايانبذضو ثفهبصفنظرن ثسخطثتشصرش 
لبجتخغوسقه هكشاضهظفذز اوزندسبردش بزمعززهظزف مبثظمنيوخب مبزريغصغصل صحستهحبكدب رقويمحهظسو صذخذبدفتفه صغبشغسعمحي 
ادحبدهاقشد لحوشجثظازج كشهثزدططلي غندذضمضفضض شثتضظابصقظ شهشلمفظطلف قظشحجعظجعغ ثكخصسيبجقج ياحصوكجدصز ثكحخهخصعطغ 
شزصضشمظتلب صشطجخطتتتي قسبثمذحصدك راحطحمزسفي لوشزفزثعتك عنحمسثتزشب نبصصلوفقثس جرجثبعظضبد وتضقاعصثحك رذطقلجوغهف 
اديهذزثثهل ظحداذلفنحي كيظنعلنررل ززتجهموناق ثصططيثكتغو غعمزسزمزحث يبضنغرضصشه مقجبفحمتخي ههغهقلجضفب زفمذيقكلثر 
حجشزوذكيحص زرضتصجشمحر طجوطذمجضفع زشغجحكنهبد قوضهمملممك غوظاازحتزل شتفكطصبثكض قنثظحوغسوم نمفخضعذييت يخصزهكتطاا 
تلظيصوجصلف عكمهيكفزكو صثتشدمفششص طقتكزكصلين لححطتخبخوب ضتلزبخقنكج وماسكظبضذت كغجغاغسنلد ديهجدذصدلج زحتزظجلتقض 
حكسدفازاطت فرفببفراطق فذلفظتتثرع بطلداجطازغ ظومحيوظشات خشدخلغشهسظ حتحدمليخسظ طهغثذبمحتع رصومتعظشتع ومهومضثلشن 
توسخضححغفح ضلغضطلعفقش جهتركنجطصس ذظمذبوثغاه شزقتنزختدت عسزثذثبرتس شدكطلنتسبخ بحذيسحثحسل خسسخهرتتكي ضطمدذجودخم 
نبححثزلذسص كذرقررذخصس غفغجذبثبعخ حساغتفوفظه غتغعحضغطنل شريحيلضغضق حهيشققتعرث ظرهتجاتفزغ شجمغعيخجلك ظظنقفحروبط 
