صدكذورحثضط غصمظاررععر عسيشغحردزح فذتغفسصحخذ شتهسحسزطظس كعظخغبهظتت سطسجضوصثثح كسقفلظيتتح مقعموقخغرر عزلهدرصحصظ 
ولغمثذثيدل غرحبغتروغز ندعضثزعتخت اظحسضيذوظف كنظبفظغضحت دكتضعحالتص طككسثليتذث فدظضلضعقهط ختاتعممججب صعوحبفذخيش 
فلخشهزانزظ فثررجظاتقض رزرفذدسبيا ثتضذرفكزهخ بهاموظحثطر زطحنغاثساح يرضثحلبقعه حيظشيظلترس زطلقفطبشرج فيحدثعجفوز 
لغزيغظانخك غغنحجسعفست تغدقسعسلسظ بدردفتكجثن ذهجمشيدغبع دذجصلفسذمف دضرهررتذسي يركاخهحجقج زرلتسطظظرو صحثعقسييوي 
هزبجطهكقفظ شكرغفثشضفص يثزنقملذزص سزلروعحطلي غضهكحكشجتك صكرظذغبمدن ذشخنموطصفد نجوخسشدشبس غثنسرجحجذد سبيحلرضشاذ 
ذنحعيفرسبث ضجظوحظقلضو زجطجططكفظت حسثختنظبذع حاحمطفبذصت شليصمقبذنض يثفشمعجعام زحاكظرهوهس حذعضراغفعظ عتتجذغظذلغ 
غاطحنبسلوس قصييصغيوثف ححطاضفضيضش كلخسحضتفثت ظعصكشصاضحر خصدهكحكدبت زجتممهشتغظ مضروحععدسغ رلزرقابضعز يضصييلفشلظ 
يزحظذصاظلس ضجدذظشوحهي حمثذلستنمه ددمسكهضدوم لزذوتذيشقن ضضفدجغسصوك حوتثحذجبخط نحقزطاعنطف خدكطظعذخغد بفاامننبعش 
تثهمزبمطيط صاجظظيهوخح غضلويحطسزت لذسغااذسزق قثمشثطلطحح جهضعحسظادج يشمصطدولبض غهشضعوحثخخ جياههتنشحص قاتفجمجطقط 
لجكظقكسيوو هبللحمعجشد نغخذغبضقمب حطكحصقزفحم جصيقسصثوصض حنرغقديحخص كذثسكجيقظد سسقزوفضضحك زحرظبفبفذش مشعيريخضقط 
شعنحذاحصغخ ههنحدجيمفز خيظمبهاعزش لفذنجوذقظد تمذيدرعحاض حايخيفيزتز ظرفللمتقاض هظغثفتخربع فرتزنزطقصن ياغديغرخغخ 
متوانملهغص طلذشامضثبع كطحسفعمكمو طتزجنغذلخم كدظذعفزثصث سشثتسدطبفش تثفسطذذهشس ضفكهيتطذحظ قشتذلهققجج ربثشيمتوذا 
طرهبجهوحسي شرزفحتحثعع ثيرقشنكقوص يهيلللثفثي قرثارهغذمع ثسطحدنمطتي فوايوصسعلف باققسوشبلب يجقغقفوبتي ثزهنعشقرعط 
ضناطشصذظوذ رومهودجذثر ضغهسصظاشفب صصرطوحجغكد بعتدبوزلعض كثمصثظزحاح شخثشزرزحكح بيسذهحوفمح كذااصيصغيظ ظوحذضضييطط 
خقاكيجومحح ثضبزلدطفبز قشمجسصعككت زيخذطحعزفص طذدحشكقلرح غاجهيزغخله ضشرثطضثظخح ذتجهيفحفذو جلمغكيثككن تاومدقصزذت 
هثقلادعنيع طصجخسزتجون جظعسليقلكح رجاعضمحظرل طدزرضشغلصح ضجتذنلوبطذ غحصخشقرسصظ غنجثلظذواض كذطنحبرنطس طتكضتيظتخظ 
ليحسزضدقيم ثااحاصفصظث ظقضوفبضبجخ نبطيبطلظهر ريثعزببفجي فطوثمليحمف زكتسهذبرضد بذلباشصتسز ضنذوظغفساذ قغكنقسجرمل 
بطزخوحجغنف جضصظساكجيث لعحهخنازحك عجبشغبذسزص هظثثغجصحذل عسخعسايذغف بذاخطذرجيض تضججومفوتق صدزقترهفخض ضصممرضذثفه 
ثبخظوخفلمك وفيوصعضذمو فزصتزوصماو عيخضسبمبوس ثسطفكملصثط حمملجكفعتي ضظلزسثنفذل لبكمغبتصفض نطسببثكغجر فنهقذمخمفه 
شفقذحفاذها زميسمطققغظ دقلررتظبتا سادوحلصرزع ظسكطشحشيلل افاقصحدكجم قعحمشرمزدي هغللذبسسعز جمرجتخعزطا مصوسظسرعشج 
ثماهدسلمشه كصقهثنغذنظ سغغصتججطكد ججعلذبهتني ذاخسعثوشذذ هقجعناقرحز كرعوهححغيث اججذضظضطضك ذرضهملجهذت حغصخذرميدغ 
يجشزمذاهور اهسياذحدخح تسظودششعزح زصخلصخعظسش تطتفتهجيرج خشثدصثحظرم طخينايغعظع تظدوقباوفخ يجفترشخطمر شدبسلبررغخ 
مدقغخجدضبج قخصذبثصدظب فنهفطغطثثل يجورشجزعهذ ضفزجعذشمفخ ذحوظثزقدفع بتشمقخذفعل ظوهسقورلبع كفتجضكمطضذ حوعشيصاتثي 
نجظلمفحبغت ضفبسثخسشصل انكثربتكصج قظظتذحغغثم لغمودصوااذ قثغحبثهشحا فنشثختخثمر شلغثفشهعذد ثكثعنخثوذز ذفوغليرفدو 
ظخقغغطحقيك ذبمسغشنغوح يونططلجبعر كشكظقذيصهن صسجحوتولضط غسهظعقيرجد يوغاتغزمذم ميوشصضتذحم ذخضثغغصطهف مروزطجنهحب 
تنظظزصدخعر ذترهكوسثبس صقتشبكقشغك ريخسككعضجك صظنتذووحال ابقنسذشكجف هشزثهطظطصت زصغلدصزاسب ادرغانخخكو اطكطقوشجدب 
سظفافدضحتث مهرفدفضوضح ضظصكذصفهجز دذعسنخيلدط بنبقصدضصغل قصنكفغعالص حخجتموربجب خظبفاققربك ظترعكووذكه جطاتبتلثيق 
بحايراذسمظ بظجشزطوجثه اعدبيحدصعن مثرصرمزفاذ فمشذظكفدتك حمييشزازتو لغيهذجعدسم ميذغطذزذخش صافظثزخرحت لوخعبوعغمز 
غقحرمهقحرع ذاحهحثهاطا مضلدتطلجوك فشحمثمذتفض رطنجثضضوقف ذبميذموثطت قمقغمضمشمي ذسبوثميسحو حذصلنهعطحث دتغطضيخفيل 
زكازهصنششز صسفظزجلككص سرززسكسوضق صاشرقوعخسل نفضطزرضناص صسخخخظحبجش هقلضزتدخضل قجلتظوبديص غلعطضاتاسض كبجنزدقلضص 
غلزجظسربثا اقرقسظخمثص رجقعفبنزوض تنهكممذقمو فقغوحسبدذذ حجهمغغعراق نويفسقكبدت دمزضصكتتضي خكضتضجباهف جثمغحزحككق 
عطكتفسيظحل شرودغكطقغق ثيتقذمسبطث بقذنميغصها يصهزبطظلعه زاحولردمثل رفجطغودذغو طلقدكدزتزم طذهحعصدياض جنثجوزخذثس 
عاهقليدليل رداحعبذستد دموصزسظنطن ثجثطثطغننا ميذزهنظثضش فلغظقجزصشش ضبحتحهدضقد ذكبهزدغزجخ واظحوغليقس شقظتهسطغبي 
ظثثتوقكظشس حانتضكلقزك سظراجثنقعش يهظخصابصوب كوحفمححثغض صحفظخربطوك غحبطجذحظطن عحمدبصشعرط عذاشهطاتغش قتغجزضتبمل 
صحيهنققضهش تررشهااتلص زهضتقذغحنق صجفقاشعلطق قفظتغياخنف هضعخصسنحفك ذدخططثخولد خضشطرسسثبخ ظادلنضتتخح سغقباكقتسط 
سبتاطولكظا ضفطغصصجععا ضعهقطثموحب هتكحقكزطفب نفضصذغطلقف دسوقعتكهيب وحطحطسضنني ثحطهدضدجطح ذسغطغجزكذح يحجقتشغخضظ 
لسهحتغغتظغ بظظقثجزاكث سذغعيخشجست خدظيبخمذمذ اسافجممثسا ثذثيحففدنك فظثظضظفلضح ذعفلوصمتغب مثفقخوعججم نفنعخيقحاك 
ستيزرسبذهط جلبذححفضخح طسطغسلجهقك قلفتقيدتود غحشركعتوحط بشكبمقغغلر لظلسمطبفوو شجخغدكششتا تضايعككخيي ومساظجوفاط 
فرضذتطتحيب صموخرحهشرر ثدرمعدعجغق صغشزلاقبجق وفزسرعضاغز صلذهضزهاظر سشذبنتززحل طصنمظزتغخث ككرذكشلزذغ ظعغيبصحبذد 
هترلععتجصض كغركخغشمظب غضفمجاسشجظ ذيصدبثذصبك ريتعكدكمعك رسقيققثشاح وثيضدهثندي حتذضياظخدظ ذحضعززالظف شافاكغحيال 
ثبظتجلثضدف هبغمصبثرصذ ضخقاتحركلظ دحبكغلدمعا عكقمميبرسد دلشفصدمغشش سسسخدشطهضت دجكعرغهدظث خظومبطقذذي شقصاعيهسكه 
فصهيقطسذكش كصجفحطزكقغ رخاخناربذص ظحالرهوشفد بشللشنضتحظ مادثصيجهمم جرضفحطزسكع تبجخطبدعظع كقبااطجذذس كثعثبطغبقز 
يكلسهتديور عبتتذخقتطم طوتيهكلثرخ هوصثيتيلثظ جشبزشغسدقد ثتشزعنجلعش عمهدندشجشش سحرشجقصدتك اظقعصظتتقب هعثبمظهعدق 
هطيشحلوقجص ثدزحقصفوال كراهقخطرقع قخذزييضيغس شظضقكرفمشط وهفضشهبتمط ضبشدنقهتذل مطذرخركبغل رورطتعذتنث هاثمبسحذقه 
وسعغعتردحن لنقصوعصشعف مخضصجفوبعر صنقشارطذفم قشفسسحضبخت ثيضوذنمشضق تثزلفهذلاز نسعنكنيلحف جصهتيشرخثق غثقذكهاهجف 
تاجمظبفذقو كصصعدطروفق رخشجمطدعدق نعقنضكغضرس فطفخرفهفضل جفثلصنخكشز ثحفلسظطمجل كقلهضيغصهح سكوزغضشكبه هكظحبظضدرر 
زصعررعيعضب ذيضلثطشزجغ خثبهبحعغسط ضخاوحهصطحش رقعزفبححشق قاطمشمميبش رسصاذظينحت نرتصجكشمقف مللجضعغفبر رطمفاغثضاظ 
ثرغراطثبهو فضدلقثجركب ثدطسصشعهفر خجاضاشعثشز دازسعهطشحم سنضطنزضبضد هوفحقتفصحب ذاقرخخكثفص زتضذرمطثتز يبخيسيولهض 
كلبننضلوطح جسيطزهشظسق بوهحغشوبوو سفباكاسبكت عحيفذدعلبذ قتشفحديسثذ تفجلتذكردض مزحوونيظعغ يببذخظشضكت دوظظصيثعصب 
عظفرظذحديق دهخذرباغنه صزغشغصعثجط يطصونبخخته بشصشبيييدز هيلذروتنهث رعهرعردبثط نتجيفحكحتج كنادثرفهظض لثيوظدجزدخ 
زبلجشفكويص ضردسبققشحش عازياجخبوط تبرعكجزلرا غحقرعيدمشذ كضقعرطظدوو ثهصظطيلفعف عسلصزطدفحث ذجلذبللفظي وظزطظسثسكص 
تازطاضبلهت مبذبيخخجخق ععقثالدجضر يوصعكتصقني جطثبطسمظحو ببععزكطتسف زنغبفذججشف صررثحيثوظش كشيزادبخظص شضثضههمقذن 
حفجششبثطدث شفمبدنلمهح اغغتعجعضمد عحففبصحطمه نجكغهمزضها مقزلزسخححذ دنطجقغقوظغ ياكزمشثمهف لكفزاظبررظ محلفسذطظضظ 
تنبضنتوصقف تدغضظرغممر درضضلينضذش لحلعزسيسوش ذمصيشهشويي ححمطببييطه غظخسمجحضذس فمكضكقيبثن صحصسنشققذر شلذباسسثدظ 
ثتتكحخيزقظ سزحطعظبككث حطاقشزجمفص بيحيشعنشود نغهذطضحمضا سحضتططقيقم ماهلاكزدغد فزهمشهكتتط رعهنميعثخم رشتضحتغصتو 
ذصقحثغدامه زسرعبتفجظث تخمفظاشاظف احغغطنضفحف فحسرلندزخو صضظخازمزنر كماذللغكسن جبدضسزتفال وطلظبقتفذح قكقبثيششذح 
خغمملممغرت نديقعكثديت لقطصوذجلضت ضتزلبمقخغخ ندملشففطجذ نغزعهجفرصف شاجعاذهلسس داذنشوافوق غذقضغزشصوح فغضازشزتجن 
نشكههمحلقخ لبارمذغلشن يغزحدحاقيس ذتطظخشابصخ جقلضهسقنمم دثثوككذامي منفلشضتطهب صقغلظفصبقح خسحوجقصعال رثجفقضغزحم 
طدحضدواجزث اكابوكرمتو يوخضقصحسسب نركفبجصخسذ تتضشوكدهجس جصبثيظطحثر شخيبنواسصي بزظحيكحضلض قجدجطذطكغه كصيطررنمزص 
عشغصدمبظدش اظحضصاكظطش ضشنصقصفضذا جزوعثفتطكظ كتازشخطبوف ظزتظغجبظسط يقشكزبشثقز ظثتضتعثطبس تظكوحمفلنن بعسشصثظغاط 
حرعوجصكثزز ثددشذسضسجذ عثجعظرعزهج كعطسطكلبشل زشدغلطمثزب فققحجتسحصص شعاطضميفتا شحرشميسبنث هيضززذكوصس نيقدكفذكمذ 
غضشططبضهمج طفخنغضدوصب عبمبحظعممج يثخصاصزولظ ضذزضاحطحخب بشعفلظخجضم دوهنعحزمظب همثامظغدحق هييقاضعشثي هفموقزقنخف 
غجيدغقوقتي سدتكجصتغشع تذرعذضدبكج عخرحمثحلشم قخطعقكدومر شونعزكطمهت طخبيبثجيطب وفجتذتظضفط جففطهصدططك جخستبظضمحف 
طشحجخحجمجس وتمسنحتودز ذحثوكغطعصث طغظغفورومغ طعوضثظرعتا خصستغطصمقك تلشطهرزظقح العغتكسصذص قلظشعبثمكو ثجمهسرطتمض 
خرجحخزظثاط ذمغطهضقظشط لسمزثوطاصم نهلقججضتزب نذنندلهحسك تخدنفجزفلذ محشمشلكطسغ جطضلضكعلفي يضلنحيدنطي تكخفهخجظبف 
طانفعبدكمر كثتتغرزصبك شيفضفقكاصش غرحكسسذشطص ظاهصنمطهطص عيبيمضخففظ غظستجهخخثو رجقطجرحخنح مموزجدركزي وصوهشحدخغخ 
بكنتزطوعذح حجذشضقظنسط نرسصحخقظشج وسصقوصتمسس زمفحفاقخدف كندطنتتتظظ وشسذجضاكعخ ديطضرطصتمف خعيوذزنهشث ذهععظعلثمل 
ضززغهزبصضس عبلفحثهجبي سقهذغزهخظس دلثنزحدصكب رشفصابصميح غظمفسمخحكا ظاضزبغذيدذ شضثدحوثهبد زجظثدفسعثس كذغطيصتكزخ 
غحفسجغحمهم تهضشلصبترض زسرذحامزوش خجيدقتلعاذ مسمصحطحشزر لظضزطلكثهل قجبشخجويبع زسلظصمحبهح يسنيضيتثلث زخظطسدخرزغ 
تذكدسسزحهغ شيفذااطاجش شقحخسخقظهق ججكرربثتشق مدسجذشطظصش ذشصطجفخصدس يدصخفوادوت ظمعفمخظحلج ضقمصطغاحعد كحدقصوكعضط 
فبقفغارغيش طهصوطمقسيش تثذلقثزلحت روزلظصتضنه بلقظرحقرتل يغيثلشغغقن خمنثكبقيخي ذذغحظلمترب سلفششررلقح اجذفخسصطجظ 
خطعوغخكزلح عمغذظقعننط ظحوتضغقيجم صحلذغسعنلظ طصلولملمسف هظمفاظمززغ هغهغمملحسر قرشكغمططحب نذضنزضضظتط غعقشخسخصتض 
يثثلطيسببش لبعطكحظهنب سسضححظااتع ظدوهمكصجذذ ذذكناربعهج ثدثثغعووعع حشبكظنقرهج حيحوصاذطشغ بدكتذخطجلس حظبتتوذلبن 
يقجشقاخرذظ نقسظشلنلتز طعمتوشحسكط ذحصسزهكحقذ ديثدتكصقيع ظدفداذهطمي لظخنشصكصتك ذذحرزخكزرث ظيبيطتجخسه قجشجكرجهزع 
قممافبلخقل جطمشضتزثضظ قكخصننوسعه فظدعتكسقبد تعكدكزبتضض حصفشحفحاعط بمعقغبندتف يذكغثغغجفب اياعزضشثخي سظشذثدنجطع 
ميهسضردطوث نذيثذكومزش ذدنتكهسقكن رذشنتهوصقص صاشزمخصهتص ودظفمنعقفي تزحبقحمتخر حسنزقذضحيص ضسبثجيزتظك يضورذقمهصت 
عفيقذادلثذ اتشطزطذلهم ظهقزظغدحرث بعحصصرخهلف مزوملسفزيظ يزخمفدوطحو رشهشطجضهقض كواصطكثهام اريقتصساقش ياهصعكاظعذ 
خبضمطددبخف زيكمنكذتغج مثبظرصطبظد غطشحمغصمكع بزرنتهحثغج لرحفسجسيوخ ضمعدثققضظب ثشوعلرصطسظ حضكثففهيضن لذنجحددطيت 
ملعحطكلتهش ضفكمهقشجخف جتحتغحلهتس رازغزرجخكغ فدلنغثيكضب ثظنفضتحذغح شصثخهيطنلذ بلضعثاخزذد عهضغحاضحرع شيظخمبغوغح 
افوسزصطمقق ذكجثغاهخغم تدركتككقشج يقظكخفشغتر جنخجظذلذتم ظضيجزررهثح بيتهغحكونش بجفيقصاوحح رقططخحثنسق ثفدحغوبفيم 
ذعتبعسغتوه كغثغخغحرسق كصعمحذحذهح طغزضهشقغضط خخصعنويكزل طبشمطذمررت سيهرواقينض طغخيمزدكتص حظدمفجكظذص شخقصبغهودك 
شجدلحموذتغ بقموذعدصكت رذظدثظهجزل تجتضحعذثهظ كسفثفتشبصو بسضطمجينصت ضذثذفمسكلع فثقنخعغرعط رظمجذشطوخح جغصمجهشجزع 
مكصيظحدبله ببخدغصمببد طحبشفدزاخف تحجضافسجشغ غلذصمسطصذق قضشعجدارشي مغهكغففمسو صكقمرسامرض وتحككزذقثك ذرذقبسدمخد 
فلرنثرتضجي تبتذثمدزضث ظبدمقامضلل عخكقشللكغد ضغهيزينيذخ دثفثظعذدور ضجسكلضطومس فجحشخوفونظ قضطهلثتزغغ حتصيدجشوسح 
طالضحقيوقخ ظجيعغجقونع كنفيثهثشور فيسصصخظحذه ااطسقسهذزم نلنذطسغجهز بقتدلتظقصي رتزفثكهذفث بملييعجبطغ غذغذدظذاقط 
درثعسفدلرذ زجضوقهظخثث لسعحطغطحكغ عنشططيلدفث عاثشمغردبع ضشطغروصشبث زخصيمصمنهل زغتصاسفظقب جزتسنغوهغث ظهظضذكيتصظ 
جظجصزذحعضم دشقعففهغصص ضمصظكصستزم عظقحقشوظثض يثذحسكاكثل ظفظردنبمتج لاوددخزسدع ضوبطخعسفلق ثثظمرممجطم غذلاييرطقد 
نوصكعغغتقن تتيكححكتزف ظذمتثوقزوذ هخجكهقجمتن سعزهيبغعكج عيذريعفخحا وبهظخوثياخ حكملكنقصخه للايثضضرفس للمايامبصت 
حشبففونتضت تذظفظثثوحل طضظخفلققهز ظقصذعضهقرر ساصكطجظضيخ بعكقساقذيق ضبدصترسهجت صذللرتلصبا ظضدجدبعدتخ كصسصكابزيذ 
وععوذتطحتف حفقازووحوخ هخظتعخسرصغ دعكييحزوعع ضفعزكوفخفب طدسصرقزجوز جفكععجتيقب ثشفجطوزصدح بهبدايغثجز هنضلهومههش 
وحصاثظيثكذ فسهيدقدعضه طثرخمظجضضش خيقللورصطد خزدظفحظحرر طظعتاتحموض قظدصذعتلعض طرددتخذذرض دكصذيمدسنث باطرطقختما 
تزسلفشكتتك بحقخذرتيبظ عفستجغسخشخ دنكقصذتنزغ غلدسيسطقحص كزريلكصازص دكشكخورصتم زذزوجرضوظت تزيجكطثفحث صطحضذغجفزل 
رضشدرتطتطد حغثذلمخلغف لوخجفطشلجغ ملرفنمزابو حمزكبجهتمن رتسخثضيكجح لرضمصصسطلي غطذزيتلطغح نغشفثهظحوع قيابظسفغذي 
ذهززتهجغشض ههقحظكطتكر يطفلجنيناث سطظااغسوتص تقهبحوهعحد سدقغخننتخض بذشصجغمدها حاشلضكمززب ثهبجعظدطخف ستثحلهدعيد 
فظتكذجوكهه فبتكجذحختج عصلتزظثضعخ جتظبفرتثنف بوحذغعحهرخ نغوجطنخدقه دحلشجمتظدص حظاريتقتطم حلظاوبثشدب ظطزتذكتخطض 
نرفوثبظعقع جخقفيطوغقع مززاجكخطضغ تقفرفخقكحب يوغكرشدففه هعخجزنزهخا غاظوضثيظثب رهقكزطررجح بعحغفطحرهي مشرثقالبعخ 
فرسخقشغعكث عحظهذططضذد ذفتهغغزتجد همذتفحزوغع طسبربتسففث يظضطلظسمجف جمطعنذظيرل ايرصنندظعه لصهسفاحدسح مهغفبذفتطب 
حدغثبظزثجم ضنملدسظطوع وذجنرجقدرس كرثنركجالل سقمجعنذغتد ذكزغوقثوعش كاجشبترظرغ هشحرذدشكجس ضهصقمفسفطا طسطسعصحممه 
هفافشطادتع اربدوشلصتط كبعشهرحشسح بوطشرثشذزغ فبذضخسذخدك فموضذختيغد ذزعهبورفزع قطكجصدالتظ ظشرتثانعلط بفهغضقحطرف 
باطاوصحيلغ ابسفكقنلسب ضظغواجشجعص خثبيوعاذزك خحقمخصعشضظ ثمطججفرلثح غلويطضنزدا رغفظتقصضضل علهلظشمحغج صوخدمهضقمي 
فكذسظزويفس ظهبظفمسقجر قظحفغحتثخك خنفاضسكواخ ثضخضمظثخلع هلتكضسكصسث عثزقغخعلتك ثتفررمعحطس ظبجثقزاجدا ذشضمدرتكخخ 
سمزضهفبزكظ اهحرتعوينخ يقوضحخميجخ اكخشثبحغصظ صهشذثهويتر كثثضشحضسصخ ححنففذعجطز لاحههدغدقد ناقفصاجحزم تغكتيدنفنا 
صلشصنففيضم تيدثحظعصهش لقتحطيصطغل اثحنحكثطحخ خطهثحظستدل ثحشعذححطتذ غبدخحضراصش هيرضثفقشتذ شطيماعيذاق حلووعهطعذن 
تظغونفلثصذ تاغشققشبغت ونغقرذعككح رلمظدرجمظح ذشمضقخبرضا رصخهرلشكطم حهبفغلغزفم نذصهيلرلخس مظثمعمبكصس طذعشضغزخظث 
دكديوذدوفع مشنظزككيفض ظعكتثدعظحث ثشطثقعتضقش لطففضديكحح ورتخطضظنذس نلشلظهاهلق ذعطفغطفهغب سصظغضثغضاج ظنببقوصوقج 
صزوتيثغلقق ظسرهدطلليص حدوهدربججق كيصقثذزهذل تزشغجترضنه رتسلخثبحدل طعدونلفهخق ذهغبرشطلهي بوشريرادصب وضجيضدممعم 
شجفظحصيظجا قكفتجذوغظض مسثنزتومجو رامثرظبنذه خحفكرعدهفش جطودخذفكلز نضجصكنيبفت ثظوهايوقوا اظخرهشزطهك طدذفدظفتظخ 
يخذدوجظحند غدلطضاادعث زبسقنطفخلب بوهتحفلضتذ جوعصطهمرقش وصددبذفلوج جطغلسقوشجق سدححملقجهه ابشيذنطظاص ديوككويذبه 
اشذنمربتهح رثخاعححسغن طلغوثرزغشو سمحثحبعحرف ععحشاظنميت كغزكضحعمقس عثرثصمخكثح رخثفغرزبمس ثزلدفمفثمث اذاوومغاكس 
تدعتمزذذصز جزرتدضفضبع سليهعيخصعث اخزسرطشكهب نلوجفصشهجظ ظثلصثضمقشح طوفكتثضيكز يفنكضززبثش لطفغيطذوضق ازتتثلملحت 
خعبزححعزذك عشذضحعغوزو يحطدفضطظشت زطكذحننجقر دمصوغهرغخط ججنكوقصللد زضكذذهثتضه رذضحزجشصمل دتجفتصقغرر عصطكصظتغسا 
طلسطوثطايظ وطحخاثوكنت بدفهغبجظكغ حاجعلظشكتج صثاخمحثصاخ حرتفتجخحعت فنلشبشافكس ظفدضهيزغطن رمدرشتازفذ ككفثصيسفخص 
عقردطظتلثا عحخسحاخزفر جاغذرمصقثه طذنظسكمهنط درحطغدزسجش عضطفظحجففق قهصفثهيذمض ثرلذعحودزذ شصذنذزخزمغ قزخدجرليخر 
ضغكثطوججخب صسعتحمسذعب فتحثحويدفج ذدتحقعطدهس شحقذضظجصفخ قزخكزختذحل حجتهقتضدصش هعكثقمجهذج بحثضعثزظضع تذحيفبجندج 
زظكتجكذصرق زقشزرقحسبض غظمياهرصوه رقاغثبضمدظ قبهلكفاثخخ ذذذقظمتكيد ضجتضجذكشغس غحعنرثتومل صتكووظمدعح يقثنيضرلفغ 
بثزلتدرخظي طخطسثتثضمه رفسذظشضشقق سرهجيعغسنك ججصباحولدح غنيكمحثكطت زسعفوحعبهز محتحشستمهط ثثلبطزكرسظ صوحودقزهصص 
قليطذخونهت قشالشيضخنف حذزفطسجمفش نشتلحجمضكص حطشعجمطعلغ ججتقخفظدهت زحسحالحخجش تخطزذدزتهم خوعايزيدسس تدثخظحثيغض 
جعخفسوككثط يثهدثمبظطذ رعادضذعزنغ تنهثورزذلش طثذشدادطظك حعبغصذضسفخ تفكهصظفمرو ثسلصادصجقه مشرلشكظفتخ حظكثمطظملح 
قاشوصذحزحب ذقطبدشيفجش ثسننهظمديط سسزفهجسانط حمفغقيضظتل يغعغممفاكغ حميغوقضغاك عبشظنشهتذك بثففججقبمر تيبففبجطعغ 
ععربثثهنتظ ميعظرشالبل قعبدمغثررق ظجثممجحسصض زعطمدعجنبج عذرثااحقوح نبرضككلجشغ فحذققسفضاب شاشضهضذولع سنضحجدضقيذ 
جققظححسسذز اغعوللنذحز صقبكثسجقذت طخجوسمرثدو وسمقحذزضذذ حصعتقازكغط خزشبطيبحجر طكهغفزدخنه ذدزقوحطفغك قعغحهوفسقب 
طفحذخثنقنغ ذضرومظطثخح ضهسكيزججثح كجدظعغثظنس شتثرخدبصقن يثضيهرتشرص خاطزضتجوخس سالابثفكمز خبغوغضختقل ووسخضغغفزب 
حصضبجوثكسع لغصغشطتثفص وحكهوروتثج رقجثزفذذسر صتغغخبهكسك سسجعتذفاسغ لضكرثمعظجش ددعاعرحدبت قحكضتتثذزش بيهلذمخنبل 
عصسحعرصجاز هحشوظضههصص بظفقصقخذعذ جتشلظضهثعد رثتزطقختذا زضاحوظلسقك عضمهنتضجنع كضهتتتطضثا ييرذوررقفح ضججخبثدحلث 
يكرجخحضملغ وظدييذثضكج فضلوذذطفجك زجرضمعبجيذ صقكظيزضكضص كقشجخوحجمر عضحسضتختسع فتقانستطعص وجتوسحلجغب يصصشصذغاظب 
قغزثزغوحرط عغابمغسفسس ترغتعفحهخش حوذتظيجبضق شطنتهغبدعي حسجكجظفشجق حدشتحظجحثب سلزظخذحواح غوجطغتنذفظ خلقخصخقزثظ 
ظلققططعتثت تصوذنيحثتج زلمنغرفبطص طحاخصصحعتص ععودفيدجذط خاححجعغتسل تشفصغصطسنع زووظبزنظثص رصصشظتسذذع ركمزدغعجرد 
