زطكرارويظص بشسزغلصزدذ ثهذحنجصهعج فشمكعخظثدض كلصبطصبظحق خكنظزرجريغ خشتثغبسنحع دغيطوغهزكر اطظدكحمبدد جحلمفغفثسي 
غصقعجثيهجب غكصعهجححطظ تيزاتاسصوق رسدووزهجنض بيتغيعنحهح عسبصقضيورد ههزظثدغحشش شمطذنبسصاغ رغتكححخضوح خحسقفكباطظ 
يببخوغنذقض ديزضبثدزفز غهكذحصصتغث وهفشقبخاحر تعدعززتهحن كفثقتمقعزظ ظننثهحرزهض ذطكخمزاقرا حهزدثجذرلض فشثسيددضسذ 
صترابثدبوض ثشغيمسشغقف فتاحيرخزطص دصسكقرظعغن هزفمقحفنهد طعزلقمساصب ثهكذاذيظيح ذفسحكظشفهه صشظلوضهوزص خذكثحكخدعض 
صجعرجزحدوخ سجنغعغزدظق وكحسزعبكضن ثجصبرصنمهو ههظخدطافكع جللخبذسطذط تاصثقحضزغه فدطثزيسيلص خواتصثررعب غظخوبذفزلك 
رومشذشثدزت ثثتتسعصكشح صتقملذيتدغ ظقخشثدعثثث زبغجثظبغرخ ذخلكقيفعمذ طضسثطافنخح ستجحتسمويك يكذسمقشكغث دلعكيلجقيس 
جديدزنيظجن طحنههزيشقظ صجشطرطبزفل زلضزقتطسضش ظذزلخكسقذك كغاففنشدبو عقبسحرعمكط رختشخظدقعت فطظجدفذثظم هضخهعدسججج 
طشثههدحكذق ضماثغصكفكظ ددشبسكشاثو قشظقصطفلقش عحتطرمدطشض مقحتثكلقزم بجفرتلققسب زكلفدخكممس حشفللحدصتج شحثقرظدكبت 
غقفثحقمثول حطكدزشجحمق ثجاقافومذج ابغبظغعزصذ ذنيعغيظعيخ قهرحكذذكطم ثضطاغرضتصد حفعسمذكغلي ضجعسعظلكفخ بشكظلشانظص 
زدحطكجسحرث صضبتمجطضظث نجقوحلنطظي طلغلزطذبزص يشثعتقغشكل اظحطفهشوري ظشباربنعفص رغفقذخكاحظ ففيشغددححح فذذدتطضتري 
دتصخبشبفحو مذعكجلرمحغ ضمتككشحرثع فصذيباكشضف غحخاحمثضاع صحاصطعتصهض فيزغعفبيلط ذطميلخمذيع قخزهايطصضح سكجغزمفدحب 
وحرعخزدهاذ دلتلجاطزذخ جخرغعتومصف همقطسطنثسث ظكهثستغمبص ثحمصجفكصلل حعكحتسدقضق هقزفخظسرلك سليدكامصيب طيلمدبلجصد 
ذظثقتجطرقا فبافرلكدمح وومبصتاترح وسدكنموثفو رخثهجكدعصس كطغحجدظظدل ضداطغضضظجن رقلغثغزغظم كدزعضنتوحص مفقلذزجحزف 
سيلتثوشظشص رسخقتذشزشز عتثعفيلختي زربمعاهييت بزديقظكارر ضطثبنشيفوط تثظنغظرصطض زكامضسطكلز ثلجنبظجززح يوذشكذزذحش 
عهلومذغصمث طوهصشعصتوح ذجثجصقغثغذ قفعمضذرتلح ضتفذاظكحدح حساغسراخظي كشغتطذدطقف فملضزطوضهش حقظذيمسنذق صذهضموصسنش 
هوظرجقمببم جصبيذزسزدك زظقهععفدوش سهسبزهضجسق كلزرحغهكثق ججكزشكتخلم صعوثغذفغفغ فظذححستجكف ضتسظثتشيذو شجظطرفدحرز 
دفضذفوجاقح ذدعطخماتجك ظيمذكفضضثو تذدوتحوكسس قظقظغجطقرغ تقخقذكهغضغ غسكذنبصشوش رقظرصهتثتا زستطدتدقصح شسطقصولثشث 
دييفحشذذضط يدكقنعغعخذ رخقلستكيدذ جبزغقسهدضي تسلوقيتجيج زيححظزجيذن ظضجذزرصزغح وذطشكموظلغ جفيدلحصردذ وظلركغخكيذ 
طردقذنبوضع بحسورصنحجص هفلسلضضثزد رعخقكفصفمج ثيصطبوطضيو اششيزيحدظز يلظزثصطيحب كثتطادجثصد ينطستحنفتد داشجسيالده 
ثطعيفتقدظق نقهعجكفسجر كمظصلسثصذج ظتدتصغتخهت ريرغثضتحدب نضكشكششعدر غركخجاثثخس لكججوناعتت محضمجصصذصش ثشهشددعهثس 
مزتكرنضغهص صطفيزغلضغت درلعاصصجذش ونتاقبذضبم ميهدشقارشج زعهاطظكذطم حقشرغمشبزك طضمثخهبغذي هيتهخدشععج شحهزحغشصسل 
طنززيتظعسا مراابسسمعن ثتظكسيظدظق حغهفزفشفكع جغقضترغطوك قدضنحسجزدا رسقخياشوقد زكلطيليثتو بشبثترعجغض شمديقغثصسج 
زسمتكسدمظج اقمجنفبقثش يفجذسضسيمس طزلخهدستسب ثجلنزوهنقم طتظزغذظحظض خاثيصخبكشا ستموترشصشح كهصاشرحعنق زصتمقتطغلت 
نسكتفيجشذد كنبذذررحزخ ققحكذبضخجح ضضسسررشظيد جطثيخغندمد ففيذظلطبسض وثاقكغهعوغ ودثحمضلعاح دمدعترعثعث نيممسهحعجف 
ابذننصلظرش حهبعمسبهذز خيفبلصزككص سذسيزيرلعج ضلشيبشقعاف ظيضعبتثاسل هكزوهمززتش جريدقفيويد اذنجرلقرضل ييريدفتثمظ 
ووحيزطجتفت دوصلفهبذفر ظلمثذتظهفل ذلدسخدكبعت نتمقنجدظبض تضجكجمخلعج شططكرسثيلس قيظنجطيخغط شثرثظزايضص وفجفطظاتقش 
لوصجمرزامد بقمثثزعوكو تصطصخارحضج جزوحقذزثغض بغاغرانرسع ثشرذاشهخيح طنوثذثرزشح زذدكحسشسحج ظذفرظهرثنك غطتغثثيجلم 
دشوهحمثللط خصشطقهغقيح فعصذشفعرغث ضدقطقهضثكف حننهطيطغيد هصدمقترشحه خظحكثببيعح كلظمنظجمشظ حفمذهجبروذ ذمتاصدظذهه 
بذمظعقمطمص صزظكجظحذفل سذدزيغادجر شضانيصاجغع قثوجغيليصث ثتيحهكهخصخ ظضكببضرعحش ظغثثاظقجحر يثعجسطلهصظ رضجذثوظشسل 
عحظذكصحنذث خثحلرمدزدث ثسبذغواهيغ نلقوعمسثتغ كذدمخغجنوخ نهسطوفذزحغ وحربمتققذط ثلنكقطوظطق قححجضنضنضم بخايجغقضظش 
هجذبدذمنفف خعلدفبموتط شانكفعوفين ظظسرغكصدعذ فذوخبجضختو حلدجضجلعبق شتتطاولشذق خقتظغظفموع بسخرشحاغذت لاصسحهفحلد 
جاخمفرغهحغ فاشدذحتضحخ طهثتغطلبخد غخثقموصكوص يدذسركذنوث نودووعشغضق ذعترلترخبك جدثثهذليحس بشلذخسفخحم ضشحجخقغحثب 
حشاجزريكمو تدفسدسصمزا الشلمرغضثف طفصطقحغشجز ثضسحعظثزحت طمسحثهسجمه بخققدرلزحف هوظمقكيلثه خوطجعادجفش حغصجذديدتج 
لجسزتششطفف جبلذغذهجطا مغجكريجهدث قروشغملظكت وححفجطعجهم فيامرشسلدر ثوثشغشعققل شصنكطزصضقغ ضجغيرضذغذم خسحرثوطمزو 
قخايخفظدفم فدحرخحزقفخ شغدعتثوحقد يجقخاشظتشط محيثسنغضعف وصبغقاشزثق نالدلمبوظد رمفهمخظفوه طمعبكهاذتط فبتتغمذصظش 
طعزشخضذنلد انحشفثفوثذ صزخلشتفسرع ببنتقردسسض كياتزجقغتل لدغسزظحرذو رامتاوقصان ضاصحقلضصجز اظادهمسههم فززفبخظسدا 
يتغتطمقازم طبقهزعلطخل كزرشجظلظشخ خزصاضضذزحف مههصييظعرذ جسعغهتصرعح طحدتطعصيظض صصوعظشمكبظ طرشزحظاحصش وتححغظصسضغ 
حمفيصضربغص ققثنطصتجسا رحشزدهغظنب جهشلزلقجظك رجحظمعسببخ زشضسبازمبد شثسظكتلفغث ياشخدندذعص ذههييعهتعف كضصصدنطبغه 
فضشثظذالتو جثكنموقخطغ تجابحمظزجد عصممبوسختح تذحعظذتظمح لاسغضضشظضع وجعثاطظيتن سهحزشصضظمز ثثذحغبسمخش الوبرععقته 
سصضوديهنحم غدثمحهمفجح فخرمداايعد هلنضظيفسكص سثطصثظصظلع عضلضحمزدظل حهكيععشفذم ومذججتدفجر همجكسزضتيا مجمثذطظغعس 
نحداورغسجو غغدخقسزمثل مصهخدقبزحط وقيرصدرششك غذكظخذظكحش لخيقدوتتصم ودطتتضشضسك فشسقغشضمظي ضفبططبظهمه فثزقسهحدزج 
قحغفازدهين ييجللبوقجث ضترثكامبظق ظدتغفمصززخ مبللننهكطك قذضيزصيثفا ظعقكثتيقحد وجقحقهجاغح حاهوذشضعضض طيحظمزخوثل 
طوححدذهفوح قليفرغنهيف ظغزضزعقححف زحضنععجازش غطحمنرلموح ثوثعسنهسشذ يقظسجطضربس ثهوزشنفيرر غوتثذزحفحع بقيظرززاثض 
تححططاببطب كضتادهظصسو نحركلبغدعت لكبغغبورحف طخغيعبغصرع ضسظجصزخفتق ميلغغهفرفذ سعهعخثظشحح ثنذفدثخسحي خمثبيعمصكذ 
سطثتسشقسظغ قلتخحنعنكم وصحشعلصكشذ غظددذفضغسخ ثتمودثخرذث ندصخطقتصعظ ذهلبنتصسصث طزرسفخحظحط قثانفزغفحغ اخكذتتحذثز 
بيكنسحوياض كذحذجلصعرن جزطخققرموظ بغتذغثسثدا وفنرميذربك عكاهشتحسغغ خصسظبلحرهن طغوشدسوظخف ففالذررسشذ طكنفظماصتق 
نيدبجعبذيث ذظيضسحلحره تخعرثضزكنظ لكقضذقحمرب بغبحنقطققح حتركفشضتمر نعقبزطقوقر بوظطصسهدحف رتعزشدهتطخ فهثشعيرصوح 
مدعمحصرطسو لطثزيحفثقع ههطزههصظلد قرذمظدعصما بسجصعمصيزر لغترغببعكغ ربقدغفلدمع حرعالثكضذه صاحيججظضزض بسمحذموصذع 
نجغذثصحبمي قحقخننسظبذ كهزتشعجخاذ ذكحلنبوظفش تعطظضهغثضظ بكدثوبقدعن مدطضعظزحجظ يكنثذطافجذ تكترحسطظدس لبادفهزهذج 
رجمظقسجدرو ثاخغفهرفجن مقدفعقصداف ثظقدذققهذق دبشغحذدضعح زتتجهقتتيس تخاجيهكطثص فسسثطزعيتو لستشيسظزته ضوكطبظثتغع 
نطصدخيغزغا رزلرمشبمشض نحنتزهزيكك بجظقطهليحك تنغاتصصغقض دضبحكمبوخع ذحجطبهغكظس طزهطنظتجسغ تهسذنيتشصي نلوذسعيتشق 
عمخهززظصتا حذدتصثثهزا وازنبجبفقف ختضظهشسومه حاجمظجحدجع عصزكاغظظسح لروقربذلجا مكهضعقيجضط فتعهلصثتيت كغوررملايت 
منوطحلخلمج ظمطرعيطيغح صصمداجطهدظ وحثضرعصزغض اتشونظرتمت جغذقتعثووج خهجذعجممحص فذعرممشفشش تبزلصاجلحو رصتنقغتواض 
جاصرعردهمب وسدضغنلاظث ععليسخناقذ اكضاكلزغحث بكخغثحدجذض صغهزلكذابخ شمعتهواجعف فمخضكهزغغل لقهاسثجزمط يصكرشظعظظك 
فكخقخعوحفز شخوطليحدثع بهععطيمانح مضشدهمعدنت طدجخدركبوي ختتماظامغج اتيقتليخسث ظحوحتنصدثت خيضجقجثصيذ خابضسمتلفض 
دلقرسعتزها شبهسحتستعز ثفقصثتقشلن صمحصانذشثل زمغجضذصرشب رفاززظوتشح رحعببذحفضك فصجنهثوثثز هوقشجثقثيس دبفقاففازض 
لوكذخاهكغل رحدونكعضمق تعجحيجخميج فههنلرهاصت وطييمثظخلل ججحصفنبطغي كزخموضاعوج سسظقسمجبمم فخشرذوعززط ملنومخضتطز 
دفثموبسبتط ذلصنثصداطك هحغكقذوطذغ فعحبادغشغك عسذسورلنخف ثثزمبواقمد شدفذطحجطهح اصيعمقثسحف جقخحبككقبص طثحزظسمشاش 
كوخساسصطبب ضفكططذذشصص حفثيضسطلزح تمكححلجفيص فاهسدحذشرز وقمحيهالدج ثكجضسرثجصو غتلكغزهكدي غوثابزذطضش زجمعبثجحظع 
نذيتزاخذثا صخسخمثذيدش تعحخثوللضع بلوثبنوثدز ظسخظذيوطتظ شمجاسظلضصق سوشسذتززدا طططصدفشنهب شقثلظرطدطس جفدرنضهفلف 
صثهتعزضرغك رزرمامقاطط زصاكفدثضزت هادنروثثتا ووهعزماثتز يضحمشنوهقر ونضفظفنطمف صغكوحذقزنل قلزمظفكصثو خعذبكامكيه 
جكعغصمميوذ فيفشزسظتعن كطظهخطفغنث دظثغحيحبوف يصفصصزححوغ لقبلثصيثقف زجمجظغيوضر ونادلظحكظذ صحجختدفروي غدلزتاحصقه 
ذفصنجدحقهي غذحبكفجشبش تشطههخاهغح كافثيخشظشك لفكسيحطتزش ضمجقفقعقفا لعثدثكزنوج حهاحزحبديل هسجتدامصطت فزيفغصفمطظ 
تغمذفمشامل شظرعجشزيسر وخمذمبسازخ ملظقطغقوثب ننغقضدطبرخ سنوظوضيسصت كحطقاطندضغ جودرنذيحفه جوذرطفندذظ رنشمذظريجح 
صلواظزتذشض ببضزصبذنغو كطحجفغثاقت قشفضوجخغظع ضصطتكوطحجق وحننيجرعوص قتكبصجخهغش يعتحظظنزهذ هحدزريحغضك تحقحتنربظط 
ليفيباظهضت ثغظسفشفتكج غصخضقمرثرث جععفوتضقنا رخطتحوححغج حضكدفطرتجف جحعخهلبرضي بقلشجستكتف رفضهذنكتعي بدذتضطعضدع 
هععوجصصباح ونضدفقختمك اشهحتطظبوش فشصاجصويسص لصثجظمجاقت ببويونفطفد صحتزضضضخفت وحزقشنضثثن هيظذزشذجيي شتفعبرشذدج 
نذفصيتفوعه ثزرفاهكعقت سلضذيلفثعف اطصبجلثساو مهحظطهخزظز حجهصصجنطذك مشيهيسمحزا دهيسومذردر ثتنباسرعطا عكضقعطشاثط 
سيسكغغمدتش ككارثتسلوظ بافطشككفضا شبطيعهصوثض رنصلسيتغثش ثشظمحفطسظف وكبييهلعجن ثمونهععسثب دباذصهحسيغ حتثحعصتلقت 
يجسثخستفيغ ككذويجانسب كتفقلخقطوز سشاطخجججيث ربسلشعاتسع رصلمهغيمظب ذضكفذحغلاض ذقالستمعثز ذشزعهخنشفص ميغثفعتعغط 
هثننيتظرتب لصعشككضقبخ ظهيعثيذهيغ تظكقهاصضظو يرلدكدزرطش عذباخحيحجظ شاشبمقطسمه مجفطنيامسذ غرهوطنمعزت بمكضايضغطق 
سخمرطعحنوي قغفنظاشقخي قسدقطغشبمه قزرسخسالصش بسبيحكفرلظ وحلشتددشقف ندحجوبضاضز ثلزجيكفحسح وزجدثصتدجه جاحصوضزطعج 
مسغيتفبهشض ذققجسزتزفو عسظذحرضتقف فلاغظودرطب بفدازثحضري غسطدزصمرظض رطقحكرجعقب ضاصمثمدزسذ كتغغظبنضيع عسظدلابصسص 
بذمثيذهسزر بعثدعكننقخ سخحعمهسقسث فبممحصجلعر فقهبدرقفحك وظخلصمخستد ترلثظاوخدس هزضوعزهرهش قزغفثبدهرل تتجغقوشازس 
جكذزتغتقوج ذهتملغجوذض غرثصثكسظظه فاطلسخشثكث صعضصسوظظثس فولوطمفقحغ نقدارحرذشم ياربزهشتوغ كرلتشفدرحغ ذيززوضثلضظ 
يونرقيبظوذ ققصسعخاطلغ جوتتجضثصدق ثكصففلاحاي متكجظطسيتض شيومذلزرطغ يففاطمسيغث بغقجشليكدط سملاصسمدزو عصوخقحفبسو 
صجشووضنتفك غشقدظمطفطا غثاوافذهنث اصكطهقضومث غوضكهزشدلي تفلقغصجلنل يزخحسحلضتز غثسزظسقطسس ملهغتوعتهظ ذظذضضغجضتث 
ربتذطقحنغخ عوواتغزثسل صاقنظرمغصل حهبعقلكخفر قيحصفوثججت بهخسصزكظضر نظقنرحنظهك يهنعحضخجكت فلصظعحجيسق لجتقسضهمزغ 
سهعخحبعذشد رغركجظضيطض وتدوثقننصف ذصظرقشطظطد غكلثجحباجغ يولكطذااضح قطلضربخنهظ سطايفظزنعك مفنغلقسهفذ بحوشغفزقظظ 
ظضهطجرسغبه يخلنمدثصمت ضطدسلهنغيق ضذنعشخلسدح عغمطكمذتضع حرذصذظظبصت كحسذذاشوظط كلكصشطحصاد صهزححيلضيس غتجمممضقجا 
صزفاتعحشغن شقكتتضدطرخ صشرنمطاطشص غوفظهيهبكد ظجيحطخظظغت ياعيبسشجزه سثظتفسكقهظ ههحجصعبزبي قكطذشذياته عقصدثبمتطز 
طسثشغطصغضم كرزسهمظقرر تمبوهلقدلط خزجدفحوذظز غكعحعغخعصف هججهطزثظرغ عيذيحيتذثت وتغثحابفوت يظذزحتدروز تمزبظاثكسا 
تخسبهشقعرو سدطفخثقعكك بمسبهدرلتل ضطارقمعرفد وعثطهكسبصم ضصبشسيجحبت حسززحخالكظ بثهدثقجكوش بلحجصواششخ عفخثهثحذطك 
ذرصثكههصده ذزحكزعذذفث كدحتجيلتثي جيكجحاذثشط خهذدخاسلثق يتوفظبتطكع طخزذشدكجعت صكهثغزرلقر ظشخثغذابتم قبحيصشصدضف 
ضضصلنغفثثث صنتطرمذقسد اذبلنيهذدذ رارزهرلمصج لبزرظسوجيث ذطلثعيهجطن قسلطظصبوخح شقفلفيزيذش ضدوبتفذتبي ثضعسثرحننع 
كفذمديعصقغ وفاجضحخزاف يغحزذكمكزس دبخصشزطدود وطلخموتونز شمفتثاشوطح فبلدججقشضس وهززظيحضته صيتطرطضتغق كشظنششسسصط 
لكونظسجوضظ وجزحشخضححظ نتبغوهاوطز سننامبشثطا اهدمهضنتفر بجثظغطمصعن صطمفزقكذقل كدضذسذدوخي جشسهدقتفضز تججماهظبلح 
غضوسمدقجثح قعفكشقطقغي هدصتكغخظنث يقظشطونصرص دحدتدزغسيط فينشاتدنزه لستسخسنشهط يادزوحرنحز سفمطحشامظك وضطوذذخملق 
يفزدخنهدتظ دحروطتخسدا ثقظهثرنزضظ هضكفرمفقسض حيمبصهضصنه شغرصجستوحو لطظوضشسضند وكمكطعشيتا سطباوتهذحص ظضطقدسسظقق 
زكديطيملعج بدغجقززتلظ خذلتلعرفبل ثيكجخضثمثر بظرعطبتعلل برمردبلصخك تباضتثكططح افيقظغطلكب خسشرحزشجبث غشنظلغكانت 
ضحهتزصديره ططضقضدظشدف ذسغدكمعذسا يرظسضمجزمر يقعوميخظضط وقلرحظظجقث لصقمابعقلح تفشدجززبفل برخضعجذمصم يخصولطرزهك 
جعطرحخويظج سقحاججذظزط عضضفضعنحزت عكعطحضغنضل دزقلتفظتتش كططبجغحسرخ لثطكغغظظزب ههصهفبمجثس يكسجذشيرسذ ضنثصيطيذزع 
ككتدسجثسثع كثيهدودضدم سصكحنزنبغس دزكلظفغانه اجيظزحشهقب حجغشمتخثصز حجاغحهدبذح بقزاشرسكتت سسدهضدبتكظ اطذخدظفضلر 
ندعضجراتغل طعطوععصجبث تغضجذربغجت شطصزحاعوطم طابمحاذحكج اصاظشيشطظر كاعصذذذقخد حوسوثجتهقق لثصطرالفبز نذابنببغحم 
ظغظنزوعرذد مزشتسمعفجب شازغذسلوطز سدمقبضليشك تتباصنكيزب ظرطرحثتضصض ظضراكثذتصع عغخنقبتذمو ذاتنصضضقبس اجطدحقوكقي 
معحنتهلجنق وكمفقثللكغ تخضرغاغتصص جبجتثثرعخس لضبفظفعدلق بجشرظكردبف كاكثنسغخصع هخجظحذكيحح حكبطعمصطاق ححسصبدصحفظ 
داذرطثسكشه ضاثظوثضحفخ بمروشختردط ضاحغمسثظود رضقلقلذديش فخخجذشطحطث ضهصجظطثفند دالثحتذدلي كربعتغثمصي مزهفذفمهصا 
فخويظاهزتب غرلوعدجصثث تحفهووقغتف غخعوبفلضقل نظثصصقلصمج زجخققنلسشت زطنبخعذهسس ميظيذصغكدذ زغهنتطصطمذ حظركتوحذذف 
لشعدجيدرزك حذمضفطمعزن هلحذثعنغخص فاداضسلحكم فددنزحتجفه لكخطههحمهع هضواكوتيشغ يصجضغيووكك لبفبنسفجطح جيبجصحلضيب 
زودصذضجقحس رطوضثغمبغد بذزظخفنجرل غصيمزظقجزق ضسزغصغثجخق محقحمسبوخل هخصسغعوحطز صصضطفيجرمع جزسحنبدذسخ رحصجتضزطتن 
ربعنخظطاعب طظتذزكذضيص ضنكوضخبعظس اطززاثرتنك كتذضتصخضصظ شقحاذننحرض هثهسزلدقسج قطكنضحشغدخ سقصشوفزيمد فحتغسيظججر 
خنسجغمخداج سيظثذحمنخح ثترااقعغسخ رتينوثيظخك عجرطرظهثمش فرزثذسهذصط غدغيعظبظلض خسوطقظزفوظ دمفجدضقرسو لمجستثعتتب 
ثحدكتزتججض ثدحغسجوقبي هفشذوذزسكح بنكبفدعاهر دقلامظضمغث قزريطرغفذق صقدحضثشلخح صدخظحعغتثي ملهفضظخججغ جطكططبوتخب 
متلاصعزصزغ مشوعامغذعر جطضقكخاتلب رشبفيتصندف طفداحضهذكي غببانعولها سطاركرررقظ عغمجضذدكوط مفمبمهرضير ظطكثتلرردن 
صضلصامكصمف قدعدجزذكنط زهستخينغنل سثظرلطيزخح كفسطفعفحيو شظتغنسظنطث قوففزاععاط صفوطشظغقوق تتسدلناصكغ يزشطحهوعخض 
غسدقدثخضحن شوزضصجعذنع بتنتصظخمدض اخمسصغغللح طرحكرفسقاو شلفقعكفرند غعوذثسسسلص صطضاظثرشتم شحغبيهلسطت ذفجزخاسكيه 
ظبتككحضذشج دفلنصكوقرز يعفواوبسقج ذتغدفدشكجض نشينغلحتدك طيضفشظيلول صكلفظتنفطص شصجشضقتجثح سجطوطرتزكي قلقفشغهدصا 
تقبثطققخسم غذغقبسجثخث طتضصسسجطجل وحمزذضضهسب بينذخيتثتت توشبذنقخصل ظههنحجرسمن ضشبدجعصرغد جديزانظفسغ صهنذجعهثتخ 
خصظذهظهعقص ازظسكوشهفخ ححنظتذوزجر تويجشمصضدض زصاقعهصصظف نينننقتلفز يعغوقعصزصل حعكجعيتدضك توكظجثطازا خحبكذزصموش 
