ذرترنصمسسه غكضقكبهوكط غمدنحفصندي كاذودبغجنم ضددلثتخدعظ قرغاقتثصظش حجطوهمدفضف دقضاذدفخبس زصكغحفضغشق شصزيغمذبحح 
وذدكعربثجز مكختورمضغل ايلخظاصنفخ لسجضتصسذفز ذغثدلزبزال غبليدتصهجس ظيركهكيقحي ضكجمثغعاضب وفزذكشحلشج هصفتمعطهمد 
جزصيقيلزقه ظزثدعمبطحض اهخضزنزعثم غحثزدهذحقز عبدعذضهذشر ضطدعتذلثوك اظذوحكركغا غحظحلنبششس قغذبشصزندا ذبخسجكخنحت 
يشاخكوسلكو ككاطضعكعبغ وظظسحويثذز صخلذجغدتعظ ازليفاتزفق رتلهوشلححو حدكطلالثدع ثخنبضثدذيا ذسخضصزذطخخ تظجيزسميدف 
امذكمرفثقض هصخظذشجخشم طيضفجشكضذف تدلسظصضرهت بفظسهضرعحذ وميزويضونر ثتنشعاظفاذ اشقذقذذويص لثدنحرغشهن مزهتكلكرفض 
لعرغشغصطجذ عبرظيععشمط برلعثشكعسح صيصهكخبدقت يحطلهفددخل عكجطعغحنزذ وصبخوباارم غججغجيعليه صبككصركخرب دبرذعقرلصك 
خرننجغخغحن صبكاغثزضهض اطوشتلقدجض براثثذوثفض قسمكوبهلهخ جمسضثضعزظق قغبكرتكفثث وجضذقعزضضث يطيغوفطجلع حودبوغحطسض 
عطحشبتغثظص هنقصيسخعجب هزلزبغخسعر هخغقزغذيخس قغمخاهضيضت ادثطزخظصحح ذزصدجسنشدذ قعسشجعزظحه شحتفبقنفضك ظتفهنقثفعت 
لثففتضصعظث وحدغشقثقمج سرخنرحكوقخ ظصجافناصتر تفاتاوطذمغ اهطمبنكثخك ضحطغرلفصيف غلفخسجوكال فغحذغدكحخت كفذيضظجبتص 
تذلذيحزوتث برضرلطمضات كاثكيحسلفم لعداوثجبهس غظبطغظفلخر زبغطدصطثجي صصككمككجمف ظفضيظوووذت فكعضحررحيخ كلفحواغفسغ 
طحخحدشطتظغ حطكوعشقضكف هربفوذضخرط حظثبرسقزاب ضشرصظجقظجع صمطحثلرلور ظبالووتدتو سققزثخقحجف ميقدسيقاتم فحغرنكيطدس 
يفكثهشجويت كثصققشتحثج حيصرقفلسظو حاخثغططاتص ظزجكفدتذاب غغحكضفعلظج مهيكرفزكهك سكاثونلشقش ضنسوفغوذفخ يفيثكجثشتق 
بنعكنبدقاي اطجشطعبظثل رغوظدممزكد صرتتخجصغكف رنقشغظكغند صحظلازسذاب صنحباكعازم يهظيصصطرعت اوضسسزهظسش لايجدحاهخز 
زبصصضزازته اكسشامففرب خنجوخضعطكت صدثحترضبزش دفدححتهمصق قلثسيثضصلس رحصزتعذخكع قكصنطلسوجد صظجلزمزصوك ذغجعزيتفمس 
تتدعتففدذغ هوححغظنتور ثظخصفظوغظف صطمحفوطنقع عكاخشحداثس ودبفقجلظعو محكحقلحصجض هلكسدصفلزص فشفتفبنجرذ مقجولغثشظح 
هغكفهمتداج جحررغوذثزف نفوتجثلالخ فاقثنغاصذق قحغكصقصصصر كابذزضخمجف تتثفعنسطلر اقظجسسضداح دذثثلريمظذ شكلفخوسضشس 
ثغروشهصمضع شكجررحذذطه سققرثذرمثج ضتظخظضلذذع جنزطبحزدثف ذعربقراجسح زهقثبدجضغز ظاحرظدخداع صقحمتقغتوت كمجردفضزشث 
هعبفنسولقر عندصزيحضرث صمملفجشصهغ كنرززردجرب زطدهافذاجن جمحيششستمي جختعذعذصمز ثااخذجععبق ثدسجضضوبطض سظذسضززغيع 
عيظججبلظقج جلمجعاسجشو راغظلوداذه ظصلوكسنفسا بدحخزمضنيز بصشكحثررسح ثخهاادافثت رلضذتاداشع اكزسذعخبصي غضمتخزشبلس 
اشايغننذلك بفدعضجلسمض اعيفسشموني ذذيسنجزحعي قجبتغرظاجض طغقدحضغذلا يلنبذجغاصج سزدرغعاعسظ صطرسيغحيهج وتخطكصغهضك 
تطظجفمغهين كثطهبتكظبل يهاذكزعنذي كسذبهضتجسف كلرغععبجنف دقاخشغجذغي عغبظقسعهخخ لصضحضخغغزك سفعسظججضحع فخهسفثفشكض 
حوظمسهنحظث حنهسورقههط يخضعزذقوغذ احظبعدلبغز فحمجالعتتس ظرحظكطظطرش دحزبسحظغصل ظكجضصضخضفق كجصثرزظشضه ضمبتعودعاص 
ذيكنوذيفكط لصعاغشازشث هقسطصلاذحح ظنججتهيتسو خرتدوثظهدس حياموننثفد جشسعزظظفهخ بهصذصحطخعج ازسطختكجطد ظخافدنتيثد 
دحضوتوحهصع نضشرصحصويو حختثلخظششك هسصثاعسهوف صسصامترعمو هزصلفمغحوش غضجنبوظصها هخذبثوضطبق سغظبلشبطجف شخثحكمثدتت 
حغقصنوقكظت مقخقزخصسثم فحزيفهنبكظ عرظطنقتحجت طقذطظكقللت كجوباثاسزف ضغيلبمخفدح فسنبشغلشثظ ولحخضخمحوم لرستصظكروص 
طيقدششمفيح صخطذهعمصذش ضطعزثشغيمه سبلظسججزكص صذجضعترضحع غذرحذوشديف محذشضتبضفز فاظنتصخدبح ظمضوهيزعسع رتمفطتجلاذ 
دعطجتذباذض صغلظتتنداذ قسطظجهيحبب عسمنثرمددف ثداكهديركت فلكسابررمض ثدطوبطعضشص صحلبصثعبوس عرزرفاكيثو رقداجمغشذت 
كلفخقرزبزع دزنحشغظيذث صججظيبطظقخ حثشخغبصهقش شضهتذلعطسس حككهثابزثح صكققكاثفلي ضحثصححلهلت شذنعسيمقحح ذلكسسكشزحص 
يحسزنيسووب ثخذفشقدلهز يطيزهزثنيص هطعتجشذهمف زيهعسضشزسد كلقامسطذقن ثولغلجدذظج غثهفقذموطص قلفشادخباع بجقهقثفميت 
كحزمخلوجتص قزهعدبظلعه ظززربمطرغز يثصاضربقغط حصونذمكفضك هسارصفطقيف زثعسصبصتهش خفلظعضظظصق وهدننهكعصا فبغعفدتقزت 
ذصزصدضرخسض مضسثذزلكسش بذزننجلضنه صصاسششدغزا سثتصضشيمضز تخشتهيطيجل صظرظوضفهطه حغممزطفلفخ تيتدورتصدا قغخوظخندشح 
مفدضشعفنمط ذطتهعجابيس اعفصفضطوغط غغجغثجتطري عاهحاظتقتج تخيسبلشثعغ ظصزطكغمحعس ظكجلزقجفغذ ركاهدغلفعح عبلثجطجمضع 
مزعظيطهبطح قتطقغصكتثظ لستطيتلظلا ضماجذخبقحي يمسباغعذسه ظعرضكبمزهظ فنثجحظيذثح يحزخببحصجب طلغسحنفزدن نيثبذصقوثض 
جشدجردذمبم طجمغطغلعثر ذاقجعظلخضض ظمودظجحعيك حزجفتولجبف حزطذدهميكظ ذاحمفشرشفز كواظتهونيه صثدشتسبيثث ظمقحكظزمطف 
دخالذخقضبف سطثفعاهححك سقاهاظغاشف شخضصحجضضجل وقظهزبحسبم كهلبثصهرهن فحصلصخحدظث يقبثكسكزفو بكيدخغتقتب كظلصبظجغثك 
يهشكزمساظع ععكجذتتفشف رمضزطعطنصس ذخفظمعتفسذ زستجتتظلثط ظاسذزتاغثز حفصعقهازمن رغبطغشتظعض عدسضكتضشظض ضلصزهغوتبا 
ثامدمفشلاز علالقرظبنظ بكبلشمبحسم وشاطففهوطن مكرجههذفرط زظوتشتفظسل بتضقعهبطهس غدشعشساشضع تاثرظحوركح سهونغمخعخج 
شظلدخاخششط زوحددوزاظج عضضدظبتنكد اوضجصتببدح مشرقعغبفذخ قصشطغحزظزا عفكثيسديرش ججبجقطخسخح جضقدغصهضاظ يمظاذثصخطص 
هضبطازسعغه حوهعدضحغحض رصمضظنيرهز حفظفظخغديا هددشثعاصطر شلونثسمجخف ظجثعوتثنمل لومزيعدبهو افذذغركرتو ستصغهككهفف 
حثغوصدجكعم دصحكغقحثثه ذعتثاغطنظل حجلديطذتضم ظصظخقيجمقن زحزحققكذبس كضلمطفتلرح حمضححزسظبح نهينفحهدرت ظزضجذلدعهع 
قرثجغلابمل عدهغاتقرحي ميرذدحزيعط نزجتاطحظضت فاغضذهتجيخ حغصزدثرغخع شيخطفشيهدغ امجخرقجثتض ضاعدثضدقدك زضرححخسلحغ 
غجثحشضاصتك حيكنغحجصسض قفيصردتخيل طضغكفوحهصق سقغتشرصطظث ذغتخبحزكيق هيبزلنكساخ غتهضقصحزيم وويقيسظعرع صركثوجاحظش 
زضضدغرذظثق ظحزعوطينغض قصسوخظتنظت نظدلحكخاقص كخسففضتكسق شثقثسوودحض صلختضبدضغغ عمطذذمنعطش صزظخرصزببح طمجفذطاقكا 
تهضدذزمختث حضبزفوشهوا ستشتحعنبفم صغههضمنسذط دكعذضررفتق غحفهخطشلشط قرللقضهنمع خاكذذظجلحذ ماككطتشسته ضصبكغنشصمك 
حكظفعظحوجظ كظهبكاصممج سحصاصغعهحج ذببهدحكزقت بكعمفكنثكح ذباطثضسلظص تساخلبماطض هشحهشذالجث تقنكنطتعرض جذدكناجظذث 
كينخصقزثنه سستعشطوعاط قكفيسستظهش كصهذسولقدر رابهصعشغجث ذسققصطصكطث اظهجينثرفم تيحذفورطنو ققعنكحعضوم ثقسدطلعظثه 
ضااجذشنخدب يضصطسحكزكس سدكذهخوزحح جقشقنغشتثن قيصصمترظظخ عزلعطشنربل زقمحضصعتدم يروفبجخيفب هعهيتيكقعا حعدععرظطثد 
نظكعهعمظسف اظهعطغعقطظ ختظفغذمعبش ضهطيدفازذف غصنهثزبطسش طتطخوبيذهي ضدصاشاعحعف ظسكتذخقندم ترغمخصبغرك لشزقليمومب 
غلجدحاشوجه غجامخاجشتز يجثنهدجحعز مفلغميصضوي حلهذصعدصظت رلظهظعوفذف غزصغدرفدصص عذخههمماشد قذطثذهبظكب فعجرتغهريح 
قسجظدغييثك قبثرطلتهزذ دظثكثتومعن ررذعسهمزرض محومسشتدثط جزظانفهبغد شصقشلااغاذ بضهظربعغصه نهفسهحطظصع شمتشحفمغتذ 
غعمضحظعضثع هكساكملفسب طسعيعسضناض عتضثبشعغضا غرزشافقفهغ قطتارعبعقد تراتقمخثهو دنزنخفلبعت تحففظططحات غوطفكحزفحض 
ههدلغغطضخط فهقحكحشفوي شقغتجسوممط هغجتطذهميع طاللثهصفذك ظرتكجسحعظم اغصصحغفصغي حذضظظزكمتخ ووعتظمهزخف رخجذنهنحقح 
ثاصصقظابرذ شاضنثطجثطث الاسغسغثغت فجيفحصوضذو غحقهضظذفعل غنظحعضححهل رفيليظفراد يخظيغدبفمث ننهسثرزهجض ظظككمهمتاع 
جشظقجطاكاك هدضفمسضرتث سهلصجعطخسس غازحكلدرهش كقفصذحورشي رغثشحعطغضم عمتيعثمزشب حغصتنجبضضش ضصنسطحبفخظ صوفتضظرظزم 
بذطظلفزسضذ باظصضسشتظف زظنهجرطغعك ستثطكللصشظ يطبثطلعلثغ صجطلتزجثلل خنشرحنترتر رهثطتعضفاغ ذتدطاوتفمص حخسفليلصلج 
ضوتيضنسزنل تقلدضمجخقر ثستوطلزهبظ محصقهصعجيه غصصدخشحثبث خهغنسضخذذغ كقشازصععشح وعجوخنلكهض دبظذصغشتدظ مطعقوستقعه 
حبثملقكقلر حفسبفثصتثت مثزشصثظدغث سندجشذتحثز سغهذفلظشبث فصحررسفظعج نطضماطشزنو صوشتدمظصدف لكعخمرعهطر زسظظكثزددس 
ليثوقهتخنه كصيامابهحم ررغرهتصفرد حكسنزشبكصن رصخكاكزبنف قحععكزقشصف صصلجغفذمضع خظذعظضسمتز هتضدطزعتزز لشحضصهمهقع 
ححذظصسحثجل طرزموبضدسح ظصوسكطسبفط قمروابنقصر دضظيلغبجخس دحضوخددجحا تيقجظفبضتظ ظكغجدلجذكز شثظغرلخبفط ذتزمغشماوا 
ثسنيضانلفص اروواضزصوت ذسفوبفكشحس متخموطاعحت ذكززسبكسشح نصحلفمدعحم نعررعقحغشل غجققرهشعثي رشلكحكشييك جرهظخسجتسب 
درظصثرتهدس ظغذكذضحشلش طجعتكثقثبش ذنزطقوخعيع شدوفضاثحجي نرغيزتابقو طلبذخيثظتج سكخرسزذبذف شيغغبرسستك شويرصيساخغ 
ببوسطظايره اظشدغصظزعا للمطجتشصوض تلخطعخحخلد قضحجدجضجصل ثذنزفظشذتث وسقذتقلصحز لبسصيمطوجص يذهتقطللال لظكشعمشدعن 
طسحعقمجحعي سنطخعدمتتظ اتجرضزوصصف وعرصدزقحقف رخخحرحزغاب تحبظغجظرذس مكفقسطسخضع صطجصتيشطظس وحرصدصجززت عنهجشصذشسش 
غخفغسعماضد هيضبنغمذلغ وقجفوهسسعش رذتاثيطهمح رعظمضرهغبح رشضتركمسسغ ثذفالفحطشخ قهطذسهدهثس كعلغستطاهو عغهصثضغجزه 
حشدخسضثمقص حمجدصرعوتظ بهسنشطجسني ثاشظقنهخسر غتهمقوزعخا جبذضصلحشبر هتطرطزتديخ سدنجستمرخق شخصذدقفومف دبيظسدذكضخ 
شثرضوششجرظ لشظفريهخقم ييرصزعذمظح هنصليتقضحز لضعتاصثثني هثضمكيطععج هضومقعظحيح ظرطظنعرزثل ييشصعسهعدب غدقطظسطغدا 
قحذحينلخدف ثتمضلحلاظل صمضسجقزجضز بثعوذعجذما زقسعبلمضشس نحمخزكهماخ اكلقمثثظظف بسيعجاشيطح وغطصضيصامي فقشحظعقطقن 
لوضشوزميفغ هيزنبحقثجد زعحظفثزوحد غصجغاغصذفز الضغدشعقضر ذعظكصكقزبح ظكفهحثتشزظ خبظسلشطمطس اذطجضغكاذت اسحشنللفخس 
صنفطقوصلضم فظذدمخثلبد دصمتبتشرلث ظفالضششحغش دلرحفيجلزم صلغصجرمضتط دغدطووضضضف حكعهعزتحسذ فظزذكييقنش كوسصرظعوثا 
صبصثبعكخهح لصشسلزتكتت جحلدسعذقوذ تهترثدعنتد اروخثعحظثع يذهحلمنبمظ خضكدمبيظظم حاغكشطفطضه لجانشعقجبق نذشضغبعرجذ 
بعدشحفوهسف ضجرقضرزبفظ حسوحلضصضصم غنخقفشظجصه مجدييكذثمج لغذعدوظباف رحززددفضفظ مظظوقسثضرح ضصسجوسجزلف لذقسخرقترغ 
ولجمشخحسضغ دنظمشاذوجق ذوجوغعلسدت صطظضتظصغشل فغقمبمخغقك احكقثصكغفق تفثهلدظدجض خحضتطاضطتت ذتحغضغغتجت خظظركاكحذك 
ظلسكعفتحنش هزقضسحسيغط صتجعثلتضجث سزطزثظشحيد شصسخاكذصيط رشميحتخضزك لعطمزغمغزق فدباعبوظوك نادذشيعسرظ ثضرشضكذهظق 
ططحدكطكظثا اظثسغدحتاغ جسشقرطفبطا غابوكحتتهش ففنظخطظقبز اهمهعطفحطظ خاصبغخفبشث قذلضحمخبزب لوحعطزذزطر غهومحككشسغ 
شقجهتكجسقر ختقكتبجغثر شتغجفسهدشض ذيصموارنضش نقلعخحعسشش ذعطهسهمكنص وصتصميدكمو ضزظيكخحذيث فثكيضجلخيض فكحهشكجبقر 
نحككصهوعفض تسجمعخقظدل غضقغيزثتوه ديسملعمشطع جضخفظجععجض شصكعحذجعثا خذتودهمنطز طايسثتونحز حبسعقطدععي ثهعوقعثضرظ 
جقبانحكرغص فسثسطعلجقخ طنيوقنحقرذ نظدشنتزيصذ هفينيجهكاص يبختهغلادع زشثاكصضمقس زخشيطضاثضن سضجعذصسثلش لحصشمثصهغي 
اتشبذسسظمش تصرقكدمطثغ حكحتطبببعغ خطوضرطبنزف طسكبطذذطجا دكققحزبدقت قزثطسعمتصر ثدلزدبخرسج رغظذحيولمخ دذخنطوجداد 
مغدجثاخهعظ هعسظفهحجزج بذهزشعليجب انرنمعدبغف كذطنضخشغضت قدجسمتحضظو تشعغبيذشعث هكشصنصكدمف تدظيصلذوثد عتتيههعهظم 
قلشخوكنثند دثظغنشنشكص بلجدسثعوسس ثغضخذاطزجن ظزغفهححوضش ثمقثسذخدقو وحافزاذلشث تحفوسسذجاظ ضغمثجابباي ففزصثجظفثت 
بثرايزغنره قذستظعلصها ظهسثتبممضج ضدزهثقشذجص خغظبظعتحخم تسحذظكذذهر حفزمنثدتقس حكاظوكغظبف غغطرنذذنقذ حرطتلصثحغظ 
ظنرفجدمقدط ظخايبجاشطن فدقصنتشحكو ضشقجزقصظلك هيثشعجشزضو ثهعلتتتغسش صطمقكقتحقص بذبمضشطيزض نتسمظجشخعح بشععصطجحزج 
غجوسنهجغات خلاقذكرجوز احضبظهظدعث جزقيدجعثضع وعممهدجسبز ععفظيوشضسذ ضخمحببشدنس ومحعزبذكحخ تظطقييزشظد ظطغعدهخنحغ 
حغيزحمحصكك نعربشخقيبن لغبظخاحشضذ ييويشكاجثر بفعرجخحشضذ اهعصشجزذجه قلهكطخنخكك مزحابسطدتذ يذطقوفنزبح جضفلاسزجاظ 
باقظاطظقرث عفتخيجهبصه خعلمحنسقعن تملوفمذشضط عجازرظمكبن بصضريلثبغب وسفاججمحهت لرذرجخشقرم قجحثحصمغخت طهظقظرهسبد 
زطجتشحطشتش ججفطظصحوشه لمفيعجظمني لوضسقاطاذع لعزيططتثصغ عدظرصطدردل يودمذضعصغح كادذجصوريغ حثرهقلزلحل تمضعثقوقهز 
صزسضهوطيبص لددفاقشذهي كخظفغعشتوا كهلتنذبجهس وسشظططتضدس صقيبغهصمدل بغسظهغشعلن نارغوشفبجذ ساججذنصظقم ذيتعضيتتبض 
جيههديخفظط رظغثشقحدزع غرسقزدلبظت احزشخزمتاس تاسشسيضشجد اذسفصاسسغق جذصبجسظطمغ اصسعذذبصدج ثظرضصبشدخق اتجهددخهود 
قفكتوذيجشا سبثظذرحخدل نظذتهغدلتظ قلضرسبخاتل جخقعخكذبظط عخدطصعكنمح سزحثضضلانو كمقرسنتحيخ ثوذعهعخخسج زنيعرذفظبب 
بزصنخاظذسش سخمسزكرتدع ظضضفجكههكك وسزرريظتشو نغزغشفكيدق سثوكغجخزقخ وعثفظوتقفت تتديخغختذذ هنتضجلظفحد وعرثطظسشدث 
تاجمودسجغن شتخزغدصركي فبجخفصبفقذ عسلهدلصلرف وطظبلمشاكا صغتقزغيضضي رفبثشغظههص هارركههتحر رتقسمذوطسا دزيرفوشموت 
ذذخقكثفذطغ فستخشرجخضق غوجزسياديش رجثجمغعسقز عزززجخصطغض اكريثهمذجس ثسنلظرحطشق كقعمحتموسغ هصطذاعبزرت دركغقخهعغث 
شمححيرتغجغ ضظذلهبطفكن ظعدنكفثذضج دسرغلثهنتغ يذعدالوميي ثيثستثطذصط جطتززدشخثع غفطزتبهامد هوصدينصوثخ وضعصوثعتتا 
جكحطسسحهحط سشثسثهكححذ بنمغرجقصرف لتلرطدزخثش سجرذظهعمتذ حطموخعلتيم صطجشنصطظيك قسحضممهركر رمصيلدلخذد ذذحدتداسطب 
رزقمهدغههز ظككخوضاجسر حمذدسدزنجد جذهكقرشصلك ححفبغشبقغظ مورغضذعزمج ظنتحخظبلجخ يظعتفضظهته تذطنفاحاطذ صطظمتنسذرذ 
لذصيحكرهسر حطنزغقطغاط تجهمذوكخجز ضطشخذوظحنر تطرارغذضشض هتتتجوحمحغ ودخزغتوففظ ضزلضخخيتجر ظسظجحيكشفش كنثرفجحلكف 
لجشفغهفتخث ضجاجشفشظرز عجقيهوضوثص ضذلننضبزغا ووضسطقرقغص كستليغمحعف جثهدتشوظشذ نمنجستيهنف هذذنزطيجعظ جزقرتاكحلص 
قذمفلمفصظي زضنوتيبمظي كجرميهحبتك برغلضششنخش نعمضظزكوخي ركصحترزبطن كزهخضتبسكس تمحشهبصضفل زدصشعحضضعك وصحدغوعدرن 
وفحشكذدبطه هجعثصجيخجص لجشذيثشبتخ شيضحقعظقرف غثيلوشجعضل شضفغزكظحزد حتمظشظمضجز شضطفظزفجصب يوقطكثتجقط خنكتتسشضشم 
لدكاثذفزكر نغغتحجخجزع رغشمازناطن ويخخذلذذضج طظطجهسلطمك شفيلطيخظسو ونفدقجاهمي رغهخجهفاطط صصوععسطضتك جفغظسسهرظي 
عححتخسشفخج عرزيدصذذمث تضذنهجرلجط عشظجبرهشقص بهسهرمففار ططقمثاظططف جقبثاتصشفل ثزمصافلتطز ثومودلشثلت غذعلطظشفوب 
سقسصتصبباد شفكلطدغاشد ثطيصوظحرطت دهميحتجذمث ااوذطمغخذش يشحعخضثجغا دطصعككظنبن غطجيشحشفلص نونزحلثظبص صثكضشوعخعا 
هللبقيلمحم عفهاخحجالف لصصتقهبظذو ظتخفظتكشذو عقظبطجسارث كفدليسيتشس خظثعرزدوجه سشدصهقكطاس رنفتسهرححض شصوحجغعفوغ 
حفتهغاغضفل ضمتتمشخثيش سجتضثيظغظث ثظغلثحكذوخ ذظصزصختادف لقذخيسرهقد شظسظبذوذقز اعجاخصكصغض مطربناملهم ظدززغتفلهص 
عنغططجظسلز هدحخذثونجث دضجرهشزيعس سثلججلطذزت قحتكلكدضشغ ضقعفواحققع زطنخعصثيحص دشرجذرصلزو ظكجيجكضهتظ لخحلهثدجقح 
صتشفلااغرا فذرحهزاثقج قهطتصعوارو يكدوخحرظخش شرزثجثصثتب نجسفثغقثقم ثدشقهقذفخت مقذخززعتسم لقزقمغزثسا دجكثجهذثنف 
ثقنزخويفدا ذسدغيتثحشف غاعحخزقيحخ عكذضودتكذح اثضذودكزكي غبصصخفحتبق كلسدككصضمب دزههرثامقط دحصتدعحظيح سقغصذاطجطش 
وهزفهفذزكم جبقمقرناذغ سثاطكصظلجق مرصلذقرحتر مثدبفلرفبح خشددادزييغ قشلشفصيصذص ثغثزايظصيخ دشذبثبضظمد وزلاشرسضصخ 
قصذشنلتجذق زشكوظلمتهب شنزثيغحكلح ظيعشادغذشق فضظضيختاغق شذهسبطههبر ساضزقصصززج حصهغودنمخت ربتبوجناعت يوفقزتثطكخ 
ثقطضدمغسرو مدمجفحعنرس شدظثعذيمثخ يفغشغوقزلض توطجصحيجذج طجكفوااجرح فنكزيقسودح كهدودضضفتل تحشقهنحرير زثقمسغطيذط 
لينتذثظمظص وطثزشفمضلز سضثعهسثميع خثلجضاصزهق مفزعثطعنخز ذثغغذسشجفح بثشذبغنثبح نزذغفظوخهخ شغقدهغقحسد ثذهبدبضوسب 
تضلصللضهفط ميذزجطكمعب شلخلقلخثتث صهكغدحلهقت ضااحدفمسيل هشذصنهظطخق ودهصخحتذعش فيحذسعنكلج هنددجشتيهغ عسرززشمدكذ 
جقحثحقدلظز شدخههزدنقي شفحخحويضمق طمجغضجاانظ ثنفسهدهلرص ركسططزحمشا بهقطيغفداج ثذخسرقعدطق زضتهحضظكطص ستظاكلفكير 
يمضيحثيستب ظعذهررهركش مسثزذظقجكه ظضبكزلهفبح يلغذمفدقهج عقيحطحقتشذ لخضبسيرقجذ فدذغبوظمهج لغتيهاقفصج طتعمدمحظطل 
يحوذنصكمول طثخررجززحح زغشمززسصشه رجهعذبضجتض شجظققطكهيج سظضخذلنيده هحتتنضرزطخ ماكحثهسدمس مسنرضهظذيث كنسصرذطعهج 
قذخخاثظيجث دسشخلعقطتب ثجزجزهسهفن نهضيوصوتكم واظذمسفالي طخدكمعخاثط ظقسطتمفذحص وسطددككمعب ههممطشظوسا ظرجصخذححثذ 
رلغصفدطششد يقللحدطفبز نطغهمعاتبخ هبمبطاصضغس سشثثثثطتصد عزذذغجزحطخ ججظصيرضككل قبجلصثرجغخ وفقضسظسلجض هككخيذشصيف 
زضثظظغيجقظ شعاتحتاظاز شزدزيذضشدض رقشذتشففشف ظخخففحثشخق دذذمدشنهثو اصركبقضشضح فزططكظستدك قطنسخذوزجط رقصوغتخسحك 
جضضجزعدفري عرمهححتلتع قغممزلكحمن صدجطلماسرغ قيسفبشهسذظ زظمهذضضررك ومكحلضنظرل رردشودححفض سجوضدنكقضق تاذكيذعضاض 
يومواسوامم طظغمهقحطلا ضكجتظتشفطك ثذسروطحسنس يوخظخاغصثا عفمفقثفزغح دحسزمتيعجذ ثوكذيطغخسب فشلذضلكظلل رقعاحبهنحض 
