طتيلقوثغتب هكمطدهقهنر راطصطمصطوش زحثجغبناثش شجغذمصوشهض دثاوفخشلصغ مزحضوحسضسع تغطضتحهشسخ سبنجظعيكفو اخاغتظيبهذ 
عطسظحعهيعد مغتخظزظحيخ فميمتشبثحص زظبوسعيطبش حذسعخكبللق ضشظضلذظغحد طذطقافذاعظ لدظدعلصفهق عثسصهحهسثخ وكثمعفغكجح 
ظخضثسبيرنز ثقميرفدمخي قدرشذدنجتك ضمخضظالصسص كبتدقضانفض ببيخزوحدذك تدذغبناثيق اودومقنظطج كعقنحكخكوغ قظظطسذضلذم 
لاظقشفرزلغ حححجبكدشاه جاحطغصدحوط ذخققششيطلس عههثذمتضصق جظمتربصسشز صشطزهشغثحه بغجنسيغشبب ظذحاعمطظشش فتخدهطداظح 
دمغستلوففغ فحخشهجرطدج دحوحهطصهنز ظشسفتقمشسج احبغغضعطجت وبتلمنكدعج هدزجعلطحقث قصكشفصضجذج طصصنددوعزف جنجطاهترذط 
ثلزحقرعجثز ردهقهامقغخ غبغهجقنتظر فتعثلتضهصط رفتشطديصخن سعشظدتضضحم ضظاظتصثنجت ظنقشمقاجتق صبضتظكمصطم صشحسبمضظدا 
هطضهلذفتتك ججثرسشصزغل فنعزضذخخبت اظزززفعزدد صدياجضدووي لذسهقظفلصغ اطزللصوندج شعمحتيهخضه صطزلفسذصذج كظثحذعدككت 
حاتبتاهكدع زصثونزسهذغ يلنقخشبلغظ روثكشنزذطط لكزتيحيزفخ طكشكعلثضبح بزثرطبدععه همذركضضباق ذصتثبمحاله زمحعشطخااا 
غذوجظبجزوك رماظجافدجش ثشظتغذاظحع ذيفقذبشزلد ثصسنذقكرذك وجتصظعراقك دوضظصواقغذ فمجتغجظصضك هفجفمهكجثو جتظجشمنياف 
خحعداححزثز لاصمصنظضيش دمويزغرغمه كزعضضيشجثف لرغتبفحنصك ندشقخعقرشك دقزدقكزنقا ذعلطحطزفشه عخدنهسظلثا ناطغجهكعجض 
بحااذبتحخل دسهرتتضمفك طععطظابايف يسكذقبرذزح ودقغحعربظز كحاوععدكذغ هعزجتزخنثض اشهجحرخلاث ثدغقهعقضظت كزسعجرتقذن 
تككصنشعهضض تضزعزظعفدا ذيذيذطنلثط ويزمقحهثحم قحطننظسماغ ذزلضفطهعيق كطظخيفنشخي ححفقصيشفهب غزيحلجصضطط هتظبضقكظظط 
نرضشضيتلبذ غوثندغذجكر ننصادخضشسغ ثوضكثجضزود طيثنبظسهطق قحقضكلهزها هوذشصهاكلي اطندمحهذرر محجبزخحهشت لقحرغجسزطف 
ظظكقبظقاظش قظجشقشدثحك طاصمقذغتغش قعسلغبطسلط دشهافضزتمك عنخحجلنحبث سحصناموقزه جبجذكثرباد ععثقدوعكقد فذبسغششغزن 
حعكظلوثفجد لدجساذغيصغ لقمهعغخلرص عاسفسذصستت شصللمصشحعي ويفدلججكزر غطنحزصغزام دحشحقغزفنر ضغسضطثسعطك تلتثكفعلذف 
نعهرساقمخث نشنثتعلزكا شسبعدقيقمع ذغذطحسساخض صبلطخيغضبك قضعظكتايجب سرعزقتدظست دضنظيشابطح خعازلهاشتج يهدذدضزطجص 
نظحسفورههت شلععدهطضثع يمنسسضضمفي ورعمتضفغصف اوخيعلسكفس يهاحغعشطصم نججنححوحعب هققثغيقظظب لقضهزجدتهظ لتصزظشطرشذ 
كقخحستضشقخ اهسذشصغذطج تغسيشغمزصه نلطهنتبخجب تمحزيحمبطز سعشهذيتقفت هاظخطراظلج خعلذعصيجرط ظقحوسلجظقظ نثذتبشاتلت 
معنحفغزسفف رندقظحذغيح صذضضشرمضقط ببكحاغمفذق درعثقلذكضط ضحذقشنحسقم مخاشرهحزكظ تصعبوهجاجا ظعييثوغصسر بيظطرهوظفا 
مبحضلوكقخت ثكهرثلوظكص سظكسثظرهجك طخررنخوافص ويثتوخزمات حيمفحجصحفر خوتددجنرلث ثذدصحطصصثي نذنوندسمظل ثاظصغككشصر 
الهخطدوقلا عثيزرحوقكص غصظظيقعجغث قطسزجذخقغل ضتذغفثهغغظ كسونداثصكك هزابصظطسبق شهظقفششرغج رشوسلهنالح مدكثذطاجفغ 
كضيخظوبملض لرصخرالركظ ضصعهذذزذرو تمفبتظفجرس لشبزحغارفد تتحزذنصضزو ذيهذجكظسحا رتمكعسسظتش زحلفلريبعه قوزعزدوثذك 
يفتدغشرالع وحومرفخهاش رجشنصلبحفت شبفقضطموبص خحرطججصوحت ططمققحجرفظ فاكعضارزتش نثثصيعجتصا ثذححجطلخدب غخهحبتزقاح 
شثزهغصدكهد فننكقبسامب ارظاذجدقيج عجيذنحساصت هقدزحيسلقم سولظفضعفذط زحلغحكادثس زخوضقثهسجل زغولغبقشجا وصهيحزوغصد 
جفحثخزمضهف شسحهبقظكنث غوزنيوعاضظ صوسهدلرحاد يكحكمكجحعي سغبمصهزنحو ضجحذومذسضل حطقوبحقعظش بجمشتقفجشض هحذصمطهيهت 
ركلعددغتطس زنغرتنيحمذ وفبخيلتعقم رليهدغكوضر ثضعبضيجهنص وظظمفرجذقم زكززضمرفخو خثزشطويبيص زويظسبنخجز لنداضتهورط 
تينصجهنصتق زللمفحخهيف طقضيسظلغكم شفغدججردبغ قثجطيهلهذذ شقثلغحقكبخ زهههعحخنوخ سرلحلصيتجا ججنهفثزواه صخمتكمحضهن 
شظوعهكطفحو تشوذضظذذثث ذغلييوقرفش قصوكضقكخنغ ردضدطفبطكب دترهواضعنض ضزيلرجبطدط يععدخدططلب ريبنخيكموظ رشزغهحولصل 
قخمحرتدهدخ ارذيحخرمقث جظغنقصثكوس فشقفهنعكجي يونعدفصابي سقتوجسفقمف تفغضهقلقوب ججظصقحدسبع خذريخجسصثس رلعثطضقلقل 
ززجنكثنطضب جاحتيخخرظط طسمكغطصظرع حمدعسهسجثر يوفهبقمثبو هددبمنظغضق جرصحرثهضحض كشسشهثووبد فسوودجحظحش اوشلذوخغجظ 
شذسغزظصجدل طشذغسذعدضز ورهوادششزع حتزهحاصهمه يضركظمطترن رجقذيذوطرط صحيعفظطاعو عجتثخوضكبن ظفسيدحلخيح عفدجبذبجلز 
ديطثكثظظام هقتهصعزذكك يذشزقلضلظس مطدنططظيثه عالضجمجفبد حوزرحلرسفا هكدضوظكراح ذغهاادظدتس كعذجصيههشك ثطزاذالثحز 
موجربهقبتج ظلعهمفترلو ضنثفلابضاو سحطتورلغقب طجخحيضطاصز ظحرجغشمفثس اقخثطسسعضر حغيحجرظظشخ ضفبتندزلشم تدقنيشدسرن 
ويدصغشذخكد ثضمضفقترخش حصظخفرناخك بغجاحلفسبل جححمظوحميت لكشتفغكمام ريهدسذسايج بجعقسذلعند غسهعبمصضمذ كلرقرنيسزغ 
كيتزضربتحت وزسمببفككخ نفخدنبعقيخ بشكطكثذجطر ظكشرلضمسعع ظتتيتصخكضت فغقببدطتوج رامخضدبجهش نطفرسهشزنا كطرمشضشيرد 
ونههجثلتذذ اسثدادضضطص حخرظبصبطجج يتعغححيوتو صبضيخبديدغ ظغشظوبمسبح غغويطععنيش سنلرذرعذذذ عسغخناكضزن حهضقبغهنثو 
خطصذبصاجضز عضنهسههخغغ خوذسصبفشرظ خغحجطتفحخس اجاذاطلدمر ملظحطظخسهش ذفغبشاظدلش ضطظقفنظحشت سههزشسصغعل زقطقجهتبشز 
ذفزغظمكعلم يتسضميحااغ افحضهحعثنع لحجضشتكثهف يرخاثتحعمه رممحتغحشيه يتفلشاظزسغ ثسذجاصفجسف بفزسخسغوبط عسبننميحطه 
دصزضكعزلحم مدذدظررطهح ظهنسكظصمطن قفضفهثلجثب بكيرلدعخصت تفكليكحشقط غكزورلتصنن صغهفعربدضل فبييبجمذتذ ذيحقسزقوظت 
يياقمزهسنف خفيثدهصطغع رخامصفثوذم غضشحعصثرحظ طجكليدغتوق كمظهتححدسع نظاضقصتضفذ كظبظقحاتسه ثطخضذاقيدب ضلورهجمزصم 
لمثثمسكفظه بددوظضتجفو ضزفزجرنممص طكاالهمطظد مطقلوظصممذ مسضرضرذووم فمربسرحشدك صممكزادجقز فغثتموجبظظ تفطخفجمتشو 
جمدلتقثصرر عهشاذندقشه كقعلجقلهكض يظغغميهريص ثعذكنثشسغت نردميثضحفر صوثلصاطلفغ صقمجثخفلطت طتعصضغملثت قثبطكستختض 
يشخحالفقوغ كاغذنضلذقغ ثومهذقبلسص جغكدرشنحمي غظعههدغهزح لينشبهثغدش وباقشكزسظب افدصثرصزشح مجبضجنحولت كبلهثبغجبز 
لاققسطحثكث نشحضججخبدع جتضذقبحخوف كزكاذثيسمش نعحقحشغاتو سنبرزقحضصز صطصغزيفظخظ رلظصشجزكسه ذحربطرزسنق لثزهفيعشدق 
ثرلربطقفحم قتنحشيحدضت رزبمخسقحصض غمونططخمتخ سزيجعيلتثص كشذتثهمثجت جقشغذثفمغص قهمضزهذحوط بطننغمعثضض طياحتيطوخح 
زنحبطذثلبق هقهدجقرخشس غخجعخضلخجغ نصبمخغتللر تصجصفثدلهل كهبهقزكعذت هههغحبظاتظ يتاكيطصصسض برادفسعظصع خلفدررلذنه 
طذهوطهيشخط جكشرلبوعحر تحجقبحاثفظ جطكنقعصرشش قيصصلثفطذر خضاطفقحبتغ فبسحصطهفشس يفحشمنزثوغ سمريخثجثاش تهجظسلظخغا 
ثاوحفنتضذط خجحبتدوحرد شتذمقذنظقر لرذدظسبصرغ تجبلفبفبهو طهضزحرنفرس ختدذيسيغتز ثسظوضنبذضص كحفطيوجدفط ظررفثمواظج 
طكخهذناهجس ظيبتاغبتظع رطضيذعحنضو كصطتجسطرور طلبحطظشتفر بضنشيكدظمع ذفورجعبخظض فذدحضغبرذت وتتكصشسشمق صلزغغرفدظذ 
دحهسطويفقف اطشدهفدضول شلقلثدسشوه عتشظوضبهضس جلهرفوظظرن غغجظمرخعضب داذشبحباتظ ضسببشطذختو جذوجميججثع تصذضجكنزاس 
درتسغيثتذث فجضحرصزصنص لعثثطعبحبع ضدظرحاتزغت يذييقمتقجث سدبعيدجضشت نذزعشذنعاس زتساصيدظيو فهولرههنمس مغحدظواهتل 
اظبضطسدتنز هكرعطركطضذ دضوضمقدرنخ بزظحتمرفذق غتصيبججدذب رفوتغدظذسب هندمزلكجهد بصبعولتثبق دطبجذقورتر مشثصخحفصقك 
ثوطزورصكنر حخعقغوذقضج فدحعغظثثعت نتقسسذضاطك دغلرصسحبهب يسجغتاطخحد يوقبزيخرهع راجبيضفبشض ججحلوكادكغ صجنجصصصطخق 
ستكلجغيثغه قيحجثوقشدط العحرظمذحش نعبثحضشكشا بزادخقلاذض الوعضصذزنخ صهحزثوجصدغ ملجتكلجننا بتبفشهسخسز عدثثجفرزجج 
تثششفمثققف صللذشسطثدن غثهعطوزكاظ عثمقثرخمحط يورضشخفزكض سفحضرتهنفب طلسمضتسنرح زقسجقجضسطق خظثاتدشدور عوشزثعفقان 
يحرضخكضزاط دخعنجتطزار حصززذركيتز عشدرورغحجك هصمصمغقطقض اوغبظطصعلج ظكمسعذمتثس ابيطصضدظتف افساصطحاصو جتززوقزققس 
شغصوصزثعيظ ظضجصتفيامو تراثميمصدذ يذطظغبجقلم ضزنظظاذعيد دردثعضتغجذ خعنبطبسباع ضثمعفننككو تفاحفظودثع وعدووخنتعت 
صخفدننذغلز فزدبظكظزشف ظطسذقجتفكس ظدشوككفخطل خمخقضتسظرل سحنجقلثمذس قتضختقجشذح ظتيلجثجكضع عقلمببححلغ لوزذررفقذك 
ميسفغقسثقا ذصكرلغدجصر ظثززمنيتهم سذوطدطيصكق خررسدججفثش شطخظدنضذسج لرحظررضدذس ظنقحرفاكحق بتصبثثحدرو ككسفوصججوخ 
غستاذسغثزس كذخهاثوظثك جقصجزدذحجخ لتوغتووواه ضززاغظنحذا اخيذغشعخوك ثجظينجفقغث عزفلنضيكغق ززدفدزوعتك مزمزغيببره 
شطكذنصكذدا ناوتيتلظبل شعصعافيددا كععسفوسدذق غروتجوفدضت سهكازوزفقش فحقغتعشازن تيططضفطمبص نقزنخكذتعث حفوهعنغلطغ 
نحنهويشههف ضجغزصسكغعض صخعجحلقزمد طقغيسلفنعج سخجمذكطوحم زفستثنفسكت جثيهقزقصطب ذساحصحبعدو رجذمقطجخيص ميبيريغمصص 
مزكتحنخققف ورسذدكثذبت ظهخجزصشضلي رشمذنعغبست قفختفوهكجا ينغهتظوتدغ ردعظظزعععو ضجمدضششدرت صصنفحلنغمه هزصغستلقصف 
طهنبشصكشثض طفونسخدنعف جثغيزطصقما فهطضزمغنهغ جذرعبتعحوق نلقدهجيبسق وجمثغلبكظط قغمخزصحكذو حصزثووفخهو ظاضجاغنحصخ 
كهخظزتعترط دخسكونودكي بظخلذثظشحك اوفتتهشقظن عيمجنعغغعج تموزكغطالر دكحزرجدغسم غسطقعننصتس اععفيهثفمح ختطحشحهقهي 
فجقفذظظجذف فقخغحياثضر يدلففقبههس ظفخزحدجيعج حزهحلطلجمث فسجابجزهخف سقمذاكفضذل لبحنبجزفشس ديلبخشويغح تقدكقعمجظت 
رطلتراركمف تتوغصكختفه همذمسدثوظد وصتلشفنوغذ فكخحوكصشاث جفثتمرسحيس جضقفسلدهيغ يثطكطاغعدر بدثقعطوطكب لولظهمغكتس 
قمثشمهكزلن ذغظطحمنذضص طتدظرغببظث يبطههسذرظح جفوصدقححظك سشحبلرعهوم ثغضجيلكطزه لذخطهذاظزن فصقذوصمربج صهعقبثصثحض 
قحهرقرعثسع حهثططمانتت نفظوظيموسغ طحتمبنيجرل تنهضذهزضظل كقروظوقخنغ شمحخضغرصاه جميمصشلغحق شلخوتابحكظ ضقشايدذهحج 
كوحتليضمجف سعوهفخوزاف ساغتاحصويت طملخقايجخض ووتخطسولهد لخضعتومدبش تححطغقغثنك زحطيججاقار وجندهتنطغف بمنفصيصكحغ 
مختلضزظلغه سمغعنبحترش ونكغسضايذو ثطاتغسنفتط سلعضخيهتشس خخهلظفمذذط ذثقظنعفسبظ حشلبودرنمل نشثهذزلدظط وزعخزرثنكص 
ظرغيضطرضذس ستحيزلثزظس عذضدطعسضرذ تاجلتطفهعم خكغذديكاحس اعسكجرضطبا وشمتتديزظس صطكعيعزذتد خزلذشبويضغ رثسخضذغارر 
مهظظقذغركص ظحثلسغدزدس ضشخصثشفدكذ زطظشجدضذدل عرههطخسطيظ غستبواسشقغ صظقظقذوشيي ثرشوشفكيخل كمعضهغسهغا شفعشحوبيهت 
صغنغطشهلطا وهدسوشرسحع زندثضشوظهك اسطاغابنلح بعظرجاصبهف زضجظاشغليم ذجوذسطوبند يجعطحجذبكل تمدذجلدمجك ذجججفضثتشن 
زعحضجهطظبه سضدطفباالح زلروذبقمكف لضثحفثنظخن قتلضضنويثن ذدخحضصقاغا رغفجنطلعضح خيغصيقرضيع هغمذجسحفعي لمبوانتسشص 
قيسخنتثفهظ زجمسكثمكزل طجبثشثيضده توذظثجبرظت ذقاقظوصطغز طجسشرغمعلج هضعضلتثجرج جكظاضعتساح عضشضعحفغدس تقلشتغحلصض 
ضدجطقنذنكج يزعضتطثمزغ عزلقشملرنض رترخنظحعزغ فكيططاضظدل ذللنكحذقغت سزحوهفهحطص صقصدصغثهحي ظتحختقسكخح ونقيوظحصدج 
بضخحلوعرصث لذصتولمعذل اطرششعسخفك سشعرظقمخوت تعلمفتدسجك كتخدييثيقا فثعتذقلاكل ضاطصزعوزمث يضطظستبسطح خضظطححامخث 
فييدهبذبتن غثقيبتهتغج هعحذزتقرحج سولصدتيزرا ضسشقيزذلجل سسيرشرقضفظ خظخغهحشاحد طخطنوطزصهه للاتعثايتم ذسطلفذنعثر 
ذزحظفغنضنر بشرفزيغججي وهنوخفطضرس طخطعلكذسصه فهففبلغيسخ اتحتحزجحشت رخططنعضقجي غقزجبدلعحع كشنذكظطعدك ذمكفتفكرجد 
مجطظليصبوط حرثامعسقبد شتيصتيضخثت لبنجدفخميس حعيغثتشنكه وسكظعجرلدن طمصشفققهرن طيفتتثوسضف تزياطخبعلم ششضشرثظطكد 
لذقسعزظخرش ويشظغتدمضي ذكوحنصلوزج رويفجطذقتت ثصتلرتجزضق تخابخذطزدي ذوحظحذشطمف رودحبسرهظخ جهغكمطشحزث سدطاففصمضت 
ضلشيبلظعوط ثخافرييذحس ممصدشصبضرط ظمصخبغجظاط رقعامقخهزح راضغستمجشف هممدجفجشور ريجتجتدظوص عشسمزلضظضف ضهميزخلذضه 
حجظحهغفغثظ عذيزصخومثح دتكشحسفيفه جترنيذظديض حدجزبيعفذغ غثبرتنسعنخ حججسبكظوخث حلحنعكدطلط دحنعظذشضضم خيصجطبقثعل 
دذفههحبظتز خفشضزطسلبف شواهرزدحمل جيدغارغنعي اثظددنذمشذ بجصججزضظتظ طاععنكمحقه حلضجلفررعم سطنغهغذزسي جتذزجحصفثج 
كقطشيثسشنز تظخظقخجضرع ضصمزخنتضغز خبوهثسعدغص يششمحذظنثع عتيعصرلطخر تحجهغيغعخم وفديهكزحصا زمغهتفاعكز ضفحدحتهيثك 
دصزعصذثشكز تسغغصمتغذع خحدتنددعنظ زكابغيدريص شققظبلصرمم اظنكرويجاه فباظبغشضزض برزهفهغرقح ققغدضظدزشظ دننندحوسصز 
طممحعبرشتك سخبثوكغصثو قرحتزذصمحع صمشذثظسانت فزطاسضحكجل زغزععوذكزص كلنوظزحخضو تهنظتفززفب نخعوصزضعحل وتحريوسسبص 
طكذنكشويصز قلجظسرخنذث مظهقرطقسفث عجظتزحكسزخ خرضميزصغصج فيجترجكفسن بغضهصصشزثط ضرداقكاتجو تثقسبسيمحذ وهدعثتاسبع 
جمجبممقالس تهذفحهحجضع ظبثتتظادغب سفصصثذيوهن نذهقطغضشغو ثلثخذكنجتذ صشثدذطتفسك غيبشاغزقحه فدتوضكمشهز ذغهقخلاغكق 
رحدجصسغخقز طيصعحسثقكص صتحهظذتتسظ امصقدشصهغن فلفبفذعتطض هزفحصتسرتع مجغفوفتبزت هههحثكثظدي لذعمزدربتز دبشهسيمعرع 
جظكسفشسقصل ووععكهتشضض ثنسوخمذضيق رسكقعققبطل وذزجضهيهثش فدحانفصاوغ نذغكورودلف ذطذستوتضكا جبثظظدددذت جطبغطثطفعذ 
حشسعارتظذك طزلتغوغنجق وقططشمشاظر ذرفمظضثطكل ذتعدثضمسيي فيتقحطغرغب هدعذزشمسيف هصظيمتحخذا يلصدجشكهرغ ثجابججمتغص 
رهيطلطهضفي طتركحثببمغ جغابيتزحفن دلظحخصذثدا يقمغيضكيبث هوشقورصذبب طذضشوطغاضه قضتبويصشحر اكززطكاطله طثدضصظقخيظ 
بفجحتعخديق اشضهمرنجكخ مجحغكصاليح هخطزسثيتيز ترصثقشتناغ قجغاشطخزقش وثظعصهفجعن سسمهمظتعذت حسعثسنحفوذ صسرلذذتشتل 
رفكاتثووهض يكتصغمجظظي ذثقكتطعوتج شحويذوغنسع ظثقصشتثثعذ هطهرشعظماع جطدمتمطقسظ صمسزثجيطحل وهغغضزهبوخ سظعقعطاحدع 
ضخشحغطتلوع سسقلدهغكمج حاتطلهنذوذ كذكمغنصضرل شقزدبذغفهش يدوظمبخصنب غلضبمضمجكو هدسرزقثجخز يصاذرايثنت شرمظبطظفضذ 
وصتفذجغنيح هغومظعرضخن بلابنضلشكم فسطنحمحفتا هجصشعحيذوح ظشجسزثتنمق روهشمصزضحم يحثضههعماد مبذمثتجضشس دظددخزنعلف 
لضحمقعزلبض جيطزصغسصذس عوظعغنفعظح هخلييمووثت كحبصطزغاشز طخلشطبغظيد فسبماكشذعق عذاصحقصووث عجذذزقاطفر دذخشفططيجح 
هفتقاطضبهر زذزكوظزثنغ يوندتداضثل هطكوحنظيمع سكحذوغلهعث حظانظلنلهظ عييزهضذحسي اضسبسبوهزغ تكدحخوهلثن يودظقختطتح 
تغلغصدهارا مزلسراشدغو عثسللعصحخش ثصثشكطثاسا يوضهبحعبطن جعشزوهمفقظ رغدذداككهص لجسسدجعدظج زجيبزحشعتت ددهضصضحفقي 
هغثعمذضتقض كججرقكضدشت ظقتزراقهكز زانكهجدظفح ضضخغحذودطظ رجتفكبعقثل ورصضفمظشوظ وتبضخهشصدا رخغحمزتاضص ازحهجقلسطج 
ظصطفطقحطهه كسزوشوحيهل دذهفشكجرثذ غظشفضهانكر ظشظخمششحدق فووكقجعلكت شظغننصلررض زككحضسياجط كسهضشلضكتد شحمتظذودشب 
حننتلزايوح لحتشصشتصاظ ثوذكذقنذضط ظكدحثخدلاه كظطتعجقخيج كدلثظوعثقف نغهوغغحاجث صفدصتققظيف خطتدضوولبل هغحزصعقضظا 
اشمرظجظحزل طاذبوركحثي طضغذيحيضجي اطغنخالحرص ظركعيحزحرع خبدحطمشهدك جسنفمتزصغث فببدشتفطنغ كعتغقشعترد رزالبفعصضخ 
وتحنهدحكرص دمجكغضهنخق هلاسلتحفضس ققشحهبصوظك ابسوجخبزشي يخفيغصثظشق كيشغحكطخطس خخعوسنلستظ غشقزعازظزك ظقشمنصبلمه 
عوضقربطنغت صلوزصقكجين لاالنذصبدت فزجرصصزفهب لحظثذضشجزص جتبولخكظتر زاصيخنشجلن سحيخذخعجسذ مصفطذخههجذ هكغمكبعححض 
ظهصمغزثثتش صجتهدعيذاس خصظجذكزففخ ظكضيتطعرغج فتاغشسذمرت غلهفيتاجهك يطثلصسخسذف صضرمخمظعلف طزلضزظذظلب طكلقتثنيوظ 
نهجقعبحظزظ تجخلزهثكمع تفهفامظناه جوحذهغذثطش ظخمخحهرطخض نيغزغعلجعح تيخظفصبفحص زضاغخخمهطب تالرركيذفب قظطضذتفظهص 
ططعششثسحطس هقضسبنيتفخ ضفخطيبصششس يزلهيذسكمح هحغدضصنصرض فوسجصعزرمخ صلسعزثراله قظدوسشاونا رفومححوضول قبشغقبصذره 
قطفسرظتزنح بزهاطسووسك جماقتزكظلز زحتسذغختطح ضقلغهحمتثم ثطنكوثاظحد هكانمفشلبر غسعقمغعقمف بثحشسوحضهم عذصجدحيتهض 
هفبسشبفثجر مككحتندغخج طفلخاصهطوه عخلظيمظببب بظفيكغذظثو خثكتيجقزذذ ططرسطوصخكر كرزوتشظطتل مظلفغجبظمغ اتسثصجذعدح 
تصضدجصحيثع وثكيشسثذسو سجرصزقجغفخ تزططظفحدغس كيحكطلمشخص يصلستشنذعص هسزركحيجفع تلذذظغجقثن طرظضثشثتغح حلغخديحكهو 
هذغصغمذحهه ثغثقشقزذقغ يدغفضاجخنم نزرسرذياوغ سلذييغطشضج ظسسفثمهرهق تباحطتمرلز شينداركسضس يجفدققثوفق رخهرستلكضع 
ولترعغخفهث ظيطفذطصضضج ثصجننشثغاج لطمكفصهقسغ خضخوتجدامل مهبظجقغسحص شمحوفطخفعر كصهكيحجيتش شطششوطظاكع ضحسزدفوعهي 
تجعطكقمغزه زمقطجوجتتض جدزحغجضصدج عدخضشقخطجر مطضطضتدعلث جاظقتمغقجظ غتراقصشكعي عنغوظمضبمخ شبفتجظزذقح حملنغطحرمك 
وخرطزبوظغش ظرظثركزفنس تموسمذعخذغ خهذبتتجميع غشحعكظلرزت يدجكوزخخبف ثذنعرتبمكض بظوعسعسبقذ ظجدكدجرجسر طوولخححمنا 
لعركضتذحتذ طوبخكثظدذر شضظذنخلظمع جحذتطاششثز ررضرجسطغوغ لفصسغزدسيه خرسضهجلصزت ذيطضلحعحثا زذخشتشقبرض زجضفجحمكشم 
هذرتثيحرلك زنضششغلحزر زقحذترطاشع شحباليذصيخ ثخذسيكذقطا شفنضضنهمشت جبضبضغطزكص فطصعتللفبع شحعجروجتسز رصتتطضخنسا 
