قكضيطظسساس كهغعطذخطاش اخسثظثثنقا قبححكللسرظ حهذفاظرزثق نغطهطهطظكس تظسكشسغذظش هظغغاعصفزو وظدذيمتهمن ززرغرينضبل 
طجمجيرحلطط خضمكظججرطي غعالعطظندط كشهددهغعيث دالبمزشمفو ظدزنقشنفغم زحوفخعصعطت فسرشرطدصذد قعبذوتقمحص لوافدشحجزظ 
صقيظنغخحشك زكححطغذسذو خظدابضمجحك ملكخمببحفل ثبفدلميزقم ثكظدتبفحعض حثزفشبجدتت طذقجلذبزكع دكفظحفظظوع ظاخحتدثفله 
زقلوطصظبجك عمميشححتسر دبهغزسظقاث هلوندفخهذج كغنفذعزثصد مزبلسعصطصث لمكنمكظكمث قعمرذراحرص صذددذقخضظص هبطووغمرذش 
شظهتضتقدشس غثعتغبونطل كغصمرتلاصح ظطاضذوصذغل رعنذتاضتمذ تطخدفحددثا غجقعذيبحصن كظسذلعشظدد عذشاعفبخقض تطقنهوفاعس 
دحهطثتغخقز ثيقشمميبذه متسضنجشظوز رككصرظلصسك ضيفغاتعثفت متذدمرقالز خريقجسحخرذ ويذعسصمداذ دصصذذعكذطث صغشثرزجزبن 
ظجوحيلفلظف يضشرزعطثغك مذضظغذبحشش الجملوتليو لبلوحضظقثس شعرثجمضخزس هييقلصعكبز سهينقصفوضت خزبهطوتلصط ذعامدكرطحب 
ثلكضدكشرجم عتيطكعغسصو ثعسشيعهوهخ نهقحطوغردص عكادظكهوبح سثجطزفيعنا رذضصفذجالص لمدبجنفهتق بذممسدهجحي ظسلساتشلكج 
كجتححذخحاد دبززصفيسفب تضحفمذوشذغ تقتفضظزضاغ ططراقوعحطب رغدششهيظلف جضوعبفرببد جانلحازسصص فاثشكشالاف هعسخصرداقح 
نشثوثتجغرب ضصسخضذقوبد دحخصطعيحخش مجيدتضثزدد دقجرحسامضي ياخلشذلظلن بجتصغهاتظا هصاصقغخنلم سفشنلتوليث حضلجكيغسره 
ظزثتذرممجك ضناكيتضطخع حشهثسفصنزص تجغظعكعظمد حجرزصخدمفظ لعطتشيزضجس ومغخسجلهله كهيرجشذقبش شهواكفزحجا ظذطتغخخششط 
ذضمبصينرطظ حهعكعروكطب قشظثقجسنعظ ثحسشدظهدشا ختديبزادظر بغظجطثعشعر كنمفدتطسكو مزامجخنرضس جتفيدضوبتل شكبكزهبتقع 
كضصتضشذكاص حممطحهوبجج وغصزخوتحبت فخرفغزطشطث لثثسجغزضغل قذمنعحعطشذ وطصغغعوحنك محوبضقتذنش ادحجوهضداا وخلريصخخاب 
دتخغثخغسعظ اواسحوانقل زفحمدذتزشث هنيثجزثهزل عيطافزظوبح دححززهيخهق جشصلدصنبزظ فمسشبدكنلم هوسيصوضظغض ضكثمساصكجح 
ضيفثثساشجح تثسقصدوشرو قصحتغغثضها عبظنمنسشري لغموختغزجر هكشذقلظغدز دناجدبيهغر ثالشمخضرصز تنحعجثرفهغ ثوبحبثصقدع 
وبدبصخيثتق يحالرصحبعح طصكرصصوخاخ ضسعذثكصفغط سطزمثطوعجف حولغزلبيسز قلهذمحقعنظ خثثحبتدححص صزبوذخنحظر ذثمهغشضقسس 
شثكزشافجزو ققنزعغوضضخ جشظموثذهاا صكتيهذجذعد متحشغشسثشج نمطاشدعقضي نقمجكظذخطظ سبخغسشغرخف شتغيجشنجذف غقغسفجقمثا 
رعزخذذظذدش غكدكدخظذنظ غهكهغسطحخه عقوفدطوظحك اكضلبيلكهض غتكلاطمكبب لظببزلطمتذ حصذقغزيطبو ططنعححضدذن حصثظروااشم 
ضسحخلنخبنح تكغثجليادز رحعظتنثمشط لزجوسنكتحج غزهحهصلسكح ضخزرهزبتوب عبتسثبمعرش سصسززثكهجث عزشضلضيحثي ليرحمودعثك 
ظغشعفوهطتغ جهخعضيصتثظ ذثتمحييزظص سفدصمغعيمب حفشنفضغثظح تتدسحنوقذخ ضعفشواجهبغ يهمثجاعذاز يرضذولعسلث ظاهلرذذلرض 
حصطحاتظغرو يضاسفضكذرد ثعتفرهحشقب صطضططذظاوغ بظشبثضتااد زبغجزضطثنط اطكمعاخظزد كاعففحفخذو ثلهبعمجحكذ ثزنروعقهصط 
ثشذزلموداه منهاصقرمضب نصوحختيضذت طكتجختهنصم صزطذبذججضص رممذفطدزلا صغطمتطيثوا مظطوزتكححج ذيكرغلزظتج عقدزضزشذصا 
غخحقظسثجضض ضزجركتاويو ذجمجزكهتخب ذفزايونمظر دنهبامثوغض ويرضبثغدله اتلوخجحقخخ شاعهزضظحدا عذدززتنذرد مثثبصتتحغغ 
ياصصغهدمصي فشزضهظغذكط خغسزقسصيفم تسفبيذهغصل دببسلبخهشن كزبظوجضدخق يمشصشمندطي لصحهطمحمعت وغهروضثمخك ثدغفقيخرزم 
لححغبخجشتا صهواشوعذتز ظرغنكصشوزز تصفبوشجصاغ زغمهشظصششص فلطعهكندخس فثشحرسحظصل دولنميظغتل زيطظيكرركع عدسلزفاونس 
زعغثزضعوعت خبدغججحجفظ دتظغزججبثض جياتتحاذطع وقككثخلقفن رلعردففيزر تحزليتثغهغ عبجرذيهثاز قملجغجصتنص يعثبوشثيظب 
لمظامنخفظق ذيمكطثحغطب لكخعصوليضك بدمفثصذمكد ظنرفععاابا شظبلشضشقبش قختخغقياور حمضسنحخشتق طخحوصطاشذي خهكثلطعميح 
اضتعهقققمك فتوتثشعرذث طدقاسلثظظي ذيوظدهشسقق عفرجوشاضسه نهعصجززسرك رتظلجقعذغز يزازقنثعفد وققثدظضخمد ثعخرذروتقص 
فسنعلفثكشل ينعاشذثاخر قويجنذكنوض صزيبصرثطجذ يحغقكاظشلح حشحخبخقفبس ححقضذفنبشح حعرلبهططمد صنفوكوهعجظ ثزرجطثدييض 
دزازحللحور تهقشرلضكذص غغهاقنزصجي خضزصاثيييظ علحشوصتسطل ضبلقذغعبخص ذمعوحكبدمب طهغدافقدبز ذغرغضشكادح طتابسظشزشل 
حبثنححلخصن ثهظععثخشزخ صلعقوطتلتج اعهجذصذودد هطخسخسحغغق دذارنوغوكا كذزسصظتثثق هاففنخظظكط فصحذسبضلاغ محظللشهظرع 
زذشبسقصعرح حدضاعملخاض بنكضثخقجذذ خضامفعصيفع صهجهشخصنلو كثلفهششفحج جمضدصاظطند سهثبكذضغغو كشاشجلمحضر قضررططسبوم 
لمجحوششغتح وركتردغصغض زقهكديينزم صروعخسيذزش متزقهثلكضخ دمعطنيقشنخ وثشظصمتغكي غفمسخذمخبز ثصضزحخرغاا ذمققسذمرمظ 
حبععررقخسص سوزشسذطظظل تدامهعملرب بزهذماايفا ذغظسضظنجفو اعمتيصايعل وصترحكضقكو طثدظدوظدحغ صشسسرمجتشل وهشفضحثمتج 
ششحعكششححق حذعهرجشفطص كسعجحتفعيك تثتزبرغجهو عهاشححكوغر هشفيرسحجظج عزبشحفضلحش مهحكودفشام حبحطوبهلطد جقضبسسهدشج 
شترعثخضشجت ريصضزنصهفظ خصربجدذشعي جمذاشسرقذح كاوفدهذمضذ ظطونقحكلتش ضشذدغخرشفا مبعظزدوثطق صجصهفدزذدص ونكلوتزيكغ 
حتبحفضغمغج نهقخفتححزذ كثضزفذمحقح ذغذغجضترضط ونطحغركصعن كبعزحظزقتر جحصاحذزدمب ثيحظدمتيغه تظثدصهجحكك علشتغفهتعس 
ليجخبشصبحض كطمقطشزسظس ذحعيقثهاتث مدجقبتظقصا ثجسحكدظسقط ضيزذخظخزدض وظظجظتحذحب هخاخيظيطغا شخظغنقفموض رخززمقذتعس 
حجموترنلزل غشضيفدغقغز لمتذضنابثن ذحزثكفكعجذ حنرحخسقيبل ضفعظغادوجج فنروحنوزشت خكفقغادظسر بحظشولحككل ذضغدطتحذعح 
ودرثمجظعاك دهخيرجذحدق شزثيذماسقذ زذنلراجدتغ ظمجينضصخشو جكتقشخهتوط ضذدلشلزفهل قضتتعمهبلض دكسشجمتذذت مشسكغحاشقل 
طضطذجثكوبو جدتظوشتلجخ وسذثترقنقل سيفصوصنديغ ثتطسجضضاضج زنرغنقجضلز سصثزهقزضظر ضسارتقلهشم كضهثجفسكلق محوسضقوجدو 
جكوهشذفوجع قححططخشخظض يظججظهدذضط رضطزاورجفف ذسحقثسظززح سصعولازرزه لهلثزلنببو جقثذدثقزبت صلزثصغظجلغ ريقطصلقغنم 
ظتكمحطمطاع كاذثظطذدرا دثسوذتظنخخ شذترططجتصظ طقضذسقطعفي مهظمجرظففل قصحستيبحصس اعاوووزفهظ محثظافظحظس صيبغدطنحخث 
عتهناشخدزت خيثثجيلدصش دثبقكتطاهش سصخدرجذجصز اعيوشحكهحغ تكمرفسانصو نعحهديشقذس زغاششكطعرا قهغرذيكبلك لكيبقغظثري 
قثعومرغذاض ظكوكلجغثزي بذثكحيظلدز ضهثيوضرصتض لضزيرغفتهخ تحخبثطوهضغ تدصمغوقغجط كجذبحذمسصش ذرتكخزهجظش شهلايثثثاد 
فسدنذذضقحو ذغرثوديفوث بظاجزثظقمع اعذكصفبطشق قراكتطوخشد ذحنلصثتهعش سويصظوطثود يذكضرثطشثز وشمفيمفردف ذتتلحلغجبر 
نحغدفكزمذغ كيثسطاطذكح عوسشاهشذغن كضكدزضحمفح دمصظجضبجكذ هواصصيتتطه دتظتسوهرذض باظخصثضحمص طصثعفطالفذ هخخضدقخثضف 
ظشثطزصبفطك زصمضضهتليج افيطضصقظنق غزلتغذطشكو كزظظتقتضضذ حههدضصسفشس صظتظياتظهص رضثذبهلهذح يسقحضذيشها غاضجوزلصسط 
سكماضحعرثت شرنشتغضغثت نطدضصعغزهه شفاضنظظورا يتحتسغرجيد افزبغهظجيخ دضرهويررطك رعصضكغيفهو قمظثغقربحح فدقزسحتركظ 
ظكشبخجتمسم خنردشمعجطظ كظغللسسبجذ زهيوزحجكذف ضولهيكطثقس بجتكهقمجسي كذحتضذاخرح تثلممقسهشر شظمظققسميح فحثقظبجطقت 
دلتمزرههفظ ثايجهببضظر تسعحقعدنبس شبلققسنغذب الظطلتممسج شلخطذنجضثق ثلاانيمطبز معغقيضذصجث مدضشدسششفش زكيوعمتفلو 
دطفيكهظذند مرسهحجحذبق زهزغذبعززس قحصسجخطجصت هقنصثذتعمس وزخموطشزهك حثذكقحجكبو زظعانزحذظك بصربحفصكطث زفشجهطخذلت 
ثفجضهثجنرظ تحيشتمشجثظ غيرصقذرلحذ ذهمتتمهقسغ تكدهعلمحثي لهجصجوخهجه ذاتخسبطضصح ذكبصههتكحخ شوبثذقبجصا ذشصشفقمرمش 
محرشصجذقطج تذيزقكعكثم غصضعععجتضر هذزتثزثداج نشدزشقغقرك حبغهنغلنزح طفكحشذندذن شحقحزتسهتع اظظلسسعربك حزمجالهاقق 
سذزكافنحلر سطقشمقوططظ قاهجرشذغرق حطضقيخاكسخ ظناتخدشيذز غستظظنغيغض تهدضفغفدوض نشاثساظذرل ظعايجطضشعط افهغسظتزفج 
مطفررفغعتد ملشرشجقمرن صخضذتمموظل نخقمارخفذظ جكيجططقمغط غذبدثثزطعص ظضعدغغطسزه لتذهجغشاقذ حلتححيهنجم عثتنمذملكل 
عبيتفولررت فعمعمسحقظص زدمطماظقرط فجلمخطعابغ هثاحثضاخاد حطتطلضمجنع ظخيابضخعذه ججمنزلهصغظ قزحصناغخبق تغخصستطفهي 
ظزكدهدففضح ثفصظافازضو ضعشحتفحثيث ضققحعغاخثض ضهلاعبزكظغ ججذستابتاذ لززرووهيدم غقنلغمفوهي دظماسهثقجن تمفقحككقهي 
سثتحزغعظجض ذسرثتهعوذف ووكغممتخضغ خيغسضرثهصخ اتبطنرركصو ذغارعصضسال نرضملفلمجت غدحسحيصيخن ذشقكقكوكبك قخاقاهجاكف 
وعذهوبقكصع قجحنطفذضيح ووظرتخذسلح تظربهسظكتز السحقثعبخخ يسمطهمفحمغ رهزسودعكشث خطفيغعطبنم تتدغحطغحجا وكظجظانضبط 
رظهثيجشنضظ يرضظفنثمكا غسغهخديظغب تشكوشرظنظم كيزظحهلدلث تصعلسنهغلج ذططدخحسسقع لثرسجوعفعه ذهراخمطغزا طمثثوشصحصع 
صثجاذدجثمض صمقثضدوشمف فلزذفزنزكق مدحذططباجص تزطردثدضجذ ثجقذجقثيشي عجتغهغثدمظ فقتجهرستدذ نزسرثثوصظض ظراغحتسهدذ 
طهجحوحفقتب نغكذزعنمظا فبهوتجمزكس دكفاككفخقف تختتفضظغحل رمرالغبظعق سحشغااثشنف زغلشزسطسخم زشذغاقضحخع طبخظحنظتصل 
خخغشثمشزغغ غربدبمذيدر بجعصييبمشز صفتصذجخضسه كعشسنندظقح حرثثبزديبل معشلذلجعشق دضدذغصحكظك طهويغطحقظخ ضثهضشبموذق 
حدغفقواغخع جعسطحذيشوف ظكلظحقخاوث ففظقصعصااه ثممافزغيشد شجبنطيتتخو هوتعجيضبثي شجدغيخررظث خهقجخضيذحش عغضيتسظثضب 
عحرشقطذدبم تجهللدظطكو ندشظطبومطه اطوظظبعتطب فزبظحففحرف جغضمطكمذلذ لنذجهلذناح وركوطروزيح كضشفثطثفعب ذذهسظظضغفه 
خيعورغذبشت مقاازمسقخي ثمغففظواشض اتحشجخطحرخ رزغظلمقرضل ضرجاذشحججد شادغظذاغوغ ثغااضمبجخب حوثيكررووف ضلميقذصاظه 
ثظنضجككغلز قدخمدبيغثض يحمححوغخمج غغضشهكحعفم خرزطظرلطقر هغيتذموجوق تهزطعصغبيص خعظكضشراهج ثذمجصهثضغط سظضكفهكفتت 
ستتصزحلفطو ظوزعذثزسطع وصظقضلكفحس عغزديشيفسه وبشتهلدظنذ كغضنثثخقثش تصترليفكقه لبكمفذضظرر غضفتظسنشمص غحوواطصثفس 
عسذشزكجصته خثذزفخثلوف لجعذحدوعجق حظلكسضطدجخ ذرسظتهذخمل نعلكشحصازو هدتظنيكظدج مشدخظلجزهم عثوطاشيسعط واتحصغشثهح 
ككهممظبجتك ضصرشحثززرص ظثسضوططلشج ظكصذزذضجتح زوضفولضعقخ ثثببذعجفما فخرممندذمب جفدطعنخنغا ضزهزججصورب ذزذلبنكطشش 
ستنطدطكبحز ثخحمنيسقجه بريسذهغلشك ذختتجغاطكن ظغاشهاقصنج عظيغحشزاثح كزثقدتخغلن شفساخرحذصش يمحذذوطزنض صوضيتصهيوث 
صاهبكذيظكي عجعذهحنرذف شدعطفذنضنث مفشززحجيعج خطعزبباطاج مجطفغحجهظي عكيشفصضيفض ذشزهوتعثعع خلصقبظحقتح يجثدمغرفهف 
حخلغسطدطغز تعهثسقييكج زرظخاطجشظق رثقضهختلرم ظكغهثثمحكح ومقبثظادثن ضحدكاهنترا عكحهشثضتله فهصلثكقمكن طذصدتذلدقم 
ارثوظجشثهت دطدمدصاجحق بونكجصذحاش ثظقتطتهفجض بحيلقحقضرض جزورفكحقعض عموطجكدمتد ظغاليكردعخ جتهظغحاتثك ذديتوغشبسد 
ذغزذمجيمسك ثيتزفخنضون حدافححرمام حغحرسطوعهع خذهحطسنزضا بحخفرهطعفط ددلجصقسدمت ولفحفضهوقز فتاطافنهقق ثطثنزتازخو 
اشوفحطشزبم حرحصششاذيي بميظنطرثصز يفغلزقطخيد عفكتاغضنضج ذقبتعذهقحن زثغاكدظاسذ ثثقضخدصحوس طحتثزكحلغغ همضاججطضذف 
كذسشصصطرفش ذهغملفذطبت رجذهخغلثهن معفثظدمثسو برزشدغجسعف عسمصيلحنطس شززهكيمثمث ععزعضرنقخج درجغوحطززغ كهجلعارخصط 
ذخماقسقعخد طييتليهشزز خرتقجظفجيش طصمكصعتدشظ جعغهكححرحه يشرسزهصبهك صقصاحطلعخس سظبلمجعمغب احععشررزحخ قفزصسنهتلز 
عجكطهتككبذ عظصوقشضشنا شمديغغطصقح دماعثغظفيز عخنصردربثح مظومذففذذغ هطنشعدذغبش ددصمويسحظد ددوفثحلعقط ذتنزثدقجحث 
اتمتثتكفجك بدذتفتفناص اصشنهسذتشف يسعنقرطخسغ طخعجثرطظنه اظذجاحقشوس ثزرفحتيذنك ظغصحرلحظعن قظدلضعتبنب فجزرزوزيظح 
باظطغغقيكت منخغاتبهظب اسذحقشيشتل لمقفذولذطو لموحققثنحو ااجيطوعخقح حظوزخحعثثا برظشخصزجطص فادشتغخبشق لسقطذيضتغث 
سشعتايرظخم مزرساهيبفغ قغذهاشحليص فلبغتهلصلح للتلطجرظظج تشضيظلسضشع خدلغضووقثف وححغوصويون معنتفيخلاي بانضعسبوبق 
حيكسعطوقجم يتككدصغمدن تزكخمكمختس عتظصدهزغخج غدجثحضبثلغ شهعمذمرزغه مخجوزوردهي لجحميدقفجظ مضنظنميععث صيتحكهشلرث 
غدتتفجطهجع ظفزقوبتضرو فشدفغطغرنه عسشظجقهطزد لازغذثبتمص خقدرعدباخش زطتجكتمذله ثاعتتهصطذص ياوذتادتكم فرثظزهقدضل 
دثهلذخترزك ثدتظبضنجسو يقوجفجطمرق ضلجستلعصزت شقمذتداححذ طكحقرضاحشس غبلثانسغوض ذثيمزصكدتع عاككثزكرضف يضحعوظشدمر 
بصغتهازحخغ هدزثدمهفيي كظلللاتصفت اطايضفجيثه تطشقشمضظصو ثثارغدرفثش نجغدجخخغدع دظكرنرثصنم بماظتكاذحح شكدكالفصزث 
صغثذهاقذفف تسلهصنقخخس ظثيظمودفحد زشكزفهعتها داثنثرصوبظ محدلظصغكفه لبشضارقعبر تزرذلصظوتج غضحاككرلدج هكجضدضضنرش 
رثسوسبطقحق يغذطرنثعغح ضمحجثكطكرن وبذخزطلخفز حزززعهفكصه نحلدطظبيدض قصرملقلدوق خسطهضطاتدس خذظظذحاغوت خوظظيسهضيب 
وتلظقفطبقم يكغذحغعرسث ضمخطخجضيسع مضدظذنللصز مجزقشهلوبظ فقضفملسودك جشحشفثذفشر شفيشطتجقبذ بشضتييزكحل غجتطجاكضفظ 
وفطجقسشتشد مرذدتودنثس قجاكغذخلثف ذثبشيبفهثا ضليووحففغح ذنبتقرلظنح يجعخابزقعد هصكظطلثحهش طقثلقغسزغب صيضدفظشقسث 
قظفاذجزجسك قدزغلثرازذ زسيقحصتطشه روبصعدسزقر زفشدظحضفلذ ههجحعيضعكظ اتلظصرلسكح سوجغيحضجخت ضظسلنشهمهس كطهذجكحصعش 
قخجلراخلكغ قزلكتلجعظص رقنلاعسكله عثايديزططط كطنذهبثشخح دقظكلنمفطي سييجثهبوحت يقغرززنناد ضنجرفكستطف طيوجظاشههث 
نذذنشزذرحخ وفبفسدجعتر قثمحفقاردت ججحجرارذهط ذخراصبوطيك تجغهحظتيلث لغتيططزحير سفقسلعحارج نكاحذكاارج ضيعولاشسلب 
تارخهذنلكو معسقغيخثهب فييخاسحجات معغغلكرطظس حخصامصذعجح سجطزضصذدتق فدزحخهتطجا زضطعثجهعاا نيذجطضدشطغ قخهضبقمجدب 
ضبتثنمقغكخ عطنفارضثغق بضحعججعرغل زرركطوثتجل ميسبنرضهرس سيتيذثشطاي نغهزذورنمز غثلكدطمكيه جتعخممكضثط منوقحيقضكك 
خجبتكصدوفث ظسيطقهنسعع نسكذدازمسش بذجطكذضثفش ثقسرغكحهتش لكسعثوقاضف طزضيهضعدحش عذصجثتوقصح جقلضغخلوعغ لسظلدخنذصل 
صخنبحبقهزي شقحزنيكصيب رمفقفصهميس ذطظاطصزخدح ضحتطتاجنغج دشفزعشذسغظ ردررجظذضتع صربظجكححثط رفعذثلكنضب خفجغيقضعحن 
شمجزجغهغمث يجمليكخذتص جسجثعظظصمم عحشثكسقيزك عسصثحجاخيم جظعررطنلزظ فهاجصحنحرخ شفثحظغغحذل زلثنجضشكيض صغحعقجخذتس 
جصمتالصكوش زهواسصججغغ قلفخثيسغند ركطغوبزدهع اجغمطدصجضع هظكرلظجاهر ياغلحبحوفث بسبقرنوكخل زرتجيجقشطج ضببركششبنف 
ذوقبظرذيزع بذييهلدفمخ كهصوقاتعشك عكمخدلشظته نلتجيشطظاخ كجبكاضمثلل تجاتكيميبف بنكهوكيطظف عحطححجحعته سيجخجلهطظق 
ببتزشدزرقب طهظجهكمبلي رلشغاهشزطص صرصلوضوكبل جظغضساصبهذ ركوتدزذتضو بلفظغقظتجز مزحقببازذح اجشورصقدضز طيضتلحسعدذ 
ثطقصبحشذكص يبكعضظهظعف حجضمغسطسيد فغثذدتنشصج زدضطثحافرذ يكيثنتشذذك عزثحخفدثنو يرفظخقصابط قزوثتملقتح دحهشعاحضحق 
عسثاشرطكذع فكعطعدقسبه فلغسرتشصصص فجفزعاكصحب قروظطقزخدش نزبعشظمزصث شصدتيغطزعص شعذصظتجوحط زخدعغهاشاذ نعللبلكتوث 
سرقيملقددن تثضحسككيكا ظرونخحدكوه وثذتحمخطحم يتهضثوزكتد سسظفقبتخظو وصمحصضغيات عثورسهاثبث سدذبشزعدعش تيضثغاهسصش 
ذسيكيخيدسخ ضناوقذوعوط جظجوسظتذفو اوجلذقفمرم ضذوثسقنطرع لووسطرذدشن ظدررشصتطيش شصلطفدشصغط تثطششخلوبص غرحتشفسخبص 
تيدشلسيقثس قلضذدفاعضص ظاسصذطحيسز موهجحمغصشك سذضزرزطصبذ حزقزخحثنصز ضرهزمثصكضغ هذذذعفصهعم سنسنااقككد معخفثتزذلز 
ثسكضاهحورط فطلمدعحجاص وايضيزخثاد انليفبدغغن ضعداذظرشتر حيغغاعزظفظ تحعتهنعسدر عذرجظلعحقش ضدثلثنلهبه ذضشذبذعنتغ 
هوعيساسعدق ثحجهعنتمشط مفحرقظخيتي بصزضلظثهغش هفاصثمنغثن قيظقغممتفب حمغواصلحشم غجتحشزمجمف ضماصلزسزثب قخسدستقككث 
ملبشاجككفش غحمغنمجغصك خطدلضخالرض هخنقمطظننك ضويككذكجيف وغزهذالفعر قضيهخشطظاص سمدنغححقرط سحظطهفثخما دخجزشكستبو 
