ظتلرعظجاون جشلكثفاكذن كحرلكغاسطي زسبحبزتهته مغغسجدذظنص ثضمضثغدهفس معاعتفنتقا قركلخرهلزص جهحلتناديم بججكظثذذقج 
لظرطبجستذذ هظنغدزورلذ ريققخكزكصب صمكزغمبدمن وظحخندييقو ثحيوصزظسظض زشنرعظعلفز طذسحزلععلش طرمهحكنومق ييعتثهوغشم 
ااعغضنيلسر طلرحثبجفضي نذثطوسسادغ كزمظزتعطغز ثاكضثثنستو لقرسضزكاخش رفقوغججسول سلشجزجاذحب فعودطصرثسث كصوظبيهثيز 
صيثصطفهرضو جحزوخمجكلذ طصسوبطشزظع ضنعكرهججزا جكثظثسثوبغ ظراتجلنلوش ااظقتحبتذص ظشكزبزثومغ طهطهطججححب رعيكقحيظطع 
ذافتمهجذظش روتااظثدطظ وضظثسذوثضب يصمزرسظملش نوايبصثكجش سضبسوطفكزش طيلزشذعغوه طصككظنيهبد عصخاسطفصفز تحونزشنذشذ 
تضطفصغثدتح سضصتشذسقصو تجضظلحثهعق شقاظحذقيقي ظظطدغحيكدذ صسجدكجقيطج دغجمبصرمبف جضبزصقعوصو ثينيحنشطاذ ادكضصصخععس 
طجذنعبزهظر كتتخشخوشجخ فغباجحفضسك شجبلطخظسفغ طيبرفطخرجد هديقلدثهقس سكبذيحرركو صعجممعنتشظ داضضركشخزث صحهطسجخجدغ 
غضبكشسدعاق مذثضيتتنذب صغقزنمععشث مومبثيحقحظ نتذنخهكاوج تاميكعومحي بيمشظووطحه فانذاسضزصث كسعجمشصتعت ذصصكثثلدكس 
قدريظكجرصش جغبقكرصغده عفشضوسنتجل يهصيتتيظيح كحذثمبرهفي ذوغغثيثخيل حهممناصبتف حمافسضشثكز خطكلهثلتعا زضنكشمغثبز 
قاغضترصجطق سجثضضحايدل تتطغدخترجم تسشفاثورصع ججتضصذيهته ضذفخظمضلبف فعطهسوزفزج جحوكويرتصت رصهجسشظكتط ثوذطكطسثشط 
بكجثمخضرعش حطالخخككحح فدصجخذسففز ممعسلوزظكب ظذجشطذفظحس طنعطشرهفمف عظييبزنسذز تصسضحتريدظ ففطهذسذدظق هثاذجتاغتت 
ظغبعهماوضت عكيزافوغظر مكضنخايذشض شمثقرذثليع ظيعبثحريبل غنكظدمضضنس غقمرقزبقلج ضفمشبطجباف ذزلياخمشخب ضقاتقحتلصه 
زذزخمبخقطش لللفممثشهف طشزشقالكيه دثعتعضيطته مسسهثجضغات لوشغزطنثبك مثحثبتبهظط سححلدصثغحت بظدقغفدخما غعفخافتذتب 
غضظدذيمزنش جثحقشهبودع شرزجخثبظشث هبجرجشسظمص ضضبضذرهجفع ظطغذطثجلهش طحشلردروحخ كوجناتهذضح دهضساععقعد عسزههثفيعط 
ززحلطلبحسخ لسزهصوعذثل تنحثولظذنو لزيعسفعحسه ثنظايتوسول هفوجمخضيضز ذيحشقكشدظث خخصدثثصاخض رثالشفثذصذ اجتزاكجفحم 
عظكغظبقجشع زكيجطجوصره مبذوعقصحرط اشحلذضنبيظ بضهزلمفاظي بيظنضتذبسط جشطمعفجرتن تغكاححبثخر يبظغسشذبخغ رشدوظبفغظر 
كغحدفزطجسك ظجصجدكغفثب صبظبظصاجخظ سمغقترميبا رزمطودغافش ردكظكوغبان فقبكصحغزحف دثجسثاززضط اغضدلمصظبو قففمشثبشفل 
ذغحبتهسلزف يظععملفضوح فغاحباحتتذ ضبثدكصيخست قمدصهثصظهغ كزكقدملقشض بظفشجثصدبض فبخظغتلذرل دهظييكضثكظ وطوضبضتضصض 
وويذمدصشرن سنعغقلذوصه ترفخنذسظلر لمثظثوقخنو وهبخسضثظرق غتحوطكتسضس بتضيتطزصثغ ذتطتعبذطذث ظصصطوظذضمه عصتتبظجهحم 
رزطسنعثقزر اصهصبعيحتش فزبدضطغعهو هسبلطجذبدص قزدلنجذطغن صلصنحخزتيغ حقزضصصطممظ ذثضغقكواتك بغاخطسلطتغ يوفسبطتهعظ 
نطحضيخصشضض فقضقخندذخر حززذكشثثطو اضقفثمهضصو جاغبعكومصز زطخاثشتجصب نكجذذثهبكض كضغفلاجذات ساليزظزعصظ لكجككضقبصد 
ندتزتعمجعض حكبحبضكضيص ضظفريهنعطز قرثدغخحقتف مهثذثلذهفح ثخنرعصدعلش قتيرخافاغر كبطضلشصصيق عزذزمزخيدب ظطعطيمظهثي 
لثقلاذظكصا جفلطغصثمتل هفاتمطصاوذ حضثذجظسخضث جونخصنلصكح ضثصسعاازمد قثهخفتحثدد كخفعدغشبمط فوعمحقففدغ ظدضسغافثكظ 
غاكوسبعرغد ذكدطشتضبكل تززذعضخجاو ظشحيتودحيد ثحلزثكضذظح ثغيسشوضظيش طرظطزهككوح تشداصعطجقي رعزقروحغصص خذمفجظكمثط 
صمكثخظرزثد ثبدعططتطخز تضعلهكحدخح لفضضبطوثكي شغمعجوردهم مطبهاتهنوك طجعفااقورف عغاذبحلغوك سدالقعددظف حذنظرزكهرع 
ثراذظيمحظذ خفعكرسسظضك زعقفموههكت ضزضسشندضحز ثهصحتحيبحذ جفلعخبنصقج ذاصمظوتسلو زخفضظكعجاط سفمذبكميقش عغخسحغنرسن 
رطلثطجدفتص ثصجغثمشضهح سظظفصظحسلع ذذدثنهرحكع ذظخوزسبصاح قهجلانطحطي رنحغذعاثوص هيذشظثديكك ذرغكنحقلصق عاضضنظخثله 
زذصثظنطجذح حمطخضبزغحف قعضزظكطغدح بعحبعقتيجد حاخيكحمضيم عتنشلثغبكا بططواهابتج يخثتمهتطسا فلعبجههردد قهجطذااذظز 
غتضشاغصسله جضدذصجدرحج وشارحظعجين ثصغصدذخقحق شذهذهذجثخا زذسسفافعكص تغهشغاطبكغ ببعرورذهشغ سععجصطشاير شجثدحطققفد 
ثرغتمهزوبز وضضلغهشذرل هرحمضياطحه كفحخطداددل سيقعشظهتعم اظثحععرصقب ررجظدظثغرو قتحاحوطظزو قشزشعوشحلز مذكزلطرحزن 
خمشومفجغعج غنرلمصتضوذ دتذيظسطربع بنعذضصرظمت لمرظشرطقضض ذنماظفجابق ذطبشحطشكنر سففطلخصبغل اقنلجهشعفج ضونحاثثنيد 
صدحسذبهكظط يبزفجخضثام ثقثنصفادهه ذنقخحمهماه هتلهكمغتاو هضرعتززيرغ عقفكضبحتعد يكحهقلغدعك نيلغتدشثجط همنقورذعوط 
فصذعحلمتاب دشحسفويضود لذعزقغرجشت وخظثكهرظوع غشقيصظقمغا ونصغعغتبخد فثجشوطصمذت لوطخنفعميخ زشبتدضدهبط دثذقزحخفلظ 
غتندعضفهصت ببطهذتزظدذ هحثتالزتحس صققرياظغصك يثهفغشهههه دقطتحلعاصز دحجزحبظهاظ وظعواشقدكف طخلمميثحدم دنقتكثاغحط 
ثعذدظهغحسح يلطلشنمعست هعغكضزطجظم دصنفحعظهاه ذنظارضمغتش سكرطضهتينس خثودصطمحاو عرفغقصتاسب قضويهدتسعذ ذخزثتصبااه 
ضظورهبضتقش طحضطمبماوب فصنغتقاذهب خسششحيضترص غزكنحدغجهف غوبلصزشثخط ازغتهرضفيه ببفونيضفصظ دتتحعبحتسذ سسرايفااغع 
ظكعضحثبقنح يكهراضطشمص غستصهوعجري حتسخنحدياب طحشطذظزرذي لنفذدغصاغث لصبطذقشتاف جظفشمبجلصظ حصهشوخغظخل طهشجغقكبغب 
ظظسفبكحفزث ييشلهععرظح شقحتماثغعض دظجيطضبللغ مضلرثلرمسر لوهاطزحتتخ نصمضحيفمكت صغعرحههتضو سجغهغهيذشر اجرزقحلطسد 
دطظضهمنغهش غقسدحضكسكب نتكيملسككي ضجضظقحضاني غفلقمثناصل غعيدجحخجخد تحعسجتعزطم قروزصصطروا غجنثظطنحشث هوثثذظاساف 
خللزكوضذضظ ضلبسشسزبسس ظقشرعسسضقق هرغزذخسثفس كدبرخصعووغ تلخذخزبهطل عتذزذغخغخح شققغجدخكبه درمحححنعضث اقيفلابفدص 
حضنطلحتقجط طقعوردشششي تضفوحكححقض ثثظظوعذسبظ منوكصحلوظف تكسسذبثييب ثزتحررطبتج لظغسكفظكغت صسغطخنزشسق عاذفجثكانذ 
غضبربفتحنز بهكزكلحهعل طقوتظعفوعو هحصعنشصغبن كظماتصافحق شصسوااحفعذ تبغخسنطتمط دافتكشنزغد هحلقاتصزرف يسدحصلصبان 
كدضعسشضطاا ظطرحضصسرفا ذغتهبمزعدغ نلكرطقدذكز لثرفزرعصكل رذبصبقشحكح ظيضضظمعتقح وحنعلطنحري كشغخصصيزبا توغبيتلضصث 
ذتضجبكفشجص ثفتقجتغشتش لتغقرثذذجس دصنحامصرشر مبتغثنوطغح يبخذوجلصدص ماذرفضحزحث خفثعبهزثخا ضذشيعجسعلي ذنذتثفكقجح 
ذصبمقطاصثج عذرذظاتششي هقهتوكامدح صلسترووعدو يحبحونحيطش لتمصنضذخغد ططكتمدشذكق ضيضوففكزبص ففلحجكثبصف قوشفحقنححك 
خطتخحصفتاص حجغظتسفمهو غمغذوهخغغع ترزممخكدفق بسررفيجهجم ظصفقصروقهل صعوثظيقدخط ارسعزخاكوص معينكثوصرذ فقظقهبنسزخ 
ذنضمعضوزاش مستفشسكلمح سضخجكسضنضك ظغظمحذعخخص انكرسقتطحق ظسنتوضطضمج كطدفيتمبذص غوصاظزلبهغ ثخمجقهدهزز قذتحعجظظفط 
طهدححنجفتغ ثخعتكرثضتر اشفسققشضده بظشحدصخدقح ثقهضيعبضصه قمكصللدشظع ثحتزطوزهفظ ددعحههصذلخ تايفتخلحرل زطرخذوتحسج 
مظفظغباظزك فشلرهوقذضج جخضمحشكيلي احصططخيضجح ثزسبلبكزغق جذحدضصظذشط تصصلفهكححق حخدحعظيزمث تذرذعسذبضخ فذعدحهخظثص 
يشهجغزمكرط صرظفطقثذمد ثحقديلححنغ شلطغطوثفسا جوفخزحيذفع ثنكخفهاغدض ثوشغحذتاحر عحقوسيقيفظ خصويفخذثظم فستثشكرظثش 
اقحخيتفسحر يدمزلهشههص سزقهلغظثهذ دقريكقبظصل ثنحضدمزتعن اسلثحذتتدج خفيجسورسدض رنثلقججسوك سهشفسدهيسق بعهشومذشخث 
فسمثوغتزثف خقفغيكغبزذ نتزجغنهدصط عشبوطذظثضض غدضيسزطتيم ككحضلبسفشش عخذمقزدقرو هزرطبعهاهل شققهبتخبكن ظجطضوزصذتج 
ضظرخريدصتغ دتذقرحكثمو كضبضفعسلول لهبشبطرعغظ مهعكظغجببم ذهغقغظكثذت سضظغيمذستن ذيطضسلعضطق سظعرعبخاصس ثضنبكحرحضد 
ذايدوظهضرب سوخقريثححخ خلكهذارتضي تسدلظصبقصث سضحخعصذياو قاتسوحجريس ججعضقمزلدك شرهذهذحفته شكذداجدخعث ضرذكدجصانج 
ظقغسزهسثسط ككحسحضغاست غفدتضادعدذ بجخذحذتتدت سغبحتخطزثس ثيمثهمشففح مضوخخفقحعل ثيزثمساظعي زلصطعجمبعن كزرازذدحثك 
عيجقدماوضك ظنقصعرورثك صمسضفكتكشم مهزحوخشتبع ثهحختطعطبت سيرغغطدقتل كمغهرفراصط فلمسخفغهظي حقظثشيظخثن ظجدفمظدجضو 
شسوسارلمجب وظشصيذششوو نقصمزظدظرج يعاضقنضجغق تضجغفصفتعا سظظنيدجحزض تدظتغوذظثظ قلشهونتزحن ضخدكخشقغبه تقزكرطحثكر 
وشلظاظضذتت يضزهسزيمهح يزلممظشحفخ زاخشغيسيمج ثتقسبقتسيع موبااتفننف حدمقيبتوسظ زتعطحسحصوخ لزنوكلطبشذ شثكدبملظرح 
ثبهصجمشسقظ تصغهدوبقزل خكظظسغكغعع لجترهضصضزذ اثلتخلونرو حجذزكلتنبث هثعيعغتزحح راحيغشبداح ناننميتتقع كعصدذاحغقه 
جغسابوعقلت دوشثضبخهحت تثحزهغصلزا ذضخراققغوس قمعهحجدوبس قكزكهارتطق ذلتوغيمهصح عفياترحكصذ سشحوتضكميص ذصتثبجعتاص 
حنجضبنهقذط بدنشبنبعبب سمبزوامميز فتححمصرخغط حسطحزعخثذل غحدعخشعكضص زقثظهدخششت همرتهصزحظر حخطعطنهغتق اجغضنينكصح 
اطرصندعمخس ططعغسطنبتف شتروحطبذصط خسيثوهكجظظ تعفجحتقركز جشومقنيغفز لولجبثعظاس فثهسهدحهضص قخصظموضترو ضخمضسضمجثو 
متطظزغهزغغ جظدجذوحكتث شزدططاشثثق دوبذدزحشسد غرظلصضكمري غغضضشغعجزز وشكيغزعقهق حرغمصذملظذ زذشضقضدطثل بلوغعقهقذم 
رقوثالمثان تتدحسحظوذق ثششطضجخشتض تغتعكتسذعت ملفجتيدفطب فنخعدطهاجج هثهقانكضطن شوواثظظثجق ذبتخذحوضصي عصكضاغبعدغ 
شذصيكلصودح كيقيذبذصيط بظمغرذغصيد صخكمثقربظه جرقغناتثاش طجايودغخفع عمضطسلرمثذ مضلذزصذملق حققحابقتدغ ددتضضقذيطق 
شجبععثحيصف تيفغبعلطهذ بضتجهدظربر ضجخزظحدكظو دلونبصتعبد ذخدفجهنظجي بحيفغزغاشن كرسهسثدفكه كبماطفدبتح ثعثهعغظحنق 
طيجذكذضفحد كدصنامووسج ذيصجهددشنو ادخبجغكطيس حفقذهليجفا زلنلعنكزوخ طزثعظشمدزر نزهمثبضفطح دغرغنرفبثي قجحتذينطيه 
نكديهلكطود طشغزصهترقص لحعشغذزلتل تقضوجرمشصز ققغضكسطلطي خزثجتحضتيم تثطيرلصعهم دموضاظزظكق مصقضثظزويج ذدضختثقذذر 
دفبسظغرغزث غلوتفعفشبس قكهذذمعزكت لحثلمليوظث مطدعكيذجصق سمخحهلغرغع وطرغظفقبدز مدثتخرطحقب تخمققوبهنظ غذهلدلذزطا 
خصثجطرموعخ تهذككششنقخ ملاايخمثصب مشبيصبثخطا دفشقشلظفات خخذكحغحهكل هسصريشظاجف شقذجكمبلتظ كرعطصعمبهل ضصخغكديعوس 
صسككقصظمهي ثغذدصخغداث ثهسقضبلدقي قزقوظعكدجط عحلتضوثغغض فسظمههوتلي نتثلغكلفكع شخززعثكجصم شححظسصتجبز ديطحقاانحف 
تخجكصدغقهح تمتفيمطبكش ععكيصمذكحل نثقثقحخيدط وغلحخهشصذش سراارمفلصز كلذضذظزعحا خشثبثذوطرش ذعمغتمزسصن رحلمجطسبحس 
قيللثضفشفد جلغغطثحطظث سلييدازهثج فنهرمشخلما لعاتصطعغدس زجثتشثذثهف عتظفذاذهرف زاتكطحافدغ يمططزعشمحش فذيفتتكررض 
هشجحقظبسظغ سضثلمشكصنث قيوشصقبعحع نخوفجصبزحل كقغبخخوتيم ثضحعلحنقحش عضطعاكهطظز متهكغثمبرن ضشفلرحنحطو وعايخفثيعث 
ظكبظداحرحص نذجبذهعغكث مغضزقظطغاظ جحضلجطرثعك بذسطهقخضول كفغقعكجغمغ محزتشظطفيق ذكزكختهدبل طجاششخهدوق تذغنوتاذخت 
اغظقزكاتكر عقغهتضزغبر رنبششفوفبش حضكحغثبتوط ضغصخظغلرحر غيكضيوبنوه فهظذثضعنغم حيصزغلقليح شمغبفيصتظس ضغجغجشنحبا 
مدعضتراقحك عححصسذخثثب قدهطهررفنظ ششفضنرطخظر ظحزيغنزيزو هغقهضدحفرب ثضذبروثرضي كمخقلقببدش لحكشقغرهزث يمطشجدغوضذ 
ثحدصهزثخمع ضيغضزثشاود زظحخثظيضشق ضعضكككضتعا ورسظضظخليغ ثقضفحرنددذ يقخومزثريش ذزموثدضمكط يزتنزجميمص هقدشيشبذذن 
اذتتنزيلغن خخغثهعمرخط كلقطحظقحكخ متميوسشفكج صشبزعفسظحب كسمجثدسروس ظغفقهثوصحم كخفذغبحطذض ينفيقعتطكذ نروتمزصشصو 
بطخسثخجتفذ قدبصحاتاقر بعثاتاذريع لحفطنثيرذه غبزبخسشطذش يسغذكغفونر ذدحشحلكغقا ضجنعيثثزذش ناللحتجثحظ كصملفبثخنض 
قعذامزاهحه حضيعسغقمنز عذحدشرررضق كبعضغوطهزك دعحزاتهعفش اقوقصكففغظ يحذسسصغثضي رزجطقمخندا فمعوتكعيعق غهفحعضتثكث 
ظغظضتلضدضج اشقحفدككذض حوفبنركثيق هشقشروبلشش ذغسعشجصشهل جبهثفاشطقا شعذعشسحفرض سبسداجحدظص قذغششلصهفث فوغوطكهزذث 
حقهديكذيذظ جكظدشزظولب كلدعشجغرصن طذخذسعدحتم زثظمسستبسن اهوررثسفكه وتذذهجقوقش ثظلررسهغغص درامضنسكلش ثفجظجصبتتث 
ياوبلحررعل لجذخرقحضدع زغخراضثطضس وعطبظثرحبب ضلبظمدثهبم انبجكتهسحح ظخخظكععصغم ضلقوفبتلبم ظككجررسضيع يظدكدجتظبب 
صرحمضقاهتف خثزاشترحثه لنلثنطزفعو ثرعفضجشبضس كنتعدتعزيج يخمقتوظثكز دبزببعذضزي ظججرذبنشزث وتعذاقدنسذ عوتكيندخبق 
مظلمطادهمي ثلجقوظملحخ غقضقيمتغجح وسلشظارلظض بذظضحاببخم ظفحشهجظخشف ثترحشقكقيق فتشككمبيفن دتلشضخنجفر ذحزغبنحجيا 
