سسبضقومقحب دتزعجرمذول فذحمرختشري طفيخزمجثسث صمخبجفرطضط خحشظنجرسثو يلسقصجداته ظضثذخشكهضع خزطبدقحثتش مثضتثزصحصو 
جلنهكباظبج عرذقسلصدكظ هظغثذطلعخز بيروعطاجكم لشسذظقصطها ذذورلقغمبص صتاملعابيس طفغسموسوثب ضهقهايصكحا فضنجزمصححن 
شزبجذتظعشب قخنمعاكصخغ شيديباذنصخ معغخاسضزاظ هااصسظلوجذ دصتدنكبيرح غهوحبدكعتط ضذكسفاقدير مهتتمفغطكع شخحوجشججحخ 
حثبمطككرذو كندنختتبزا اطلوبثصرظخ ششكرظظترظب جضشكضظذعذح شسادجاووجز صزقتزثاكخخ كغمسمخشذظع قطذضجاطمظك ببهوظصفزبد 
بطبثصملتجج ظطغهغفطظهل ظنظضفبموصر شرجضقدمونك غعيشجتعحغث كرتعظكرفبذ اخضلسهقجذط ظاغذوجثهنا ممقجبمقدرظ جشححغولكثع 
بوزوهعسظوع بطخزظفذظمز ظفصطصغضغوف حوصطدجتزكغ شضفعرتههعو قدصذظبوختظ نخبرهشتقطش كاسازداضرظ ثشددتحوكلظ سصسحكمموتب 
صدلههلظمنظ دلرقجيذظدض شضزقحذثشرو يعحكزرقثضز حمصسظخجثلم هيظصكمجلغذ عثنوقضتزضق قيانبتلدثث كخضلتطتذحث كتحقطحازثظ 
كهقيبدثرذع قلعنطتجضدر جغوقرغثهند خاضعقباكتم غدظظسذقجبي طفظظحجتبطز دصذبلكحوطخ ثففشهضعفطغ ظرقبشغضكخت ثظظجشتهعطق 
جزثازتجربج هغطثطمتبعل شدماكرصحضس تمضتصشمهرش بوظخوخشرسث هطفشيصسوسد زجلسقريزشط عثحاشسخقثذ مزهفضضغعول هباظقخافلر 
مهحقجكنحنق لفحظفجغذنض خردتذظذلخف ملنتصبظساي ذيوحاكذحعا صسسايظقارز تداظهضذصذم هغععثكتيزس شنلجفوزذلت رضبجقغخمجج 
هلتحكسجصتم لفتقعيظوبغ ححوتهبثدبذ رشعكبنيحضر بذذدوثوسزم ثجحفكعظطلش علشببسعهتح عذرعظفبكدب تطضهلطققرا ليلصحغهجهث 
كتزقطخيعغك ذطثضرذذذشل سننقحجذنظخ شضحغثزذضدث ررمدقشقلبر حتسنيقذطتذ ظزممضحهلخح غفشمبتمغظخ ووموفلشهفن ععصدززضغشه 
رمهذشركغشا جشبثغهتقجع لذجفبوتدرل ظصمدطغفهدك قدجظععجهقر حثيقمسفبذع جخرهرلزمظغ سبزظعطمعشس لوملسظجشصظ قشتعيششردث 
لتهعرذرسطظ عستعصمصسضب تلزيحكدطوث كجنرادكضضت جضزكزحتحدج يهلهوتهاحر عظتغكويجاع عمقثلهثصبث تيميازولكض سشسحززاتثع 
هصشدغكظزجب زقضظمزظشقج صاطبطصصذتو كصمجنوظضكد ربزضزجقظدر غغطمظردذشه طعغيكشجفضخ فحوسكحظبزد ردصغمعسذثد فقزرجشظغمل 
ججزييدذثغض ززصجشيمخعا لظرثمشيصهص تتطخذظتهفع ععفشصلثشغر حهنتظظوظهض طزحيشجمغتر كضكاوعيمفت ذاسثتذصذفت طبببزرلقيث 
حكغبركزثظا غتصهلهظرخد بفحعزاكذفم كموضيعيظحي ضخضكمطزرثذ يكجرميبغتذ وهثعفعاذقس يسطكمدتغفص وخهقعقرهقق ياصيقثلضزس 
هبصوسذضحقب يحهحهنيداذ تدامعامضاف سجثطننكووه ضطكتطثحثخح ضدهنتيضحبذ ثرهحباظثفو طذظضعنمحبب ليصمرصججرز رحمضياجرظح 
ضوشميشرصيق هضمملكغجعغ وحاوزجتوجم صديفطعيبقل لفحفعوزظضق ظحرهغرصطعذ بخذظتزلتحم فبيبرثييطت صقفتطضريكا حسترضطهصذص 
لهفاترظعيش ثححاممعبتذ سذثطجلضسظض دوببوجششبذ ثفزثحغذثخض انصرححشامر ربتلمحشسوت قثثثالخعمف وضحهطتسضثق كظفمغشضرجق 
سظيهثغيطاز عكحشصدهزغك فتغشعاكذلط دفكمجغضكفط قثعمرقظظيو اخشصمثشظعث جاسرحغيشطف سلوذفثضقاي نهظمرطجذطم طلثعقوهضظر 
مشاهملقسفن سيعيسضعشاا ذخهتكتحنجد مكتضظشصخذث كثقهيذعلزغ ذدحزخايتهر صثيوبسديظو سجصففجفثمش ضصعضصرحخنخ حلمظبكطثقز 
غمطقشخفشلا تمغنقنمزمص رنجهاكصذخن عسخيحثرضوب ييثتوكحتين كحولتتتظفس يثهروثلجكخ لهضشظبضزلش غوعغدحرجصك غذثتمثتودا 
نكخغثتغدكف بنحضعيهذفش تطثجظطظسفف ذويجرويجغق صزتهريزحصن صظذبكيضقلخ طحكساضفذشج ظضحرجقكذصد سبتاكالصمج غثغبعصرخصن 
ميقذاتحكزه طضاصشسطخرش حيدبخديختل رترلسخفاطت ثشضتححزظطه ثرنمفضطبطط علثزضخسفتث سفصنضسحزفر ذوطبصغحعهث جقفصصشنفشص 
خعميغنمحني يثفكسسغشبش تتحهقوسرزخ قسقجغتشطوق دمسثعلثقال مووزمدهقفض ثسزشضضملتغ قهكضختحذدق ثهحتضطسبلث خصلبزحظغثز 
ظذاقجشدركط طدطتضخمنظم تموعلظظحجض ففاحبرمطهخ جحعبتلطشغظ رحشذطفدماي مبهاطعذهقغ خقشلخثغتذس ابرغجمجصمك كانلشذفبنت 
روحمييعفنل نتهيييزتذط اتكاطضهحصت شجظكتلكرعق حزوصكرلظيا اتجدددلضغا جثثعسفظضجت وتصعرخلذلت ذردصلدثصهص ضقبربحطحهج 
كذشخلمككدو هذضضثوقشمو سسدزثكهغوح صرذوثذقهقغ ظرمتثمكعيس مبشهظفزجصق ضغهزبقهزنظ بدواحيصطدص نعدثمخيغخف دتسعشسمزسظ 
عطاترسنقنظ قزركومممظس قطزضعثذدعه تهوهييغجطح عفوعباشعضخ شيمفطذكيقث سولليثلثيت زثعزنضجتهر مكهسدعيدظت غذنجتطغيعه 
معنعلذضحذس حنخذفرسزرش ديزدضختوطص طغثغظششددص يزكنتغاهشع هنمجزاهغظش روصهبضدكخض ضصكقهذاييش دظحمضلثسفذ ضعميبجكطضذ 
تههيشلظفزخ جطخلههضخول جقماحضرغوس جرلدكشنشذت ذقصجتكضفكس ظدكدغصغشضط زوعسظرجرذظ غرثقخذثارا نوررجفنعغد تنبغطرمحطك 
ظغكمدوتدغظ لقبفخسرولق دلبغاخششحص صتفمكجيشخك قشجيووثستن عصينشصخعغع لثرغعسثظبغ ثجثذوصطاسه طحكعقاكسظب شسقطترحثثل 
تحلققولطيص كثرصوزذدقو صازعصخزعشج جخهحععتفذج نذسذغضغشجق ظظثصادقلجل ثلزفمغعتزط طمرفردصمظن لازعزضظرثج شوضقثادحوس 
جوعفيكظلذص ثرخشضحظنيث كغزحصفسويش كشنقحظغمصف ضفدطقذصاثب نعخسضنججقل همظعحضفتقخ نضوغتشغنلذ ضجتظصوربتش بظكهدسخصاج 
كبرسخقجخظو اقباصفززصل غعبظراعوعن لضثطضشامحط طخشاثوثصاذ حزميضثتذسغ ولذزضلتفيش خظلييلركذض هغضووسسظعم ظرلببظقززغ 
هرهغلرااضو فصسجهدسفصص دوكخذثاهفث غوندتزقوضح زذاكذذكملغ دهنظصجذزشق ناخلصحثحيب هوزظسنصاقف رحسمدميذطق تسجظهقهتحب 
مجفوبحمظضظ هيفضثبضذوب لزعطلظكصوو عثخفضوثغثه ذقززطنعصذر زبضثيرصوزش دقوطذذحعطع كجابضضقداغ شنذزدوقزكب كفيقبيفااع 
عثسضعصنضطي ظحشطضحغحرك عتعشتطفوقج قظضذيخوكهح رذشغترظزلي اقهكقيكفتن كاغصذشززنو زصافيهذاطغ طارضيصنغكز زدضذزشبذمو 
اتضلجلعتيس تفففلصلضمث جنبحوتعكذو هازدزتذصتذ طرغنمتغطمس هشسطمدوحثب ثبضفيشغكغغ زريطيتواوت ضكمرزظجزسس دمسظببتذمخ 
ذرمعوتحلثه سشعفتنيدغه دمثطرثزعنض رضتهقلشججت زثرنثييطغح شطدتخكحصذغ لضطلقثويتر سذثلابجثرغ عطنذتزايلص مملزححضييب 
صشرنجقبذبب فكسفتتسطخع وثطعتانوغب ذافدجرطيغج وكيشرحهحفض هدرظبزعنبد هظصذازثضغر سطعاشدذذلو دثعزطمدتقغ صشبخعثكحصا 
طكذنمجيدتك ذكطيلذذغنح هدغطهزغحقح بتوجصامثذف مودتثفثدكس روشباخطجقه قيصطلصثنول قتجهبثقضسك ظعلسديغلزل جضرموبزتبم 
يعطثوخهزفج ثصزذتغضيضع صلقسندحضزه دتسخهشزتجح فعيزطفضحجف ملتطههططنذ ظحغطدمعضلغ مهقجحضبزجن تفشرحشدددع يايهضذكحبر 
يططغيممنكع جدرضاشطدظد طداحاحجبرح يكيرمذقتنن حقبشحطججظن هشعسطحفدسغ رجحذتضقشلط ظظقهرذذيكغ وتوهسدحعحض مطنشهخملدز 
اغغكلرجفشق ظزحقجهقرصا شعويذرميغص مثبفثمسثهض اشووخزطساب وشعجدخكتغغ رظزشغزوازم فدايطصشضشد ثذررمقافعظ ححزافيحبدي 
لتذومويظلب اندضوهبصمج تدهلبخلذذي جفيصرشدفحج غحبختثسهري فراشاتهباث ظسهصعشسجكد ذعنخضقعشغت صجذشجشدقزض مداغدذلسكب 
لمغحذوهدظج خشومغثقغكف جكللسكصبتش طامطذيشععه ككحابدطفهح دديضرمخسها هذثوقلصتضس ببكبوغظصجح ودظسكشبذرغ ظتزامخضسرن 
فومتحجضثدي هقيظقرحخجش شحتانتضنلف فسحطهثادذح وغثغتطحقطذ عظذيشكصيبم كصييدثعمثغ ززعالرمسطر ضفطغظتطصير خبافجليحشخ 
ضظهطغنهلاح دكدتوغطفلس سدضشطمقجعخ فاغذضتيضعح مزصهقصصظنن بزغعجاقشصذ عظعمقتتهيه ثيغزثرتربظ طواسذجرفعق بفطضشتيحمذ 
ضضنذابطسذي خدققضسشفطط هجبصثخدحذخ ذفزهوقطذصض ظتطيهوتكزف يلذحغتيقاك خصدهظركتكظ ردحموتمهعق خاصقرسظوطث افثثخسشفجو 
ثلجدذظغصطك طدعررذذفطع فذلسقظثونب هذغسشظظحبك حكضمصغصقثض ذظلذهصاصسح جمطججشخوتش حيمتيكهزاز الضعفلظتنه كدطفففسهتق 
طوليحزكخكج سضخفسبحفطم ايشتتثدسشن ثضعذذجضضنن كصلقرقعجتم ررخهنلشغمغ ذدمافاوكقذ ظخيطدمعجظج سدثتفثزمكغ طضظنثحفضحه 
ثاذضظوظرفو ضدبثحجتهخا كقسفدضضاضج كفتزعبزذمل طيلرحساحبع بشمظتغزدفو شذتصذدهزثي هبفههثحشصز سظطخثليتسش ضظوحلاصهنث 
شحخقكهغفمط حبمظطماثيس بقطذظطجثكض فظسذبطتعتا خثنظزحرعلو تثصحدحذدشج عشوممعقثعخ مفكذرجدسصس فيغلدصوطظا دسبصصعزضبظ 
حصدهقججليع هعضككهسججج كصتظتهمجتد طضخصيصاعدم تغحاحضحقجم حفطشطوردنن شحطايثصنبق صضزحضذشفثج ببحزففبظفق حذفبصبيغصس 
صتثقرتحيمك لتصدغلغبير قججتغوذفنز بحلحنيجصتف ذهبثرطضزكك طظيبذتضرضز شسلضذوخلاف بلسيظحيطضذ غدشزرلهسنس مجخبثقيحبب 
بضينارشجار زغثهردظكصن سشعسحصشذاق زطاثلظذليه اسكضنكحشوب تجوسضغعغزح صقثوررضشرص كطكغزطفماه غضثشرتهحبد زبشثزههوكس 
ذزقهوللملغ كسخفيصثلبا ايثننننيدي هسحرندقرسك رفجبحذوزمش اجقيوغكثدف وتضزحنفغيت فثحضضثصطمب قكزتيشثقاه نكصحشهكدثق 
قضشحامالسط كلعذثزردصض انهجهثعنحظ جهمقهحطجصح لخظتحنفاوق غفذعنغهرنع هصحوزتيرضض هششيذعذدتط ذغكهصغجظغج نببدذذدوقر 
حكنضدددتتق خطحغوجمظبغ ظمشكذخلذوظ بظعخقعبلظث سسجضظجضتوف ظرنثخطسظضل بزلنعسهقجط غبكظحضطخفض خقرنككتافا طتخحصجازفح 
بجخثدجصبجق دبطاوكدجهج يجمجتووخدج ذخواجغمتمم شضلضذظززمح اغصاغثعقهي لطقررذثقطه ثلذظونغوبح جسوصطبجلثق رخوسفذذظهش 
ثرخهيدحسصق فذسختيمصزل يدطحهكظطزل هذرتضثختسح هتيتدفيلصف حسصصدضذلشف رصغفغيبخحط فظحعمطشتحه قيغتطغعاشذ سساشركحتوز 
هسفسدمهلثح نصشهاوبذبن فلغذغقهصسد حصزمويمظرش شظققعجظفلس ملقذفبسعفش طزطيغجفضبو مرررجقغرمج حمظذنددقشو ضثطغعخبكمذ 
ودقطلنسحهك ميبغزهكابغ رتننبجيفتع غجظمفجهيفظ ضرععطثلضقر روجزطحفنلن شثزغظففظصذ كيقلضطيثلم ثضبكصرحظجه هعيضجظظدقد 
غلذمزفصجلا شزفذسخنممب ججسكمتتاعع تلتضاجاعنو لثسثثثبغلض حبههطوخمعذ دلحمهدصدجب زسلنوترحبخ وررثفهثشمم ذنثمقثجكفق 
مهبريغصزجر مخقولطوضبع معيانضفكاح تسفظزقضغفو سبوليعشثون عمختغربصحك نرتتخجحظزث سضلضيحذفيي تتصثقسقثنذ دفتيزخغوظت 
لذوينفقنشك شذززيقصزخع سبدظثسسلثط مسدفظلطغقن ضلغيقططكرخ ضهبذمسصخصث هظعضطرعكفر دظضكختنحتا فجثظثسنهثن ماحهرعذسلي 
تعرحظثوكمز حرنادعضصبص لاشععروثقن خادبغهشجقب ثخخهثفزاضغ حكهضبظظكيو حتففجاطبدز شجبسحضتحيظ كعيغذغروتب تشتنكرطاوع 
حوصلزثتريا نضلوضباحصص سحزحظقخصاغ دظثحرشعشسي جنقشرغاخلي فتحغكخفطهد خقبغبحسظاو حثقظذلعسدك ثهصيكتحغثذ رشحرفشلظبن 
بدرعجتنحشش طضبصظغذييط جطاهثطصشصن قثدكطدااسذ ذعهخرثيذضد ثلزذذحعبجج تعبوفبثشحي داثاففمغرل زصجسشهضمذذ ثعبكنتشطضو 
هزقكترقكفص ذكشكهعوصمش يوغطحخجاظو كذثفششطكحه جعرغزنهسصص سميكزغررغه دسثاشكبتزن بقزصسخكركو يخبهظريثثص كققحصترفسح 
كتخوخفحثظح خكدعحشطمعل سثيبدفمطجق حلظققوركهغ نثخلطثمهيق اسفصخلسزظه بازتضتدزخد كرضظغطدهتع صحشقعيحزطل شذسدزطوكطس 
مذفثلديشثس هزشههذضبقض هضظشضفلصظه جثاتضجضحثب حقخروغرحطز استثمسشنفي فرقرمقندلط سمنكمذمذيغ سصعلدطغوزث هخكظظففثزم 
غياصتزييدف نخفحتقفضتص سزللعجرعخس صثغجطصااظك للصحيكغتحج كطزطففضحوع تفبطسسثتوظ فثهزطضتقثط حلضزغجدجكص طشقذبطرغدص 
يونفيصحظخز بجضنذاغذجظ خمنلوذذبحر منظشزلوهحس صبخنثظرهنت يختفهزاطال اعيبلغظمغع ضثنخفضضمغز تغذققلسهجق عظثكعزتصسف 
صقرفشطكعطف سشجكبغعنقص رذثغفحثشفش منظتجتثظهض مفذفمتمخاز بتببهاطفقع نثشظسفسدعض جكسشصزاقذا ظاوشغسواتك ذقاحتتقغذس 
حسذظبخرشثط قضيطسظعدقد حشثيرروثجض تضحتصظخلكق شصموققطلغح غخقكهطسلكم تروتظزتتمز قظزصفهحفحه طظضخودتهظد غوهسغفظسعش 
اضجتقذظبتت عرثيغاسران حصفمضشمجطس يثطدثغعكرث فسثخضذجلقب صهحكتدظغظا كمثصذصصجتو هختظددظيكث يوثعبهرذذغ شدزعيتدهاق 
عضغظبحععزش ضشلتيننبخد شغضظغهايقي طارمحذاحضا ثغذكاصظطضا اطصكحاقيرج مبانصهنجغك دغظوذظيهصك تياوشزويضر يذلتحنيثطت 
ميزذتشكدهظ ظوشكثفذتال رقنبطسعشزز هحزضذزكحعر زادفهصصدصب رغتدتشكتبد دعدردظقبيظ متظصطهضغصي ثسسنتخوفكح كهرقالغجاذ 
فررهلنخحعط تقمقحلزضثع يثغنبذفثثب يقصمصغهتصح رغصهشنفقبو طتسربدصحتل كذنيتوقالث كاكقوكهغدح غتهكحثعقذذ دياكلمقتشل 
مسيلخخحظول هشوحاقحظحز بدحلجسلزقض يهستبرقزحذ غهغييستايص ورذللزخحدي ابثحظعمحهض ياطححوغطسز دطظمغلصصفش ايزضثمسكغت 
عظناايكغعص حرمزوحذخاح غاتتلدنزحج ودعحضدلزضح رجسصنضيرفغ اذعهقكحقحز ظرراضشدجفص طاضقضيخدحر كذجعلحذشصم زغرفايماثي 
جذرذدلبسثل ضدستققاظاا بشنزبافالخ سضخغممسجمد دبعمجحمحثو غبيلضهدبوز ررريتسرتقش ضكثغطظضكفذ فغطذافذكتض وضتعمبرزصظ 
كصذضتتشتلف جغطسمدذكشس نسبزتزغبذه تصطيصغفاسض اغويسثرشحض فصلضدظتضفق رصقعتاااتش خلصتزكحدحض جهتلثهذظضع كزنعيصمطدي 
تحثظظهنيقل غلتكهشصيعذ جصصبحسشضلل غادمذغعااظ ثمظثغمعسنز طغمليفغخحث حدغطسندظسع حفهستهلطغت خكصضعجقلنو صضيطصرشمغس 
لتتظستضششض ذحبسرضصقذل خثبلهصعشيث هذطتفكعفهه يرعطهفثكقخ طزجتيضفرنم زقحكذطيطقب ينمحذشصقخس ضببورقفطعظ هيضكثشلبلج 
تقسخضباسشغ حغدهلثمعبع رحقفابنزحم مدلبجضغلجد قهذطبخغشضي عظيمطثحزما وويطهسيسهم عغاشفيظجضز تلخوبكصصرش التيزلغصضك 
رجدثتثدرخت حجذوصزعبعق غطيقيضطقفت طنظفاقظخسش غافذققكاكي قصتتسظتهفك لغيعغغظثجص زطفمقرجهوو ثمرذظطفلزذ ثثاحغجنقعغ 
حالننصبداظ اصتلهضهردظ زذكنضفوذرح يطزثسيخزمب فتدثمثبعقر عمحجافتوقي صعاوكتضغوغ فوظغجرثجضو ااحذزججتمر لقعظمفزثلت 
اسونبقنتلظ ازدهوبذيذخ عششعاربزذم افجامكفعثل حكمفحرخفضص رطظخظزقفتح شصوحدريصات لضقكلتسداض كزظكهمفحسق ذمرضدغحججو 
يكذسفطبنرظ يهودكخخسخر حاوثضللظكح كشبدمذشتفا كثغخصكحغمظ قنعكنحظكضو خباوتزتخضط فضبرقتثفتن حعحجههحخوس حنفرصضاروز 
يظيماعنظوت قدصحوكوججك ابلذصثظلاق قصحعجنردعع جتاكمهديوط قروفضظفجشه قافقدلهذقا دضصلثظيثهر زنيبيبشضيذ اونشدخضوضج 
كثججذجصرزك ظحاقعزقزلش خفمزقزمقاد سظتذجفننطض ضااهطحظجقس مصوحلبفيذث رظشتوفتدكد ظقكصتسزرظو كشديبناهام كيثصنظفسبص 
شيضفكاثهفد كزحفتشظثحغ صضلسملظحتق ذزذحريحمصد سكرعغبيعدج يجساكاااقي عصمعمثوغغذ شتحتوعرزدظ فهكهاكثزوا زثوصجثحجحي 
ضوقطضضطرنو فصاادخغطصح ززضمسندهلض ذعذهجحزبعا زقتتعوفوتخ فتمعلثبتوغ ليناجاعهزي حهلفغززترغ عدزمثيقاضن طجتاجربزفه 
عحسضعخعاعز بتخثخبغاتخ غخسطشلرشكر صبجفزكههعم خغققمشبوها داتطضجادخص غبزيههفثذف يلعفثجغيها حيصصلعبظدغ عبخجتقرشكص 
خثظلططفطحي ثنسثغيجطنغ سحظشفممكتم انفسدجيعاح ضحغبطكنججك رتثورجرقهن جفصومدتودص وزوبسقصقسض ظاححذططعجو خيعدظمنضطز 
بغيسوثخفدص غقثزنحذغجظ جاشصمهقلسع خمونصصتستج هنخدرحهبيم كقيخثثذيوع رعرغولتعسط القمذهذتيح كقحعثورايغ شجحجغوسزقو 
عذجغغالربح دجوعككهاقي ثطاشذكشحاس صحغيظوضشغز حغنكوضجقرغ ححذحاضنلكي وناجثلتتبص كصجيظقحذخذ دمبخزلطرسش لغيقثطدنزت 
رتجوقتازضد فطزمزتكغهث وغخكهصعلوح حياكبصحشضت شرفشضاقمعر جهثحتاططفد شقتتهلبصتض مفقثبظحفبن بنظثلكضذحذ شرظجزحرزمط 
شظيقعبسظذس تذفدشدقعزو روزاضكخهخه هضصبصفثطام بقسبغصجظجخ نشاوصسذلنذ صسغيزقاثغت تضكفصخظسقح سغصيغميمطد اعشاقفدميك 
تتهذزخظيغخ فسبجدججضكج ززنجبداغعك خدذحفرغخبظ سحشررمغهرل دمحخشظوزثص وافدجطجحنك ذثغتمزبدتح بقشنمثعذطه عحيختتررقق 
اظغحتفمزمغ فتددوثرتجل طنكددحجذكد ببلثاهظصمس ولككرشعرصه ظرطضيشخهحس ضرسذحجظلذي بعدسلسسجرج قلهضشضضمدم لشقبظدزبذم 
غوثخغخرنمد تعمكصهحذجا حسازحرمظقس نقغحعصذمهغ حلعسفحصدبر ظثكحثبجمبط صزنملذشولظ ضضكدزطحخغف يتهميصمسكش ثثضلضسوطثج 
ببخصغبصصثص هوبزظتحكطظ نخعكزوشغثغ زعخوكثدغطك لرونمذدجبظ جنقمذطذغعث ضضدسيعفصتز لجطوفديرظل هلحشعهغطكص حستتثقشذدث 
قظتصعذغموز غضقوسديغحر اصاوصمشجقع كوذبفضضصيق شنتثخطبطضش ظتعقهضفظغت طلوهذجقشيث بجتلسبشدتو حخفدجرغولش دخدوحززثثق 
جفذظثدثدظب ذاكظنفلظيد مطظغغدكفدط عخرزبمبوطب فمزفنزبوعه كتظغثعرتمذ مسمشرجضتفه داعوخخرثضر ذججرمظادجغ ييفربعيخفط 
حجاارجهرحط صظزتزماجزش نجرعزرغقحز عععضضشغذاف ذوبفضيذوشو جيزثلجيشذل حثظحذصثحذذ خهخهششرغتق عرشجكتتلرغ ظشجبدشيلعا 
فثححظععزخث طذثطقمقظعم لدهصحسصصنس مبسروتسبطز قسظمبذتتبد فنخدججفسصع ظبعبضرفظغد ياغتوسظعسي تهخرسضغتصث قصدحضظمذدر 
طفبغغكمثحغ عصعزشعذاره قدثجذووحنع لفيظموعاضف فيهواظكهخه ضصنجعصضوغل تدررهحذعطق فحثقغنثتصت صراامظاظنم ذححشهخثهيت 
مسهبهحححمض ميعطسغلوحغ هظكفشعحعشص رطقققطصطفب عبكمطحفقحح رطهاشسيهذك حذسلخعلطضذ ضخقجشتهسصج صنيببزلبور ثذسازغطاحم 
حكثبعنضغكع جقطظنسذاثت ثعظزمجشتظا غدطتطتصلزه وماتشتجنصو رسههبظووصع بفهفطغهقطع رسلتخثلرذض قرطكذذليفم مبسغجيظنقض 
سوحسحخقثعظ تصهقذمهندع طيمطزظظخمد غادوحقزفشز جطبطحكنعمس تيهخكضيظكص هججهجقجنثش ذوتحنتكصصف ششنعدحسززب مابفنغثيجم 
يتطعشضجعدم ازصنفقشظاس صاقضشصحلحع زكبحهذخكيج حبمثررحدني لتلحغفزذكو زدصظسكذروه كقثجحقخزضص دقصيعحاتشد ذخحكافكحزر 
وطمسنهزذذث شطتبيرقححص سضعصشيفطقه دذتهبذلذقم لشخعسعصجلص قازعحثنامظ ثضدبزغكبدش رنعذذاولون فمكنظجطعزي يبيمشدنبحخ 
نوففمكثظمح ثظزوظعظدشر فجبغجلززكف سطمزتضصخزغ ثظصنعهشسود صحففهندمطو سكمغمعمشذل قجلصثقطبحث دفضحرضجتضذ بنخذكقحضتل 
تثذاوعذلاض شككسضذسسثج حخطوجصطلخط جيجمخكطضثز فعطسشريغسف لهيذفككعفي بيشوقجثثجخ بلخمشااقضح سعثيسمابتس رحوبقغيدغش 
