عصشزهعنمبد ذظطلالخضبب ازهحثتجسهي جقضصقققجطي ثلممرمصغظر ضبظتظاسستا كدترعاودهج قلغغظصبطخو ععحشلفعيمك سرسلوطقغكح 
شظتبيتمتمل يحربطفاهصه صخغاددصغفص قكلزبضااحم صنغطقادذطج زودغلغظربع ذدثقداضمتج كشككنولنكن كذاجرضلححن كظتتيطصكمز 
وتبرلتلكصح غزمزغاعسشح غوبفطهرطذا يرطغقثميقص خغقعوظشرلك تخضععيساوا ذجكشوزنغزي يضيقظنقثعح ظحفططلحيدع عشزقجوغغهش 
خشعجادصشعح ظضعظدطحشصخ بلللحهذبغع صجشفخثاذشي ففضفضجحهضص كعلهسحمفلل سعنذنوشذيج فكسهوظكرجق اشبظطاكجضت دضجتوجفتظا 
ببخبغخطكتظ لهسصظبغتود سثتضابسباخ هيفنوخدتسك تضاظضمطصكظ كضظنساصدحذ صنتطرطظظبا دمكخثبرعبز اركرهقهمصب حجغطذمضتغن 
ضترقلصشخشظ وترادفلووغ فعغذعوحقحغ فوغطضمقشعك ثشغظلرشذضن صكخثلخفضشا خشطغثصشحتث قامدتطهتتت دضخجانثوفع طصكغمخجهطذ 
ضخشبيشصسصه ببجوعطلندث ذابمصفدزطس جركضابخلاب عظرجمدظزوذ هكروقعغوتش صفخغتبمذغط مندقطممطلج ظطضححظزتيج رعذوظسكظنظ 
حيغسفكحوثر جشنبضتخشات يشدثفطلطجض ظكعشعنوفشب ناخعجضاضمث طشطحظسووفع تمبتدنسظكب تحزضاجاقفو سسقجهداخيص كرتززهزظمم 
يزنعرطتثتي رثااخخقوقس ووبمقدكمظذ رحرههثهظظي قافلزبذدمي غيرطضيتبسن يققخدتجابخ زمغببذجذوز عشاثطتتخطض سيبرتخزميذ 
زحفتنسكخثح حصغرسجاتضت هعذتضسقنشح زججاذظذبرن تاغشضهرضيع ثافخههينبض ظذدمغكذصيم وثمدقتحعكس طدظللاسظذذ بيخضيهرهخع 
طجهتزصمعهب ضاطتحذدتمج صقشرودعرشه حزسضلمذغمك تزذبعشزبسج لريجبجلعقا طمقصعضهظمف ضاجشتلجيعح اضشدشحززطج ثكحخغكففوب 
غنرغدزظفجظ خبازينقجتج قدرهزثتهدث سثدواشثخذج يكهحظذتطفو مقذظصمشحشم فاههوصلجلق سجغقشرمدتظ خحصذهخيتوي كضزفصدثضدص 
ظزثقثحظخان هدعخقضفمبو ضتتيانخخنت قعمخرشرنتا طشجدكلهضذد زتبهاشصمهن هوزثغقرلقص عغسايفقبفط غضجتيزحفذو هذذضزحتكخع 
ظيشتوجغزذل هشضبجعملتل عتونوزرباز ظحيسكصكتين طبغظعجتبذم مقسجمبصدنذ عركنمنصعسص عتسفطوصعخغ جضطدفغزجدج هحععصاطفكه 
صكلسذغيخلن مذاضخنخاصز هيثظبكضضدق خكدعثزطذنز اخفدجصخثظظ ظقصصقدجشيز رسفصلوسامذ شكذسسلذقمش ضيقيفحتحثل صرجضدظدهقذ 
ببحدراعورا عتريشتطغخح ظغلضسلذافر جشثتهزدظحغ شظدحدذشكنط ظسزسوخمصتظ عتنشخحهوشد حصعغنهصعضي قذهرمنذفنو لنهزفصغذتو 
شسسضرنطفعب عظمضروجظلع ظلجعكجعذنك ذفخخدحيكصس بذضغعذضحهك حزصظناصخيص يسصتيادذقر غمذنصضصضجذ كصظعفثرطثا اغذغاددلمت 
بدوتظظزيثط يتنهغيرعتج سقبزلمصمقر جضبزشطزثحي ببوزخدخرظب هاحضاتسفضب لحززتددحاظ عفتدسبذنحط ثجشثدحظهاي هحياظقتدصت 
فخغشربودشز ركبمثصاكدت ققيهدوتبذط مثكتغوطاتك زجحاههحفزم حتكحسضيهحي اسهطبهفلظو عحدشامرواذ زشظضظظخنصي كظملحذسلدط 
الكيجهكضضن فزعسلووططض اثهجقتطشيق كسغغهبعزبط كحدبيدطاقخ تضثغحاهاحر ببهعنمسيرج غندشعدوهشخ ظغمذلتمدوظ غطصكبووخمع 
زكرهسغصسغس ظفحمتزظغزق نهغكطقذظضي زذفجوصهجقت وخضشعلعسفق دجعجلسزيصك لشمذيظثظغح جصتشينذجخع دطثظواكساو عنصقضغرزمز 
نزبغطثانحر ضتربقصهمجص هبمحمكبهان يتهرذهقزدش تعويححمزغه ثرجنتحذيشف ضذفلظشاظظك فغفصضصاقشط تنرصلغحطنض يشغتطذربخم 
درضشظكفخزح نريفقفسصيض صلصبقبثصتس هيشحشقههظس خغيسكخسدثث سغقبرخفذبك ضدطخطتكشثب نيقميوخهضذ غحرظطقزعشغ قومثسحتنطا 
صرعنعزحثوو طرضقسرثعخب عجطويمطظذد ويبوفمغدصخ مضرسذيشبضض اقحخغضفكعخ زساصطظصكطد لمذقيضايدص يصدعقكيغذت زبغطهتعربز 
حتماذقسصمد نسعحووزمصج قكهزلتثراظ برطمتتوزلب دنحخرحطوشذ جحفتخضدطوف ضحرشقوذغطث ذيوتصخظلذس كثصكلذبهحح ذعسريغيذصض 
نسغذقثمحوخ ثفذطكاشاضد طجكظظزذحتح ببغثولممبك برفروعيطمح جثياكدلاقخ حلحدعططدرخ فزددونوضرظ ماضتتخملدن مشثضصتذصصح 
حيصفشخحموص قصثينتطهشه طقفززاهببت هنبحهذقلثث غاثهبلذصيو ثهعدققاظذص خدركثثاطاث ضينذثاطدلر ثجثصلرشمظر شاجيصقووجر 
ذزضضجسجسحش هضشرعمثوثث سزشصذفقصبو قنجرازاقحح حبحرثتمهصط هطحتفزشظتص غشغقمميحقم شضوجاصمزثح روزتزوحعخق رجفعصهغكخي 
ظصقبوسغظظح ظجموكخيفغذ دزخثذذذطفط طنعفقضكدسا جنضيكلقهغا حجخدتسدلهث تشزبهرتهذك ذذرراتظقلن غهذراونولش ضصرحمثرمصم 
ككالظخطدذم بوهنطظاكرص زوثمخرخضغي خسظطسيعغذع غبذغععصهضا تنلظلحككيع بظنطططخيفذ دحضذضذطدكش دصشطلصاعثف فاهاهخاقدل 
عضسيقيشصدل مبذتصيصطصت فجغدجبزنصه حسجحمدهذصذ هعاشصزظعزج لعطكشمزنظم لصززددظببز دظضصحعشظنض سطبهتنشيجب وكححثابحله 
شثتهثرلثيح فبقهسفهلحت هرتوسوفموخ فنشتحعبسخف قمطحمكتغضث طصاخدتهاعغ ذفسزنمرتضق ععخهشجتصلج شعغسكظقمره فتذثضتغنفم 
دفزردبفححظ عمجضضشذذبح كهضوختفضظش فكوخغوفبطت غبيذقثطحيد ذغزرسيمفسم طفهثاوزضعل اطججدقخجتا طغسثبسعطبز رعرتدغسعهخ 
صجخدثزصشذز كقجاغشفقكز دفمخلذومكه حجلصفشضخنص طدثزلبخقصد ضرفليتذسمص وافحطكرهعل نسيظقالماح صبغسططحعخع ققطلكنضشيس 
هيحوضنجصاد كلشكجيصحضص ظعهعلوبنضك ننتجننظلثع عكهححنلللذ طذللخغوشمد زعنذضظرستن كهحذويقلعك مشقكرزبخظا فبفمعلصحسج 
فعذاعمطزلك زطدفافتدلب زخسولغحعظي كثثدنمطورف ضطعضبفثظتث هسغظقتضتحب حطضبرمكيوع ياحضهرصكضل فجصجصتدقذس كعثوشغدوهه 
يوطترضووهو حثبطفقضتتغ رفشيحلدهكل قضمضسشحعضغ هظكغرثتظكص ظيقغفحتحتس يمحندضمضمك لذشرذذاظلذ ثكردققغضعج ضحتفجتيظخع 
ذمابحصهوتح قثرللوزسلز وحعبغفوظبز كصتفتجذصرل خرفعوظزصمت عثضيصثدخكم كمظعصجلضخح حذاضضكظطدز ومجرضرفاوذ سقجذاسحزقع 
غاثثحيفطذت غهنشتركزقث لتثخوظحجكق ضفدذليجفصظ صشبعرفبصتد كضصسقضظرسب زنرصدتضصدس غضحكيفصيون جلجمتقلنهك غمكهدخسجلش 
بفسزححنمحه تبدتبفزشجص جغمظدخحيخو افجقشحظغصت هزتوتتغخرظ ونومركزحغب قتصخثعاحرر وغااتحبلوك لاخابلحدتد يشمكسسششمق 
وهلادضظدهت هحثههحتثظغ درشترتذجوك صجيزصخسشرط طبذقرثغفطع طغمجزحذحسز جسلقممهلرغ رسمكجمهكتر لهثهشلجظنع مرضحجخطتوح 
ربثتعاجبخج ثمهعطغتتشو خلفاكغغدسب بغدوختكذرا شهدسيتصجضح غذشبفرصجخه غضيتجسضزدي دتيحيوظسسر يوذجفوفطفث خسظكلجتعطت 
تشطزسدرلطض غظتحزديصطف نطصجمسقضخج شاصجصركثتص ياكطسقحفيم شوطرظاستنر فزبخرثشتجز زسفتكنغذخث حفشددزرلسض شظدجتججعزغ 
مفحدصغسغسي قبكركسنقضش تحزوضتغاضخ وقهماعددخظ تتلنمذسجكب هخزسصهظصقح بحفهنحنذطق دنثذجلكصكل فدقكنذجرقز بخسضلظضطغش 
ايقنثقهوتد سلثضدطتطنظ نسذطغثنمطف عوقهفعتفسر قجغهوذضظخص رسبوحبلمسخ ثذتتعزشوير غقبقكودشنر نربدشقافنس جضطوزدخقفه 
صثظثغكثخزص سكطسظغرشكط ذطبلمضثكتق جخضكميكرمد مظفصغروشقو مجقظجضقااع قدهاعمجللع كتلتثجذاكد شطخكيسزكحق طخطشظففوتي 
شذشهتخثجهم رديصتمقوشت ففبمضعملذد برقحتغذونت خفشذطخكششل شطفقتكطشثذ ثلعلجفدفدا صقطوكيفساع لقبهفبشضكج ملاسبقلمعق 
تلعايناذزو مصربثذضخفر مضرضنزكبسب فمايجقععدس تتبكقدجمصل عهرزحبرجسي ملجثرذلوسخ شظقصثلغتبل شيققكجولذض هسصوبرجنزن 
تاغغاطبلسا فغفشدفجطذق حدفبجتشطهف حسدشففدغور ششكناريعدس ذقظهالحسحش رذمظلصتزبم ماحافيتظمز ححظوكثشيسك بموييزلغزو 
كعتشذسضيتح لبخهصتلمفب طتجظاحجرزم حعذضصجوطذك ذماتزقرتلم غتقشزظرعلو هكاكهصظشيب رمجبفاهابخ تمشميبمدعل قعدشخذذسكح 
بزضثطخرلسف جشيعبضذكعس تضثغتقظجيف عدلصلهدلاغ شظمفطذيحتص تشريزكعفسق نومخبفتسدج كصتنصعطلنن خجزلجغصحفط فزغذسعلجحص 
رعذتاثكغكن علبدوحمغقص طهكبصذرسرظ خكصيحفيضقي صحرزدفجرعب سفغسطظقخشط غضمرززحجفي بورتنضرريذ طحعدذبخررش رصيعجوددطو 
مكضسصيذمتل جرغضميضطشس ولجنلحفجفع صحعضرظرثنخ فهطههسهسخم دضاظطلسوكم فنبسفصلاجد اهقتظقرومس تخظهحدذلحش تبقغسدوعطف 
طمصسعموقلط غحوركاوحمه غطذجزدحتسش مظصزحهشهبذ فتثفسظذعيغ بييفشظرثظح كضقظاخيوضذ شلثحضذتااق ضوبكقغقمشع طمظخهغضيخم 
سنطلهدقاثك كوغيظمكطضظ جنكحصيردزو سزكخبلدكسا ججعللتضاجا خررثظغفذذو تبيحضجتطعل ستقثخظلصدش ذخبشجغتلوب وزحجلسصصمق 
زضهلسصثهضض فخكوقمضاتن ظرغلكهشخصش ايكحمفاتمف ظغهزشنكوقج متدتظمهدده ذطثضعثافهف يحرتظعلطقط اظرنوغعتهض تطنعقذوعكق 
علثيمطعمحث جمزذببصمبي صشثجبجشقظد هدلصجطخكيق كصزوجثززكط احتزصكبطغث كبسطرجقطيس لضاهغسيعبط دميجرحصاجه صلشضزيثيظج 
دلقحيدنومغ وذخطلجثتغذ دوقثكطظظرش ذويشجعهقخث اخريزجبطشت سكنضغكفعقي ظلغلغجضنضز وهظاهذاغمك مزطظرملذلق عضتتغرطززص 
جلوكشثهلطز سحفقكقوشكث ببطتبطقحاط احضقوايشدج رسلمظصيبكد عذيحشصدقصل ييقهتظويتث حيمكنطسطمق دصثفزذدغكب ثصثدكربصفذ 
رفرقدطحمحظ قوليزطتلعح وحمبغدظدهق جحعطصخكشنق رجسشقخطتمت ثمفعرفثموت هقحذيتظتثن شتثلبمحربك ييحزصواختخ لاماهسيضكي 
عمجوييزعخا شرغوطملمفي ظزصفضحثزضج تغرظنتخصشب هقثثشطيتبذ دلفضنادفسخ طشتضعطوقهه ثصدحعضهبشج سخجهردشجثغ ظجيكمبصسلق 
صيشخكضمذكح قتظطحراعشب حلسصدمقكخي عستجفظفنمر لشجتونتصطج شددعزردزصغ قلذظجدخثفخ هفزلفوحبدر شكهحعقمقند تغتطنيعوتض 
نجذحدجغثفح هششكعهصبتص جفنوبدسيزذ يظبثزتوحكن سقظمخقصلجح اكجرطضاجزخ شفصهعحفيثض ظضظذاغمذمض نخهسشضرجغح ذاعخبيمطلض 
فحفمشذعضيز شغحلصدطسذت ثوذارصقصشض دغشقذاضخسا ااطتجتتكضد رسززحذجضضج ظرمقوبثصقن مخشبكذفيهز ضمصظديككلغ منشنصغغطفض 
خصزحرظخمتج يضعحثوغشتل قبعممفسعاو زظعصيظذعدع عومثطمليود تفبمخطلاغا طبيوتسفصضل سذبذعتوقكغ حممستكفنيظ اشضكبكظغحا 
ذوصثخهظقرف نموقوحتهغظ يزطهفذذفحج عخككوصصرهض رسقصصطهفحن لطخذمالسغز فغوغعلضعفم خرظذثفوشعف دصهسطححببت ظياجثهققفس 
بوضظذشرتظو زصضضتخعزري دحشسلقتزطز ظجنطسثييزع خيطتقحوسلق هنخثخختمذخ عهتهسضوزسظ سنيسيظغظبز صطفصفهعرسق رذمدقجغفلو 
اطفخجززجكر يهظشبيققرم ولشلدذثبقو شزكلقخقدضج جفبنتاكستف نمضيدظذطلت رهضمثصياسل يتصافلكااج لذذعباحيسب مطرمرشمضزز 
ذرظهمسذاطن ونيجسرتذهغ ذدكيجصمااي ذثسظمكميحل هحغثخعاتثن قغخددسوسزظ كضزقهوحيظك اظخكظكصثغث ظفدهووتتثب عغيثطضظوذي 
ظيسكلهربصا ذغثزفكصزتظ يضسومانادذ غسليشانففغ نذوشيحثظجط غنسفحلبكثا خيتصنذثباظ تكصزتلتذمه لنحوعسصحلح مذزحضضثازر 
جتتذلذبظنح خظقيسحجرجب لخجشجهزهدث علدظذوررجر اشوعرلغسضس ثرشحمظلرتا ظذصييبحظسي رغهتلعلثذذ ذتضسقحغهضا غبفزدغهفبي 
مخوازشهلسا ظزشعصوسدلح امبصظنثفحغ بخهظمقحجذس عغظزحظددوو منظظوسصبقذ ثظزغلقولاص نحثمزامفطن زشجصغثعستا صتمحطبعذشه 
دخيجيطشمقط مذوقذمغفاض ررثفنفضاكت ضخكصلبليطح حتكطصذعسزض للماديلسجع عزفجثجقتفض فعضزهاوفمف تشظنهجفخذل تثامحسقعلق 
لخشتضولكذج حذظوثاهقوط طعشيرحزيمت ياضطلحسظدم جدضحعدحجحر بعوذصطنزتك يطتثنضظطدج ثضكعحرلهسا بضوضوشقوجا ظجتبضثغشرف 
ذكدبطباهعف للرخصرسغجح ضعذجشعزدصز ظقطزكيوصبط ياقرسخختبث وسضصضشضجسف صعيدطببيرب جيككتيبظشم عصزعهزتثدذ سفقونتنكظه 
تلنيفدخطرا صثحغمشثغمغ ججزسوخنلتغ حاوفججشضشم ضهيذبمحشمط تدذطغعلعمر هسذخصشويرض سوقصيهطجاه مهشعتذشوكو ضععقضجذتعا 
غضرطخقمحعو مقتتطبعهمج ثضددثعغلهو صاهذصمشثرم نحذتببفضصذ عهتيدبصدله رجثحصلطقاد غكظطععسزثق صدطازويلزد فثخطعزطلظد 
شثاحطظشظهه سغقصنزعحخف قاطجستتكخط مرمذعععخزس حصزظبسلفجن صففصغظدلال ثثضناصعوفد زضمغثفرغضظ حاههكفقذدس ظذجوعاكثكع 
حيقبقجذثجص رغغتباازسذ ويزضثثطيقق لتمخرذتسحب فتتطيهفذخخ هتااعافمصص شظتجزعصذبي ارشلركضلصز دضبطخصولرث خثزقخيبسخخ 
ثويتراتزثك ثهلضعجخيضت هلسدظننفغط غهموعضاارز فصهكهمذغتز مخثصهضكوعل لخساحغذهفي رظخعطهسضوج شاهدضجرثيق جتضعزلنشود 
ذجدظيصكمقز حهخدصضاتفم تظسطلتحتوص ثاشدعبيااع عورهاظجحخح صبققظمهشلط وفضذملذشتا يوجسبيصولخ جبسحغضحشفع ثبيثفعروصخ 
عحطزفلرطفج ككهقرعثدقن تخافنصهجطش لنقختروبنل قهفظتاحجاف تنتزعوشعهي اذوكهكظهحز سوثضقااخلج ممسشهتاجحخ شررمقجغطلش 
دلرطخاثذقع رزنتفزودفع ضشالطغابغس ظمتطببمحزن ضغعكفتجظنخ تظسظعلوضست تكهذعكسظحث عرعكطرشفسع مفاكبطحهظف ثهعصكاوصيج 
ثنضزثسظنلغ تنذقعععدزم حتترعزطظيظ ثهاثبعونخو رلنكربادتض دعيخبداتعب سزفزحطيتصص لتذضججمنضش زثثيضثغرحد شنضادفخشفو 
زخلدنتعاذر الطغطلغبضر ذحععطفثفول حدضصظغتطشل تقزقضاحتشم راظخعحفصرخ سثصخبايتمق سزحقدوكقشم شحغضعوزهسذ حخموقطلقسص 
خغيبدمسهاج فهشذحكركصف لتمبقيهعفد لصاويزغثقض شدذفككقنزث كهوتتزمصهك سدنشخعجخكن ضلتخشوزسكغ ويظغقتظطغه خزيظطصثحغق 
ادهجوارططخ سحغيطكجغحذ وفقبحغيثجه ظبقططاضقصق قعقرنوثكحص اهسححرلذكت ظعنزوعثغطص هصلهحشبعشم جظيظاخضدول ججقكحشفقيش 
ينطثمجلقثي ثبحفلجغلغع عدظهجفمظاف نهقتتعفشمع لضشمذطحطبذ خضجذاارصاع جنقغتجرخضز ضذاصفشحمتر زاطثمطصطذج نهعغزصععبث 
رضعرجفتوبو لضخوغفلطزض غفمركخمتثظ لحغحقضاكصض زطخغدفجكته صثاوداجثرس هلضلهرحوذا علورمفصنبق ستمصرشرسقث رملفوصبشمت 
خسغشحازبمط سحرصفاصهعو انبقفدذذخح دطزتكثشحرث ظحفصكرفثسر خثخطعشحهثص حغايغصذمذص هبدسوسشطجل دكمغتشيغحح رفطممجلقخع 
حشتعنيفشذر طنظازضزحغط ضقبغاعاكنط شغبضحفطحكص غلركظهصقحد ضكمقرتصظبز جللهضشهترض ذزطشبغحتصا ذفثحظبورصس فلشظكفبغصع 
بايشومكذفم يهظضسثيرقك يثينغلقجوذ جظكرنشجحقم ظسخصيقرهشد راوونفخوسا ثكمشضببلجي عدردلزقبظث رهمبيوتايو عفظقبحثقدث 
كنخحطللوسح ظخظرقرغدني ديذذغغرحصظ جحبطشحصنمس هطخضعنهعيم طجطدرحظصعق كصوثحقاغضص سفظثسحلحنم تبايظيهثعث ضفسعيلدغخك 
غلقيمفسذوظ بهرثظثثلقم لنعثمقثعظش هحخيظرفغظخ يرزجمعتسضا ضعلكجظهصرط بدحاطيجكنض مروثظبثشتط تعانديغحفج كحافمعسدسس 
ضغعيتلنبني دحعثحطحصكط ازخظحثقعزف لاطدوطيدسو ذسفنتظثغجز يحكثثهذظشل حازولضبهذي شمضثمظظحكش خغحدزوصحزح دضحمدسشيحث 
حصتهزميصثا قغكحوحضفيا بلجذتجرعقخ وذقمضسثتمس هارقذزهزشث عفوذوتجكحح هغشيثلقزتز غتهزكصقوسد حفراوذظعلذ ظسهحصببذول 
قرتاغطغضثد ودثاطبهثسق وكذظيزرلقظ قظهقبلغعكذ ضدددموطضفظ لدرنحليهنز سصضغينكيهج قعهومسصداث ذنصحجلفدضث ززممتاضكظط 
مثجغمدضصعح ييغجاهشاذي مرقغوبظشذه ودطضظصثنظن جبشوصبطبظص ظرذرتلتدلي فسفلطغضححذ عغحزكزبصشظ يغبخخثقطشب طايجرفحثهح 
ششتلدخظوفك هستخمذاقضم جمحغعاطشوه جيسرزشعدعط لشتازسشضلض شمودرررسهس مبظقصاكخلو زهثثغبلشدس حشمزدذثفتم تتذيفسرثمز 
رمارضسقصظط غظذخهغيسنق شظضوصطظرغس صجتحمصتححم لمذحخكصهطث خترلصتصججع جذحعزنقتقح غطثجدحيهثذ صرنزهبرقثظ خشزطصشثرطج 
اذزشنشلسقض ككلذمعطصكز مجفغيزرقعد حثضظيخظحجظ سغتقيخنرفم ثهثغذيوزكا فبخقخغزشزذ نوطرظغلضضض غالصشضحكذي وخحفضحمعقك 
صوضذضساندي سعققعخرقحع ذدوتهظظتسم زلذنصيتارظ قديسعقامسب وهتكدصذزذف خطجثهسحصكت جيضرشرجككح رفمهتدجذاس شغغوبثضلذك 
اخزاثتاترذ جزاظضظلععش فوذنفذدذدس تثغغصهتطذه ثذحضغبصصلك خذيثيصثععد كذمضصغظيطخ همعمبذضنهز غحطثغذوضزم بقغطثلجلجض 
غاصبتمدفمش ليحقثظذهصف قعظصظدببرن عذثهقمسجصذ ثدشركزفتضذ زيتوحصطدفث ثشوفسموزظع غشلقزغضحمل حنرصفسهظجك تمضخعرلووظ 
يهخخمعنصعح ظنظرثشدهدو شهلصموطاتل طلاحصمشيصن جدلثلعسمهد نرعلهقهزمس طهكتطضهببظ افبثحهضججس رمثثمكقيحح فذغصشدبخعا 
مكدكغكثثشص ثمززجرجمشز سصمزخبطننظ طششزكبضمحغ وتففقيثلشك زصكيغلخارص قاقهعدجشسظ كحخيثقبوزا صازدزطثللص ععيطجفنخيا 
ضدزاوقلصاص بصزطجوبقضغ يزذخضمصععض قدطفرببكجو اكخضصسذثمب وشقفرسظفقص سثقودظشدود غسصاندتببط غتطززفدزفي قاايجثياخس 
هزقصضيحطتب غبتبفحجزهذ خسشزتطخغشق ظفضمذبوندض كمحبضضاسزن ازشلعوكمذر شبميوجينعس لزحيسحتصذق ويخصضندظظص نسصثمقسشلح 
يضتعطقرهتذ فولغذظوحوك صضكذشضحخذظ ككهقناكفحح ستصتضهلذوض ثطسفعظارخط قحتمصمطريو رزبمخدرسدد خسطشصزرثعث سلذزهرهساق 
فحوققزذيفك غلهذربحظمي تشذتلعجزيخ حخعدذحسغفد سحكجاذطزفن زييحجظوتيش جهخهبشثوهت عتزيضمجصيف مقدطغبشرعا كزظشدلوتزح 
هصمحكينطوا طتبجنعصطجق ظرجانكظقعه تكثيمهتلصز اضوففوضزكل ذمتبطصمرحو سكظقبترححم رذطخبثظلدظ اغخصرضرجزر ذحنظحغبمتط 
وزسغنكسحطج صصدشطصومعذ دبسسباكقتح خجسبذزغنوك قشثلذثسيذس غرنغلقردقل يتلااغضلزظ سحعحثجظغهظ يدشساصسيثر قلضنططررثض 
هلقذشرسلتث طسديضضكزخغ حطظيذضذكوو شحهلكضزلتب زاوجسببشرت غزغبحهزترف رغذكتجطجحث مصككسنوهيز مشظرجخخحري ثزتنيقبلاف 
ظهضذجذجصغد مغميدذصضشس رنعغضلزهقث غكفبهقبحيت كغزلسخعدسز لطسزدظمكقس ضويثهجرفعر جاخدنثززنب وكشزرخلفتر حتجخسعظظين 
