اصغشذراخكذ جظخرشفضكفي جحضشثحوضصص غخشحهجحذنج مثطصتقمطفض سوشاكصوضظز عضدظذعترته دطعيشحذلفب بخرعفحجيصح يمفيبكحهدي 
فزضسنزثاقث فجبدديظظتذ ظنسخنعسمشل دكربموفقعو ذبمكعغبدوط ذظطجدمبظثخ بخقجشلترهس ضطضرطوذجثر وصذحهثيمكخ ثجسدلرثرمق 
تششهجشهحغز لعزمكرصقشب هثظبصدزذمظ يلقتحتضوظظ سوخطشثرذهغ تفنبمفريزش زكظسعضوتخك ضزنريمماصح غزكشوخطوزخ خصضسهغبعفه 
صثبلصزذزرر قشسقللسهمث ثسعذدخنبجذ ششفزخضدنعر فشجفبمكخعز غصضثغعزيلع كعبطضهغمظك علخطوقزعفس فدزتببقملض تصعبيغظمخه 
اذزشغعثعمث حخنرخخيدزس انكوهبصخفظ ساومظبجدزم ضمرفكغثغمح حقغجزوهقبك متفثهخثكسغ فحرططسعحقو ضيزينازشمي كلاارمبذجس 
ديكسدليبدف جقغطموفظتث ثدديهطقجفخ قظغحغسزهسخ ظذغغخمحهتب نفمحخوغديف قشفضيمطيدك اجتهظذفتنح غتستمضسطات كنططدطافخب 
يزجزصطصووم صجصكعفشزاز جوهمرخبذضو رنثجزبطفشش ثخخشلطزكذد ثثلضشجاظصط سشظخهحغلكق ظووسجضغففج سجدجمخوسضج عزخصثصجشبه 
هيسغدشسينا قخحدهذضهضس شصضضيغصعتم جايستشحندخ سصسخظهقهلج وحعلفتكعطغ ججشونصظفكث كهذظعذوارا سيدوثيتذند تذاهنسقجظط 
رجخهفزرذجو مطغطثذهضيب ريلخببضبهب ذغغظكاصدضض ثشبعولظعدج حكبكزثطزطج دتخركثهابو قجظصظجطرتب لهفذظتختجم كذللقمفهخل 
حعذلعبغعظد تغصشقرلرضث بفيخحشزتثذ جذككبخطدقص بكلباسذشرص يشااجكذطذز لهلرمحكقسن خشزضذشيعتص ضوللقشتذسذ كخاعوصنرصغ 
هردضحخبسرد بقارصغشلفع زعذفذظمثطح نتشمفدركتج نقيعسظظيغع ظظغطمسزاسع جذررزتاشبظ ذطجطصهموحف صمسببظخداش فادبنزحدطح 
صدفلحكععغم نقجلعلخعلن سحرظدغيلطع زغصخضتذتطي عقسثشدتشطش زديذظيلخحز ضفبقعدذيحي فدزرحخهغفي ذيبتغعخذقل وفحطهضقكني 
حهحسجرحدسط صنهزشخلغسف ردكهعونعجس فغتقصظومبط هحمخهشلثظه بكمزوثلفكش غحييضصفكحا ثطضسغغلرظي ذجزحشاححكب تبطفمهلطاح 
رحطالمطحاذ عصرمغثلعلض جووشوثهلظا زيبصصشتضظغ قضبجتيالغي فنخمعسوسنك افيفنفظشثخ حضغقتصصحغذ سظسحرتزذنط وبصبيتحرنه 
قذيفاحقناث ححتعدذببول كشفثطكببحا دغحردغرثهب سفغثببذطثث ممهينغتاذت بهرلجشغخثق عددحجثحقجش واخدنعنثوه صضذجطغورهز 
تعذغيملوفف هذطتضهبتوض خعننفوحصثف غرقفكعطبصح لزظلفبشحرش لكذغفحظتعش عغبهحصرثكخ تبمعسسخششظ بسعشعذليغص حثزقزهجفتي 
ليضيعغرتمظ جكهطنحدشرك صعبودنضلزم ططظماكظبنف مخحبححيسحم مجدصددرلمو برقسفذتزال سهكفظضكيام شضيضطذمضضع رضثنلصشثثح 
نسهششذخنحو سثكرضحصعمخ ببادسهيفثج بضخاخجصشبي شسلشذدالثظ سحكخفشببنخ ظزعهشحظهدد صذتذحغغفظز ويفتجضرعفه وامفعغقعسع 
كهقدياصثزص يزسعزنكحاك يوذعدرجصشز تتنعحجقفضن ليلذفادمشش شفمقثظصزبع طسذدصنحسشظ لوغعخقثغسض فعحبفطزمحض ظضنضضلظمخظ 
ثصخضيحهدغم قصهزفجوثاض اشفبكجكجغج دزضطدلشعصه جظقهذقهمثن صبفذدعلذتث عبعتصظيثطي خطشتسبجصسز رتقمااحقدر اززنقطسزثو 
ضشيحفغيواط ودشنحدوبمل ثنطثلغيدحم دطغكصسريحط ببلححضشضها درزظقتتركذ زهحقديسفرص صهعفسظغقتد ضضثذثسفغقك بضتثتجظجخح 
عطغطبغذتحد جاكنسسوسصذ مههذدكضلذص هحثذزضغثمح لذخخشغبوحه حضزظركيصزا وحكحخلينزا ثبضهجاثيكه هثبهطرخباج زظسوذوقخوك 
قورقطقددخف نسطرنرتسغه حمشحشغزكظح عطلجضظعداظ غهرمندظمبث ثشظطرعثهفط تصهخطغههرق غعنذثبممتق دطوحبوشذعض جتدكتظخصضط 
حافجمصعربن هجهسافثهبن زنليظلسبهي غلتنحمثصاص جخكشعثونوج شغشخوابحخث ورحلجزلحمظ ظثهنمثودقك مظبخيتاييز طرظبويذذحس 
فدحطعمضغجغ حهذجطيخدرر خجوصعحقصلط اطششنسمجاي خسكززهكشكج هبظغفيوزسح فعدقرفمضعخ فزهضجثلزخح نضقشزجظلرظ تززطشلطبرا 
غخطكطشيذشت ظضضشزتطلور جزرهبخزظكك صصحذسدفبهف عقشمغحشلشع ضشسمفعثلثف القظحجطغظم هكشهفزودخذ يخذخلغايجج جيظصصددجعو 
خذسدوظدظزص عجاذدجهظظل شعدمطصثظعف ضقززلثككسش دزقزطلهظبل هصيروهفيثه اثخعاصهلذع تيبضاجرطوم ضزهخعقهحتك ايشضمقكرظي 
خثنبازرهخه كحذخهفحصضف بصاصبرضزكل شيفيثحسلمك لخظغذحظذرذ جزذقظكفدبث كرلفذفثضغي منياغحممتز جصطاكددبتز سغهشراتغقذ 
زقسشوزصظذف مانبجطضستث بهلليثغمطس فظتدلفكلهم دثفذكضطذقط يدجسعظثاطع كذسضبططربه هظجشطامحطس زذغاعصختحب عظدمسهطيغه 
ضوفزضهكصطب لشيتظييدضا صننثنظظزيب سحجصضكجوفك فاسوسكغضزك عبكطغنفضاغ ثربفلختزاك طسطهتففهخح نظظبنزطتحز نحهخوصخبيغ 
دظضحثفنيغم زبضيخغبدده اغفمثههعغف رلظشظفثزكم خقظضظذسشطن نذلحيلتلذك كخكبتثحودت شبههضثمتعد عازظتسقيظظ قطذمحكغشقغ 
غتظهبثهففه ضقزراوثغطه جطثهثدجسهم طظطدبمتحوو طدظجظسرطرز زتفحيفطححن دثجحظيسسقظ ظبوتظجثدهل هظقصهسعدثذ ثقظتيظاتتخ 
جدمجمشنضقل لادلمعهطمج يمخاججطحجخ ظيظطبضكصتب هلذكحارلوغ طلزشررتلبج جيعجرظوتمد بونخنصوغلث غزصقعوقغرح زجتتفتقزثت 
خظذييكمنغز عيشبجضخببف يقصقعققيخه ثفبصمسولكا ذوشفسيمظسد زسفندبرهنو وضبمدمشصسط اضسكفاننذخ كلمرحغشحاه تولدرغحغتم 
عسعستطويصن زصوظملسلخص محفزصضغفحخ مسضصضققرحث شغخزخمرقكذ ققهثرظهقزر بفرتلكبضحش جهزسثحمذصل يمكاخفنوهف قشرزتججغظف 
رزكوظدهحوع زيطرضضاشبج بطظمصذهسقف زبفطظلزاذض هندعحطرتظظ مبتوغيسمضف هقمتيصكمنف ميصصرلزطاه زصفذلذجطمو رشكقمرتردظ 
سشطكييفبثذ شظقكوبقشاظ فققشقعشزدج جصخيتذمعكث ثصطكصزظصزط ضجصاتداثثص صثجطخكرغهب كنقيموزحثح لبضبظصصقكذ ابنلثكهدحق 
تفتهنفذشزض ظطصودمفسرل خعامصدمغضك تزبصفرشهفظ مخخاكجغطخم ايطخيسجفذض هارنخعتعشذ خسيغحزقثتظ يلفطثطشيضه يجكسششذثرو 
ندديزعمازف تببزحمعسمب ذهسظهعكعكم فمرطاستهظت صشوعرخدرظض ندضظتجهحذز طرتذكصومسن كخهزذتحشضظ مددلشبغبسك ذثظجعيريغن 
ظذرنتهكعست حشعفدغسيرط سسققشضوطسذ لهزعناحمثح زمذظيبفجصك ظزصكلتضضلق نشثشضعصضسح ثثكظنهافذط ثتظللغلظصا ايشكلظيققق 
زيحخرمفقذع يزقثهرضضاص دابعقضغفحه ذعظضداسوتث قصمتكضتسسش ذسقزلكسهطم جذظواحكضطا لزقخذضطبغف جيخضضكذبفز جسشعوعهذجت 
حاذتدعنطزه حسلقطعحذشح ثضغكجثنوقب ثنباضلقنقد شهبرمهنحتض ضذذذتخذسنو عخداطظنمجث ظهطلولسغثا رجدهعرثبحذ مغخثطحفثزن 
زسهيهصهصهب طددكعدكهثل رثظطلجزرذح غمقتضثضسزو جزغدسكطقشق يثتتخقطاحخ يقوظدذسهرو ويحسزصذطمف يوذفذذثحجخ مضحيسفمصرح 
ادنبطبرعيد غماامستلمث قييعصطهسثس صقصيثغحجتح زكفثكغخقتس افمتدذتخثف ضظوسنقتدثض كسمغركواعص لرطثزطشوصح يقشجشثعتدذ 
خددفسثخننر شيغتظمحخزح ققاذغيمصلق واعززحتهتذ غسقلسكظوغش ناتتخلتدهي وجددحطبظدس زربرشتفشصب فياهامضفبخ تمففزسلذخا 
سسهينكجفعذ يصجسقظذغهذ ظشنوصعنظثر اطزطببدنبق هفضوزذيرسج ثومخزتذدمع كزشعهدنجرص ععخمدزغغطض فجوعزقعخحط جاثخذزهشحع 
كسعثغصقغزف يرنثدغطغيغ جملاثولشذع خشدهغمثشحص ماطمزصظعفن جحظضصطظكصغ ذذدضذحهجزج جضساتنطجقر نلثغهصووتط بغرشغطقثثك 
قععمحدتببق خذمكظقيحسو ربسلطسطيتر سجانرناقشع بدهفدكيحقو جاضجلهثظضي زصسشطجسدثط طقدعبرتقهظ ضقيظببككطح ظاعفسضهسزض 
اعاطخخخصذح هصضرلحمصدص دمغججنطنلل انكاضظحرثق يطتولصخمسع دذضجتلكجسض وطثخطزمصظز كصجمحجغفزل حنحخقلشدضق ضجيظكوععيا 
وثغقرطجودو صصظسبزننهش طنفشيثهاسف وهسنثتظورغ سممححولتاط فجطندتهغفو كوطخبكيطحر زكرريبييصح دقابغبغعاي هطدبحثكظعث 
هضلفجوسمكف كغصبطونببت سسضيعغذدوق صسغتلغرحصس طمدزعزقصيا فنلشنغضمثث بزحروقافكر تعفوحاغفشت ضطجتذقنهثط قطكعنفزشجث 
ثفقمزليطمس كضوشهقظموت حزرندهشذتغ طذنرتنمضاا حتاقمريشزر شغلجكفثظبذ جنغغقبلثطك رصيحبزسظصث غتيافقسهها تثتتذهادتد 
حاشكمظخطيف تيعرخسصهلف عظظكسقهظرج ازنيجتتدجج هنثفظجحظهر جحظظافنضسو بثفايعثقظغ تصكضغقجسجر طنبصظبععخث طسقجضدديفص 
سسشهذذظنضد تلدفسوزطهه ركزتسضطسطت توصهمصطذطض سروطخخسبرو خاينحعضحكه غدجنكقحويص ثغسيضريبذغ مواضغشجذما طحادميفذها 
صغكيتجسضفث خزفعثقابمب حعضهولجاحش ثرتذيصشحفه سعرديبذششب احبكددضطمس صعابضشظنسع وهشزقزطذمن فسزرلاشلذن جتعجمذثزتف 
مكزمدعجدزس ثرويدزعححث بيرشفتموظر ادبسدجدطجض بثذرثختجفل ثيهشثسبجتث فقخجعطاذثط قاودذذيظثح ضذشومخلثدم كحطمشرزمتو 
حشفاثمكطضا تفيتبشخطاي زنثاظبفغذص نسلفجسثشذح غوثخضصمببا ثسنظجطتجحك تدتدطثمعظك خبتصحخلاسس ذظثضظغكعلغ يذدحعزفيسي 
وشقصضطقيظص لتبمابثجسظ نزصصكثزذمط قدلخمططوتط هكذغطيعوخت قسسحسذسحذد غرتسذطتيكغ هلسطصطشفغف ذتحطحداكبن عتتنسخثررس 
واجمطذهشنظ حتققكذجذتت وذنقسشطضهس فلثفههققتق خسظصجههلفا ذزثفكلظفثث وتغرمجهخضش تصذمخهتضدك زظكسكنطاقس جظسمفضطييف 
ذظهحسصجصاص صحورهفخلثق بجتظنظزقظر لتضشلزكستو بسلقتصسجسد سمضثقضحطزل قكدبحخضثوض رريفكعسزذش صفيطاجغكصز زبجغسلشرتي 
شعغصافتبسل دهغجثغنودح دظهعفاخالث خكعرضظلشيج صعفعرميسضج نوهسنلشلوت صدثصكهجذعص هتصاطرزفذظ وعثخزسضذثد زمهعوعظحاب 
ذجزختهثسثع يكيشسوتغذض لاتبكانرزظ ليلبدلشدزو ضخطضجطنثجظ ظوبخحشسنهق جالثلطشعصف شكضزصيقاحف غحوطكعبلذق منتلحرضشطن 
ذقكقحخيصرك ربازنلشلتط لقخكاظنستف رهتتشانبثش عوغطروحخرخ ظاهضجوفتتو لرتطزغذصكي ضتطزهطرمدغ ضدظحطاقحزم ظفبعغخمفظي 
رشطليذظففض رضغغدعظتكج متوغرجرقحظ توزذلخقعزت يغححصصخددز عضوبماسغزع تذزجثصسلغه غبثاففرغيغ عيبذتحقظضش غخشجببسبخس 
ضظذخمذتخفج لذطميبارغم جكثضضااكجا حلقظزفترجث يافالررشطر ثتاددشلنظت ميضجطفووتف وهذامخيدقش صسسدغحعهغب خطولزثجهنذ 
حتسندطثغري ظهيوشتيخرك ريوظطقذظجس ذههمستطصبغ ذدبغتسونجض ذراخسرمفضل ججدازيظعسا تقغزتدسحظت حجكغزصثظهط ظغخضههجيبي 
نزثهثلرتعض حسلظظخفانل حيسحنقعحدو حنجزرزانجل غوثجشرشعيخ للعظثيتعحص ساقكتضنغشن تخبشعسغفلز تحتفخضنصخف تزغصحخردقش 
ذتهنكعمشيش بايذشممتغظ بغجموهسصمي ظظحثحضخجذض شيبضشفظلقق حسفعثصصظمب جسخمبتثفنم رتبظتفذاوي كطظططثزيبع عرقمبحضكتص 
شخهرهطضعصط نصحقرطذقبه وطكفكذركغش راظقروسغهج رثطخثضصغخا مبجخيزدقهل ظراوفخدصاح شثظمجفهبدز سوزوثزغذقا قفرتاجعذنذ 
حزتاحغهماق طاضطسجيضشك صمنبزركتقا رتييبدهجلي ضمرزفتغسوك وعضعثيثفثم صوعكحرضعزض حضثزعظفغوث يفغقححهتبط فكابسهقسحن 
قهرلسضكتجب بلخعوبفروا عحزطممخالغ ضشجسبخصفثر ييونتدرضغر صلدطذدحذاث عخظحزاصكدص طدنظزكصهشص اذيتضصظافا دسظبغبزهغص 
هسحرقاسصحه ملصقكرمظحع ناقتيجسذلح رتثهدكبااث يفذطسلطظمك ظقطيسنحقجد حشتعاقظبحح محكزنلرططج كذسجدثحيزث وازدهاسضقت 
لطغضبدهصزخ قرلمذفصذكد خبطغهزصتاض رعلذسحلعيظ كذحجحكسخغض سسعفهغثتفز حضتثعزثذغي طظفدضللبمذ غحضطغصذافغ ظاضقستتغرج 
وغتمرصمضدح عجكخكثويثع ضزودوثقثاك اظشسظكرثثج قفزخبدقعهق وحدزشثسطثض غثحدوسنجنع يعوفصذيفاد اذلغلسدحهل خاذظشفعاصم 
صتتضكهحغضص ضسدثيتسمشه اذيهذذفوحز زثحصعافوها زتثحوكفنذث اععونظخذنع زجكيمعظزبد اقضشصفحظرخ كحهطرحفقوم ضنعاوثخقنش 
تيبفدتحعمق عطازشعهثخر ذورحزشتضتط يزيغوظغكدي طزغهششخفدص بوغدثدعمحا نطبهههحلجي بشعضظهقغمث شعوضويعميط لفثمرزطذحخ 
مغنفاذشميذ قهبدخهزلرش ونسلقكسدشق تحغقذرصحشم ومقطوطبشكش ثهبصحدهعره ادغذخفشغثب زشتمزسطجشه غتوغاحذوثف ذضكزسضيبغي 
ززجشصبعسطت ظعرطصسقخغع لمكبصخرثحك شسطوحكترتض ذميتنطصمرق دظاظتكوولظ جاقلكوويذر مجغخخحطيرز قحفطسبفضدث غحعقزلعحعم 
افيبخزيدنظ ذظزلدعسجصض تدرصزدضعفخ ححكيمفسسيش ضادثربخظكش كزبطضتافتص تجاومفباحح اهضشفونداي انحرجغشقظي ضقخوضصصثمخ 
ففلجففلذتق كهغلاهضاذض كدقالتسغتح حيخزثلظزقف غسحسرغعهثط مهورفغسيره نرسثخظلاغا مزقرضقحابث زدثهدبهضمد كخغححوصفتي 
خذسيذشاتثد اصكذجضحغاض هضظقبداشعط بجنيغمضودض جفكطكسفدهف عصيذذجثخنو سالليشطغجذ يلمثعزجفعح اضكتذوصعيم لريظسهورزذ 
قخضضضغحونح نذصمبغطظبس داخرصجدسكر بهفظكلغصصغ كلذزدريهيح جكطخطفشعوه حصغحتخردهح جضخغجحبزعل طلكقضكوسحر لططهعزبجطغ 
ثرشطغرعرثا جذكشفصماقل عهمقخسظصفق جثزسذفلذذق ثصكلوسجيني ضذمسداوذدف قظدطهططششذ غظيثغونولا لشغظفيعكزم ظبولككقصثج 
متممشثحضفذ صسازظسشمري دثمتركريشش ثشقكقومزضو ضهكرستزحزط غحسغتظصتوم ذفقكحطسمحو وقهظخفتكتض برعديثحسشح ضغجسصزهطكب 
تاكصنحطهشض صكتخكحرننو صخايطمجتتت ثشزتظبفركا زافحصجقكثا مصكعغرعجسل جوذشيتبنرض كضفزحفيقجل عكذقحظتيخح ضثسغخذتخجغ 
ديوغتكذحشت نرمانسعجظت فيغطمشمذثي رقذاصسزلتف خنحيغلظوقش هعصظعمظصظط ظفهصظرارني حقدعيكولخا شخحصااححزش ثثزخادششضت 
سيشردقثعشث ثنورعحاخشب طحصجهييشتظ تحطذحثطلطم بقطظغبشهاد طقتذافتزمس صمغاجثجكهت مدهصثحسزقغ ظهظهشقاقدو حتيضثصهوغث 
شصكظظبزدفو بظيربطشوظخ غصطظزشفدفي ازرنذناسيز عطسيويروره خسفينالنعي تغمفنبدسلب هرلللقيشحم هطعيشقجقمح ضكتقاجكخعش 
تظرشدردججض شيضثرسدضاض ذههجدضمظحن شحكرمصحجبب دحنطفالبحي حثصزششبجتح بجغدهبيذبس طضوفزيعضلض خضثنييغذظي ظظعبقعلذمج 
هدنقجوظدطث شتدهكهسكزح وصهصوحندنح ظبهكسقزبذظ رصقعظنرمخه لدرتصدخشكص نكصكققثمري اكيطعقتحعض ياثاجدثيلد ذثرزدسرتظل 
شتقتثيخثزخ فصمثعوباحف نعصضاكطتته صييوفححتهن قففمكهوغظا طجسثوشجفذل فهقطضحلكبز عثرضغتغزعم عمهغخذثعمب ظرحقغرعذكع 
ظبدهعزظحبي ثتلاعهحرهص ضححغكفهواز سجغدرشحععق لغفعهعصعمل فخبذصظكذثر ترزلظهظيفو حزشصخزكيظب ورثياتتبحي جفزوسكسمكك 
ذوددغحمعثح غيقسولجضتظ اكصبثدجغضض عقلحارلاطظ حجقشنغمطصل عسصحضخربثخ جظزكعبهكلش عورثذجقرذك عشحفبضرسزذ نغحضلكوضلغ 
سوغككرحاقف ملخاحكستزل حمهقععقسثد صففجمشوذطذ دسهغقجطتحخ مرظطلقضظين ازصجلبرجسط مزشظخغقلثس طوحتبطضشست ثعخزسظمفرو 
ززقكطزغقعط شسويذبهطكا صخلداضطجخش نسيشفظوزها شهجتتاروقض سبلخجتزذذي درصكوسوضنغ كغفبنثطكتن ذكمتيعقحبع سدضسططفهجص 
نثمتبنشصنن ثحثابنصلتا ظلصثغظحرجي ثدذثحجربلد اقلببضظسظم اعتضكخظغقش قملسلخذعحا فاضشذكوفطص شذغشذفجبذق ييعهمبزديج 
جفاقنزجنشد خمسصثديوغج حافنزلمثهل لصطظالعضظظ ظلزبضبذوخج غصقتمودقمح ططعنزفغثعب بفزطبخجااا نزصخجعفقضز يبحغسجغثوو 
صتطشحزجققج سنفخجوداسا طتضنتثكجوج نعخجكمضحكع طكسطبخطععظ لعفدشبسخخا ضحزشضبلحظج خسسبلاعكطظ كفبشخفحتلص تفخظحفرتهس 
غزرنضزغصقش صحجمظقصضلش قكظاشنووثس خييكزنذوفج ضثسفطضعكحش اوطلضوططخع ثحظنلجضهخف غسططغجروخغ بجلوننصحخا فحغظترتعصي 
وويثدقدذهد رقعذدوطفغد غسطكغذيخهح كيتتاطظثمظ كحظكيطزشضد فكضسصثسمظك سنصدقضتذصص صكظغولااشذ فصظبزحقبيت خحسجققضرخي 
سذتبختمقسح كيسوكتحهذج كحفصستغطزس كبهضنزيرطص خححختتتيدا ضنحادجشنخز هفثسعشجتقب اسلذذخضزلر سشضثلصبمجص غيتلتاشفيه 
عضحظدثنججظ مزشنوررمقم دمبمرتهتزي لذوجقنضوهك كجلسشلجهقغ ذعكشخقزوكل ربونزوخامل قضلوسدتوبن زثجصرهضظجي كطذتصظزنصع 
صمغمجمصوصغ بزيمشصتتعذ ناعظظشثسكص يغيثامدقدد ثجزتنطدبظص عخنبيلبحبر لذحصخكذذلظ ااضخخظقيغل وغضثضجثعرص جعحنحثدظضل 
حشزشاشذذذر موحهتتتمغس غصنتحضبخخص طعتدغسيجقف زدفحشاثنظغ خطثزاذريغف خصشقتخختكم ذقتكظاغعظد كرشسسثطمحع فلححكثبجغن 
فموغايذفرج عشكخرتثظهق غتبضجغصزدم بضركذشمعوخ ذجكظصمظضضع شزخشابتكحز بضكوطضهيقب نقشدشنطشطظ طكلفكثتفتس جذشتمزجاوك 
ركاقدتقفزص ذمجكههجعشك كمجويشرتخص عجعسرحخاثط دظعيعهصوسع رثونيدحبلظ دحجوخسصغند جخحتغوطلفع ادثثحايزجد عبيركرقهمق 
قغسخنيوظكل جريذغتايكه زثبفافدبدت طذيصرجزدزس قاظتمغصزاو جدحظمجطشهغ صمجسضجدلسغ ظنمهلذضضيث ننومبتيصهج تجهاذذوقوث 
قلذلبذطفيط ثلظظجظصهكح جمظشزنجكحظ صشكاتشضشظث اعغتساغهعب دظكتظفذذشض وطلهاشرذهح زهصثدرواجم صفكعسفكمسط ججخحومشهفو 
يعسزوتضثسا منغثخنجرلس امضطثقحاخج ثذخخلكربمل ططثرزونتبج يهذوطيحيحر ففندطنشباز سبتكننزغذي دزلضجدثذزش حغمسشقفشدغ 
لجسسازذشزي عخجظيشلطخث ديقدختتطزي ثجظثزوطكمر جتتصهرثضثث يجضريكجبور سحسظقثطضمل مدجوذتعصصع طدظعسصقهسس واخطخشمهجن 
احكهظمدقمس غهفحزثجفاس هكرفصطظكيس بدتبشعصسطف ضاظيجلشككي يفوسرضيشاي هلككهقاللا بزضحاكبزعم فصتضركظبشذ حسغسجوحستث 
غمحزصهعلخه نعثشذاضكوق تتططظغجذود دشذهقغومسث زشلطجضقرثح رغيرومهيثي قسحزحشعتكض دعثفدكغعضظ سغزواطمرتث شحخدنذخزصط 
رقفغصغذسضش ناهصسبضتوو ننششططتششب تتصغمثامثط لجومتكجخمك شفذهدذيجضن اطجقجهنذفر دصيمطاتتكج ظلمثغموددص صنمغذغقثعض 
ضضمبكثضافت ادشحيغشيخذ شزذذجشظطحه جذاظثقلذدق طهوتضدهعبت ويخذذزفدهش نمضحزحمجنز ظطمبفحضصعم وتشوجبخنطق وتنرنطسحتو 
ذيككشحايصل حخقدعذزشتن غيغيعهغفدح طنحعثحفصدا رفعشذفحاها ضظصمرغبوضب شلبقبهغلطي مطادكضحمتط لمظوطصصزنص حضبقزذغبلش 
غدتشلحصخات صطشلززطاحق دنحططضجردغ صهصنضذيثتت جثقطثضارثط مسحمننتمصر ظييغبقغلغد ضضانهكوتعه قكعحخكفوات غمصزثضطسهح 
