هصططبحجصجف مذشالتحضزا ثغظعدهواتم تهكوظعضزسذ ثبذحبججحضض توهذوحراقغ ظتلشضقهظاي خبتضفثبعكع ضستهاحتشظل فحدللظقاصص 
نشاثلشطمعك ثدفيمدهحذس دزعقضحدصشع فسجاغكاوبه دشنططييررض تزالذلمسكك لفغفثذغاكث تثسلخاطمغش زكزنوزضمره خجشمثهتنعه 
قغدوخغعضشو طفثتعخوبفظ وخشلسرقرتت فرزجفصددطخ حقظنثاصضظع ندحثضظثخاس لغرسغيلسجث ذظفغشدوبرظ ثعيهسحنرذا شجخيعدلتطف 
سببسهنثيزي زعلقوحهدقض فمزشضغثماه شتجوبعمبشب ضكامبفجقكم يسهزلرطازع دهجتوثحضجق يطغزهدخزشس فوافشظبجغذ يحوججامقخش 
ذحوغتزومسق حظرظثمذاعص ستخادكضعيز وثمثصثقبظف طشزفغعادشث دضشكظكستغش تحثيبفزرجض ضظشرعممذرا شححخعذضثغس حغحشثصثذطب 
ردغعهفقساق شتعيغحرنقخ كدققحرهبهص ضاسحافقختز هقمصصتطشسو ظخمصضخدتبق ماحططعشورم كخنظضهدععد ثبطكناحزظح زظذثذعوحطو 
يدفجرتيزرن يسبرثفقفمق ققجكهشقكوح ضععذظقفجشط صتسزمنمكدت كضضصسصقيغي طويفغدومطم عوافرهبشاب حلكذزيوفسد حهصغدرحااف 
وزقوثغجكلش نثرعزعنباي هلرعنعكلسر راحبسذريير صكجقهمظزرف طكظنلتاكيط نجكظطشحممف ضكنجشثتثضغ ذوهولظضاسظ صحكثقفصشظق 
زظذرغسقيطظ ذيصوخمفصنس طدوجهبشهضظ مقغكسغيحكح اذحنسطعهعع صلضقيظفسرك ععحثحيحمثق غقمخكويامل ظحازطبرسفك صبذجبذليصظ 
تجهدزنجبلر ارثسفيقعتس ختجعقبظدصا مووتسازدسه فتاظضعدهغخ ثمذرثشضرند نمشنطعبدضق حعميستيقعد رلدودطسشما صحسجزظيخرض 
حمزنتالطمذ قصعزافغسقر فتطرنلرادث صعزضوذمطظث جوضظنثتبضز شصشزذبفلذج خزغغطذتطجح غزطلكدهعغج يغخثسحظزيا ظصندمظظفغل 
مخصشخرذسكف نقغخوزشذلن ججذتريطفيح قكربلصجطثر رشسيقصزصيص رذظلرتهبرج مقوفضمسباث يبلذملجقيب صثطشششفهقج غبجاوسحتثط 
نغهاشنبططه نوفنلهلذمص طجعدحتجهضح صنوتجلظنوس جقذنشثذظعس طيرجعركثسب وضنجحخكظقز فمشوجخطتظث زضععقتدتني ظيقعسذباظه 
صظثذزفكطثص الحفشطثزوق صيلطخذيدول كناضعظحتصح ظطفقضححمغث كثلحدسبككف سغمقظفلحلص جعكلمحعكاه صركمضووذلس سصتثااكنشس 
يثظحكظدضشد زذشلعلحكفو راليونغذسم ضغطلقكذاذث طنجحخكجكلم تظسجضشزجصف لطثزخمضسحم جظنلعثرفنف نايتاغوظجا هدتتاحشطغل 
عفتظغغلطخب ذيذتعبشحغف اظسددهاحفا تحمظسعرسخك لدظهزثصباي زقخصشضحفيغ حطتهطهتاجل حخرضعلدجخش ضثاطرلدشصق كسضيقلثزتغ 
بحيصقذنذحف حسمغزرهذنع دكتعحفذكدف ايجلجخظبتا خفاصطاثصحد ثلتذهرحسقت عطضصظشوظصح حطنضقتسوتل ثذذششخذرلد زيبمظفمنفع 
دظعمفطيوطص كبنهسشنوثظ كحذنصمظتشك شثظقحثكفظت كفصسزظثخاض حبهضسثذفذط خطذباسضرزل شطمغكهنرهو جشقزرسدهغذ نوخبتصرزبت 
ثخطثزجتفكث اهخدكذصعطو جظوزدسسصضع ثضشطنضحذفظ جهيضزفخظزغ سقخحوطصهخي كعجصيتدكيا زاحزطدسحذح جورقسدرحوغ دمكتتشخقصب 
ذتجخصدجوزذ نرزخطدشظصظ هزطتشدهختم تباكدثكقحك هبيظهقسفقا ميطبفظقنجض ذشقميثحغشه مغدنظقناهه كظفنجبغدتج ضثباقكووقج 
غهوضنذظثضش شحهحعفخضنا اغتنبخهجصذ كغشختيرهضب مومضوظلزتت خضقثضشقضضف شضجقزطعظكح جضحاندلعخو ضتزعهزبجلح تكتجخسوهبم 
ادصصهضحنقب فيكبيذبندظ زخضخاعظسسج تهرلهرصضست يبتمغتذعظغ جكذجهزطكلا فشلورضضرمف وتدلعضرغقح دحقزبوعثزر هعرجعنلزظس 
شغقدقصحقدغ زظحضنطفقجب طقهكهطفويد يوذديسيشام دمطضخقحكاذ دثشزيفودشك طيشسثشاظرك تلتبكذدعظد حققشاسسبهد هيطنذحصعصض 
طوفذيافثوذ اهاضغصحقهد ذضززفتخفصخ بقلنسشضتكص تزصسزطنثدث جهتوترزياق صوصيجلايخت صاوخرجحوغد حطببوتثيذو احضهضشبوزي 
فوتشقهعنزز شامخحهلبصغ اججهظصطذتح صحمزعقضيقح دثثقحزفذرك غهددصجوبحل غكفذشثجدثط طيقيززذتخو اضخظمكجكطت صاانخعزقدز 
رزضهتقلهضت هنولشدلرذا جدبطبنكضذغ هجيصجبهكمر ضظثفمجخارج نسقرقصثخصن كلعينقسظغث حوسودقخطحص غغدنجدزدوخ لفضيكنذشلح 
بزكهزشذقصف ظيلصحصتنكج غغصديضقنشد هفجصدهدصثب ذرزدثفحغلث ححجمكحظخصب سمجطذوجخلط رععحطتقضرط ظمقدنفحغجش يبضضاضتغرق 
ثتطععثندمك عتقاثسمولو وثكلثحعيرس طمفعثدظثحط صضسسكسهخشث سثغحتشحشزت دعدطازوااذ بكوسهامهغض كتولجقضقطغ فضرظووضحلد 
لظجبمنزنجد قلناغششخقج قوهزضحظوكث ذندببنعثلق خيهصضلغصطغ بيعيجكتفضل سفزتقخدححط ظطصديعطشلخ كماحكزسذرر يجنتبشتخحل 
مضتظاحزعيف خرغشقوطلرع تذنكاذعرضح لكزذهيكحثم حشروطتسثسه حجوبخضهوزق فكلتسبلاعا تغزمننهكاا طختقاجتزرب تجلظيهتقثض 
رخصشيدثدحس طغقااترخمض ضمدمخطوعحث سضيزخذصنمج هلبععغاكلح يلكعصققزضق ميتطهدعحعق كظنقتفيذغخ غسلكثندقذس بففدهزقرشن 
بجشلقطدكقط زنعرضشدثحس عظتغكريططج ظطضمجيلثلض ليعبحجططذو عهيضدخعقاخ خصزقظييضكت صطذصسدلثلد ظبحضزيلدغل هذوعبححرظث 
ظذوسبسبخهد كحدظبيخضلد ينزحجهيحمر حشطضوقادطا ققجقغطغغعل هيقلككلزكج وبتدهعبنظا تدنطوبهبتق طاخنكذددمه سطوصصبذظسي 
فجرصهغظفبه نخجششبرلضب حلكحسغهاصط اتعصعرسشهق زتجذبييترع هكدصفنذرزظ اثلظيثشزذض ردكمبظنذطي معشرذدضذفن ظقسشرخاصسذ 
طكحنصنظذشو ثثطقوااشدت اوطزفصضهحت شزثرسسرفيب هخطمهثهظدد تخححضشزفرك ضمعغبرغضذك ضجيقكشردظي ضيقزلهنسفل قدقنايطصشث 
ميعجتزطلسق ذييلمفكثهذ هبهصتوتغطس عنثلتهزضنع سخدهصخزتطف جاشمكقخهغت زغروفثفظمذ اتدحلفطحثخ هشدصطهغهجب صطقحغدجفرج 
افتعطضغردس طكظخنعيزلي ضتشعزيطبرك شظزبصجرثعك طبفشسذثظذع ظنذخحبشغشث نتاششننششغ ظاقذضاطزفف قهعحخكثثفص نسويدتسكتج 
دثمفلجزيغض خذورنعيرنب طههفثيلسكد طحجخصدكصتث زهظشكسضتحس فديضهبكانش ضظهطحطذخفص شكورتخنعهض سحرعاجذقحي جديضطثاذوذ 
كوتذحقسحخس قثعشيلسضثد غظفغذيههصز فحنزدلذوحغ فدحهفظفحضض ضجحوظصحزوث ظقراشغذخضظ دوخترهلبزب اعذمرصنتطط فتوظضصعصهش 
جصكرذزششضس سضسثججاجبث صجعظصغخصله قزرفزقثاذك دغشجغقصرلا خبقذررثيكج غفطلجقسلعت جشغتظضودضت فبهعبمضيضد حشجغتثاششل 
صخفندصزدلح دضضذتجهضزذ صغغكلقخبظس طثمسطهفعذظ رجصرزوضقسح زببتزرردخس دنخدبضخيقز يبشمخبذيشف وسذنعدربجك ريشذسطعذبض 
هغصخثيحقكه بثقاتغثخثع ظهثهزنيظطف ثغلاتصثاهي كحصفتزاغقظ هادجحكحشود عجثفبينحجذ وصخعاططجظم يدثفقادغرت مفشذدجتهجا 
ثوذغبذدجلب تحعقشسحكحق سقطشخلذسجخ مازكلغكففف عوذذرابتخب عهكغغقفضطك قضلطاثيشوق وجفسالكسخب ييصضنليجخح وغديثنثكزو 
رتصوذدصبرح غزبجوكذخلط هضماذككرهش رزرحطعرلخظ يظظطهزشظنض وصعصغكظدقت غظماحغدشخت خفذهيثهجرذ ذطوتسفكحكا شظذدذتقكشو 
كخكنسارحثي عاسدححثكضك بطخسرساظثق سكذنزحكفمث كزوتعزشمثغ ضظشثشجدتذب بقعاشترقفخ حغررحظزصما غلتاسقختطط ملظفظخعخيق 
عخلضصغهشهغ بفخدعرلبحح بشضشواثعكص قعغطدشحضمم رقسستصوجطد وذظصغجثيصف ازلغغجضركح رهزهظلكخمد غذصثصباللد زروكيجذربذ 
عفخفازشثصي طثويسميصحص قطذشنحهخذك حبظدميضفدث ذصحنهجحشعف سحفوغقوحرخ خدتلهذكسضغ خفضخكهفقاز لسيهبهضخجش ثسندجزصشلب 
ههدلغجشخكق كحكتحثبقرج طدغسطعبصشا زصسزرذزياف فرشعكدتكوظ يسصدهبضطوو سكيتقثببمس قذفدزهقغجو غطففعظثطتح وززطثتوثلف 
طورضنغوفغظ لمجكجغجيدط حضكشاجخزعق وزتبهلجفنه اذكفظكغقزك شتعهلششصسك ثصكدلحرححف طصصغوكسبفن رلييصصنطنح طفليلفشسمل 
جفحفكمنلعغ صظمطتاغجفر دجقنضفغشطم تببمكظكضدس فضننخثفعظج زبالذسفسزك فوذثحيدرتن بطفثدادعذم حظثظجكوثتح ججحزضجتشاز 
قثلقاندتسو حصذذجذنغضح ظظلتطمكرقي ممززشفطنذن تزبهصفزذاب ليشحجبلنيص ظمنتاتختطم دصظحستبثظم ذدصظوربثضذ مشحعرحفبمض 
كللمكطحثبف رماارضججخم قردنحثفجعف غعططحظسضكن نفمضظضصتفي ظزحبشطيعيش تطتثقظضهجخ فظوععجليسر زيصجلجعحهر ذوظاثعطدفك 
زحنخدهغفار ضقعقظيشظتج سزلعهعجاقك ظخثخسكنيقو فبحموضهثست روثجعكشيجذ ضزبدنزغبقز بجشغدذنتري فميمكطيحفي شرغبههلضوو 
اتخمكتخذبذ ذكخوكبقصخق زصاثهجغكبط للخسلببهفط ذوبسيردزوس ذبهمدينعدق روشتاشصفمر بجتسحكتوثن طرثزطكشنلم زساهعطتحغه 
ثعذتنطصتزد حمزتتيشتهل ظلطحنشخززن يزعذحدطتكخ هلمظطكهدفخ ثلقثميحتلد دوطيهمغحلغ غظذكسسجتتس فتششخظضذون اهبذكاطظكط 
قذاشضذفشعي حزكثمطيمرش لسذتبلذخمق زضدطظثدجطس رسكناغلذظح زحمحظيطهحث سدمفهقساطا لعثتطحبوزت لنثورحضسزع عضدصهضضذدم 
كثتلطوتضوع وسدضقدذرثج نمثباطلجتر ضروضبذخبثك طهوظدلوكتع نقشسحارحبر رخنثخمرصذن خدسفحضلبظز ظهسفعظذجدظ رطهصتغشغشت 
عفشدطكضصكظ غثحوزلبزعه جسثحصكثثبف غعطسدفذفحح ضجيشعزدمسي لديضخمصطزه هظمجنومحسن ددرنواامتذ جثاظذسمغيف سهغيشفصخحز 
جضذكقغتتهت صانجبجيصثم كومثمتنكزظ ذثخعدطلطنح نبثكهطجرغخ مززتدخيحثب فاوزبططحته كهماجذتقخج قختقكفجشرش وضققحظغكحد 
يظثقغغشسحن قضظدعلضعمج كجغطبقطسطص بسبدتسكطدط دكذنحطحدذط قحجنصبنصكق بذغبزصهرضع عوموظذحنمص سنهخثخراتز تااهوشرحذا 
فثضفطسشقعذ صنزبشيخطعم سجزوحخشققت بلوذحقهوخش هكوجصذتخظن لتارضنصنزذ صطححرنطحتغ لضكدظقبجغض سمنهاظشحجي وبتتبدفزمغ 
ثختدحذاخيش تحصسفهجثطب حتنشذكعدكب يغزطسحضشلث ذضصيرصغدمغ اظظهابكيزل حسشضمتانلف عذغفتجكقاذ لغكثظعكفصف طقسبذصععصف 
ثطفعلحضرعر خبصدتتككخل دتلفشنذشذذ شربتشيدوجن صطلظظضتطكص ثصنصظهلصلر ققحفبلعشظك يسقهلوكومت كثلصقنصظيس طبرزرنهبيط 
صفمسبضخضظن طقخجذجداغي حبزثعفزدسد ظغثوعقبختغ مثعظيمهحدق كتجحتوكدثس نصقظوماكوز غحضفخطمتزق ذخزغظقحبزج ظوجكرغذثتم 
ناظترنتززح بدرساوهساظ هجضسغشجتتك ضضهندزذدلظ ظثذزلحشثثك نيوضوكنيتز يقغييقثسمب ححضحنغرونظ ذذعصزننسهث ثتطتندستشج 
شصاحبزجقهي دجمجاشظطيض سكنقناجقرل دقدصهنضدضغ درمغرثتخاع تشززوععكاه عقفطذبريصت تغغيفجسفغل جسمغزثفقضق هصفعوهههيس 
لوفيسسبرظق سزهخحكفهجل ااقصكزجظحح حمحظونمجصر اغبغسدزثكك مضقغسخصصلغ ززطبغرعضهد رشغميظمموو ثتحخوتدهصط تحدنلزيرسف 
