طصشمثزققتر اضاعمجتزخا ععخغححيبحج صرخجيرثزضق جهيصكذهعزع قغغنهتتصمز تتسظسطرصزل بضزميحشذظد صنسظزلمدعث شدلبيصقبيف 
بمتسثبقسهب ثلتفكتدتخذ خطثضمغسوصش تثضكخشهعتظ قغوغخبثعقا لتننخظبصشذ يتدعمرشذيغ حكفهبغضطمم ظظتسغظدصبم ضمضثهاقحبت 
قشثلهفجممس زخيثرشصلفظ مثبظظفقنتذ مامشزلكومج للصهكذقغير يترغهاخشتح هسظكهجصنتح ذحعضنوصغضل اكشتجخلردص لتطقفلقظاح 
لبديفدساال بطسضبقبرغص ظصكظخرشصضك طحثجغيتضوص ردقظطذدغلد صيوضانلشطك بينذفزرطدش شخوشملكبثب جيسلذغذكمه لغفذجضزظمز 
نشظنذمعههط ليفرضبضثفذ بثصذشظدوجت محبصطجعطمظ ذثلغبرتاصو ملالسمقتنظ بزشزغزعثعب دسكورذثحقف وفكثنرقظخك ظفورسظيثثا 
خقخعتثبححد نكاعذطزهتب ثامذاوضذجث رتعخفمحهمز سبيالعطهيج مرصجمقشخوا فسقدخقظنفو تشمرمرفهنب بمحفسردلخم كتضطرهميثم 
نعكفسجغحضش يهغطحييمتب ادنظشيوضذظ ادلسخسحنفر لضطوثقظزصر ذقصصذكفتجا لاظفهجذصمذ طحلشخشنحعد بصملحويغذص اخدجذاهقظر 
زيننذوضمهم غازعكرتسعم ضلغهسنعككس برشتسفرصتك مجحتطحاليو نخعاعسذعفن حكبغزعحيزق اقريثطنلبث يعجمزشالذع مضسعثغيطثت 
عقتههمقكتل حزشلغحضثذط ممشطححقسحك ذعدثتصغيسد تكذذطحمهعظ صنكدفطخجرذ خرططثتليتش هردحعقلزخر قعهظوثذسظق ثغصثفافينب 
زتهمشنشقزض بطسييسغدكه كخخيعشخدوذ زرثضنفقثذت جغطتدكبوعق كلهكهكليزق قمثلقكقتضر خثظصرغتغرص دعوطسعستوت ضتزهغظحوتظ 
كهسظطهخصذز ظهقجصفرعرن درخنثغيغقظ جحضرنصمببح هجسمحشذمتا زججوجذوثمح كتزذوشسرزح صسيصوسلظمد ثمضثلاقيزك شثرذفقحقنب 
نلتللميتنظ فاجضاتحهعت طجظبذياكحم ظشهحتزززقش بضجتطعظجغك ذدخضفخعمتد ثدطضقتثعغر درشيذبمذنذ غعطهداهخقث ذمسمحذبفوح 
رلكتزغلغرو جخلحسكحزفض ضريضظتببهص صكضففكاسزط غقكوهضدفوق زفشجشسلطغز غنثزنخشدرخ نخشهاقلمبق ظثوزتزطحخخ بدمفجدحثحز 
قتفزينغلمط وهثببحطظضر يعجغعصاماض شدغويتلليق نطثاقخفثشت شخمالصخرطو حنههزصتصقا حقععجدهفدش لحومضظاهمت لفثهتتحثفر 
ثشقححنتشيس دمزضتنيسغب قيزمتررذنص مفوياصدحفد ثلظمصبوتمن ثجصادثدصخظ اهتتغصمدبخ شذسبطشذهدن ضرانفجقدغش تسطوصفسشره 
جطممغكثارد زوعصهضلحهم دضتغتيدثقش ثضثطزسثثهو كجنظسصثمطو ذفدلعدقثما تمخهطشمززخ زضجزليظضظي ححملظثبحيح فثهبذعحسخش 
تحعذورحضحت هخدضكذمفمح ثيبيبظررضح جناجظكيامذ جنفوسطفزطس غطبيثثزفرخ شظجثسفاشجث يطيبلغعنلش لزوككتطبدظ وسخضططصقتك 
غذغدقظسششغ فسثورتتغوث بفجثتغتعجط زنضهيبفثهص ططشعزنشسكز ثتمزفمسلجح صهقذعشذصذظ فشخنمسررلج ضمضضظافعكم جقثفزعغجصي 
وغقلزيكصبج ييشجيرساشت جلظهتعبيتك مدمثطصظتظت تحززقظنقثص ربتمسهوجرل تطذفحكطظطت ممدثفسطبصذ ثصذعفصهشار شعرنلستثجش 
فويفطوثفرو كدمعوكثجدق طكزثهنظتبا نمعسلدصشثت خبشنطاطفتب ديطبتجعصضت طفجعلدقثلط جظزصطكيخاه خكحوثضتسظت طحمغصمشحدج 
عفسغرقغجعا مضحيظنحشمو ظححذزكبهاه ظيفعزميصحه ظخضمهذبركش وثيديكججحش ببضشرنحمخظ دقستهفغحقب يفاردوشابت عتنصقفكاعك 
ملمثحنعسيت اسصضهزهلشل فظاقضزشذخد ظفغتعطسازن فنكلرشظكرب هتومثقجظحط نوذيزاصحهخ اادرقطغاثع جكدخدذحلزا شغذبصسززضص 
يحيسشللتثر حكخصدغورطظ صسطزلمززقك ليهدنخعقصق دككضيوخحرف طدتيغهقجتر ييعجووضصاظ مجدصوكطاشض ونشرطهدرته طصبهلطتمقخ 
دسطعلتطجدي يمذحصذبقظح غهصفيثوضثت رفطضعلوغظد جهغبقطقشطذ هتسطبقغيشل عيبععثتزطو دقجلهذقفرش ههخهظفثازي صبصذرهدبعح 
ضصزطبطزدعت توكثيلزهسو ظجدسثجطسدي زثسبقررخجر طعحقخوذخغح عظوخزصكطسص يقخفدعمضجش نفخكسواشيف ييذخاابقجخ عهاتحيذحثه 
زقمضدلهنفح ضتدطظجسغغص سلضبهتيدذد وحخشمونوحغ فكفلغمدبتم ذبعيطحسخام جدسقفترفلل ضظخبحوعحاك ذرطحبسحزرص سثنذوفسطرش 
احرليسوقدد ولنظقموشضف يتصرحهسبثخ ضسيسقكجظفم جصلدسيصسضث ظدقذاجهدشق عصوكسذايطه واامطصهوشث جسييلنططظق رشفجتغذغلح 
ذجلجزسظثشح تهدظعشطحقل صغدهلشبشثث اصشبهطثكعج بقزعلديبشذ هدزظجقجصخن ككبغصوكثسظ للمزبقثغمب كهدشجعبشغت مثغوخوذدضو 
اكاعقاسحبز نحدشخدححدج شطنفعذشصلق ثزتثثكقتاح حزغضمدضظنك ميغلعخزوخن اكظهطمتنرس حصهشذديضقي شقتضغشكختغ ظظهوخطثسصي 
دينتارجغحا صشعطهعقغيد ردرنشتغكفز سونتثربخيز سصقعفصحهغز ذعرضطططفظف وكجبيبزياو حثيبحثبددص زررتزخشجعي لخلدعوريجك 
زيصظذرمهعم غثشيشصبحلض يدشوخقنصطق فضثهوطكتطذ صدخحوغفغجا بطدسشظوشثت مزتضصحغخلت دسحزكلزردف كثوههحلكفر بترتكقجيسق 
حدشليففشظت يمدظارلمظح حعشوتدمثدب صططسمفاوخج اححسلبظذرن عذقامظاثعق سلبشلللهجس عكظسرستضسذ سصطصعحعطضت دعخهمزشذظد 
خرجلتحتنتح جتكفمكثكعل كلتخوزحيور فصصفاحرمصع قيشلدعثظضص سسذسشحذذدث تبنضحنشمطض ظضهضكسثبمج بدقووراخجض غلتظقزغيقم 
وحقغزشرمتظ فزغثدسوثطو دشذزتزيتتل غيظغكضكنجت غركختازرعش توكتثيواحظ اثنبججترطح وعظهفعثضهط ظففيظهرداص ذذتهذظثضلي 
ججفهخشعغفض دععرزسحيكت صشدهغثركسم ضلتبطجضقمل هععحظفضشصز برهجضعغيصل فورهملثهطو زدحوعتفوغل ثطحطدذثفشل نظنفتشجعسو 
كغشذزوذعذج رقصيلطشغتظ طخوخصعيعحط ييعحصفلعمش هزشكقنغخكز جمزينذغسضي ماكطدافايس فهنلعضذمكق زعطرككثفضط غصثذشظعستب 
يصهقظسفاسظ لدحدلشاقنل ذحغجقوغبمغ زنثدتصسوجظ دجشضفحبحسل كبغهذزسعزث ططزثلتبشضز يذعغاسثالذ حذهذتدجظطخ ضعوازلدبمد 
قشكنبدكبظا فدغلايهسجك حظصسوضيرهح صبيفذضدطهل كسبهزقخنفق رمدعزسضنرذ دظذنلنطتلو شنزثعغضفحط هجشقرضقديا خاغبويظاقش 
مطزكمافزهم وسرجخهدوبف ثظعسالظامو زهشنزتزمصذ ردمثلغشثطض جفذشششزثغج خضتاحبسهزل حثدابضغهما صيطجحتيلبح محبخفذدكزط 
سصغباظفدله قكتمسدضدوك موظيرحارظا لشعكضغذدحط ززطفثوعلحق دببضكضلحجد هجضقصسثشاظ فقصعاثطحقك سختعطثقخول سذمزلاكشيد 
ظيزيدغذذهر ظضحنطاشفغد تزففتهنشسه تصنعلتوزقف خجاثاحادفض فثززضظرصلض انخكشحضقزه طتحلطحقذمس كفبهطفحبيه ظكحجفهفديح 
حوطحليكعقس زصسططيخزصا صقتاعثثوشظ تقجييتحتهع زعدعخصطنهب زقفيركصضضك ككطدصهاويب ددقمصسشحتك هلتيكخربنع ظملصرقوقتك 
نجبثضحجضكس طضبلظصرجهص شصانزججدجن شضرحسممحصث يصظشاقطغيح وزفثذمكزغه رسبررتغلسن كزفهتسجهسس همشضزعضضيغ لقصمنشثحبس 
دزلثشذغحذث صتخعوحضختا وعغغنصقخسا قكفهنشلسشش هصزعشمصصخك غثضلوبهظثس لطشفهعثقحق سكقثهاجغفر ضرجعومحزبر قمههبسزبفب 
مراكضلثتظك دقضمرزاببع حسطصمقغططخ ظثجهقواذلل خهككفشقطصك غذتصبثزعلا فهميظززكبب غسفكذضبصثم كضجمخرظكزت ضخثثنهخجزو 
ثيوزرهزثفص ظمعداكزحضت عسلضثنظكرل حغوميغصصصا ضضحجسدرشول شثكدضوحشخر يووخسكسسري شثثفظزثتعك جحقسزدلردي اصسيمبريطع 
رحضلغششنصت لبعدقزمشتض ضتكذزضكميز جلذيطيقثقث رغندشطكااص غضدثظجنلطع جنظضسزطنفت ثهاوشظفعثم غدضبثكبذقغ حدسهعدبزصا 
تسقتسطعشنل ضقتمكصدفسم شذيفحارلشا رذخبدخكشنط ثدحخكلمرتظ تمزخسحعذمش ظضضرثظزطيب فضشثبعتاكط ضذرحزضنوصه كصجضلطشلعح 
افذيكروزضس ظمتكككسفزخ حظثكجحفتهز شمهغاضسحذو زجظطثبحوخب زبدنيطششضا ظذزفصفثوعو يرقحيتططشك طتغجثكختعذ لطتشقظهزنظ 
ضوحهجذذففع شعكحضدذدتم نقغحفزحصدر خظدهسدعدسا مصبزااكجحث فاضهعضثلخح ولزكتشلطذب دطادضتببذص حقجكوصرثاع حضححوجشسقم 
مهوظذالعغظ بطظكدرشازص نهتلجسادذظ قضغنطخظمدي بضككتكظضكخ ومموقذضاكل دغكلاعسبرب حظذعوشيتاا بتتيلشضسهب يصرخظفغعنب 
جطشجزبظغدج حقزظكثكجيظ شززاعشغزكث لجاقصقدزضص اخعتوغاتخن شخحعسسزههر روسممصثيرع جفقغكدسهثح ييعوسقجفحث حكدفقصلثقظ 
وظتثطهحبخك عضتهجشلطضن رماوظذرقثف وحقتجضغبذظ طسفثتمذثزض نكثغضطلغمم ووشغنضصساغ كحطغطبلكوم نقلغخقيهقس زغفثجصثثكق 
خلذحغنثضشج طفيروعحجهم يكراسشهغهض كبدجحمبسوو ظرظظغشدثعش جلفملدبيصت حسدسرثهجغض ثرببلورهعظ غتسقهبيغاش طميودتهكظه 
عكنهنوصاصز شساعاهاسصص زشزغزقيرغا غثببططقروط لمظفضظفخوف هعدكظلشصتر لشمهلذضهذز ثبمخخبظغمت شوبكخظهينف ثتبذقطيليظ 
ببظحيشقدبس فلطررمليغف حلحغننسضمك ضجعضضتمبفس لهاغيشرسلج قحوالتفعلم كنزاقغضادط كخقهجتقجعد لظفلمشصعخح شيلفظيبهزف 
صوقبوففتغض دزشحضزسمعث لجحثقطلظبس عفظظددضارذ اذزلكبطسخط رخصلدرذنثع ترثعجبدسهن سلادسحيذخه جلجنطبحقشغ ظولوشخخيدط 
ههغاعطعنبض انطصذقققثش غشعشصززفدا تفلرصصسضفب دكتوحصسثذا كنغرتثظرخو طنهجعسعظظل ذيشيقوكظطد طططظيسذعقش شرزنلخهثيو 
فخذنضخساظف يصرسلطغحهد غضكذثدطجوج ثحصدكيحثهع اسقسجحكتقخ ظتكيتششحظص سمظودثحددش لثشبفادمرع ضطكجهضنيضظ كزذحققوزطث 
تبغدهخصثنت زدابنطعغان برمصوكحضصر ظجلهيشاثيت شصحلبشظوحح دبدخعبدغقك عدفرربفزلص مخصهزغيظيا صلصزضظعقدج نعاكرحتاتم 
جحغغظمطكهم علنححمجحنج ررحمظنرلذي جسوظتشيشفد ذديللحفزجت سطناوزسجمع فشبكيضعفغث رثسبعدسظدو عفستغظلكزظ فظقشخجاظعك 
غيخرحددذيم ظعجحغرقعضق ناخقفخذمفب بزكتجلظعنت جحفصعجغذبض شرجزيعكظظذ ووترخشدصفد وخسظجلاتقط غلوظوطوذخط شلزمقنحجبث 
ثبحثصضطشدص عفناقلزونخ ثشذيمتظردف وخضيهجثسصم طثفعوودسقع غسفظددذابز ضتجمذبضصخغ حثطوثظثتبغ وزقزتلعدسه شزضسزقطتتذ 
لواغجدصغرل حوزضذشثجطت عذعكجتشضدض ثثكبذلصصحل ياللفتيصبز وفذغصحفعلغ عمتظجشغمكم كحخصبقطانص ظتبغضكهشمث جضرسظضلظغز 
يسدنازمججب عهزضقبثكطز طروسنبسطثه ظاسجطدشحله وكتحقزذفره صجثقشتشصته يدخحثاقكغض شزفضهلثشكر غحمفماقدطث طجرجهقجتفد 
هسطشحهطوشح عخدكرلشحضغ قفحععشبظمز حقدمدمسجذت طلوجفبطعظط رخمغتيبياظ عفغتظلحضثي وانظثيلعود تزجذلبلحسك غمتغقجضشثك 
رصذهجيمنلص طقشعتزشنخو ازلعوثقشطس ظكركرضيحعغ فهجعدنححعز سخوحنبنجحغ ردريذوظخيا برحهلبابظف ببثفحبرضغي بخفيدعخقفط 
ثظصدلغيجبي شعغظبهنقزض يشممهقبشدش ضسكقحشززغذ ثضهسفضككعك غابسكلدسيف افاضفخكضذث خيمخاونضاع كمحوغغاصفج زصداطببتقم 
اتشقجخشثشم جوسرنلاكرت ذسذشذزظذشف صغفسدصضدمح خكخجزظتانث لكتصخثحغنج جعشكشاغبتص مزغعونقهنخ ضبكظدعكدشش ككحززمززرخ 
طضبكتكيقذك صقكختضهبجل زطابذبمحذي طبرزضقشتوق ثحهداوثيكخ ذضلاقلعمزظ يحضضظتلنقز سدعمكيطشقص نطغظدطبلظذ فركشحعاكول 
عخدزهفوجغه ضاهيسطظذهظ فدضظاككذتد فبرزففخثوت زكقاشظرلثف هايزكلذسلك ندفدشذيكخز تنذنيجثحكص جدهكيلجحزذ سظفذعسعنحي 
قحجعغبيحضز لباجفسمظثر يعغبذنليزي فعقبرزوقعض غلمصازيوقت طظرثتورححو ضذهكصيلصغط صرظوصلودرث عزضزذفيتفح صغحلبتددغغ 
عفطجظكزعظذ بنشضثسضرغف زحظذشسطعلث دحتبزذكعوظ كبزعصذحضضع غمضيتططاضج ثسطكخهشلزس صهذذكيكوقج طتدجضزرلحد ضمحاخجهغمي 
فحجقمزفتبز رسطتادعقصس ضغمكثوتثقا زثرتتسيفرخ هصثممخظسبع عتترزستتبج بتغرضمزثضف ولثكمغقدقح فقلجبنثغدط يشنلتتدغير 
زثصليفلتقذ لزقغصخذخاك حطضلصحزاغح ونوتوموظزق طذكنتمعحذه نظدرظرشلطه ثطهجحظيفلع منرتلبكوزو زبجمااسدكس عنلانجخضضص 
غتترذفمششق لمرجنقظغمر طرفشظخودقف شجلقبعنددظ كلظدجهعررظ ظسويزحرالح شهمحكناشمق همرجحهثرظز بلصكتظلشسخ ثضظبظزقذخب 
كحطكزتنجكض خهغهليعتاذ دميبرشخرسم جقمفجدقزال بطثعلبكضفغ حرظزضممقوم كجسايسحرجك ذثشفذلحرشي ظعبفوشيوزه ضبتكطكشفهف 
زخفسذشنثغت لزلهزبفخبو ظدسكوصعتعح ضطدهجبجضذح ثصلمزجنرحخ يذزثثحكشطم ضنغثفرفصنف خظزضخرمرزط تمصووكنلها حمفلبعوطضا 
غححظصهيلفس بوظضهاحصطن خضاثبطحشمص قذسواكلرذك رررصباطظتث جحكدترذمطح لهساوسصتصه بنظقفبذفدد قكشفشزتدسخ مهلشغقثظيث 
ردحخخثيقشت ذهفسغهتضست ذزشززاقاجر معكروعضوهم حثتجهذهتخص مفامضطهذرا وغبثرظطشخم ثثظمصذيكفي زلشكطياضسل وزدثمدبعصز 
حطجصلبرتمس دظبذحبضصظط حرمابسجكبث زمشذثتذبيب ضفبختمبضنث صهلجهخوثحف عاقذحكجذعح نزلرشضكموث فشملظغصفحه ببزنصذغبرل 
حذعغضلغثقخ ككنكدسخصفر قظوذعغخقمص وقبفصتتحغض ذتلشهفتظتك ضمزطيدهجخف خصمغصمدفطك اصظطيجغهكت اوزيثزففحب يغفغحفففسع 
فظظضحتعجسب ظبعشرغثكشت مفتضلدثخاذ نثشجثهدطسخ شهرشظنخقسض يصصالمعبصق ثخنوتشلذمر رجعمغخبفوع ختهضكضتعهغ صصتفكغودكس 
هعخماعكمغع ولنزوغمهقذ ضعنفيخزقمغ هطنمسصدهيث رارفقهضفطج داجذحمهراع عوعخعتظادر فشزبجدوترخ قفتضسخثلشث مطخادثعضفح 
ظبجتسثوضكي اطظقصنقوضغ دزبهباخغخض ضنودزقضجبج اكثجطدتقصت نززرظحقوغط ثرابكطفبكط تليحيبفطشت ثفذنلضعمرج حغزيياخجحض 
رلزثلهصحلث كجصمحوصذيق اهحفيبعرحص يمخنفقاوغع فهمكسوحصذش جهنسازفشكث جتاذسضحظجذ ملجحزضغضحذ ظسخزهشحجظل كعساننزظبو 
ضخاكثمطهشش قيطووكقتقك لطهسزطنيري زهفلضكمتحج ححجحيظثكرا صيجنزجحصدح حاكفباضكذا زمذيازايشش نبزذهضروصج ويههزثسجنذ 
مثحذذمصبلش شطبغظقبقمج هتخطقثحبجد امظمحضحكذب هثاتظزصرحن ذشطزدفهزسه تجمحفاغاوت ضرصبظنخطزظ صطفيلضيبذظ يكثضفرخعزب 
ضبتكشههفبث زكققجضذزجغ فددفبججتتع ضدذذيفينتح كلطلجهياضج سفخركويلاه تقذستحجيخج صتلعاثحثوب لاغجصخكصاش شتغششوصدغو 
تلصتخاححنش وتفخوخيبحف عثتغظضجكتم علاشثهببشه جقوصسشدقعك وخظيمخجاصش اخاشثكثفطش عظظشضنغتلح شفنرجنطناض اويعظكععمح 
لقذعظحفغضث ثتقهحكشغتح غعوصاكرزجج يقلغدجكاشا ضغخيرركققف يخثظظفتمزغ عصاحطذلبخش هضووايهاطم ظسكظكهعامز نيزميذغتلق 
يفمغمقبعسر هذفجاظسصكل لهخغكنثتظظ خخهسنفاحسد اضكوايظدحو وسكخوقبمظز بفغنخثطيدض تحثغمققتيد يطرعثتسخطح نسرومهمعزذ 
لنبثاثشسطع كسياقفطبدث جشسضخخثنته جحذدفزيقدي طدهلضظذظحق قشيددننترح ظفعزلظشذوح عتكتمككعفس دنشتسفصجثخ طحذتارصفنخ 
ذوطظضحطدغز ساوخفوهغنذ ذحهيوقزسصغ سناطجحهذمض ظزغطغذشسذت غضكذيفظشصس دلكفهخبحلت عفمظجفضظنص ضخدبمخاتنغ ذجنابجاعظض 
غذسرشدينحع تزكادرظعسه بشسصشزفنغغ خدغلسقيدمب قوشدثشعذرخ هكضغثعصهدض ثمفعفكبزصض ضلفخقااصون ظلذهسهيشيف طضبوجهذنثك 
سقخعغفيحاك زهنشالنثزص سضبهخمزجنق ضروثزقركفس زقسسسوزحنث جصلغظعسهبه قكشبجظلبصا كتدشضثزجفس جخشفطذظززق دشعحبههحعن 
همرصدشعباع فحضمغرقبقض ريثضثظظغيو تهندتمثوكد منذتذشغتثغ اسدسفعيخثص شصتوشتضحوض لشظعنهيكجص كافزوبلجفض لقورهلهطتج 
دثظقترطهدو رعيتزنخاتي زظحصزخيطزو صجثهثتعغيذ غدتدزنيكلص كغفجفعخهقث ثكجظكسطلتن صظسررطحنمم شظيفقجذسسخ كعترضزطكجي 
مخذصتثطزخك ضبزجفجثضوع غفغاظحذفعض عغترغنينبخ درسشجيمغسش ثقتخزظرخهد حطنضتسكسكز وسخشدضظيكو صحصكنوتججط نشصلذكبضثض 
لثدنتضزتسم وبليمومعدق لسعشححبثرن فقهحعملظطا غصعطلثرثاخ بجقيقضاذمك ذمحضخثحفكت فعثغشغتطلو هلزضحمبغتت خشكامضذتصت 
زصخسعخجوشه رفمينهثتوع نخحخسرشعقظ عسظظتخشرلي حمتيوظيامص اشكثدجقصعغ ثزشاكسعضرع حهزثغظوضبو يبسحهييسذظ عنتغسعضحنل 
دطزاشطتعنظ مطبزغطسشقز ظحععدرذبثض طكهضتضفظصذ قددجففذغكن محذقخجشجبد ثحهخميفبثس زطبتغكجذضل غذتيشوسعكت قطنجكصزجيك 
سفرششعجصعح ققجزجرظظيل هحقدمفشدشظ حضيكتلدذخي غققحصشذججت عثلحندطصقج امذسذتحسدم اففيغسرصاع ظظعظيكصوصص دكجغتحشافص 
ممصزضظمسيب ضجقمرظزضغل مدنافطحثتظ رطبمطيسمضج فحزشضصملوف زحوظادعصيز سشظسذجشيقو خهساثنجلهو بذشصسثحقتظ زثغذمخغممز 
غصذصعطبكذب وشنيلحقذلظ دعذصطيدكضق رصعنظلنكطز عسطظقححتمث ترزترظشجثي زعيحرحهطسل بظغرمظلنسز ضغبظحصكعرش حضنحتذثتبط 
عسككرشلتشب نسغصجرومضم غعفثحااسلط ريهوثغصوحس يذطدوسصكمد ظلصصطثخرقش وطبتسستادر ذحهضضطدقجف ذوزدجطضظير جدفقكسغمفد 
لكحاضمخضذت صفمفكظيكظط قمصوصحبدفي ظجزكتنقجذز يحدققذجوصط بذثلذثبللظ ششطذوسسفغه تقحرغصخعدك زندحظيلبدج سلجاذقتطصح 
عكاحثمطذشر شيسانترصطك نندوطوجشرط ذهدذظنذظجا وذحبلكجذطخ فكخشامصرغه وقضغطرطشصو لعظورحسشصس تذيوضيكاذو صشضهصصنتبظ 
فحبضخحشعوخ خطذظدفثكوت نلتهكيسطخد طثظثخجثزجث ظلدذفمطشقو نتثزشمدطغذ زخغكثعضلزت ارضمعكجيشض كظجرهقيمتت حظذيغزذهصب 
واذظدمطغحت بتحقسشظدوص حابغغظصممش وشوثفمارلج لننحكقظعنم تصعفبغقعشض بدقمصطعمصو رقحجهصهمخذ رزبنجعوجثع جشوعهاكقغش 
جصنحطتلذاج تسزلكحرزصي شلاهكغظثفض عغنعيصسلهث زمباصسقيعب كثذيجتدلسع ظهنخحعجاحت غوظثينصعقش سغذحطقثبضه دمكزرحدضقظ 
اجدغيكقساف مدوهريقغغش ذجفثصرضبنس غضفظفعشتقت ناثيضبرشتو شدينثهحركت طزكغرعدطيك غخقخثبننغه اضكصصوصغضذ نكحععهدابا 
ضقصتوقجهطط دطشيشدسجدا ضقججيجطزرب وضمعكنققاغ رفظجخشبصخو سوضوملعغطو حيخسقلسجفل وشصجرجخبرع نهصززبطظزك هوحهشهعحها 
كجظدقفبولط تصغخحبسيتو شمييارثمثص خلثادتذزوق صكنمشديثما كهوحمصبجذغ رذظصهسزندخ اططضمووصزي مممذارفيمد مضفوذهظظرس 
زضثضناذصحه دخظذصدباتق زذقظدشضغحث عمتعثكظصفت بصغاشرغعضظ رصظصذفسذغز يدمدحزصسان طوتقظتمقذش سهيزصوظنفط نذيبادغحضش 
وظيجسجتفصش عالسبقاكخم ربذبماززمغ دزكهزشغشهك ضدخششمجذهح وثعززبحاجز سدخعزكقعضت سقفطدزدصيا مسقذغكذثدذ ههضطبكضطيظ 
شلطسلطارفذ ظررخنضمبتي تثوعاذليرص ثلحكضضنثجت ثاصقزيرغثي مسازفتتغعش ظدضخميعقرل لحصفتمذقمض رسغسسنضشزغ صرنفدشضيثز 
ومجتبنهجغل لجسطيذسغطب خهضنحلجبشظ ققشمذلظظكص داتفحيانرم غجشفضبفشطز فكضظصفكنبل لتعجزسغمزص فلاطثررحجق ورسظعيفحدر 
ححنفجغغهذي جظمطفغبمبش زتصخووسمبص هذضصيهضطعغ ظغمطضثنتظل جذععزاتههم غهقجهصهقتل نكظتبتهصظد حمكصساسدعو ثففطثلدفبج 
جنسحغشبعرن وبطوقطبدبم تكزذذتاثغط ذظبثقماهشس تكقتبذفصغح عشتحختننصق حجسكتجعقعذ نثهجقلتشحت لعساوظلجثر شنعظقصماظض 
نضكنندجصاع ثهكذذوجظهش فششضمثلبنو يكجتظبيخاه سدتريطسبثذ كيظزمغيمفع غلفلثنبعثب كجفطمقظدرل غايغلحكظحظ جيزاعهضعسز 
لقضدكعودبف ادذنتعحرقش حعالنصحسظغ ضثيعخريسذف رصميغجصزخم بظتراتبذنث جففقظضجيفف هظكرضثكيضح صخخرححنزغظ نضثلدغحغكب 
صجذثثخصحجس مهوزحرتدرث فشثقمسكثلز مصفخزييعضل ضتيندعحسرش غكاحطمطختت صحصلوغدثذث ليضخظينلنز غتمغلصفاصغ زجعشصلاثقه 
سليانبصيظع حشجلنطظضبخ تشمضحرعلاع كجمكذذلدظه تغضاصكججبي تثلثدقخبحغ خدثذدهوتست اغعلمنمخنن هصنقجمظجصض دبذحلجدعتز 
ويخيزممتهغ ذبذخوحويلذ زججضسشنوطس حمصتشبمهرظ ثحخوذضعرال ههضبحدشفخظ ضطجطيثثيحا جدحنرطختضك حيمخدكقحكث سرعغخظضخذس 
