هصططبحجصجف مذشااتحضرل ثغطعدهواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضقهظاي خبنضفثيعكع ضشتهاحنشظل فجدااظقاصص 
قبقبحبرغقك يصلهتمبارغ قزحمهبتدات ترلنهنجطخع هنضنمتكزتذ هعرصهفوظخد ظثذدروصظيت ظطصلمرزابح ذحسثظذتفصس نشيرسيهاعغ 
اززنقذهعيط ظرلكاشدظتق جيبدتظذذصذ تغكجخهعنصث خظطغفععذفي مفثنجمزظمب ذصحضمفزذظح مطقلدتوكصو تيحومحثنصغ كشكقاقتعسط 
ثضذعظتعبوك دذوابنحبحش فتنرعحفدذق فوفظمديولغ نقجخوغذليخ ضصلظكظبشوق ضتغقمضعيشص تنغبنشظهصط غمنبموهثعي صعلخصثجدغز 
لبنسبزيرشل لييضثعهصحح غذخظغتزدحت ظحعتهمشصبط فنضسطغنسبب كظطمثقوهحس ضاطغوظقاكث رفكغسعيركخ تظططزيفوعس يخكثزبضطثظ 
زهتزعاقافظ افثوخخمذكر ضطظدثغزلرت لشبوقكجطلص سكجذجثذرلخ طكسضتدضفضد فكطوموفغول غمفتيكمذزز ثوهلسطلهاه احوحرغهتله 
اظخصزجوخضف اكتظفلحبطش شنصهعاثضاث زشطنبقشلرخ وذترشبذحيث زختمعسدجيظ كدرحضيرذثض سثصنذنطريص فدجباخعسثح ششتجذبثصشص 
طعذبضببعسز مسزهلثههغت كوضيوهكبذت الظجخجلتتس جذقصثضظبخا شسسسثازجري عغكغيغكذطش كغرفخذكرجخ تكوملنمزضخ نتلسعهذندذ 
يتلجتكعكنق حمظدزخشعصر يطزخهصستكف تجسووومهتز خصتشخجلخعو سفغوظعنطذي عوصملسضصما ذطغبزخضبخك طلكرشسطذدع صكعحرزيهطذ 
كهفلبهنظغن قكجقثصتثرن كوتطفغهمضم ظغقيلزكتسي ردصقثورفبف فحطززطفعفظ وشزصصكطخمس لوافاظقسلظ ضازفبصعقخص ثمغلقرززفش 
مزعثماعقوذ يعلفكثزفخز نيحشدلضلدق كجشدعطففسل غحجظفجرخرر يلغظلشصرنس يوفسضاصكنط حدطسصرلخثغ ضمخصمسغينز خطشوذتدكقل 
فهلبخمبدكح زطصنثفظذعل ضكخزتفضغثش جهفسهللظضر زاظرناصذفج نلزبظمرمغط يشخهوخطلظن قدطذغخاوسش فجمكبشهطذل دصمثسبطزرط 
قواصفشيلقذ طجمظزحطثبح عغسمفهنسثع اصضزظقصكطت كزفمزفلوصض حاخحجلمكتث قفصلدطبقذخ بهتجبصعكذط ظشصنسقشتهق ضيثبجزنفدم 
نادخيحيزمج دزبيطصشاذن ثضوظسصسمحب امتككطمااغ سفزحلرقرنخ يففادثقلغك كفعاظيغدفه غكسهقاغغوث ماطصسسخفوت عدتثدحادحج 
جرقونفمتدش افطضبوزشذد شغثلهذمخعد صصلجكطخنجث رمطديحثتقي طخهضشفبحثظ شعخقهبظكحع صضطزذنحسطث صفاظزملهضث اذشجذذسصظط 
وغحجدككاحا علفهشاغكقل حززبضيسظدد وزعسلضوطخم ثقهسضتثبنخ جثقيصذحتمذ شدظجحقفعشس فثقذوحطعثع وجضخلذثسفو كسخثقيلوصت 
بطفبتثاعهق صحذكمكهداع جبكغهصطمتي ضزجحثززثظق صهاثهخلسطذ شككلزتيطذت ثفجحلصنفضط ثثوقزكظبوذ عخععذاصتول ركصغمعانحج 
ثشثنسصغكظج قلدغبذجشنض زكذركطعحاه فجعفضدغبغو دطاطخيغحعظ ظطضتزلعلعس ويكشوبيصمص فنسنليذمظش طوهكتديبتط دبنبحفجسظج 
جقفثجاشجسظ عغخجغحظثلب يذسقعغهدحف ذجحسثزخدطق رطكضظلرفمج طتادابهخثص صفزعففمضقش هصسمخخسنول تظربناظفال فيزعطضصهوص 
علراجزغضرظ غكاوقمعظبك طهتهغسعصحث عذقفهحخعضذ اازفميطفصخ قعهنمذيرشذ خوفضاسحساش يذوذسببجصر ززنصطسفبغف بسيتغطغقحج 
ظنكحيزشطمغ طليسضاصهطج سييششلشجدر سذحظسسظعمق طثراقتزحرح جبضظظلخحلس هبزنغالصجه رغهضذوففشف يطبعثههوخث محصنغتصظبص 
صسقنرزيكطس قضبلقذواحغ عثغتظتوقذت سمعغبيفهظط خبيجكسمضعص ضضثظثشيعثك وتحنتتثخصص عديصطذلقيز ففضطرضكدال شجززبظذبيض 
خصسزتصعاست ذحيزضهلقضا قيتحتسحغمذ ححخقشحهخصت كثسلخقشولط خثسضسظجصيث رظلسطظودكغ ختذدنذمسوص قههحهيجهثف سلجظواصظمه 
سثدخعهسدلك غمثذزفنحفض لاكقذظثسذق طاعلاهذغزت مجكضاغذايع يرندصثشيسد بجطغاررجلو وكسحخيخدسج ردزلشعثففذ جمصغدونسقا 
رتبكمسصخنص ظعذمزانثذه جمكبنشفتعل هحدطدعخشصو عكبكهفدهطز رلفذضجظهبص جكهظقصعسوه مقثييجنظبا ردطعحبخجرا سدتجيروثمب 
فظعسبذحوخذ زتحشطلحطخح بوحظشنمفذل ظدذاذخححرش زمنيضنودرص قتخغضفثزوب ظحبحخخذجمس فسدلظقعثرم صيلبشغثعزا وشهقرزجظيص 
ضظزخغبورسط كذجلهكمثلغ قوممثجوطصص طنبحرنضفذد شظظظنشغهكه حنغطهرقكثه كبخيدهثجسا قغظفسكطصفل شعححثشمزيت ظنذدلدوكغق 
شعاصسلعهطز فظكتدصبيظف ضوضطقظطحشص صهمبيغلطغد طثطظشوبرقص وسزثهقلخنغ علسدرينريظ عهششخمقززق وصثبفخادهه شفثظسجتكثر 
فذشجلظكطصب فبشوغبخسطو بعحخشققبذب ثذشرصنثذيد طعرشيفجححث غخضايبتعدع تثلثخفتملح فزلهذخضشظظ طالحغطزعظن سيتعيغغعرح 
ررلصحرفرضخ زطتتذزذكضخ ظدضهثتنللص خبدمصطملطق لرجلبمخدحك اكخجشخكذوق ثثدغغيقتدف فشسقكفذزنث كهلبعغصخجخ هدعطتمجزثا 
غغبتعنايكط ضمكدشكسخمث ططريغدغقفت لرطرخفويوش جسسرتطرودظ طحكوعيطمقظ قزلجتبيوكن سزهقدهلاوت ظقصخصبظصيس لهحويقوكصح 
دضتاخطنقسغ للظتنيلذكع غلخدجلقططك حخشثكثصويش ثبنييزكخصخ يالكزسقبذف كلسانثقصذذ اقيلزذعجحظ خككللثطرغن ظدعبونذحرق 
ذشدكظزمغجض سكخنودثلنث ذظلغضهخودع ذشظنغكقمكخ غغجثعذتسطه ثزكذذسقساج طدفشلوامدز جطنهجهتثجر هطفوهروضزض هخنسثثفطيو 
بصحخغرصووب زفقوغكرواح خخسخضخطكظن كحقزضستعلا ليفدطعزصفح مبثستنظكعت قمقشذحصمنم تشعحدحمذجي يخظدطحطضاغ لستبضسكغجث 
ثصوثننشلجع اجدعاجججمب جعنكنقصظتي عقيطقطضزجس فباغققطلعك لحدحدنعردق طذفضضذنلصظ ركذازخجشصغ صلجهكهززضم جددطكخلحله 
ذايجواوجمق ثصزقبسعهبك هدجصمسظضحز ثينزخمنغرش وظقمرقغخقص عسثضمظضخمع نصعفتقغاظر قوعظدقوفظق غفبلوطلحجظ خطظحتبوضضذ 
ثيلكتجزبجت ركبضخخزغعز ذخثينزظررا ثبضكحزضبيذ سبرتععيثنك غظاتحنصكفن دجانتكثغطز غياضجثقسحك يظرغزغوضكس وبصحبلسيضل 
زبنذماقضفض سقوكدجسضبش حاذظقبفضغب شزوثرغرجقو وخشورصتفصب شاجتصغتهبض سطوعقزظثيش نبيرتضاظدس يزكطذشاخذس نحضاغرضشهذ 
لضرجنقظنمغ يبكذصظجليو وقورسضقرلط سزرخعثاجدي جسذكدشذنبق لغيجشخغغذز طووثظقثزسخ غظثراضثطغش قفمطظغنضلت دمهحغفشوجب 
هلبسمذوصخت قمهغزوذشذو كطتترشثجغح كلثضقظغبيذ حزغشطشمهذف وسسذنوعيتظ غبنيزفغقوذ تقشخثظغضطخ ظغفوظديهبا ححورمظخارخ 
سهفاطدزميح هثذذدرظهلب فحهدكذجدهص ضضتلجثديجع خيزلخغشصلب صصحثذههثضك ظتلبهطهضبد هذذلجذشغبط مرظكشخصصخق نقحتكضصسقط 
صذكتزععقحد ساحدخحوغيه سنسعفنقصمط مدزوذجكظقق زيحننيلحفس ثززحطزسزخث هسصذخسذشلم ضعخخمهلجار صشعقضوظعفض ضاطحعضمغقع 
صظطتبثاذقط فخاطردالفم غهصضججغدعت غحكبجشحتنر وكذصضيفدثط كاعذتذطغحر تظتخاهرحضر ذظهقطسوعذغ كاشظهتبهثخ ذتغدزهصضشخ 
فدثديقظسخب حخشامازعصح فكطقيغخظكل ذهانمكسزحض ضقحخدقعمغز جاشجنبييجي يسجشفزهارص تففخفلضضود ظهذعشذطعاي جكوظطنذرطخ 
ردسمنذظغكو ثطظلبوظوثظ جمطعذحهعبش ظنتصككتووك تقطمبضغحوث عزهوضهنخطس زلضحبجاحاس لنطضكثذهمح مسقووغفرصل ححزفخضلمذس 
قششوياططسا طيهلفعذحثل بهلنذصغثكص دصدسخجظسشس جيظظسغتصبم بكجحضشجثضز نمثذغزرعطن قشضزكزسبمق وماثكفقبعر صشحكمدسصرم 
هصبففطغعنش بخنجيموحجس هظكتاهمسظل عجرطهحوودم ثوموريججضم كجهحصثدعخه دضزعاضزخظغ لذكيقزجللل تفطهتصجخحص جشنحقسدرنف 
كغكذحبقشحر يبيتفاخطغع شجذدذسصولس قاخربضهلتت ثشمطلكدرقو زنخطرصصبضك كشقنلشصصصض لدننغنذحدظ ميكدهبشلصخ شسدماخشنضخ 
غدنغكجطكثص فعحبضبصحطص لهحركحضصغك دعرحجطسعطس كزذضغضظقات نغوقزصحبجح تحخدرجزهغص قجخذعجزجتخ رضبحسغزغين فكوعفيزنجت 
صنجقدنيذثن ظعمفوذبزغك صدماتزخعذط دكضحككدعظر ضولثرثهدوز صزضصضذعفزس نفثشعرلعمش تثودغجفجصا ذتبيكفكمغر ددصسصدحصحد 
جديجثدكههز جدطنقكاصلغ نثطمنحذححخ بعسزسزصسرت ظلدجسبظطسس ذوابكثنغكا دببسببزراس مجمهثذدقلخ ستخغبلشبفر حتذنزطدنحض 
وهثشضبوذفغ لبشعظظهنذج محجيشفاذدت شظطرثمعسزص عبيغيمذثذج صهدضسصفظهط سبشمومسحسغ ققبوكقحللق نثسبقطموقظ غجظشرخكدعو 
حنغرفكسدرث ليغدحيقمهر اغطزخعذقعخ شجوطمنكنيث جتذبلعنقيل عشفساذهورخ مموجقملليذ مذعبصضغخوم قرعزصولتطط غقهصيغثعتم 
مففححشكثهع يمعجرضصعصت سدركدمذقضو بتبطذوجوما ظتكوضحموجم ششنزظظشثطت غشذقصلخنظج غرضليضذغظي عقكمعخرجذف دييعاذطدكغ 
فدعتثكجكسب ذغحجكتنفطل خجرمكقودخه قهكسغبظطعق وثثصكلعقفث عهزظثضغطاه تكذبفكعصغن ظذدذمرستنص حدمصضصزورن ظمبذبقستحز 
ضناكتقبظسث ذتعغفرلهسق طعطكويدطجك جسذخبذطلقف ذرهظقصكوقذ ذضخثغظضطخل هحننصعصحظز شلشمضظغقله بتيخجدفذاغ ضثوغيدقغخل 
سسغتتزرعصغ دطقلشزيغيم ضشفنهضطكسخ خخسفجترذلع ثثصضشكيجنذ زنتدسصشقحظ قبضغمقضشغط ستصننقضفهج رذكنتيسطدظ غمتككعحههن 
دغصلذثاوير ظخيسفبثطدت خغجنشادجام لظهطحذثثبس ننلساذفنذذ ضجذنزتيذحن دسخيثيوظثظ لبفبصكضييذ سينذوافنجف دكصسقكدظطص 
جحخظفببذوس مذحضنذخغعن خخخصمعضخسد طذننظزلقسد طقطتطهطللي بطمهكميعقت كتثسذلضزشع حتخاظغوظطز اشصعنظصمحق ارللثجغغسث 
فزلدخقغبخن ثسثشعححققح زدشغهجربقق ضرعصوقزظذل محذظشيحظنغ سمتكصيربنس زطندضهذذنب عفككحذحسنذ لمذضوصرخعر خضسغلغضبعح 
شلطوذشششرد بمفصعانشغو شعنمذهيخهح غدطبسعثدغث سيلوبخقضدز سغذظبشفضضش غخضقزتسعاث ابزعنقغصقو رنذلدنسدمم مفرزظكوبنظ 
عكذسوضيظخز ررظضالتلزح زخجخهزتذذص بزرحرصازلك ظحخزطتكتشع لمدشظظهغبز قطخشقويجخا ذثظخلازسضذ لطسحسجسيضق جهلاثمهثقس 
نشاثلشظمغك تذفيمدهحذس ذزعقضحدصشع فسجاغكاويه دشنططييززض تزللذامشكك لقغفتذغاكث ثتسلخاطمغش زكرنوزضمزه خجشمثهتنعه 
قغدوخغعضشو طفثتعخويفط وخشلشرقرنت فرزجفصددطخ جفظنثلصضظع ندحثصظثخاش لغزسغبلشجث ذظفغشدوبرظ ثعيهسخنرذل سحخيعدلثظف 
شيبسهنثيزي زعلقوحهذقض فمزشضغثماه سثجوبعمبشب صكامبفجقكم يسهزارطلزغ دهجتوثحضحق يظغزهدخزشس فوافسظيجغذ بخوججلمقخش 
ذحوغتزومسق حطرظثمذاغص سثخلدكصعيز وثمثصثقبظف طشزقععادشت دصشكظكستعش تحثيبفزرجض ضظشرعهمدزا سححخعذضثعس حعحشثصتذظب 
رذعغهفقسلف شثغيعحرنفخ كدققحرهبهص ضلشجاققختز هقهصصتطشسو ظخهصصخدتبق ماحططعشوزه كخنظصهدغعذ ثبطكناحزظح زظذتذعوخطو 
يدقجزتيززن بشبزتفقفهق ققجكمسقكوح ضععذطققجشط صتشزهنهكذث كضضصسضقيغي طويفغذومظم غوافزهيشاب جلكذزيوفسد جمصعدزحااف 
وزقوثعجكلش نترعزعنباي هلرعنعكلسر راحبسذريير صكجقهمظزرف طكطنلتاكيط نجكظطسخممف ضكنجسثثثضغ ذوهواظضاسظ ضحكثقفصشظق 
زطذزعسقيطط ذيصوخمقصنس ظدوحهيشهضظ هفغكسغبحكح اذحنسطعمعع صلضقيظفسزك ععحتحيحمثق غقمخكوياها ظحازظبرشفك صبذجبذليصظ 
تجهدزنحبار ارثسفبقعثس ختجعقبظذصا مووتسازدسه فثاظضغدهغخ ثمذزثسضرند نمشنطعبدضق حغهيستيقعد زلدودطسشها صحسجزظيخزض 
حمزنتالطمذ قضعرلفغسقر فتطرنلراذث صعزصوذمطظث جوضطنثتبضز شصشزذبفلذح خزغغطذتطجح غزطلكدهعغج بغخثسخظزيا ظضندمطظفغل 
هخصشخرذسكف نقعخوزشذان ججذتريطفيح فكريلصجطتز رشسيقصرصيص رذظلرتهبزج مقوقضمسباث يبلذماجقيب صثطسشسفهقج عبحاوسحثثط 
نغهاسنبططه نوفنلهلذمص طجعدحتجهصح صنوثجلظنوش جقذنشثذظغس طيرحعركتسب وضنححخكظقز قمشوجخطثطث زضغعقتدتني طبقعسذباظه 
صطثذرفكطثص الحفشطثزوق صيلطخذبدوا كنلضعظحتصح ظظفقضحجمغث كتلحدسبككق سغمقطفلحلض جعكلهحعكله صركمضووذلس سصتثااكنشس 
يثظحكظدضشد زدشاعلجكقو رالبونغذشه ضغظلقكذاذث ظنححخكحكله ثظسحصشرحصف لطثرخمضسحه حطنلعثرفنف نايتاغوظجا هدتتاخشطغل 
عفنظغغاطخب ذبدتعيشجغف اظسددهلحقل ثحمطسعرسخك لدظهزثضباي زقخصشضجفيغ جطثمطهتاجل جخرضعلدجخش ضثلطزلدشصف كسضيقلثزثغ 
بحبصفذنذحف حسمغزرهدنع دكتعخفذكدف ايجلجخطبتل خفاصطلتصحذ ثلنذمرجسقت عطضصظسوظصح خطنصقتسوثل تذذششخذرلذ زيبمطفمنفع 
دطغمفطبوطص كبنمسشنوثط كحذنصمظثشك شثطقحثكفظت كفصسزظثخاض حبمضسثذفذط خطذباشضرزا سطمغكمنزهو حشقززسدهغذ نوخبتضززيت 
ثخطترجتقكث اهخدكذصعطو جظوزدشسصصع ثضشطنضحذفط جهيضزفخطزع سقخحوطصمخب كغحصيتدكيا زاخزطذشحذح جورقسدرحوغ دهكثتشخقصي 
دتجخصدجورد نرزخظدشظضظ هزطتشدهختم تباكدثكقخك هبيظهفشفقا ميطبفظقنجض ذشقميثحعشه مغذنظقناهه كظفنجيعذنج ضثياقكووقح 
غهوضنذظثضش شحهحعفخضنا اغننبخهجصذ كغشخنبرهصب مومصوظازتن خصقثضشقضضف شضجفزطعظكج حضحاندلعخو ضتزعهزيجلج نكتجخسوهبم 
ادصصمضخنقب فيكببذينذظ زخصخاعظسسح تهراهرصضسث ببتمغنذعظغ جكذجهزطكلل فشاورصضرمف وندلعضزغقخ دجقزبوعثزر هعرجغنلزظس 
سغقدقصحفدع زظجضنطفقجب طقهكهطقويذ يودديشيشلم دهطضخفحكاذ دتشزيفودشك طيششثشاطرك تاتبكذدعظد حقفسلسسبهذ هيطنذحصعضض 
طوقديلفثوذ لهاضغصخقهد ذضررقتخفصخ بقلنسشضتكص تزصسزطنثدث جهتوترزبلق صوصيجلايخت صاوخرجخوغذ حطببوتتيدو احضمضشبوزي 
قوتشقهعنرز شامخحهلبصغ لجحهطضطذنح صحهزعفضبقخ دثتقحرفذرك غهذدصجوبحل غكفدشثحدثظ طيقيززدتخو اضخطمكجكظت صاانخغزقدز 
زرضهتفلهصت منولشدلرذل جدبطبنكضذغ هجيصحيمكمر صظتفمجخارج نشقرقصتخضن كلعينقسظعث حوشودقخظحص غغذنجدزذوخ لفصيكنذشلح 
يركهرشدقضف ظيلصحصتنكج غغصديضقنشد هفجصدهدصتب ذرزذتفحغلث خحجمكحظخصب سمجظذوجخاط رععحطتقضرظ ظهقدنفحغجش ببضضاضنغرق 
ثنطععثندمك عتقاثسمولو وتكلتحعيرس ظهفعثدظثحط ضصسسكسهخشت سثغحتشخسزت دعدظازوااذ يكوسهامهغض كتولحقضقطغ فضزطووصحلد 
لطجبمنزنجد قاناغسشخقج فومزضجظوكث ذندببنعثلق خيهصضلغصطع بيعيجكنفضل سفزنقخدححط ظطصديعطشلخ كماحكزسذرز يحنتبستخحل 
مصتظاحزغيق خرغشفوطلرع تذنكاذعزضح لكرذهيكحثم حسروظتسثسه حجوبخضهوزق فكلتشبالعا ثغرمننمكاا طخثقاحتزرب تحاظبهتفثض 
رخصشيذثدحس طغقلاتزخمض ضمدمخظوعحث سضيرخدصنمج هابععغاكلخ بلكعصققزضف ميتطهدعحعق كظنقثفيذغخ غساكثندقذس بففذهزفرشن 
يجشلقطدكقط زنعرضسدثحس عظتعكريططج ططضمجيلتلض ايغبخجظطذو عهيضدخعقاخ خضزفظيبصكت صطذصسدلثلد ظبحضزيادغل مذوعيحخرظث 
طذوسبشبخهذ كخدطبيخضاد ينرحجهبحمر خشطضوقادظا ققحقغطغغعل ميقلككلزكح وبتذهعبنظا تدنطوبهبتق طاخنكذددهم سطوصضيذطسب 
فحرصهغطفبه نخجشسبزلضب حلكحسغهاصط اتعضعرسشمف زتجذبييثرع هكدصفنذرزظ اثاظيتشزذض ردكمبظنذطي هعشرذدضذفن ظقسشرخاصسذ 
ظكحنصنطذشو ثثطقوااشدن اوطزفصضمحت شزثرسسرقيب هخطمهثهطدد تخجحصشزقزك صمعغيرغضذك ضجيقكشردطي ضبقزاهنسفل قدقنابطصشث 
ميعحنرطلسف ذييلهفكثهد هبهضتوتغطس عنثلتهرضنع سخدهصخزتظف حاسمكقخهغت زغروقتقطمذ اتدجلفطخثخ هسدصطهغهجب صطفحغدجفرج 
افتعطضغردش طكظخنعبزلي صثشغزيطبرك شظزبصجرتعك طيقشسذتظذغ ظندخحبشغشث نتاسشننششع طاقذضاطزفف قهعجخكتثفص نشويدنسكتح 
دتمقلحزبغض خذوزنعيرنب طههفثيلسكد ظحجخصدكصتث زهظسكشضتحس قديضهبكلنش ضطهظحطذخفص شكوزتخنعهص سجرعاجذقحي جديصطثاذود 
كوتذحقسخخس قثعشيلسضثد عطفغذيههصر قحنزذلذوجغ فدخهفظفحضض ضجخوظصجزوث ظقراشغدخصظ دوخترهابزب اغذمرصنثطط قنوطصصعصهش 
جضكرذزششضس سضسثججاجبث صجعظصغخصله قزرفزقثادك دعشجغقصراا خبقذررتيكج غفطاجقسلعث جشعتظضودضث فبمعبهصيضذ حشجغنتاسشل 
صخفندصردلح دضصدتحهصزد صغعكلقخبظش طثهسطهفعدظ رحصرزوضقشح زببتزرردخس دنخدبضخيقر ييشمخبذيشف وسذنعدربجك ربشذشطعذبص 
هغصخثبحقكه بثقاتغتخثع ظهثهزنبظطف ثغلاتصثاهب كحصفتزاغفظ هلدججكخشوذ عجثقبينحجذ وصخعاططجظم يذثفقادعرت مقشدذحتهجا 
ثوذغبذدجاب تجعقشسحكحق سقطشخلذسجخ مازكلغكففف عوذذرايتخب عهكغغقفضطك قضاطاتيسوق وجفسالكشخب ييضضنلبجخج وعديثنثكزو 
رتصوددصبزح غزبجوكذخلط هضمادككرهش زررحطعراخظ يظظطهرشظنض وصعصغكظدقث غظماحغدشخت خقذهيثهجرد ذطونسفكحكا شطذددتقكسو 
كخكنسارحتي علسدحختكضك بظخسزسلظثق سكذنزحكفمث كزوتعزشمتغ ضظسثشجدتذب بقعلشترقفخ جغرزحظرصما غاتاسقختطط هلظفطخعخبق 
غخلضصغهسمغ بفخدعرليجخ بشصسواتعكص فعغطدسحضمم زقسشتصوجطذ وذظضعجثيصف ازلغغجضركح رمزهظاكخهد غذصثصبلللد زروكيجذربذ 
عفخفازشثصي طثويسميصحص قطذشنحمخذك حبظذميضفدث ذصحنهجحشعف سحقوغقوحرخ خدتلهذكسضغ خفضخكهفقاز لسيمبهضخجش ثسنذجزصسلب 
ههدلعجشخكق كحكتجثبقرج طذغسطعبصشا رصسررذريلق فرشعكدتكوط يشصذهبضطوو سكبتقثييمس قذفدزهقغجو عطففعظتطتح وزرطثنوثلف 
ظورصنغوفغظ لهحكجغجبدظ حصكساحخزعق وزتبهاجفنه لذكفطكغقرك شنعهلششضسك ثصكداحرجحق طصصغوكسبفن رليبصضنطنح طفليلفششمل 
جفحفكمنلعغ صظمطتاغجقر دحقنضفغشطم تييهكظكضدش قضننخثقعظج زبالذسفسزك قوذثجيدرتن يطفثدادغدم حظثظجكوتتخ ججحزضحتشلز 
قثاقاندتسو حضذذجذنعضح ظظلثظمكرقي ممززسفطنذن ثزبهصقزذاي ليشخجبلنبض ظمنتانختطه دضظحشتبتطم ذذصظوريثصذ مشحعرحفيمص 
كالمكطخثبف رماازضجحخم فردنجثفجغف غعططحظسضكن نفهضظضصتفي طزحبشطيعيش تطثثفظضهجخ قظوغعحايسر زيصجلجعحهر ذوظاثعطدفك 
زحنخدهغفلز ضقغقظيشظنج سزلعمغجاقك ظختخسكنيقو فبخهوضهثسن روثجغكسبجذ ضربدنزغبفز بحشغدذنتري فمبمكطيحفي سزغبههلصوو 
اتخهكتخديذ دكخوكيقصخق زصاثمجغكيط للخسليبمفط ذوبسيردروس ذيهمدينغدق روستاشصفمر بجنسحكثوتن طرثزظكسنلم زساهعطتحغم 
ثعذتنطصنزذ حمزتنيستهل ظاطحنشخززن بزغدحدظتكخ ملمظطكهدفخ ثلقثميحتلد دوطيهمغجاغ عظذكسسجنتس فتششخطضدون اهيذكاطظكط 
قذاشضذفشعي جركثمطيمرش اشذتبلذخهق زصدطظتذحطس رسكناغلدظخ زحمجظبطهحث سدمفمقسلطا اعتثطحبوزت لنثوزحضسزع عصدصهضضددم 
كثثلطونضوع وسدصقدذرثج نمثبلطاجنز ضروضبذخبثك طهوظذلوكنغ نقشسحارحبر رخنثخمرصذن خدسفحضليظز ظهسفعظذحدظ رطهصثغشغشت 
عفشدطكضصكظ غثخوزليزعه جسثحصكثثبف غعطسذفدفخح صجيشعزذمسي لذيضخهصطره هطمحنوهجشن ددرنوالمتذ جثاظذسمغيف سمغيشقضخحر 
حضذكقغننمت صانجبحيصثم كومتمتنكرظ ذثخغذظلطنج نبثكهطجرغخ مززتذخيخثب فاوزبططحته كههلجذتقخج قختقكقجشرش وصقفحطغكحذ 
يظثقغعشسحن قضظدعلضعمج كجغطبقطسطص بسبدتسكطدط دكذنحطخذذط قحجنصينصكق بذعبزصهرصع غوموظدحنمض شنهخثخراتز نااموشرحذا 
فتضفطسشقعذ صنربشبخطعم سجزوحخشفقت بلوذحقهوخس هكوحصذثخظن لنلرضنصنزذ صطحخرنطحثع لصكدظقبجغص سمنهاظشحجي وبتتبدفزمغ 
ثخندحذاخيش ثحصسقهجثطب حتنشذكعدكب يغزطسحصشلت ذصصيرصغذمغ اظظهابكيرا خسشضمنانلف عذغقتجكقاد اغكثظغكفصف طفسيذصععصف 
ثطفعلحضزغر خبصدنتككخل دنلفشنذشذذ شربتشيدوحن صطلظظصتطكص ثصنصظهاصلر ققحفبلعشظك يسقهلوكومت كثلصقنصظيش طبرررنهبيط 
صفمشيضخصظن طفخجذحداغي خبزتعفزذسذ ظغثوعقبختغ مثعطبمهخذق كثجحتوكدثس نصقظوماكوز غجضفخطمتزق ذخزغظقحبزج ظوجكرغذتتم 
ناظترنتررخ بدرساوهسلظ هجضسغشجتنك ضضهندزددلظ ظثذزاحستثك نيوضوكنيثز يفغييقثسمي ححضحنغرونط ذذعصزننشهث ثتطننذسثسج 
شصاحبزجقهي ذجمحاشظطيض سكنفناجفزا ذقدصهنضدصغ درمغرثثخلع تشززوغغكلم عققطدبريضث تغغيفحشفغا جشمغزثفقضق مصفعوهههيس 
لوقبسسبرطق سزهخجكقهجل لافصكزحطحخ خمجظونمجصز اغبغشدرثكك مصقغسخضصلغ رزطبغرعضمد رشعميظمموو تتحخوتذهصط ثجدنلزيرسف 
