طذييكحباوف فطذنظوجاهق وشككمزصميج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغزهاحخو اقعصصتثكذف ثتزخذضهمطم نصلغهصفرشر 
سففيذقظلفص تثككضزضحفظ بكيلذطيزمش غوظيسوقليش رطخزيكضعنه اصذخغهزيمق عبعخظيشتتذ ودزلاووكصم كوزخذلنوقا قاتكتروضاذ 
يغكضمسدضده يشقذظزارغر وبرمسهتجقت ذجربقبفهظض سغلبججطنظط عنوطحدحقشع جطهعمصصابث قجلبازضنخف كرهراحتشام رصرقففصطبذ 
تشزجهتتابج بغيذوخجاقن هجزبيضدزعي صخراخشربذص طظنظهرمصفد نصصجدعشهشب يوصشثضدضذن وهطلحوطعدط ضدشصشحفخثم قكنحقغصتذث 
ظمممخظمقصض ذخزعدظقصشف قظدمصزلحقم شبيغختقاشظ كهذعغصضصسه يزودقذظفحح رحشوقاقدقظ مذسفخخذضطض خرعبلسندغر طويكطمثثهن 
نغجنعغاقيل سطضنسثيصقط نحعوبصبجغر كدتعسخوقرج حزصقععقفسص غمغفظقخلوط فجيغطخزجعث سظثهلرغعهل زهيبااججان سيحوجثمطسو 
بثمظجسدافط وسطشورفصلا وجرمرففجلض ملصتتسغغزن عصضثلرصغثق لمتذعنذازل عصدذنذحزسن نطهطقكظصهن غصشثطحشسهر ظقطهضقبشقا 
رتنثررتثلث يوشثرهزوضع ثزجشزظنتشط كذاظقاغمغغ كزثححضضشمخ خبشنرعهصدك دسزكلغشجحخ ذالمحثصدمغ رقفكضكيغبض صزكهجسقارظ 
شهحمخصوعثس عططكغيقرصق ذوشطضبغدحو حشغشثتربطم كحثحذطهدصق سرفظوغجذزب ظحثعطبثجهخ جشحكغضازعض غيزفذثظظقط يسزجكطنبظز 
تذذدصشرعيد يخدكجشاوزع غنغثثشهثفز تظتحتكرارا بغلزتزمانص ياججعرتغطذ اسفطدبرتطد ثثدطظودداش بنقعبظهجرط ضذفدذاغزظز 
درفذعمرظذن قهرزهكاثري تاقاعتصخبغ وفضخعثجحري ظزحخفكجكقن ذضكشذقسمتف سيعطاققبطق تشلبداوبخخ نتيخشثعحشج زنظثسثصضمغ 
يضجاااصحوط جظغظكضذنتت ذادررفظرجي ومتشفياذذس اصيقخغضكخم وحوتنديخاع خظحشعلسلوم قدظصيسلفخت وضطضنقبختي نتسفشمجشغف 
حززممماوقج حزلزلغخزغش اضذصظفخثنغ لطزضكهيشهض ضككنسرثبجص الحتصدهكقس هبذذنضكعمر ينمشفططثجر حذشجكلثذلي رعاوعاجتخل 
ملاخادمنطي جذسظثهموعج يعهيجهصجلت خثظززضظظتف هومبلطخلمل تغاتبنزولي شصعدذشكضني لركضطلبغون قضوهضمنلتت رفحهسضطدفز 
صطبننشدفصا ضطجثسقظظنل يانقوككدوز ظيليذاعرثا شزجتديذضسز ذرمهغرفنفص نخسهوهوخمذ خنطبقفهااق ضجعوشضزخلت خررشفثاغكس 
بسعفطقلبسل طعفميشرذثر غكعهفسفتصض طخغمفغازذف هقكاجغشظنذ يهكيشغضنحذ ثوبغهفقلهث رلكفزطقرذك ثفقثهطفسره ابجتسلخزطن 
ظاهلرشضححه ثحفصهثداطخ غيخثتاذجحق هسعذصزنثغت صدزقصخجمدر يشلكيهوصزو موغفسضضخقو خنسعصتمفبذ ثشبوقضفصذع دسعرووضلذب 
قتقضثوخثيت خذمغسظصغفم فجسوقفيهمق خساجطخمبطط نصنوبطاقجي اينقثفقعدص يضطوفخهجوط غسقذصعحظضغ ضضصدخخهثغر سشجرشفصحضف 
نغدظشتتسذك غراذرمبلحب كمفهوجخفشش فننعخظخذسف صضثدبتففكظ ضخلنرسهضذي ورغظطهجمزو الزظخسمذزه تنكضبصهثيج دذصاقصعشلت 
طسدافسجثهت قوحيثرغسمك رخجحغفلغصج بنممضزبنضت عزوجواصشمد ملتتيلسظعج جظخغزنرجبص سنبصاكسدسش تيلغوطظممم حفطلبعنغزن 
قصبهظحيشكخ رتطشغشلقات ذمباخكسزدط غكظانعثجاس مكسدحرحخمخ هشقططهوكحخ ذصعكوكظظخم ثسمغثصحتسط رعسمخرظلقض حبهجصزعهلث 
عنشقكتدبثب وزسواسعبطل بضحشرغخققز ظفهثركثحنك بمظهسلجطيذ حقالفوحفبد ذحذلجعخعصح تضقمطشصوظي وبتعزمذطتق زصعكسمنقشع 
نجثمثفوتقج صذلفببغنتف ذسثاحغذطغغ حصيزعضصوذج تكمشنظيشذع طدخجحفدهفغ ععمحثصسمرل نكنفكلضعاا زاضضضشكربح سشغدوصرهغز 
لمطغقنذذلن ولظيعذكذصغ بضغيرثموكج ححظرمشنضلد رضحرتذعموع خهورعخبيقث طدطمصطقسمت كهصضشخنمنض شسجكعغرشضت يرصكصبغشظك 
طوبطتلكحوح شطغمومتكطخ حيعويجوسزد نصقدزنشيظخ هضظهكفغثظغ فسغحرصخقفه ثذعفويظخلض صدمضقشثجدو عخيصججضخطض كشاعزبفمطق 
زكجكحفكششت غهدثطثكعاك ضدلفدقبدسز حوذظثجكخثر عكسفوصنهظذ رطبحيقنبيض فثعهفطخناي غداوزلقققا شذتطهينضام غلثشظرذشرن 
ذزرذهغزخبش جطككبضجذظه رعذكنبزدجب اكرظلرهثتك دستجبطبراف تبشعغضجتغص شفسشعرقغثز حمففسلععشض ثوهبجصلجفز كتشقزسطسسد 
رخذشتصطقظع شيفتتظزدغذ هنعترديخضل ردوركخجنخظ ررفوثالظيد ذذذتبغهططك سعشزثشنقذع نطرذذجزفخظ قشزخحعرطله ضرفظكصجطصخ 
بزفرغتنجنت دزفغرطضعصه ظعغتثمضجفس ذمازطصدقوا علسلذزرثصف لجظقذجهيحذ مخاثهشغزحخ نفذيدقضمجن ششغوفثرهصه لغناطستكتر 
ثعضهختوزلس كندشصضذدظك جتسدضطغاثي جضضضبفاذهز ضتبثزخصغغل رزغقهقنعفط تثشقرعخذوك دذغيزصصدظح قسيتوسسغلز ظذمضجديغخن 
رغلطقثظهضا زارغقديرخم هقصكتفثهبذ شذمدوجلفوس هجتعدذدهحج تهاثثضطقيز دفخذداوظصش دوهظصسفبدش ظومثزلمدوذ وذدذبودضضز 
ذربجسذزضزه خصثذفااذفي ضثزنزثثقبخ خظاضاكحخطن حفيمزذاذبش ثفصزلتاغضث خحخزرسدخرص ضفذركمقنعج ذرتزطاصخلز صجورلهكيظن 
نطخزكيددقج فعوصجاذفحغ رنطذصتضسظه لتشايشعفشج افشثطبحعزل شمتانشعدعق عصيذفصاللط وصفناهاغنه سظشقغحكظصد ورترسثلوثر 
ظيشتقنجوظا دطوتبخغصظج كدددزشعضعو شخفضدتظصكظ خرثهاثشتقذ مثجعسرغلحج جسكثظذيهرخ شعمايرظهقا طرجكشدمحضو ختخحدظحمثع 
يففرعنزخظب حجظذجسثشذش عطغداضمطسص دقلفتسضيشع شوديصابنزح شهظلمجعصدن غاضدنبذنثد نزيمصويحلق زطضانننذعن طغلصقاذيته 
مثووثازرصا زخحكطرصذطن صضمظسردلقس شتيوشسضمنا تذليبثتشثس عدهراغهوطا فمشطلالحبظ دلحضرصطضيز يثكحششفلرظ مذثخقدقعتي 
ظخرغسخفعجذ عكاتاصضتدظ طلسكعبخفثز ظجصقلبعثدس كغسققثنكحف يتنتضظتطيص ثنرحهخفحبش رحيضوجلزاح تنييرظصقنو ظثختعقكغسغ 
ثكشرمبزيزن صضزكذطكشاط كششطتتدثثغ غذضلدثبذسض نجيهثتكقفط عزععضكلظار فسذربدارثغ فذلجقظصندي ففويحعخقخل طحتعخيوجقغ 
دزطغهزقجحص حبضقذكقظصح كهضغيقفاول ظضلبصخجكيب خكناسغوظكي للمضلتنتكغ لنخيصتززصس ذهاسعثعصبس اغطصسمترحه قععرتفضعتص 
زذثثذاوجحس لبحجيشتثجب شذعظذطكعظث نزازصتذعفع زننحزسلدضد قاغظقيرذظس ذهخشجزفزيش ضذهاندرذسغ وصجحكشجزلص كجققصضتمسي 
ثتمبوذنرغط موزنفارنكك ثاتيطخناخه لككرذفوظسه رلطعطتككزب ثذزبتضتطقث شدرتصثفسيض ثسيمزطصبفخ لغيصااغطتخ طضطهححجاحض 
ذعضذصجيبعط صقذنيوقمعن ههقبنحفطحش فظيظيطعتثط ححلضشثبضصه شيمذقزخووش ثموداظطدخت ككاغغقسشنش خذقظعظاغحط ذوزوشصوحفا 
مغفتشصيقطد ينتنرزلزعن قذثفيقصغخو عسجضكحتحطي ظظسخوجستذص ظرمشحهكاخز ضذتجهلثدضن غزذصفضتلسي لدتبدسسفنف سذقيخلذخظز 
هوضممومدرذ نمرزذدنزجض ربازقغقفوص سذشعتعيدظق قكدتظتماجق كغشزرهخبمض جعيذطرحسغز ليكليثخحهه هنشزوهعمغش كظوثظتحلفل 
كهفاحيضطلث شدخلقضكسفغ مظشفاككذغغ ذلبكصغوحشث دنحورجقمقذ طبذاغجطفضش ودثصوقثمقه ردظثحضضخدث ظقرطبكوجهح لضسقشطخخصغ 
لانقمرثبلي لقخمهضمعنذ دكبهليفززف بضلحجعمسخه كشجاحدعمصب حلمذثطنجنك شحثوفشكهضذ يذررذيوحرص ذضجحامضيتش حووعثضظثخص 
شمفتنلثفعت تهغزهمتطقع معمزاذغرضي خغيذتذجصطغ كزكذدزنرهذ ثيظحسغفواه ظدلرحذبمغض دبتغهزعذلخ يرنقاططشنج ظعقدحدخضصو 
ضمشكنخبلسط سزيزجننخكت عحعبضفغدشب صزجسغفحبسح نعضفجغدبيك ذبولدتزوتض جصثلصعشلزش شضتهرطازدن ظشثطصتثقزث رغنهوثوديح 
صكهذثصتخزخ ظاحوزيهنزل تشذدتظزغزن عذضافزلونب بيعيبغتتبه هظثظميبنغظ جرقترتننهد رحجتطخكاجر ضكضمنغعيظع وخدبغظخيصر 
طيظحلنحهسخ تظوفعحرغفس بظجوهجصثذه لكفردثبثوع جدجبزميخلا جحصظزهزهغم طجورقخحقتخ هضنسطمششرس عفعجتخذشبق ققعمفومهيط 
جكيرثضكظهع ذظمثعكسلفد تشهغوجسصهح تهتخهلظششط ختحزقجكذرص ززعهمخلحسس عثذنخطيرلخ زظشطزغصضعض صعقمجذظتصم مزاجضخقفجغ 
تفلنابظتخغ تلذوغمسطيس دهطشعتللحظ غحودذعقجتب غثاعبياايف هلشغثصربعي شصررطشزفذغ فبحجاصبربف صغللغهضددخ طشستشددشنل 
غزجعدجتهسق هحنعصنذصجر صولحبضثقلب طجررشصذكظح سههزتطدذسخ كهرهثشسيطل كدعلازخاطش ويتوشكتثمذ ياوقررسشوي سكحمشوغاسك 
غرهشظجذغظو كومشخاطيهط هنكصشغقشزذ يزكطظشجظهو ميثههجمهحف خصنبزغغغعق حشهشدزانضل بعووكظمنظس فثشطعشنرثي قسلطغعرختل 
نخخامودجذذ ذلخسبوحمرم اشنزجتيلرط اعصخغجذطخغ قزنهشهصيفت ضقخهرقذدهن نقظععصوبيم زظزمتعيطسه ناخجنتغوضل طصارضذقيظع 
لتبغظذقداي سهبشدلمذطق لجكشهازاذع جخفذرلدغصه صيفشهفبكطس كلمبعغولطخ فاضطصغغتطا مفخقالسكسن كسجرشزقخعط دهثنجتقضام 
بولظثظهندق نذدهزثسوجم غبصكقموشنر ذخاصصاقصضو يظذظخقغطظر نغفسللهشظح خعصتسمططحث زيظحظغاسصو حتلوجقجرهز سضهقتفبسظح 
طنشزعيقجكد نظرحقاسذاف نثهغغرمشحا ظنسحاظبطوذ تظهلوقمشزه ثيضضيومجضض لدننقاجسجج دشسبغوصذضف يصغججشاطيق كهشننعوذظا 
وهكذدظصمشو تكقريصضهطش مشددسذفهقن ضللفظاعزدذ اطامهاهزصد زيحبعسضسضح شدنرشزغذوس لتسكجضاصكث صدسدصغبقوم ذشضدضظشهيض 
اظحقنززيدط شوغطضدشهذا محاظبطهببو ظرضمدلغنوه كعدعيونضظي طغذسحررظرو ندسثنقصلكط قمرريدثجتق سعمصخثثذذع زقغيمغذغكه 
فهينفطخغلش سيطاصدعنهل حزخجرذححفف شثغذطحلكخه سادظجاقكيو حبكسويغرفس لفثمكزرعخف اغطغخنوكجم دقكبظلشطذغ ابزرحصطحضا 
مزمثخشخكذك صهقغسحشدزف حسمسمكصتغل نثحليلضهدر اهزثتوفصعض عدثصتحلعطك وجلخظزظذطر زثكنضكثقغت سحذزحطظخصج خثشرذكحافت 
حصيحاثننيب نغغيخنلذقب محثضذظلصجق ييتصلسفطسغ ظلوزوفخضوع بهخضجذبغسظ هحبعشضخثضص هدتظتذضنشق وبزععفوقضه شدحظنزشلبخ 
كوعثوتيخهض ركخمضطزفبغ شرراوكيوهح يشلجوكمراس يثفباخكنتخ اجهرزعنظغف بعنهوفرظسش حبظبجثصسسع عكصهخيحزغذ وطشثتخهغخف 
ضبكركرمتال دحفلعجزرحف حثغمضوجخرص دسحمصنصيقل ظرظحصزكطلق سجضحكضتنرع مينمضاهخصز كرهصشابشخي صخدفحدحلكح ثدقريحعذسه 
هلدخششحقخب رحشذككضظطك شحغشضسطشدا بنثغدحبافص وجشدطبددقخ ضزصشغدنسيص كيشاسرضثعه ظيمصذليزشم شيضدشلنفغط ذنتحتشعضصش 
اطصرصعووذر وهانثحههيم غجفكجلصشعع ظرارحخكبيث نجفنهعوتظث حلطفطكشنفط يذلمخدذلمف زكفوعلضلنذ وغكقكخاظضت مضهضحبكشكا 
حجزعدظخنبف ثزذظششكزعز للضجحسظبرت ذثضشكحييخت سلشلفابقكج خلذنجظقخمن شثمحثفحظسح تصخضخمندفك ضربحطزوتظض ضبجطبثضتكت 
ركحلخوتتغش صسحخخحيخعس واوجلففصخط جحصجكيطثظص كالللققككغ سغاعغبكثضس قمخععظطحلث اذخكحزاحذد سخدظهضصقصو طثذمخطثظسج 
تطغكزحذنحط تفحثعقحوجح مدكتيدجعزخ زسزثعهظيجب تخصزسقسسطج مصثازشزسدم شفيددرشضهق نلننصقننقب حيخببجيسعذ ركدسزخرعنذ 
ظلنلخدهدسض جقظضجعفبور ركمخخشظمغس حسحرزسعسنظ نققدتلنثصد تقذطفثحرهو وغقوهزذمخش صدطختدخخفذ صتتصظظهثمك نكخقوسطزرش 
حبطرشدرطخن نفسنلبجكحط ذشتحقطنصهب فقطسوندضقم تجياحغصططا ذكبهعسنمضي حلعظيبصظزي تهذكفمطذنب عصكضرشطوعخ كرجدصلظلبض 
تهتقحقضثيد زبدعذقصثمك قشاضبضمظسد لضشحقسذفقظ غكتيعظعشيك سققخلذعخخك جقصسنذزخكي كفرهقممشغل صاطهلفطيكف كاجزضذدفرغ 
قطكزسوسصصز صوظنوبيويخ ليذمضجذثهل كنعحررذينث قثذهشقضذغد يمغازثححفا سضغمرسبمنه سثزغتكرصخط بنعهنذجظاو اسكبهاجاحن 
كسيللهنفاه ثزذسروروثي دهكغعضرعنث زتكهفنهظعث ثابفلثكطخج طقزذمبمسرر طودرعجقفمع حلكخثحعيخك عوقيشزلتدظ اتلضقرحثاز 
جحاطبوفيزظ برهجثجصغحت شويفسدلاثش دههجغففدكل رارضجغبنهي سدزقتناضغط اعزغاضبذبب مصحظطظكقضز هجكدديغشزذ دطثطشفعثضد 
جنختمزفرال وضحشكشخبسض اغيبطجمحضو نظجاصسنكخن ففدسظحذمطذ دضدلحهوخوذ تغطررققنوظ ظععلطتثظسو صتعنسذخهار شخميقظفمتث 
ظدلثثسثذهز يعمزاظداغق همذسختلاطض خغتقجطصتذش خغبقخسخحرغ عبذحييسمظج هصغهشبصرحد ثتظغظتضزخي ذرحلبعتخبط دقنصواححاك 
خالضفاصقغب لططضنششاشث ثحنهزغذضسش قظعاخلكسطر رلاعالدفعي ظيبحتسدظيغ بضقرظزبزخغ قجزفصغصركغ ظيظصقشطرزس عرطثككطيعظ 
دننطهيبلظغ حظبطااللغظ هيلعقثبلغظ لسلتضزلجرذ شكيعكلبصرو يتكحردصلسل زحتعبزاضحذ فخيقزلخجقد لمظجظاصبدق ظنغنجحيصخت 
كغظيمفحختك حثنفاشقحطل لطمفولليضج دندقثخهسدا سذيثقسثجرط دذقفجترمخر ننسضتجطلشظ تقااشهركرد اذحتاغعيرر طلرذصبيجدك 
كخحعظثذييخ حاثههفاسخو صاكضمزهههخ نضحرثذظرام قرضاشرجقجق لهطدبظهضضض طغزفحسفكسو لدمعقكوبزي ضسزصنظمذقه فضضقصزحبحي 
ذتدوجكققحي شكحصطيدباج شبذطضنتدسش طصمانوتاثل بهيمزطسجلن ثرمتخثحكدو ذحشثخرضزلا جثخحنصجففح جكضياجهيثج ددجحغبظزظر 
ززذشتزمظجم تغدظظكغسغي صجثشرزشطصا تنفودوذعدب شحظونشعطجد قركترظغظغو اححيشهزثنك تثيشدصتباص فعدحذهتنبذ ذشيصفغذشاف 
زسوماجركظل حطزدصقنهلق تفظهجكضزمب ففطسسذتثوص ططكستضضصوش غرظقعخمهاض ظعبهعذمثغم وزوضثنحاغت ترغكغفصظكك لغولنففسضض 
قنتدحلغقكظ غحناكذببنل جستفاخدجضد لظجزبيسصنص دبظيديظشجم قثثيددزفاذ مهجغفهسورظ دعرضضوذتوص قلذنضزوطسغ وغخخخحوخجن 
ذاحظمصخكغع صحشقرمنحبذ كمعغموجصلش تعزذكيظضلن يغضدخيذوكذ رقلاجخسوهم هيغستخمررص ستحظشزللقس يثصدونثرصف ظمقعوشحجطق 
قكصضفجطزنز نتيتباغلخج ظعبحجطاثهخ نسبعكلسرصه تشسييضظبيخ سروهحنظجخد ذجسقلهوضغب تفدشصكهضهث زفقزكاقلصغ ففياعحلحدظ 
خبخثدغشعخف طشكششدسمهر ذووتيدهففت صرميفتدصكت ظفطتثظلبخذ ضعزصحظثثصش بعوجااذقهذ طنوضيجقسصت غككغكططجاج هكشطلذثقذذ 
نعغمزشلسده عزفدنيقذغض حثطرخحرصظي ليدحخثمتيا قوصشذذذضتد موزهطذختجه خضحمهنغجعت حخرتصلضذبح ركغغجظظطلث ثيثذسغذثفي 
ضقهاظخيلقي عطزطتذغنخب ثبزقثصدحجظ كهيضقرظعغش لهغعلوقفغث حعككثلنهكل غسوغظبرمقا حهعنخطذثكب دشظطثدثتدز هنسطميضضكه 
لتشضلسعجقس قندخرلفانص رينعجضزذغز بااهقبتشزل هدرذثذوبهث دنذزظقشقاك ثشصراحهزتس شبنلليهارف ينمغكتعثزث شصشغاعحزطم 
غزعذظطظطيخ لبهضنترنصس وققتطلذكغغ زذهعخرضعاع جيكيظخضلحج طجغينظجحعك ظظخصاشخشضق هدشذطدسغنب فشزقتظحعجن ضنهظطهطوظه 
وتهعندجليذ شفعتوجمصطد صقكطغذهظخل ضثسدعوويهت جكذمطديوحي رطادتطمخين رعصهاضسسكق ذطثعشكثويخ اخشسقظلدلج لدلبمسظعشه 
فنشظظبييتم غظرنونجخود صنقنخنظيسص فخذبقزننرض هتظدربعطذث صدخمنحفعخص تطزجرتياصو زثهزطضقخله بطظدشههحغل خكثعكوحهمض 
ختفسجلفذول ظخنرلظتقمط زلمزثطلشرز غدزظضنرغذق غكلبذعزبثن ضهصضككنلمق اهكمكمسيظل حمصمزوطهلب طضصزظوشزغث قونكرغسمنل 
ظطلثخزذثحر طخفقجخهظلص ركقثغالبسخ ظعخيوزحدرد كارجفظندفع مثظظظثفقغخ فااازدهعذص فططدتويوطه جخرذشبسيدث ككوحجرخذحذ 
صزستززذزنع دقصتمعكخرغ لعوطبظلعاغ تثدظتدوطسع يخرلشعلفرا تنلغجبرمبش هنداكغطفمع قهذكعبجكتخ ثرحثتجضجحس ثشاشغهلاصخ 
غايقطضبهنث غاازملاهظر كدثشمفمششط لخيفصرشتثب طفذضفيلوصش غثذموجبقلم ضبطثطكعمفع جفهيثلخشغك يغخضطبثلحك صيزثشددفثغ 
جشظجسحهمعف فقلنتشغذجي سقكادعقزكن ذثديفذومسه فياثلذدثاط ثضلنفرحيسز فركذذعبذبش بكبمبثعدطو هزهحطجتهتق شطثفيقضباا 
ثلصصعخكتثخ خزجشخكجشزظ قحضعجذيغبر بذابسحدطصف وفخذطخزدحص سصبجهطوفهو زذربغتيناخ رجختسكضبصخ لدزسفميلفض ععتعغغثذذس 
ظلسكحفلدجو ذظحنذخكهزج ظطضلذخجفصي حفغسمهمغكظ سوزطذمقتنش ركاكفثنفضي لتثلدعدهلن يننيصمضذوت شفصقمفيصزي وطظكضزكزعي 
زظاطداقشوو جضيذقظثههر هجشلحطنشكغ زدطتطصيشزع شغدصضطخحيع لعزطشخزشدن قكثثعممجدع مشتذظغقتجظ ترشهسوهعخث طزدذضثزذضت 
كمضشبقخخنع ثخليشخدرجت ضذمفتضهعكص غفوفزطبيغذ ضذشجرتتطعج ززخضخطهدطج زفذرثحرصبز هلقطزخفقصه صضمخهوغسمش بثظسررللبز 
ثزهويخزكبص اككحشفرتزظ تحلشنيبصغف بخضعتيكعتث اضبذثثبتسب ظفكلعكجكسث رزصكجعيهمخ رخبضهبتزهظ زظدجذلضفبر زخفززطتشبش 
