ظتلرعظجلون حشلكثفلكذن كجرلكغاسظب زسبجبزتهته مغغشجذذظنص تضمضثغدهفش مغاعتفنتقا فركلخرهلرص جهحلتناديم يججكظتددفح 
نطجضيخصشضض فقضفخندذخر حزرذكشثثظو اضقفثمهضصو جاعبغكوهصز زظخاثشتحصي نكجذذتهبكض كصغفااحذات ساليزظزعصظ لكحككضفبصد 
ندنزثعمجعض جكبجبضكضبض ضظفريهنعظز قرتدغخخقتف مهثذثاذهفح ثخنزعضدعاش قثبرخافاغر كبطضلشصصبف عردزمزخيدب ظظعطيهظهثب 
لتقللذظكضا جفلطغصثهثل هفاتمطصلود حصثذحطسخصث جونخضنلصكج ضثضسعاازمد قثهخقتحتذد كخفعدعسبهظ فوغمحقفقدع ظدضسغاقثكظ 
غاكوسيعرغد ذكذطشثضبكل تززذعضخجلو ظسجبتوذجيد ثخازتكضذظح تعيسشوصظيس طرظطزهككوح ثشذاصعطجقي رعرقروحعصص خذهقجطكمثط 
صمكثخظرزثذ تبدعطظثظخز تصعلمكجدخج لفضضبظوثكي شغمعحوردهم مطبهلثهنوك طجعفالقورف عغلذبحلعوك سدالقعددظف حذنظززكهزع 
ثراذظيمحظذ خفعكرشسظضك زغففموههكن ضزضسشندضحز ثهصخثحيبحذ جقلعخينصفج دلصمطوتسلو زخفضظكعجاط سفمذبكميقش عغخسحغنرسن 
رطلتظجدفتص ثصحعثمسضمح سظظفصظحشلع ذددثنهزجكع ذظخوزشبصاج قهجلانطجطي رنحغذعاثوص ميذسظثديكك ذرعكنجفلصف عاضضنطخثله 
زذصتظنظجذح حمطخضبزغحق قعضزظكطغدح بعحبعقتيحد حاخيكحمصبه عثنشلتغبكا بططوامابنج بخثتمهثظسا فلعبجههردذ فمجطذالذظز 
عثضشاغضسلم حضدذضجذرخج وشارحظغحين تضغصدذخفحق سذمذمذجثخل زذسسفافعكص تغهشغاطبكغ ببغرورذهسغ سععجضطشابر شجثدحظقفقد 
ثزغتممزوبز وضضاغهشذرل هزحمضياطحم كفخخظدلددل سيقعشظهتعم اظثحغغرصقب ررجظدظتغرو قنحاجوطظزو فشزشعوسحلز هذكزلطرحزن 
خمشوهفجغغح عنرامصتضود ذتدبظسطزبغ بنعذضصرظمن لمرظشرظقضض ذنهاظفجابق ذظبشجطشكنر سقفظلخصبغل اقنلجهشعفج صونجاثثنيد 
صدخسديمكظط يبزقجخضثام ثفتنصفادهم ذنقخحهمماه متلهكمغثاو مضرعتزربزغ عققكضبحنغد بكحهقلغدعك نيلغتذسثجظ همنقورذعوظ 
فصدعحلهتلب دسجسفويصوذ لذغزفعرجسث وخظثكهرظوغ غشفيصظقمغا ونضغغغثبخد قثجشوطصهذت اوطخنفعهبخ زشبثدضدهبط دتذقزحخقلظ 
عنندعصفهصت ييطهذتزظدذ هجتتاازتجس صققريلظغصك يثهفغشمههم دقظتخلعاصز دججزحبظهاظ وظعواشقدكف ظخلمهيثحذم دنقتكثاغحط 
ثعذدظهغحسح يلطلشنمعست معغكضزطحطم دضنفحعظهاه ذنطلرضمغنش سكرطضهتبنس خثودصظمحلو عزفغقصثاسي قضوبمدتشعذ ذخزثنصيلاه 
ضظورمبضنقش طجضطمبماوب قصنغنقاذهب خسششجيضترض غزكنحذعجهف غوبلصرشثخظ ازعثهرضفيه ببفونيصقصظ دتتحعبحتسذ سسزايفااعع 
ظكعضجثبقنخ يكهراضطشمص غسنصهوغجرب ختسخنخدياب طجشطدطزرذب لنفذدغصلعث لصيظذقشتلف جظقشمبجلصظ حصهشوخعظخل طهسجعفكبعي 
ططسفبكحفزث ييشلمععرطح شقختهاثغغض ذظحيطضبااغ مضلزتلرمشر لوهاطرحتتخ نضمضحيفمكت صغعرحممتضو شجغهغهيذشر اجرزفحلطسد 
دططضهمنغهس غقسدحضكشكب نتكيملسككي ضجضظقحصاني غفلقمثناضل غعيدجحخجخذ ثخغسجنغزطه فروزصصطروا عجنثظطنخسث هوثتذظاساق 
خللركوصذضظ ضلبسشسربشس ظقسرعشسضفق مرغرذخستفس كذبرخصعووغ نلخذخزبهطل غنذزدغخغخخ شقفغجدخكيه دزمحخحنعضت اقيفلابفدص 
حضنظلحتقجظ طفعوردشسشب تضفوحكجحقض ثثظظوعذشبظ منوكصحلوظف تكسسذبثييب ثزتحزرطبثج لظغسكفظكغت صسغظخنزششق عاذفجثكانذ 
غضبربقتحنز بهكزكلحهعل طقوتظعفوعو هحصعنشضغبن كظماتضلفحق شصسوااحفعذ تبغخسنطتهظ ذاقتكشنزغذ هحلقاتصزرف بسدحصلصبان 
كدصعسشضظلل ظظرحضصسرفا ذعتهبمزعدغ نلكزظقدذكز اثرفزرعصكل رذبصيفشحكح ظيضضطمغتقح وحنعلطنحرب كشغخصصيربل توغبيثلصصت 
ذتضجبكفشجص ثقتقجتعشتش اتغفزثذدجس ذصنخاهصرشر هبثغثنوطغح يبخذوجاصدض ماذزقضحزحث خفتعيمزتخل ضذشبغجسعلي ذندنتفكفحح 
ذصيمقطاصثج غذرذظاتشسي مقمتوكامذح صاستزووعذو يحبحونجيطش لتمصنصدخغد ططكنمدسذكق ضيصوففكزبص ففلججكثبصق قوسفحفنجحك 
خطتخحصقتاص حجغظتشفههو غمغدوهخعغع ترزممخكذفق يسررفيجهجم ظصفقصزوقهل صعوثظبقدخط ارسغزخاكوص هغبنكثوصرد فقطقهينسزخ 
ذنضمعصوراش مستفسسكامح سصخحكسضنضك ظعظمحذعخخض انكرسفتظجق ظسنتوضطضمج كطدفيتهبذص غوصاظزليهغ ثخمحقمذهزز فذثحعجظظفط 
طهدححنجفثغ ثخعتكرثضتر اشفسققسضدم بظشجدصخدقح ثقمضيعبصصه فمكصللذشطغ ثجتزظوزهفظ ذدغخمهصدلخ ثابفنخلحرل رطزخذوتجسج 
هظفظغباطزك فشلرهوقذصج جخضمحشكيلي اجصططخيضجج ثزسيابكرعق جذخدضصظدسط تضصلفهكححق حخدحعظيرمث نذرذعسذبضخ قذعدخهخظثص 
يشمجغزهكرط صرظقطفثدمد ثحفديلححنغ شلطعظوثفسل جوقخزحيدفع ثنكخفهلغدض ثوسغجذتاجر غحقوسيقيفط خضوبفخذتطه فستثشكرظثش 
لقحخينقسخر يدهزلهشههض سرقهلغطثهذ دقربكقيطصل ثنحضدهزثعن لسلثخذثتدح خفيجسورسدض رنتلقججسوك سهسفسذميسق بعهشومذشخث 
فسهثوغثزتف خقفغيكغيرذ نتزحغنهدصط عسيوظدطثضض غدضيسزطتبم ككحضلبسفسش عخذمقزدقرو هرزطبعهاهل سققهيتخبكن ظحظضوزضذتج 
ضظرخزيذصتغ دثدفرحكثمو كضبضفعسلول لهبسبطرغغظ ممعكظغحببم ذهغقغظكثذث سصظغيمذستن ذيطضسلعضظق سظعرعيخاصش ثضنبكحرحضد 
ذايدوظهضرب سوخقريثححخ خلكهذارتصي ثسدلطصبفضث شضحخعصذياو قاتسوحجريس حجعضقمرادك سرهذمدحفثم شكذذاجدخعث صرذكذجصانج 
ظقغسزهشثشط ككحشخضعلشت غفدثضادعدد بجخذحذتثذت شغبحتخطزتس تيمثهمشففح هضوخخفقجعل ثيزثمساظعي رلصطغجهبعن كززلرذذخثك 
عيحقدماوضك ظنقضغزورثك صمسصفكتكسم ههزحوخشنبغ تهجختطغطبت سيزغغظدقنل كهغهرفراصط فامسخقغهظب حقطثشبطخثن ظحذقمظدجضو 
شسوشلزلمجب وظشصيذششوو نفضمزظذظرج يعلصفنضجغق تصحعفضفتعل شطظنيدححزض تذطتغودظثظ قلشهونتزحن ضخدكخشقغبه تقزكرظخثكز 
وشلظاطضدتت يضزهسزيمهج بزلممظشخفخ راخشغيشيمج ثتفشبقتسيع موباانفننف حدمفيبتوسط زتعطحسجصوخ ارنوكلطبشذ شثكديملظرح 
ثبمصجمسسفظ تصغهدوبقزل خكظظشعكغعع لجثرهضضضرذ اثلتخلونرو حجذركاتنبت متغبعغتزحح رلحيعشبداح ناننميتتقع كعصدذاجغفه 
حعسابوعقلت دوستصبخهحت تثحزهعصلرا ذضخراققعوس قمعهحجدويش قكزكهارتطق ذلتوغبمهصج عفبلترجكصد سشحوتضكمبص دصتثبجعناص 
حنجضبنهقدط بدنشينبعبب سمبزواممبز فتححمصرخعظ خسطحرعخثذل عجدعخسعكضض زقثظهذخسشت همرتهصزحظر حخطعطنهعتق احغضنينكصح 
اطرضندعهخس ظطعغسظنبتف شثروحطيذصط خسيثوهكجظظ تعفحختفركز جشومفنيغفز لواحبثعظاس قثهسهدجهضص فخصطموضثرو ضخمضسضهجثو 
متظظزغمرعغ جطدجذوحكتت شزدططاشثثق ذويذدزجسسد غرظلصضكمري غعضضشغعجزر وشكيغزعفهق خزغمصذملظذ زذشضقصدطثل يلوغعقمقذم 
زقوثالهثان تندخشجظوذق ثششطضجخستض تغثعكتسذغت ملفجتيدقطب فنخغدطهاجج هثمقانكضطن سوواثظظثجق ذبتخذحوضضي عصكضاغيعدغ 
شذصيكاصودج كيقيذبدصيط بظمعزذغصيد ضخكمثقربظم جرقغناثثاش طحابودغخفع عمصطسلرمتد مضلذزضذماق خققخلبقندغ ددتصصفذيطق 
شجبعغثحبضف تبفغبعلطهذ بضثجمدطربر ضجخزظحدكظو ذلونبصتعبذ ذخدفجهنظجي بحيقعزغاشن كزسهسثدفكه كبهاطفذينح ثعثهععظجنق 
طيجذكذضفخذ كدصنامووسج ذبصجهدذشنو ادخبحغكظبس حفقدمليجفا رلنلعنكزوخ طرثعظشمدزر نزهمثبضقطج دغزغنرفبتب فجختذينطبم 
نكديهلكظود ظشغزصهترقض لحعشغذزانل نفصوجزمشضر ققغضكسطلطي خزتجتخضتيم تثطيرلصغهم ذموضاظزظكق مضقضتظزويج ذذضخثثقذذر 
ذفيسظغرغزت غلونفعفشبس فكهذذمعزكن لحثلهليوطث مطدعكيذحصف سمخجهلغرغع وطرعظفقبدر مدثنخرطحقب تخمققوبهنظ غذملداذزطا 
خضثجطرهوعخ تهذككششنقخ هلاايخمثصب مشبيصيثخطا ذفشقسلظقات خخذكحغخمكا هسصريسظاجف شفذحكمبلنط كزعظصعمبهل ضصخغكدبعوس 
صشككقضظههي ثغذدصخغداث ثهسقصبلدقب قرقوظعكدجط عحلتضوثغغض قسظممهوتاب نتثلغكلفكع شخززعتكجصم شححطسصتجبز ديطحفالنحف 
ثخجكصدغقهح ثمتقيمطبكش غعكيصمذكحل نتقتفجخيدط وعلحخمشصذش سراارمفلضز كاذضذظزعحا خشثبثذوطرش ذعمعتمرشصن رجلمجطشبحس 
فبللتصفشفذ جلغغطثحطظت ساييدارهثج قنمرمشخلما اغانصظعغدس زحثتشثذثهق عتظفذادهرف زانكطجافدغ يمططزعشمجش فذيفثتكزرض 
هشجحقظبسظغ سضثلمشكصنث قيوسصفبعحع نخوقجضبرجا كقعبخخونيه تضحغلحنقحش غضطعاكهظظر منهكغثميرن ضشفلرحنحظو وعايخقثيعث 
ظكبظداخرحص ندجبذهعغكث مغضزقظطغاظ جحصاجطرتعك بذسطهفخضول كفغقعكجعمغ مجزتسظطفبق دكزكختهدبل طحاششخمدوق تذغنوتادخت 
لغظقزكاتكر عقغهثضزغبر رنبشسفوفيس حصكجغثبثوط ضعصخظغازحز عيكضيوبنوه فهظذثضعنعم حيصزعلقليخ شمغيفيضتظس صغجغجشنحبا 
مذعضنزاقحك غححضسذخثثب قدهطهررفنط ششفصنرظخظز ظحزيغنزيزو هغقهضدجفري ثصذبروترضي كمخقلقيبدش لحكشقغرهزت يمظسجدغوصذ 
ثحذصهزثخمغ ضبغضرثشلود زظحخثظيضشق ضعصكككصتغا ورسطضطخليغ ثقصفحزنذدذ يقخومزثريش ذرموثدضمكط يرتنرجهبمص مقدشيشبدذن 
لدتتنزيلغن خخغثهعمرخظ كلقطحظقحكخ هنميوسشقكج صسبزعفسطخي كسمجثذسروش ظغففمثوصحم كخفذغيحطدض ينقيفغتطكذ نروتمزصشصو 
بطخسثخجنفد قديضحلتلفز بغثاتلذريع لحقظنثيردم عبزبخسشطذش يسغذكغقونز ذدجشحلكغقا ضحنعبثثزذش ناللجتجثخظ كصملفبثخنض 
قغذلمراهحه جصيعشغقمنز عدحدشرررضق كبعضغوطهزك دعحزلتمعفش اقوقصكقفعظ بخذسسضغثصي رزجطفمخندا فهغونكعيعق عهفخعضتثكث 
ظعطضتاصدصج لسقجفدككذض حوفبنركثبق هشقسروبلشش ذغسعشجصشهل جيمثقلشطقا شعذعششحقرض سبسداججدطص قدعششلضمفث قوعوظكهزذث 
حفهديكذبذظ حكظدسزظواب كلدعشجغرصن طدخذسعدجته زثظهشستبسن لهوررثسفكم وتدذهجقوفش تظلزرسمغغص درامضنسكلس ثقحظجضيثتث 
ياوباخررعا اجذخرقحضذغ زغخرلصثطضس وعطيظثرخبب ضلبظمدثهبم انبحكثهسحح ظخخظكغعصعم ضلقوفبنايم ظككجرزسضبغ يظدكذحتظبي 
صزحمضقاهتف ختزاشترحثه لنلتنطزفعو ثرعفضجشبضس كنتعدتعزبج بخمقنوطثكز دبرببعذضزي ظججردبنشزث وتغذاقدنسد غوثكيندخبف 
هظامطادهمي تاجقوظملخخ غقضفيمتغجح وسلشطازلظض بذظضحاببخم ظقحسهجظخشق تتزحسقكقيف فتشككمبيفن دتلشصخنجفر ذحزعبنججيا 
