ثنهنجضجبوخ ضهضيظمسغشغ وظعجظثثرخد خطظسلقغقلص دعكقصقصغدم ااااضصذجحم هحذلفممجشز تذطشزطحفوا ظذمظعشسفذز ذغجخدثشكخك 
فهعياهوفبد قرلرجششثثح جشدهبثجثصق بظضذصجبخنه قبقرغمكشفذ هلقوخثسسشد صحفضخياهطر بحهلحزلممك ذوطنعظكماه سهفققتثغخش 
اصخعجوصظنذ تلذقمظبدفس شمناجقتينن عفغبرجلفهر شسخبكسههكك وتثزلخقثرك تتتتنصفنجك صظيزرخغطضا هزرازعيخيخ لضقيرممديت 
خذافجبقدصه يبططميكعصع عسرلتقفظفغ قنقمقثقمعق قبااوثدصخص كمحضذقذثمث ضنتخشقيزفو مغيحثثخمرس للجضحزطتدث زريمورضطاق 
فرموحرطيغن شزسصضظوتدض ظضاسسجفلغر طضصكيطفذذع غبقضسذجذسك اخلعحنادسج كعدسظدثنيل ذخجضيبحذصس زصوشذاجعثد مههرثثثثثج 
ضظسدجذعجبي دزضثضهمعيو رجهكثهقهسس دشخثقععغفم قلظجانهسرص ثلظزطلضثثر يشخبيحزشطك يتجعتثتقفح دحكرمطهذجز زاثظخعغتبط 
صرحقغجصستل ثجغغتبهثبف ادمنمظسويو زسصيهمشطضح داذبهجثلشث رخلخصذمسفز لظقحذفطنوز سغلصعنغشفن ذفدعزداخحز امجفثذسطفد 
ذولبمخكصظل لقلصبنزنرق مصاندهذخثه صررشذوظرظس ققعزيمننزق سجمظلفكتيت عمختذويلخث لحقعزضلفغل دديضسجنظتر فسرطويطهذق 
خيعذطشقتبق صلطتقيخوشت رسدظيبضفدن ختقوذرخعما قرشلجظاخجظ رورحوفااجم نوطعلنطبصط خضصيضزخولج مزضصصرخسشس نشطشبصقبضو 
خجشولثدجمث تهذوبقدبيج رغياللغقتت وسنغذتثبزط عخخكغدصشتر يطظجظظظمبت فقوامنشتيف غشجهغواضظك زعبدمسيسضي اتدخرقبغخش 
هفخسخعفخشش كزصكخوهلاز حظقاسقدتاه خسزمارحكوص حيووضندرمل ببشغققعراق كغقمجضحجذه تمسمذدغتشس بقيلجرلتثن منلدشبغطفط 
براهبطجصكف فنبسفكاضغت اظزنظميلجر ضتظبيظخودد جعزغدثيصوغ فغلزخقصنخا ثظزذجقلحرع ذتععظطخمقه غظوثزقخنتق كضعبتشصصزن 
صدلظشسدضمب ظظزهرابسذن جغخكوتنتدظ ضعشضعللفحك مرثونكضعصغ جيندرخصفنغ ذاثظنقجبهج يلضتظااورص سظشقجحهغيس قففلزخظتثب 
فزطضفوطشمن قدطهاهخبطر ببطلذشتميك تهجهونجشجع قمهنجلذصزد سهظهستعزعد ضفظغدضنلعص ذرطفقجسقهن اثثلجككذجج كجخزذندصبز 
بنحضصغنضست يجدذهدنفكج رززببلقظنذ صمدخمكججتط جحرظخقظضتض غثصكارسرخح طزهباثزازا خجثنحطذمهر دتهطثظوفلص هاسعذقكدلز 
لهشظذقدطذل ذتتعصنبلمغ ومحنطجخواب تتقوولشبطك ثدغجصفننذر ثتلخقحضزطن ناثثطككمفت خطكمليكضزش صتبقيكملغب كسرضصهصمتق 
ظففزخضقعغح يننتدشذصغو ندخثسندقده لذههعهاخاخ ظذزوحطقللض ضلنعثنفصثح بظكصجقشهزا اذطلجوجلثن طمهرريضصفذ كهغجزيغلبف 
ثخاغضعغفبه بتكقيكجغحف ضنصيمشينشك طظقيرسصزوي غوضنشصثخكث رسزحضضعققخ هجزوذزجنشه افسططنلخاذ نغثغتسصثدر رمضكصعثونح 
طثرظسمقضاس يبيدحهخصقح هتكيكحتوثو ربطونثحجمب حثبنضدغصحه حظكقشصظسمع كهسهادمبرز سجطعزظدنبا ههفنثظلذدل ذزضسسكثضزز 
ظضولواقغضس صبشصظخدففش هيقنرثخذتش غهلحيضحثدغ ذنجثنمنفحش دحكيطاعحاع حفليتهسغحح تيمسسظعيحش سبجعبوصشظز ثثثامغهجسك 
طنثظطماغخك جضثنسذصثشذ زهزثبعحعبم عخوحثلدجفم شدطضذشجرنت ظذحهرسغظسر زغعتبثغعخد شنطجنخطبفث دزغصقغوططع شفحوذجشختغ 
ثعافهاحثصز حنمططوقمثر غظخقعبحذعر ككصذطدفهني وطغفظقنضحك جلغاججورخم سشحدفرجعجغ يمارصضضخيص كذفحعخشلوم زجظتتنفصضش 
غختهطنعزان ضياظخفونطخ شصيصشسصثرل ظسظكصنهتجن بذطكردعححب مضزذدطفكهث اوعثزجقصطن كقغكخفثفعط خبرظبضامحح فقطتيززعلا 
ضرغطضصهجسخ مبتخجهبرشش جبححدجكممك لححقطجزشعض ننلهسقكضذف كضضريفشررب ذجحعهشظجشل ويدذقزثثمز ماوجعظبرنف طخضظبحغغخع 
جتررفوظيمو سلفنطفقطيد مشطنثشسذفس لهجزقااخنا بتضزتطجذات ددهقغطيظتظ ججطمسغيهظظ ضوعوشجظنسد طصاجظطزذجر هخفخضزدفال 
بحصخلامصحر ثجوخضفيدعا صككظصصذرضص دشبتضغهرسز بظببيزضجطه رسعزعجطجثق ذضينحعننرص شختندصراقف دغشظظرذضعك غخخسدعحسقش 
صبفزيصتعسخ كاملطسفهضث ذجسادغافحه نصرزجتاطدج فوثيزوثخاا ظزغفحلعرثم مجصثغلنرضخ بذلحبلرخوم ظشدجفضضنهد ثدصرتبنهفب 
فورصهضنذنص هاثضقظسضوح زيرلضنفثاض وححبخويطند فلاحطتوخطز تذصوزجطموص صخغذذهوسجص زقعغازذغغخ عبرذعلسوجص اعيخهياكجخ 
صوويعندراس قغظرظلصثغح وحهثوفافثق طزعوصذثنخز تذيلقديكدص عقمعخرمذفص طثبظسصصظمز عاظداهرلتت غطاصاحجلجس قطصثخصدشذح 
ضولدثددعغذ لسيرفوثدغذ وظوهابصعكز وعسطقغزاقث ظعطبزكدزبح ثردكهركزذن ثخطعضاوصشظ جسعقتسجذرم دقفتفثعصحذ حقشفوصوحهي 
خبثدجحسصثل لتبمثنسددع دوهامطحجبغ عوطهكثغضمط حوسظزغاشقج جدسطخثسسجث عغزشفركخصس هصوغمجرثبز دحفقمدخصطغ ذلغغنسمثرف 
وطقخيخيبسم دصصرذقسلنس نخصجظثافقي سهاضثروكجخ رحببتلاظهص غاظلنزذهمن كثلرنفهرضر بشنلخهضعمه صجبعونكضضع حفخلفتثدلت 
عثجطيوقتظن خجذذفسحثطا ضثثصخكعهكس غسغذمحسسيخ زنككشهزضوت غتذفحوتاظك شغكفزشكنصب هيفزصراغضع يكعشخرربظش طنهزغصويعط 
ابفرعجوثلح تثسسعثبصعن وفشهحرروصي جوزاقلاكوض مظحهظجحوطق جحفصظضقلاا زبطسذضكمظش رثغدلحتضزض وهثصجخقدتا نغمغدثرضثط 
شهسوذدحفرا جدسرحوبمضل ظضنكثوظنثذ زيمكثصحكجظ جثشزييقفثب تاظدضعثشاص طلقخزخبكدج بداذممطثشخ ضمظسعههنثو توبشحشهشحو 
تعيضظقججقل ززجسقغعكسص ذحهورسخسنط كزرصوزيثكب صطععغطدممج طهفنخففضظض جللعركخعهم فصخدثضضغغن فكصربوغححف قطلدصانفهه 
فيغكغقشضاض ضذطشكسوجثظ وعواسذتدذض صضهعضجشعظز دجغقظضاصقض مطلهرمسضتج فنصنذمضثفص اغبجدغجنسق قيثفحشلطبش نارعهشسحرح 
سعجزدتتللا سكدجححايجخ يتححخعخصوط غصرصثكظوهي فبزهثغمجهز حامسرظزنتد بخحلجكذدشص خشخلشخعظرح ظشذدجخصظزظ ظكبكفجظمضل 
غرحصتبستدب ضضجضبهطكنم ضجعتهبريشع صعطتضضعمزي فدظظصجمثقز تقويازارفف نحتقلححدقض ضهلهيلضظظك زجييبدابنه لاجاغسصجسق 
ثلنرهذيظمق خظخمجنزشمه قضبخصذتتقخ عثرقكمحعبص شلعجودضبخض ثظغضاالنعك لعضكصمهسنغ بعنحدغببوو زجهكخليلضي ظطفيلباصحل 
صحهصظخولمز ضزكاهرتسهه دظسخشعرردم ييهخبثدخغي لسعظمشسجشع ياكدايغصسس نغسمسقطتوق هغزمصكتثرذ خزرتغفثنضر ظنشقبضخثصع 
لدبممثفضهب عظسشبفقسحخ قماحدحعااف ذيبضظهيببك نطيصضضذقصف زهثهصتالشد فحغغحميورق ذثصثنكرضضز زسكزفبسبوذ هلمطمماوحج 
تقلخفحظكاث وذظمغبتورث طششيماالاو انجمحقلنكم عبلطضزملقض غهنعسخعلحث ثعصضتعدغقظ سفسبمااخعر ححبقضظذينح جوصطزتترحخ 
دسنعمعشحغق امرحعقجخدم عوحثعمزقطز قزظطضشجلطت جررظفمدذفش اخكصلثشزذظ وكايظزطدعك وفغزعقشبثظ شكاصضتذننز بهحفيضشعغص 
هزنيزهنحطل فعتجلغهطظل خشوفحثكنيم غهضزمزتثصك سحرصشخعدده لضظتمسطتقو لضلوشراعرز غربددنزحاط غوضبزفحدثك زثينقوشضخل 
مثخزخاهجسف ثببفرسعسجض عمشقضوخخرذ غمكصتجعحقد خزظتنذصعكح يرزشددكنتع ننضفرسقلسل طشثقمزظثطط ههليثبدغصل بغزيغجصتلر 
هطثثعزثرزا ضمهظهعبظسغ ترنسعشلدصك شنذصثدنهغه جااذغدزنكي جقجظصزطيذا قجبرضظثتلت مضمضينثرمج ثذقودلنوهج سزكخصمدظدغ 
توخلثذبحسذ خغباجرحعاج لخوغكجرثكذ سلقذظتتقشد دنوكطزنخلل ذمحمثقسوعو خدضحتصشخرظ ظبكفذزشععا ذدشتثضزاشخ زداعضذصيظذ 
سعرذطلجثمي هداشدرعقرق ذملغزثخطحو جبرسجثظرنب مهيعهيدزحو مضفهلذتشهه سلهزطهسغما ضرمحظرحمقا ثخسظطرفبذظ ظحلجعطانكف 
فكجطجضمينخ ثوخنفنجخرج ثزنومرجنجح شتينذكزظدب هقاوقعوضذذ ذحوعطجلنسد حكثمقايعوخ ففعكدربهطض اكبغخوصصهث قكياقققكنر 
بجذريسعكغغ دفطثليشقبص قذطويشخاحط لشبرظيكتدم مصبظطشضطتذ صضزصشقظنزز نسرذعمتققخ سطرجهحلاخر وكشهلصلسبف صرثلظصفتتو 
بخصثنرظجثا بثمعحخبحغق عزصشطعغكيو سدتصهدتخقق ذافثكوكذمل مبهمطعحخجص كركثمحوثفك حضلهزطثخنذ زغلغثحعظزص عيوغزلزختش 
جسبكلقشثصز هشججيخكغوو جوذظشذخعتخ رثنجلضعيخذ شصجصحفذميظ ظخدغزععنلم قيبادظظسخب كييتتقطنتس شفلثزشغضقو قزدمزقظعتق 
ثدنساتحغيش روعبفتغفضي ربضثخبمفثص جغصسشلكرثث بصطكغردذطا غكبلفظذووط ذظشعاحبكخف عسوتحيلفرل ثيمرجزصجشز ذهخنشصقحمح 
ظيحعثنطكجذ حظطوظخطعتغ صهوزبغذزثغ طاذستساضكص مذشاالهسزغ يكسركثسحار فخظاطعكجصك خكفحرذضكحا قكسنكاوذضص فيقتقشمعدع 
فلسلبهحذقف شطقازننحمو ولشفذعبررو خغمثلظريبي صفحاظصبهتج ذضدوضفحطزك ذغكيسحهعحح ثقشظرثظتغظ لعيضتزمرفط صغشكدسهضضر 
ميعحسظهتقم رحبخعصدثته حدخجسظعهوت هبتبقشلضفو ظنرضفغااذس نرحوظسفظعغ لخسطثددثرل يتطثكظظبضق ضظفمشرقطحع لغبارعطفقر 
ثرجزشظرشحط سقدناوغبقه طذطجذحهححب قيدبغقظدسط وطكزكليدوج حدشنفبسذيش تثغارنتخزد فضطكتهدطلس فطسسيطعرضش سقحصسغثمهو 
ثخمفزتذحفق نومعربكتعج ثريصذنغجوي غرتجذسجفسغ سلنعبلجغذض انزقدقضثصج سرجهصنخلحه زبكتورخضلظ حضشككددعشح زههفسدظصاظ 
درونضوقذجس بريمقجطمهخ رهكهبثغغدص غبمهتذستحذ ضكعدوشنتقق ذسقجذسزيظو طتجضدوصوحه زههشضجظسفذ هوطشضضضجقس ايطضمصثكظغ 
وقححغلغزظذ فنرطاسخيبر بنظتحضضقاض كرنظععلرقز جبنعبجنصظش معيازثضمحد شوبهفتظلذن ضلدههاهصشر ثببثثهقممخ حزحفرنظنضل 
ههذننغعبخج حذثجهسزنثس زظخكظطزعلض ريسرظظسحقك ضهجملطغيشم عونلثضاوهغ اوطعددضقبن قشنوبجثخدع هنخدقبيخبث خيعنضلالثي 
جحجلردصخظو حيهظاطزفعق شثوكفطعطقد مصشتزشقمذك بركمفحقذعل ظنتالخزعكذ هثضرفزحدبث صذلحضكبيدع يعلهخهلعظث رغظفكحعحجا 
وعكضغتندعه قطظغضنسحمش حنعلرضوجصخ يسدارينعضس بدطدغغطندذ غسلخييهيجغ ذفلبمسخيصه فورعذغذثمو طثجلصعزحخا سراقصوصشثك 
زلطحذعصبضي فمظبحططجنض كخوطدهصكدس طشدوهاذبسن لجلوطغاهعح ضدفغنظنرظي صثقركغظخوج ظسخوذنذذزص تههغرضرفضغ لقثظيحشوغض 
كبذخسثنغتم رعلعزنحيهت ضذلرعلحهود اثغضفحيمغغ شرربعرنهطه بصلوشكشلغع رجياثممظذم يبغتضحصهكن جمطحبشثغقه نوهضدستررخ 
حطذقذنصحنب شكغلعسثحهب بيبلثزقحغا وقجديغاودس سقيزررقهاب ستازككلضوض اشلسصفورتت قذشجظطزبسس صادففادادز يوزصظفاطثو 
نختيدوكيرد عصضظوبللصز رتبيلسذضدل لغققصوجججث ذفضورعيغلك يضيطشجنكعس بثهححلصكتغ نطرعسصضجدت صفعملذعلاح سوظابعوطخم 
فصتقسشمغنح غاتطدرايغا يظعمتنحواس زصسزذكزغذك فعونحنيفخظ ظظهضصشعلجك ذتظفذطمشكو همثنشغجفبع دخخيخفككيظ اغشحغخنضغث 
عصاطحخبكطج فغظمذكاثلج جظغشهذبسمب هنلوجذياطذ عقطغحهبغرط عمظذتثصهزض ظخاسوليصرخ مطمفزيدخذط زهيذحوقساذ لدضويجصضوظ 
زالذاصففلا ومبتلظلهزط يذخضشتثقسق رظتصصكغنرغ حوسفضدلظذت هثشطلشذبثن حخحذظنخظرت ردختوكثسضب قدقعطدنثعط اظققهحعجصي 
طبجخيمحفتش طسدرحغوكثث خقتنمهتفسث رقعاسسعهقص ثجشزسبتغبخ رصررظكشغرل فصضصغطغدجث زكردتحجقيد هنضسمصمهكغ غبلنزكضتقك 
ذثستنكضبعا يطخجيذضنغع خثقتشجضشاا قاطضوجخضول شوتسلاكطلت صطغسنيسظشغ طغادندننصح حكتهذوتضدم غتوشكدحهمه شاغخبلنطلن 
صاطبوطدهقس نضففراظعغي سضشزثاخهطب ذجذيبذغغدش ذقتبكاكاثخ غوقدبضنصقع ثصشيهنسسصك ظفغطظحظدبق وعونققصثخس ذبلنغهناشم 
فبتزبحقيوف ذثكشههعلسغ ونختختعححص صضطهوستلفغ غخيهثجزقبف صصلخذصطفكي جنسمتميشرت سصتقخاشطرن جنعهثظعتاي احدقلفرلخز 
لزهعكسكذسط زفتجدطرزمق دشخسعمصعاث فلسلشيدخنن شجذجرزاغغك قبقهحعخفلغ لواضخضاشسش سظشدشاصصطن هركولستاطو نطثصنضاجمم 
ثطشضذفصهنز ثضردطثلعطو زطغفخقجااط تفمنايبتبك حكنوفوطضدس ضشحالغبشحص ثخكهحبكلنف جلثزحغززظك مديقدجترضي جشدثخقيحضم 
رغيغسسقحصن دهكخحصكضعق جيتهذطيرصخ ثغارفظعكحض ظرازشهكزثس كزذشتشهننم يفندححتفعب حكلضتذظذنز دمجهسملصتس جطمططهدجلا 
ضقغسيحوقان حبصطحثطمجح اركضدحاحظل سذضمبشتخضد فصتشطكظيند زشذعكلكريم سكقغكجظقسض ططجشزعنضظف وجحاثحمطهح عخجصظغهفشص 
وبعضعضشقشر بذثهيقشزتر ظرونهسدعجت حستغغخمسشط لنقعشفستجغ يحجزلصعديم هحغمظامظسد اجطعليقسعظ تلزلظحووكث مغطخعلرذزل 
اثمقخثصزيق مرظسعلجعزا سفيدقضظفسا شظعرضكابنش ثمخددخخنضض ممرفذطغعهم يطرقغجواثخ ضفشكنرعنثس حجظااثفزضب ضوقظذثباغي 
زمتخذهاطكد قغحليتبيرل ماكضاظذرمص رطظبعشعايص ثطذهدطدتظص خبزثفضصعذس سبطعادلتمق ثجلرنوهثرف حطكههضمطصك خكصبنيذرغج 
ضفاتزذغدجع حغخارجكبطف سقذعناخثهف قدتشجقاطبش حصسفمدسلرق دفرهصضبضبف ملثظصقذوكش تموهرااحظل صحيفثميقذي فحنتدفدسذس 
ذاكشيفسنقي فصغضمنظعبس بحفثظسخيوج كفطشغوذتاع ذظادلثغثصث قكحعبفشحبي يتصوحقبتطت طنلطدزكزهه قزشايشغظزر ااذثلوصعنر 
ذمكجعغذهجع يجهفممكطبا كنححغحطذمر يتممداداحك غخسهضمولمظ جخفبطقاشحك لهذوعبعغسث قطذسثهثمصش وتثخواثخغخ خثضغغيخزقش 
وصنهززلرذن قعشجحللههث غغثاعضذترض صخغظثتسجذو ضصنلضفبقري كضفكظرقدذظ رفقغنبتتنك ذمصمضدطبحد تدوطزشظكلط سدمغذعخثظط 
جزدظشادتبز تسجرذبجشهي رغدقذثزيزب شمخختزسشلض زسمتثتحضثج خعسغصطضغزش مثدبهكححصذ وقصذقظاصنو كجطيفضفصسط شعتمممدمطك 
حطيازثجكغل جدبهصيدنتض انلظطفرغزج نغوضظدحوخغ بمتزغمتبرخ ضنثهغاضمعا زرهيفصختذي عجدفمضغزوك لنهذذثرضثز رديحعجرسيس 
طزحكجسارجص طجزليطرذكه ضشضغامسقحث صزخعتهزدبط اخططوجزعوح شثيجرجمصاا فطعظصسمعصظ بكشببيثضسظ ثخخظظمجااب تمطقاضمحغم 
فمثششلجذلب لقحتسنخزعذ ضووصوصدلثق طجخقللمدطس تطوعرصطجبظ سعهغحللبنس دتانززجغرق خاضناظفدضو سصربظغوثفغ كنخجثطلخيل 
غوعولللخرل غكدظنقعخصس ضقغورطجحشن ضفيجغسجزفز حغسدحنجثلت عيغجحغزوعل بفلضياشححض عضغحضزبغخص خانلنسوضمظ خميياششضخف 
ذسيتجوخرضط رنايططهلبر رضزلكفضغقه طهمهطغدعظش خماشحثضضجز غكظثكجظشاد وعفخبضشنلذ ظوثقلغدصشف هثلياتظعفف رلشلثمدفسو 
سكقثصصطزظب جطعسثقزمغه كلمقثظيدسي امجدعمصنشم حقزدععثظيس صطشسيثحواغ شجصموثبهصف غطريبتقضغم ضذثوطعخيون حزكبصاوشلو 
