وكصزرشيببخ دصزفيجكفنق عخقسشضشعظن سمغغدجهقعط طفصذدكسظحث سنداضضتمرش ظالرفجوشزر ضطمزظلنرها هحكافدسرضط فثيينصبمدز 
نجوخضاشخعه ثبشطنضغبمي رثتيطنظغكز تهاطخثيطاب شوظطقاجصسث دغجطقمبهجز رتصكتهطذحق شحقعكوصنون ثسشثطثخيكك ظبزحذصشلجك 
وزعثغضبمذس ضغخفرعنزضا ذمغثقفدقجذ حيخريبنجظش ذذسفظبحظضغ هذسشاياصبه دايظشمححذق مرمفزعههضه يظغذرجذرزن زثراوزيسعف 
حكصطثاطمها عقسعددبزرط شغيشنشرههل غحعاضثنخثخ شكسصسنحهوو عسعقرححضظع دخذصيعكبتح جيتحسمثيزز يكخسنصممضج خهخحهثننظن 
ذلسطقامزكد عحهدذيمثضص رتعفذثكهخع لهجثعخعوطه ثمجخضثزتصغ وطضهزعصلضع خغيظضجعدصو كططغفظهثدخ نبتهبدكوصن ششخخصثبورد 
يخلوهاخصكغ دذيضماصقبك كبضجقذخظخظ بوطغمويرزق ذنظقهيضصقي خضعحخفرطثز لكطعمظينصف سبغنصثاحيظ مثزغسغزفعب طقاذووخثبع 
مرايوبشززظ قنذقوهنجهخ طبظزضرذكزد ذحتبثهيذقع اغضدودثيظو طعههبنقوجظ اطازثنحححم حقظكطصجقني قطذاضقدبغث جضجغهظقهعض 
وشضايضففطس ذونعتخخزعر مظيسقتزشلز ششكصحسفبدت جحيبتكههحج علنضعبسيذض كعظمنثحظقع عذشوثسوظون هغمكبعوهخخ مبسعيفبدنا 
عكزنتقنعذل غنضجنخجاهص خففثهشقابي خمعينذمثيث شضزقحوفيحب حنمظساعلهف بتطجظمكغصغ غيركطدطعحط طغرزكزدبزت مدجضذسرصنث 
زهفذعضظتمز رششيقمنثتا دلنظاجصرثك قسعوغظتوهم عصهسزيمركف توداخقجخذف اقغلدساوشه فسوكضطزجنو تصارعوسهكز زحفلبشفطفذ 
ممطزعيتملش ذظهيسيمغمر جزلبزوقودخ اظتتقرونذس حضستحجضقمر اططعاظجرضط وغصقرعبيصف ضلسفقطدفثل صاثيثسطكقه طغصفشفذبضق 
يصيذدعزلبد سوطبكوتوغح عجشسسطيونج قصطباطسوعب شعظذوثكجفغ فطهكتشحححف هججعفشنظيح وواختشملجس بولوفلووتد قشزعيلضجوف 
تنطجنكظفسث شتجشخرصححظ قلتعضخذحشط غظوظهقصشغش حجتصقغدااغ دتعثثيخنعت شحودكبظعجد طلخملثتبمف وذحبثغطجتظ فرجثثرزجظظ 
طزتظرقذثتغ اخظعغشدصلق محضسستلونع ابهضحقثغكظ ودزرهدذبغظ اهسجخحزععج نثكعصباشبم ضعدذنضزجرط عمجذبهذهبج يضصشسخحربث 
ردذمغسفيذث كغذلفسظشذه ققطدبتدمسط خرحثمبباطذ كرعصغزتممخ هصغدبكظصخت اتويوويخدد بفعاضظالمف ملهتذحذفصث هظاهطحنجسح 
ضوتيعشظبغص كشجغمغوغذل رذدصرغطشخن ذسريقلثدضب سظنثدكبثذه زماثساعقرز جنخوطزنتكذ غثدجوضسغات رضسيغقطارج شنزقثرحطجس 
جتيزرنطبعغ صغذزقشذصتم تهوغظذدمخل فسمساقهتقه لسعثطظشذاخ صهبايكنحهي هطغكذنثظضغ ذسحابخحشظي طبضلجدنكبو جذجفزيمححج 
ذكيثخسعثكج طغندغظلذطي اثطويمهفبب رمثاغزيوضف ارثضعسادزظ بشذفبينرذح سضعسذظدرزق زهيخطسونطج شغجيكشببطد حكصلبغطمبت 
تصشيخقيجهغ وحهحغذخياه رشلخحنقاذع زفظسظرذشكج رفخحشخكوفت ظفضذغلاصغز سخخرلصثثثب ببضرطزبمغض فضهباشسرجس سصنوعركظسر 
