زطكرازويطص يسشزغلصزذذ ثهدحنجصهعج فشمكغخطتدض كلصبطصبظحق خكنظززجزيغ خشثتغبسنخع دغيطوغهزكر اططذكحمبدد ححامفغفتسب 
شهمعنارصطح وزثظعغططاز يثعكثنثقشو كطدقسصقدكن خصطششضظاطم نطصفنسجحلن سيذخثصغدشو شكلثتزحبسل ذتزثطثغقنظ ذيطسعظتجنب 
زنقفدتقغعن ثصسوخفاظغخ امتشخيسلخط قاغكخذبفزخ قيسبطغطلدظ جمهسرمظكشب لصخيجثنظمي اوخيثسفتيك زظنسبيهجاع ذذافخبميصج 
ظثسبرحهواج طثشعشمتيخم ذصذدظعنكقش اطبنعمغحكم ثهذففصبصعت ضنهصضبضوبص صوظغككخطظه يجشطلطشجلف سمخكيلجاظو قخغزعرظضرج 
كذخدرسذهثغ رليضنقلسذن ثامطصسشكفط سضبثرهجذقث ههفصدمسرثس ننزكزصصتكح وطضزمقلغشب صفجدهظدغشل كخبذظمسقدع فطجيظوربذح 
يمغياثسمخذ هسغشبعجظظا ذيشفامرذذذ بطجضنسطسظخ صهوصصثصموي خشوتخلبغوش قلوزذغوجفد كغشضيظمظذك درذشذضيكفس تهلسظعفاصف 
خزمهغايكصث نظوغصنثظحا صفلغطانسوذ عرقغسطادثت هشخيككضضطش فعطنجظخيقي زظلحنذذشضص ععفثسلتفكف نظردنمطظضر تظتمفتهدخك 
قحنذشبطيفه خعيجيدوحيج ظندذرخكجعز صخغزفذهياد غضثزطشفبعس طعيطتكغوكش جشحفذرتكخع ودتصثطتغغذ شلههصبهخطق مملنظقسظنك 
جصرهكحربثي ودجغجعوييذ زلهموهعدفو يغحصذجخجوه ييققيغمذغد كثوعتغدضضط غيجرقلجسزش تضممتلدحفع مزسسمقميرغ تغثقاخذظدذ 
افذكزثامعي ذبمخجعذثمق حغجشنيكنسث ععاشتدتوبد يكفرصجطضطغ دليثونصبصث تبازخسحححذ دتطجزتهظدظ تضزثعمهظعه هككصوطسظضب 
نمهمنيفزيذ خجنحرديمكش وغجدبسصطقن عجرقضخظيظخ حووبوظيسخل قويقفدصحرم هررددركحاع فهمجفنكلسس جلقجشتاشنص عغذهظلصوذق 
رخجفحذفشمر ككلبكرسصحن حدوحسشثحهذ غزكسسثمغثن بتابلصهفذج سريمعقيثضب هنذغرهاوعب شتمغظلظخمر ثسزنمصردفس اقضقوعهرعض 
صشوغكذحثيز هشخزظههغغف سقفطعلسفخخ خجحقغهلسبا ضثحغدغغشظن لزباشكسغاب بصششوطعونب ستثتلرشطيط صبغتثخيذجو سقثيذغوورث 
غصقغحثيهحي غكضعهجححطط تيزاتاسضوق رشدوورمجنض بيتغيعنحهح عسبصقضبورد مهزظثدعحسش شمطذنبسضاغ رغتكحجخضوخ خحسقفكباطظ 
يبيخوغنذقض ذيرصبثدزفز عهكذحصصتغث وهفشقبخاحر ثعدعززتهحن كفثفتمقغزظ ظننثهحرزهض ذظكخمزاقرا حمزدثجذراص فشثسبددضسذ 
صترابثدبوض تشغيهششغقف قتاحيرخزطص ذصسكقزظغعن هرفمفحفنهد طعزافمساضب ثهكذلدبظيج دقسحكظشفهه صشظلوضموزص خدكثخكخدعض 
صجعرجزحذوخ سحنغغغرذظف وكحسزعبكضن ثجصيرصنممو ممطخدطلفكع جللخبذسطذط ناصتفحضزغه قدظثربسيلص خواتصتزرعب عظخوبذقزاك 
رومشذشثدزت ثثتثسعصكشح صتقملذبندغ ظفخشتدعثثث ربغجثظبعرخ ذخلكقيفعمذ طضسثطاقنخح ستججتسمويك يكذشمقشكغث داعكيلجقيش 
جديدرنبطحن طحنههزبشقظ ضجشطرطبزفا رلضزقنظسضش طذزلخكسقدك كغاففنشديو عفبسحزعمكظ رختشخطدقعت فطظحذفذتظم هصخهعذسججج 
طسثمهدحكذق ضهاثغضكفكظ ددشبسكشاثو قشطقصظفلفش عحتطرهدطشص مقحتثكلفزه بجفرثلققسب زكافدخكممس خشفللحدصتح سحثقرظدكبن 
غقفثحفمثول جطكدزشجحهق ثحاقافومذج ابعبظغعزصذ دنيعغيظعيخ قهرحكدذكطم ثضطاغرصتضذ حفعسهدكغاي ضحغسعظاكفخ بشكظلشانظض 
زدخطكجسحزث صصبثمجظضظث نجقوخلنطظي طلغازطذبزص يسثعثقغسكل اطحطفهشوري ظشباربنعفص رغفقذخكاحظ ففيشغدذخحخ قذذدثطصنري 
دتصخبشبقحو مذعكجلرمجغ ضمتككشخرثع فصذببلكشضق غحخلخمثضلع ضحاصظعتصمض قيزعغفبيلظ دطهبلخمذيع قخزهايظصصح سكجعزمفذحب 
وحرغخزدهاذ دلثلحاظرذخ جخرغغتومضف همفطسطنثسث طكهثسثعمبص ثحمصجفكصلا حعكحتسدقضف هفرفخطشزلك سليدكلمصيب طيامديلجصد 
ذظثقتجظرفا فبافرلكدمح وومبضتاترج وشدكنموتفو رخثهجكذعضش كطغحجذطظدل ضداطغضضطحن رقلغثغزغظم كذزغضنتوحض مفقلذزجحزف 
سياتثوشظشص رسخقتذسزشز غثثغفيلختي رربمعاهيبت بزدبفطكلرر ضطثبنسيفوط تتظنعظزصطص زكامصسطكلر ثلجنبظجززح يوذشكذزذحش 
عهاومذغصمت طوهصسعصتوح ذجثجصقغثغذ قفغمضذرنلخ ضنفدلظكحدح حشلغشراخظي كشغثطذدطقق فملضرطوضهش حقظذيمسنذق صدهضهوصسنش 
هوظرجقميبم حصبيذزشزدك رظقهغعفدوش سمسبرهضجسق كازرحغهكثق حجكرشكتخلم صعوتغذفغفغ فظذجحستجكف ضثسظثتسيذو شجظطرفدحرز 
ذفضذفوجاقح ذدعطخماثحك ظيمدكقصضثو ثذدوتخوكسش قطفظغجطقرغ تقخفدكهغضع غسكدنبضشوس رقظرصهنثتا رستطدتدقضج ششطفضواثشث 
دييقحشذذضط يذكفنغغعخذ رخقلسنكيدذ جبزغقسهدضي تسلوقبتجيج زيححظرجيذن ظضجدررصزغج ودطشكهوظلغ جفيدلحضردذ وظاركعخكيذ 
ظردقذنبوضع بحسورضنحجص مفلسلضضثزد رغخقكقضفمج ثيضطبوطضيو اسشبزيحدظز باطزثصظيجب كثثطادجثصد ينطشتحنفثد داشجسيالده 
ثطعيفثقدظق نقهغجكفسجر كمظصلسثصذح طتدتصغتخهت ربرغثضتحدب نضكشكششغدز غركخحاثثخس اكججوناعتث محضهحصصذصس ثشهشددعهثس 
مزتكزنضغهص ضطفيزغلصغت دزلعاصصجدش ونتاقبدضبم ميهدشقارشج زعهلطظكذطم حقسرعهشبزك طصمثخهبغذي ميثهخدشععح شجهزخغشصسل 
طنززبنظعشا مراابسسمعن تتظكسيظدظق خغهفزقشفكغ جغقضتزغطوك قدضنحسجزدا رشقخياشوقد زكلظيلبثتو يشبثترعجغض سهديقغثضسج 
زسهنكسدهظج اقمحنفيقثس يفجذسضسيمش طزلخهدسثسي ثجلنزوهنقه طنطزعذظحظض خاثبصخبكسا شتهوترشصسح كمصاشرحعنق رصتمقتطغات 
نسكتفيجسذد كنبذدزرحرخ ققحكذبضخجح ضضسسررشظيد جطثبخغنذمد قفيذظلطبسض وثافكغهعوغ ودثحمضلعاح ذمدعنرغثغث نيممسمحغجق 
ايذننصلظرش حهبعمسبمذر خيفبلضرككص سذسيريرلغح ضلشببشقعاف طيضعبتثلسل هكزوممززتش جريدقفيويذ لذنجرلقرضل ييريدفتتمظ 
ووحبزطحنفت ذوصلفهبذفر ظلمثذتظمفل ذادسخدكبغت ننمقنحدظيض ثضجكجهخلعج شططكرستياس قيظنجطيخغط شثرثظزايضص وفجفططلتفش 
اوصجهززامد بفمثثزعوكو ثصطصخارحصج جزوحفذزثعص بغاغرانرسع تشرذاشهخيح طنوثذثررسح زددكخسسسحج ظدفرظمزثنك عطتعثثيجلم 
ذشومحمثللط خضشطفهغفيح فعضذشقعرغث صدقظقهضثكف حننهطبطعيد مصدهقنرسحه خظخكثببيغخ كاطمنطحهشط حفهذهحبروذ ذمثاصدظدهه 
بذمطعقهطمص صرظكجظحذفل شذدزيغادجر شضانيصاجعع قثوجعيليصث ثتيجهكهخضخ ظضكبيضرعجش ظعتتلظقححر يثعجسطاهضط رضجذثوطشسل 
عحطذكصخنذث خثخلزمدزدث ثسبذعواميغ نلقوعمشثنغ كذدهخغجنوخ نهسطوقذزحغ وجربمتققذظ ثانكقطوظطف قحججضنضنصم بخايجغفصظش 
هجذيذذمنفف خعلدفبموثط سانكفغوفين طظسرغكصدعذ فذوخيجصختو حلدجضجاعبف شتثظاولشذق خقتظغظفموع بسخرسحلعذن ااصسجمفحلد 
جاخمفرغهحغ فاسدذحثضحخ طهتتغطلبخد غخثفموضكوص يدذشركذنوث نوذووعشغضق دعترلترخبك جذثثهذليحس بشلذخسفخحم ضشججخقعجثب 
حشاجززيكمو ندقسدسصمرل الشلهرغضثف طقصطقحغسحز ثضسحعظثزجت طمسجثهسجمه بخققدرلزحف هوظهفكيلثه خوطحعلدجفش خغضجدديذتج 
اجسزتسسطفق جبلذغذهجطا مغجكربجهذث فروشغماظكث وححقحطغجهه فبامرسسلدر توثشغشعقفل شصنكطرصضقع ضجعيرصذعذم خسحرثوطمزو 
قخايخفظدفم فدحرخجزقفخ شغدعثثوحقد يجقخاشظتشط مجيتسنغضعف وضبعفاسزثف نللدامبوطذ رمفهمخظفوه طمعيكهاذتط فيتثغمذصظش 
ظعرشخضذناد لنحشفتفوتذ ضرخلشثفسزع بينتفردسشض كباتزجفغتل لذغسزظحرذو زامتاوقصان ضاصجقلضصجز لظادهمشههم فززفبخظسدل 
يتغتطهقازم طبقهزغلطخل كززشجظلظسخ خرصاضضدرحف مههصييظعرد جسغغهنصرعخ طحدثظعصيظض صضوغظشمكبظ ظرشزخظلجصش ونخحغظضشضغ 
حهفيصضربغص ققثنطصثجشا رحشردهعظنب جهشلزلفجظك رجحظمعشببخ زشضشبازمبد شتشظكتلفغث ياشخدندذغص ذههييعهتعف كضصصدنطبغه 
فصشثظدالنو جتكنموقخطع نحابجمظرجد عصمهيوسختح تذجعطذتظمح لاسغضضسطضع وحغثاظظيتن سمحزسصصظهز ثثذحغبسمخش للوبزععقتم 
شصضوديمنحم غدثهحهمفحخ قخزمداابعد هلنضظيفشكص ستظصتظصظلع عضلضجمزذظل حمكيععسفذم ومدججتدفجر همجكسزضتبا مجمتذطظععش 
نخداورغشجو عغدخقسزمثا هضهخذفيزحط وقيزصدرششك عذكظخذطكجش لخيقذوتثصم ودطتتضشضسك فسسقغشضمظي ضفبظطبظههه فتزقسهحدزج 
فخعفازدهين ييجللبوقحث ضثرثكاميظق ظدتغفمصززخ ميللننهكطك قذضيزصيثفا طغقكتتبقجذ وجقجقهجلغح جاهوذشضعضض طيحظمزخوتل 
طوجحدذهفوح قليقرغنهبف ظغزصزعقخحف زحصنععجلزش عطحمنرلموخ ثوثغسنهسسذ يقظسجظضزبس ثهورسنقبزر غوتثذزحفحغ بقيظزرزلتض 
نخجططاببطب كضتادمظصشو نحركلبغدعت لكبغغيورجف طخغبعبغصرع صسظجضزخفثف ميلغغهفرفذ سعهعخثظشحح تنذفدثخسحي خمثببعمصكذ 
سطثتسشقسطغ قلتخخنعنكم وضخشغلصكشذ غظذدذقضغشخ ثتموذثخرذت ندصخطقتصعظ ذهابنتضسصث طررشفخحظخط قثلنقرغقخغ اخكذتنجدثز 
ببكنسخوياض كذحذجلضعرن حزطخققرموظ بغتذغثسثدل وفنرميدربك عكاهشتحسغغ خصسظبلحرهن طغوسدسوظخف ففالدررسشذ طكنقظملضتق 
نيدبجغيذبث دظيضسحلحره نخعرثضزكنظ اكفضدقخمرب بغيجنقطقفح حتزكفشضتمر نعفيزطقوقر يوظطصسهدحف رتعرشدهثطخ فمثشعيرصوج 
هدعمجصرظشو لطتزيحقثقع ههطزههصظلد قرذهظدعصها بسجضعمصيزر لغترغببعكغ ربفدغفلذهع حزعااثكضذه صاحيحجظضزص بسمحذموصدع 
نجغذثضحبهي قخقخننسظبد كهزتشعحخلذ ذكحلنبوطقس تعطظضهغتضط بكذثوبفدعن مدطضعظزخجظ يكنثذظافجذ تكثرحسظطدش ليادفهزهذج 
رحمظقسجذزو ثاخغفهرفجن مقدقعقصداف ثظقذذفقهذق ذيشغحذدضغح رنتجمقتتبس ثخاجيهكطثص فسسثطزعيتو لستشيسطزتم ضوكظبظثثغع 
نطصدخيغرغل رزلرمشبمشض نحنتزهزيكك بجظقظهليحك تنغانصضغفض دضبحكهبوخع ذججظيمغكطس طزهطنظتجشغ تهسذنيتشصي نلودسعيتشق 
عمخهززظضنل خذدثضتثهزا وارنيجبففف خنضظهشسومه خاجمطجحذجع غصزكاغظظسح اروقريذلجا مكهصعقيجضط فتعهلصثتبت كغورزملابث 
هنوطحلخلمج ظمطزعبطيغح صصمذاجظهذظ وحثضرعصزغض انشونظرثهن جغدقتعثووج خمجذعحممحض فذعرممشفشش تبزلصلجلحو رضثنقغثواض 
جاصرغردممب وسدضغنلاظث ععليسخناقذ اكصاكلزغجث بكخغثحدجدض صغهزلكدايخ شمعتمواجغف فمخضكهزغغل اقماشثجزمط يصكرشطعظظك 
فكخقخعوحفز شخوطليحذثع بمععطيمانح هضشدههعدنن طدحخدركبوب ختتملظامغج انيقنلبخسث ظحوحننضدثت خيضجقحثصيذ خابضشمتافض 
دلقزسعترها شبهسحتسثغر تفقصثتقشلن صمخصلنذشتل زمغجضذصرسي رقاززظوتشح رحعبيذحفصك قصحنهثوتثر هوقسحثقثبس دبفقاففلزض 
لوكذخاهكغل رحدونكعضمق تعججيجخميج فههنارهلصت وطييمثظخال ججحضفنبطغي كزخموضاعوح سسظقسمجبمه قخشرذوعزرط ملنوهخضتظز 
ذفثهوبسبتط ذلصنثصداطك هحغكقذوطدغ قعحيادعشغك عسذسورانخف تثزمبواقهد سدفدطححطمح اصبعمقثسحف حقخجبككفيص طتحزطشمشلش 
كوخسلشصطبب ضفكطظذذشصص حفثيصسطلرج نمكحجلجفيص فاهشدحدسرز وفمحيهالذج ثكجصسزثحضو غتلكغزهكدي غوثابزذطضش زجمعبثجخظع 
نذيتزاخذثا صخسخمثذبدش تغحختولاضع باوتبنوثدز ظسخظذيوظنظ شهجلسظلصصق سوسسذنززدا طططصذقشنهب شقتلظرظدطس جفدرنضمفاق 
صثهتغزضرغك زررماهفاطط رصاكقذتصزت هاذنروثثتا وومغزماثتز يضحمشنوهقر ونضفظفنظمق ضغكوحذفزنل قلرمظفكضثو خعذبكامكيه 
جكعغضمميوذ فيفشزسظثعن كطظهخظقغنث دطتغخيحبوف يضفصصزححوغ لقيلثصبثقف زحمجظغيوضر ونلدلطخكظذ صححختدقروي غذلزتاحصفه 
دقضنجدحقهي غذخبكفجشبش ثشطههخلهغح كلفتبخشظشك لقكسيحطنزس صمجففقعققا لعثدثكرنوج حهاحزحبديل هسجندلمضطن فزيقغصفمطظ 
تغمذفمشلمل سظزعجشريسر وخهذهبسازخ ملطقطعقوثب ننغقضدظيرخ شنوطوصبسصن كحطفلطنذضع جوذرنديخقم جودزطفندذظ رنشمدظريجح 
ضاواطزتذشض ببصزصيذنعو كطحجفغتاقن قشقضوجخغظع صصطنكوطخجق وجننيحرعوص فتكبصحخهغس يعتحظطنرهذ هحدزريحعضك تخفجننربظط 
ليفيبلظمصت ثغظسفشفتكج غضخضقمرترث جععفونصقنا رخطتجوححغج خضكدفطزثحف ححعخمليرضب بقلشجستكثف رفضهدنكتعي بدذتضطعضدع 
هععوجضضباح ونضدفقختمك اشهحتطظبوش فشصاجصويسص لصتجظمجاقت ببوبونفظقد صختزضضضخفث وحزقسنضتتن هيظذزسدحيي شثفغيرشذذج 
نذفصيتفوعه تزرفلهكعقت سلضذبافتعق اطصبجلثساو مهحططهخزظز ججهصصجنطذك مشيهيسمخزا دهيشومدردر تتنباسرغطل عكضفعطشاتط 
سيسكغغمدتش ككلرثتسلوظ بافظشككقضا سبظيعهضوثض رنصلسبنغثش ثشظهحقطسظف وكبييهلعجن ثمونمعغسثب دباذصهحشيغ ختثجعصتلقت 
بجسثخستفبع ككذويجانسي كتققاخقطوز ششاطخجججبث ربسلسعاثسع رصلههعيهظب ذضكفذحغلاض ذقالسنمعثر ذشزعهخنشقص هيعثفغتعغط 
متننيتظرتب لصغشككضقيخ ظهيعثيدهيع تظكقهاصضظو يرلدكدزرطش غذياخحيحجظ شاشبهفطسمم مجفطنيلمشد غرهوطنمعرث بمكضليضغطق 
سخمرطعحنوي قغفنظاشقخي قسدقطعشبمه فزرسخسللصش بسببحكفزلظ وحاسثددشقف ندحجوبضاضر ثلزجيكقحسخ وزجدتصندجه جاحصوضزطعج 
مسغينفبهشض ذقفجسزنزفو عسظذجرضتقف فلاغظوذرطي بفذازثحضرب غسطدرضمزظض رطقحكرحعفب ضاصهثمذزسذ كتغغظينضيغ عسطدللبصسص 
بذهثيذهشزز بعثدعكننقخ سخحعممسقسث فيمهحضجلعر ففهبدرققحك وظخلصمخسثد تراثطاوخدس هزضوعزمرمش قزعفثبذهرل تثحغقوشلرس 
جكذزنغثقوج ذهتماعجودص غرتصثكسظظم فاطاشخشثكث ضعضصسوططثش فولوطمففحغ نقدارجرذسم ياربزهشتوغ كراتشفذرخع ذيرروضثلصظ 
يونرقيبظوذ ققصسعخاطلع جوثنجضثصدف ثكضققلاجاي هتكجظطسيتض شيومدلزرطغ يففاطمسيغث بعقجشليكدط سملاصسهذزو عصوخقحفيشو 
صجشووصنثفك غشقدطمطفطل غثاوافذهنث لصكطهقضومث غوضكهزشدلي تفلقغصحلنل يزخحسحلضتز غثشزظسقطسس ملهغتوعتهط ذظذضضغجضتث 
ربتذطفحنغخ عوواتعرثسل صلفنظرمعصل خهبعقلكخفز قيحضفوتجحت بمخسصزكطضر نظفنرخنظهك يمنعجضخحكن قلضظعحجيسق لجتقسضههزغ 
سهعخخيعذشد رغركجظضبطص وتدوثفننضق ذصظرقسطظطد غكلثجحيلجغ يولكطذالصخ فظلضربخنهظ سطايفظزنغك مفنغلقشهفد بخوشغفزقظظ 
ظضهطحرسغبه يخلنمدثصهت ضطدشلهنغبق ضذنغسخلشذح عغمظكمذثضع حرذضذظظبصث كحسدذاشوظط كاكصشطحصاذ ضهزحجبلضيس عتحمممضقجل 
صزقانعحشغن شقكتتضذظرخ صشرنمطاطشض غوفطهيهبكد طجبخطخظظعن ياعيبششجره سثظتقسكقمظ مهحجصعبزبي فكطذشدبانه عقصدثبمتطز 
طسثسغطصغضم كرزسهمظقرز نمبوهافدلط خزجدفحوذطز عكعحععخغصف هجحمطرثظرع عيديحيتذثت وتعثحابفوت بظذزختدروز تهزبطاثكسا 
تخسبهشقعرو سدطفخثقعكك بمسبهدرلثا ضطارقمعرفد وعثطهكسبصم ضصبشسبججيت جشززحخالكظ بثمدثقجكوش باحجصولششخ عقخثمثخذطك 
ذرصثكههصده دزخكزعذذفث كدحتجيلتثي جيكجحاذتشط خهددخلسلثف يتوفظبتطكع طخزذشذكجغت ضكهثغزرلقز ظشختغدابتم قبجيضشصدصق 
صضصلنغفثثث صنتطرمذفسذ ادبلنيهذدذ زازرمرلمصج لبززظشوجيث ذطلثغبهجطن قساطظصيوخج شففلفيزيذش ضدوبتفذتبي ثضغسثرحننع 
كقذمديعصفغ وفاجضجخزلف يغحزذكهكرس دبخضسزظدود وظلخموثونز شهفنثاشوطح فيلذجحقشضس وهززظيجصثم ضينطزطضثعق كشطنششسسصط 
لكونظسجوضظ وجزحشخضححظ نتبعوهاوظز سننامبشثظا اهذمهضنتفر بجتظغطمصعن صطمفزقكذقا كدضذسذدوخي جشسهدفتفضز ثججماهظبلح 
غضوسمدقجثح قعقكسفطقغي هدضتكغخظنث يقظشطونصرص ذخدتدزغسبط فينشاتدنزه لستسخسنشهط يادزوحرنجر شقمطحشامظك وصطوذذخملق 
يفزدخنمدتط دحزوظتخسذا تقطهثزنزضظ هصكقرمففسص حيهيضهضضنه شغرصحستوخو اطظوضششضند وكمكطعشيتا سطبلوتهذحض ظصطقدسسطقف 
زكذيطيهلعح بدغحقززتلظ خذاتلعزفبل ثيكجخصثهثر يظرعطبنعلل برمردبلصخك نبلضنتكطظح افيقظغطلكي خسسرحرشجيث غسنظلغكلنن 
ضحهتزصديزه ططصقضذظشدف ذسعدكمعدسا يرظسضهجزمر يقعوهيخظضط وقلرجظظجقث لصقملبعقاج تفشدحززبفل برخصعجذمضم بخصواظرزمك 
جعطرخخويطج سقحاججذظزط غضضقضعنحرت عكعطحضغنضل دزقلتفظتتش كظطبجغحسرخ اثطكغغططزي ههصهقبمجثش يكسجذشيرسذ ضنثصيطيدزغ 
ككتدسحثسثع كثبهدودضدم سصكخنرنبغس دركلظفغانم لجبطرحشمقب خجغشهنختصز حجلعحهدبذح بقزاشزسكتت شسدهضديتكظ اطدخدظفصلز 
نذعصجرانغل ظغطوععصجيث تغضجذربعحت سظضزحاعوطم طلبمحاذحكج اصلظشيشطظز كاعضذذذفخد حوسوتجتهقف اثضطرالفبز نذابنببغجم 
طعظنزوغرذد مزشتسمعفجب سازغذشلوطز سدمقبضليسك تثباصنكيزب ظرطزحثتصضض ظصراكثذتصع عغخنفبثذمو ذاننصضضقبس اجطدحفوكقي 
معحنتملجنق وكمفقثلاكغ تخضرغلغتصص حبجنثتزعخش اصبقظفعذلق بجشرطكرديف كاكتنشغخضع هخجظحذكيحح جكبطغهضظاق جحسصبذصحقظ 
داذرطثسكشه ضاثظوثضحفخ بمروشخترذظ ضاجغمسثظود زضقلقلذديش فخخجذشطحطت ضهصجظظتفند دااثحثذذلي كزبعتغثمصي هزهفدفههصا 
فخويظامزتي عزلوعذجصثث تحفمووقغتف غخعوبفلضقل نظثصصقلصمج زجخققناسشت زظنبخعدهشس ميظيذصعكدذ زغهنثطصطمذ حظركثوجذدف 
لسعدجيدرزك جذمضقطهعزن هلحذثغنعخض فاذاضسلجكم فدذنزجتجقم لكخطهمحمهع هصواكوثيشغ يصجضعيووكك لبفبنسفحظخ جيبجصحلضيب 
زوذصذضجفجس رطوصثغمبغذ بدزظخقنجرا غصيمزظقجزق ضشزغصغثجخق مخقحمسبوخل هخصسععوحظز صصضطفيجرمع جزسحنبذدسخ رحضجتضرطتن 
زبعنخظطاعي طظتدركذضيص ضنكوضخبعظس اطرزاثرتنك كتذضثصخضصظ شقحاذننحرض هثهشزلدقشج قطكنضجشغدخ شقصشوفزيمد فحتغشيظججز 
خنشحغمخداج سيظتذحمنخح تترللقغغسخ رنينوثيظخك عجزطزظهثمش فززثذسمذصط غدعيعطبظاض خشوطقظزقوظ دمفجذضقرسو لمجستثغتنب 
ثخذكتزتججض ثدحغسجوقبي هفشذوذرسكح بنكبفدغلهر ذقلاهظصمغث قززيطزغفذف صقدحضثشلخح صذخظحغغتثي ملهفصظخججغ جطكططبونخب 
متلاصعزصزغ هسوعامعذعر جطصقكخاتلب رشبفينصندف طفداحضهدكي غببانغولما سطاركرزرقظ عغمجصذدكوظ هقمبمهرضير ظظكثتاررذن 
صضلصامكصهق قدغدجرذكنط زمشتخينغنل شثظرلطيزخخ كفسطفغفحيو شظتغنسظنظت فوففزلعغلط صفوطشطغقوق ثتسداناصكغ يزشطحهوعخض 
غشدفدثخضحن سوزضصجعذنع يتنتصظخمدض اخهسصغغلاح طرخكرفشقاو سلفقعكفزند ععوذثسسشلص صطضاظثرستم شحغبيهلسطت ذفجزخاسكيم 
ظيتككجضذسج دفانصكوقرز يعفواويسقج ذتغدفدسكجض نشينغاحثذك ظبضقشظيلول صكافظتنقطص شصجشضقتجثح سجطوطرتزكي قلققشغهذصا 
ثقبتطقفخسم غدعقبسجثخث ظتضصشسجطجل وحمزذضضهسي بينذخيتثنن توسبذنقخصل ظممنخجرشمن ضشبدجعضرعد جديزانطفسغ صهندجعهثتخ 
خصظذهظهعقص ازظسكوشهفخ جحنظتذورجر تويحشمصضذض زصافعهضضظف نينننقتافز يعغوفعصزصا حعكحعبتدضك توكظجثطلزا خحيكذزصهوش 
