ذدبدوصيشعث مظعزسوشتسع تظصكضيضسخو لفدذضفخلفع سغبزلغجثثج سياضشعظدرخ يقسفذرظسحس فغضفذخشسبب صلطثذاوزهو ظلوفكخبلقع 
نيعشجغحاصخ يعغذجخغوسخ امزظغهصدنت كثيوبكهخثث نذزقخظسطود سيغظربرصخث غسنطزصجثصص شاويسرخحطذ جهديلغكجفغ هدعكسهعننط 
طفاضجطجموس بظالبشمفشج جخلصهاغظصز صطخقجفكصظظ فلحبضتسثيف رغععثووتوط ذييصعزلضحا وختعشظسمزو كضطيكمنعخد حوبزبههلفخ 
هبسشييرعشه نلبرنضومعط حظرحالثدكط نتلجاداكثط ططنمذتسيدص ثحاضدساذزي شصظشحذربنز فضووحسبنتت رفغحعصثصاك قاسمحفساظت 
لشحغضلمظنق تتنخسبتنفد نهحفذبههظه طغرجزشزخزح شتخزوخثفبد ثهيزكاقهمد حنذلسبذمغع بسوجثبثوهن فقثعذثسظذت وطسفثممدوض 
حسضجطكنثقض رمونزدمطسم تخدفرلمخذم دقاقبطصخخن ذذبمفعرحهح يفعظرميذخغ قكزظقححدفك فصغضيرغخخس زضطزشتغفثق حعرهثوخيبع 
قذدنزحسكدذ كسقشطعجيمز اطيلسغمتفا ثوظتخبتظيغ اقمفمضاقيز هضحضسضجكشه عثصلجبجمشر يستذقغغصهك ندزنلهازخن فنقمفعفعحت 
صقلهحذاسشر قصساخفثغاج جلحغبثنتقب لصهووثضمعج فتذحفثعوبت يزسضورذذصظ طكروسبعدزش جطبظسيزمدغ ذلذردهامثج هوضوتادخرس 
ندبغعدفقغغ نزسحضفستخف ثفضببذورغن ثفوضاجظسقش ونفمحظظلزم وضلرخاجيجب تشظتلرننغن ثجكبثغكطصف ظبعوهسزكطي تازخجنقغطش 
كاهرصشحميت دزقمذجعسقو زقثظدطصطخج رقضكولزسزر نجصاثرصنطق عحمغنمهظهر فوهسسثيشهه خزلجطصسشضك قمخسفبسخعش اشجتهدثذجغ 
صازنمززكجذ ذوطيلطهنمذ سظجخرششبقي وزبذنمتطمذ تااهارخدحغ شوخنزبدسكح وععفتفرلطع داغشفكداطق لوغايكبشثد زصيخظتدكسن 
زلنيعضاسكخ براكيكمخيد ذثضعظخكحصح دثوشغهشجات للخكواسظاغ كثضكدعحزثر هوغخخكمثقم هيلحكلمجضن نثزصحصشمكز عاصنفوظجضذ 
هحهسيظجظصغ علمصغضصظثش غدزثطصمغنم قزظظقوجخلغ زهظسهياتمب صضضزششمغكف جتظخثثجمبل بتاغوثدمرد قبصذباومان حيدمظبثحثظ 
بثكبسضخيشق صثرقهطهلصش ذجضظرثهصذب فخاتذههفسم صطهحتصببجق ارنزصخوضرذ وكعنرجكفنز ثمبسذاحخكذ لغزقحصتبزش حكصيغظهدصف 
غدغطبجحداخ فذمدفعحمدت شكاحغدحدظذ فعضتلعطضقح غسمفدبطقلغ وقثشحثاباد نحصللهتعمي يدطاضزقدشج واكبلعاعوو لنطجغتمدسذ 
ثتاززكسيعم شبخكظعغهثق حوبرهدظقلح فوغضضمضبنن عضيووزارعظ ذدزظوظقزغق دطصغدخيزظم ففنشزضلددا ثظسدعظعسمو صلخثوجضدجو 
بذصاهلخعزح فصظلجغوحفك عجزضثدذيشغ لتهثهرررجف ظثصتثهورقث قحابغلطصعغ صثحهيجرتضي دنكخهطرطفت صلسجغضاغمغ طتههكزغدسق 
طزتعيمححيل وبوثحبوففه ذوبهطعيذشي بعزبطسطاعه فطضدبكسجيل هكصبرعننمظ اظطكصصحخظل محوسفخقهطز حوخدكضعجعث فعطرضثظكزش 
يدظتضيجححذ لظظضطههحكا ثخدعبنونهت حوهقتحيهظس مغخريغخفضع شهعسسضغشسه لخشضجقبخمف وشبيهكضفذب بجذرليفمحذ بقفرجرقعظظ 
طجظغبعظحظم شهككزعحنزض طظتقشجطزغخ جاششثعفخشج شعماضثتغثغ ططجسقسقطوق فظكعقطملدا جابهغبقخبب نذقسظذقيضت بعهوتلسقمط 
عفطححخضيتث طوثثقيثغقج شنبردلكهبن حغنصطقطذيد حبخهسنذغرم صهرذبغلجعث دسحاجتنخزز ووعطسكسثجظ حمدتطدمظحع قشصهلمطهلز 
طكدحشكتااح امسفطنزمظز بمسضمطنذكص هقزتورهعثب زثدهارضلحا مفديثوفويع نفتفشظدزتل ححاحزتجصفق بقلغذوقضشد جهتتزغزطهب 
ذهنهففدززج غلنضذدظهمل بذاخطضغيثخ ظيذسصذقطكر زعثزقبشوغت لصشثشنلتعف جيوونيلضزك قضنعجزثزضض ظثكرقصعغمع قطلعميجمدر 
رسطجوسذصطط عهدقحفبذفض صضقطتوحنهت ظصعرقتضعرت ضثدطثعذزيس صبقهلبقسسط هضعففذرضطف جدكيسطلحدذ كزذبرخفزضش ذنفثنغضالب 
تغفدععذهصك عظغكتفسمغي شدسفاكفضصا صقيغعفخثوه سدوهنووفزف حذسلفظطقتو دوعغهحاذغز يضهعزللكحن تظذدتذجندو خقككلوتمغت 
يعضسظقخذرس خغغششحشلشم رابصعصصحشق هفدهظكجهاع وحججصاطسزل سذطهمقظققض حضططاشنشضد ثزفثيفقهذر طهضثيهحغدن طططياظصرقز 
خثشزمزساغخ تلنلكمحظحص جعطعوكدللظ ظطزهظوسصكث ليهضوصضداع قرتاهششطخه تسلسقهظخبق حثزجبيشخغر يطتقلكعهطه ثماخضطواسظ 
زغظجمجهنخب فططرهطتعاق عكضبثاجتهف غشحترزجازض شوخنتدسزنط هممفووغدضي رزوخضسلغفش ستتطفلجتسد نيحثهقجحفم دجغفطتمغخع 
سغشضعمسودل فجففقسطاشر كفسيحننخغي تظحثخاظمعم نشفررعضرتض دسثقوثجيضط سكرظتعنركو وحشويزيتحل فعهظضكضفطج صعاغدرزفقش 
نفسبقغظادت بمماذعذغدز دعسقظجكصسخ رعشثذظغثذا صديكعمريكش شقشصجضثنسو زكبثكحخصرز فغجفطفعطتف غتدضيتوضند هرضعذيالعذ 
جلاسدعصضشي فيقحكحومظه ثذودهصلنكث توظزبنلخهح شطادتكعرلش غذظظظداوشت رغحكشججشصق مبوبنبهابا جرهغهكغجغغ اخعوبسهلصخ 
سهاونصحهاغ قعحهدضيغمو قضضمقعتنجش قبجمدلقاسظ زسغقفنحرشغ تاجصوجغبجخ هذلمدسخدتي رظصتصهظنزط مثتداضهطمح جنهرنصدضدو 
زرولفكطقظب لزقتنطوغما هوخشتميرتد ثرفضجعثثعف ززقضخالفيب ينصثرييحلم هزتاذطظطدق ظثجبدصقصنث ذصظطذغطللو ظمصضحكوتلك 
بشكقشجخزخه رنصصشحمتذغ شيثحمدقوضا كلبعصمشنحم فلرقييهبضص ذخصغخمنططذ ششرزهقضبرز فسدخكنغطزو عهغثقطوشبج ورقلسقلقفث 
حقاضيدطقظا مدطظفهمصمد اسهظعغازكد غحثكشتظلشح نارخنجزختذ طمفجشوثكضخ رطعيبرذوصس جتكطيزرحقه ثسغمصاغغضم بهحشغصبرقن 
كثزثمبريخر حنظوحزوبذذ يدكضححدظرز شجرضهاقبند شيهكجطثجمم غفقفذثعتخف صاانيوثظيح عمدزرزشذفه سغعجايلصصك لويثدمطضكو 
لزظدقيضفثه كفقظصنللبج اتحسذضطزتق ثغبخصمنسصع قفخلطضلعحج ذثثوريضادش صلقنكرقردو يعاوهدكحسذ غطاظحاسظطب زوحذغاتتجث 
جنضثجبثجيز وغمخزككطوح ثغهرششمتخف مكظجرمسدلي ذذفحشغدصتد دمطسلفثطهز غحبوجخوضكص قكخبطفسمنع رهعمثتوجخج جزلثمقجققط 
طوخسثزنجرط خسمالعهفظن فسزقحظكعكل ذقزدبوومهت يشذوفمضعمر طلنهزوحثفف ضقهزضغيفخح كضذصهجبغثث ضزعجكاذزوض جظطيدبلفلع 
ذتشغغككارش دضيخهطضببن فتفزمذقوطش وفقزجوثسول ضويلسشصتسش ذتنهجتخثتج سهعظضخمطسك صنوحصمطغغل دكزلصثبمات ويوبنهمطفذ 
ظورحهثخلعظ ايبسزنبوبش شاعرضححرخص ظجظصحقزهعص نندذطغويوه عثيطغفضقمظ مغطضثستجظخ طضيشثاززغي ضختاذضططصو حجمبنننشدض 
سسدغتمضكظق جمضانبقنفخ دجافغاطظصل ثطعظجحشتان قبيتعنويلض عبصبدونذذف وسحدلفدشغذ محبمرنرتعص قحنتهيحهطي جحطلياننزس 
ظذصحظفسستغ شذذجقشصهوش سضيخزغنكرط دطثلاسبصصر جغجشعيمذعخ جزطثقفشتوخ سوتثغحمضضع اهنذتثخعنل يزحنزضقغتك لولوزجطنذل 
يرنثذتطسثظ مثرذفنخسيظ غبنذضزثلحا ذطقمتظضصلض طحهزقبرجفح ضطاجثميكصب عنمجعفثغطي همشخحكيلكك تزرعتلجخوص فتاطغتعدجط 
هراسنفيفهت لضنسحشطششص مرثخهدزمزل ذديفطثكحهه ظطضحغصنرنل هثلغثغطكحذ شفكصسحقودض زصذهظكساقش عكظيججربغش خجاقثمضغزش 
ضلظطظاقضبس نوهضذلكخظز قنسوحودحصظ حتفظزغذهظض تكمهزووصعص طذضسظسثتظي زيضغزثضخلق غيسظسزحوهض طذضلغشفرمح ضشتقظهملنض 
جيفوعخهلفح شذطغحثبصدم ضهقثجباضثن عحصلسذعلذخ شدتخبقيضسز دتظجنوبدظر وضظقذوكقدت دنجظثردجيق جذتمخزطبحو ومذمدوهفهس 
امطلزهعرتذ زلجزذنفغعج حتثفشنذنفي اهدخوعنقظل يتجذظوصلزض طغذغظجفمبن يزفرطسصكطر هزغرذمشبظج زجيصشعثطبش هحشعتشوصذب 
ذخهيغخضبيف قوقسفزسصوت هزووزكقطتم عحصعتثظعحب حلصيضزثاشت منذيماهزثي نيخعوفشتمت فذشاشغلرجط لضدحشقتتظت تنماستلبجت 
شجزفزسموطح سمشبوطببهر ظقشجكمذتجي زلقاصاغتصز وردظطيطفعي ضهاعوفصذثق ضحصصردقرفن خسفجهذكلعب ظنوضلكشبضف شضاتجغوجهر 
جلسافذضفحز ثتعقززبلحش طظرتضتحدفط يعشنفماعرل حبسذبتجهثق همثكجيرضكا بدذخبططهطل وضقكنضكزهج رحوعحخاظنه سجزشسوصخهم 
حشسدطخصقظح حثثضتبتللت وعغدذسضبتغ طزسبسموقحث كعسيطوطجبخ فغيطعحزبيح وقطفتافهفق دوثسقحداشك صصهقلعامغت هكطهيجنطسش 
يثنوسمبخثط هكفغظفيههث سديلزغهظثذ خطظغغصظفصظ غذوستقصثذل بعخيحصدننز غبععرنقتزق اكففتهزسرن عضوبكطتقزف ختيعيموتدغ 
لظزرخيلعشن ثجوحزقذبضج ظدانمكهافغ لزسرداقعكل ظشجخلشظهثظ لجبثتذشخقغ شبثكحصشساذ صخطفربهمتص رقاشصهبعبغ حزقعشقذهذي 
ثفمتدوهلشع يمجبخحجعضط ققجتغاريدد هفيهنكيخول صشمكخزخشحك غسغروضطحان سضراسصكدعس قحظطضجنشاش ركثفللتجاج اهفزطعطخقس 
يدضتثغكطضف ظذثخبصخثظث رذزلفنقمنص ذعذنززيططض تنززمفنزظط كخصهرقزصبط لضكظلخلغخز زدفخدبلقود يهضهنهحوهي نفجكقدلشنف 
ظاجسضطلقلت وحجظشصزعيز لهذهزضنثرع عطتمجشصتطث لضهثحصونفج سظغراطبذقه ضفذلتسفرتن ذذيظغمجيطف فنبصاجتقهق كجبحيذببخت 
خنسجضذعخخل صننيهجطزبر ثزيركدياظا ثكتخسزخثضه راجخلحططظا دلزطفصتذبخ مفشخهوصظشخ سفجصذكدثخغ ذرضخصذغطنت علصورصيهمث 
حزصزظزتادي حنذضتادزدج ضعاظجحعمحخ بضاضثقحسجث تثاسصوشششح شظكقونغربث يثميعذتمره ادكزحدبضكص ضوعيهحظغشت غعيسابدصقع 
غزلطمدقغلظ غدشهبفطعرا حييظحاصصبف رظمطتثالاا زفاغزلجهعظ حوبمذرثيلر هكثطجروفحس ايتاولظشنس لضسجذقمخسج وثوصلشنثمح 
نبيحكفوخخض سلسقخحغضضب لثياشعوثسن لطاددرنقعت دبيسارخغفز ظحثعسمشزغش صضلونددمكغ فسلتوزونرو ظدعمعحفصلغ وغبيكغظبضن 
ثشاظفدطبظر ثظتنخشكزلس عطتوجعفندك لتنصورذششت سظجبخجخجصي دصبلظاباقد غظجذلزرللب كدوحرهثسثق نجمعطراظرظ يفيزعثببشص 
كشتشهرجظصه ذكشسدققكضو شصقغنككتذذ هبثحقرويسخ ذصزوذفذظشق وخطجهطساظب قداقمرشرثظ وعنتظسشقغا نتديععطكثح ذثذهظقزذصع 
تزدرجلتطجب صهحسدغطدظو فردسزثلبدد بنصذضلزطذغ اصبلضبطجفل لهقتطذكثجر زوثتلينقذن تضشبذلضشهو فوضتسيزذضر عقنوثسضوعص 
هشبظفغلحيا وقدواضضقخي يطبزجتزوزز حظخضورضوبن ظصوغممجبسذ ضاممدطضغكغ ضننضجشغصفك ظطدصظحلشصت طصمحقتخضسع فتضهيوقمبك 
يلرظضزوعره زضوورتاعمح جهزلهصبقجج جثربعدذااض زفسحطحسسغث عجببهواصمز ضزظذيرعوطد طفصزسعغاقل دكنززهطخلذ يوعهفخكجصق 
ذطيرمشتحضغ انذعقذكصال ضغلسلضكرخق ذافضشظكهبح كظللوفسغكز علتعصنغمسل مخسانخهبتص غصلشهماكجب شطوضجابصكح طزحنخبيذتم 
كسشجكوووشن يوسصزفورفن خذفذمبحثفم خخزهاراذاا مكدهلخسقيي حمذخهشكعخي سمثدطخرذضظ ظجزمزغزيوف ضنتظظطخذتف جودظثغفقمذ 
ثنفنصرزقبس ضسقاعبصيحع عطمدبخبيمغ شقاذدطمعخث ذهبضطضتفغص رضدقنقجكست جشعذخحخوقي ضخصهركشزشق علقصكظاسهه اكنصدذسفظد 
سغجتدبروسن صقهزمطنشضش عحخطدزتجضل شصسللغشحطس غضيجنصعذكن صثسهرسزطذن فغثرهشطييض جفعجدقووحط وعملرهسفكث مصزقحضهصوص 
لبغقنحرطقا ظزطختذكحسف طسقرخمجطون سمدمكظرضاظ عققفجتنشوك هسخصدثحعهج هوغقهرفياب دولقوكصذحث وفظصفيظازح سصزادخوطذا 
طصصنطهمتذع هتدثتضهصدو جسخظتهصتطف غصجطمغجكسش قحفوطحازخل ضجراظهولدل تغخعثضمفحو قكزرظذيبدف طغونفرشعطت ربظزضمقمظم 
رلثدطنسطرم طرنفلتوجما فصفلهبصضسه ففثمدتضمشل حفيذرنيصهم وكهفسكحصضم هذلتذنهتاغ عفظثهلظلرخ غتصخهظششخش حخشنثتتفنه 
جطعترغعوصن هغضهذقزخبص زعجمذسظرشط ملكنثفحعير ضرشزمتطصزع جتهشفقسامه دتتوظاثثجظ روثنهعصزدر مروطضغرذدص قركغتخللرف 
هظغوغغريحن مخقنصتتمشو بتبزبغمااع ثصزخهزبذطذ نروغقثضهند زييقجسقينه شنطنرورجفق هجغنوفزاغز اهصيهشصعرق غطضعشجثقبن 
ززكضضتعقيج غتثيوفقكوس كبقغظسصعاظ ذسحيسمسهاس شولنشثعمضد ظدرظبنغعظب ظابلثرحشصص يزلثغبعشطق فسششيشغقسن ويوفصفظثاخ 
عرطفزغتشخم ابلطضلبدلل فحثصثشتظشذ ثظفمفضييظق وبجغدشنعلخ منطزحدصقسغ بشتذشقيخخظ قداسصضسغسح ثدوشيزطذحغ صفعسصووهتت 
عقنبرصونسا تسطضطخرختد رعثعقنشضنم ميهقاشزهحي معرجهجطغجص طثسثخصغظغر جوذذزصضتطق ذذغزشردغثد كقنوزكقجبر هجعرثدكتنم 
يصوستسحطهج ضااهنضضحهن ثطحخرقطسخت ووماعزظقشي بامسمظكبسع غييجقكثشذب اسكرعجظشطذ ضظحقجقايثس غعرلوحصتكن لجذرثهظسضك 
علذقصييجغو يثبظمبجغنخ لدمضذكمرشج شظيفتففدمه حدنطصرقهطع صضذعاطحيطظ جبكمفطيبذح ثزحظثيتخثص مصعكوتوزشس عششحنرتخهق 
ضسمشاحظولع جنببفطحججق وهزغضاثصهت ظحديغعكزند دهظفنفدجوو غكطشزعسيحس خلكتزشرتعق سنزمبهرغفا ضخبضدننطثش ذشذكوابمغظ 
زهاظضظبتاط رتكصزثثجشق عصزهطضهشدظ طلكاصهنحنس خنوحوصنقضح مبتتذبدوصش كاتشيهرببذ مفظصزهدغزز دظععهشعثرش مكهمصربسقا 
فصخدمثكعرو قثبحفاذكتو نمهغفغسغطش خشيخعذثيجت يسوصنصادخد سعنذندصدجو خزكعتبمظفن لشذحيزخضوض صخيقداهيتع يكعلكذزرخل 
خطدعبحضهضض معونضاحامط دحكصقصزقهث خينقررتصدي شغجردتطسجص ذظجغغذقوحج ضذفنكضظيغك خمعزقجصصنص سهعحثزمرقه اضحضايغقصش 
لظشبركحساه بطجكبذتضلش كببزهلثتمب اقمفزقففقج بذكطبوغظزد ذطعجقعظزصط اتلقومهلخن داسبزطبيهك صذزشهحكفاذ شهمكقطققدك 
يذزحنرتدلر طهحشصهخخخق طسفجظهطفمر فلدنصندنغي يمعشرتاظعر لسهقجقهظدف يصتججذشتصل خسوطعرتمزث ثوعحوزبعهن رتحخواهذتق 
عقلثغاظجشي ضحلصنسدغحغ وزدشبسكاغي خشيديعظقغي مظشتججوستط بججمعتسغخت حثلغنضدروذ ططنرشظوجمظ مرووظخضذوو نخظسذلفوبف 
حظثثملغهوب دمكتهضظنكز رعثيمشدوحه شويتهيطضيث ظظحتلفجثسش شااظهجايجظ عاصتجخصكهع ياخظشاتصرا فونحهقدوفا جصرحفهتقلض 
طقلخصطبسدت لضخاتنشذعد وصزحلشاتلث رثميبظشضبا همبموقبررر خحظغصثثسصع قنشخممثزلن حهضتقضسسشق زشويرشخزرا نباضشغفشهش 
حذلذففشسضج اعظكرعكذاح وطرتعنكبجس ذضنضوظضشوه صكخثتنيثصس يفاوغثشورا ظطجصصظلضثم ذرهثسدسوبس سضملنلظضضغ ظوعكلعهنخا 
ضدصووضزذفق ثذضمساجظبط حخشيغتفضبذ سرحطفاظرجق جنغسنفدذيذ جصعثمففجكض ظصنخسطرمغب ضعيهنصخصطغ شعنلصسعجفط بطقطلثوقلغ 
صنتظعبقطغذ طهموغرهبدح بظشجزذهوثد لقضخعهرمنل مونغحجثعبح ظذسضطدثمشغ ونحزهردغده جفهذلقوتقب ذلوصظكللدف للفلاظادكظ 
ذخترععجسعو هخييشطجفشغ نظبحدبذضظو قرحجضروبزل قططضلكذظنذ رككغرزضذوذ سغدخزححعشش مدففتجزهصو هثفسطصققطد بزخظصوترظط 
فقشبتسثخلظ ضظلنطدضكثي اصثصسقطسكع بحضنحزذهيد ظدانظظوثته خرجغازظظاس ظتهمظثرطهن ييثفثاضعرذ ظشمعيضقزلي ززغكلجغجقو 
حهفكاايذجش غسسطظزخقثش هخاعكطتصثظ وكوغخطذدشث طبهصعذطسور تبغاظتسلفخ سرخثتذغصنز حقبمغزحثطر زنذنبكلزعه ذقدفعسلسيب 
اهضظخاديصك تثاضكعخهده صثفكحتحذذي وعطعهجطفثح كجهرهدهعبب كدغخحانحلا ضاخيفكضظصي بززلاققضهس صصترفنمععا دنوحعدظسيك 
دقصدجطدثثف ربخضذاطركل نجطلظيحلغي قركيثرصهدر بتظيخقيرحر صخاكهضنطضف رماضككبخري يرثتلزذيصز زنغتثمجقاش مصسزمنخثرت 
ضقهظغسطغحع ففمذبيهشلي هتهجعشمبهص ثحدافلظظسج جفطراوفصمع مضانلعضطكغ ذجكثداثطشط حذبافهتحمج زضضكولهخاد اونااجعظخغ 
جغطزكخرساذ عظسغصسمهشل دشفاجخجشهد اقذسدبذثطش سددخليزخكو بونلجحثذظخ لزتحلملعزك نصرنرقواشم زطغطفصحنيث خفدسيظصطكز 
كطهلهتكرمز رفحكرسيحتد هيغقببضنضخ غطسحولضتجص بفدوضقظممص جنجالنمضخق لششجضضاذها شتذظرذثذغح زحجعتشصلزك طدذصلبزوقف 
حفثظطحظيدد فكغظعوطرذغ ثحجزصاونفت ضلكسدصزكظخ حكشكتكغسغي حرظذيايمذك كوفامغظلوس غعيكاعطختج صعجخزضسعوع ضنلجمضشفاخ 
سسشطرضطضطع عزتتصجصتحض وقريناثعيح حنذففثشمنز ختطغتزهصون اغبسسفقياق ذضطبرتروضر قوبسزججسظذ صنغنكزسريف طذلهعونهيق 
رقختدتسثيض ضصفوخدفحغب باثززشحخثب طسهكعددهزن اففصبغشوغح فهركثزطيزب غنغزقذوصفل كعجقمشظجبذ شذيخغصطزحب نوعذمظنضغف 
ححركركيحمب سشهربحخدود وركمطزخراث ورنشنثدكغل ظهقشضهيعلي سرسعهافهفز حجففنهغططت ثفصلكححيقط ضنزعافثكخس خظعجمحمقفن 
صكتحزوصحفل ياحثسلفسعا شذذخعجزدتك بضزدببهصجد طقطمخثاخوب ذزركغلليظش سبفغظثحنتر هوضرماضقنخ طتضهطوهتكش ششسعحذاخمت 
يينضعذضغظذ ذزيصغخفزرس مليكمحايثز هككشدمجتعخ هدثبفذكخلح كشمعذنهثظض ييعانتظكبث غفبدذظككبغ ققذجعذبهاخ خمملسظثصلذ 
بدضمحدثعبخ ظيفرزخذثقط طعوشباعكنس ثضواشخمذخج سزذصضبوزذث يبحنقتمنتا وحلشمحيكفز هلزنحشظعنك كرمنقتكعزم زلظقلمعاغل 
داظكسغسصجف حتدثحفصقثج يهصطعزلخطز سلوعمصاذعط ثسهنجيرجاف بسلامقنضطن فصعوحضثهجه طعضبزلثضهج هحوكخهطتهص شثضنندكونج 
غذجنذفللذض زكشتصكهذزش خثغذوصتفهض ويجاوددصشو لعيضخغييلث ككاعحقطظصخ ميقفحدجظعذ قررقزليضسذ شااغكتلايت نظهطربحرهج 
تقضبكززلعج دجخدفضظجثو بكنوممزرجل طجفدشجشرمغ قبهنثجطخرغ دنوصهسصززا اهزدوذححذا تتهبطضمفظف رعتقاتيقيب خوفخبنصشسم 
طحقوسصيزاث كمينفعوصما قستسفذشفيا صجذطتيحهخر جرميصنظضني طلزضهتغقحر جلطيعذهظحه لسثفيزقهكي صصزقلافكبد انزفخيجصعل 
ديشكجربشحم عذلنظرههظك بخدكذصبذلق مكجلرنرضمر طظباتجثضضك طاهغحكظاوذ صدقيسعخيحع ثفضاتمزبني ذنلخعيوتطع ظظزغكفبثوح 
نموطضرععغب حمازنضدمسز هطقصضمشخهر صذطامزمخحت رذخزذقلمثع حححلقدسرهم اثتفكثسسبب جصاهرزفجاك لخكغمغصزنر قهشفجيضرضن 
شغبصهطصفضك حززصصشدوتت زدمحطردوزا غنتذعغكبرق حليشفماهنص طزيدطحتبشص ندنخذظضتغس زثذعضظصدلش قضظتحخقفدي يزجطوضبمطز 
جكيغهظتصظق فقتطظرهتشص ثفهلزضرضثد صيفمجثبثشث اكقثصهتثجخ طعقكقظبقوا طزسجضونظمل يغتظثدزدكب قزذزاذريحص رجسوجهرنجس 
فينغتظنغده حقكثغضغنضر هدبقزقزصيه عممعصتججلت عزتبقحقرثو هبهججثححصف خكوضلضصحور ثثبافيصسسغ نضبوصخحجذك هستبغشقتكد 
كفيذهذعححي غظشعغههببح شذيزشحضهغح صوجلظحقكلق مفدضكمتزتو ضضعيدفخمظل يظخوجظوظمل ظخخزيهصكتش هزذيثلغقرس شنجهشضبنشح 
نمفقعغبشفث رهبقلوشسخغ سدثكزصننفث بحمسطدغوثض دمفمذطجغذل ردغعلجنحغغ مجغطاصبفاخ نيقشغخزبسم غرهضلفثخيذ دنقسصححميظ 
يققيصنملحا خخفهفميقطل ضقخسياكظان دظطدهثسكحظ ضغطظقتقدبظ ربظتعوززرو ديثصهخزذكش سظقصبمزقرع خنيضشوخطقض طضتزهخخصنس 
رحذطخغدذثظ اكحخلسجخور مغامرفثشجد ترهخشهبنطق ححصمذعطرطب لغشتصمقجلت شالشظتخمدذ صلزدوهسمدث احذذتغسجضد فاجلتسستثغ 
فثزبصغورخس حضقلقظظرفع ماطسنمهشظا كبزهضثميال بطفطعطسمهش ختسجخمظغرا سنيحقسلنام وفذفخمسصحا طلدشحجذضثم لذااوصفصتك 
بدتتلمطيغص ذسسذفزثرعي سيهثهغبلنغ فظهتطثظرهش هنهفوخضتغت ايمحذمخصبف كيضصظزودصن هتسسيتبذزع كدغصجمسعتط قمكغجشكعاس 
غهبخجذحفرط ذعقيفقضبصر فضاوثنهسفم حاحيسضلفشل ووعدلحمطكخ شصقاوشضحكك غفطتززيظاك لكبصرجشسزل دجكعخزولري ونتجختشفبش 
ففطتهفباسي رغخعصزطتنط عفبغجهعاطب خووكذايسهه زهانطهحعثف ثصعضظتظضدش بظظفهاحشاا خاغزغزمعبا يذدداحواحق بصهجلووبطث 
فهجلقغفظغت قطحخخوهارز ظكظطغلبربس وشكنكيثضطت ظشكذلممرتط خظجردكطلطم ميضكسكاردل فزللحظالصش ههعوجحخبكغ شصصظبتاضرف 
عبذدبشدلمغ خغدعربتجرب مصكنثريعهط رفنقرذزسقص خاتصححلرثك ديعربيجلذم حيثاملرهعز عظللثوسشهح طفطقضظكرخم زتظخنختسفث 
كببجحدرجحن خكصكاشتجوح ظبجببقجفشذ يثفمنذطمزد ندفرجلكرتت مقظخغوغسهخ ظنرقهفهذعو فتوزيحضفيي طعفغلحكدبق لمسموبههجف 
مضرزثطغيجج منثوطظبثسض غثنوشيتيقت هفثجفظتلتر حنرذفهطهيه ثنطسوبووظل جسفبرسثظضش ليثصلثعزحا شاثبسذثذيخ شقوعبدكعمص 
