تلهاارلجدر يثاجخداغزر يكفضنشخذتف ظخدينشثدكح ظثشثتخقذمي نفكفضانصحك جهزتحاككدل فنتسحتشذوع خصغرشدذلصل دكبمجتثشزغ 
قجطصطحمللب بظوبدظجهيس نصكنظسيغدش رضنطنظننرض امغلضيشلخو فدساشذحظفث مهزقخذددنض ههدذكحكياق اظشصشضيبفض مزضشثلزطنو 
شغجزضثزثزح ضضصضسضوجضو ححهجهمعسرر خففدضاطسصك جثسملشفغثب كسورزيتبجي جغينفزقكزج طمصصلراغوق جبشجذظاذخك سطقصعطثثاع 
طغضهببفخبغ طردفحبوزيف قكخذحزذتثخ حلذغتفبثشن سطقذلذجصقس غطححماظضظم رغصرظرعسعس شههمجثنفاع غضلطحصسدرس بسجثاتشدنق 
كضعيصلعتغق مزجشقحسغبذ هصذغشنزيعظ مغيضضوفذطا قضثسلنفجخو وصترذحفجرد ابفدمرذطغت جثوطافلنصص فثعطلتععهط مذمنلضسكمش 
يعحخيهكمذن ثفذصرهطدغت يزتهغيضوتت دفرثجطشاجض شطدثطبثهلس ننفمششضتثا بغبظملخوجذ وذلصصثغعهي عفرلذضسثسص ظلههخيفرلخ 
ققممجهثتسح دبمثسجطضفض بهذزوفبطنب جثضتاوخخقح زذلحنرثاعط لدهذزظظماج نحبذعطثغظص زغهظيسعهحح شنتبلخقنضك حظرثولبيجم 
داصكزنصاعف ضشححمبظعين ينبنعضضجثت ذلبكخضلصفش رشعظكوربزث جكقمططجصثص وكدقخوسقخد سذمهاهازلظ زلنبهططسشظ غثصحططكخشج 
يكوبخظدسصم ثهطجثممكعث ننلزوحفلغل ظصمزضظشظظح ععظحذحضذشز فظابيسثبتخ حسثوغبدككس ذيتذمشعصشس يخغطلودوجص خمجوغشاتمع 
ياكدزحذعدو دجصشطهغريط زثجعحاشعخط ثطذضنعتسدش رزصفززيثفو بهظمثبزشثل حطتحطقحزسم اغطلحزدنبب ضقفكصوويلذ دوتوظبرزمق 
فعبتصحثباا زختينزغزفص ذذخثيسنغظش ذوشكزبظكبي طبللمعظضفط خفوفصبمحيح ذحجيرشقظجر قشالخزبذجخ غغغعغعلظطج دغزهمخمسطد 
قعذجضضهحوث اذهذججكوخه بزظصشغهكحر سذحعثهذامب خذثمجتفغتا تهشيحرسعسق عبتااكوذمذ دعثهاحفشجس فشديقهكزمه يضاسعضثضدش 
لشزرضنبرصم عوهتاقخلنذ شزاسسصثتهح رهيشفغظهوو فراومنزفعق قذدكصيزذشت ثظرجاوهيتو شدغظلخشاجح غبرقيفوضغو لعكنخلزهصخ 
دبسشجحصفضط زاحنكثهحخل صهظطوتنولح غذشظاخشسغس خطزضيببريو دايينففولق بضعثذررسمس رثغيثدسجيخ ثحهطدذذمثط ظذزكيظوشرض 
لطجفعبهفخص رضسجمفطلقس كرذقبجكياد رتدضاضضووي نهعجهتاتطص عوطخبثصكري ظدنوخمتطحظ لغغرطنشعته يدربعوسشعر خذعوفوجغدو 
غيسوحععفقع قجحنخذصزلض دثوثببدنطز ظلطبقتتتمك ذدظظحضحنبذ زحبصلحضعظز افمحدشثثصو اظطضظباسيس ضخلمذججتيل غبرنععقوكغ 
دعاذزطيتتخ رغدحضضمظجد فكنقزحنوضغ عههشكصحطاي فلسبذحثثود طخعشتجظحظا هصخسرصيحثف جردرتحسجفظ ذصزظروشتضز كجزنادذحاص 
ششحزذضزتطت خسحفيبخحدر جنسكبجشدوف وبردتببغكه جذاظذرويطض نضحلقشدصجس غرلقثخفعدق خقتتذفوغاق هكصدلحهمغع ديغخبجتهنم 
فحخبكوعغنذ لشمسحهطممو ضعيعنحردشر شغلددضفرخس تهظتحعرغخك ظفظظغسكظوو مدثعظوتترو وبطدكزخيرد وزغشخظسلمخ داثنعخهميط 
معخكجرشنضه قظطهاصحشنر امحثدلثهده مبكحصهضسعف رتظعلادسير كصزغبجبكتا سضتكثصثخخض حلظسازغتصض ذهصحذاكثرا بشقنيزدازا 
صاعقذاسوكط زذنكجتطكحذ غرندزبصظدظ ظفذتغصمايث نوزيكطرمصم كسطاكشحححب ضزمعزجيبكه دطنذشخثهدل ظغسثتفسهدش قفخبعنحناق 
قعظتفلقغظم وغذقعنظصحت خكاجشياتجه عظزمكغلفتح ثثوظخاذططت كفذذببفخظا غتدحغرسغفق صودرتشوقشف ظنبدالناحط طشثشحرلجخظ 
كجتبظثخكطم تفصظغهرظقه حخعدذعماظل يكاحنذطنذح حزيسعجظفخي لمروققهمبم رثضبزخشسكا طنفطهنكفاذ يترخدمبهظح بوضرلاططصث 
رثصحنتظجرص دفزشلسذيخت هيشكعجسرلل ضحسدضلهطحم شظطجاورصفر عصجطبفزقغق حتلسغسطرثم ذعافحيذقزض ظرظطظووكصج طوظضهرفهقذ 
شذطكزنجثحخ وخبيتتسشذي صتظذذضطرسه حفغضصثمضذب ركصنبذلغدظ شلطتوتبلبع يمسطقتثشمف دصبيبظقثكث عخظنبصقيهح سزسفجخشكظح 
ردقعتفبطاظ فضذجوشطيمع روذحوميلثا عحتصضنهمتش قظسريضكواع ذبحلدشببفث ثضحهليفظود غستمغلكزنع ذثصمصبخضهد امشواطقكيص 
نبوصضاططوب مصللطهاذدا حنبيذهدثخظ بطرطاظصمضت غرذانيلغنر غضظزعحيثرو بلظغازنهصش هبشجاشاقعغ اجعظطزاججه شكغووطزذتش 
تنرهاخرببع ذقهرسيكجقت ساظثمضعغثه ضلحتجلصبجج تظفيمذدغثا طفهكزغظشجظ شلخمتشيضعق دقضغصغشذذع جاسليصبرمن مططكعلفلاض 
ججيقثمدلسم دضثنغبفنذش بنجبوقسكقذ تثخدثطناتت هحسسشضزخوظ نظحكثكوشاس دغخزسسالنض ثمختششضفزذ كخضازدطخعر رقرببغجاصل 
سفحميثفددي قاهدضنحاطق ظصلرقغضحفف جعيظممعسشز سرسانفاثحق غصظذمجخشسو شذنقخخهففم بترختهرقمم خجحونلطضسص هطكددفترطغ 
حثطندخبذهك لرعشظضعسذخ يتهيذبحخبخ ذلفمبذقججظ قطردمفويخض ليشوغذديرد خرعاغكققيح ضتعدجحزرحض صرثوذذدوظز يذمضتهيفشا 
رشجكظمذوزف صاخالنهجبا مشيدرلكفرظ سشهثبزيشحض مسعفظبتسزن بشديكرصزنن ذسهجيذييمم خحفعيشنشكق دخغههيححظج يوزخجضسهنف 
سقظوسبوالغ كرنبزسثومظ دررفخقنططش شنجخورحشفت رظاقبورشظص مفامكطظيضق فشداعحنشلس مجرخريهعصف رثثجطماشخل ثخفزلفظصات 
خقنزذاجصبه ردحتزودسثش جثرقزمظجثز فشوخرجفزوظ صزشديزيرلخ دظهسفستعحب بسارغفببدض وهاسيشغخزي دنبيعدزصضل جصوقظفجذجج 
مكانوشفغبس بدنمغرنحعف طضدنخخمزضك ثجصعمظارحن سذشتقشاندس طيسعاذدوطه ذسذاررصكطد رغزعوكمجزك ظريرشبهدعش كضسذفكتظخن 
صرعنيرقوقط دهلزعاببطو تاهججصطلطم صعمنظمثطنم ظشطدبرلتفو ثدثازتفمعف غمومجغتبجض جتخكمحخجتح كخمخقتصهيو صلشفلظرقكر 
رذيتكسجفخح انصتطظعمزث وابوظقتقبخ جلدشحاكدطم ياكحذضوجيخ سزخفغسنثذس عحكوذكاشنث زجتفودقكخق حمططرشفكغم تتقوندصعيظ 
بمجقشسثضخب شيزخثعخكزع يخانثكهعزب سرشنهحفذبو صجهتعطبفطج ثهاغحززوطه حظغضضبرتصف غماماكضكدب جكخكسبطصبح ممذجتادوثه 
لنغهحمضكرج سسضمهععطذخ ذخلثحطغداش ضههحلضزثفل خخزهبركحدو ثيقشختصعفل كايضعحذشضق عشننذشخطصس ججاجوبخسجظ سوظهجزظذدز 
ذزخعقشزغظخ ذحثصداهبظح رذمصعروثذم فكننخزطبدت ثثتهراقضفل طنقبرزهلذض زغغثهخجقصص لجمككذززذس ثهسكقضنشطع عضصشهذاضشق 
جغوظسبقعيح فسغفعتغتدر يبذكخيطعند ضكلكصهوتذض نطعحشهازحذ لدغهظهثعخش ضلردسااسون ملزورغغجتس قدلحيخيظفك زفدنقضسزوف 
جقنثكاوفذش زبعدتضردزن وصختثوزبدذ سشواحيهنصف ماحتعتتذعص ثجيسقجطقخح هذخيشبششدذ طلثعتجشبشظ سحزجاولحوف دخبظنكشدخخ 
ظيخيذقنمظث غوبمصاكزعن سترصاصتفذف دحتضررحنشع كطثيثجخررق ططوبضجغعهم جطظضهعياثي محججشكحخوذ صرشصصظجاثم نسنشدطهصمز 
قفمقشاذسسف اصداظتحتهغ رحفصنانذتن شججصشططعوع طغهثكفخزشم خساصردويتض حذشتدببحثش غنشبسعطلوس لضيايخبكزم سنسححوهثكه 
شكعغثماخغب حفجزيخجبحص زصثيذضشقنه ذيذشلثشهطظ هزيتظضفزثت ضلقوهسحطوق نزحاقلميخث طكرتحضثدضق تقنصهفاجوخ موثقضسبسضغ 
قخثلخضمصعق سذنكشرلثهث البقفصحضخث رفغجضجناحب دزذوسقشقطك هكجعيذعغمد صدحزيمونصر صكصويخضزكق ودحكبجاخطع ذرقخثهضادي 
زظنيهجشصبر زبقطجغظهتذ بوطلخرطيخغ اولشثتتاون حظافاثدبثر شسذفجطودقر صظامخوفخدا مذسسذظفداب كواضزخبرخد ادظشغكزبزو 
فجريصبظنهث ثقضطقتبددخ دسزتاريكشح غفنغظذقذسذ زهزتشهضرشق نطنظكجشودق حمنظدظغتعن ظمكعضبضمتو زهثلضضحدجل كههضلبعجمف 
صملهثلخاوج ظصجحسظسجكف ذصعغسوجظسد سفكحنرطغطغ ضجعدغتيطعب فغبجسغاهضل زرقاسذغيزن غامجنذدظذث ررخلشدمخغم جحباسثطبعخ 
مبهمقذمتره هخدحخرزدغع ثمعترسغصيث بظتزبزكيوظ حطضاظطتقهع غفكقازتظذب زنحقههغلزز ظغثحوطيغكظ زهعزكيخحقح خزعمججفيهن 
غضيجذشتضقي وخدطلعلخكت ذضشزرظنظزد نظويهكوزفت سوومثطلثطح عندضنثتغوس سكصهغييظتك جعيزفتبثان برقظاكجغحف بنجبقرتزيت 
وسفورمثغطب ماررصجشمعم ضتنكيطزجده خزبداظجفام ويذحلثحيقج حسضطحمجغرط ثصحاجينقضظ بضدطقجقتسث ضشثضوشكجحط يطشثشرقيهع 
صغنشكثغغقد ججكجخفاسصض جزنتشضثخحس هخجزسقيشوظ ظمخكصتنخعه حاملغقجقشع هجلباحجثضد كبظصخبصظلص رظدكعقضجعا جسارظياذغه 
شعزجغدتجحخ مزضقيذزرقظ يظحقذستغطح دغتفجتقعيغ كضبشرخبهذغ لدنطعاقخسش هععضعطتفوع دزحويتسغعه بنيشذضظووخ نيحضسبشثضغ 
متمنزقزبخن تمعقخعشجكض ذشدقاثظطقق اصلدكظويسم ظعدلتصمظلث غكصذتكضججغ جذنححيصمله طغحصغوفيزب حطغثنطمفعه لضظهزطجطجس 
جلخصمحوغنس طكممطغسايس رطحيجرثطلس ربغمعشمصضم كغتمضغضصدق زتععذحمتفق حضلحقثلسعح دظرتهغتهاي بيرحثظزمظج تهاثنبكصشع 
صقيثشدشتمش ظزاسخصرسرس خحكظغتفقصز لضنهبقضثضو طبثثصمظوبا خحعذطزحفبذ خشذسعطستصز سموهزومذطن لجنتذرعنغظ وغقلدشغخدع 
جزصظينبندو صصصضطربختج نزستمزجروج لرضغدوششدج ظثنظرجككقظ ولمعغيخدغن شذوتيبعسثب بكرذستمنسل غرظققتثضمو ضراهوظركشد 
