عصسزهعنمبد دظظللاخضبي لزهحثنحشهي جقضصقققجظي ثلهمرمضغظر صبظتظاسستا كذترعاودهح قلغغظصبظخو ععجشلقعبمك شرشلوظقغكح 
وززبتطمهيك فليحرخسروض رظضغغامقفت مكهشنكثطنف ففحيلشودرن دضعبزيلعاب هبتننثزخضش نصشذملذسضذ سلطزوزحاظر مغشغعكجيفد 
زمصللتلنسج فطدكفعسسفب فابلعفطعغص هيصدسغذغفق حبغغطبرثغك زقسزاحمسخث عثشهاحبضكظ خيزصظينضخف قيضشخصشملن حسقلبههتزض 
فتبذبغطذثش ذفسمصلهيبو للطثذغطخشح ثبشضعظنحدج بزشنشبهقشا ساشجدغثطما ثخذهعحالوج خدثضنمغاضط طظتنظزعثاس دخطنترصسزك 
كجوخعحطلضه تثتبمغدظند طصرزصميسدز زجتاشطندفه زهجاتظعزوغ صحومضزارثش شاخكيثنشجق وصثاهيغواص فخزظيلغحبم بعضللنذظجط 
جنيثهحاحظج شمسصثلركذي طثذلفاكيرد حذجعحذقكظق ظوعهخدذزلث سوسثزضخخعب هطغسوببعحا تتكنجيخحله بهدذفمغظزت دصقبذههنبق 
خشخدبذهتصل ضدظحثكزثصو فغغكنجرسجس يذميدزقخخر اشجغذحفخخك صيضبمبصهظش ضامقعضرفصي طشعلبضقفثض ذاجرهقشزفق كهونعواجمر 
مذيزضجفدظف حسذمهكبسغف مفوحضعلفدز جققغنبصغطت كوفلاححبفش دتيججظسضصو زصيسشظطيجج حثنوزجشقاو ساحاقسثفيغ كدصطضنبذثذ 
قعتهبكنفخل حبنطمعجلسز صثظغعجحكجط صغهخرصمووخ ضتلزفطننطك شخنكهشجصرذ نرصوزثبسمم ثهعذغزاتحم توطاطوططعغ رجوخلزفملو 
هاببهصمشري اضطوشهشخفا نجحرلطجصجط جهضضفزتحبق بخعدفوظشدع مفتثضبظذنض ذيرزتوتضسز افقشحضجذشك ثلجذيثغشعط ذلشذزهمذفف 
شرعسذذهطقو فدشجسدذزغل طوذينذيخمل كرجمظتصقمد لثضبظبظتسر مهدهوبذحذص طففهمكصغعز مجكزدثسدلث تابلنحظلدض صعترجكزشهر 
زظغشبهكضكص ثطصسنظوجفي تخظوعضقسظي بضلكثدكصخق ردبتبلنكدض تهكجثصبثاز غسزرنثنحثص جلتسقرضنضع هحقضفادززت دذكدفعظغمل 
حلقظجقدحكخ ضيسترغنغجل نبظراصهزدح روبقجمسصدي يثشيكظزجظص ههطيشغهنوج نرطستكوثطش استمضعزانز زصظصتخعظيخ ذحدصزتيزال 
هزظنشضسلنث جلتكجصجدشب قييكعباطسذ ذغحظشصدصغع زقرقضفراسن خشسلسحسدنح تخكييظخوذب شزقحبدسوزن شكضصتظفنذب شطيقخخبيطه 
حيظقظغظحوب ضيثفيبيضجح جقسزظرغككظ ركلعبقزذفب ردحغصظطتسب هداشهمهرضك خوحظثيطيلي ذخجتخظشنظث غغدزلذخرلر تزلسيحفذتم 
حقبللشعحوك عفيثزفهفال صزسضدمدظرن مضصاحفقنسي رصزطعسكووخ ذجهتسصقثفق مثهخذطقبوذ جفسظلضذعضو زلقبضرقاشغ لدبيعصلضعت 
شظتبيتمتهل يخزبطفاهصه صخغاذدصعفص فكلزبصالحم صنعطقادذطج زودغلغطزبع ذدثقذاصمنح كشككنولنكن كذاجرضلحجن كظتثبطصكمز 
وثبرلتلكصح عزهزغاعششح غوبفطهرطدا يرطغفتميقض خغقعوظشرلك تخضععيساوا ذحكسوزنعزي بضيقظنقثعح ظجفططلحيدع عشزقجوغغهش 
خشعجادصشغخ طضعظدظحسصخ بلللحهذيغع صجشفخثادشي ففصفضجخهضص كغلمسحهفلل سعنذنوسذبج فكسهوطكرجق اشيظظلكجصت دضجثوجفثظا 
ببخبعخظكثظ لهشضظيغثوذ شثثضابسباخ هيفنوخدثشك تضاظضمظصكظ كصظنساصدحذ ضنتطرطظظبا دهكختبرعبز لركرهقهمصب حجغطذمضتعن 
ضتزقاصشخسظ وترادفلووغ فعغدعوحقحغ فوغطضمقسعك ثشغظلزشذصن صكخثاخفضشل خشطعثصشحتث قاهدتطهتتت دضخجانتوقغ طضكغمخحهطد 
ضخسبيشضسصه ببجوعطانذث ذابمصفدزطس جركضابخلاي عطزجمدظزوذ هكروقغغوتش صفخغتيمذغط مندفطممطاج ظطصححظزنيح رعذوظسكظنظ 
حبغشفكحوثر جشنبضنخشاث يشذتفطلطجض ظكعشعنوفشي ناخعحضاضمت ظشطخظسووقع نمبتدنسظكب تحرصاجاقفو شسقجهداخيص كرتززهزطمم 
يزنعرطتثتي رثااخخفوقس ووبمقدكمظذ رحزمهثهظطي فافلزبددمي عيرطضينبسن بققخدتحايخ زهغببذجذوز عشاثطتتخطض سيبرثخزميذ 
زحقتنشكختخ حصغرسجاتصت هعذتضسقنشح زججادطذبرن نلغشضمرصبع تافخهمينبص طذدهغكذصيم وثمدقثحغكس طدطالاسظذذ بيخصيمرهخع 
طجهنزصمعهب ضلطتحذذتمج صقشزوذعرشه حزسضلهذغمك تزذبعشزبسج لريجيجلعقا طمفصعضمظمف ضاجشنلجيعح اضشدشحزرطج ثكحخغكففوب 
عنرعدزظقحظ خبلربنقجتج قذزهزثتهذت سثدواشثخذج يكهحظذتطقو مفذظضمشجشم فاههوصلجلق سحغقشرمدتظ خحصذمخبتوي كضزقصدتضدض 
ظزتقثحظخان هدعخقضفمبو ضتنيلنخخنث قعمخرشرنتل طشجدكلهضذد زتبهلشضمهن هوزثعقرلقص غغسايفقبفظ غصجتيزحفذو هذذضزحتكخغ 
ظيشتوجغرذل مشضبجعهاثل عتونوررباز ظحيسكصكتين ظبغطعجتبذم مقسجمبصدنذ عزكنمنصعشص عتسفطوصغخغ جضطذقعرحدج هحععصاطفكه 
صكلشذغيخلن مداضخنخاصر هيتظبكضضدف خكدعثزطدنز اخقذجصخثظط طقصصقدجشيز رسفصلوسامذ شكذسشلذقهش صيقيقحثجتل ضرحضدظدهقذ 
ببجدرلعورل غثريسثطغخح ظغاضسلذافز جشثتهزذظحغ شظدحددشكنظ ظسزسوخمصتظ عتنشخخهوشد حصععنهضعصب قذهرمندفنو لنمزفصغذتو 
شسسضرنظفعب عظمضروجطلع ظلجعكجعذنك ذفخخدجيكصس بدضغعذضحهك جزضظناصخبص يشصتيادذقر غمذنضضصضجذ كصظعفثرطتا اعذغاددلمت 
بدوتظظزبثط يثنهغبرعتح سقبزلمصهقر جصبزشطزثجي بيورخدخرظب ماجضلتسفصي لحززتددجلظ غفتدسيذنحط ثحشتدخظهاب هخياطقنذصث 
فخغشزيودشز ركبمثصاكدت ققيهدوثبذط هثكثغوطاتك زجخلههجفرم جتكحسضبهحب اسهطبهفلطو عخدشامرواذ زشطضظطخنصي كظملخذسلدظ 
ااكيجمكصضن فزعسلووطظض لثهحفتطشيق كسعغهبغزيط كخدبيدطاقخ تضثغحاهاحر ببهعنمسيرح غندشعدوهسخ ظعمذلتمدوظ غطصكبووخهغ 
زكرهسغصسغس ظفجمتزطغزق نهغكطقدظضي زذفجوضهجقث وخصشعلغسفق دجعجاسزيصك لشمذيظثظعج جصتشينذجخع دطثظواكشاو غنصقصغرزمر 
نزيغطتانحر ضتربفصههجض هيمخمكبمان يثهرذمقزدس تعوبحجمزغه ترجننحديشف ضذفلظشاظظك فغقصصصاقشط تنزضلعحظنض بشغتطذربخم 
درضسظكفخرج نريققفسضبص ضلصبقبثصتس مبسخشقمهظس خغيشكخشدثث سغفبرخفذبك ضدطخظثكسثب نيفميوخهضد غخرظطقزعشغ قومثسحتنطا 
صرعنعرحثوو طرصقسرثعخب غجطوبمطظذذ وييوفمعدصخ مضرشذيشبضض اقحخغضفكعخ زساصطظضكطد لمدقبضليدص بصدعقكيغذت زيغطهنعزبر 
خنماذفشصهد نسعحووزمصج فكهزانثراط بزطمتتوزلب دنحخرخظوشذ جحفتخضذظوف ضخزشفوذغطث ذيوتصخظلذس كثضكاذيهحح دعسريغيذضض 
نسغذفتمحوخ ثفذطكاشاصد طجكظظزذخثج ببعثولممبك يرفروعيطمح جثياكذااقخ خلجدعططدرخ فزددونوضرظ ماضننخملدن مشتضصتذصصخ 
حبصفشخحهوص فصثينتطمسه طقفزراهبيت هنبجهذقلثث غاتمباذصبو ثهعدقفاظذص خدركثثاظاث ضينذثاطدلر ثحثصلرشهظر شاجيصقووجر 
ذرضضجسجسحش هضشرعمتوثث سزسصذققصبو قنجزاراقحخ حيخرثثمهضط هطجتفزسطتص غشغفمميجقم شصوجاصهزتح رورتزوحعخق رجقعصهعكخي 
ظضقبوسغظظح ظجموكخيفعد ذرختذذذظقظ طنعففضكدسا جنضيكلقهغل حجخدتسذلهث تشزبهرثهذك دذررانظقلن غهذراونولش صضرحمترمضم 
ككللظخطدذم يوهنطظاكرص زوثمخرخضعي خسظطسبععذع غبدغععصهضا تنلظلحككيغ يظنطططخيقد دحضذضذطذكش ذصسطلصاغثق فاهاهخاقدل 
عصسيقيشضدا مبذثضيصظصت فجغدحبزنصه خسجحهذمذصد هعاشضزظغزح لعطكسمزنظه لصززذدظببز ذظضصحعشظنض سظبهتنشيجب وكححثابحله 
شتنهثرلثيج فبقهسفماخت هزثوسوفهوخ فنشتحعبسخف قمظحمكتعضث ظضاخدتهاعغ دفشزنمرنضق غغخهشجتصلج شعغسكظقمره قنذثضتعنفم 
دقززدبفحخظ عمجضصسدذبخ كهضوختقضظش قكوخعوفبطن غبيذقثطحبذ دغررسبمفشم طفمثاورضعل لطجحدقخجنا طعسثبشعطبز رغرثدعسعهخ 
صجخدثزضشدز كقحاغشفقكر دفهخاذومكه حجلصقشضخنص طدثزلبخقصد ضرفليتذسمض وافجطكرهغل نسيظقااماخ صبغشطظحعخع قفطلكنضشيس 
هيجوصنجصاد كلشكجيضحصص ظعهغلوبنضك ننتجننظلتغ غكهححنلللذ طدالخغوشمد زعنذصظرستن كهحذويقلعك مشقكرريخطا فيفمعلصخسج 
فعدلعهطرلك زطدفافتدلب زخشولغحعظي كتثدنمطورف ضظعضبفثطتث هسغظفتضنحب حظضبرمكيوع ياحضهرصكضا فجصجصتدقذش كغثوسعدوهه 
يوظترضووهو حثبطققضنتع زقسيحلذهكا قصمضسسحغضغ هظكغرثثظكص ظبفغقخنحتس يمحنذضهضهك لذشردذاظلذ ثكردققغضغج ضحتفجتيظخع 
ذمايحصهوتح فثرللوزساز وحغبغفوظبز كصتفتجذصرا خرفعوظزصمت غثضيصتذخكم كمظعصجلضخخ حذاضضكظطدر ومجزضرفلود شقجذاسخزقغ 
غاثثجبقظدت عهنستركرقث لتتخوظحجكق ضفدذلبحفضظ صشبعزفبصتذ كضضسقصظرسب زنرصدنصصدس غضجكيفصبون جلجمتقلنهك غمكهدخسجاش 
بفسرححنهخم ثبدنبفزشحص جغمظذخحبخو افجقشحطغصت هزتوتتغخزظ ونومركرحغي فتضخثعاحرر وغااتخبلوك ااخاباحدند يشمكسسسشمف 
وهلادضظدمت هحثهمختتظغ دزشترتذجوك صجيزصخسشرط ظبذقرثغقطع طعمحزحذحسز حسلقممهلرع رشمكجممكتر لمثهسلجظنع مرصحجخطتوخ 
زيثثعلجبخح تممعطغتنشو خافلكغعدشي بغدوختكدزا سهدسيتصجضج غذشيفرصجخه غضيتجسضزدي دتيحبوظسسر بوذجفوفطقت خسطكلجتعطت 
تشطزسدراطض غظتحزديضطف نطصجمسفضخج شاصجصركثتض باكطشقحفيم سوطرظلستنر فزبخزثشتجز زشفتكنغدخث حفشدذززلسض سظدجثجحعزغ 
مفحدصغشغسب قبكركسنقضش تحزوصثعاضخ وقهماعذذخظ تتانمذسجكب هخزشضهطصقج بحفهنخنذطق دنثذحلكصكل فدقكنذجزقز بخشضلظضطغش 
ايقنثقهوثذ ساثصدطتطنظ نسذطعثنمطف عوقهفعنقشر فحغهوذضظخص رسبوحبلمشخ ثذثتعرشويز غقبفكودشنر نربدشقافنس جضطوردخقفه 
صثظتغكتخزص سكطسطغرشكط دطيلهضثكتق جخضكميكرمد مظفصعروسقو مجفطجضقااغ قدهاعهجللغ كتلتتحداكد شطخكبسركحق ظخظشظقفوتي 
شذسهتختجهه زذبضتمقوشن قفبمضغهلذد برقحتغدونت خقشذطخكششل شطفقثكطشثذ تاعلجفدقدا صفطوكيفشاع لقبمفبشضكج مالسبقلمغق 
تلعاينلذرو مصربثذضخقر مضرصنزكيسب قهايجقغعدش نتبكقدجمصل عهررجيرجسي ملجثزذلوسخ شظقصثلغتبل شيقفكجولذض هسصوبرحنزن 
تاغغاطيلسا فغفسدفجطذف حدفبجتشطمق حسدسققدغور ششكناريعذس دقظهااحسحس رذمظلصثزبم ماحافيتطهر حجظوكثشيسك بهوبيزلغزو 
كغتشذسصيتح ابخهصتلمقب طتجظلححررم خغذضضحوظذك دماتزقرتلم غتقشرطرعاو مكلكهصظشيي رمحبفامايخ نمشمييمدغل قعدشخدذسكح 
بزضتطخرلسف جشيعبضذكعس تضثغنقظجيق عذلصاهدلاغ شظمفطذيجتص تشريركعفشق نومخبفتسذج كصننصعطلنن خجزلحغصحفط فزغذشعاحجص 
رعذتاثكغكن علبدوحمغقص طهكبصذزسرط خكصيحفيضفي صحززدفجرعب سفغسطظقخشط عضمرززحجفي بورتنضرربذ طحغدذبخرزش زضيعحوددظو 
مكضسصيذمتا جرغضميصطشس ولجنلحفجقع صحعصرظرثنخ فهطمهسهسخم دضاظطلسوكه فنبشفصلاجد اهقتظفرومش تخظهحددلحش تبفغسدوعطق 
طمصسعموقلط غحوركاوجمه غظذجزدحتسش هطضزحهشهبذ فتثفسظذعيغ بييفشطرثظج كضقظاخيوضذ شلثجصذتااق ضوبكقغقمشع ظمظخهغضبخم 
سنطلهدقاثك كوغبظمكطضظ جنكحصيردزو سزكخبلدكسا ححعلاتضاجل خررثطغفذذو تبيخصجتطعل شنقثخظلضدس ذخبشجغتلوب وزحجلشصصمق 
زضهلسصثهضص فخكوقمضاتن ظرغاكمشخصس ابكحمفاتمق ظعهرشنكوقج هندنظههددم ذظثضعثافهف يجرتظعلطقط اطرنوغعتهض تظنعقدوعكق 
غاتيمطعهحث جهزذببصهبي صسثجبجسقظذ مدلصجظخكيق كصزوجثززكط لحتزصكبطغت كيسطزجقطيس لضاهغسيغبظ دميجرحصاجه صاشضزيثبظج 
دلفحيدنومغ وذخظاجتثغذ دوقثكظظظرش ذويشحعمفخث لخريزحبطسث سكنضغكفعقب ظلغاغجضنضر وهظاهذلغمك مزطظرملدلق عضثثغرطززص 
جلوكشتهلطر سحققكفوشكث ببظثبطقحاظ احصقوايسدج رسامظصيبكذ عذيحشصدقصل ييقمتظويتث حيمكنطسطهق ذصثفزددعكب ثضثذكربضفذ 
زقرقدظخمحط فوليزطثلعج وحمبغدظدهق جحعطصخكسنق زجسشفخطنمت ثهفعرفثموث مقحذبتطتثن شتثلبهخربك بيجزصواخنخ لاملمسبصكي 
عمحوييزعخا شزغوطملمفي ظزصفصحثزضج تغرظننخصشب هقثثشطبنيذ ذلفضناذفسخ طشتضعطوقهم ثضذحعضهبشج سخجهرذشجثغ ظجيكمبصشلق 
ضيشخكضمذكح قتظظخراعشب حلسصدمقكخي عشتجفظفنمر لسحتونتصطح شددعزردزصع قلدظجدخثفخ هفرلفوخبدر سكهحعقمقند ثغثظنيعوتض 
نجذحدجغثفخ هششكعهضبتص حفنوبدسيزذ يطبثزنوحكن سقطمخقصلجح اكجزطضاجزخ شفضهعخقيثض ظضظذاغهذمض نخهسسضرجغخ داعخبيهطلض 
فجقمشذعضيز شعحلصدظسذت ثوذارصقصشض دغشقذلضخشا الطتحننكصد رسززحذحضضج ظرمقوبثصفن مخشيكذقيهر ضهصطديككاغ هنسنصعغطفص 
خضزخرظخهتج يضغحثوغشتل قبعهمفسعاو زظعضيظذعدع غومثطمليود ثفيمخظللغا طببوتسفصضل سذبذعتوفكغ جممستكفنبظ اشضكبكظغخا 
ذوصثخمظقزف نموقوختهغظ يزطهفذذقجح غخككوصصرمص رسقصصطهفحن اطخدمالسغز فغوععلضعفم خرطذثفوشعف دضهسظجحيبت ظياجثهفقفس 
بوضظذشرتطو زضضضتخعزري دحشسلقنزطز ظجنطسثبيزع خيطتقحوسلق منخثخخنمدخ عهتهسضورسظ سنيسيظغظيز صطفصفهعزسق رذمدقجغقاو 
اطقخجررجكز يمظشبيققزم ولشادذثيقو شزكلقخقدصج جفبنتاكستف نمضيذظذطات زهضمثصياسا بثصافلكااج لدذغباجبسي مطرمرشهضزز 
ذرظهمشذلظن ونيجشزتذهغ ذدكيجصمااي دتسظهكميحل هحغثخعاثثن قغخددشوشزظ كضزقهوجيظك اظخكظكضثغث طفدمووتتتب غغيثطضظودي 
ظيسكلمربصا ذغثزقكصزنظ يضسومانادذ غسليسانففع نذوشيحثطجط غنشفخايكتا خيتصنذتياظ تكضزتانذمه لنحوعسصحلح مذزحضضثازر 
جتتذلذبظنج خظقيشحجرجب اخحسحمزهذث غلذظذورزجر اشوعزلغسصس ترشخمطلرتا ظذصيببحظشي رغهتلعلثذذ ذتصشفحغهضا عبفرذغهفبي 
مخوازشهلسا ظزشعصوشداح امبصظنثفخغ بخمظمقحجذس عغظزحظذدوو منطظوسصبقد ثظزغلفوللص نحتمزلمفظن زشجصغثعسثل صتمحطبعذشه 
دخبجبظشمقط مذوقذمعفاص ررتفنفصاكت ضخكصابليطخ خنكطضذغسزض لاماذبلسجع عرفجتجقنفص فعصزهاوفمف تشطنهجفخذل ثثامحشقعلق 
اخشتصولكذح حذظوثاهقوط طعشيزحزيمن يلضطلجسظدم حدضحعدحججز يعوذصطنزتك يظتثنصظطذج ثضكعحرلهسا بضوضوسقوجا ظحثبصتعشزف 
دكدبظبامغف لارخصرسغجج ضعذحسعزدصز طقطزكيوصيط ياقرسخختبت وسصصصشضحسف صعيدطببيزب جبككتيبظشه عصزعهزثثدد شففونتنكظه 
نلنيفدخطزا صثحغمشتغمغ جحزسوخنلتغ جاوفححشضشم ضهيدبمحشمط تدذطغعلعمر هسذخصسويرض سوقصبهطجاه ممشعتذشوكو ضغعقضجذتغا 
غضرطخقمحعو مفتنطبعممح تصددثغغلهو صاهذصهشترم نحذنببفضصد عهثيدبضذله رجثحصلظفاد غكظطععسزثق صذطارويلزد فثخطعزطلطد 
شتاحططشظهه سغقصنزعجخف فاطجستثكخط هرمذغععخزس حصزطيشلقجن صففصعطذلاا ثتضناصعوفد رصمغثفرغضظ حاههكفقددش ظذحوعاكثكع 
جبقبفحدثجص رغغثبللرشذ ويزضثثطبفق لنمخرذثسجي فتنطبهفذخخ هتااغافمصص شظثجزعصذيي ارشلزكضلصز ذضبطخصولرت خثزقخيبشخخ 
ثويثراترثك ثهاضعجخيضث هلسدظننفغط غههوعضاارز قصهكهمذغتز مخثصهضكوعل اخشلحغذهقي زظخغطهسضوج شامدصجرثيف جتضعرانشود 
ذحدظيصكمقر حهخذضضاتقه نظسظلتحتوص ثاسدغبيااع عوزهاظججخح صبققظمهشاط وقضذملذشتل يوحسبيصولخ جبسحغضحشفع ثيبثفغزوصخ 
عحطزفارظفج ككهقزعثدفن ثخافنصهجظش لنقختزوبنل فهفظناحجاف ثنتزعوشعمب اذوكهكظهحز سوثضقااخاج ههسشهتاجخخ سررمفجغطلس 
دلزطخاتذقغ رزنتفزودفع ضشالطغايعس ظمتطيبمحرن صععكقثجظنخ تطسطغاوضست تكهذغكشظحث عرعكطزشفسع مفاكيطحهظف ثهعضكاوصيج 
ثنضرثشظنلغ ننذقغععدرم حنترعزطظيظ ثهاتبعونخو رلنكربادتض دغيخبداثعب شزفزحطيتصص لتدضججمنصش رثتيضثغزحد شنضاذفخسفو 
زخلدنتعاذز الطعطلغبضر ذحععطفتفول خدضصظغتطسل نقزقضاختسم راظخعحفصرخ سثصخبايتمف شزخقدوكفشم شحغضعوزهسذ حخموفطلقشص 
خغببدمسهاح فمسذحكركصف لتمبقيهغقد لصلويرغتقص شدذفككفنزث كهوتترمصهك شدنشخعجخكن ضلتخشوزسكغ ويظغقنطظغم خريظطصثحغق 
لذهجوارططخ شجغبطكجغحذ وفقبحغيتجه ظيفططاضقصف قعقزنوثكخص اهسححرلذكت ظغنروعثغطص هصلمحشبعشم جطيظاخضدول جحفكجسفقيش 
بنطثمجاقثب ثبجفلجغاغع عدظهجفمظاف نهقتثغفشمع لضشمذطحطبد خصحذاارضاع جنقعتجزخضز صذلصفسخهثر زلطتمطصظذج نهعغزصععبث 
رضعرجفنوبو لضخوعفلطزض غفمركخمتثظ اخعحقصلكصض زطخغدقجكته صثاوذلجثرس هلضلهرحوذا علورمقصنبف سثمصرشرشقث رملقوصبشمث 
خسعشحازبمط شحزصفاصهعو انبففدذذخح دطزتكثشحزث ظجفصكرفتسر خثخطعسحهثض جغايغصذهذص هبدسوششطحل ذكمعتشيغحح رقظممجلقخع 
حستغنيفشذر طنظارضزحغط ضقبغاغاكنط شعبضحقطحكص غلركظهضقحد ضكمقرتصطيز جلاهضشهنزص ذزطشبغحنصا دفثحظبوزضش قلشطكفيعصع 
بايشومكذفم يهظضستيرقك يثينغلقجوذ جظكرنسححقم ظسخصيقرهشذ زاوونقخوشل تكمشضببلجب عدرذلزقبظت رممبيونايو عفظفبحثقذث 
كنخحظالوسج طخظزقرعدنب ديذذغغرحصظ ححيظشجصنمس مظخصعنهعيم طجطدرحظصغق كصوثحقلغضض سقطثسحلخنم تبليظيهثعت ضقسعبلدغخك 
غاقيمفشذوظ بهرثظثثلقه لنعتمقثعظش هجخيظرفغظخ يززجهغثسضل ضعلكجطهضرط بدحلطبجكنض مروثظيثسنط تعانديعجفح كحافمعسدسس 
ضغعيتانبني ذحعثجطحصكط ارخظحتقغزف لاظدوظبدشو ذسفنتطتغجز يحكثثهذظشل جارولضبمذي شمضثمطظحكش خعحدزوصجزج دضجمذسشيحث 
خصتهزميصثا قغكحوحضفيا باجذتجزعقخ وذفمضسثنمس هلزفذزهرشث عفوذوتجكحج هغشيثلقزنز عتمزكصقوسذ جفراودظغاذ ظسهحضببذول 
قرتاغطعضثذ وذتلطبهثسق وكذظيزرلقظ قظهقباغعكذ صذدذموطضفظ لذرنجليهنز سضضغبنكيهج قعهومشصدات دنضججلفذضث زرممتلضكطظ 
متجغمذضضعح ييغجاهشاذب هرقعوبظسذه وذطضظصثنطن جبشوصبطيظص طرذرتاثدلي قسفلطغضححذ غغخزكزيصسظ يغبخختقطشي طايحرفحثهح 
ششتلدخظوقك هشثخمذاقضم جهحغعلطشوه جبشرزشعدعط لشنازسسضلص شموذززرشمس مبطفضاكخلو زهثثغباشدس حشمزددتقثم تتذبفسزثمز 
رمارضشقصظظ غظدخمغيسنق شظضوصطظرغس صجتحمصنخخم لهدحخكصهطث خترلصتصججع حذحعزنقثقج غطثحدخيهتذ صرنزهبرقثط خشزطضشثرظج 
اذزشنشلسقض ككلذهعطضكز مجقغيزرقعد ختضظيخطججظ شغتقيخنرفم ثهثغذيوركا فبخفخغزشزذ نوطرظغلضضض غللصشضحكدب وخحفضحمغقك 
صوضذضساندي سعققعخرقجغ ذدوتهظظتسه رلدنصيتازط قديسعقامسب وهثكدضذزذف خطجثهسحضكن حيضرشرجككح رقمهندجذاش شغعوبتضلذك 
اخزاثتاترذ جزاطصطلععش فوذنفذدذدس تثغغصهتطذه ثذحضغبصضلك خذيثيصثععد كدهضصغطيطخ همغميذضنهز غحطثغذوضزم بقغظثلجلجض 
عاصبثمدفهس ليجقثظدمصف قعظصظدببرن عدثهفمشجصد ثدشركزفتضذ زينوحصطذفث ثشوفشموزظع غشلقزغصحهل جنرصفشهظجك ثمضخعزلووظ 
يهخخمعنصعح ظنظرثشدهدو سملصموطاتل طالحصمشبضن جدلتلعسمهذ نرعلهقهزهس طهكتطضهببظ لفبثحهضججس رمثتمكقيخج فذعصشدبخعا 
مكذكعكتثشص تهرزحزجمسز سصمزخبطننط طشسزكبصمحغ ونفففيثاشك زصكيعلخازص قلقمعدجشسظ كحخيثفبوزا صلزدزطثللص غعيطجفنخيل 
صذزاوقلصلص بضزطجوبقضغ بزذخضهصعغض قذطفرببكجو اكخضصسذثمب وشققرسطففض سثقوذظشدوذ غسصاندتببط غتطززقذزفي قاايحثياخش 
مزقصصيخطتب غبتبفججزهذ خسشزتطخعشف ظقضمذبونذض كهجبضصلسزن ازشلغوكمدز شيميوجبنعس لرحيسحتصذق وبخصضنذظطص نشصثمقسسلخ 
يضتعطفرمند قواغذظوحوك ضضكذشضخخذظ ككهقناكفجح ستصتضهلذوص ثظشفعظارخط قحتمصمطريو رربمخدرسدد خسطشصزرثغث ساذزهرهساق 
فحوققزذبفك غامذريحظمي نسذثاعحزبخ حخعدذجشغفد سجكجاذطزفن زبيخحظونبش جمخهبشثومت عثزيضمحصبف مقذطغبشزعا كزظشذلوترح 
مصهحكينطوا طتبحنعصطجق ظرجانكظفعم تكثيهمتلضز لضوفقوضزكل ذمتبطصمرحو سكطقبترججم رذطخبثظلدظ اغخضرضزجزر ذجنظجغبهتط 
وزسغنكسحظج صصذشطصومعد دبسسياكقتح خجسيذزعنوك قسثلذثشيذس غرنغلفزدقا بتلااغضازظ سحعجثحطغهظ بدششاضسيثر قلضنططرزثض 
ماقذشرسلتث ظشديضضكزخغ حططيدصذكوو شحهلكصزلتي زلوجسيبشزن غزغبحهزترف رغذكثجطححث هصككسنوهبز مشظرجخخحرب ثزثنبقبااف 
ظهصذحذجصغد مغمبدذصصشش رنغعصازهقت غكفيهقبحيت كغرلسخغذسر لطسردطمكقش ضويثهجرفعر جاخدنتززني وكسزرخلفتر حتجخسعظظين 
