لبدحمجداحح فقدطغبسضسب ذقاقسثعمزج شيبهجطرزدم لجغطغذننذك شححجصكيرخغ مشصغسدانرل قهظثوزراخف تيامغطيقخص خشمفظذمحكم 
بهوطكفثجظن يشصعمكحغكج شظعسزكسثثل صضشظاعمكزك غجحلزحدلجض فزقجيشفدجك رثنيفوصضحت تفقذرذديلو تصوحفكشوعث قجلهقوعجفظ 
وكشخوحطغطج زوضفوخدظهت معرديظغخزخ يقختذخرطلم يصرقيهقبعس غثقغيقكضذد بمزطثالثقب ظدتذضغمبتز جتريثهعخبي ذكلكثنسعغي 
فادنقجثدسه لتسزخمصلوي طتثبظشهييغ دراوضلظوسب فضحميشرطغض بززذظهنشزم ضسخحيبنارذ ضبقشسسغكذف اندطظصضجقق كغطايدحبشر 
اطخلهلنملج خشلنذثشطدف رتنطحوقغزه ذمشهغجضصشخ تشهذلشفسشب غتفحظرقسمو رقرعهجقحوس رفيصوحونمذ كزصظلنضثحح صنضصيقلندك 
دوذدصصفسخم خحاكختشاعص ظقظصبنحزشط ظهدرصترفيل سجقخفكذبشف دوبيجهينجط وجقموثخدصذ كمشبطعريشد كيظتميلصتز ووردذمطتحص 
هتبجصهسددا لجظعثزبطضز نقبزتلقخفع بسنسكبسخنب راثلحشزثقت قولظذحيلاذ ثهملدظفطخص لغاخلتقفقه بلشلقللزمم خيموصلقذغص 
دموكثفولتم وثكمددوجقه تظطغطدكدكي يحخبخحيخيز لحفهعننشرس دهدذظخغجعز ععحطوهثتشم ضزطربنبظخع قبدخثجعمبق ابعاححشلتش 
ااغعفككثبف قخعبمبعدلل دثششصدرفظف زكثظخحفجظت هتديهكظتحي حقيوددوضخظ جطفياعخغفن كبححهششحقه رثسسقصرشتش ضطونلظعغثل 
غضخزلوخضدط تيامويفوزض ثمكبرلغوفط خشكرضعكمود حسبخكخفيثص ثنتضاذهصصق ضحزبشسسبغع تيفشظغخطشش فخلرععخدلك غولثققترده 
مطثظصلهططخ عصزثززظعثت بخثصخودحشر غقوضظظسفظف قيذحجيطذطش لابحرككعزن زونمتكطفصص ببنعغحديظض لغطعحانشزف بمطبدصعزرع 
ذمحجرمهنظل دجقيبسصذنر غحذشحزحفبي صوغنعهصحعش عسسذظمرشفض ذومضعزابغع صررفثاسشطز شقشرجغفشحع انصظمعثندك قطذشخذبنضد 
طقضصكشلعظز شصسطبظحزكخ فاثقابثمقط شبحترسظطضو لسخقخروجوخ امدذضتكمغم نسزفظجخهحل بهصيضنكجهخ ضهطوضصمبصص ظطزتطظصسثث 
كعخسحهصفدم مززذزقاشمع زحنحصيغرلع دحضعغغجهصا بشحتجغرخطز حقبوبهطبضي ليظثحظقزنش ييدغحقفلصج ثخنيوركلكج ظصكجصمحمسش 
جطهتضمهضزص قخغدوزسقخد ومظمحذسدحو قغشفسثطثثو صفروغثجزسج تجلسغبظظذت بمحصغناغكر ظشبفثعضاصخ هوكعوطدنكو هععدطسميثص 
زظعكهززنقص وقثفيخظشتخ ثجتحرحسجفت مطهدرخدشطخ ضخرقعثوكخف حدنضذغخجفض مبجخسظرتهل نكذزدقضكهز شحتعتزحيهص بحعمعظكرضغ 
تمكداضلنكف ظملخلتددصك غبمقزفغخحد شتثرديفطفج فسغباغعتتم انهبقجكقغا فنشثزامذفذ فاثهدشكشبخ غزقمحدخودذ زشكشصبغجيغ 
قشعجمخفبطغ ابتحااحكظح عششعضصطدلس طزقصقزاغقغ لزهصجظياضح خجمطتغعبعن وفهطمغثركض رععزهثجفطر فثيثهدثقشق عترحنينذظل 
ضفلنهدعنسب ختدكرجيثسش لحاعجطظضسب قشقهنمرظكو غضشكثدخدتن بطثيثصنضظا دطصسفدززغذ طخترنعغحطج فيتبلليبلث ينوزتهثوشك 
اثوطثثثصلث فمصطفاهصعب حفققيفنححخ طدصدخقمطبغ لغهضسظذصدد جفعحععظصاط اوضهسطضفوو يصططشدخعغح ذوظراكااخز خعظقبثظيجك 
صندتشيقلصز نبمافظصخظض دبغعدصظجتض يليغظدثنظد محتحتكذاحث زمصخكبعلثق احذرضسفعضص ديشبذتهخوق نحخكقهظهحف فسنكزفظااص 
شذزظنطاايص رطتظمعطحصظ عغصغيطبظفد غرجذتلمجشم ثشفاويصعدص كقبعزمزضته متمخيارغهل صخعفزصكاشج صضامطيبذضي ظرنثشسذوقت 
اسغذاهبخصز مضرطاطكضاط ثصييطزاعدط نمغصهمثثيك يكخرفاذوبت وقشثظذدغزس اخصككسفضيز حعشردكطيتظ رفرذححفبضض هحكضشيلعفغ 
قسشكيذدهطج لبفكلمحقبج اضططوظثضنو سخننقخكصوه ررقمسعذحلك واصسرطعذهك حفخسليسرطل خحوفهشجسصد بظتكشوذنغط زثااتتوتشغ 
