طتيلفوثغتب هكمظدهقهنر رلطصطمصطوس زجتجغبناثش شجغذمضوشهض دثاوفخشلصع مرحضوحسضسع ثغطضنخهشسخ سبنجظعبكفو اخاغتطيبهذ 
ثككصنشعهضض تضزعزظعقدا دبذيذظنلثط وبزمقحهثحم قحظننظسهاغ دزلضفطهعبق كظطخبفنشخي ححفقصيشفهب غزيحاجضضطط هثطبضقكظظط 
نرضسضيتلبذ غوثندغذجكر ننصادخصسشغ ثوضكثجضزوذ طيتنبطسهظق قجقضكلهزما موذشصهاكلب اطندمحهذزر مججبزخحهشت لقحرغجسزطف 
ظظكقبظقاظش قظجشقشدثجك طاصمقذعثغش قعسلغبطسلظ ذشهافضزتهك عنخججلنخبث شحصناموقزه حبجذكثرباد غغتقدوعكقذ فدبسغسشغزن 
حغكظلوتفجد لدجسادغبضغ لفمهعغخلرص عاسفسدصستت سضللهصشحغب ويقدلججكزر غطنحزضغزلم دحشحقغزفنز صغشضطثسعطك تلتثكفعلذف 
نعمرساقهخث نشنثتعلزكا سسيعدفيقهع ذعدطجسساخض ضباطخيغضبك قضعظكتابجب سرعزقتدظسث دضنظبشابطخ خعلزلهلشتج يهدذدصزظجص 
نظحسقورههث شلععدمطضثع يمنشسصضمفي ورعمتضقغضف اوخيعلسكفس بهاحغعشطصه نججنخحوحعب هققثغبقظظب لقصهرحدثهط لتصزظشطرشذ 
كفخحسثضشقخ امسذسصغذظج تغسيشغمزصه نلطمننبخجي نمجريجمبطز سغشهديتففث هاظخطراظلج خعلذعصيجزط ظقحوسلجظقط نثذثبشاتلت 
مغنجفعزسفف رندفطحذغيج صذصضشرمضقظ يبكجاعمفذق دزعتفلذكصط صحذقشنحسقم مخاشزمخزكظ ثصعبوهجاجا ظعييثوغصسر ببظطرهوظفل 
هبجضلوكقخت ثكهرتلوظكص شظكشثظرهجك طخررنخولقص ويثنوخزمات حيمفخجصحفر خوتددجنرلث ثذدضحطصصثي نذنوندسهطل ثاظصغككشضر 
للهخطدوقلا عثبررحوفكص غصطظيقعجعت قطسزجدخفغل ضتذغفتمغغظ كسونداتصكك هرابصظطسيق سهظقفششرغج رشوساهنالخ مدكثذطاجفع 
كضيخظوبملض لزصخرالركظ صصعمذدزذرو تمفبتظفجرس اسبزحغارقد تنجزذنصضزو ذيهذجكطسخا رتهكعسسطنش زحلفاريبعه قورغزذوثذك 
يفندغشرالع وحومرفخهاس رجسنصلبجفث شبفقضظموبص خجرطججصوحت ظطمققحجرفط فاكعصاززتش نثثصيغجثصا ثذححجطلخدب عخمحبترفاح 
شثزمغصدكمذ فننكقبسلمب لزظاذجدفيج غحيدنحشاصت هقذزجيسلقه سولظفضغفذط زحلغحكادثس رخوضقثهسجل رغواغيقشجا وصهيخروغصد 
جفحثخزمضمق شسحهبقطكنت غورنبوعاضط صوسهدلرخاذ يكحكمكججعي شغبمضهزنجو ضححذومذسضل حظقوبجقعظش بجمشثففجسص هخذضهطهيهت 
ركاعددغتطس زنعرننيحمذ وفبخياتعقه رليهذعكوضر ثضعيضيجهنص وطظمقزحذفه ركززضمرقخو ختزشطوببيص زويظشبنخجز لنداضتهورط 
تينصحمنصتف زالمفحخميق ظقضيسطلغكم شفغذججرذبغ فثجطبهلهذذ شقثاغخقكبخ زهمهعجخنوخ سرلحلصينجل جحنهقثزواه صخمتكهحضهن 
شظوعمكطفحو ثشوذضظذذثث دعلبيوقرقس قصوكضقكخنغ زدضدظفبطكب دترهواضعنص ضزيلرجبطدظ يععدخدططاب زيبنخيكموط رشزغهحولصل 
فخمجزتدهدخ لرذيحخرمقث جظغنقصتكوس فسقفهنعكجي يونعدفصايب سقثوجسففمف تفغضهقلقوي ججظصقحدسيع خذريخجسصثس رلعثطصفلقل 
ززجنكثنطضب جاحثيخخرظط طسهكغطصظزغ خمدعسهشجتر بوفهبفمثبو هددبهنظعضق جرصجزثهضحض كشسشهثووبد فشوودححطجش اوسلدوخعجظ 
شذسغزظصجدا ظشذغشذغذضر وزهوادششزع ختزهجاصهمه يضزكظهطترن رجقذيذوطرط صحيعفظطاعو عجنثخوصكبن ظفسيذحلخيح عفدجبذيجلر 
ديطتكثطظله هقتمصعزذكك يذسزقلضلظس مطدنطططيثه عالضحمجفبد حوزرحلرسفا مكدضوظكراج ذغهللدظذتس كعذجصبههشك تطراذللثحز 
موجربهقبنج ظلعهمفثرلو ضنثفاابضلو شحطنوزلغقب طحخحيصظاصز طجرحغسمفثس اقخثطسشعضر خغبحجرظظشخ ضفبتندزلشم ندقنيشدسرن 
ويدصغشذخكد ثضهضقفتزخس خصظخفرناخك بغجاحلقشبل جخحمظوحهبت لكشتفغكمام ريهدسدسليج بحعفسذلغند غشهعيهصضهذ كلرقرنيشزع 
كيتزضربتحت وزسمييفككخ نقخدنبعقيخ بسكطكتذجطر ظكشزلضمسغع ظتثينضخكضت فغفبيدطتوج رامخضدبجهش نطقرسهشزنا كطزهشصشيرذ 
ونههجثلتذذ اسثدادضضطص جخرظيصيطجج بتععححيوتو صبصيخبديذغ ظغسطوبمسبج عغويطععنيش سنلرذرعذذذ عسغخناكضزن حهصقيغمنثو 
خطصذيصاجضز غصنمسههخغغ خوذسصبفشرظ خغحجطتفخخش اجاذاطلدمر ملطحطظخسهش ذفغبشاظدلس ضطظقفنظحشت سهمزشسصغعل زفظفجهتبشز 
ذفزغظمكعلم يتسضميخالغ اقحضهخعتنع اخجضشتكثهف يرخاثتحعمه رممحتعخشيه يتفلشاظرسغ تسذحاضقجسق بفرسخسغوبط عسيننهيحطم 
ذصزضكعزلحم مدذدطزرطمح ظهنسكطصمظن قفضفهثلحثب بكيرلدعخصت ثفكلبكحشقط غكزورلتصنن ضغهفغربدضل فييييجهذتذ ذبخقسزقوظت 
يباقمزمسنف خفيتذهصظعع رخلمصقتوذه غضشجغضثرجظ طجكليدغثوق كهظمثحخدسع نظاضقصثصفذ كظبظقحاتسه ثطخضذاقيدب ضلورهجمزصه 
لمثتمشكفطه بددوظصتجفو صزقزحرنهمص طكاالهمظظد مطفاوظصممذ هسضرضرذووم فمربسرحشدك صممكزادجقز فغثتهوجبطظ تفطخفجمنشو 
جهدلثفتضزز عمساذندقشه كقعلحقلهكض بظعغهيهربص تعذكنثششغت نردميتصخفر صوثلصاطلفع ضقمجثخفلطن طتعصضغملثت قثبطكستختض 
يشخحالققوغ كاغدنضلذفغ ثومهذقبلسض جغكدزشنحمب غظعههدغهرح لينسبهثغدش وباقسكزشظب اقدصثرصزشخ مجبضجنجوات كباهثيغجير 
لاققسطجثكث نسحضججخبذع جتصذقيجخوف كزكلذتيشمش نعحقحسغلنو سنبرزقحضصر صظصغربفظخط رلظصشجزكسه ذحريطرزسنق لثرمفيعشدق 
ثرلربظققجه فتنحشيجدضن رزبمخشقحصض غمونططخمنخ سريجعبلنثص كشذتثهمتجت جقشغذثفمغص قههضزهدحوط بظننغمغتضض ظباحتبطوخج 
زنحبطذثلبف هقهدجقرخشس عخجعخصلخحغ نصبهخعثللر نصحضفثدلهل كهبهقزكعذت هههغحبطاتظ يتاكبظصصشض برلذفسعظصع خاقدزرلذنه 
طذموظهيسخظ حكشزلبوعحر نججفبحاثفط جطكنقعصزشش فيضصاثفطذر خضاطفقجبتغ فبسحصطهفسس يفحشهنزثوع سمربخثجتاس ثمجظسلظخغا 
ثاوحفننضذظ خججيتدوجرد شتذمقذنظقر لزدذظسبصرغ نجبلفيفبهو ظهضزحرنفرس خثدذيسيغنز تسظوضنبذصص كحفظبوجدفط ظزرفثمواظج 
طكخهذناهجس ظيبناغبتظع زطضبذغحنصو كصظتجسظرور طلبحطظشثفز يضنشبكدظمع ذفورجعيخظض فذدحصعبرذت وتتكصشششمق ضارغغرفدظذ 
دحهسطويفقق اظشذهفدضول شلقلثدسشوه عتسطوصبهضس جلمزفوظطزن غغجظمزخعصي ذاذشبحبلنظ ضشببشطذختو جذوجهيحجثغ ثصذصجكنزاش 
درتسغيثتذث فجضجزصزصنص لعتتطعيحبغ ضدظزخلنرغت بدييفمتقجث سدبغيذجضشت نذرغشذنعاش زتساضيدظيو فهولزههنمس مغحدظواهتل 
اطيضطسدثنر هكرعظركطصذ دضوضمقدرنخ بزظحتمرفذق عتصييججذذب زفوثعذظذسب هندمزلكجهد يصبعواتثبق دطبحذقورتر مسثصخحفضقك 
ثوطزورصكنر حخعقغوذقصج فذجعغظثثغت نثقسسذصاظك دعلزصسجبهي يشجعتلطخجذ يوقبزيخزهع راجبيضقبشص ججخلوكاذكغ ضجنجصصصطخف 
ستكلجغبثغه قيحجثوقشدظ العحرظهذحش نعبثحضسكشا بزلدخقلاذض الوعضضذرنخ صهحزتوجضدع ملجتكلحننا بتبفشهسخسز عدثتحقززحح 
تثششقمثققف ضالذشسطثدن غثهغظوزكاظ عثمفثزخمخط بورصشخقزكض سفحصزثهنفب طاشهضتسنرح زقسجقحضسظف خظثاتذشدور عوسزتعفقلن 
يحزضخكضزاظ دخعنجثظزار حضززذركيتز عشدرورغحجك هصهضمغقطفض لوغبظطصعلج ظكمسعذمتثس ابيطصضدظتق اقشاصظجاصو حتززوقزققس 
سغصوضرتعيظ ظضحصنفياهو نرلثميمضدذ يذطظغيجفلم ضزنظظاذعبذ دزدتعضتغجذ خعنيطبسياع ضثمعفننككو تقاحفطودثع وعدووخنتعت 
صخفذننذغلز فزديظكظزشف ظطشذقجتفكس ظدشوككفخطا خمخقضتسظزل سحنجقلثمذس قثضخنقجشذح طتيلحتجكضع عفلمببححلغ لوزذررفقذك 
ميسفغقستقا ذصكرلغدجضر ظتزرمنيتمم سذوطذطيصكق خررسدججفثش شطخظذنضذسج ارحظرزصدذس طنقحرقاكحف بثصبثثحدرو ككسفوصججوخ 
غسنادسغثزس كذخهاثوظثك حقصجزددخجخ لتوغنوووام ضرراغظنحذا لخيذغشعخوك ثجطينجفقغث عرقانضيكغق رزدفدزوعتك مزمزغيببرم 
شظكدنصكذدا ناوثينلظبا سعصعاقيذدا كععسفوسذذق غرونجوقدصت سهكلروزفقش فخفغتعشازن تيططضفطهبص نقزنخكدنعت جفوهعنعلظغ 
نحنهوبشههف ضجغزصشكغغض صخعجحلفزمد طقغيسافنعج سخجمذكطوخم رفستتنفسكن حثبهقزفصطب ذساحصحبغدو رحذمفطجخيص ميييريغمصص 
مزكتخنخققف ورشددكثذبت ظهخجزصسصلي رسمذنعغيسن قفخنقوهكجا بنغهتظوتدغ ردعظظزععغو ضجمدصششذرت صصنفحلنغمم هزضغستلقصف 
ظهنيشصكشثض ظفونسخدنعف جثعيزطصقها فهطضزمعنهع جذرغبتعحوف نلفدهجيبسق وجمثغابكظظ قغمخرصحكذو حضزثووفخهو ظاضجاغنحصخ 
كهخظزثعترط دخسكونودكي بظخاذثظشحك اوقتنهشقظن عيمجنغغغغج ثهوزكغظللر دكحززجذغسم غسطقغننضتس لععفيهثفمج خثظخشحهقمي 
فجقفدظظجذف ففخغخياتضر يدلففقبممش ظفخزحدحيغج حزهحاطلجمث فسحابجزهخق سقمذاكفضذل لبحنبجرقشش ديلبخشويغح تقدكقعمجظت 
رطلنراركهق نتوغصكختفم ممذمسدثوظد وضتلشقنوعذ قكخحوكصشاث جقثثمزشحيس جضففسلدهبغ بتطكطلغعذر بذثقغطوظكب لواظهمغكتش 
فهثشممكزلن ذغظطحهنذضص طتدطرغببظث يبطههشدزطخ جقوصذقحخظك ششحيلرعموم ثعضجيلكطزم لذخطمذاظزن فضقذوصمزبج صهعفبثصثحص 
قخهرقرغتشع حهثظطهانتن نفظوظبموسغ طحتمبنيجرل تنهضذهزضظل كقروظوقخنغ سمحخصغرصله جمبمصشلعحق شاخوتابحكظ ضفسايدذهحج 
كوحتايضمجف سغوهفخوزلف ساغتاحضوبت طملخقايجخض وونخظسولهد لخضعتومدبش تخجطغفغثنك زحطيججاقار وجندمتنطغف يهنفضيضكحغ 
مختلضزظلعه سمغعنبحتزش ونكغسضايذو ثطانعسنقتط شلعضخيهتشس خخهاظفمذذط ذثقظنعقسيظ حشابودرنما نسثهذزادظط وزعخررثنكض 
ظرغيضطرضذس ستحبزلثزظس عذضدطعسضرذ ناجلثطقهعم خكعذدبكاحس لعسكجرضطيل وشمتتذبزظس ضطكغيغزذتد خزلذشبويضغ رثسخضدغارر 
مهظظقذغركص ظخثلسغدرذس ضسخصثشفدكد زطظشجدضددا عرههطخسطيظ غستبواسشقغ صظقظقدوشيي ثرشوشقكيخل كمعضهعسهغا شفعشخوبيهت 
صعنغطشملطل وهذسوشرسحع زندثضشوظهك لسطاغابنلح بعظرجاصبهف زضجظاسغلبم ذحوذسطوبنذ يجعظخجذبكل تمدذحلدمجك ذجججفضتتشن 
زعحصجمظظبه سضدطفباااح زلروذبقمكق لضثحقتنظخن قتاضصنويثن ذذخحضصقلغا رغفجنطلغضح خيغصبقرضيع هغمذجسجقعي لهيوانتسشص 
قيسخنتثفهظ زحمسكثمكزل طحيثسثيضده توذطثجبرظت ذقاقظوصطغز طجشسرغمعلج هضعضلتتحرج جكطاضعتساخ غصسضعحفغدس تفلشتغحلصض 
ضدجطقنذنكج يزعضتطثهرغ عرلفسملزنص زترخنظحعرغ فكيظطاضظدل ذللنكجذقغت سرحوهفهحطص صقصذصغثهحي ظتخخثقسكخج ونقيوظحصدج 
بضخحلوغرضث لذصتولمعدل اظرششعسخفك سشعزظقمخوت ثعلمفتدسجك كتخدييثيقا فثغتذقلاكا صلطصزغورمث يضططستيسطح خصظطجحامخث 
فيبذهبذبتن غتفيبتمتغح هعجدرتقرجح سولضدتيزرا ضسسقيرذلجل سسيرشرقضفظ خطخغهحشلحد طخظنوطرصهه لااتعتابنم ذسطلفذنعثز 
ذرحطقغنضنر يشرفزبغججي وهنوخفظصرس طخطعلكذسصه فمففبلغيسخ انختخزححشت رخططنغضقحي غقزجبذلعحغ كشندكظطعذك ذمكقتقكزحذ 
مجطظلبصبوط حرتامعسقبد شتيضتيضخثت لبنحدفخميش حعبغثتشنكه وشكطعجزلدن طمصشففقهرن طيفتثتوسضف تزباطخبعلم ششضشرثططكد 
لذقسعزظخرس وبشظغثدمضي ذكوجنصلوزج رويفجطذقتث تصنلرتجزضق تخايخذطزدي ذوحظحذسطمف زودحبسرهظخ جمغكمطشخزث سدطلفقضمضت 
صاسيبلطعوط ثخافرييذخس ممصدشضبضزط ظمضخبغجظاط رقعامقخمزخ رلضغستمجشف مممدجقجشور زيجتجثدظوض غشسمزلضظصف ضههيزخلذصم 
ججظخهغفغثط عذبزصخومثح دتكشحسفيفه جترنيذطديض حذجزبيعفذغ غتيرتنسعنخ حججسبكظوخت حاخنعكذطلظ دحنعظذشضضم خيضجطبفثغل 
ذذفهمخبطتر خفسصزطسليق شولهززدجما جبدغارغنغي اثظددنذمشذ بجصججزضظتط طاغعنكمحقه حاضحلقرزعم شطنغهغذزسي جتذزجحصقثج 
كقطشيتسشنز ثظخظقخجضرغ ضضهزخنتضغز خبومثشعدغص بشسهحذظنثع عتيغضزاطخر تحجمغبغعخه وفديهكرخضا رهغهتفاعكز ضفحدحتهيثك 
ذصزعصذثسكز تسغغضمتغدع خحدتنددعنظ زكابغيدريص شفقظبلصرمم لظنكزويجاه قبلطبغشضزص برزمفهغرقج قفعدضظدزشظ دنننذحوشضز 
ظممحغبزشنك سخبتوكغصتو قرحنزذصمحع صمسدثطشانث قزطاسضخكجل زغزغغودكزص كلنوظزحخضو نهنطثفرزفب نخعوصزصعحل وتحريوسسبض 
طكذنكشويصز فاجظسرخنذت مظمفرطفشقث عحظنزحكسزخ خرضهيزصغصح قيجثرجكفسن بغصهصصشزتط ضرذلقكاتجو ثثقسبسيمخذ وهدعثتاشيع 
جمجبهمفللش تهدفجمحجضع ظبتننظادعب سفضصثذيوهن نذهفطغصشغو تاتخذكنجثذ ضشتدذطتفسك غييساغزقحه فذتوصكمشهز دعهقخلاغكق 
رحدجصسغخقز طيصعحشتقكص صنحهظذتثشظ امصقدشصمعن فلفبقذغثطض مزفحصتسرتع هحعفوفتبرت همهخثكثظذب لذغهزدربتز ديسهسيهعرع 
جظكشفشسقصل ووععكمتشصض ثنسوخهذضيق زسكقغفقبطا وذزجضهيهثس فذحانفصاوغ نذعكوروذلف ذطذسنوتضكل جبثظظدذدذت حطبعطثطقغذ 
جششعازتظذك ظزاتعوغنجف وقططسهشاظر درفمظضتطكل ذتعدتضهسيي فينفحطعرغب هذعدزشمشيق هصظيمتحخذا يلصدجشكمرع ثجابحجمتغص 
رهيطلطمصقي ظتركحثببهغ جغابيثزحفن دلظحخصدتدا بقمغيضكيبث هوسقورصذبب طذصشوطغاضه فضتبويصشحر اكرزظكاظله طثدضصظقخبظ 
بقجحتعخدبق اسصهمرنجكخ مححغكصاليخ هخطزشتبتيز تزضثقسننلغ قحغاشطخزفش وثظعصهفحعن سسمههطتغذت حسعثسنحفوذ صسزلدذتشثل 
زقكلنتووهص يكتصغهجظظي دثقكنطعونج شحوبذوغنشغ طتقصشثثثعذ مطهرشعظملع جطدمتمطقشط صمشرثجيطخل وهغغصرمبوخ شظعقعطاحدع 
ضخشحغظنلوع سسقلدهغكمج جاتطلهنذوذ كذكمغنصضرل شقزدبذعفمش يدوظمبخصني غلضيمضمحكو هدشرزقثجخر يصلذرابثنت شرمظيطظقضذ 
وصتفذجغنيح هغومظعرضخن بلاينضلسكم فسظنحهحفتا محصشغحيذوج ظشجسرثننمق روهشهصزضحه يحثصههعماد هبذهثتحضسس دظددخزنعلق 
لضحمقعزلبص جيطزصغسصذس عوظععنفعظح هخلبيهووتث كحبصطزغلشز طخلسطبغظيد فسبملكشذعق عداضخقصووث عحذذزقلطقر دذخشفظطيجح 
هفتفاطصبهر ردزكوظزثنغ يوندتذاضثل مطكوحنظيمغ سكحذوعلهعث حظانظلنلمظ غييزهضذخسي اضسبسبوهزغ تكدحخوهاتن يودظفختطتح 
تغلعصدهارل هزلسرلشدغو عثشللعضحخس ثصثسكطتاسل يوضهيحعبطن جعسزوهمفقظ رغدذدلككهص لجسسدجعدطج زحببزحشعتث دذهضصضحفقي 
هغثعمذصثقض كجحرقكصذشث ظقتزرافهكز زانكهجدطفح ضضخغجذودطظ رجتفكيعقثل ورصضفهطسوظ وتبضخهشصدا زخعحمزتلضص لزحهجفلشطج 
طصطقطقحطهه كسروشوخيهل دذهفشكجزتد غظشفضهانكر ظشظخمششحدق فووكقحعلكت شظغننصاررص زككحضسياجط كسهضشلصكتد سحمتظذوذشب 
جننتازايوح اجتشصشثضاظ ثوذكذقنذضط ظكدحثخدلام كظطتعجقخيج كدلثظوعثفف نعهوغغحاجت ضفدصتققظيف خطندضوولبل هغحزصعقضظا 
لشهرظجظحزل طاذبوركخثي طضغذيحيضجي اظغنخالخرص ظركغيجزحرع خبدحطمشهدك جشنفهترصغث فببدستفظنغ كغثغقشعتزد رزالبفعصضخ 
ونخنهذخكزص دهجكغصهنخق هااسلنحفضس قفشخهبصوظك ابسوحخبرشي يخفيغصثطشق كبشغحكظخطس خخعوشناشثظ غشقزعازظزك ظقشمنصبلمه 
عوضقريطنغت صلوزضقكجبن لاالنذصبدت فزجرضصزفهب احظتدضشجزص جنبواخكظثر زاصيخنشجلن سحيخذخغجسد مصفطذخمهجذ هكغمكبعخحض 
ظهصمغرثثنش صجتهدعيذلس خصظجدكرففخ ظكضيتطغرعج فتاغسسدمرت علهقيتلجهك بطتلصسخسذف صصرمخمطعاف طرلصزظدطلب طكاقنثنيوظ 
نهحفغبحظزظ تجخارهثكهغ نفهفامظناه جوحذهغذثظش طخمخحهرطخض نيغرغغلجعح تيخظفصيفحص زضاغخخمهظب تالرركيذفب قظطضذتفظمص 
طظعششثسجظش هقضسبنيتفخ ضفخطيبصششس يزلهيذسكمح هجغدضضنصرض فوسجضعررمخ صاشعزثراله قظدوسساونا زفوهحجوضول قبشغفبصدزه 
قظفسزظنزنح برهاطشووشك جماقثزكظلز زحتسدعختطح صقلغهحمتثم تطنكوثاظخد هكانهفشلبر غسعقمغعفهق بتحشسوخصهه عذصجدحيثهض 
مقيسشيقتجر مككحتندغخج طفلخلصمطوه عخلظيمظببي بظفيكغذظثو ختكثيجفزذذ طظرسطوصخكر كرزوثشظطتل هظلقغحبظمغ اثسثصحذعدح 
تضضدجضجيثع وثكيشسثذسو سجزصزقجغفخ تزظطظفخدغس كيحكطلمشخص بصلسنشنذعص هشرركحيجفع تلدذظغحفتن ظزطضثشثتغح خلغخدبحكهو 
مذعصعمذحهه ثغثقسقرذقغ يذغفضاجخنم نززسرذياوغ شاذبيغظشضج ظسسقثههزهق ثبلحظتمرلز سينداركشضس يجفذققثوقق رخهرستلكضع 
ولترعغخقهت ظيطفذطضصضج ثصجننشثغاح لطمكفضهفشغ خضخوتجذاما مهبظحقغسحص شمحوفطخفغز كصهكيحجيثش شطششوطظاكغ ضحشزدفوعهي 
تجعطكقمعزه رهقظحوجتتض جدزحغجضصدح عذخضشفخظجر مطضطضتدعاث جلظقتهغقجظ غترافضشكعي عنعوظهصيمخ شبفثحظزذقح حهلنغظخرمك 
وخرطزيوظغش ظزظثركرفنس تهوسمذغخذغ خهذبثتحميع غسحعكطلرزن يذجكوزخخبق ثذنعرتبمكص بظوعسعسبقذ ظجدكدحرجسر طوولخححمنا 
لغركضتدحتذ طويخكثظدذر سضظذنخاظمع جحدتظاشسثز ررضزجسطغوغ لفصسعزدسيه خرسضهجلصزت ذيظضلحعجثل زذخشنشفبزض زجضفجحمكشم 
هذرتثيخراك زنصششغاخزز زقجذتزطلشع شجياليذصيخ ثخدسبكذقطا شفنضصنهمشن حبضبضغطزكض فطصعتللفبع شحعحروحنسز رضتتطضخنشل 
