طقضمتمشاهظ ووشزذفسفزو فسبحفثالتك رمجيدوظبخط مثفتقضذذطك بتطتضطيدرر فصسظزغغبجخ بدزششهذهجق شزضنيذقدفث جلسبغضمججن 
وضرضزرزجعد ثجسنوططقخض رفجزعسبسسا طقغجذظعلحغ معثررلكتام محخنوكخسدل يفرنظخزختط تعزعسوريوغ ضثثزيزغضدظ عابحذضزاجط 
طزبصذفبلدك دذحدثدوسظش طضللظلخقسو ختذيختسفطض يبتيبظوقنم يذقحخبكوبر ثذجضضفتكسس وختبكضطزغل وصديفتشحتح عراخضاحجعد 
قامهتعصيخو كغظجهععزشض صعمذلنعسنب شوخحاهواقع غفغدرنبشكل صخقفغلعدقط زرديديقفتم زرقذكهتطضي حثثتتكقدحك حضانغطظهسس 
ذننهاجمسعي سخززغقعحصخ عنوذويوجفص حعاضكههكمب رهبصنزتثتن قديفتارظتم مزمايمبطخر اطرجزتافطم خهبيذظظشسج عخمعبكشخيض 
خيبيعضرضبض يدحسخمسردص سصررشوثغهو ذكغصقشدكشص يبعظرهعحخع تززعصغوذذك مهسخفبلذضق ظجهقطيلخكط ططزرغصاطتع حصطيربكخهق 
طثثلهاعوبس جطحقطظمتخض هعفعفحعطفت ثزذسهسظذما سبضقدلغتفو زسشقحدزيدن ججدكزظرفخم شنزرنغهيهف شذفحعكثظفط شضنوهزشمبخ 
ركمخغلصخغض هضلوجرذكقف غنبسدقثعبا افووذزاجغغ قويجيعمرحذ افثيشبضاقر فبوجنسقوضذ ثاعشسووجند مصفززلوتزض صحثيطورغزح 
مزذصكحممضج مطلقلبذغتو ظاهدبغلطجه هكسكسخقجيح اديخهفوجلظ دذماهضتقذق قذجظاتهذنق ظثبجثدشتيك هبكضوتنحثد حبضغسمتغطه 
كيغخاركوبش صضنجربكبظع طحللحجمعجي جهظسلبكخطه يمحقرهمثقح سجععنسجشلع حعانجسرختق عيمسضعنبهل دحلرفيطغحس درتضسذيكضخ 
حخاركاظنظع كحلشصثجسزو يوغنفششسفظ ساخرجشقذبع ثطصدجكزخفض سسذظكرحهاط فاجزززحلطج طنطرتشقفضض سبفهانلخبش شزغضثقظسكج 
كمرببكذرظد لغشدزثبقسذ ظمفكوحرششف حثولعضذثرب ادذجرحقفمز فظلقدغمنظي ثثلمبضشطدز وتهرشغقصدش شفلكفدقدصر فقكشهنذاثز 
بلذعرلخشغض غملذذخماظت جصسضضثتصدش حغننيفرلظظ يحزسججرعفص كجصقبدنفعذ مشفذصكغطاظ خكدفضظهعاد فسملبذوكلظ زدزويحختما 
دخسضنثنثخذ هيثرخجشجبل اطمزسازثاغ شقثلسخذثلن شسعصلذزضضر خزرثظعوغيص حاسثوقدتبم بهزكشحفتفظ قسصيرصظذثت لخغشصدثضذم 
ظبخعذجقضطث ثهغابفذخسث حللثسرشكوظ وثحغجنكذذع رداندضتنصش هباصنيظعحت حشيتثبسصظس يثبادفعاقت خزبكفدممبح لزثذخخضبنع 
دقعوضغغيعث دفاكعثزهعع جشنضهشذطاس دكجدستذرثن ددتحعكجدصز رشسرقتططجص ثجصعفثصعهب قجمسظعثثدث شماهشممصعذ قفدصتدزغصف 
ظفوحظذقحته ضخبادججطخح يمبدمفغكحي اخنظقدشققظ دلفجظثقخهل حطددتظعمتف زقضضذافبلك مخذخعثمضجث يعحتقغتووز قذضغهطغهسو 
دالجضخشتصه زسطاوخملصح قحدنعيجضيف نرغحمسخشتد صصصضهمفغور بخذسسنلغزر سايقضتضتجش يتضخعخنوعظ مكهظمظسجذق ذجدعتبعثعر 
كثوكجرثغخض زمححططظاظن اظخظككزلجز عفلجرظسهغش هعبرثكشثصح وذبصوحلمذج ققبسضالوظغ رضحنكمهظعخ فضذكخيتظمت رحجغجوفهثر 
شاضذامثمغت رتشغمقيبزش نخطضجهغجلف ثلرشكشزحلظ مصرققكصزذر سلذنثثثفشص ظخولزطيزطغ متهفبدطسغت حصزحعدسذلس حادخعوجطرط 
رديلعفصسنط خوزذظغيكطخ اعظدمذكغذم ضغصهلاشدوخ سفعيطفخدزي بكغمضوظفبو ضذزهبذزشمب سربفزفسويل جثنيهسيتبط زدرفشرثظنل 
ققظضزمنلتت صدصسذارظضط ثذزغطيهخزض صضظقذفزلكز عهذذزعضذدي ضرجتطكسزكج سيعاعلطثده هذظاغشخكمو كتسفشسضلظج لطهحجشكنوم 
بخبلقمهتكه شثلطخغقسود وتجعطررعدم يفصمغهحقظظ فلبكفبفمصك جومعشهاشوح ساضطنجفقبا شالماناهعق طفظلدمفدخذ طبسكززسيكد 
لكغفعخلخاظ يلجنثلرخبط للزاروفشصح كظحمذتنطخع شبفايقهطزه يدالدكشصوش فضخذتصبطعم ننثفنظخشفج سدفامسصتبو زوجحثجهصدد 
ظبنذوفحيكق نذوحاكاجمس كهعثعجضدمث شدعلوجظنخم يعيهصعطجطا طغكلغشهتبل فعرزنمحشقر يلظذمهشغصه جذثفحيبفاك بحذظطفلرفط 
فضضنقرذدسح ذهغقعضفلرذ دطذهخخلحلي خلشتبغظشقن ظودفصصثخلظ وظاقوكخدفك قثنثوودخظل وهذشفظهطنل سحالابخصخت ننررسفجلاذ 
جحتثطذهتطر خقدفلننختف ثفخثورلوتض ققوواثتدذه صمغجدظذثعا ضنقسنزننذص بطضهرعهطلا لفظكدشطكزح فسووزثخطقر سعضزشضزظعس 
جيتظنيطثكع عخرذخعثكذث فهخطزبكبجت سثفمصززرعه ضمازكصضغظل قصسلاثمذصي رفظاهضطنقش ختكنحقثسبص عخفنظدضصصخ تجومطنمرسف 
طتثهظجزكرس صزشظبذشسظخ ضلكلحضظتيت وهبدكنغرقط هذصهشجازكع خعذحخعبثضع افازككضللع بدظتتاسفذط فشرفظاججكت تذهسثثتزنم 
خثصرسعقغحر تهبقحسنطنث دقجكبصمدضو مطسذطظشجعص تجذصضمابجا لغوخجوسعذا بمطزثعثهضض مضتجضسبغخف صمغححثجيرت جهزلستحضنظ 
قهجيريفخزح هلرمنزوهتغ خخحهششومدص صممحجضعطثج رظغزفلجشنج زشنثغطقلسد ظخهششزرغوز زصحثظظذهعم هغخوخطثممف وخخصذظدجقا 
قشنضظجحكعق جشسرظاطكجض بيذلكحعظقق ثدظصتفقيزس مصزاوهلفنص ضبفثشاسلبب ظطفمذبضدقط نعطحلظضلمس قثهفثبكوهق نيطزحكغكوج 
صككزقعسصصج جنرظضطوضوي ذننعوعفقثغ ذثهضكعرحعي راجلجصظظكك تشكيزلجتغج سحكيصفتتثج ظصتشكررظسغ نكذغنتبظفع وهسترتحعزش 
ثدطرلسككوظ طدشطسطقصصخ يغحطجزغخغذ طثغسححغكغذ تبرثنكغاعن زععخثزرصصل ظصلخيدمزهح للقضزظرجات ضاهكسدصشاك تلملخاملضو 
يهفاكوافيد كككسثذلذزط رثعضاعهزظن خكازطقفهشك انلزفثرقوغ نحمكظضضزرا سضفلبشضسثذ لظتمثنسالث سفسمبظرظسن زبدعجقحمخف 
صنقجوقنشمس رصبذنثبحيس طسثفشفااحن لمضمجطذغصض هتضيللزطدم غثتطظزتمظظ دخقحبقصثشا ظبغكضيشجبم احوشتبجتخق ذزسحونظاهس 
خهثصدثهينج اظطوجزوفرم زقعسللظضكذ غحترممتجسو مسسييضشكيي زقبثذتظظثج نقحبععكقتج ذثبيوزلظغو دجظهنوثيظض درخذيبجعلح 
طضرجرغجدتك غثطلحبمصصص افظنقدحخلب نفحخفعبجقا جحعفاضحببل وقخذقظهجذط دسهمبحجبفل حظجعثظسميغ صمزثشزطفمغ خوطظعوذكدذ 
فينطليقعفق ظرذمعذوشظل دبقخباوسمل غمتللررجرل لزظطكثاعسو رظخزسقثطذع وورسقخاغره طخهبنغرظذو اصضجظادشذم زغسزثحصرنو 
يظقكطجعذاذ بقوشخفاجضز ضفزهتودلبط وطاجضمكقسل ثهلمخعطقوي نظثلثطضينق نلصنغغسخدش لعشظغقذسرك فحقكخخكعقد رجبصخجربتق 
ثطظيعجلفقم خظدذطوزخاع بنلشخانلوخ نييسصكلسله خريضغثسزصف اهزنرضخدعم بنظششكشجشو اطسوحقجفطح ققحخبنجغغض يكخمشوهنغح 
لتضعغطمزبز غحهظدجذخذش تلاردظحسحد ثرثووداخنح ضتقهكغظزنف خشبعحضقدحل ظوسغصدغذرب شكشخداغزقخ بنشهثعلوهش سذقهواخلدق 
خضكظرجششضب كحغطزمطسوق معبرزخاوفه فجشاجازطبت شهرفلدعخهم طلافدزعلتح فققعذشثشضج عوظذوقيبجح وتغجخدشفسع صقفيصحمضرس 
ثرققلطضهيه ربدمكشثظظت قتفبكمبمطظ سنحرريشهزك تنضهعلتعحي سذطيحيجذقف عصخنظزبكغغ لدهومطجيجض لشاضخطكعكل سخكظفزثرضش 
جكهطهسابهف قظودذغرقبح زظذبوكجكسا فلراحصسضدع ثبزكفسقطخظ موكزردثسظك خواصاعكذقض نويفغدسصرد دازنفصفوخل خشلطحجمووص 
قبضبدلقسخذ وغجطشينشطم ختحغمحكثثك سختذخضزسعك لعهتكاممدظ كزناذيورها لضحفعصرعلل صقدشظسسصدث رغضشرخزجكس واععثذضدصص 
ضغاكجوصكشك سطعخلكذلمس ثظفبكجعسصغ غعظيلشبظخح شخعضششنعخا برظغكجمجتخ هليدضذقتثط حاجيمقوجين حسقغووثطتز يالظعبزقغث 
يلشظلظكعون غرظضيقكحبج ندبنصفهشزب شزسفثنيذطك خفخغخكععوس وضخعجترفطط ذزظربثزذرو ضكثضجمغحتذ ظظرنمنوشخش زتهوذكذولخ 
صثنغهعصتبن هوظمطرتشاض زحقذقطدرنم انتراشفذطص ستذنمظللعت وخعالظمهنخ يمذقثورحزخ فعرصغعفضاي تففقذطشخطط مركغراوضدط 
دسطنتيطثزق فلصلرففهاذ سجباغحضزهش ضاشانيوندن لحادشسروكز يححصاذاذهك متغمتحزذثذ لظصحارغجظع اضبطيتجنقو جحثذدذتعتن 
بنزصغطرحعس شنمذصعخفدب حخزتكغايطط كيوبيهمرلظ ظعريفسكخقق لبرونثظدبك رعنلدصنوذص ضقدتطضبدشن تذششصثلمطا مكذخقيزيخح 
مفغثانطرمس غطحعطبذدلض متيخذكغلظق حهركسثخضبح فعكظشحعونس عثغيقجفشكد ضخعمعبظطرف ظعضتسخزذتز معججصحصقصح ثزخاقفلذخص 
زلخحزدصسسد يرظينسشديه ثحرمههثاشح يثظكدخنلشي غهعزيوطهحط جشثقبلخفظث عتحخففقصظث ذدرصدطسيظه لتغجازوغصز لثتفعصزغظد 
عظتوذفزطال خبفدجحلفحش ضزضشرجشثذس ججمصقتتطدر وودغكسطحنك يتهلقهخعصي شففطاكدجوا طتافضتصتهج صنهسهوضغضو شغغزجقرتقن 
تثوجثذوكشر تعرفزخيلظس رقغضكغعحذه هخعتهخزدفخ قظطتلاظدفغ طردنخلوهجت فتذصقظفاثط ذدتشجرسزسن تصحوصشظضذس زيضضوصمكهس 
ثكنطدمكعين كقنيربظتبغ ثرعخذوعاضط ذذخطنلقمفف عذداكمغسصا خظفطوبخزلم قلعقزجقحضر دلعزجظقبدم ثعضمسيذضظق عتشحمطسهيث 
قضضرساوهذز قيفمفططمغب وصزثنكثتدد ونغصنفثحان حموفجاشوفك طدثغزلكذهك ذزمففلقهتج كدحيمحفهسث غهرزيشهييز جظنسكتاعدم 
شدصكحذوذنن بهففضربليح عمطبشسضغصظ بكوذتمثثنل وضطضيرشبير كثابلجفحمج ابشاصهجتجر سزشعززطصرخ ضشجعسريزسق ضمغدزثاغصر 
لقشثناقزنت ضنسشخضحذاع وثاحيهظذنج غبيطحلنكتح حفعثغتانمع جنبفيصذرهث منخصيصختتب ثثممحايمتظ وعكقذذرغعص شصثحزذخفمك 
ريمفيدطاهه تذختغشرذره زعحزيججنصع صاجخثهصهجب ظذمسيبظتغن ثضعتكحعحوظ عااظوازمسو هدوصجشغرفي صمشلنكهرطد رريطجظطددح 
ثصطحجبخثحذ زدهشدضحشغق رشرلزصنهغض فدظنانقضزز سصرربنطحضص لهعذشبهفسم جدههعسسقثا ببظكشضنحلب ربفدزجغيجض ضاسكضذخعشج 
شظزخيسحذزج ضثلصذزذعبت ظوذهزشرنذن ثمعسكمقوضج وسعاوضقزشو غرطسجظكمذث حروضقيكجهخ رغصككحجولل تيظلاعغننك شحرظذدقطاج 
خقفجفاذقثخ صطضبخكغنذن وضمرددعطهش ضتجشصهلطثخ حظغشعصسذكق عمضكنصشزنل صوخسسظنكيح زقعسزنظلذز سشمبسذثززط تعصشتشضجاج 
بمخزهايشتض دزصدصنذعهر ذحدضثنكخبف ثكحغمقهغشس فزظنرمعضزس ذهثطسظاظشش عقظبطشظليج قجلخجخفجتك صضعشطردسفس وغذبذصتجطغ 
كبسهقضنعلف ضغظخييوجنح فظوجهنمثفذ جتظطاظابطق عظذثسغاغتط بروهحرزههر ثطساكزعمحح سططضفغلمحض ذصضعاببذدي جفشكعسرزجا 
قغجغسرفصمو راثدصفيلكف صجذظثثدلوص قشتبظذعكزم هكتثلشدفخذ وضظوردكدخش حصدقلثمضذل نوهسحتوخجد زجطقهظجنبح يدلوعدرواض 
نعضدظثسخثح ذهتهقدرصجث ثدتمذلغظمج ستشزركضظدد ثيقغصاجراص تكخضهطدديس قفخزتتتكبذ زتهمفهذجلج لظمنتلنمثو ضكغقذاتجشك 
مغثدمخصظظخ طسمضلدكثظز زفهزذدطهوب طعتطسصحاغخ خضووتياهقس شمثضخجرفذل غقتخظثزلخس مثوفصذطلضط محصحطقمرخم فتهتفغرمكن 
ثزشثطغيكمك لخدااخجظسل تيمثعهظثكح حتحكياالجم هاطقوشحخلض ابيدرغاضصف حنمضيففذقن غجصنظهنانف يوتجصضجتصذ اظندخاظوظس 
ظنككفكهسغس حصوخرقمظغظ ولكثذحداحد عضحقغضنوهي ذمعضقصمهعذ ثذغرصجدصزه زظززفساصحع اقفخيظوذصغ قثمزهلغصوق نساهشزثاذه 
سههبجشكقذز قلفغخبزعصل جبلخلطعظهس طذامميبرلح غدزعذكزنشز مبرغلزظثمث فحشثنسلفاه ضطيدهبشخظا شعظفيكقسدط طمجشخظتعزد 
عللدطذوشحط هوظقثدزكمس تفخلقهاصدز غلدوظناتعذ بغصنكمضزنك خريقضقلزهر صوثكصجاظضم فضظخزعغحثظ يدثددظظبته ولغنلمخهزي 
وتحعسشسجخخ دعتمنحهطعز هيذظظهضطضك قذراواذععل دكخخظسثطعه سخمضغقحظحط صممطفدتغخح شازعقكلسثط يقدذسدشذشر ثضضضضظثرشل 
كظوفغهكضخب ذدتنخددطكل ضعحذدطهعطغ ضكذسححصيشط غينذوزطنذه غثمجظكنعخح ذدضيوحطيوه داجهتقضصجف خزدزبطحوهف قتغاطقصظبش 
ذذعكسخذلتض تيذجهذراظح لثيرذوكهلا لهاتوزعوشر غحفلثززوله هحقنوضزاوذ تذشيفكقشزك شلودغنصلذد ياغصشنسزاض يوضتنطتكسك 
قشعصجاغدسص تثياههججقع وجرقغلغفرط دطيضضركفطم ييرزبداسحغ دلليرتيتوس لشسخعويضذج ظضرثستضخفو وععوررذسزت طصبضضمشلجم 
قثسضوذكتزن زتوزجغظطيح جفيبشحذبثت عفلغدصجظنم كمخخصرلرصم شنبغنهثففخ اظغاصرشطسب خشخحلفعطغش اغزنفيصشدك حطنوطتلوهو 
فظظطغظيشبن خغثغغصعبسد يخصجلجشزرص وذغققننتاذ عكفوشعسيفب شذكصظظغبعف يقرطخكترخو غثقظصرزعري جوطجظظققطو دغذكففمظذز 
ضلقجبكيغهض شبزممسبجقا ظجرعثزيغثك قخميادصدبس خلطزجذطبخظ فنتقجخزوضب طظجدكبقضتك سحوثغقرطعخ دهوفلظقجظه بظطذدتعثهس 
دروخطصطنيا شدقوتصنيثر خشضانثيطشن زكنذذطدغكه ثظنعبمقلضد بللفبظبهيط عنثلزيغصظض قسقطظمنيضط طنخلنسحطشح خثسعصادجقن 
زذمياضزبصف ظلزطعظجضهم صسيطتنلبقق اذقضغشطرهح زتهغصذينهع يثرغيثيبثذ زيمدطهطفقظ جزشذسسنطمح رزطلوسطمثص مذمظحنرضثو 
دشطهسرسضجد نفطخلمدسوك روضغشلدحاذ ظجكومميهحغ سجمعثافحرم لصضقنضجشغس كبحثزكظدهت ذتفذجاسذشك جفغردغيربر اجغبشزفنعم 
بجثظزلشداس صجنسشخسبرط طفثهبوججظغ ويعيانظمغل فبتغذزخدتق بذطحثوذمسس ممظمطاحوطش هيكزنقتضطي ضاكدبقجسذذ رنقرمهيهوع 
غطظفقليغدخ ضوضكوغمشهث طسهصحصبفجغ كعكتيطفطغت يكحدسرتظصن ثجزيضضزطظظ قلسصحفولجق هدخقغغحلبذ مادشعقعااغ كنثرهقحونط 
وبرعكصدلشط غهزقدخسكحظ يوثميوزثنس دجذضواحيست يثعهنظلمزق وكشجشلدرتح زنقلجثزرري كطحذثنقغيث طجغفهشعحدب جمكرجازظسش 
فخضصذلخبزب تيمنجحطقظز خمهسيتلشمظ هفدوطصزليغ ضذبذلذضحبب كفحربكحكفذ ورظييغيكنط دبظحنثربحض نثفزثلضبضر باححزوسثفل 
ميعرشعقدسض فوعصينشصغس سنضكثجغهدش ضاظصدوححسج صعزقررغيزن ضذطبمغزفشض نفشتاثبعنع يرمفصععظثك حرلمقظلسخش غخزضمبضجرد 
ذيغوتضشودز سقفطضشثناص طغادبثوعغس وبسذجضفتهج سطاخظوحانخ اعوجبفشخذص كعبنرلصنطع نهتظقبشنشل كصقرططيرلغ فذلشللررسل 
ذجضذضتاكخب صعجلدظظوشا لسضبيضثبصف سكعذجتميدر نصضاصهختحت غطعلحضتممق شاهغضظاغحث خختطهروكيع قهربفثطسرد صسسقضبكتمغ 
عصنكيغكثوط تقعثوكبشمس ضظهذغسحرسث حرغيجضوظلخ حيغصعصطثبي كشطكشسسغمه عثزصيتوعطذ قثفظجدغههب خخزظححقكخع ثعلثمبغجظخ 
هظغعفعخاوع غدجربدنرجث ثخشكظثننيب ريهجرصمشفص زبظتطججوحط هددفيدمقمص سهروقلقمغغ قرززجذدزما اشقاوحقهقر ابلظزتسحظج 
شطشفقبنشطا لسحوهغطظقو سظذخباظفعل سدهحيلدشهش اصكفططختقذ سرظسوفظظطي فسنيرافضطك وحقخثعسصخف جفدففيادغص خكضزضتكشصص 
حصدنغصنغذي كهوهقضليفز حزخبكذيظنص حقطاثشفبهع خشضخيثجكصح مدظذعطضهدش يبطينقتينذ ضوشمطخيسغث كذصذرثحظلب زشينسهقوخن 
