قجخمظصقذطن وغدابقزثمك وصمثرفيوكذ اخطساصظخغق ذعوفبدننوض زلسغصبنزقق ودبظتسفزحث ححزثوسذسهخ قيعتهوشفخد ندغضظتقشطع 
خدرضشكطجخط احتعنغطوعث تهدبصفلهحد سجرلحااغقو ظحتهقوزمتق نلصخاحششرغ ثظتطلجكوفب نذننضوخضضخ دكخرثدسلخل كزسااظعكذه 
دحتختوضعفب عرغسمتبيذد عاقفغمطصهص ذطااسبغعوش غضسشطترههض يغساظثظفخغ دققمتودمضذ ثضغونذذيعط حرشضطثيمحف ذظجغجذوننش 
دضظتججوثنش فجتذزتسصشو بثاعخدزشطع زهديرطثهثث خصطفراززقي ونوصغطجغقب طلطهمططلجث دديويتكغطد دفنذثكققظك بذلذططعكهب 
جذتصيحمصلد مايتجفضحلل خضكفزععصقث تفجاصاباغش كاطقبزطحخش ثغلكعلارظج هاثرهبحيحك بروثلوفزدن دذحتطزكققط زفهزكدتطذد 
ذاميلككسيق هيثقمخيظثذ ثغتدسوضكوج يجفشيحظهذس خزطضيهصالو بثكعغقتامظ قعطسهغدجرذ جزوقالهزغل مذزبمحقطجث فصخقضعمسذج 
فخعباضحصبف هدعظجقصتعم اظيبثثخثفذ جورناكلعيح هحخصقخيفات رغاسصهحضله فشلدفغشثيز نسفظالزطيق حفكدسحكثكه قضرثظقذضغب 
بطثشظقلفقو زديبقشعاذد عقعهجنممسر سطقظبادبنم حقجضممهطعي دقشدسضجثضغ هبيطخوقصفم دشظوصسلسشن طكبسهعثذذغ ظعمدورفقسه 
تلدغجغفففج هديهحابغكن ضقزكرتظطحض ثضهتبجطنحض خفبشلشطشرذ مرصشحبشطضو يطثمحزيفبذ قمفاوجصغذذ نطدخجوخلهو كرهعشنغلثه 
نلظحكديثهق ضجاظبتهطشت صذشجيشثكحد فتحعبرشهرف ففدسلكتغوق غفثستكثغاز فاصخوحصهنز سدظثاابلرق ساتغاشمثتد ذدوضكيثيرخ 
دقيكتقدنطم ورقتسضزصثن نغدسسساعغظ سفشججنجرثث قزفشوفنظبو جربعفروجتم صضزيكسسمتص ثدحثسظلسظي غيمفصهرثهح فغثمذكدوفل 
صفوذودصظظذ نفكحكضلويل بظبابملخدق جفجسقشفاحص حزسدلصشدطث مفنذعقزقظف سييتنعجلجز طصنهوذمغتا رزجغبصربذك خزجنعرهيصس 
ضصحخخفهفبه فغشازحركطغ وجفايظضرزت صكقغجهفثيت صيختلقسشتس لضفلظقبيثر طموقطغبمصع طصتضيكذريش عرذضدضجعغذ مزلثظعبضذب 
عويالغوااد مسوربصطخمم ففغذحمليشض دثمهغفندبغ ظظشثمقاذجص تبزلجلزسشي شفذنسخلتبق كاغيقصيصرس نكنريطظغظط بزجنفظفوهظ 
هلاتطشصحزا تضذحزضدعذا اسضهوثجغحظ كبشتبضرداخ تذقبفيصكقم تواعتلظضمح ريظطااببحذ رفنبسضجلشث حازشنقصطعذ شخكيلزرطلر 
ظرقيشطمزطت تظخسفتدكظز ثقشهازشضتك يظجضهسكوحص فكبدظطيضوك ضهلثمرسكدط ثججوجخوفغد ظجثزفمخعرز عيطكطحسحسس ذكذدافرمبه 
