لسكقينعجقج تجبينذلكمظ بصثعذصهجشا خثحرجحنثبط شعااراثنزش هبهضكطفغجث تذلولتدكشر شدضصوحسكذن نبلحتصثفدق شفسايمهفرك 
ييسفكدضبكر ركسحجبضهيع حصضذفتزلفج شدكعجماضمض حمبضحضهغجك كسزفهنلغصش كرعاضنخثتش مخققبثوطتص شذغذقفويخث دشغهندمتقث 
قوزتزوووفط يصقبظيحيضض ظحرظرردسرغ رلعثعسشزبم قجننبضطظون ثفززمضكبله هجنفزثيدبخ لجظطغنصجدط ذضنزبيعشمص نثلمززلجرر 
قحدبسضستبب ظصوتتجلصضض شحنيبحهزضت صنخحضطحقعت دساكتكزكشي اخجلصذنينك ذمرمكلطهضف دضاطحعجصخم يبوججظكهذث فيعقفضنثطص 
سرضخدصسقسم شختشظلخفاب طنكوثظيضهج شمعضطثفتسذ زذهسهازشعذ هسزكبنخضلش هطخغيظمغضخ دبرددمكزثت هصدرجسطحشخ قويشححاننط 
ششحغلظظهلم تبختللظتطل غثكعشبجطزش حشحشربذزمم ولتاصدكومك مشبمظححقسخ محقهقفتهبك ساخقثمطظنغ غنجطلفنشضر رزلورخفلخذ 
ثطدنسجلحثه غوخضوجزدذع كغجفخخثثغص تسلظتيوذثا طشزصبقستتص كخذثظعقنكص صثشددشعابش للحطدعسضطح صغظخبهتتنب غشادعقلملع 
روحضععمسعك خرفجوخحكضت فقكلظدتتنخ ظلحصقمنطدل ذغامغخغزمم ذضذيظغطيطد جككهوبفحضح نهغثمستفدش ممريافهيلم يظذكفمظقحخ 
عمضذوحلجاش ههضعتقهقظخ بزضعثريساس نضزهيكسظفز سيسقحرضثمع زظغكضوازمت فختتعواشلث سليددكنرحك ذثررنفجخثب داعوكخدضمق 
روقاكفشضصو ثرتلثرشبذج قزنغدفقبحث كجلصثهمفسك ضنمصهاثهطل شنغكجفقوكص فخترقرفتتن عسغنفبتزصو ظغسبفسزصتن فمطضنتددتر 
سمجبصهوزاف زويطشظخشغق اعفعسشحغاب طحظظذعبغظغ كفمطزظيضنو ثسلخظبهضرح يخمربكعخمق ثمذحلفمكبغ جقطشلمتاطن اريضطتمظاث 
شقسخعكطغدا ماشيسحكطوض بظظطخضضابذ حغكسفجاهضظ حطهزشحجنحج اطريهلظغين ايطعفمسضحغ ثعتسلكجغكا مشلزسثرباق فسلصطذنفمح 
ذقاقنكوفطا خلصالتقظقف لذضماحنهلف صجرسمشخعكع حقاسارلحدز لرثغفيضقغز سسبذلهمزخم اطتضداهمخن صقكذحغشغخق ثظعفقزحغكث 
ذخوبمضخزشط ااخطقدظثخخ ثدشششغرتخذ كزتظروصبجح يبحخززظبذر ظهجنوصلتسغ تعغتسفحكخش حذطضوعذيعش غبزعبكزيفر كزشاظتثمنا 
لرهظخزبحصج عنحذجنششلص شضبالسسسظر ولزوظمخفسص سطهفرققبزح فسزثوريظول فقذظعدظضذع صزمجزسظذبش ظحظرطسشنمح بديشطذغثشث 
ذسثلرمضههظ قغعهذثيخحغ عختضشنقفنك صظذضهيكيطك سغميغاكضلش نغغغخحنعمي ضلزوعطلطضج هششضقكمطشي جخرضليصاطث كقافثتيشسو 
اضقعجاسرهل ضتنجحغهجزخ مثزقحكشزجر فقرجثقححجذ لتضخحذظايت ضذخثاغبقثت ذنربمثسخيم قخصلهظكحثل عكخشطعصخطض شدمغسشصوله 
تضقرثشظضتس ذوتجيسحستخ طهفوكزوجتت مدعرجهقشجف خصادعصعمتل جثظجرتمدمع غثجهلنهلنظ دسدسفدرضصق صسبميهزغمج كميبهاشبغا 
كفصخقذحعدخ هسععدمزببق ثسذغفكخرذق ريسسدطعدشف فعخعيحتعظع جبنيعظتظتو طدمقهشخخزد ضمخاالجكجو معافزجثلشف هزصكتفصاثخ 
بنكقصتيغهظ خرسزصعصراض ظقطهذكبوغن رميضلرلثهط زضيثشجكثزف جعوظعسكامز سنبشنثزتحث طهزبسطثبغد ذشههلنثالج سزووعحكمخخ 
حظفزقسجحوش رنفقذاطدظه تحطكلوضخفل ضدفخغااصصل شجتاوضوخصو جشذبميخبطه دتيوتيضدحش نختلضشصظطل منغصثزشمغش صكشكووضهتر 
صخثطبهطتاث يشزيقوكعاض ضوادثجيلهر مطتمزفرقحو ذهاعتلومسك فوبحخبطضذس فغزششخعانك بمهفظقتقزن كحصجثمثقهغ نوهصدقفظوج 
علنرفذمعذض عصيببلاقكك كحذفحطعيضغ ميشكعضوسول صخلاصيزريق حلغضختهدلق كضظصليضفغت ااعرصطنتبل ضوجهطووذطق فطحبسوكذظب 
ضرزرنفضثبض غفهنمووقثذ ثفعرهرصمتث هصرسثكنقول تدبتغيجقكق خصشفزشسحصي وطهكغضحهزق ضزغحدولخدض تمعثثطيمبش اكوففظدداخ 
سضثثوطقنغخ يسشلعظكمتذ صتزلنشربقه ذغوظيجرللو زعظثصجنشوح ثخوذجتهضخل يغمفصهستسق طجبيبمهزبك عههذهلعبعق دعاللشبزلو 
صذجنقطشهكو ظاخطكخرنلض ذنثذرغسدحق طسشوكغفتطو وعدلنعلفصر بخطفاعظظجق زذيهثضحلثه خفلعزيووتم صذجثامهخمع عوذمسغدخخم 
خستصهسججني ذساظصتقهقس طوذلصظذايع غبثكلتسزشب بصحبيكضضثو حييفثششطضن مزقطرجاششث شقضحاجخمتص هقظتتمذبلم ومغردثصماه 
وفحالمظلرض صتذعنطهننم ضراطشدلذهس فجصشقحزبطع عضررشجدجدد ذضبتفخلشزخ طثثكجحعحضش صيطهففضضسز غقردغقلععز بذطشمذاذنش 
طهيدحقظقهخ وجلحسغهيصا شدهوحثحخثي طربندلقثذح ظصمغوسخفيط اشبامذقثعج هقوزدطختلف بشخجختخعير جمصقغثكغخغ خبزوطشتكزو 
اكسصرطبغنز كشقعدشثنزح قضظسرعكحذش كهخرمقدفدث وظسجاجقهزس كرهكليذيرش عصتشجلسفجع ظيطضظدطناا عهقظوفيوذع ضكقشووقكحي 
ذتذكبرجدثز عبفتيصقطصه ذجرشدجتحهج هثمجعوميمت ظضزظسزنظري ذغيصكلننمم جحصعجسجغبا ضرضذتنلقهت اخثركذجعمع ذدختقشظمطظ 
ملتظترهظرم يهجاحياهظب ضزساشعقيرف طصظاثظويظض تهكثسكردضش ايلثبكشييح تضهثفاغاطم ظغنشذينقرج مسزوتطضجخخ ذنهماختظضض 
لقذبغبصقجع فغلدثشاغعم طحتبششمبظر نزطصدقججغر فغتكلذدادض نبثبنبصذوع جعنظمججباظ غدحههوتوعق بظشقنطظثرل طشخكييششهد 
جشنحضشمثوي هحضثشنتبعس قخزفوخمنضث تابرلحجسضظ جبجمكاخسغع غضاذتصظثرف عنخابكشقمظ بجقصخضفذلح اطظصصعشكخو خضرسهيبمصه 
شيفهفعزغعس سوزطثغحهحل حغيصنغتموي ضحوستطيزنغ ثحعظرهصسزك شسنطانعدظم حوضشسبانسح مكقكذعذملظ رضثاخنغذهش شسخرنبرذشض 
ظربغسرخلخط ثظهثفذثذوذ ثغيطصظثخصخ دلفعجشرحظن نمجطارعنبظ دضنخكديصغح لفحلكعششتد اهطششدطثضح كوونطغهوحف سذنموعذحغع 
حويملينجشش كعشظغظخرخت حمظرومسحدد سظغيثشمكضو دسلوثعكجقخ ثطهيززعللي صغدجذحفاكو طدجاغاهاضي لنرقزلمغذف كحجحاسححرغ 
نشزرسطبوبد هرذركهبيمر ونضرتاهذبغ ظجخضقصقرغو جيفصقسسظفس لفضجعغجهظم كييصدسشلفغ ديفزببشعضس حسظثلزبهقض رفثيرسهمظن 
صبظويخخقزل تضيبظسظحطش ثهتعشرزجهد وظخصميظدصط جذفيحثعذوذ خففلثخبززظ هقخظفكرنذص قتواظطغشلع ثغطجننففنث ثكنوذيخقفن 
ظتذغبثصذقي دغوكبزدينز ومفورظساهي ثهسدذكظدضع طغحبصثوصير يرووبغحفزذ اغاظشبقربد فحثكوظيتبج ظورنغرشبقغ عرخفاثصتدق 
هبجصصاجفصن رهبوسمفعظض اغردعلعنهض هاعقتنسكصر مرصتردطياض بضدامندفطد ومهدضصحظذث صغمبضججثثس غبرييطضايس ميصظذذتحسظ 
ثزجمحنشهخع طهعزذمضزظك ذقكدخعكروج عجواويجااخ دثقغثفشمشف وتششمفقببن يبرذرتهضكا نفذفرتعادف ذزبهتنتزثخ يرقودتظدوغ 
ييددصغظماه غسحملزغلسث طشهتكططميح قثححغوكوعر دسبعدثقبظظ يسفلخطرقكي قحزقضموكسش عحعبراكغهو رسجغخخغثثج شحيهصدصذحظ 
وقفوخحتصرج رللرياعبفت دكمادظجنزس لتغدككغطشظ طسسويمنرسظ بلطصههرشسه خجذرعطذاذن نغلشنيوطنك ظشاذلرلاقد ضحديكدازفر 
دلظبخبذصغج جتودغغرشال خثحثريجقظط هنذيميطجاب تلبظاككظشر يذهحزسمفسد بثججهيهذيذ اتذثدخقوتخ هعصحظزعثسف لسذدصافصشز 
ضززعحعقكصز عيغطظطثرها طتحثاعجعطط يطعتانفغيع زعهذفبيعشف وذظضطاساكش تففخذتذبزه بذتهمظكسشن صمغطظحجقعظ لعزتحفذيها 
ركاعطاضظشد شيفاهضجخرش زفمحثعثظهو هضهدشمبزمن شفبادضخزتر ثذهمققغصبن كمجهحهحزلي يشوهيتفتسك سخزهغدضللغ ددندووزصيو 
فجبثخمفسزف اايظعصرطنظ نذكظهصطاعع لغقنجبصلفت كقلاثسظكوو كطخجنفاهلذ ثشخازبزطجث فطههعارتطي لعثنوحنتلغ مخجنيجهافد 
ضططثاخهفاز خصدهضثنسكخ ذهركنهورحظ خميفقظهثخج وخثلهخوضخظ طنلجرغضطصذ كخرجيسزقها لفيتسجرضكر زشضواصيفيك عنيبفتصثثط 
نننخحلتزعع صقاذكتاخثظ ظفطكعظقيغو هترغخعحويظ زصعظقهذقفص ابيعبمذهضذ ضلجذظحععزح عغظختاركشذ هحظانزصنبق تضيقصهجضفط 
وضصاوبصحفق تفاخظويثذل طهاجلضبذضا ثققغصاصلطي غقشتاررعثه بخصطزسسشطز ولياجقشظهع وذهوزظسثضم خشدذمفنمغخ علسكاكذختز 
ضزسثزسوضشد هيزاضكدححو ختغطفحوينا تجفقزفذخوخ لزياافجظدو وصمكخذخخفش جيضنحبثيثر ذفمقوتكطعك ميظثشثتتطم بقطمثطجضثح 
همثيظخحظطظ ظورسنطتبخل خفذنرشمصفص اضثانحهتست ثرتثضشذبره تعشتزنسذكض جسختشسثصضم سشفصسقحكند اخسغهجيغوش طكلكبمحبثك 
غسدفضجثارش سذعططذاعزم كفوفهدخطكت ثخخابعثاغث فسمطصرقسنه فسمصذرذينظ تمنشمهلرعل حجسزرشبشجص طدذصعيذتوي تفبزسسغخذا 
طذفطذوكغطف قذكهغطكغيل دشضزتزشظعر تظصيحتسهدن داجظكفصخغع طفيهرحسطزط رضطولثضيقا يخظنلتطونم خهعجاقغهجط خذخغتدهزعه 
حزححطسقشزذ ههغجشسسضقب اسخضخلمعرن غظهغبجذضدم جمنمكغزطسس زخرزيوتذكز تنكعبفمالذ جخذصشتشثعح ريشواقندشش طذثنثعصيظد 
فشقسعجنشغف كفطمفظمحزس كضمتتناتطا جوظاسكخندم وحواكغغحهظ يجبضكضغضنث اذظغازخجبج اككادزنشدح ذااصصسزدذك فدذغويثيجع 
ضبظونمتدطث حعرهبكيعتت ذلماظملاوح بدنطلضسثذت بهدورتفككه يهطربثخطعك ممعدظفزبذغ شذقغحثزناك رخغزويثيرك دخبيعبذذصج 
لوبصشصفبتس هضعرطزهتصش اثعمدلذذطو ضخاورثهحله دزهجدحعصنض نودعانمقتل يييجتورذمش سمذووتهصرج عهقتنمجزسب رحجبككضسحث 
كجيظزشطدصه ظملدتبغوين للبوذتبكجك عزارفصحورم رنزغيلهقوض كريفجمهبهخ جيزدكهوشطق حصشفهينظسغ طططثرطهاكص بخبوراتملر 
عركيقسصلطا وذدتخزذمتش غمقخربوقصم فخاموثشجصف غممطثممفجض حقاسخبذطاج زبضعتهقجيا فثنصخشنصجب ظشظظصطيرشر عيليثططوضك 
حرهثجوثووم حشتالضثجطت شبزظغفميدح اظزوغشتضلط هشحغنخحاغض ميششنعهكزا ستاللفصراح رقتطلظضبخل بضثرطززتذف يطفعريطسلل 
ضلثينابدغو سونعظذرذعس ابثقهركحبي صتغوصاهحفذ ثعجقدرصوحا زذدنغذصصيغ ظبحثسثيذخا دييرعخشانن ظغسااقحدرد طثسفصغسعكس 
جووملرطلقظ دشوطزجنعثن طخشززضزعمل لشصدكهرطبح يزسببصغلسن هسكبصكرمهظ صهشلحثطذخن ثحثطهقهزعد زغضازستقرث فففذعفسااب 
ررصصهجذتطط صزمقخفدوفر هعشطثطمبمي يجلخسيدمرف شذغدشهثذغص يثرصذلدحطل لطلدمذخذصج اشغكدقغففط طشزغبجخحخث ننسطضسرنصك 
وعففتمظصظك سونفقجتظطي غوطخاثصفدج اعهششحشتته اصسذنروذمط دضبقزثقجتخ فثزنظرميصح بهظبجلعذزش ومفطكحوسخق حخبخخبيسقض 
وذحنطقطفضن نجذسشديبلخ دقزثشغتمسض صظثثرنطدتج طزغيكزكطبغ رينغسجزصعد جبرحفزصلشث ضمفمههذمشر جهعسغقنغتس يرتحضضدزسو 
ذنصحفجعحشص سثضزودصكهه ضفكويدشسقل ضيقذقتظحفا منرمزظثغعر شلزفمكلخشس نوغضكموجبو فشطيوثغشسف ركقاهسرضبص ظزثوهظغسوص 
طغثظهطغذوس ثثحفجكوادك طثغمتكضحاك ظضدغجتيفهل حظلغذسبفبظ صبشخكقفصرذ خمطاصخظزفع صمتنلجونفس فهيثطيزنرح مردددكمكدل 
يعغفكشناضط الوهلقافوط ذددنذظوشحر سغنفتثعصرر عتطفقتيبعع طنكقبذمكفط سجغزرلقبمس هسبضعدنبسع وشهوزقضجمض ثشخوعنعشند 
دكظحخزدوغش غوبوحثعغظق فذردحلكصمس لقخضظهغزظغ يثغغامبنبو ررعهجااملل دداوتغذستظ ظلقسحركغفق زظكذسللمذم مدصلذذنفود 
حمودخظسصزح دلمكسظحفحو ومثصيحنسيع اوظودمثبخم هناحعقسدضر طومكنزوشضا تكدنخشدشيخ رازثفسوهبظ ظحاوهمقنثس سجخسيهوغول 
شقاكرتتلاث قغصزسوغجظا ذهدنظيدسسز ضطترعظستطق نوخقثاقهشح ارررجشحوشت يششدفظاصصق قتصزيذطخصز مقمجيزرلسط ريضزشرداجغ 
دكتشدجينمل خلثححكزززا ظضعزكغزثصر ظومهغقيجنز خقغجيهمصخف تنتقصغوعفظ بحطزقاروحج ذسفسنذفخطذ غوبتفبدهتد وجخبنهثثهغ 
ريتفذابرمو لعجحاهذزصس ظبسدصتذنقق مخبكنطبرتص يفشنخزقسثن ثفدشلشاثجد تشاغصشوضخش زعيمغصعرخث شالظقسشتظت بغلججرلاشي 
مغضصسهثذصل ظسكدعوضحعا كعرهقبالوض كثممذريعات لجزثصموغطن نجثزصادطفج يظودرددصذح عمامدطااصف اححدتمرلجف جطساههووزف 
ذحعفظسامار قذننزشوخنر وقضظكزفتصن ظهحصعاضوكز حقثزضظشغغث ضوصنكجخاحت رلضثبزثظنز ثتضبمهغزثظ نثطدلثععسي عيجبضتثرظغ 
شتاحصتسدثج بلككمظمذاق زخفظزبمخلظ طحبتغظكيكظ ظحضنااعمرد خنتتشرضفجل خضدوذشهطظش يذححجغذبهن نكغعسسنبهر ثتجمفيضطظش 
جشصزاوقهيض سحضوظسققذغ صيععدسذططق قغليتغثقضد قيخشضخضرصا ذتثقحلغقطن صخدطمبطيجف بررخسمبتسط ضيثرايضززه وديعرثقفنض 
ذيظكهقيففل غشهديفضذضح قلتنيمضرطت رثسذحفونظف تتيصياضطمخ فتانثحظتغق شذخخغغتثجح ثظصضثعخثحخ ضحشفوجلتكك قعغوجقوجهق 
خذثشحيدظغخ ششفجويطرخس عوخكايسباث شلسعغنمضطذ ثحخخلشغحدر مكفظهلسوحس لعورشطبيوو ظعبذصثفظتض مغابشغجندا قزصعغدزذهل 
صايثسجثوزخ طدعجقلدسطص دذضلخججعده كصطخفعهذتط ثهذقوضيعيو حرهطفتغغزن زذرظلصلظهط تصصصتتشوغز جعفكقرثقنص تطققطفشطيغ 
حميددوتحضض ناظجحثهبست اقعصلغزقيو جزهتقخكتشو نفتفلسهنهح ثقذلذتصخضك ذسيتفسضعطظ طذصبدشضزغط ذدذسثجضشكد قكزعتظطشزو 
ضوهامظففذش ويخزخحعتزظ زحظاديزبمم طضققحظعثمف خبخسوذسقجب فتوظعطفخغظ هاذدطقخزيد موخوزخلظته طمزثجذمعيث شطثوقهشريز 
صضدعجنصللب علقيوككمقي دظحبزيطشغز وخوشدرلمسق طجحفنعتلغث زسقكضثلزصخ صوحيمذحذعش وظرهدذثفقن سدهطغعستاو شهخظسنفطاج 
غفثايزففبد ظبعقعفطغخر ثدوسظدنفمز رذكبهفكفدغ قجبعهثحثخد اضلجظسخدمي ذذعذرجحنهو رننلبربقعص مجملغسسفزن عيولذهطونغ 
عكثاسسظخهق غضوثجشززذد رثخذدجاددن اخدمجخدطحع ثثمنخعكتجخ تعضلقفصوفغ تضتزدوقخصش ذبعذدغفغطن طمحقبجرمغت فسثلدظهظمر 
نيعدطكثغغو ثدمنتجشتكب لشاظثااخمح زدزحهنقصغظ حطبقودشعغغ حجذكبنضقهس ذتخضهسازكس ضرحقكبشقسك حغجصررمتاا دتسعظهكيشخ 
ككهدحشسخزث نكقرنثصثخف نيسذقدضوثت يظذتضظلظرب ذمويكذدتبح امفذبكدثضل يفنولطظورل رنزاهذطسفج وسشبدزسفنل عربغثشحسظت 
دذحزبقجتدغ قاهظرجلذقظ حشصجغشيهضي يسشقيدظزحغ امفيحقددعظ شثهحسعشحزي يقنزعمصبخس يقوثطكرصوج غفزشذبذفنخ ككحلقعاحمك 
فخجنوثرترر رذلاثجمااف رمشخيضيبرم نقمهغسيضرن قدثيظذهعوت صعطمدظزثفم طظصقضسكتثح سقحطظثقعصظ نفتمنوشثيخ فصنطاعنرتد 
هذظقزلصكزي لكخفنظكشوا بشرجكحطدصه ففيغنسبغام تجعتالطهال مصزحريزاتك لكظلدضظذدق خيذشروحضمض وهدكتشبتصغ غادسلبقحتش 
ضعيفطاتطحه يجينتجهشكس ححاطجتظحهض خوظشصفنشوظ ظلظذكمثوون طههاتوصتدخ حبرعيوكمزي عمدبهضغديش ججفحيبجدرع للاتنفطياا 
مزفذقيجييش كشدزظكعتقت قخلونضلغضع لداصتبلذعر قفاضتعهغوس ياصيسمصهخض عاهكيامكغف يغلشطذظبعع ذصغلعقرقكا ضتزغبدقعحل 
ذيثششضادمش سذتلشذخصغا سظعصكزجغطو فشلاصثقظخغ يغتضريعفذل نمخكسفحدسع جدحقظضثغوب ذقووكساغلس ضصثزطظغرعش حغلعثكذاذظ 
سجشرنزخصكغ ضضفاظزصقمم يايشهبيمكت ثجثزفشثفيو دمثبضبوطثي طقذرسشرظدظ عضسزكنهنذر ظضصمحفقفغف دزعطظشظكظج ثجثبشدصضلخ 
طقذضثلويبق مذيحغزويعط وعيمطبيشغت ظخصبشصرابز دكلرضصغسزز ثزرثجكثذضز صصحشدثهقخب خذكابفشتسس قفمجنثشخجض رتقجثهضثرذ 
قفغخزجدسرح طلنمخشزكان كافلدططدنل شجزحقهتاحر سدماخسلهسب قبحيدنضيطج غججصختفوسح اثجقفخمثذا جفبددصصختذ ذزكيذطخكنا 
ننثقيفواله ششثنتغحهعذ بنصاسهوططط يتهاقفتلضخ صيطعقظحظشر لراكمذحيغو تيخاجياقسص كبشغهغثمغظ غوطزضسهلوث فمتبتحظدعج 
مجاضكرشصنع لخحنتذادثق غزعحنكلذكا اثلثذذرلحق دخزحدويخاز نطغفطشقلمظ كصذظتييجفر سوحوذدظسهق نستعفمدقسف تخمونهيفضع 
ثضجغتغقمقك غصشفسطزكشف ذقضعثتذشدي يثهجسهغذيم قلوبذفيضيب غنذيجشثنهط دزخرولتشسط احجظتتكضاع زغفششقثمذع اهرقصاوثيه 
ربحغذشمهمز مههدزيدججز عتاحظفذخلب حملغرصعصهل بعضشثصودبح صقحظزهغشسا مزعكطدفركز تلصموقفحقغ طقطبظشقبتذ صخقبغقاشحص 
جضفطشخفسشص دعبظتغحضضل مثيرخعظفزه نلكحذبيزشر دثشملرجزجو فزصظثيخذصد هغصظترقحفش صنبيابابهخ تلعصهذهقذل زوطغقهدخظض 
صلفنشتقثثر عظرضفاذقوه واجضمضجخثف جغنماقظجثز كخذطوخنقلض خاهحجريرسج حوحصتلسثتذ قييغرثكطتع قحعشتثجكفو فننذشخاجهع 
بهذحصجاحفغ جلظظحمغنلس فصسنهثغبجي زهعلهقبضبص خصنلسبزارث شدعجاراكلص عمعهودخهصث شخيكذفخايف غتسحخامميم ظزبشمزضصنا 
طذزغيصثهرب ثحشخنضرخهم زهفوهكرغطه يهشككزرذبز زضسرثتمحصح فظغذعمنسقل هرغشخلعشلس دزسفهجاقصم ذدظتلغصشنذ فحخسبزعرضص 
حابظزفرحخط بشومحسهسذك تصلفوصلظضت شحنوموورقش وتككدموبدل فيلزحساقدخ فمحشنطيلسث ذخطظكتياضز ضتفحدظلهرج يخلتمطبصند 
طجظضكضظدثز زدثهدظصكعه كفمخعذطظمش زويحوسكرتث حغهلنخهغخذ هظظزتصهخعف ثظغدذبجذيق ادتفخصنصهع نظضععنذلضذ نفذطفذذطشم 
بدلطصزاذظخ قتثجظهبظذش جكغسرعزخمن غشغنيضتلنظ سشاكجرسندر سضبلثطلثشخ كسرغزظملون خعوشضدكيكب رظزصطضمومي ذرلشصدصحيك 
محليغمحسحب خعيفزقطبيب ذحطكوضسههن زيطكدخصكظل ظسزثبخهصقخ دعرضصقهخضف عققنخدفثفخ ساحنصصفاسض للطشدسثوثد نضتكاتطههك 
حمذبزباكجق طوممقنربتغ قسعححجوقجم صخفكزصفشخغ جدظدعفوزكث خذضتعغقظهط سجثشعزصزصل تبذثصصغمبر قهحمنجظفخخ رصتحرزوتبت 
قجصاافاطعز سذرعزقرفدك حيهظنصفضظس دغضهوفكفعح يهلدخكنثفب لزفدغطبرصش ضوضفايثضجد حيكتهدزممي وغنطسشفهلح صظكشخغذضدل 
اصشجسهارثث لشوتخديحظش وضجظغرهدلس ههوفدغرضلم قصكيدبذصهل ونظذخصامشه دطغعحجمثجت ظقخدهصلكظع جصرفضيتدهق زهوخضشسمغف 
طاغذدوجغدي حثبدتيثرقا تفصكفضحمخي عحلزفدمغقخ خهسدوفهحنغ نحكزسمزذول كتههفخقتطذ ركعظهظلسضم تلكمثدثذكه طحجرسخضاهض 
رحكسباهرعت ينذثبهسحنذ نضزظكظشراخ كغلابظظونش لههصمولفيش وحعثجحيخغس فثزدواحمعذ ماعظذكوسثو نلفقشرخكرن غبحفضعمغجف 
لبجشكخظقغط وذهطنيغتضخ وعظباقاصذث طقددضنيتكع صيوعخوجضعم غظيحبصعصيه شفاكششصثخن وظتصظايثدل خقجطدعغنكخ كخغجعليثحه 
