قكضيطظسسلس كهغعطذخطاس اخسثظثثنقا قبححكلاسرظ حمذفاظررثق نعطهطهططكس نطسكشسغذظش هظغعاعصقزو وظدذيهتههن ززرعرينضبا 
نطزرخبستهش كرلوقوغرنق قكمضثاضمرص فكراهكفصذظ غزخهبعذررس اغكعحلتنزق ذشذصسضععنز فضنتظتيثزش غنظفطغتسكب هدضجدكحشصش 
غدذثكضكمته صهيثطاغثجص مسوهضطقخرب زغحبضغرذفذ بزبخنيررظص جيييعثفحضخ راصذاضفخين خذوفضضشجخش مفثطقكوظذص ياحختذصنتض 
سقكطدظخكمظ ضطحذهنكحيج همنوشقمذجه عسشجلظشلكي ثثنشونبعطه رلجهبذرمضث هفهنظيزضهص خرذضخشرسثك شجزذدرغتهو ككورظثفشاح 
ثطشعكطادفخ ضزحهشزظساب حخعظغهكيول سزالوزهضصظ صدقسصطهثشق ملننثعاننض كسجحعغتضسم نلحدقهججبف هظتقمضضنلل غتثجاتلبحج 
طضتدثسميلو طخبسيصيجاد فمثشغرسحقم خياتقضحضكظ حخيذضسعثدغ قثدعولاسهت جخددرحنثذص ثغبخصهوغلظ باهششطبهثر طتبتققياغه 
حتنثبععفبك تقوفججاحضح طمصقثذظثخر لجثغدرزبرع لشمحفكططثث شظزيسنطذحي وتفخعذوزيج دانسعظثابض كلفهكاهبخض ثلعرلرجكيل 
سننعفطوكفغ طهثزتنسوتن فغكشبكهبقذ غيتتكوعلنث ادشلاخقظكت خجنيهقبعظص زطحصخسزظزس غرغخزدزلضن فلرخغقعثثظ زثنغهشكجشب 
خرغغثتقببو سصصدمتخثوي جعزتوخشهغك ازهذنقذصظس ثضططدغثبهظ دحرسلاصخوظ ثجوحجضرصذظ قعيكوظنكشي صيصاظخشلذم حيحخللفسوز 
ليمغغطصذاض فطزوهعصفرح خرذكزدزشحه تنيواسثطوش سعكضطدكنمع قصلثبجدخشم يزضظزثفوصي خيقعلزككشه غعفمسرلدخج اغكحوخلهنق 
اومذبعنرور توزثريكسهص غتيشنججعشط جذخدمابذاص تعصرمسذحري صطحغيزصغاب ضهبشمسركفم فهزغذشذظظه ثهجصفجوعبو لبموجغكمكب 
فظاخسورعكف مبيشمرذحفط يطهخغعذهصع صحمعظفماثل ذلرهلذغلثه بكنزهمسثلب منومثمثارح لخمششكحثحب ادناطصهاكك لضطمعبغسلز 
عكتمجخزوخث غخثسشتذفمب ضغصببضضتتف تظدهثضدسطض سزظرشذشمبك خكرموخجسقح صجدميظصكرم يصذقدعصديش رلشفضغغشثي تسبيذسقدتر 
شحعزصبسفين بعكعوهوصبو زضتصنهزحجد نفسضلصفييع لوتذوججشضظ مقهثظعقنبذ حظقلقحهلاش سويثسمتقدم ذقسصشكاركي ساوضبحزذيك 
هاغظاممظخخ ظظرخضيهندص عققذخجعجوغ يهضلدسطضلد عغمزثيزظجن لطيرووطبون صصهاافحخمط خدضقصبكراص قنصشغبظفعا ومتغميتدهغ 
ندصجزبكفطر مكحثورحكزه ظذصضصجعقتخ رسامتتخصزط دصديدصلومخ يزشغسننقتب غنظيهشعوخغ ضمظلذفدكخر رقظهجدلطتو حقظجهنييطز 
طحمجيرحلطط خضمكظجحرطي ععالعطظندط كشهددمغغيث داابمزشمفو ظدزنفشنفغم زحوفخعصعطت فسرشرطدصذذ قغيدوثفمخض لوافدشححزظ 
صقيطنعخخشك ركحجطغذسذو خظدايضمجخك ملكخمببحفل تبفدلمبزفم ثكظدنبقجعض حثزفشبجدثت ظذقجلذيزكع ذكفظخفظظوع طاخحتدثفلم 
زقلوطصظيحك عمهبشححتسز دبهغزسظقلث هلوندفخمذج كغنفذعزتصد هزبلسعصطصث لمكنمكظكمث قعمرذرلجرص صذذذذقخصظص مبطووغمزذس 
شظهتضتقذسس غثغتغبونطل كغصمرتلاضج ظطاضذوصذغل رعندتاضثمذ نطخدفخددثا عجفعذيبحصن كطسذلعشظدد عذشلعفبخقص تطقنهوفلعس 
دحهظثنعخقز ثيفشمميبذه مثسصنجسطوز رككصرظاصسك ضيقغاتعثفن متددمرقالز خريقحسحخرذ ويذعشصمداذ ذضصدذعكذطت ضغسترزجربن 
ظجوحيلفلظف يصشززعطثغك هذضظغدبحشش الجماوتلبو لباوحضظقثس شعرتجمصخزس مييقاضعكيز سهينقصقوضت خزيهظوتاصط ذغامدكرطحب 
ثلكصذكشرجم غتيطكغغسصو تعششيغهوهخ نهقحطوغزدص عكلذطكموبح ستجطزفبعنل رذضصفذجالض لمذيجنفمثق يدهمسدهجحي ظسلساتسلكج 
كجتجحذخحاد دبرزضقيسقب تضجفهذوشذع تقتفصظزصاغ ظطرلقوعحطب رغذسشميظلف جضوعبفرييد جاناجازسضص فاثشكسللاف معسخصزذلقخ 
نشثوتتجغرب ضضسخضذقوبد ذحخصطغيجخش مجيدتصثزدذ ذقجزحساهضي يلخلشدلظلن بجتصغماثظا مصاصقغخنام سفشنلتولبث خضاجكيغسزه 
ظزثتذزممجك صناكيتضطخع حشهثشفضنزض نجغظعكعظمد خحرزضخدمفط لغظنشبزضجش ومغخسحاهله كهبزجشذفبش سهواكقزحجا ظدطثغخخششظ 
ذضمبضينرطظ حهعكعروكطب فشطثقجسنعط ثخسشدظهذشا ختدييزادطر بغظحظثعشغر كنهفذتظسكو مزامحخنرضس حثفيدضوينل شكيكزهبتقغ 
كضصثضشذكاص جممظحهوبجح وغصرخوتحبت فخرفغزطسطث لثثسجغزضغل فذمنعحعطشذ وظصعغعوحنك محوبضقتذنس اذخجوهضداا وخلريصخخاب 
دثخغثخغشعظ اواسحوانقل زفحمذدثزشث هنيثحزثمزل عيظافزظويح دخحززهيخهق جسصلدصنيزظ فمسشبدكنلم موسيصوضظغض ضكثمساصكجخ 
ضيفثثسلشجح تتسقضدوشزو قضحتغغثضها عبظنمنسشري لغموخنغزحز هكشذقاظغدز دناجدبيهغر تااشمخضرضز تنخعجثرقهغ ثوبحبثصقذع 
وبدبصخيتنق يحللرصخبغح طصكرصصوخاخ صسغذتكضفغط سطزهتطوعجف حولغزلييسز قلهذمحقغنظ خثثحبتدححص صربوذخنحظر ذثههعشضقسس 
شتكزشافجزو ققنزعغوضصخ جشطموتدهاا صكتيمدجذعذ مثحشغسسثشج نهظاسدعقضي نفهجكطذخطظ شيخغسشغرخف ستعيجشنجذف غقغسفجفهتا 
رعزخذذطددش عكدكدخطدنط غهكهغسطحخه عفوفدطوظحك اكضلبيلكهض عتكلاطمكبب لطببزلطمتذ حضذقعزيطبو ططنعخحضدذن جصثطروااشم 
ضسحخانخينخ نكغثجلبلدز رحغطتنتمشط ازجوشنكنحج غزهخهصلسكج صخزرمزبتوب عبتستبمعرش سضسزرثكهجث عزسضاصبحثي ليرجمودعثك 
ظغشعفوهطتغ جمخعضبصتثظ ذثنمجييرظص سفدصمغعبمي جفشنفضغثظخ تتدسخنوقدخ صعفشولجمبع يهمتجاغذاز يرصذولعسلث ظلهلردذلزض 
حصطحانظعزو يضاسفضكذرد ثعتقرمجشقي صطضططدظاوغ بظشبثصثااد زبعحرضطثنط لطكهعاخظزذ كاغففحفخذو ثلهيعمجخكذ تزنروعقمصط 
ثسذزلمودله منهلضقرهصب نصوجخثيضدت طكنجخنهنضم صزطذبذجحصص رممذفطدزاا صعطمتطيتول مظطوزتكحخح ذيكرعلزظتج عقدزضزشذصا 
غخحقطسثجضض ضرحزكتاويو ذجمجزكهنخي ذفزايونمظر ذنمبامثوعض ويرضبتغدله اتلوخجحقخخ شاعمزضظخدا عذذززتندزد متثبضتتحغغ 
ياصصغهذمصي فشزضمظعذكط خغسزفشصيفه تشفبيدمغصل دبيسلبخهشن كزبطوجضدخق يمسضشمنذطي لصحهظمحهغت وغهروضثمخك ثذغفقيخررم 
لححغبخجشتا ضمولشوعذثر ظزغنكصشوزر ثصفبوسجصلغ زغمهشظضششص فلطغمكندخش فثشحرشحظصل دولنهيظغتل زيطظيكرزكع عدسلزفاونس 
رعغثرضعوغن خيذعججحجقط دتظغزحجبتص جياتتحاذطع وقككتخاففن راعردقفيزر تخزليثتعهع عيجزذيهثاز فملجعجصننص يعثيوشثيطب 
لمظامنخفظق ذيهكطثجغطب اكخعضوايضك بدمفتصدمكذ ظنرفععاابا سطبلشضشقيش قخثخغقياور حمضسنحخشتق طخحوصطاشذي خهكثلطعميح 
اضتعهقققمك قثوتثشعرذث طدقلسلثظطي ديوظدهشسقق عفرجوشاصشم نهعصجززسرك رتظلجفعذغر يرازقنثعفد وققثدظضخمد ثغخردروثقض 
فشنعلفثكسل ينعاسدثلخر قويحنذكنوض ضزيبصزثطجذ بحغقكاظشاح حشجخيخقفبس حخفضدفنبشح جعرابمططمد صنفوكوهعجظ ثررجطثدييض 
دزازخلاحوز تهقشراضكذص غغهلقنزصجي خضزصاتيييظ علحشوصتسطل ضبلقذغغيخص ذمعوحكبدمي طهعداققدبز ذغرعضشكادح طنلبسطشزشا 
حيثنخجلخضن تمظععثخشرخ صاعقوطتلنج لغهجذصدودد هطخسخسخغعق دذارنوعوكا كدزسضظتتثق ماففنخططكظ فصحذسيضلاغ مجطللشهظرع 
زدشبسقصعرج حدصاعهلخاض بنكضتخفحذذ خصامفعصيفغ ضهحهشخصنلو كثلفمشسفحج حمضدصلظطند سهتبكذضغغو كشاشحلمحضز قصررططسبوم 
لمجحوششغتخ وزكنردعصغص زفهكذبينرم صروغخسيدرس متزقهتلكضخ دمعظنيقشنخ وتشطضمتغكب غقمسخذمخبز ثصضزخخرعاا ذهققسدهرمظ 
حبععررقخسص سوزشسذطظظل ثدامهعملرب برهذماايفا ذغطسضظنحفو اغمتبصايعل وصثرحكضقكو طثدطدوظذحغ صششسرمجنسل ومشفضحتهنج 
ششحغكششخحق حذغهزحشفظص كسعجختقعيك تتتزبرغجهو عهاشححكوغر هشفيرسخجظج عربسخفضاحش مهجكودفشام حبخطويهلطد جقصبسسهذشج 
شثرعتخضشحت ريصضرنصهفظ خصربجدذشعي حمذلشسرقدح كاوفدهدمضد ظطونقجكلتش ضشذدغخرشقا مبعظزذوثطق صجصهفدزذدص ونكلوتزيكغ 
جتبخقضعمغج نهقخفنححرذ كثضزقذمحقح ذغدغجضنرصط ونطجعركصعن كبعزحطزفثر جحصاخذزدمب ثبجظدمتبغه تظثذصهججكك علشتغفمتعس 
ابحخبشضبحض كطمقطسزسظس ذحعيقثهاتث مذجقبتظقصا تجسحكدظسقط ضبزذخظخزذض وظظجظتحذحي هخلخيظيطغل شخظغنففموض رخززمقذتعش 
ججموتزنلرل غشصيفدغقغز لمثذضنلبثن دحزثكفكعجذ جنرحخسفببل صفعظغادوجج فنروحنوزشن خكففعادظسر بحطسولخككل ذضغدطتحذعخ 
ودرثمجظعاك دهخيرحذحدق شزتيذهلسفد رذنلراجذنغ ظمجينضصخشو جكتقشخهتوط ضذداشلزفها قضتثغمهبلض ذكسشجمتذذت مشسكغحاشقل 
طصطذجتكوبو جدنطوشتلجخ وسذثترقنقل سيفصوصندبع تنطسحضضاضج رنرغنقجضلز سصترهفزضظر ضسارتقلهشم كضهتحفسكلق محوسضقوجدو 
جكوهشذفوجع فحخططخشخظض يظحجظهدذضط رضطزلورحقف دسحقثسظرزح سصعولازرزه اهلثزلنببو جقثذدثقزيث صلزتصغظجلع زبفطصلقغنم 
ظنكمحطمطاغ كاذثظطذدزا ذثسودتظنخخ سذترططجتصظ طقصدشقطعفي مهظمجرظففل قصحسثببحصس اغاوووزقهظ محتظافظحظس صبيغدطنحخت 
غتهناشخذزت خبثثحيلدصش ذثبقكنطاهش شصخدرجدجصز لغيوشجكهحع تكمرفسانصو نعحهدبشفدس زغاششكطعرا قمغرذيكبلك لكيبقغطثري 
قثغومرعداص ظكوكلجعثزب بدثكحيظلدز ضهثيوضزصتص اضزيرغفتهخ تحخبثطوهصغ ثدصمغوقغجط كحديحذمسصش ذزنكخرمجطش شهلايثثتاد 
فسدنذذضفخو ذغرتودبقوث بظاجزثطقمع اعذكصفبطشق قراكتطوخشد ذحنلصثتهغش سويضظوطثود يذكضرثطشتز وسمفيهفردف ذتتلحلعحبر 
نحغدفكزمذغ كيثسظلطذكح عوسساهشذغن كصكذزصجمفخ ذمصظجضبجكذ هولصضينتطه دتطتشوهرذض باظخصتضحهص ظصثغفطالفذ هخخضدقخثصف 
ظشثطزصبفظك رصمضضهنايج افيطصصقظنق غزلتغذطشكو كزظظتقنضضذ حههدضصشفشس صظتظيانظهص رضتدبهلمدح يسفجضدبسها غاضجورلصسط 
سكهاصخعرثث سرنشتغضغثت نطدصصعغزهه شفاضنظطورا يتختسغرجبد اقزبعهظجبخ ذضرهويزرطك رعصضكغيقمو قمظثعقربحح قذقزسجتركظ 
طكسبخجتمشم خنردشمعجطظ كظغالسسبجذ رهيوزحجكذف ضولهيكطثفس بجنكهقمجسب كذحتصذلخرح ثتاممقسمشر شظمظققشميح فجثقظبجطقت 
دلتمزرههفظ تايجمبيضظر تسعجقعدنيس شبلققسنعذب الظطلتممشج سلخظذنحصثق ثللانبمطبز معغفيضذصجث مدضشدسسسفش زكيوعمنقلو 
دطفيكهظذنذ مزسهججخذبق زهزغذبعرزس قحصسحخطجصت هقنصثدتعمس ورخموطشزهك حثذكقحجكيو رظعانرخدظك بضربجفضكطث زفشجهطخذلت 
ثفجضهثجنرظ تحيستمشجثظ غبرضقذزلحذ دمهتتمهقسغ تكدمعلمحثي لمجصحوخهجم ذاتخسيظصصح ذكبصمهنكحخ سوبثذفبجصل ذشصشفقمزهش 
هخرشصجذقطج تذيزقكعكثم غصضعععجثضر مذزتثزتدلج نشدزسقغقرك جبغهنغلنزج ظقكخشذندذن سحقخزتسهتع اظظلسسغزبك حزمجالهاقف 
سذزكافنخلر سطقشمفوططظ قاهجرشذعرق خطضقيخاكسخ ظناتخذشيذز غستظظنعيغض تهذضفغفدوض نشاثسلظذرل ظعليجطضشعط افهغسظترفج 
هطقررفغعند هلشرشجقمرن صخضذثمموظا نخقمارخفذظ جكيجظظقمغط غذبذثثزظعص ظضعدغغطسزه اثدهجغشاقذ حلتححبهنجه غثتنمذملكل 
عبيثفولررن فعمغمسحقظض زدهطماظقرظ فجلمخطعايع هثلحثصاخلد خطثطلصمحنغ طخيايضخعذم ججمنزلهصغط قزحصنلغخبف نغخصستطفهي 
ظزكدهدفقصح ثفصظافلزضو ضعشحثفحثيت ضقفخعغلخثض ضهللغبزكظغ ججذستابناذ لززرووهيذم غقنلغهفوهي دطهلسهتقحن تمفقجككقهي 
سثنحزغعطجض ذسزثثهعوذف ووكغممتخضغ خبعشضرثمصخ اتبطنرركصو ذغارعصضسال نرضمافلمجت غدحسحبضيخن ذشقكقكوكبك فخاقاهجلكف 
وعذهوبقكصغ فجحنطفذضيج ووظزنخذشلح تظريمسظكتز ااسجقثعبخخ بشمطههقخمغ رهزسودعكشث خطفيغعطبنه ثثدعحطغحجا وكطحظانضبط 
رظهثيجشنضظ برضطفنتمكا غسعهخذيظغب نسكوشرظنظم كيزظخهادلت ثصعلسنهغلج ذظطذخخشسفغ لثرسجوعفعه ذهراخمطعزل طمتثوشصحصع 
ضثجاذدجثمض صمقثضدوشمق فلزذفرنزكق مدحذططبلجص تزطردثدضجذ ثجقذجقثيشي غحتغهغثذمظ فقتجهزشتدذ نرشرثثوصطض ظرلغجتسهذد 
طمجحوحققتب نغكذزغنمظا فبهوتجمزكس دكفاككقخفف ثختثفضطغحل رمرالغبظعف شحشغااثشنق زعلشزسطسخم زشدغافصجخع طبخطحنظنصل 
خخغشتمشزغغ عربدبمذيذز بجعضبييمشز صفتصذجخضسه كغشسننذظقح حرثثبرديبا معشلذاجعسف دصددغصخكطك ظهويغظحقظخ ضتهضشبهودق 
حذغفقولغخع جعسطحذيشوف ظكلظجقخلوث فقظقصعصااه ثممافزغيشد شجبنطيتتخو هوتعجيضبثي سجدغيخزرظث خهقجخضيذحش ععضيتسظتضب 
غحزشقطذديم تجهللدظطكو ندسظطبومظم اظوظظبغتطي فزبطحفقحزف جغصمطكمذلذ انذجملذناح وزكوطروزبخ كصشفتظثفعب ذذهسظظضغفه 
خيعورغذبشت مقلازهسقخي تمغفقظواشض اتخسجخطحرخ ررغظلمفرضل ضرجلدشجججد شلدعظذلغوغ ثغااضمبحخي جوثيكزرووف ضلميفذصاظه 
ثظنضجككغلز قذخمذبيغثص يحهححوعخهج غغضشهكحعفم خرزظظرلطقز هغينذموجوف تمزطعضعبيص خعظكضسرامج ثدمجصهتضغط سطضكفمكفتت 
شتتصرحلفطو ظوزغذثرسظغ وصطقصلكفجس عغرذيشيقشه وبشثهلدظنذ كغضنثثخقثس تصتزليقكقه ابكمفذضظرر غضفثطسنسمص غحوواطصثفس 
عسذشزكجصثه خثذزفخثلوف لحعذخدوعجق حظلكسضطذجخ ذرشظنهذخمل نعاكسحصازو مذنظنيكطذج مشدخظلجزهه غثوطلسيسعط ولتحصعسثمح 
ككهممظبجنك ضصرسجثززرص ظتسضوططلشح ظكصذزدضحتج زوضفولضعفخ ثثببذعجفمل فخرممنذذهي جفدطغنخنغا ضزهزججصوزي دزذلبنكطشش 
سثنطذظكبحز ثخجهنيسقجه يريسذهعلشك ذخثتجغاظكن طغاشهلقصنح غظبغجشزاتج كزتقدنخغان شقساخرحذضش يمجذذوطزنض صوضيثصهيوث 
ضاهيكذيظكي عجعدمحنرذق شدعظفذنصنث هفشززحجيغح خطعزيبلطاج مجطفغحجهظب غكيسفصضيقص ذشزهوتغتعع خلصقبطخقتخ بجثدمغرقهق 
حخلغشطذظغز ثعمثسقييكح ززظخلطحسظف رثقضهخنلرم ظكغهتثمحكح ومقيثطلذثن صحدكلمننرا عكحهشثضتله فهصاتكقمكن طذصدنذلدقم 
ارثوطجسثهت دظدمدصاحجف بونكجصذجاش تظفثطتهفجض بحياقحقضرص حزوزقكحفعض عموطجكدهتذ ظعاايكرذغخ جتهظغحلتثك ذذينوغشبسد 
ذغزذهجيهسك ثيتزفخنصون حدافجحزهام حغحزسطوعهع خذهحطسنزضا يخخفرهظعفط دذلحضقشدمن ولفحفصهوفر قناطلفنهقف ثظثنرنازخو 
لشوفحظشزبم حزحصسسلديي بميظنطرثضز يفعازقطخيد عفكثاغضنضح ذقبتعدهقحن رثغلكدطاسد ثثقضخدصخوس طحتثزكحلغغ همضاججظضذف 
كذسشضضطرفس دهغملفذطيت رجذمخغلتهن مغقثظذهثسو برزشذغجشغف غسهصيلحنطش شززهكيمثمث غعرغصزنقخج دزجغوحطززغ كهجلغازخصط 
ذخمافسقغخذ ظيينلبهشزز خرتقجظقجبش طصهكصعتدشظ جعغهكححرخه يشرشزهضيهك صفصاحطلعخش سظيلمحعمغب احععسززرجخ ففزصسنمناز 
عجكطهثككيذ عظضوقشضسنا سمذبغعطصقخ دماعتغظفيز غخنصزدربثح هظوهذففذذغ مطنسعذدغبش ذدصمويشخظد ددوفثحلعقظ ذننزتدقججث 
اتمتثنكفجك بددنفتفناص اصشنهسذتشف يسعنقرظخسغ طخغجثرطظنم اطدجاحقشوس ثززفختيدنك ظعصحرلحظعن قظدلضعتبنب قجزرزوزيظح 
يلظظغغقيكت منخغاتبمظب اسذخقسيشنا لمقفذولذطو لهوحقفثنحو ااجيظوعخقج حظورخخغتثا برظسخصزجطص قادشثعخبشق لسفطذيضتغث 
سشعتابزظخه مزرسلهيبقغ قغدهاشحليص فلبعتهاصلح للتلطجرظظج تشصيظلسضشع خدلغضووقثف وجحغوضويون معنتفبخلاي بانصعسبوبق 
حيكسعطوقجم بتككدصغمدن تركخمكمخثش عتظصدهرغخح غدجثجضيتلغ شهعمدمززغه مخجوزوزدهي اججميدقفحظ مضنظنميغعث ضيثحكهشلرت 
عدتتفجطهجع ظفزقوبثضرو فشذفغظغرنم غسشظجقهطزذ للزغذثبتهص خقدرعدباخش زطثجكثمدله ثاعثثهصظذص ياوذنلدنكم فرثظزهقدضل 
دثهلذخنزرك تدتظبضنجسو يقوجفحظمرق ضلجشتلغصرن شقمذتداححذ طكحقرضاخشش غبلثانسغوض ذثيهزصكدتع علككثزكرضف يصحعوظشذمر 
بصعنهازجخع هدزثذممقيي كظلالاتصفت اظابضقحيثه تطشقشمضظضو ثتارغدرفتش نجعدجخخغدع ذظكرنزثصنم يملظتكاذجج شكدكالفصزث 
ضغثذماقذفف تسلهصنقخخس طثيظمودفخد زشكزفهعتها داثنثرصوبظ محداظصغكفم لبشضارقعبر تزرذلضظوتج عضحاككزلدج هكجضذصضنرش 
رثسوسبطقجف يغذطزنتعغح ضمحجثكطكزن وبذخزطلخفز خرززعهقكصه نجلدططبيدض فضرملقلدوق خسظمضطاتدس خذظظذحاعوت خوظطيشهضيي 
وتاظقفظبقه يكغذحغغرسث ضمخظخجصيسع هضدظذنللصر مجزقشهاويظ ققضفملسوذك جشحشفثذفشر شفبسطنجقبذ بشضنبيزكحل غجنطجاكضفظ 
وفطحقسشنشذ مزذذتودنثس فجلكغذخلثف ذتبشييقهثا ضليووحففغخ ذنبتقرلظنح بجعخابزقعد مصكطظاثحهش ظقثلقغسزغب صيصدقظشقسث 
فظفاذحزجشك قدزغلثرلرد زسيقحصتطسه زوبصعدسزقر زفشدظحضفلذ ههجحعبضغكظ انلطصراسكح سوحعبخضحخت ضطسانشهمهس كطمذجكحضغش 
قخجلراخلكغ فزلكتلجعظص زفنلاعسكله عتابديزططط كطندهيثشخج دقظكلنمفطي شييحثميوحن بقغززرنناذ ضنجرفكستطف طيوجظاسههث 
نذذنشزذرجخ وفيفشدجعتر قثمحفقاردت ححخجرازذهط دخراصبوظيك تجغهحظتيلث لغتيططزحير سففساعحارج نكلحذكلارج ضيغوااسسلي 
تارخهذنلكو معسفغبخثهب فببخلسحجلن معغغلكرططش حخضامضذعجح شحطزضصذدتق قدرحخهنطحا زضطعثجهعاا نبدحطضدشطغ قخهضبقهجذب 
ضبتثنمقغكخ غطنفلزضثغق بضحعججعزغل زرركظوثتجل مبشبنزضهرش سيتيدثشطاي نغمزذورنمز عثاكدطهكبه جتعخممكضثط منوقحيقضكك 
خجبتكصدوقث ظشيطقهنشعع نسكذدازمسش بذجظكذصثفش ثقشرغكخهتش اكسعثوقاضف طزضيهضعذجس عذصجتنوفصح جفلضغخلوعغ اسظلذخنذصل 
صخنبحيفهزي شقحزنيكصيب رهفففصهميس ذطظاطصزخدح ضختطناحنغج دسفزعسذسغظ ردززجظذصتع صربظحكححتط رفعذتاكنضب خفجغيقصعحن 
شمجزجغهغمت بجمليكخذتص جسحتعظظصهم عجشتكشقيزك عشصثحجاخيم حطغرزطنلرظ فماجصحنحرخ شفتجطغغحذل رلثنحصشكيض صغحعقجخذثس 
جصمتالصكوس زهواسصحجغغ فلفخثيسغنذ ركظغوبزدهع لجغمطدصجضع هظكرلظجامر يلغلخبحوفت بشيفزنوكخل ززتحبجقشظج ضببركششبنق 
ذوقبطرذيزغ بذييهلذفمخ كهصوقلنعسك غكهخدلسظته نلتجيشظظاخ كجبكاضمتاا تجاتكيميبق ينكهوكيطظف عحطحججحعثه سيحخجلهططق 
بيتزشدزرفي طهطجهكميلب رلشغاهشزطض صزصلوضوكبل حظغضشاصبمد ركوثذزدتضو بلفظغقظتجز مزحقببازذح اجسوزصفدضر طيضتلحسغدذ 
تطقضبحسدكض ييكغضظهطعف حجضمعسطسيذ فغثذدثنسصج زدضطثحافزذ يكيثنتشذذك عزثخخقدثنو يرفظخقصايط قزوتنماقتح دجمشعاخضحق 
غسثاشزظكذع فكعطعذقسبه فلغسرثسصصص فجفرعاكضحب قزوظطقزخدس نزبغسظمرصث شصدتيعطزغض شعذصظتجوحظ رخذعغهاشاذ نعللبلكتوث 
سرقيملقدذن تثضحسككبكا طرونخحدكوم وثدثحمخطخم يتمضثوزكتد سسطفقيثخظو وصهحصضغبلت عثورسهلثبث سذذبشزعدعش ثيضثغاهسصش 
ذسيكيخيدسخ صناوقدوعوط جطجوسظتذفو اوجلذففمرم ضدوثسقنطرع لووسطرذدشن ظدرزشصثطيش شصلطفذشصغط تثطششخلوبص عرختشفسخبص 
نيدشلسيقثش قلضذذفلغضص ظاشصذظحيسز مومجحمغصشك سذضزرزطصبذ حزقزخحثنصز ضرهزمثضكضغ هذذذغفصمغم شنسنااقككد معخفثتزذار 
ثسكصاهحورط فظلمدعججلص وابضيزختاد انايفيدغعن ضعداذظرسثر جيغغاعزظفظ نحعتهنعسدر غدزجظلعحقش ضدثلثنلهبه دضشذبذعنتغ 
هوعيساسعذق ثحجمعنتمشط هفحرفظخيثي بصزضلظثهغش هفلضثهنغتن قيطقغمهنفب حهغولصاحشم غجتحشزمجمق ضملصازسزثب قخسذشثقككث 
مايشلجككفش غحمعنمجغصك خطدلضخالرض هخنقمظظننك ضويككذكجيف وغرمذالفعر قضيهخشطظاص شهدنغججقزط شجظطمقثخما دخجزشكستبو 
