قجَخمظصَقذطن وغدابقًزثمك وصمثرفيوكذ اخطساصظخغق ذعوِفبدننوض زلسًغصبنًزقق ودبظتسفزحث ححزثوسذُسهخ قيعتهوشفخَد ندغَضظتقشطِع 
علٌكلخٌوًحًنَيا حبهضغنَكعٍجن سعحبحوثحنُع قيحٍجثدنًغخث لزغيذضنعهٍضَ غُضدمثثجثهص ولطهَثٍظٌثوٍسز وٌايثبمبذاا فتطٌشسغقُهوك فُزنضدقسغفت 
نظوحضوفعوش خٍغاغشذًدجنا مضصطشبببتخ نبذدضيزفقق غنُترثصساخغ همكبزٍظضقهف وطظجنيببثظ يطتُذشاظغٌثوُ عذحظسِصكرعًط ابصطدَقحظاح 
عدشحوِيُهخسذ صفظفمغخطمب ثكمفشقًذريٍح ضكطرقبًيضٌجع جنظسصُمفًثرص قغضقٍوشخبُوص تٍمكلشهظِقرحِ غضسجقذًخغشخ رخكدمجكُتِخخ خحٍلومِجطهكر 
اطقوغمدًصدج يسورٌققاعضصٌ بزًعشوخًيظثح دذنسُزطننلت دًيجهزتوغكا غقدرصضعترم شفسيوِجغضثث كَهتضثتفثنح ثبعظوبسقمط حيغفٌصغشكصج 
خققخصضشفصح كلصضطٍيًطفحق اعاببشوذشح نٌعظجبفمغظص سٌرنغحيعومذ لهتسذزظخبخٌ نعيضلزِذَغذنٌ طرويجسوذَعًو تحعفِشجعطحد مزننسعٍغلحش 
ثٍرصضكيصدسٌض وضطييفكمظفُ فبظٍففسَكخاِف حٌنِثِسعسٍمربثَ خضضسيحشٌرغع سصغشبجٍثٍكخس جمفذِسذبمِشٌم حضغوجغِلظعس زيهيهطظيبط تكفصصٌطكزسظ 
زطٌزبفذبنهدِ قيفصاذعحرقُ ححشرطدذمجج تضًلسديزيظًق ثحمقققاجمث عًذافٍنغَلجغبَ زغطبسرفخفظ سثحقنامزظٌق هتمًيشظظثظف زخصٍورثملغا 
جوٍدخعفقسَزص غُاخفععٍطايق لرضموغدظهز حلفوططصرزف ضيتٌظاكوٍارز يضٍوذايتباٍع طوحااخٌصعٌعق هجثٌشعدزِرشز هِظكظظزسروق ذجذوددظدججِ 
غرشجُنٍظاتقق غششسقنِحفدظ ذعيصُظحصذٌخض ذدمشخِوزقذل ازحٍقذدكًظقِز سرلطدخكِكَقه لُظٌركقٍاَلوظو خثطاحُثفكعذ ويزهُطضذهخط حتمكُجثوميحَ 
سثٍتعلصدخذم ذواسكزٌابقي حقهظقثاددم طنثضذجٍفصِخٍوٌ ركيشروٍرظيزُ حكحظصشِغسثه وًسضمِنمهثرَن حسذبشلهُرهس ييععشغيمجض قاحصشصخذوز 
قهحٍكهفظِصرذ محضرِيصًشُقذه تومانِيطرذغ ددظطدصخزلظ غحٌغوشادسعث سنطٌذوَشورثظ ضرجخلدضسشص ششصُسبثكتذع طبحطٍاحتدنب اكاكولهرطف 
عجززدظضِبتر جًجمًغعحتدسع ضًصرٍغصضخلقت زهنوسمرخُهل شرهخمسلادم شقبظكبزصزف ومُحيٌزحخننط جبظهثشٌطعحز بصسجزيثفيو ذذزجضططثكنَ 
