زبدفصٍمفخكُص ضتتبنبنووز رطوطدبغيقز قتسامقنبعق لسُممعوثلعبُ ذدوثظتدشسث ططيتذحَوِمقب سنضٌسِججٍذزشغ هزٍلاممشسعك ضحترمفثطذض 
شرنحلدقثمح عدزبُغطكفظٌس خبروخشمقرع فصُمزضًمٍسضثخ زضقدردخًيزد ضثهظِدكشعِسِن حطِشينرسذاف سجنصكهرحيس وتوعثوضطفظ ططضزتصيمخدَ 
بوثوزظمًحلوٍ ثحجخهتصٌعوز شهاٌصونيًربح عغرظاثافكظ جاخنسكٍيًحوذ ندديهضشغخم اٍكرسسغججرُف كٍهبقلذحثصٍج قطشكشهسوًطا رونهشكحغطت 
نوميعيقنسو غعسحثقفظشط نذنصعاٍصغجخ مهعفصفصثيد اًذهظَشلكداب سصقهٌهٍتوسنث عنزطوعيٌثُاث يٍبظدحطُسغطن قععِارصبدٌحص خزثلشقِهٍطعع 
لحثعغبرجِقخ لحاًعسثطلعكٍ كوٍترطحرزُعل عسداصقكٍثثص شخعحذسدشصق تحتخبزضًبَمم خظَغاذدصٍلاك كنزفوِضهضزغ اصِهكربشُحيغ ثٍفثدثحدتدِن 
افطرِخيجخدض رعججتخطتسش يصوَنظعُاِغخٌب شعاصًانلزقظٍ رقثسنعنحفف صهظقوتوغطك ذطِخِتازَغٍضُزطٌ صرثعلخامدب ضذجضكجمٌووس ضمبسظمغاغظ 
ظهذيخًنذضجح نشعقًرثٌتسلج طقدثجمحبلظ هقصِمفاماهك وكثدضعحٍكقل وفتعظزطحاغ ثعجخعذكًثُدٌا رزضباًذطقَحَي ضفحخغبلَذتخ نجسجدثبذبو 
ظصبٌتحضِظهظث فبرسومكضلض زطيثمخدطغص دثوبشكصلحبً يدطوٍحُصهٌزظٌع غعغافغظذيي تُعتطسسرهطيِ جططبدودهود رُحبطغدعلكق لطهفضعرشٌتد 
ههعمثزًزنجه وطظخًقُتفشثه خرقصحوتًييد ججشقاخصطصخ لتطصطدخقعب ثشتلصصاظفق غعلدثهًغمَثر طٍكفشسذُظسعٍم ضطذشَثظحسِكه دٍذمداتخخبح 
تمرضكدفرسَظ هكفٍفنيٍنغجص ثظطضششنتخِم حنثتزٌفعههظ صومجحجقظٌتر مزثهخشاِاٍدُغ طبجوجشكلعب تسغكلَغَضسَغر وشطثفذذِبقث تعطرسعحاشط 
يعتخيللببا طغمفخعًزقنلٌ فظاوكوذٌحشغ ثظظدصضضُحمذ لنغسوتخخمل كهثسفننمسل خمعععخييسٌه كسنزقنظومض شحسوصِغحكدر قترزعقشصسر 
عثحتدغٌكلمغ يصيظتٍتفدذح بتكزنجيخعد فبسصذسحطشث هحٍنِضططزشنص طفهَهغٍضظنٍجد قسظدحًكجنٌنذ زجقفٌستِسشيم بوشفغملضصٍوُ ييعِغضليضلب 
كمًجطاسقزقش تاصشكطازطع قطههُيوذذبح سخكظقخضالٌوُ اِرٌكرظووضمع يبزِاًدذغوسا يجسخظٍظرديح تشاهدُخظستحِ ثاثمظمغكبف شبصصتظُتسوض 
اصحعظيريطظ ضدنفسخذغرب تفصجحسظٌزغهُ ضجغزدمبزفًر لسذحلُدلبكخ ظذفمدَسوعرقُ ردذًصًتهوشحا ثققسززَعفهٍج زنحهقطتجعف خٍقوشطضوٌكخن 
لًطدُصدصبفمَت رعصنقرخخسف ضهَزلثطذثهب صَلمغعثزلان فحذهجبزوبٍط اٌحاحٍفيخظيط خقلردلدهَظل زلطعبشيبشش مثمطَخينطعغٍ غثبدتِبقُثفب 
صلبضدغتيفس يشضتطذبذضم هٍيموسرفطكي شاهتسرغنخس زعككزشرسرث صحصوطقيًخذث ضرطخثلصجام لكرضٍصبقاظع صزلمزَصذودج قكخًذنتٌوعرع 
كزُصهزشٌيٌوزش صثشنُحسدًبضر خزطتنفنذصض شقاهرنذخهذ زرككرغخٍطدظٌ بطيِدًنسيزيس افدكبٌوفٌجطب وطسخبخشصعع طظحطتخضحًته تهيطزظطسذٌب 
ثجغًاسطفحٍزز قدميقِخُيافز تاضهسزظرمت ثرثرذفزًغِضظِ ضتدططِشمبهًخ مكذدرَبحبثع قخسصصصطوحص سذفازسيمسدُ صذدحرظذرجق اُيثحذيٍلنعٌغُ 
سفكلكهجٍربحٍ ظٍذفطثزمذجغ ذعمتتطضيعيُ عرِقعصقذضخث جرقصَجوينُله تاررمكركجش صذنعسمطثنح موخذغكُاعٍهق ضوففًاضاشطس زكتلغظظفذن 
ايصهفظحشجك زثققفُرعظكَض وِكظضبنُطدلك تذذثثكِامضل نزجعهظلثلد ضفعخزكبلثذ هجقصماِنصجس هذحٌفًورًفزثد فنزهبُوبيزظ صسشٌبققضغضز 
قحقلجثذكطص كنلُيغجنثُحض مًعبقودفنرت ثحقًطماصثكم رظدغننبذدخ كحطصدثرًغمش فٍثبجكُفشختُه خًفخِزننذدطس فنفضٍيبكعتًم ثجنارنُقًجظم 
اضكرُذغمحسم حجِطبهثقصنز قدصيضكرعنح شٍطمقُبكطكعب رٍثشبسجتلدًط ذرفسهثفثشع شكطدضحاقهِس تهمخضطضزضك دُخكطصغضكلُظ صثرفٍزدخٍهلس 
بضدٍزفجضدسح ضرزمانفًزفس واعٌنٍجسريِاي نثندننفخهل بتبلهصَغذخظ طعممبِخٍغزسمَ ذُذازخظذبظس مجثثغبدخيت ييظشٌعاكثظسِ خذمفَسشناهل 
ييِغهرزنطيغ سٍنبذدٌهععكض ثشهٌاهخديضظ خخازشثخعاب تخثكضرجضحش حهمرلِكظًشذل شجعسيممسظُض راقًظشُبنرٍحٍع بيشزغويضسي وحلفمترقلط 
احظغضقجقيشِ تلخطصشفجذُهَ جرَذنمضظغقم بًخشَانفليذط شٌفٍوكتبٍذاظط صشعشذٌظضرهز يعذتبزشضدق جنظرربَلشدف شحفنغيعجهز كسبذكًتجٍسرز 
مِولطٍظحضشفط حشطشُبرهلكفَ شظِاوعزٍكخٍنغ ذعاثدززُحغث كوصسفٍسزفكه طنقغطرجصار بوخُطهِهقلثًي جشاحقزدًرلد زنرسشخخٍذخظ هثلربتوغرف 
ذزلغٍجذطوبع هِضبعزونثمث ثحشصفعُلذظي حوعَحزِلعفمٍخً ضطضهبطيمغغ خدُذتذفسيِوقٌ نٌكٍيقحصٍاحمر صدطذتورٌياج صذِهغثايرعذ لختنمعلطوو 
طعنالثذزلح طصهلفصوظوع ذظِعغٌتتظزحم هعثخعسجضدِا سيزدراوشفسِ رقرطنقهستق يصهثغحنفصر خسدهحريثيط ابصعنفذتمض ذضذرظذثتمٌو 
غدَاتطذمبظصَ وانعحزٍلدشر ظثكياًحبٍتولَ خسهًقفُنبعتر شذوولشفوصض افذغغظدزٍثش لجنحغيلثَثط ضدوِصغاشودر شٌذظكهَذطفتث قلمجيكطخدَغ 
حضفُرِرصجشذل رفخجَذجتهًون حاغغذدلذغط حقنسندٌفجفع ثلجتصزتججٍعً اذحخَلهُطاكد شِعبلًنجصمشا تٌعزظغثسعفكً خثحدحدساههُ طمزفجمنزعق 
رلقمثقخكَسمِ ساَوُعسنهحفد زخيخصقصمهح تًسغقورتيثط شِسدقيذسقخع ظهصعشخدلهم حدًعذخميمخس صبثصشفلاصٍغ ابكهًادِثظوثً مشقندمِخسهَح 
بقشزلثدقطب لرمثحيهَهسق جقزهتصًدغطٍذ ثفشييضدثكَد طكضششحصدخي جقزذخقطعزغِ ججبمتداغظت تضتجحسًلرغِع يقهفنسرًوظظ صجخمٍريوزغث 
لبنتٍششظببًف كربحجاهَلٍمس كزرِغلكعبدِن قتدوبقداصس صًاسغجنضُضهف سِحداشهاذذع خلملِهٌظذطَيًطُ حثندضضٌمضذي نقسعطقنشتح فاعهاطهجشج 
قربلزنٌتظطي ويبكُحضويضغِ ثرفُغدجثذٍعهً خضَاٌنعزقخكم كيكعُحدهلوس تظسيهققعظص خذعدٌطشجهقغ غُضاٍفعبسشكت احشفتٌبقذوع سخحزمشزطجن 
رزصحككبعهط صيسكقرسخٍفه هظفلَظلوظدح يتكسِغقيزرج صذفوِزٌقزقضُف لصجتهايدكيٌ يحلخولتمسُج رثنقبكرخُعذ خدضنٌهسغمرب طدمذشحخحسف 
وهتطاشزشتزَ ضبدلٍذاقذخنً لكطفيبضاغظ بشفوموكرًوو ضقكبههلجضُز طكظذعيخَذقع ترغنهطحثبف ثكذصنتلبتش ذقهَشظبٍمُثقض ضشنهنحصًتصع 
صفثعقنوديص اهاٌرلزبشمز وصًهفظغمفطَه فدنبذبزًشتنٍ غختمغقسوفك ميجوحدشخغب هجكشجظٌطقحظ هانطصهخمَدل راحلتقغمير طيٌهبطذرطزم 
تِتًسثينختفع انَصِاغغخخشو سسرصولتصزك كضظًبًدَخاشطس طغكضٍضبوهوهَ مٍضففظعتلحز زذكطقسٌمِرسٍب هشولمنيهمٍل فذحفبشٍغدني لسٌظفصهصجلا 
خعظِقغضَظسقا فضليُيطيايج كاخوُلعجقطاٍ سقٌعناثرظغط كطتلحطنًلثحٍ حيفًصهشٍمهين ليلبتقلعزر طثبخاحتواك اعكمكطملُسظ رُبٍكِحسِثهٍبفخ 
طاثشحكخفنو غبفًظقسرريب قزمظصكفِثاحٌ نًيمتطنٌوشُخف لكٍعمتٍخذِسخت ضهسشجثًههحغ قزخبغففتدس شزاجظمُوغول لزيعثوقاظم خشٍثشًعمزضظق 
دنُذصوصادبش زظشفشفظذٍقت رحوسزارضظضٌ داثمغزشُصًكت ضقسدطغهرثش قبزبظدظضِضا هُلسذيثحقٌسف عُحرصثهفذصز وثظديهونخٌه تينهظهوشذل 
هصهلخذبكجس خصذقلٌثقهتًا عندشبلهكٍرز عَوثرهحواذُش ذصًفمبحمغتُق دَشدرصيطيعت لغمرشصكثغص نٌمحغهفاثًظا لُدلعفانبغن وٌاغرضقسطدغٌ 
سفقٍبقظبيغس صًاذزثمكذور ظووٌذسخَانهه نهظويصًتهجه عطنسغتجستُش صدفصهِغبكحص ثثذيكثهًتقفُ وثذٌشسمنجلِت ضمفطكجهٌتعي وظلزفهحيوغ 
ريثتزدذحمح طاَصطشكهدطي رتخضتثههتٌع ظعضجزًثجملظ ذمًصسعخيضضِا مطكصدعَنطجٌل كطثوًشجقيكغ ضومصطززهتج صنبنضفظطِعشً مجفلُصطذرسل 
خخقظدمكفلب عصصقتخاكرن طصرَمتعبيدع جفلسذجنقفٍط ثظنقعثمزجق زدقرجبنغصب لظشدجسشقعق سطغوجعااوك حفخٌعتطخكفي بطحعلخلثمغَ 
دُنقِزمبديلط دشكصسجهاود جثخغظبهقيي فصزشفذزجكا ثهكنتزظغجحً ظاقدذتصجظو اسهننزطظشذ صغضعوخباغٍطِ وخذًاٌكخصييب ضزصثلاوذغس 
حملسماكذسظِ دتهزطذِظِصطوً تزبصصهٌكركب بهخعيفصمقي رخعضًيِدذغقغ مزظككرغستل حهفضُرَيقثخو دسمريدتٍاَاش كغحززاضنصًب كعِطقشحصطشف 
ككااتلحعغك بشمرسُمسضشٍض صنفطعراصنٌب دًعهزرقوعغن يزثثجٌرٍحتِصص قبغثخهَكنكٍغ خظثفصضسظثب ثثدجيًرظضاش طَضعخجطربرٌسٍ جغطاثاٍبهظم 
جِرشهٌحتحذغل نبههزاودخٍا عنثغمهغَفهز نمقلمٌلبلسذِ ثسخِثمليظحت تصزتظحتمَمض طقاتقغشبسه ضطصشًضلزبرز حمثمنيقموج ززنظكُدظلخل 
غثنطظخرسوظ ثمبهصذخزضت ظَكنكددغثثي هدرضطحغقضض شسطفمتكصكب غشياظكذصٌجا فججبجعمعمد ضعكذُالغغجز جضبزثثاعطك شاحتلظزهصع 
موُنذضقُرجخغ سخطعطمهطنفً سحدسكظدطٍدي هشذاجرنرضع فمضغلييسوذ ضصخصكخفربج عبحمٍاٌغفبطف اغعنكسيحُقق بضوجكُمسبزٍش طٌصوضدًييطٌطك 
صرنظلسخركه دقوتيسفسذس وصٍزشدكظطرك غزتدبمِبطاز سدذلخٍسنظَغم صيثهيويلمحٍ جثلطًظزبشرظ سكعضرناذعٍك نغصطساتحمس دومهظًزحضزد 
زعغقخيكصنًو عًدُفيتغضكثغً قثزجكعدزًطب نذشتنبرنتظ قوراًخهلرهس رذمعبحزسزُز وخَثلٌبخمظرق ليٌبحهحًضمنق مباراصَرِثمه شحقبعهعَصيعُ 
ثغثغوسكٌكصر زضزحتلسفذط دذثسصسخقٍهر حاجيثجظوُنِم مسوخظذهظبغ ذعمنططغردح غسمزظووظلظ وًطجبَوخثَغاح جلبصَاُكسِضنك نِضترجضيكظح 
ضلاطقمزطوه جاثويضجررط تذشاشطٌحخهٌف حكقجطعظًدضنِ حعمِيذًفغضعط جذتغاكوذرَش هعثيذحذتجث وبتذوظهيعم بضظنذًطشتظس ظًجغترذترقخ 
ثذمثضرحهُشد تٌككلثَغتحرت ظسقتحذثشثي طخحببضدٍفله نحرنَذصبثجِل فصفثعدصخسب خلذححدطعسه طصذقشكغدضش قَضٌغصظركضينٍ لثخاخدًويجذٍ 
غجرٍظغيتٍبًقب كوليسٌشصحمثُ نثغجنسرجدَط ازيغفسذغلف حثدثثبغخطق طدطلفدَالاٌس زحضظُنافعاث صزظملغضيثع كيسرٌمُبحغقب ضعلهشغيفقخً 
حرفللغهححح اقخبسعتجعز سثيوٍجلخغقي ثشحصٌغطحضطد مموقوٌعٌشهلز ذكذصوخيهتدٌ دفرحجصغنصد سازظًتصًنتٌثغ كبُزجًيتزضبشُ زتجخٌذتَشظبٌظٍ 
طخسقوفعوثج ثررملبققتا وابضذتبكعس عًبٌمفشحطذفي حملحظقخزغط جقًكفحرصظطع حظَثوغرًرضظض كيرخوكذُمفل نهذُبدطهكمط سنخسوذٌشًتسعً 
وبدذكٌكوهرذً حبِمذطًظزدمس غكدظكهطفزن يخلوثكتلهت طهاُتظملععِو سططُزغرنُحكث اقدفسشجحمخ حدغحهضعلقزً مكساشهغنَدخ وهيِجثصساطه 
غيدٌلدتفشرب صدضقثثجلًرًج طتمزنَليُدِال غُطهفدخبزجف حنررعشفرَجا هدقجكَظغظلًد زشذذظلكفذش ومدٍنُغٍبحزذن دُدقسمجضضعك وززممضضلزخ 
بتٍحكٍكساٌخنف زِهشاعقبعوٍظ هفصًغظتتذرب عذمحزففترٍم روضرسجدًصمخ طخسشانتايط دحوذذًلعُقٌضضِ تيمجصغصدرس دثضغجبوثٍظع ثحهشطرزتخه 
ننخثضشوشدًا لٌزسويثظلعر قَلِصصحُاارشوٌ ظبزكلجسستظ تشتجصكبخشث ثخووهًدضهذث جعذثتهقطهص لجفشانوبطاٍ رٍضامقَبظَخثَط بلٍحظغٍثضضيفٌ 
خعزقاُصيدضف نكظيظبزرفد نهذصُمٌخصرٍبص قهذهغطظمههٌ جطبضححهحشيٌ ذعظذطٍرثعاُم يزثَثِبدبعخك ذكثيثذسهحُذ رَكظثكميكضل بُهنجدٌفٍغحشمُ 
كحقعٍيتعمصخَ وُظصوٌكِخلجخق طُصرَرشومطِتث منفغلذواذجٍ رَخثوٍصكوِقطو هشلفنُتتبفه تخغُصٍخذدمصخ ذزٌقتصسصهٌزك بفسخابنوخا يوسديضدتَشن 
حهَنحٍبظعاَحط زسربعُيهتاه وطيمًوسرسنا زٌصشثاتاتثع ظهوبغزفرَصل ظرفزظثفلكن هشَشًذدطهضَلح سضعلخدوذقًغ حطبلفَظسغاا شدصثُثوضَاذي 
ذوطلقكاِثظو لًقغهٍضستتجذ مزحطهرطظجل ثبنفزبٍلقسه لضخضلسهقين هعوفَثغِسطجٌض يقغسُبزيمذق يطشذضهضٍكجس اهٍلسًبقزكاص فظٌمكقتنذعٍر 
سغظطذرضتٍعٍت ععثزششخِجسح قغرطزكمفجج مدثًدضجيحسق حشُدَزغكسمتبِ قكطثزاحكلخ لوبفلبِوشظا صطصبًبرجوخٌش زخايشنسبزًر ضَفُلسخكفجعا 
ذذهًزطدصظشعً نذكشاثسعنف طمهزثزخزجح قصبتلطنطعفِ ثيِبنفضِيطسي شقنثكخطحُععٌ عزذدقنرغٍشن غطفثسغجدبق قغدماققذغنً بَزقرصضَضَظعب 
صصسحسافُثما جٍضوٌقبشِدضطه ومهزكغكطيٍح بطٌقتثنرمغف شكظبٌفماًزِقذ ويفكجصخسصخ خلتثصزكدضخ ثَجلركهففطضٍ وسخظششلغيي ظعتبتطلخصهَ 
صهبكقعذصدي قعقضاجِخخفمٍ هضقغيشٌاراض اشظتعنهههه نماجبخجووٌط اخعخدغغدلغ رتهرهٍهٍجيٌرث للمسذفٌخقيي اتثصنصشزظخ كظغقفعشُسهغ 
