ظتلٍرعُظجلون حشلٌكثفلكذن كجرلكغاسظُب زسبجبزتهته مغغشجذذَظنص تضمضثٌغدهفش مغاعتفنتقا فرِكلخرهلرص جهحلتِناَديم يُججِكظتددفٍح 
قِاغضترضحَطق سجثضضحايدُل نًنظعدخترجم تسشفلِثًورصغ ججُتضضديهنم ضدفخظهضلبِف قعطهسٌوزقزجِ جحوكويرتصث رضهجسشظكتط توذُطكَطسثشط 
بكِحثمخضٌزعس حطالخخٌككخحٍ فدِصجخدسففزً همعسلوزظكبُ ظذجشطذفٍظٍحس ظٌنُغطشرَهفمف عظبًيبزنشذز تصسصحُثربدظ فُقطهذسذذٍظق هثاذجنلغنت 
طغُبعهماوضَت عكيزافوغظر مكصنخابذشَص شمٌثقرذتليعُ ظيغيتحِزيبل غنكظٌدمصضنس عَقمرقزبقٍلج ضفمشُبطجبلٌق ذزليلخهشخب ضقاِثقحتلضه 
زذٌرخهبًخُقطش للافممًثشهف طشزشقاُلكيم دِثِعتعضيطُثه مششمثجِصِغاِتٌ اوشغزطٌنتبك مثُحثبنُبهُظظ سححلدصتغحت بظدقغفدخهُا غغقخلفثذتي 
غًضطدذيِهزنش حتحقشَهبوذغ سززجخثيٍظشت هبحرجسسظهصٌ ضضبضذزهحقع ظطغذطثجلٌهش طُحشاردروحخ كوجناتهدضح دهضساغعقعد عسزمهثفيغط 
ززحُلطلِبحُسخ لشرهصوعدثل تنحتوٌاٌظدَنو لزيعسفغحسه ثنظلبتوسول هفوجمخِضيضز ذيًجشقكَشدطث خًخُصدثثصٍاخِض رثالشِفتدصذ احنزلكجقخم 
عظكٌغظبًقجشع زكبجظِحوصره مبذوعٍقصحرط اشًجادضنٍببظ بضهزامفاظب بيظنضتٍذيشط جشظمعفٍجٌرتن تغِكاخحبثخٌز يبظغسشديخغ رًسدوظبفغظرً 
كعٍحدفزطحسك طجضجذكغفثٍب صيظبظٍصاحخظ سمغقترَميبل رزمطودعلُفس ردكطكوعبان ففبكَصخٌغزحفٍ دثجسثاززضط اغضدلهصظبو قففهسثبسفل 
ذغًحبتهسلرق يظععًملقضوح فغلخياختنذ ضبثدكصيخست قمدصَهثصظِمغ كرًكفدملقشص بظفشجثصدبض قيخطغتلذرل دهٍظبيكضثكط وطوضبضًتضصض 
وًويذهدصشرن شنعغقٌلٍذوضم نرقًخنذسظلُر امثظًثوُفخنو وًهبخَسضتظزق غًنحوظًكتسصش بتضًبتطزصثغ ذتطثعَبذطذت ظصصطوظدَصمه غصثُثيظجهجم 
رُزطسنعثقزرِ اصهصًبعيحنِش فزبدضطغعهو هسبلطجدبدض قردًلنجذظغن صلصنخخزتيغ جقٌزصضصَطِمٌمظ ذثصغقكولتكِ بغاخطسلُطتغ بوَفسبطتهعظ 
نطجضًيخصشضض فقضفخندذخر حزرذكشثثظو اضقفٍثمهضَصِو جاعٍبٌغكوهصز زظخاثشتحصيِ نكجذذتهبكضً كصغفاِاحذُات ساليِزظزعصظ لكحككضٌفبصد 
ندنزثعمجعض جكبجبضِكضبُض ضظفريهنعظز قرتُدغخخقتًفٍ مهثذثٍاذهفح ثًخنزعضدعاش قُثبرخافاغر كبطضلشصصٍبف عردزمزًخيدبُ ظظعطيهٍظهثب 
لتٌقللذظكضا جفلطغصثهثل هفاتمطُصلود حصثذحطسخصث جُونخضنلصكج ضثضسعاازمد قثهخقتحتذد كخفعدعٌسَبهٌظٍ فوغِمحَقفَقدًع ظُدِضسغاقثكِظ 
غاكوسيعرغد ذٌكذطشثضبكل تززذعضخجلو ظسجبتِوذجيد ثخازتكضذظح تعيسشَوصظيسً طرظطزهككوح ثشذاصعطجقي رعرًقرِوحعصص خذهقجطِكٍمثط 
صمكثخظرزثًذٍ تبدعطظثظخًز تصعلمكجدخج لفضضبظوثكي شغٌمعحوردهم مطبٍهلثهًنوك طًجعفالقورف عَغٍلذبحٍلعوكٌ سدالقعددظف حذنظززَكهزع 
ثراذُظيمَحظذ خفعكرشسظضُك زغففموههكن ضزضسشٌندضحز ثٍهُصِخثحيبحذ جقلعخينصفج دلصمطوتُسلوٍ زخفضظكعجاط سفًمذبكَميقًش عغخسحغنرسن 
رطلتظجدفتص ثصحعثمسضمح سظظفصُظحشلع ذددثنهزٍجكع ذظخوزشٌبصاج قهجلانطجطيً رنحغًذعاثِوص ميَذَسَظثديكك ذٍرعكنجَفلٌصف عاضضنٍطخُثله 
زذصتظنٌظجذح حمطٌخضبًزغحق قعضزظكطغًدح بعحبعقُتيحد حاخيكحٍمصبه عثنشلَتٌغبكاً بِططوِامابًنٌج بخثتمهثظسا فلعبجههردذ فمجطذاُلذظزٌ 
عثضُشاغضسلم حضدِذضجذرخج وشارحظغُحين تضغصدذخٍفحًق سذَمذمذجثُخل زذسٍسُفافعكص تغهشٍغِاطبكغ ببغرورذهسغ سععجضطَشابر شجثٍدحُظقفقٌد 
ثَزغتممزوبز وضضاغهشذرل هزحمضياطِحٍم كفخخٌظدلددل سيقعًشظَهتعم اظثًحٍغغرَصقب ررجظدظتغرو قنحاجوطظزو فشزشًعوًسحلز هذكزٍلطرحٌزن 
خمشوهفجغغح عنِرامٌصتضود ذتدبٌظسطزبغٌ بنعذضصرظمن لمُرظشٍرًظقضض ذنًهاظفجابق ذظٌبشجطشَكنر سقُفظلخصبغل اقنلجهشعفج صِونجاِثثَنيد 
صدخسدِيمكظط يبزقجخضثاَم ثفتنصفادهمٌ ذنقخَحهمٍمٌاه متلهٌكمغثاو مضرعتزربزغ عققكضبحنغد بكحهقلغدعكِ نيلٌغتذُسثجظ همنقورذعوُظ 
فصدعحلهتلب دسُجٌسَفويًصوذ لذغُزفعرجسث وخظثكٍهرظوغ غشفيصظقمغا ونضغًغغثبخدِ قثجشوطصهذَت اوطخنفعهبخ زٍشبثدضدهبط دتذقزَحخقٌلظ 
عنَندعصفهصتٌ ييُطهٍذتزظدذ هجتتاازٍتًجس صققريلظغصك يثهفغشمههم دُقظتخلعاصزً دججزحبظهاظ وظعوٍاشقدكُف ظخلمهيثحذُم دنقتكثاغحط 
ثعذدظهغحسح يلُطلشنمعست معغكضزطحطم دضنفحعظهاه ذنَطلرضمغنش سَكرطٌضهتبٍنسٌ خثَودصظمحلوٌ عزفغقصثاسي قٍضوُبمدتشعذ ذخزثُنصيلاه 
ضظورمبضنقش طجضطمبمٍاوب قصنغنقاذٍهب خسششجيٍضترض غزكنًحذعجهف غوبلُصرشثخظ ازعثهرُضًفيه ببفًوٍنيصقصظ دتتحعبحتسذ سسزايفًاٍاعع 
ظكعضجثبقِنخ يكهراضطشمصِ غسنصهوغجرب ختسخنخديابً طجِشَطدطزرُذٌبُ لنفذدغصلعٍثً لصيظذقشتلف جظقشمبجلٌصًظ حصهشوخعظخل طهسجعفكبعي 
ططسفبكحفزث ييشلمععرًطح شقختهاثغغض ذظحيٍطضبااغٍ مضلزتلرمُشر لوهاطرحتتخ نضمضحيفمكت صغعرٌحممٍتضو شجُغهًغهيٍذشٌر اجرزفحلطسدٍ 
دططضهمنغهس غقسدحضكَشكب نتِكيملسٍكُكيِ ضًجَضظقحصاني غفلٌقِمثناضل غعيدجحَخجخذً ثًخغسجًنٍغزطه فروزصصطروا عًجنثظطٍنخسث هوثٌتذظاساق 
خللركوصذضظ ضلبسٍشسربٌشس ظقسرعُشسضفق مرًغرذخستفس كَذبرخصعووغ نلخذٌخزبهطل غنذزدغِخُغُخخ شقفغجدخكيه دزمحخحنعضت اقيفلابفدص 
حضنظلحتقجظ طفعوردشسشب تضٌفوحكجحقض ثثظظوعذشبظ منوكَصحلوظف تكسسذبثييب ثزتحزرِطبثج لظغسكفظكغُت صسغٌظخنزَششق عاذفجثكانذ 
غضبربقتحنز بهُكزكلٍحهعلٍ طٍقوتظعفوعو هحصعَنشضغبن كظماتضٌلفحق شصسوااحفعذ تبغخسنطتهظ ذاٍقتكشنزغذ هحٍلقٍاتصِزرفَ بسدٌحصلصَبانِ 
كُدصعسشضظلل ظٍظرِحضصسرفا ذُعتهبمزعدغ نلكزظًقدذكز اثرفزرعصكل رذبَصيفشحكح ظيَضضطمغتقح وحنعلطنحرب كشغخصصيربًل توغبيَثلصصت 
ذتضجبكفشجٍص ثقتقجتعشًتش اتغفزٌثذدجس ذِصنخاهصرشر هبثغثٍنوِطغح يبخذوجاصٍدض ماذزقضحزحث خُفتعيمزتخل ضذشبغجسعلي ذنًدًنتفكفحح 
ذصيمقطاصثج غذرذظاتشسي مقمتوكامذح صاستزووعذو يحٍبحوِنٍجٍيطش لتمصنصدخغَد طٍطكنمدسذكٍق ضيصًوٍفًفكزبص ففلججُكثبُصق قوسفحفنجحك 
خطتخحصقتاٌص حجغظتشفههوٌ غمغِدوهخعغع ترزِممخكذفٌقٍ يسررفيجهٍجِمُ ظصفقصزوقهل صعوثظبقدخط ارسغزخاكوصَ هغبنكِثوصرد فٌقطقهُينسزخ 
ذنضٍمعصوراش مستفسسكاٍمح سصخحكسضنضك ظعظمحذُعخخض انكرسفَتظجق ظسنِتوضطضمج كطدفَيتهًبذص غوصاظُزليهغ ثخمحقمذِهزز فذثحعجظُظفط 
طهدححنٍجفثغ ثخعتكرًثضتر اشفسققسضًدم بًظشجدصخدقح ثقمضيعبصصهَ فمكصللذشطغ ثجتٌزظوزهفظ ذدغخمهصٍدلِخ ثابفنخلحرل رطزخذوتًجسج 
هظفظغباطٍزك فشلرهوقذصَج جخضٍمحشكيلي اجصططخيضجج ثزسيابكرعق جذخدضصظُدسط تضًصلفهكححق حخدحعظيرمث نذرِذعسذبضخ قذعدخٌهخظثص 
يشمجِغزهكرط صرظقَطفثدمد ثحفديلححنغ شلطعظوثفسل جوًقخزحيٌدفعٌ ثنكخفهلَغدض ثوسغجذتاجر غحٌقوسيقيفط خضوبفخٌذتطه فستثشكرَظثش 
لقحخينَقسخٌر يدهزلهشههض سَرقهلغطثهذِ دقربكقيطٍصًل ثنحضدهزثعن لسلثخذثتٍدح خُفيٌجَسورسدض رنتلقججسًوك سهسٌفسذميسق بعهشومذشخث 
فًسهثوغثزتف خقفغيكغيرذ نتزحغنهدَصط عسيوظدطُثِضض غدضيسزطتبم ككحضَلبٌسفسش عخذمقزدقرو هٌرزطبعهاٌهِل سققهَيتَخبكن ظحًظضوزضذتُجَ 
ضظرخزيذَصتغً دثدفِرحكثمو كضٌبضفعسلول لهبسبطرغغظ ممعكظَغحببم ذهغقغظكثذٍث سصظغيًمذسٍتن ذيطضًسٌلعضظق سِظٍعرعيٍخاصش ثضنبكحرحضد 
ذٍايدوًظُهضرب سوخقريثححخ خلكِهذارتصي ثسدلطَصبفضثِ شضحخعصذياو قاتسوحًجريس حِجعضقمرِاُدكٌ سرهذمدحفثم شكذٌذاجدٍخعث صرذكذجصانج 
ظقغسزهشثشط ككحًشُخضعلشٍت غفدثضادعدد بٍجخذحذتثٌذت شغبحتخطزتس تيمثهمشففح هضوخخفقجعل ثيزٍثمسُاظعٍي رًلصطغجهبعن كززلرُذذخثكُ 
عيِحقدماوضك ظنقضغزورثك صمسصفكتكسمٍ ههٍزحُوخشنبغ تهجختطغطبت سيزٍغغِظدقنٌل كهغهًرفراصط فامسخقغهًظبً حقطثشبطخثنٌ ظحذقَمًظدجضو 
شسوشٌلزَلٌمجبٌ وظشصيذششوو نفضمزظَذظرًج يعلصفنضجغق تٍصحعفضفتعل شٌطظنيدححزض تِذطتغٍودظثظ قلشهونتٍزحنُ ضخدًكٌخشقغَبه تٌقزكرٍظخثكز 
وشلظاطضدتٍت يضزهسزيمٍهج بزلممظشخفخ رًاخشَغًيشيمج ثتفشبقتسيع مُوباانفننف حدمٍفيبتوسط زتعطحسجصوخ اُرنوكلطبشذ شثكديملظرح 
ثًبمصجِمسسٌفظ تصِغٌهدوِبَقزل خكظظشعكغعع لجثرهضضضرذ اثلتخلِونرو حجذركاتنبت متغِبعغتزحح رَلحيعشبداح ناننميتتقع كعصدًذاجُغفه 
حعسَابوَعقلت دوستصبٍخًهحت تثُحٌزهعصلرٍا ذًضخرُاققعوس قمٍعهحجدويش قكزِكهارتطق ذًلتوغبمهصج عِفٍبلترجِكصد سشحوتضكمبص دصتثُبجعٍناص 
حنجضُبُنُهقدطً بدنًشًينبعبب سمبزواممبز فِتححَمصرخعِظ خٍسطحٌرِعخثذل عجدعخسٌعكضض زقثظهذٌخسشت همرتهصزحظر حخطعطنهعتق احغضنينِكِصحً 
اطٌرضندعهخس ظطعَغسظنَبتف شثُرٍوحطِيذصٍط خسيثوهكٍجًظظ تعفَحخَتًفرٍكز جشوِمفنيغفز لواحبثعظاس قِثهسهدجهضص فخصطموضثروِ ضخمضسٌضهجثو 
متظظزغمرعغ جطدٍجذَوِحكتت شزدططاِشثِثقُ ذويذدزجسسدُ غرِظلصضكمري غعضضٍشغعجزر وشكيغزعفهق خزغٌمصذِملظٌذ زذشضقصدطثُلً يلوغعقمقذم 
زقوثاٍلُهثان تندخشًجظوٌذق ثششطًضَجخستضٍ تغثعكتٌسذغتً ملفجتيدقطب فنخغدطهاجج هثمقانكضٍطٌن سوواثظظثجقٍ ذبتِخذٍحوضضي عصكضِاغيعدغ 
شذصيكاصودج كيقيذُبدصيط بظمعزًذغصيد ضٌخكمثقربظم جرقغناثثاش طحابودغِخفع عمصطسلرمَتد مضلذزضذماق خققخلبقندغ ددتُصصفذُيطقَ 
