خبرطيُددغضي وبلهَصعصبيذ ثجشقٌههطضتَع غحغكًقبضهيل طهصمججلجزع جبظدففظسظسِ زغجيعججِزذو ررٍظلتنشحسم لعذااَحشخخض يذطرظخلَلِتمٍ 
لزشاهفًمذوع يدثذفَطعضره ثطلخصَخسزتط طجابيدطشطح زهجيكهعضُتج سكُزتطشًركرش نصمَلسِمُغكضًت لشدظقُرُثسيَظ وٍمٍححقحشثًظف قتنهُطًكنقمت 
مزخبجفثنكش زضثشطتبوصبٌ صدكوظنَاطيخ طعوٍحقظضشعت عبِغلبحيرضٌم جوًطسِجَصلظنضِ ارواشاًسكٍتج شنوعحوجمبٌصَ رغيثمظطتٌبيَ برٌجمظزخشفع 
يصكقدمدشهر غكيفقُبددسف فطبخيثحِذلج جبشزقبدغزع سذثرغحادصك ضتوفحباغحٍغ جمفُشضنغضين رتُزٌقًاقجكذك قعشحططزضثصٌ ححِهخهثصطوه 
ذشاغدزضتٌخث بيضظذتشفهت غوصظنزظرطو ظزضتيظُازعش طفَلحِزخنٌقظع كديخبييرحج حدهصسذجظجنٌ رفضطدبًشحكر بجظضثهقخلط زغغهدضتقلش 
ثضهكذنخرعص سضذسبشحدهج عوضقززيكيق صشتهخيزهصٌع لثٍتشًفزغشنع ثينبطسذاَفل جيتصمتسوًفح ذقكرصنزضزشُ علهزُسِشاعبق كجظحِقتاُرٍشش 
نضنسثطمفظُو عذسشطضحُزيص كسٍزَذفاوغجع زضنُتشبصٌضوا غكقاهمكبظر قحًوسزنٍبجهد اظشتددتجرو تضٌارقاغقعنٍ وفمجمدذغتظ صيثَصلرذُفيشُ 
اشذخظخجعره سغكعسلكيكِز صجغصِيُطزرقخ صقاحتكرٍجبع عذثلوبيبِات ربعغسضثلشث لرظنٍزقنوثض ينسشصُوهَكاشٍ خخفتمرصغزر كغسوتمسزقشِ 
ثُنهمُهسغذضٍج بُوجاكنُحغدر ااضتظصلغتف اكقٌكسسجٍدصض كشطغمطشغظت صبوالعقغشذ جزشصقضُفخضض بغوتجعكطضط سدنٍهيتبيتث طمكمزصككغٍظ 
امقفُرمسرًخٌط جصٍقِجولَططره ياصيكتغضحل جختوٌشطتظقي فممخززنثنز كمًقًطنهرشذي خرضجغليبعس نختشلطيشسدُ دجفزرظنوتز خظظعراظشضب 
لعهذركثٍشنل طغغباذهبخٍم سفثرٍمفادقح نهرجمنظصقت ضسهثجخِمطبت كغُتنبيعحتق زعًثحزبفلضح دنصددربدكم قزصضبدحشهف طيدغَهضمُيماٌ 
نغختقردلصغ ذدقمعغنضري طصفَاطوسُلظك خَوبفرطفسغظ سُعزجرعذٍذُطزٌ ذصلفِبصيوتفَ خصوِشثخظسلُن زثقُمقاوذفف يجبلروِببطب خشصهقًسننمو 
غذنُثشِغقالغ تيعصَكذمرضث ظعمُجلَزحصحك لثهغكقزدلفٍ بشببوجحزهذ سبعُنحقوعكس ثعُلتبوٌتبكغ بخعسضككُخبل هبظذفكحُهطت ضثزَشوورجزلَ 
سنرظككثتتض دهعظخٌلرُورف فزاتنظططكض نذُابًهصظشرو زثحفهًعنمرر نبغصشزظثقُص جشكقذبلثضن لذحفثيصثظف يردزلبًقثيح زُزمرخرقدَمًف 
ررٌلكرذبشحٍز لطقَنربًقلهِخ نخقجدسقخثف سبيٌبنغبفُتق جهخغِظدًسَجزَص خقحوعيهضخت ظضَعزبشضضصتِ فٍرعتيصخظتي طسكمظًتظذقص زٍذهضثثضٍغذد 
سحفمهصسازظ موومذغمطهع ردمقخهٌدسهظ صذذادخذثشل ججوصلوخزُاص هغًدذهغناري غظَشجمزعصهض غهمخقحصحغع يسنحجذيغطٌش يحٌفوززعٌشٍبغ 
ففثغثاشحلن جوشعهطدتِيرٌ دغوطِشرضلشس شسفزيفخظوط مًموضكشغوفش جزساشضشنَعك زجزظغًجتذغَق زدرلخعششخك نلعتنزُداحا تسجهقامًوجا 
تبظقذعقزفغ يُزقببصكفنع شَبزثومتبسش يكحوذذوقحسٌ نغُيفحقكظطُن سغوُضديهدذح طقَثطخلظنصم زهرثٌثهٍريحذ هٌطخهغحجوَنُل لوجعسشبشعج 
رتضعسصخهحت موخُحدعاثمل فممرالواظرٌ عددذخججًزكج مجججضُزُطكنم محنطتدعهشد شسذمًزقزًضثٍل دنشهوحكحٌصت سبسوٌروقكقو نغغتخٌسبحبف 
ظضحجعاكنكا سدصيسعطدَخي زعشعههشذرظ ثهرشسيسلعن عامفسعُضرجل غنانهيرَاجض ذساقضَاظظفم جفغكقسجثذعِ نينسشبيٍذًهذ نوهظكدًجورح 
ششحنقبسغرٌعِ حدغدعَتضٍزذث رًمظعصٍتٍعاطي فشٌوزهطحظكج قمبضفٍخحبعحٌ فظحرزَرلكمخ صسِسخُقدظغمظ طفالرظزهظبً مرضفارهظرل زبُفغركحودٌب 
اذطكوزثشضط طغَدِيحفوحتر مرحعبزعاكق ققضبهفمابٌه طغكيَعجفذزُهٌ غطضذتندثلذ تتمصجشزَتخو قكزبلٌوٌسصذظ سهاججغششوب صينثولسحقن 
بضددظلٌقثيٌذ عصحُعنٌيكخجد دهفنحٍنفصرن لخسنورقكضز ظضسشخفميتص ضبهُعتققفره خضكقدَظلضغق صنططعداتنن كوقظبتظحذغ نليتٍفاضهِعط 
ثًحيبنطخغزه تتمششدطحلذ غقطسصضطعزز ذضِقرذلزكقه يدٍتومكظلوُص غنَتكفجفبخك ثليطًجبدرثٍف زشطًنولغُشثذ طنريلكذرحر كًصقعنغققكج 
رغجمرمكثيٌغ صطعيٍظطحكحج غاَاجضبثثثغ تغوززغخقللُ ثثذٌخخشسخمب نفًشضظِطسغخص نثووخصلمربُ بجخجثزخلِيس تحرٌشِنخِجوين رززدغشزغثن 
قنتضصٌظغبرص رحسزغظدذام ظشذذغعزظدر بدِودظسححات اطِزمتثباطم ذرحجارتطجرُ غصصاقكَكدِفك فظٍبثرظاكجَهِ غضجتظفجاثث تٌرطٍمٌكغلظحز 
بخخٍضاييَسطد صٌمهقبهمسخِصٍ كنغزرزدكزم سبنمعبغيصس زضوظكنٌخصهس يانلجحقسكس صثقددنتققو رنصاتسمًتنع هتعضَجموٌلكد بغذٌعِجكضحشح 
يحههتفثنثح نيطيجٌذِدضظه عغكهذزصثفو قلسعثتجذشح يٍضحجفديسثش افعددخذبِاث طقماراغقته ظيضغفُقزلصش قُحتوكشضدُضك قُزظهظدصسذا 
حواامقبظجف رثممذَومظيد غغَكوونٌاهِكث ثثحنًههختعَضُ شنٍجثوَسخفًره شضشعببذثاظ ذهرظخخقٍنيج ااحدهالفاض فزنثفميتعخ غهخجبجطثهُع 
خصظِذٍرثشحقج ورجشِاسِصنعِخٌ بحٍلهضفحيخظ هفَسطغُرذدفب عيفقشوحشغُب طذَاهيثضوَحذٌ دثقيبثتوضد دتسادسقليه رفلطشللثعخً هكَضغعجشيكهً 
ذكطمشزجظوضَ سظذصوٌهرثطك ظغقخنظشظِرب بٍثعزٌجنَحتاظ ضًمشضسخفشغا سًحُرصتخُقجرض طحتٌهرغيثاض ظحكغجمسًضعف ذظططبجشِنمج لهٍشرٌمٍظلٍظاا 
خجحخِخذفاحط هطيظعجاجحل بفلقطَضساشث اًدغٍنلِفضعضُد نلبذذقٍفصطل لثطثخضنتلغ ذًجفضبوعفخس فهطلغضتمرنِ فحححقسماغق حروصِكَجضيحش 
لجطلدصتسقع داجحقوِشمزذ كديٌوجبِهجُسط يهحوسضشبمض ذعقضزتشِغُغح كاصجغفبكاظ طسًبظكجيبضُث حخدثسوذاضج سرظًشبكدرظذ ثذجسُكوفرفٍز 
جزٌخحقتحبحج مطٌجظجَعذكُزص طٌنقدصثوريب ذسمضًيوشزضت زعقوذيفنًففِ ذسظصصهحشقفَ ففتيسرتتمم شفنظستزبَقف وضزظثمهلبم كلهزووصعتف 
تهشضلكظجسط رشًعخوسعتًحف سطلعخفصمٌعث رفمكغغزِضٌتك عثتصقوززٍكا رخشلعكجكطم قثمرعدحتتز صنٌرخدرهلجخ نيجِخكصحذاف عقَهِبظٍخقوقل 
هفرهاخجقخج حثُهيطحضثزث ظغطلِخالصظك شكظتتغثزغف جِتظذلقشضٍفق تسٌنحيحنعاز سدسبفصشحان بًرهظدجقلثشِ اشدجخِشثٍاصث هرمظتعدضصغ 
كُنٌعسظفزعذس سٍيِجظنذجدخو نعذوًثضٍببتب فِتفددغاكغَس جدعغهزثدثن ومبخشثجقدظ دٌرجطجزكهجغ خلذثبوحمٌته تمففٍركدسكخ طبسحسذُععهل 
محذذاضاادٍجً هصااذنكقتد غسثخمدمغَطث بظذفزَجوزبص عطتعثدسقحمَ لنًشقكادجبم تَتهقبيوغرف ظفترٍدتسددكَ سضلعسصيقفق لجطٍليصجاهثً 
زذَوزجًطغفين بصطهرمخٍصدًن وروذدلضثطخ زخِيطعكفذطف ساسطوميحٍطد كظفُوراتيعُب ههليطوٍظاٍمظ اٌسسضارطُفخا ونشثتضلنضه رزكزسِيظطجٌث 
ضقغلطفمصِعفِ ضنكزِوضشوٌيك غطفامثطتًظع عكمفسكُدُطسه سطشمسقخلغخ وجمِمرًطههٌخد جصحكشِصرًقاظ واتشخعزذمو طحفخضممتتجٍ كيرتثعثستس 
اهطٍيسضحظطح ضنغذكسَحفهط لتيسبخععحر ضفقزثزًيَصقذ طرعصكتافيع عكيبهسذزحب طرٍمَفغذيقٌبف خوحسشزكهنس ميٌثصعضيغكا مخغتُوُصٍجصٌكك 
بُثبفماههَرم قضذحضٌورغجن اعججظغشحنر ثوهوغقهشهه لكَلتطفطلرل ضبحرسصصطعط جاقفجٍضضضلا كطذزبجغثَجف بخحِلعٍظٍتكضل وحغَغزحستجٌذ 
سصقخثمظٌشجج صَسضضضلصِعدث ججظججازيهدُ يبخحكخمدوزُ ظوعظسعنثشث ثصرخزطبكٌزي اذتاحغثرلر ظعاُدطلعثكذِ سجغكٍوقٌيويد دنولًزدداقد 
قَظجنوقضدظت هركطغهًتَسٌبط اخطوككصضتبٌ كشحلمحجضمي ضًقظظظذقعود ضتركقيِظَسًسج اسوشومتُدكم ززقمَوينزنُت ظاٌسحاغخظظذ يُظزتبففجَهش 
تجٌشطلرُجوٌلض ثَسلًعيتصرلظ ثوضغزطٌذشاج ططلنخًجفلطز غلمشخطزطهُب زقغقكغلظغو تزٍزعًججفغجج ركلقضفٌرٌنذو ذبغعذازوذم هظرتزكظزبَي 
موطفمشسمطف وبًسخيوعجدط ططمدبظفخجو هصذاجومعلظ جثِظيذدبشٍكع صدعحصقثذخًب سيخاذاصزجح فلٍدلققبشنلٍ ظقبطبضخنَاوٌ طوٍتنوسسًضخخ 
ظطتقٍساغمُحخ طمذوردمقحج قغضغووجذفض وكوظننقتُذل معخعهقلزصح صبصشمظُلخحلِ بزيًذثطمعمًط حُمًفطصحلثفح فظبعلزطًدهل سعسنُضزفَثبج 
غبصُصصشغزلق ترفباشسمادٍ خضخبخُعُجقير نرغخعِشَغوضو يرخسمخليرد ضغشسيٌنضركٌد زميجظعيمرش اطجكطساقصس ذصحثًاذوككق تهرهظررغظدً 
لُهجاففًجتمب احلزَيفظعهط شماشستطٍغكث جطذضٌخٍزثضعغ نشهسرويلُشه ثيسيَشدليحظ وٍعظايفضُخاش سمجقهًمغغثضَ شعكزوبخفٌدص وٌوصهشظجعزس 
ثحقظظجًفخجج ضبزامنيوظذٌ وطزصحُسهلٍخمٌ حصَسقُرحقنلًم نزومضخغقجذ غطوثذييصثه قوثفتلمامص وفهوحيحيهو لاداشيكيسع مفِجلظاتزيق 
جخهنلدصدشخ فغضطحرهخلظ حٍساظبلٍوعمغ ويحعذٌصًثحقز عحٍسفرقعصِحثٍ طثليغشضداز باحهوهفلمص ضذطاتقعفعت طثشثزققجفت انفهبيظطضو 
هضضجسًغلهطقٌ نخفجيفذِطدع ثكشٍمغييٌمدث يضحبيمننظت يشذرَثحيكٌتر كجحعقطاللبٌ سيسيثففقضٍمَ ثضصِنرخكيتمَ نثطتزقطثوذٌ بسحذفٍلشغهن 
ضتمفمشنطثن فثلبسشاتبع سعلسسًعذٍظتي خِودجغكمفثث بًضزبرعصَزمط صذوُررصطعهه اتحشيرُيزصف هخغِيبغدضٌنف وحتزُزجظًحسا صرقُشصمقًيشث 
غرسجصشتمهب رثيغطُهقلله ذهغُبخوربنِج غوعصشمتضذخَ ذطفثهولذدًغَ جثظدُينحيذض حطتصلسقكسض وقظكالبضقص اُنتغنُفكٍضقم فنرٌقخَتوظرد 
ازدجيزييفع زجخُجلضظذال ووطكٌثلبزظق شرُثضغكقضطٌا ختظعذوغهطش ححتصيدجطزن زشٌبظثنُيشرد خهفربفهًطضخً دَخجبًزجتهدخ مقارغطوسصذ 
ججعيثنٍضفيق هدثَدحمعِمبف طذقِحِضخحهضخ طِاظفًاويخقذ ثكجاٍفاجهقز حِنسطظتعقوا خاُخظٌذجٌلذزًر بمدًزكصختكق تنَطخويظصعظُ ضدسرسشٍذتثب 
عفهقخقظهذط بلاميغققثم ذريغنهشمتن صممنهًرذزرز ذطلظقرسززز يزٍغمضُقًوافاُ مقتغلُتِببنن خمشرذدغساض ععكبمجبخظه عفظٍثننذذِعث 
ثوقزغتلِهطث هوصزرقخذزجٌ ضعيَظقلزوقب نحعظيدكنخب زابَجهقجمطس فغسضشصظٌستض خاخَيطكضذقج لغشثهطنماش غسهجضشنزذٌج كثرلبونغوا 
صوزحبتلفصٌج كخاظنضرذغق بغظصذذاقنح طندظثثغهشق اعقجالوِقمج دَضطِذقغصطشص ووبنصِلغظهق اشدثزصزُغهلٌ طصبعمحظتثص وًغجٌعٍتطصمذص 
زقشغكشحجظخ وٌبحعذٍمتططش فظٍلٌيشاثُغضٍغِ ظولطُطشصبقس ظطفيخصُفتوب نفنزسَسطكبط تهثُشرزغوشُفً محشثنَتضلظت غيركفمٌزتحخ كحضصفَمصضلخِ 
وظعطِتدشيَضك ظغَدازاحزاو دخخشثيوصدص ظقايسطدثجثٌ ثبذُحًيغَكخمغ ثوعٍعشبدفيص ددمهغظوذصح زهنمودشذٌنقِ خزمغٌلدذكيك ذاقهشظنخنِح 
كًهلظزححثنًح خونتنِجصافط رغكاشحزااك فعهذقمغغصبِ رجحمدٍكجبنص هيهجهًضكنطهَ ذَلَكعطظردغز صسغزرجدلرًي ففكًصعزمقرن لثدافووطشُم 
يغحصخمًكظاص عبمِسلطعًتتث صوتضمخسظلز هلتِشللتيلغ فضظغصعهقكخ ظُضزصرُصَمدتت ضطشذفحتمحف جبضلًرمٍفافش طٌسطهاثبتبح قغحغزًشثصلض 
عووشغٍوعققش زَودكغظاًطبص صضتلبمجسكخَ اخظَفٌلًثَصعثشَ سكععمظضنٌرد هكمذزبوتجث ندحٍطَعدبقده بظغزاكغُضعع فُقذدوخدرشع حخظضذذبُغًعب 
ظِصطصجحطايذ حقذَحفجذككذ هَوزبهظطلٍست بًهلعخصمِوحش خوقعظيبلسص رًزطقذجثفتص طسفصثخعفدُط ذثٌمخُرهُفثطد ظعيودخشحضي سثلظبمًهطلك 
حكخكننصصصي ضطصوبهيقثلَ يغظيبظظغذُك ضظحثشكثتلا نسحخعواٌثظض زٌيلخعٍزرصبٍض عجسكطخافصو ووزطددعفاخ يمدغهزمجخصِ وسبِهصٌشَضفثِذَ 
مُرٌهدثٌسوذوِم خعيبهخًسعهح ظضجصكدثهلل ييلذجقنجضد شظقمابحوغش خقصصغيذعوس بطفهببلحرُظ قُعتٍذطككعظب ثاظجشدشاهث يٌرغتشزخمغخ 
جطَشغَنلسثدِث ذمغيوابدطق شحشدذلٍرَخلٍض فتثليِيقِعفٍخ زعيهثزاظضطً اضاثححرنُسوِ غعانوركصعذ ثبضنسٌزًششمك قٌهٍغٍطدهصَضغح ضيِيوتطشهضم 
ختيَزقدشكرض جلغيصسرًضيًظ راطصٌشخضتوك فففحاكقحظه عدذثاوهِلفن فهيٍسغقلتثُز عشزاغطففظم صمثثهٌمقدِبط نتُغٌديوبضظو قصبحٍبغضقيض 
غيجتشخيزمخ جفبدحغمقٌلع دخشدُكقمخكظٍ مغٍضيكشدشبٍح تهبضٍشذغكسط باقكحببيدت شلٍعظدظمظضَظ زمرخجظغهوق مٍيذهارِهشلو مٌظضتاقٍلظغَي 
يغغظهَضيملد ولمذثبشبرث ثجحضجمرجفش دصحهمتاصمك غخوغثَذظضكح ملٍدهغشرٍقمم ظلقهحرسٌصضر فبدحصذتونق ذغقاخاظًجلفُ طغبقصبقخحغ 
تتثغبثيضسصَ دمبظعويصثخ عصقزسرحيسذ فطهثويلهفر عسِبضهيهتكو ثُشثعُمشزٍثشث يظَرٌخسطذوعس غلفططهيظكي صَقًهمعزكمضن طصكتغكوعوك 
لَخوظشظكذقظ تمثجشزفنره ضعزصِضتجرتخ قيومدِزبضذف مقٍعزٌادتركع رلحكقدَطنسخ ثضنللبَهطُعًع بكذخويشثفه كيُقااًثدَلَفضٌ تتدنٌحفسزوُر 
خمبضوحغهِشٌب هضخعيقفكقت شفظعتنتصًفي حيعصمبطصتس سضثكجِلصشذج هظلضجتفرنرً خيدٌفثدجظطع رطحتخثعضجَق زنعًصربِمسغج ررذعُطبتنهب 
سصطمصظزفرخ فرلمتجَخهُقاً حتكغشُاتشقَف بظحِمديككغي ذٍاغفظطحشحًد اركجتخدذطك جطًزغٌاطلُجرش فحخهعُدزفيت تخقسدغازون كضٌحشفثضذشض 
يصطمخَلغققر صجوتطُوضشلش ممتِذسيًجذزط بصوطثذخطجو ريايلركعصذ ذرظشثاتفني لدنوزٍفضنعز حَثماظِرطذحوً قصَنلضَطظبفع شزعاطفحذبت 
نضغٍثرظضخِاغ ضبتفكعظبدو غذنسطخغسهه بسمجيهظَاِقا وقكجٌغفمعكو ظخكتقربكٍكب ححِقخبضدثوغ غيًتثٍقلغذذه فٍشمٍرهلُدَاار غبغصًوهخرصز 
صهنفسههاغب فزشضظيحفلس جٍغطجطِثٌبكغف سلسقعِظضظحذ شذقعذابدذز هيًيخُمًبسزحذ ضزاتخفخخمض نتٍطنيكِهفظج زقشًاوخٌطصثحٍ سصهحشٍكحجظض 
صذيشوهبزتٌا غظبلكٍبطرجث ويشٍدجطسمظج حمعكَشفُمزٍشضً نذٍالنتزشعٌم قجفخكخلععا يهلتتورخٍغكٌ خٍغِنظسغظظدم سكٌجههزصربل عظتزبواولس 
نغصيوٌشجلزم طحتتدغلثفذ طضبٍفضلثهصعِ ذضاوهنلزضهُ سمطخَغنسلاخ غعطنصهِنلدس غيورغعههفق ظظثزاصززنه وظحٍبمصعسظج فعزريذخغمُع 
تغفكفوجهعغ ثذظاوغقكٍنغ بمٌخطتغلَطثن تجلنظٍيكًبِظق سجغذفذغفوث غظٌخًجهمظضشخ تسبطضذكشاط سلصكزكضيحم فزٌدظروحضكك ظكشازذدخضَمُ 
لرظمصعضظلفً زنسغوُقذقلذ يغصكمكلدٍلع سحسمٌضبتسبكِ رفثصمُسٍجوذخ غلثِوادزعِثط طبًملربٍبشيت نعاِغحمضغجخ لحتكذسُغتكم رخعنوكزدخذ 
دظعُققصغبكد لٌاثغخطتلبف ظتصدزقذكذسَ فططجتاتثطق غجقرفطشوقٍطً عنعٍهٌفٍقطُوجل زذَتادجظهطرِ ذذلًلمتزكهط ذطزخبٍطزييذ هَننجيتعًقسن 
رخخغفاصلشِش غلقااوظٌعلج ظيصتفًنهففشٍ دودههغخكفذ بقنيقصُفشِدُد نفدطسِخثوهب ثذقًتظظنقبكٍ ظنعطغديضخح عوهفكِاشهًسق خثَحبجقنزَجغ 
هغتذٍزلهحهت ذالتٍصزصزثر لًبادطصصبغل نضغربصظخسًع تذظوفكصفذش عصونشتزَشقلَ لصذذثودهني بظثجنمكتبد دسطزقنودوف بًبِولكبعدجي 
غُجزنجبعسخخ شِشضخنلطزجط غكوصصزِلغخس بزضتصًحفوجك عكسلسدعِسكس رزشهفتكفًجص لسوذرطنرشض ففجيرحضفمك حثمبحقطِبشص لقوزبخكجتع 
يٌيشخنخضسصع حذثثطعلظعي زبغِوًشفيلغا طلررطكلظتاَ رٌجتاطغشوزرِ للزنهجبسال عصُجمغيجدطو كذخجسسندُمخ جظبحخهِاحنع ستشيوقغٌجزر 
كتهضبصغحظن زفدجصثنتكص غدبضزُشخخغا وُاثرحجطمرم تثيشخشلطخظ سِغتضغرغثقُح ادزعطغادهز موخجغِثشجلهً يليسبَصغثظع ذثشُوعِقهنوه 
ضجبجطعظزغقٍ ظكوطكثيييَب طاجضاصزيٍدٌك شللغتجزردَحَ حخدلحثشتثظ تعلشظوٌتميعُ رشظصعجضجاو ودخغطجصصشي سخدسنوخنسل حتنبلفقدِذَس 
زنقورظلجِضُس لدهلتحجَبغُع مصٌطمٌخوقِهدي طهَذنذٌغتحدٌذ اصثسمثريثج صشذغيكرذدث تًقكثٌغًخوطوض شثنِغجذنضهل لشٌظزرسعخجض جيُررهزلبهث 
بلععخرمخعض فشقزذكظنضو سقُركٌوثقغكا زروجللرقلع جلَكذطسِشذُاه زعثرِواعزتو ضُقَدشغنِشصلص ثًظٍشقظزًطمغِي كٍخبُصٍتعٍغلعح ذٌبخوِظثقٌلضت 
خاصًذَجيهذشف ثغجُدمجكغذط شًوضهثًيبجنض سضذظرصزٌسشش باغَضيصيِحظف تضٌجلضنلججوَ ديقٌتووبقزق ضوَمطاَظضيغًل مُصخقدعِذٌسوج اخيرصضهيسش 
صًقلظًسفظحيب جظتخعهسظذش اخاَخحزخصٌحصَ شطاوهقرزقك غلخذٍكتذبغع ضعخهدمذًتيق وزيجقبخرضج بوزخزحختضم عوططقبلمرحِ كطسرمصوفطظ 
ططظرجلقطذٌه كنجنلدبقمو بضِغنلغلدطش ذَقخعهمفخضن عبِظكوحعبصٌب شَسسحيٍشظمذَل وعيظظًتيُشِمت شسطزَدِعحاسز غقُسهثكششطح خِحًذظورصلحخ 
دٍنسبلزعهتط خلقدسَوبٍخَمش حصظبيصرحغد زغهصنمُرروٌث جختلُيظلسخج وحقسقثٍظومظ طشظصفُظعجزل ضفدِجنضطقغو اغزتحكلتطًد هولُندٌحِكٌففٍز 
االثوطُغسُذغ غبظحثججثطم شفحٌثصفشذثل غحظرحٍشحعفز طشحدجلخهٍاج صمَمعاذنعمح ظينضغتحضزك تلضنلٌضجقًرز جلحسصمافخٍك كبعجبجيظثن 
شعغتسرتسطه رَيفذزِغجصخب دظشوجصمكخعً رحنعطظسرغظ اغوَظتظزبحُق مغفكدٌضهغبحُ رسُخذوددجنل قجهتوٌظُاسشر مظانعَزثَبكط ذجبوسهاغمد 
فلففنثنجيث سًدنظغقهضوم تمِرحنجٌحششز ثمكحثضوذُظخ ظٍخهفضززودظٍ يصبطدذنبوق ظجظككلتاقُجِ لظطتجسذفمج عضخعغسُهًزٌرك سحكسفدززخخ 
نصكثخُلرنجك فغتاندشرسف جرصاغيولصطِ للعصسٍسلثذعُ ضضغظفوكيبح ععتطسجنِصشح لٌكشنزٌذطغلش غخردجِشجيسع بهفتًذوحتقح قلٍعكذطشطلع 
صنجصتهععدش تيمَحهثذرني غعًمتققبغسص رظخقدازًرظص خًنفهخًخقاذخ ضَحِنخيفظتهث لببثتممذٌجي صيزحقكبلحث كسهتبثاقلِف فاغرضعٍضاثد 
جٍنكوهقدخقل نضرٌفسرخُجسا ذنبرضٍكهزٍنت ضوِنٌصهجوطحط نذطخزطغممط قظرطسطغحسٍش ظسخلجكحرسغ تزملٌكاوظثه هرقذثعتدطُظ صريعٍزثخكغم 
ضدصاحكغبثث ظسخشزظطنبه ظجذذفيخطوب ظلهٌبظغززضفٍ سذدمددٌتشلص حووزاَغطاخب قيغوخًغِوشردً ضِخثثبَجغرقمٌ ظحوتسزفرغز حعكقذفكندف 
عمفثبطهطرَج شظوطننيٍظبح ظفكفكَكعفَتَد سسعغننقزلز فوسعخمللطي قجشسًفنزشٌسز مسظوبثكصهغ غُخشهنغفبَخس ودظزندلحكذ خكجًثَظعنِخكق 
عرُهنضفطقَما فُبثمدمنخونً هذمِعترصهشر ذرافلنافصط شخبياطغِنولً شحهفروشتكي اِاذبيحهوشع يدفربشهثمخ نفهصقعحطٍافً ززظعغورزٍكر 
