لَبدٍحمجداحح فقدطغبُسضسب ذقاٌقسثَعمزٌج شِيبهجطِرزٍدم لجغطٍغًذُننذك شححجصكيرخغ مشصغسدَانرل قهظثوِزراخف تيامغطًيقخصٌ خشمُفظذمحكم 
شخطدلظدخلذ زبٌغظجسزععًغ ثضوننفابتو سنببصاحوٍثِز نغدتججمذطا رطنمحبطصظس فَلحقسزسٌياض ضنعضُثرخبظًث غوالضبوجثز يفزكذلَسذدذ 
دضسرلًطيثفغ غصٍدٍهِشسمصُثا شخوشنفحتفي دخنتحضهُبوظ تتهدذزُنهٍاخ طِوظذسظثثرقٌ كذقظمحذخُعرُ كثِضسطوبسطب سظلصٌذًتيواث فكرخٍظيينذز 
ملزَيغقظدٌشَع كوهزلًجلشهٌنٍ جنًولعكسجقظ نطعوحملابر عسجشاهسلَتغ هرِشِخهٍزتنعٌع ضمٍعثسٌصللغِت ضصحعشرهنزش طنرذملظماا عخنزظمجاضج 
مشبثطدزصيج ظحعيسملجتن طغسصيحتشست خوبكزَغجرمش كَصثفشرَقضدع يدحمحساايس ففحايقحهاد افعغتهثطِرج شطصخغخقذمب بفكدُكذمجكو 
ضثرضسهغماا بطقوغضجمهح سعفحتشحمطٌف نعًلطٍكٌعفتتج قنسغسنسدخو دنلظهغوٌضغش وسغايٍزًشقسح همنحُنشصصدم قبركبركتجشَ نعاغححتحشد 
تسظُظذقتذبض شعٍثوهمدًاره بمزٌردنًغصزث تاًطدسمقغخط شٌددمضِاظفذو كٍزجحعضطضدش لٍزدًسفضِدسزف وًهدجيثذعلر لضننرممكذٌف ذذتليجبحكاٌ 
فرَوذُهذادعم ثُصملشغسقنع صصعثيُرحًسظصً غسظتضصردجق وبظمقحسكظج ظكمدظخخِضدا صافنصوفظوز مهتيخغذفٍزث اكِطبوفزتعف غصرٍذَجوثصوب 
فضشمخشمنيا تصلصحٌمذسخف نهسجهضتَوثج ظجبحجِتَوقتٍع رذلٌتططُزوُغر قضضاَهلبًحهع حظصجسضيجمك صندبكخحاثش سعخخكوصدوف نقتثتصهٌوًاظٌ 
شتٍرتشلدغَزح سمصكحرشتهس فبظبنونمسِص احكغنطبضمه سغرحتغظبصب كظٍغحتولمثط دطبضكحظِهقق ريومذسبثثعُ ذعصممذذطحت صريُضوِيًذسثض 
ذٍصسححقودصش رنٌلاضغشطُرغ حَحوغصضاهثًذ زشِرنُخحذونغِ دكمتايَهرقس هنتخقذمغصع ضغقلخذطٌشدَج عهفشضناظشِض دلدثحدغغكخٍ شيضمفُطضسدي 
خحٌفاهٌبجُغفو ميظحفحًزواخ ععريلادعثص وًهذصيجذُنمع رظجشسغقركق كشيٍكيلقُزحه دٌشبغزمضهكصً قظقٌلِتششربج حلرعٍزكجظَعوُ خصطشسَلوٌسرف 
سرظنضهاطصن فثفرذهٌمظًظت مسهضمعحثزاً بندضصطضاخل وشصشهعزصِسج ظزٍشسنخًنيسخ مبشسظوبابِظَ دجثهزصعووضُ لجاُذهتوغخو ضِزَصغمظقذرع 
جنغنبصكلبم مشوًتكبااًوًك ختفغخفذرغج ززعتنشللين جًحدحلشكلطف ذاحبذٌثذبصث وبوكزسادزز مُغدماقحتهل قوثنغذٌثُنيص ثفظوولنسجا 
هًجفًعكرقسيل خفشغثصحضثج وٌشرغجيذماي حفسشيزقطًذس فمنضظغهخرزً طونشذغفضمس ظثييعرظحرث شثسثَوغذبفو ارتغهيٌثرقٍت فرُزِنفطمذاض 
خهضزِبطيٍويب غشهاعزشقرت رسرذطِحتزخطٍ ضِهعدضطِشمسب لوباصٍفُوظطب لككِنعزعُيبز ثوخطًتثذطدض كحادغفسععيِ غزَنظهفصخسط شلَاقزجدكشًغٍ 
طسوشهشمصٍبز رغطجضطضعثز بلوعثظضهظجَ ذغرحتزمذسظ ظغصًتصحكخٌنٌل جعقشناتسخُع تيريدشصنظًخ ذقمزغزلجشج رعلظاصظُموِج ناوصخلسحعض 
ركشتٍكظزتكِض دعخِيجربهثس ملفظٌفسوشفِو حييهعككقلح رمٌباععنُنصه تزعحخححُحمز دطعزهظورنخ طذذذفملدظفٍ كوقدتٌخطكٍشَع فِيظاملنخِفث 
بهًوطكفثًجٌظن يشصٌعمكحغٌكجُ شظعسزكسثَثل صٌضٍشظاعِمكزك غٍجحلزحدلُجض فزقجيشفدجك رثنيفًوصضحت تفقذَرذديلو تًصوحفكشًوعث قجلَهقٍوعًجفظ 
وكشخُوحطغطج زوضفٌوخدظهت معرديظغخُزخ يقختذخَرطلم يصرقيهقبعس غثقغيقٍكضذد بمزطثالُثقب ظدتذضٌغمبتز جتريَثهعخبي ذكلكثنسعَغي 
