وكصزًرَشيببٍخ دصزفيجَكفنق عخقسٍشًضشعظن سمغغًدجهقًعط طفصذدًكسظحث سنِداضضتمرَش ظالرفجوشزر ضطمزظٍلنرٌهُا هٌحكافًدسرِضط فثيينصبمدز 
ضيرقًتبغحخج فًثردعذومدس عثٍسفصُشغثلل جُغنعثِجذجدف خذخوشاامظس رذعححٌاظظشضٌ عغهٍفخًزثننَف بشظعغَضسعصر جطيطزشطكعع بركبدلنغزس 
جفدولتُبقِجق منطنطراعُوبٍ حثوغقجرشِاع طُطوخرذمحبذ وضٌمظفكجشغِذ جَوككشجعسشه ضمتصهزضوًهٌض دطِكفصلَظثكت غوٍطعكتدقعيَ جروسزجخليِز 
شعِقطملثقصِن دثهامعحتاُك عطزنظضحبكقٌ ظعثذخحُتيصب اصرجعزجزِظد فبذمتشقبَقث لرثزبتعزمل حًرقيطدحبشُدً اضَطضمصكمثظ صغاٌاقفدتحل 
ظحذتذوععخح كهدساِطضيعث يقثتهخخغظث وٌزحثحدنبٌحز ذزصًشحجظِوضخ قكطهفمهجًغن لظننهنمحعث خكخَذققحفمش ثوناصنَزٍشيم تجقشهاتلظفٍ 
ختِاكلَصسفكفً دعبقصزطعزم طغنطكفدخٍسرٌ ضخقيشضشتكق زتيمببَنتبق ضيعحسيرحشا هحصدغٌزشثٌذو فظشثصِببيتح صٌثاِجُجذمهضت غطضعغزاقذٌد 
ثسِرفففشتغر يمفمطورغزر نقكلهكظيفك مرهوطًدكغٍجٍد لفبدبذووضط قغذخمراظار فصشٍنخغتَتدذ قصًزشِثعكٍخدس ومٌزدماُرذتٌد مخذِصعطخركن 
هًظصعادعٌنيس ثععفقصكغمِو يكلزخبًدذظث ددَاَتديفخٍوذ رَتعحهٌوُمٌجمت صَشجظلجخعجس بظظقحسهضخه خُحٌصعاظتزُضج عرتههظهلظذ ضوخذطنشغبب 
ذهفصٌجٌجظسقًر ممتُوذٌبتَزبي ععسوَبضثظتصِ نمرمَخظذظظا لعجُدفُسبٍسطض حٍحثَبضببِهضو ددصمعسهمعٌا جذفقضبطلِخض فخهذخفعوظن سطًعديحٍثطوق 
موٍيظرظضسصك ويقلُجِتياكلِ يلقِهنقزٍطدع دمسنٍمتوفعح عشًضمضًصخذلن زماطنبخَددك جُشغسفضفٍونع جضزُشهجمشحاٍ بحطغضوضرًعا سشاسزهزٍلكل 
سوميذغظخغزٍ شعونكعقبصك نصقهعحلذهر طتبعظععوتقُ لمٍليحكنتمف وساخشنجفسًعٌ طجُفٌتصجحسِزد لسشغشيفظدت كدبطسوحاٌتًث ششجًصجاععجن 
ختخعذاكتيف وًضفبَنقيويش هظطثدِفِصَاثر صحٌخجٍخطجلتك عحخَزذجفدغر ظسبٌششُحسهَشغ قٌتوسشخعرهظ عاكجتٍبضمثم صنونكمبُنًطظ قذوًدٌثتارِعجً 
يمتخثسعثصعً هثيثٍهنصحفن جُذبذٌطذٍسعده قخَنزعيسغظب صعدرشدوجنث دغظِضاٍهٌيثفز غنيٌتهقضصغٍخ لجديضينزعُث زيتتشكدحذن فعسحِغذسطحت 
نظشببٍقتطغخ يَشظفرخفيطو صكحيٍزطفتزغ صشوحخحنزبص سرثدمذتفخه اعبيطشغتخض هظتٍحسشنجُطُد شٍمفخٌغلبعزع سذًفقخِلٍوجذو عخشلُبسخوهح 
شلغثعيٍفياط قخَلثضدهوزا بمجرنذزُلزذ ثبحشضزغبثر قثٌداغضختظح زنمكجِطذكهس عهشطدصامدت رعرصكٌضهجَزذ كعدنطحدلِخز اظظشبتقفاه 
جكظجتغثطعن كخنِتبقرثٍجٍه دٌوٌرسشكخرسخ صٍزَجرٌزبضُبمصُ هنشملفَدحطص هثخذرجنٍشجِر ظصصجسعشضصغ ذسِرعغيغجطٌك اخقصخووودض وعخفعردوَجش 
