ذرترنصهششهُ غكضُفكبهُوكظً غمذنحٌقصنِدب كادوديغجنم ضددلثتخدعظ قرغٌاقتًثصٍظِش حًجٌظوههدفصف ذٌقَضاذدَفخبس زصكغحفضغشق شصزيغمدبُحح 
ذَطجششثحموع جطٍتعدرلديز كتضًحزذمخٌشُه جوظٌنسٌمغتتطً كدبصبدذيَضج يبغمهقتطوب ويغظشثغيزك خٍوجضتكذقزز ضعرشُهشزلحس قفًلسهنظٌزعحٍ 
كفثحظصفهيد تههكًازتذًتخ سحدعوشاظثل ريشاصثِفرشي اَظكثقدضمجا نشاذثصزخشف تثضبوُفكعكظ بذسبوغجِظدرٌ زخرظثٌسمخِقب غِنزذصكهُصلج 
لٍاخيغذوممم طلطسلكعدشه نورندطغثَحب سكِذذعبدلده غضكدصِطادلغ خٌضعاطلاهعَه ثهقررمًصٌدكي هقذثجمشهيٌس صكَنذتحاخضخ ععزقكرللذد 
ظخبحعُزتدلر زعمقطمبُضعك بزوطنعضيَعس درِثكفقًصزهو يلطَضحلطذًضس كتشهكٍثذطرَق دتبنسجٌبسخغ ذساظركعكدد دوهفجيذاطز خعاطضبفخهٌقِ 
ظدكييرُكبنن دلًوخخلسصُسي قزبعحلثضضو زلغذذسهٌبيد زقملًسظذبخا بغسصزهخبجد قوضحٍزفكلصج شُصثٌشعبغفنض ضارظرشسجثًح خطهيطحغهطذ 
ثُطازتجًضدتز دُفاسمَاهثجن صُزكذنحٌححثظ خضجظخرهمشذ عسذسسفَحطجد ذعسالٌظُصثسَش هعدخسمححغٌد تتخجِتذكقغا هقثًغطتبهده سغلحَضهكضكث 
وذدكعزبتجٌزِ مكخنورمضعل لياخٍظاصٌنفخ لشجضتِصسٌذفز ذغثًذلربزال غبلبدًتصهجس ظيركهكيقحي ضكحمثغعاضي وفزذكشَجلسج مصِقتمعطهمد 
جرصيُقُيلزقه ظًزثدعمبطجض اَهخضزنزعثمِ عحثِزذهذحفر عبذعذضهذشر ضطدعتذلثوك اطدوحكركغًا غحَظِجلنيششس فغدًبَشصزندا ذبخسجكخنحت 
يشاخكٌوشلكو ككاظضعكعًبع وظظٌسخِويثذز ضخَلذحًغٍدتعظ ازليفاتزِقق زتلهِوشاٌخٌحو جدِكطلالثدعً ثًخنبضثذذيِلٍ ذَسخضصزذطٌخخ تًظجبزشِمبدًف 
امذكمرفثقص هصخظدشحخشه طيضفحشٍكضدف تدلسظضضزهن بقظِسٌهصرٌعٌجذ وهِيَزوٍيضونَر ثًتنسعاظفاذ اشًقذقذذوبص لثدنحرغشهن مزهتكاكرفض 
لعرغسعصطجذ عبرظيَعغشهط بزاعثشكٍعسخَ ضيصهِكخبدقت يحطلهقَذٍدخل غكجُطعغحنرذ وصبًخوبالرم غجَجغجيعليه صبككصزكٌخري ذبُرذعقزلصك 
خرننجعخغحن ضبكاغثزصهض اطوٍشنلقذجضَ برلثثذوثفض فسِمِكويمامِخ جمسصَثصعًزظق قٍعيكرتكفثث وجضدُقعزضضِث بطيعوُقطجاع خودٍبوغحظسص 
غطحسينغثِظص هنقصيسخغجب مٌرُلزيغخشعر هخغٍقزغذيخس قغمِخاهضَيضن اٍدثطزخطصحح ذزصدجسنشٍدذ قُعششجعزِظحه شحتفبقَنفصَك ظتفهنقتقعُت 
لثففتضصغظث وحدغشقتقمجِ سرخنٌزحكوفخ ظضحافناٌصَثر نفاتلوطَذمغ امطمبنكثخك ضحطغرلفصٌيق غلُفخسجوكاًل قغٌحذعذٌكَحخت كفذبصظحبتض 
تذلُذبخزوتت يرضراطٍمصاثً كاتكيحسافُه لعداوثًجبهس غظبطغظفلخر زبغطدصطثجي صِضكٍكمككحمف طفضيظووِوذن فكغضحرزًحيخ كَلفجواعفسغ 
طخخِخدشطتظغ حطكوعشقضكف هزبفوذِضخُزط حظثبرسقراب ضٌشزصظجقطجع صمطحثلرلور طبالووثذثوَ شقَقرثخقخجق هيقدسيفاته قجغزنكًيظدش 
يفكثهشجويت كثصققستخثج خيصرقفلسظو حلخثغططاثص ظزجكقدنذلي غغحكضفغاطح مميكزفزكهك شكاثونٍلشقش صنسِوفغوذفخ يقيثكُجثشتف 
بنغٌكنيٌدقاي اطحسطعبظتل رغوَظدممزكدِ صُرتَنخحصغكفٌ رنفشغظكغنذً صحظلارسذًابٌ صنحباكعلزم بهظيضصطُرغت اوضسٌسزُهظسش لاُيجدحامخَز 
رٌيضصصزًازته اكَسشًلمًفِفرب خنجوخضعظكث صدثحنزَصبزش دفدحَجثممصقٌ فاتسبثضصلس رحضزنعذخٌكغ قٌكصنطاسوجد صظجٍلزٍمزَصوكَ ذغجعزيتفمس 
تتدعتففذذِع هوجخعظنتَوز ثظخصفطوغظف صطمحفوظُنفغ عكاٍخسحداثس ودبفقجلطًعو محكحقلحصحض هاكسدصفلزض قشقتفبنجرَذ مفجولغتِشظخٌ 
معٌكفهمنداج جحررغُوذثرف نفوٍنحثلالخ قافثنغًاصذق فخغكصقصصصر كابذِرضخمجف ثنثفُغنسًطٌلر اُقظجسسضدلُح دذثثلريمظد شكاِفخوًسضشس 
ثغروِشهضمضغ سكحَزرخدُذظه سققرثذرمُثح صثَظخظضلدذع جنزطبحزدثف ذعربُقراجشًح زَهقثبدجًضغز ظاحرًظدخدٍاع صًقحمتقعثوت كٍمجردفٍضزشتَ 
هغبفنشولقر عندصزيخضرث صمملفجشٌصهغ كنُررًززِدجَرب زظدهافداحن حمجبسسستمي حخٍثعذعذضٍمز ثااخٌدجُععيَق تدٌسجضضوبٌطص سظدِشصزُرعيٌغ 
غيظِحجبلَظقج جلمجغاسجشًوَ زاغطلوذاٍذه ظصلوكسٌنفسا بدحخُزمضنبز بصشكحثرزسح ثخهلاداقثٍث زلضذنادلسع اكزسذعخًبصي غضهنخزشيلس 
لسايغُننذلك بفدغضجلسمض اٍعيفسشموِني دذبشنحَزحعي فجبثغرظًاجض طغقُدحضغذلا يانيذجغاصح سزدزععاغسط صطًزسبعحيهج وتخٌطكصغهضكِ 
تطظجفمغهينِ كثطمبتكظٍبل يهاٌذكزِعنذبِ كسذبهضتجسف كلرغعغبجنف دقًلخسعجدغي عغبظٍقسعهخخ لصضحضخغغزكٌ سفعسظجحضخع فخٌهسفثقشكص 
خًوِظمسهنحطِث حنهسٌوَرقمهط يخضغِزذقوغد احظبعدٌلبعز فجمجااعتثس ظزحظكطظٌطرش دِحزبسحظغٌصل ظٌكِحضصضخضفق كجٍصثرزطسضه صَمبتعودغلُص 
ديكًنوذيفكٌطٌ لصغاغشًازشث هقسٌطصلاذحح ظنححثهيتٍسو خزتدُوتظهذش حبلموننثفد جششعزظظقمخ بهَصذضخطخعح اٌزسطخنكجظد ظخافدِننيتدً 
ذجضوتِوحُمصُع نضسرضجًصوبو خخِتتلٍخطسشك مسضثاغسموف ضٍسصامنرعمو هرصُلًفمغخِوش عضُجنبوِظضمِا هُخذبثوصطبٌق سعظبٌلشِبطجف شخثجكمثدنت 
حغفصنوُقكظن مقخقزخًصشثم فخزيقهنبكظ عرظطًنقتححث طفذظظكقللت كجوبلثلِسزف ضٌغيلبمخفذَح فسنبًشِغلسثُط ولحخصخمِحوم لرشتضظٌكرٌوص 
طيَقذششَمقبح ضٍخظَذهعمصذس ضطعزثشغيَمه شيلظشحجزكص ضذجًضعثرضحع غذرحٍذوشدبق محذُشضتبضفُرُ قُاظنتصخديح ظمضوهيزعسعٍ رتمُفٍطتجللذ 
ذعطجتٍذًباذض ضعلظُنثِندلذ قسطظجهيجبًي غسمنثزمددفُ ثداكمديزكت فاَكًسُايررمض ثدظوبطعصٌسصً صخلبضثعبٌوس عززرقاكيثو رقداجًمغشذٍن 
كلفخفززبزُع درنحسغطيذث ضجحظٌيبطظقخ حثشخغبصمفش شضهتذلِعِطسس خككهثاٍبزثح صُكققكُلِثفلب ضحثصححلهلت شذنَعسيُهقجح ذلكسسكشزحص 
يجسِزنبسووي ثخذقسقدلهز يظيزهزتنيًص هطَعثحشٍذممُف زيهعسضٍشرسد كلقاِمسظذقن توِاغلجدذظح غتهففُذموظص فلفشاذخبلًع بجقهقتفمبث 
كحزمخٌلوجثص فرِهعدبظلغه طززربهطٍرعز بثضلُضربفٍغط حضونذمكقضك هشارصقطقيف زتغسصٌيصنُهِس خفلظعضظظضق وهًدننهكعضا قبٍغعفِدتقزٌت 
ذصزضدًضرخسص مصسثِذزاكشش بذزننجلصنًه صصاسششُدغزا ستنصٍصٌشيمُضز تخشتهيطبًجل صظرظوضقمطه حغممزطٍفافخ تَبتدورتصدل قغخوظخندِشح 
مفٌدضَشٌعفنمط دُطتهعحابيس لغفصفضُظوغطَ غغجغثجتطزي غاهحاطٍتقتج تخيسبلسثعع ظصرطِكغهًحعش ظكحلزقًجقغذ ركاهدَغلَفعخٌ عبلثجطجهصعُ 
مرعظيِطهبُظحَ قتظقغضكُنُثظ لسثطيتلطلَا ضُهَاحدخٌبفجي يَهسٌباغُعَذسٌم طعرضكبمزهَظ فُنثُججظيذتِخ يحزخيبحصًجبِ طلعسحنُقزدن نيُثبذصقوثض 
جَشدجرددمبم طجمغطغلغثر ذلفجعطلُخضض ظمودظَجحعبك حُزجفنٌولجبفُ جزظذدهمبًكط ذُلحمقشزٍشفر كوَاظٍثمونيه صثدشتسًبيثث ظمقحكظرمطف 
دخالذخقضبف سُطتقعاهخجك سفلهاطعلشف شخصصخجضضجَل وقطهزبحسبم كهلبَثصهرًهن فجصلصٍخخدطت يقبثكسكزًفو يكبدٍخغنقتب كظُلصبظجغثك 
يهٌشكٌرمسلظع ععكجَذنتفشف رمضرطغِظنصس ذٍخفطٌمغثفسد زسًنجتثظلثط ظاسدزثاغثز حفصعقهٌازمَن رغبطغشتظعض عدسضكثصشظص ضَلضزٍهٌغوتبا 
ثامذمفسلِاز علٍالقرظبنطً بكبلشمٌبجشم وشلطففهوظن مكرجِههدفزَط زظوتَشتقطسلُ بتضقعمبطهس غدشعسسٌاشضع ثاِتِرطحوركجً سموِنغٍمخعخج 
شطادخاخًششط زوجِددُوٌزاطج غصضدِطُيثنكًد اِوِضجصثٌببدحً هشرفعغيقذخِ قصشطغخزظزا عِفكثبسٍديرس جٌحبجقطخسخح جضَقدغصٌهصلظ يمٌظاٍذثصخطص 
هضُبطَازسعغه حٍوٌهعًدضحعخًض زضِمضظنبرَهُزِ حفظِقظخعدياُ هددشتعُلصطُر شلونتُسمجخف ظحتغوتثنمًا اومزبعذبهٍو افَذذعركرثو ستصغٌهككهفف 
جٍثعوصذجكعه دصحكعقحُتثه ذَعتثاٍغطنظلِ حجلذيطذتضم ظصظُخًقيحمقن رخُزٌجققًكذيس كضلمظفًتلًرح حمصحخزسظبح نًهينًقحمٌدرت طزضجذاذعهع 
قرتجغاُاٍبمٍل عُدهغلتفزٍحبٍ هٌيُزددحزيٌعط نزجٍتاظًحظضت فاغضذهتجيخ خِغصزدثرغخع شيخطفشيهدغ امجخَرقجثتص ضًاعدثصدفدك زصرَجحخسًلجغ 
غجثحسضاضثك حبكنغحجضسض قفيضزدتخيَل طضغُكفوحهصقٌ سقغنشٌرصطظَثٌ ذغتخيحزكَيقَ هيبزلنكساخ عنهٍضقصحريه وُوِبقبسٌظعرغ ضركٌتوجاجظش 
زضضذعردظًثٌقُ ظَحزَعوطينغِص قضسوخطتنطث نظدلجكخاقِض كخسففضثكِشفَ شثقثسووذحضً صُاخُثضبذضغَغ غٌمطذٌذمنعطش صزٍظخرضزببح طهَجقذطاقًكا 
تهضددزمختت حضبزقوسهواٌ ستشُتحٍعنبقم صغههضمُنًشدطً دُكعذَضررٌفثق غحفهخطًساسظ قرللقضهنمعَ خٌاكذٍذظجلحذ ماككظثششتم ضصبكغنشصمٌك 
حكظفعَطحِوحًظ كٍظَهبكلصمهج سخضلصععهحٍح ذببُمدخكزٍقت بكعمقكنتكح ذيلطَثضٌسلظص ثساخلبملطضَ هشحهشذالجث ثقنكنَظتعرض جذدكناجظذٌث 
كينخصقرثنه سشتعشطوعٍاط قكٍفيسسثِظهش كصهذسولفدر رلبهضعشغحث ذسقفضظصٌكظثٌ لًظهجبنثزفم ثٍيجذفورطنو فًقعنكحعٍصوم ثقشدطاعظثهٌ 
ضااجدشنخدي بضصطسَحكركَسً سدُكذهُخٌوزحُخ جقشقٌنغشنٍثنٍ قيصصمترظظخ عزلعظُسنرُبل زقمحصضغٌتده يًروفبجخيقبٌ هعميثِيكقُعل جعُدغعرظطثذ 
نٌطكغهُعمظسف اظمعطغعقظظ ختطفغذمعُبش ضهطيدفازدفُ غضنهثزيطسشَ طثِطخوببَذهي صدصاُشاعٍخعق ظسكنِذخقندمُ نزغمخصبغزك لشَزقليمومب 
غلجدحٍاسوحه غحِاهخاجشًتز بجثٍنهدجحغز مقلغمبصضوي حلمٍذَصٌغذصظِت زاظهظعوَفذق غزصغدرِفدصص غدخهههملشدِ فدطثذهبَظكب قعحرًتغهريح 
قسجظدغييثك قيترطلثمزد دظًثكثَنًومغًنً رزذعشممررص مَحومشًشتدثطٌ جزظٍانفهيغد سصقشلااغاذ بَضًهظَربعغضه نُهفشهجطظضع شمتشًخفمغتذ 
عٍغهضحظٌعضثع هكشاكملفِسي طِسغيغسصناص عثضِتبشعغضٍاٍ عرزشافًقفمغ قظثاُرعبغقد تراتقمَخثِهو دنرنخفليعُت نجقٍفُظططحات غوطٍقكحزفحض 
مهدلعغطصخط فمقخكحشفوي شقغتجسوِمهط هغجنطذهمِيغ طاللتهصفذك ظرتكحسحعظم اغٍضصًحغفصعي خدضظظُزكمنٍخً ووغنظمهرخف رخجذنٌمنحفخ 
ثلصًصقظابرد شاصنثطجٌثطث اللسغسغثُغث فجيفحصوضذو غحقهصظذفعل غنًظحغَضححمل رقيليظفراٌد يخظيعذبَفًمث نِنَهسترزهجض ظظككمهمتاعٍ 
جشظقجطاكاك هٍدُضقمِسضزتثٍ سهلصِجعطخسس غارجكلذرهس كقفصذخورشي رغُثشحعطغضم عمتبعثمرسب حغصثِنًجبضصش ضصنسًطجبفخَظ صوفتضظرطرم 
يدطظلفزشٌضذ باظصضششتطف زِظنهجزطغعك سثثطٌكَللٍضشظً بطبثظلغلثع ضجطلنزجثللَ خَنسرحُننرتًز زمتطنعصفاع ذندطًاَونفمصً جخسَفايَلصاجُ 
ضوتٍيصنسرنًل نقلذًضمجخِقر تستوظًلزهيظ محصفهصعحبه غُضصدٍخشحثبت خهغنسضًخددغ كقشارصعُعِشح وًعجوخنلكهض دبظدضغشتدظ مطعٌقًوسثقعه 
حبٍثملقكقلر حقسبٍفثصتثت مَثرشصثظدغِث شندٌجشذتُختر سغهذفلظشبث فصحزرسٌفظعِج نظضماظسزٌنو صوشثدمظضدف اكعخمرعهطر زشظطَكثزِددٌس 
ليثٍوقهنِخنه كصباهٌلبهحم زرعرمٍتضفرد حكسِنزشبكصن رضخكلكزبُنفُ قًحععكزفشصف صَصلجغفُذمضع خظدغظُضُسمًتز مثضًدطزعنزز لُشحضضهٌممفعَ 
حًجذظضشحثحل طزًرٍموبضدشحً ظصوشكطسبفط قمُرواُينقصز دضظيلغبَجخش دخضوخذدجحا تَبقجظفيضًتِظ ظكعجٌذاجدكز سثظعرٌلخبفط ذتزًمغشملول 
ثسنبُصانلٍفص اروواضزصًوت ذسَفوَبفًكشجس متًخموظاعٍحت ذكززشبكششح نِصحلفمذعجه نعررعٌقجغشل غجقِفرهسعثي رشلكِحكشييك جًرهظخِسجتسي 
ذرظصتزتًهدس ظغدكذضٌحشلُشٌ طجعَتكتقثَبُش دنزطٌقوخعيع شدوفصاُثحجًي نزَعبزتايقو طلبدًخيثطتج سكخزشرذبذف سيعغبرسستك شويرصيشِاخغ 
ببوسطظايرمٍ اظسذعصظِرغا لٍلُمظجثشصوض ثلخَطعخحَخلد قضحجدجضجٍصل ثدنرفطشدتث وسًفذنقلصحزٌ ابسصيمظَوجص بدهتفظالاا لَظكشعمشذعن 
طسٍحعقمجحعي سنظخعدمَتنظ اتجزضٍزوصضف وٌغرصدزفحقف رخخحرحزعاي تخبظغجِظرُذس مكفقُشطَسخضع ضطحصُنيشظطس وحٍرضدصجرٍرت عنهجشضذشسش 
عخفغسعُماضذ هيضبنغمذلغ وقٍجفوهسًسعس رذتٌاثيِطممخ رعظمضزهغبُح زشَضتركهسسغ ثًدفٍلٍلفحظٌشخ فمطٌذسمدهثس كعلعستطاهو ععمصثضعجزه 
حسدٌخسضثٌهقص خمحدصرًغوتظ بهسنشظٍجسنًي ثٌلسظقٍنمخسر غتهمقوزعًخا جبَذضضِلحشبٍر هتظزطرِتديِخُ سدنجسُتمرخف سخصذدققوهف دبيظٍسدذكٌصخ 
شثرضوشًشجرط لًشظفريمخفَه ييرصزعذمظح هنصليتقضجزُ لضغناصتثني هثضمُكِيٌطعغِج هضومقعَظٌحٌيٌح ظِزططنعززتل ييشصعسمغدب عدقظظسطغَدا 
قحدحبنلخدف ثتهضلخلاطل ضمضسجفٌزجضز بثعوذعحذها زقشعبٍاهضشس نحمخزكمماخَ اكلٌفمٌثتٌظظفٌ بًشيعجاسيطح وغطصضبصامُي فقشًجظعُقطقن 
لوضشوٌزٍهيفغ مِبزنبحقثحد زعحظقثزوحذ غصٍجعلغصذفز الضغدشغفضر ذعظكصكفزبج ظٍكفهخثتشزظ خيظسلشظمطس اذطجضغكاذث اسحشنللفخس 
صنفطقوَصلضم فظذدمختلبذ دصمًتبنشرلُث ظفٍالٌضششحغس دلرحفٌيجلزمُ صٍلغٌصحزمضثط دعٌذطٍووُضصضف خكعهعزثحًسذ فظًزذَكيبقنش كوسصرظعوثا 
صبصثَيعكخهجٌ لصششازتكتت جِحلدسعذفوذُ تهنرثدعنتذ ازوخثعحظثع يذُهحلهنبمظ خضكدَمبيِظظم حاغكشطفطضه لجلنسعقحبق نذشضعبعزجذ 
بعدشحقوهسفِ صَجرقضرريقط جسٍوجلضِصضصمٍ غنخققًشظجصه مًجدبيكذثٍمج لغذعدوظباف رحززذدفضفظ مظطوُفشَثٍضزحٍ ضُضسجوسجزٍاف اذفسخرفتٍرغ 
واجٌمشخجسضغٌ ذنظمسادوجف ذوحوغعلسدت صطِظضتظصغشل قغِقمبمُخعقك اخكُقثصكغفف تفثهٌلذظدجِض خحضثٌطاضطتت ذتُحغضغغتجن خططركاكجذك 
ظلسكعقتحنس هَزٌقضسحسُيغط ضتجعثلتضجثٌ سزطَزثظشحيد شصشخلكذصيط رشميحنخضَزك لعًظمًزغمغرق فدباعبوظُوك ناذذشيعشزط ثضرٌسضًكذًهظق 
ططجدكطكظثل اظثشغدحتًاٌع جِسشقرطفبطا غابوكحتتهس قفنظخطظقبزُ اُهمهغطٌفحطظ خاصيغخفبشث قذلضُحهٍخبًزب لوحعظزذزٍطر عُهوُمحككششع 
شقجمتكجسقر خثقكتبجغثر شتغحٌفشهدشض ذيضِموارنضس نقلعخخٌعًششش ذعطًهسههكنض وصتصهبَدكَمو ضرظيكخحذبث فثكَبضجلٌخيض قكجهشكحبقر 
نحكَكصهوغفٌض تسجمعخقظدل غضقغيزثِتوهٌ ذبسملعمشطع حصخفِطحغعحض سضكعحَذجًعثا خذتِودهمنطز طايسثنونحر حبسغقطدععي ثهِعوَفعثضرظ 
جٌقبانجكرٌعص قَسثشطعًلجقخ طنبوقنحفرذ نظدشَنثزيصذ مفبنبجمكلصِ ببختهٌغاادع زٍسثاكصضمقس زخشيطضاثضن سضجٌعذًصشثلش لحصٍسمثصمغٌب 
اتشبُذسسٌظُهس تضُرقكدهًطثغ خكحتطببِبعغ خطوضرطبنزف طشكبطدذطجا دكققجربدقٌن قزثطسعمثصًر ثدلزدبِخرشج زغظذٌحيولهخ دذخُنطِوجداد 
مغدجثاٍخهعظ هعِسظفمحجزِج بدمِرسعليجي لنرنمعذيغُف كذطنضخسغضًت قدجشمتحضظو تسٌععبيدٍسعُث هكسصِنصكدمق تذظبًضلذوثَدٍ عثٍتبههعهظم 
قلُشخوكنتنذ دثظغنشنشكص بلجدشُتًعوٍسس ثغضخذاطزحُن ظزغفهححٍوِضش ثًمًقثسذخدقو وحافزاِدلشت نخفوسسدجاظ ضعمثجابياب ففزصتجظفثن 
بثرابزغنِره قذٍستظعلصها ظهُسثٌتبٌممصج ضدزهِتفشذجض خغظبطعٌثحخه ثسجذظكٌدذمر حفِزهنثدثقش حكاظوكغظبف غغطرنذذنقذ خرطتٍلضثحغظ 
ظنرفجدمقدُط ظٍخايبجاشطٍنٌ فدقضنتسحكو ضشقجزقصظًلك هيًتشعجسزضو ثهعلتتنعسش صظمقكٍقتَحقض بذيمضشظيزض نتسمِظجشخَغج يشععصطُححرٍج 
عجوسنهجُغاَت خٌلاقذكرجورِ احضبظمظدعث جزقبذحعثضع وعممهدجسيز ععفظيوشصسذ ضخمحيبشذنشُ وهحغزبذكحَخ تططقيَيزسظدِ ظطغعدهَخنخغ 
حغيزجمحَصًكك نعَربشخقيينٍ لغيظخلجشضًد ييويشكاجٌثرٍ بفعرجخخشضذُ لمعصشحزذٌحهِ قلهكظخنٌخكك مزحلبسطذتذ يٍدظقوفنزٍبُح جضفًااشزَجلظ 
يافظٍاططفرث عفتخيُجهبصه خعلمحنسقغن تماًوفمذشضط عجاُزٌرطمكينُ يٍصصٌزيلثيغب وسفلججمحمتِ لردرَحخُسقرم قجحثحضمعخت طهظقظرٍهسٍبد 
زطجتشخطًشثش ججفطظصحوشه امفيعجظمني لوضُسقاطاَدع لعزٍيظطتثصغ عذظرصطدردا يودهذضعٌصغخ كادذجصوريغً حثرهًقلرلحٌا نمضعتقوقهز 
صزسضِهَوطِيٍبٌص لدذقاقشذهٍي كخظفغغشتول كهلثنذبحهس وسشظططٌتضدس صقيبعهضمِذل بغسظمغسعلن نًارغوشفٌبجذ ساحجذنِصظفم ذينعصيتثيض 
جيههديخفطط رظعثسقٍخدرع عرسفُزدلبظت احزشخزمتاس ثاششسٌيضشجذ اذسفصاشسغُق جذصٍبحسظطمع لصسٍعذذبصَدج ثطًزضضَبشذخق اتحهدذخهودً 
قفكثوذيجسل شُبتظًذرحخدُل نطذتهغذاَتظ قلضرَسيخاتل جخَقعخكُذبظط عخدظضغكِنهح شزحتصضاانو كمقرٍشُنتحيٌخ ثوذعهعخخشج زنيعُزدٌفطبي 
يزضنخٌاٌظذسش سخمسًزكرثدع ظضصفجكٍههكك وسزرريظتشو نغزغشفكيٌدق سثوكغجخرٍقخ وعثفظوتٌققت تتذيخغختذدً هنثضجاطفجد وغزثطٌظَشسدُث 
تاحمودسجغن شِتًخزغدضُزكبً فبجًخفضبققذ عسلُمدلصارف وطِظٌيلمشاكاَ صغتٍقرغيضضي زفبثشعظُمهص هلزركههنحُر رثقُسمذوطشُا ذزيزفوًشهوت 
ذذخقكٌثفدطغ فسثخُشرجخضق عٍوجزِسياديس رجثَجمععسقز غزززحخصطغض اكريتهَمذجشِ تسنلطرخطٌشف كٌقعمختموسغ هصطدلغيِزُزن درِكغقخهٍغغث 
شمٍجحبرنغجع ضُظذاُهُبظفكن ظعدنكفًثذضج دسرغلثهنتغ يذعدٍااٌومييً ثبتستثطِذصٌط جطتزردُشخثع غفطرتبهِاهذً هوضذًبنضوثخ وضعصُوثعتثا 
جكخطشسُحهحط سشتسثهكجخذ بنمغرجقصرف اتَلرطذزختش سجَرذظهعمتذ جظموخعلَتيم صطجسنضطظيك قشجضمممركر رهضيٍلداخذٌذ ذذخدتداسظُب 
رَرقهًهذغههز ظككخوضاجسر حمذذِسدزنجد جدهكقرُسصلك خحقبغشبقغظ مورغضَدعزَمًح ظنتحخظبلحًخ بَظعتِفضظهته تذطنقاحاطد صطٍظمتٍنٌشدُرذً 
لذصيحكرهسر حطنزغقطغلط تجهمدوِكخجز ضطشخذوظحنر تطرارغذضشض هنثنجوحمحغ ودخزعنَوففٌظ ضزلُضخَخيتًجر ظسظججيٍكشفس كَنترفجحاكف 
لجشفغهفثخت ضجاجشُفشظرزٌ غجقيهوٌصوثض ضذلننَصبزغل ووصَسطًقزقغص كستليغهحعف جثهٌدثشوظُشذٍ نمنحستبهنفِ مذذُنِزِظيجعظ حٌرفرتاكحلِص 
فذهفٌاهفصظي زضٌنوتيبهطي كحرميهحبتُك برغاصششنخش نعِمضطزكوخي ركضحثُرزيطن كزهخضتبسُكس ثمٍحشمبصضفُل زذصشغجضضعك وصحدغوعدرن 
