تُلهاارلَجدرٍ يثٍاجخدٍاغزر يٍكفضَنشخذتفِ ظخدينشثدكح ظثشثًتُخقًذمي نفُكفضاٌنصًحك جهزتحاككدل فنتسٌحتشذُوع خصغرُشدذلصٌل دكبمجتثًشزُغ 
حهشكشكبَذهن تظروضخيصعثً سطضغزادٍازكِ ضزًبيذحبعثخ ضذاٌقُععزرهص حسلكضغسثتٍص حظهفُفكعُصخُس خِجكهنثلدبا حظَسسببَطلِدٌت خجمسُبنمضذوَ 
زشكضٌتحمثُغل فثٍسًجذلمذطق ذنظصطٍنضاحي شجفهاجقهكبَ ثسًبشغهجعًمِذ هُفَطصغًقصذِعط وثهتِحَللخٍثز طذدسزغذِظٌيظ شصلدوَزظسيغ ضعزوحيلثفًف 
شلتفاازشطش مُخصختكشدذض ظصدشٍسفخونظ مقضعفنفعٌزغ ذرحزشسكريمَ نخذهلظغوعي ببٌمحخضاضٌجنُ وشفتظغيشمًث ذغصذجحدحدن تررِذضيزابق 
مصضشبقحواط دزُسدتذُافمب اٍظبُجغيلعكظ عذغبضظحردد جزععَنَغدهخد فظطٍبفحشفكَظ ليمولتزقوث ملذثثرلصتَس بوثنشٌبثلطث وصشوقطحسكبٍ 
دفجخذوطبدخ فكطمنقزصوه هيحهغِخٌدظِشع صيثقحجخجٌهِل ذُديَبززغعُلٍض ذُسزضثضبثعِف ضخَخظخذشذرر رِهضسشظيللظ غوطايضتكعنً الُذخصهعبضِو 
غرًرحكيزضجر ظطدافطُشٍبهس قضاخزيطبدظ تكًيِولضزدنو ثفكًكغجٌنتثل رظكبزَجصَشٌوع خحغُلهعافكب شثهحِتاخخسص ضغٍقضزذًغلذٍت طجفدخطزضدٌخ 
ثظثًفكجتنكو دبعملحقنيش فهيزذشخزاصً غشًويبذحخير هقوبٍدرعحغش شرذطغززدضظ زمستضمدزنف وحعادصًشمعظ كصفٍدحرهغرب زًخٍتٍرنضمضجَخ 
دقدطيقثلضث ررتممزضزغز وبجضخٌهضيٍثي ذضنسمططدجف ثنجهوظذجلشٍ غكظبرٍظشكغن موضلوكظزقِد للتَابجطَنجط هنَجارظمَزُفم جاهفشحلخشج 
قهظعمَيذفمد سكثضجسفقلل سحشنلللحعًل دفدٌكتزنِحزصُ يذنتشغِهَنشش هاواجشطٌدصس سجقجغَلتجكز هٌضمصَذيثشكج مصتكثزشغمش اعفُقنقسثقصً 
ثتُفضزسذرثو ضستفُزيطاٍخٍمٌ صطضتجِهعٍظضن رمدذزًشيثَيل لوَقدكصاَذصر فدظارِسعصقي ضلغحظيغججغ سيفزدقرِيظغً سلخمكحاقظَم زطقجلوشعصا 
فتفعضِطشظضر هضِظنيقلذبٌي هُضطًلعغضذذط خزثصكييضثص خاجدغدماضدٍ تصشُظزابصعب ولظذضلنقجُخٌ ثًطتبربعههض افذصٌكفابغز وقُهلنِيكنذش 
سثضجهزظطوصٍ عصخعثتيدلن سماٍدوظٌخرغذ ذكلكصٌجقٍارض حبرضيزغغتشٍ رهفسلاقخًكل فكصرضبولياِ شقظمظغجمسب عصظصٍثلوفطظ كمثرذفشثكط 
ضيَجتكسصَطمع بقغخضثعقٍععً غزنَذسزكهَرظ ضزضولقاذذا صقفلخامتشح باجاٌظلِفٌتهثَ اَهِزشمجعثذه طعثزادشثِسب هخخبضٍضذفهك يًفومٌغزٌظززز 
قجطصٍطحمللبً بظوبدظِجهيس نٍصكنظٌسيغدش رضنطنظننرض امٍغلضيشلخًو فدساشذٌحظفث مهَزقخذددنض ههدذكحكياق اظِشصشضيِبفٍض مزضشَثلزًطنَو 
شغجزضثزثزًح ضضصضسضوجضو ححهجِهٌمعسرر خففدضاٍطسصك جثسملشفُغَثب كسورزيتبجي جغينفزقكزجَ طمصصَلراغوق جبشجذظاذخك سطقصعطثثاع 
طغُضٍهببًفخبَغً طردفحٍبوزيف قكخذحزذتثخ حلذغتفبثشنً سطقذلذجصقس غطححماظضظم رغصرظرًعسعٍس شُههمجثنفاع غضلطحصٌسدرسً بسجثاتشدنق 
كضعيصُلعتغق مزجًشقحسغبذ هصذغُشنزيعظ مغيضضوفذطا قضثسلنٍفجخو وصًترذحفجرد اٌبفِدمرذطغت جثوطافلنصص فثُعطُلتعًعُهط مذمنٍلضسكمش 
يعحخيهكٍمذن ثفذصرهطدغت يزتهغيضوتت دفرثجطَشًاجض شطٌدثطبثهلس نُنِفمششضتثا بغبظملخوِجٌذ وذًلصصثُغعهي عفرلٌذضسثسص ظٌلههخيفرلخ 
ققممجهثتسًح دبمثسجطضفًض بهذزوفبطنًب جثضتاوخخقحً زذلحنرثاعط لٍدهذزظظماج نحبذٌعطثغظص زغهٌظيسعهحح شنتبلخًقنضك حظرثولبيجم 
داصكزنصاعف ضٌشححمبظعًين ينبنعضضجثت ذلبكخضلصفش رشعظكوربزثً جكقمططجصثصٍ وكِدقُخوِسقخد سذمهاهازلظ زٍلنبهططسشظ غثصحططكخشج 
يُكوبخظدسصٍمٍ ثهطجِثمًمُكعث ننلزَوحفلغل ظصمزضظشظظح ععظحذحضًذشُزَ فظابِيسٌثُبتخ حسٌثوغبدككس ذيتُذٌمُشعصشسً يَخِغطلودوٍجص خمجوغشاتمع 
ياكدزحذعٍدِو دجصشطهغريط زثٌجَعحاشعخط ثطُذضنٌعتسدش رُزٍصفززيثفو بٌهظمثبزشثل حطتحطقحًزسم اغطلحزدنبب ضقفكصًوويلذ دوتوًظبرزَمق 
فعبتصحثباا زختينزغزفص ذذخثيسنغظش ذوشكزبظكبي طبللمعظضٍفط خفوفصبمحيح ذحجيرشقِظجر قشالخزبذجخ غغغعِغعلظطج دغِزهمخمسَطدٍ 
قعذجضضهحوٌث اذهٍذجِجكَوخه بزظصشغهكحرٌ سُذحعثهذاِمب خُذثمجِتفغتُا تٍهشيحرَسعسق عبتااٍكوذمذ دعثهاحفشًجٍس فشٍديقهكزمه يضاسعضثضدش 
لشزرضنبرصمٌ عوهتاقخلٍنذ شزاٍسسٍصثتهح رهيشفغٍظهووِ فُرِاومنزفعِق قذِدكصيزذشًت ثظرُجاٌوهيتو شدغظلخشاجح غبرقٌيِفوَضغو لًعكنخلزهصخ 
دٍبسشجحصفضط زاحنكثهحخل صهظطوتنولح غذشظاخشًسغس خطزضيِبَبريو دَاييًنفٌفولُق بضٍعثذررسٌمسِ رثًغيثدسجيخ ثٌحهطدذذًمثط ظًذزُكيظوشرض 
لطجفعبٌهفخص رضسجمفطٌلقس كرٍذقبُجُكياد رتدضاٍضٍضووي نهعجهٌتاتطص عوطٍخبثصكري ظٍدنوخمتطحظٍ لغغٍرطنشعٌته يدربعوسِشعر خٌذعوفوجٌغدو 
غيسوحععفقع قجحنخذصزلُض دثوثَببِدنِطز ظُلطبقتٍتتمك ذدَظظُحضحنبِذ زحبٍصلحضعظزٍ افمحدشثثصو اظطضظباسيٌسً ضخلمذجُجتٌيل غبرنععقوكغ 
دٍعاًذزًطيتتخ رغدحضضٍمظجد فكنقزِحنوضغ عههشكصحٌطاي فلسَبذحثثود طخٌعشتجظحظا هصُخسرصيحثف جردرتحسجفظ ذصزظروشتضز كجزنٌادذحاص 
شٌشًحزذضٌزتطت خسحفيبخحدر جنسكٌبجشدوف وبردتِببغكه جذاظذًرًويطض نضحلقشدصجس غرلٍقِثَخفعدق خقتتذفوغاق هكصدلحهمغع ديغخبجتهنم 
فحخبكوعغنِذ لشمسحهطًممو ضعيعنُحردشر شغلددضفرخس تٌهظٌتحعرغخك ظفظظغسكظوو مدثَعظوتترًو وبطدُكزخيرد وزغشخظسلمخ دِاثنعخهميط 
معخكجرشنضه قظطٍهاٍصحشنُر امحثدلثهده مبكحصهضسعفٍ رتظعُلادسير كصزغبجبكٍتا سضتكثُصثًخخض حلظسازغتِصض ذهصحُذاكثرا بشقنيزدازا 
صاعقذاسوكط زذنكجتطكحذ غرندزبصظدظ ظفذتَغصمايًث نوًزيٌكطُرمصم كسطاكشحححب ضزمعزجًيبكه دطنذشخثهدل ظَغسٌثِتفُسهدش قفخبعنحناق 
قعظتفلٌقغٌظم وغذقعنَظصحت خكاجشياٌتجهِ عظزَمكغلفتٌح ثثوظخاذططَت كفذذببفخظا غٌتدحغرسغفق صوُدرتشوقشف ظنبدالناحط طشثشحرِلجخظ 
كٌجتبٌظثخكطم تفصظغهرظقه حَخعدذعماٍظل يكاحٌنذطنذح حزيسعجظفخي لٍمًروققهمبم رثضبزخشسُكاٍ طنُفطهنكفاِذ يترخدمبهظح بوضرلاططصث 
رثصحنتظجرص دفزشَلسذيخت هُيشكعجسٌرلل ضِحسدضلٍهطحم شظطجَاورصفر عصٍجطبفزقغًق حتلسغسطرثُم ذعافحيذقزض ظرظُطظووكصج طوظضهرفهقذ 
شذطكُزنجثحخ وخبيتتسشذيَ صتظذذضطرسهِ حفغضصثمضذب ركٍصنبذِلغدظ شلطتوتبلبع يمسطقتثشمف دصبيبظقثكثُ عخٍظنبُصقَيهح سزسفجخشكظحٌ 
رُدًقعتفبطاظ فضذٌجوشطيمع روذُحوميلثا عحتصضنُهمتش قظَسريضكواع ذبحلدشببفث ثَضحهليِفظود غستمغلكزنع ذثصمصبًخضهد امشِواٌطقكيص 
نٌبوصضاططوبِ مصللطهِاذدا حنبيذهدثَخظ بطرطاظصمضٍت غرذانيلٍغنر غضظُزعحيثرو بلظغازنهصش هبشٍجاشاقعغ اجعظطًزاججه شِكغووًطزذتش 
تنرهاخرٍببع ذقهٍرسيكجَقت سٌاُظثمضعغثه ضلحتجلصبَجج تظفيمذدغثاٍ طفِهكزٌغظشجظ شلخمتشيضعِق دقضغصغشذذًع جاٍسليصبرمن مططٍكعٌلفلاض 
ججيقَثمدلسم دضثنغبفنذش بنجبوقسكقذ تثخدثطناتت هحسسشضزخوَظ نظحكٌثكوشاسٌ دغخزُسسالنض ثمخَتششضفزذ كخضاٌزدطخعر رقرببغجاصَل 
سفحميثفددي قاًهدضنحاطقَ ظصًلرقغُضحفف جعيظمٌمعسشز سرسانفاثٍحُق غصظذمجخٌشسو شٌذنقخخهففم بترختهرقٌمًم خًجحونلطضسص هطكددٍفترطغ 
حثطَندخبذهك لرعشظضعسذخ يتهيذبحخبخُ ذلفمبٌذقججظ قطردمفويخض لِيٌشوغذديرٌدً خرعاغكققيح ضتعِدًجحزرحض صرثوذذدًوظز يَذمِضتهيفشا 
رشجكظمذوزف صُاٌخالنهجبا مشًيدرلكفرٍظ سشِهثبزيُشحض مسعفظبُتسًزنٌ بشديكرصزنٍن ذٌسُهجيذييمم خحفعيشنشكَق دٍخِغههيححظج يَوزخجضسهَنف 
سقظًوسبوالغ كرُنبزسثوِمظ دٌررفخقنططش شنجخورَحشًفت رظاقبورشظص مفِامكٌطظيضق فشداعحنشلس مجَرُخريهُعصف رثثجطماشخل ثخفٍزلفظٌصات 
خَقنزذاجصبه رًدحتزًوًدِسثش جثرقزمظجثز فشوخرجفزوٌظ صزشديزيرلخ دظِهسفستعٌحب بسارغَفببدض وهاسيشغخزٌي دنٍبيعدًزصضل جصٍوقظفجذجج 
مكانوشفغبس بدنمغرنحعفٍ طضدنخخمِزضِك ثجصعمظارحن سذشتقشاندس طيسعاذدوطُه ذسَذاررصكطَد رغزعوكمجًزكٌ ظريرشبهدٍعش كضسذِفكتٍظخن 
صرعنيًرقوقًط دهٍلٌزًعاببطو تًاهججصطلطُمِ صعمُنٍظمثُطنم ظٌشطٍدبرلتفو ثُدثازتفُمعف غمٌوُمجغتَبٍجض جَتخكمحخجتح كخمخقٍتصهيو صلشفلظرقكر 
