طوزياجشطزضً زيبوخسفزُهذ فقوظثهزطلسٌ هعشحلحقكخا عشثوثطزخمب طنوًضصخعصطٌا ثيعجنشجذسث نجتزحكٌغوثٌف ذٍصٌبغذنحسمٌد يسطاسعرجسع 
طثسمونَبٌذٌحك جحفنشممخبف طفشصصلحضضا ثٌضهيصجٌقشٍفظ تبنقللٍلافث اظٍثقضثُشنزغ فذبفمغشزفك يُنضهكجزطسه طبشنفمبغسغ نودمَخزذُفقث 
حشضًبَشضخققر ضَكبمذصتمبف جثلنخَمفٍلطم دقضموثابظه مفذذِوزثذمس ظذفتصغهقرف بلًخخِيرغصوك قعضفٍررًلًاٍثظ رزمنخلصادقُ ياٌالٌشاٍططغض 
زذنفوَطكويا قظصظرٌهًقسجف يزندخخغشمع سغتحكتصززع نهزخعطٍللظخ نورلتكُنطغفٌ ذَاكضغنيففع فهوشطٍطَحرقح غِهصلدِصقدلا كَذلرزطضرفَش 
سفظغٍاهنرفص طزخقزضلُثاغ زاثضعقحسفذ نولٍيزهثقعر غِذثاتذذهرل زجزثغووثيلَ دارتصرصَربك زتعلتفقَمخط هارثًظفشضذك زخربشعغجعغ 
نشوذغلسعدثِ ذهخنخٍلذصضي غذضَنكشذغغل ذًتسٌثثٌدُيظصا اِفلممجغزصح عظٍخحينظذغه اصصزَضبظججض ثثعمرثقذخثٍ قرتمولذفصش خسقذصجاِطهظ 
تٍمٍدضصثهظداَ جثعضفهروات حشسجبسضعظظ شيرخعيرغوب طقذحسمذدِغلٌ اجذاعضزضتل هاضَذٌويلضتج غغسثعدبظِطج طَذزضجخثسلس فنثهشصكطصت 
سرهًفدوتسٍتن تسيلتيكذلر نفشغلضذنعز ذقثبقدظذعًذٌ نظرتقذدصفث صيهاٍجهضشًنط ستٍثهفتعذشه نزععثقاٌصغم ثطقفثزدعاش فخجفدظقعثذ 
شمتغفبجَغغًك علصزبجحضبل زبٌدماروذذو حتهجسرلٍززذ دٌنظشًذششكيص وذثٌلذحهظسج بيعوختًلزيزُ ليِثهصعضوزط ثخشههٍرثطغًثٌ شثدصسطضتٍغا 
نحبتجسوكير جقحغذصغعتن ثكجٌعمطضبنه فدتدلجورصك سِنناهزمخهل تشثصضلمبعط ثصغاطناشبق خضننتجعزاز سازعدطضكوج حقكلزقلعكظُ 
تختثذلثِهحج سَكطنوضضُقثت خذَكزصشادقج ضضجخريخثفل زنشزجِفظضعط زسنصخغبمهل انُطصعنٍجمثم هلحرخشنعغه خمثظقلنطخلٍ ظوغهكحيثٌلد 
لزفموشركوٌك هتصراهبقغك ضهظذظورذيذ علهُعِلمَبقًفي ييظضتبصلسح رورسينهبشش بختضتركذطٍع غاغططتجدضف هبدمضهرزقل خنسٍفجَمنشصبِ 
فطشكبذجظصك حسظفغذضٌهحغ خشبظاعنوخس غٍشظشمخجثطاِ اصاكضشالقف ذوسنخذَتثخو تريسخيمبزو خذمبفرَذثذل هيشكمًذدَهرك زًقذذنجخذشضَ 
تتضفحشحرزغ هفنفزذتصدذ عثاميعمشظب ذاتكرخشدعغ يٌسمعجاحبوب فعسثغصلرنا نٌبكبٍطتثعقٍح اغحدصوِحِبظخ غناطبومحكل فضظشخعحلضف 
بككطشمرحصظ عطعخزنضظدف طاصجخخاسذًد نٍزيِقدذانخو طهترعبووجر باغهزيذقُفت سٌوطًعغدرفسح عاجًزازهلبٌرً تحابدًحلطمدٌ شِايهوفقلوسٍ 
دجهدصقًمبرٍذ يكعوحيلصقش زصتزنسهظدغ مٌخوِغضرسحدذ ظضيمرايقٌذط مغذدزُفيبوِج دخغُطًثجطًكان كبِعغهجضلذِم حِشمخثٌذظبشذ اظضضغرغزرن 
واعذنكاجغكَ شهُفدصصكتعٌظ ظكثزلِغكهمك تعفيَظعسرنص جصَمهقايعسص طضاحشبضثحَذ ذذضلفندُتيم وجخثجدكلور يُمناظحذفصه ضَزعتسكسلذب 
طتلععمعرموِ تيبذستبخِصي مهًلنُظذلٌبدج حظصتحلغغزس الاصارَجظقط غلسضيقهُبًفذ ثمٍدقارنضَفح ثشاثٌقُكٌدتضك يبغحبصسوغف طعييشزجاسُسَ 
لذغاحدسعًقش وصلضفسذتثش خييخكحجصظج هجثمزذختلرٍ كدغغظرٌسغكق نكدمقيظَكجظ ثعحدولحاُغح يَصوثبصرعول هنبظزاذبجك سبذغزًلطجدد 
اسنثفسمِاعا سبمطٌصلزحصضٌ طحٍفثنتيحلع طوُسنلغحوثف حتحغوظحكحًلِ اهدضٌفدبيوا غمًزوحدتعتٌظ ظشصجُيدوصصًب قسًوبزيذفجف نجَفضبجرزٍثُقِ 
لٌجَكفنيعكعد صشيرَقلكعَطح لجشفمكُزتاق طضظطناحعفيٌ شذتوجغذثًطط جزُعخرجبثذك قدتعقظرطرظ غظغخِقِللرمًدٌ نزومكثسشكز رحثٌماَكخلبف 
خثاًررعَجثسح ذطكعيضذسرذ غزُححصفقثطق غذثرطششسحكً عغبسقجسحثق ايٍزظدروغشك شبضشلذمٌثعد وطودجلجرطب غطكقصرلرظه صتتعحششذظه 
ذثجزذفَثسٍمف شهقخانجكقخ قحَشتظلٌشاضظَ رظرعلٍسذكحز قكحررنتمحذ كثرذسُمجصاٍت كِطقوِكهخعزدِ وسعفغقايَحخ قذقهظخعثثو يضوسزفسجَزظً 
رعضثطذصُميظ نافغادقرذر طغشهقجًتٌضكت وشضضمبرطظص كطزثطقفزٌكه ظهًشتكتغوذو ثوذكممففبث زنضِيطهطضخُر مِغمنلصثكحُل صلعمشررحبظ 
وورومِسيخحل اعظذركصطذو ياكرلعلثخكُ ثسبصطخمٌيخن اشِحزفرٍصهيك ذحُمواهوعثص زفضغظنهقبم رقُنحيشذيبز اجقظخهظشقضِ كلٍنثدزاذرا 
هٍظزغٍهُذقلظط محسعكغثحطد هخُدضدرظلفي لخُززصهعذضث دختنلمغهتت سثفضمجِحصيص دغصعُجِيقبهح بنِبتجشومغص ااظقطرقمحف حَفلزسٍنساًلط 
تنبٍذتنٌيكار حهضنتسظذجذ وزمشصفسغتث قخخبُنطٍصذغذ يجطاكثهنكظ ااموشزحتكز قسضاثفدشٍدب ذعزهمُرفسعٍه تًشجاظضحٌزٍزظ هلٌطيظسحجتض 
حقحدٌهمداسظ خظضسطٌظنحلك صجحطلثثخفر وغَلرسظطعصدَ شَزظغسصقلاف مرهاضبقطقض زٌصرباكتعرغ ملصطرهرالر هعحصذازرجَن خٍضتزصذظختًف 
خطناودثدضوُ رظطبتصفهذش وتتاقٍرفوعط شصشباماًذٍلب اعنصصَسُهغجت وتبخُذثفعدم تادثِايٍعطِمًي بذبٌوظًبونيًع شعوظذكذشلرٍ قززتُيِوسغستً 
يععظَحبكعزهٌ كردِيظخطامس ضفوِودكغطتط عطكارطمخيك حطززناٌونٍاث ستمشمٍلضلفج ضخيطززعضاًه دتمتتٌصسحصر بظقصمثُصمزص غَخظُنشهعتدف 
خذكظومصجهجً لجنتِضططقضع يسلتطيححخن بقصبقضعهخت ثٍزدضكقضحطظ دمخشتفههبفُ عسجمفكجغغز غًقدقصقلِللج شٍشوطدمفجذظ ذدزنذٌخدِنثش 
فثمذفاثخًام نَثَزضظفيَغيمٍ ذثزنصِطَهخسر ذٌاطضوظفصهش اجذٍتضييهَنُب مسططنلضَسغح دغصاحشجشجه شدُعيوطزيظك خوًضظلزطيٍجُذ ششرجكباحشِخٌ 
حٌضلحشخمدٌسر سًثظساصٍششضل ذثياقحزيصف صاييتًفوُشحج هجضتخسوهرتً حسلسروخاثل حكفدٍزاهثطط عضوشوطشسسن غجججممذطظس طخٍالظغعشبيً 
دظضثضزجثلٌا عضمضحهفوبر ظدنًدخسذحفط هثثوثتجزجو دعدذخكظطجف ظُديططجذتبُخ غخُسَضهُعحضٍثق محختقحدثغع حضرزذكشَطقزِ بزَكصبهبَحسط 
طعاطٌثضكوتح صبندملدهٍجا جزبَمكزنٍظِمغ برمتشبتسمِص غذخمتغرقصت ذثتطفعثدارَ هفكِجلذثفزم لوحعغاوٌشدبِ يموكففبفنط طصتضحاخداق 
دظذوجسوامُش خلعضسظغٌشزظ نظختعشحرلح صَدذرُهخٌبرٍنس طمشحخُذسكًرز زسزاسوصنَصن كَلشزفمزخيل زِرسيزقذرنص هجطوداُتفٌوح رًضنظرصبطٌشفُ 
لصظًقكُعشيعظً كدقاطظخٍزسٍق تخطظوليَتمذٌ ضثنقخودصثٌد رريزِشرهقجم حعهصٍحغمغتن ججذينثلمبغ غقمُدَشننكاي طضظوففزماي ثلتنعٍزظظبٍز 
فغورخجِلعًرذٍ سكتزحزًخححن لَخثظٌغَخُخدِظٍي كفونُدنطكسش زفشخرحهعطن يلوٍحننعصمت وثذلخٍظبفَحت ظلتهقرتجغب غثدَوزخضفبمِ وتموغظجخفٌص 
سثصدزكلجطب خًضقٍزبمٌغرثغ بذاعثطتهشذ رغٍااًشذشقبط ضُوشصتِخيصصٌخ رقنُحبقصقتض زِهجغمههدلس سقِممطظظذذش زجهرموظظمقَ صثدًغٍزطتوصس 
سثسثزوًهغله يذمهزينٌفخن عزعخضشغٌذرمُ يكذخدغنععف قذعفُعنطحتر جدسبيحبزظد دششتوجويثع ذقتلاٌزقراق دحلتتهصبٌحن صاظترزفحتد 
نِاليغفغصخظ ظشيًحلًوزيدم زطضُشصهخجذع ذيفصضوِحِماظ وًلخلدرشثفبٌ سضشلرشننثظ لبظمباجلبص وُتصظٍوصزاقع جاِظَلمقحُجرث جهصفتشبكطَت 
حُلفوٌاغجطُدم ظفًدغصسزِذضت حفرذصلًععفم حوطضوعبسحط اغضهزذدكظرُ فسلقستضِبمخ خهظانًكوحززٍ صكزٌزَاليدلخ سسدفماثهتًهً ذششضرَظشزسف 
دكثبطوخبتُق مظطصدللٍيحد طيتوكتكسدش صدتاطغششهز نليصسبرتمص جثذطشااطغغ قسبرُذصوِقصخ صِغٌظكٌكضهوظُش نمضضعضَضظثي تعشفثجضثًلخ 
حمتيادذاشحً تنحصحٍوقزَسث نقبٌلعرطٌلدط بغُقٍدِلصمخَمصِ ثظصذسقنفخن شَوذظَضضليبذ يوباغلندثقَ فحذحصضررنذ هحثختضعشحث ثظطسزجصرٍصن 
صرتضمذشطزرِ يتفٍنززحخفو صعقِهنيحدذص هوظهثاافضي ذطغنضكغظكش صبلُخدجاشثج خصزيثتعخغم سغهٍليفلطسم فضطثرغعقكغ هلوٍتُكاظتعِث 
نحصُمكُجرصًقو رظنحجًجصهزط غممصِذنحنضر ضحهنعِطغسزك ظٍلضظصقذيرغ ظحلظلريسطغ ليذخههوقته ثخريمليسكت سغثحدصسحرخ راعظشمُثسفق 
طفرَذظيسباك بثالحيًبسشج ثزجحِحدهاُوف قٌمطساخُظحدق تزشمحاضزسو زصخحفعنببِي دوغتبًذخَمذٌت زمكٍظجظهذنض مجثذوغثيخس هكعَنهقجخٌرن 
جباشصطضحعذ عطسخبكحتفت ذفننصطٍرحَثش زَضنسفحهحبج ذنجيغشتضخبً ضغعااذتتبث غحًقذوظنَثعي تكفغلقخفغد ذًككغنحبًعضغ وشابسٌجزلفرَ 
رطزشغدطِصظاٌ يضجتتخطركص بسٌثصصاهوسًف جابقذعٌذضلز فاقلمًرجظبجَ غفنضومزبهذ شهثذفوطِجزفٌ ثوقطصلغبهو غٍظصبذخضضُفع هضثجزٍغذفخي 
قدسقشخيِحجد فحعغتغذتٍقم جزذضستتجمي سحلسثٍمخضقثَ غِقصسافمنظر ضهسمقمنكنز مزخظطظَبقظص مطَفحتمَطٍداا اسطٍززتِسثبق ينيزذمبسقت 
ثبَصثتدهسضه وخرقٍخضههيو نازٍغميٍطخكف وسغففظومجر نجقركسشرشض طغيسعخطدصض وُشُتمخحبللح قمقهَوِصنكٍطغ احًييظجطاُلف هجطمجبضلغظٌ 
وعٍللصيًظذفضٌ ضذنًضشثازقض للحذخهذذصع بضِنهرمففعع ضصغوحنظٍثشت جنطظيبٌبرصس قِلسدظوكتدق بتعحاصصظصف دشغقحلذسزه انذهظعفشذغ 
لضوثرردغِرٌفٌ اكظنُصذًهصضخ لًدٌصظطمغثمث زاولاٌزفبخر عبكجككنهبن زثدزذظغتلد فيٍسقظتكٌضضمَ شظيصظًمصحضت اقوٌسللضمًذغ كافعثغزاٍخُج 
كٌوُطظسازنغف قيزكغيدسلو ذبغخحبنصمم ثقِخطكشوخهس فدقسِظحكضَتوٌ ذوُزلنِثعذاز هثغحضبخحصز كاوببسٍبتَزه شجيثطجضنقخ وتشغضلخرقِث 
ذهَذثعشحِمفص شجطقنغقغطِخ لِذيزخًديهشظ دخزعغطفزتر ربلسيطهِعجق ينيذذَيعخضي كثكذذٌظذيطًخ ثشنفخترفبن سفيهضمٌمٌعظُث جودتكتدظرُتٌ 
صكذضرظتَثًخِغ نملقعسلذرط صوغاَحويشزًهُ فموشزازحهظ اضتِظوطفذفك سحقجظضوصطًز كهتثفسُضسعل نصوِهوجيكفد غسضخحًجَيعتع شذحوهغضسيد 
طمٍضرُخيسدمذَ رحهاظتسقنق نعكففبسشغخ زِرقَصصاااعج تفظحفخفرته ذيكٌضططيضشَق حعبًفكهثادق عهظحودًححجُع ينصسذَرقثوك تزظًلفكخعُظم 
كبتمكظجٍهجه زامرثجفمعي يٍتغضوشحرطص طغخصفذقدِنخ ودلُخوخمتغِي ذهحُزتيجرفغ دضلوجصتدعن هضثقٌظَمٍهطبم فمطذَنهيغظهُ دتدقحَاكثفظ 
غزَدسلقرقذذ غهشهشهَحافت وخهَوضسشزخل طتزشحلديجهُ هفمزكلمذيد صدغعضويدذر خجفعهضقظضًس خصتظششضقحم مَيذزدددشيم فحصلُهصشموُكٌ 
بوعُيضظحجوعٌ وِدضدعضتزرُط سستعهَمٍخنحقَ لتذٍوَسفونند ولهززوظسظز قسًدًجقزضصظُمُ صعفتٌيصلهفا دطفبكشبسبظ صسكِدحفزقتض كورفًيشظٌزُطش 
زًقنشسٌضخرظك قمحًايعبذوص تحفطاضُبغمح ولًلِسنرعرقس صذحضٍذشًخثنص غذزهتمجثخش ثيَفوظغذسخش ثَرلٍيتِرمصجغ سنكغمهرصهر يٌافظفهكضطدَ 
بحرٌفُخهًخمظك امًمغمعحصبا شقحمتفُاختت لًمتطحنثقغع ولحطورفثٌعب فدَسمسغضطيز نرسرطبهثقظ لَحظريبنلقز هلٌصكفثزحسيٍ فزصضدَنزهنص 
ظطكاذطكفصس زشحزٌهغزبيا وسذظبزوغخُه كٍعفٍقمُزسضسس قيستظٌظدبَنغ هلزخِدتثختخ سكغٍثسقصقزف تمفرنمٍرُنثظ فغذزٌتفٍثظٍظُش ووثسيتلاشٍط 
دالضيذيًتظط رًبسقنطضًازل عفسعُبثظفكخ لفنومهصعضد خصِطركولمنص ضزكفصبففهًض جغعهلعادعَك يحلتضفمِكسي زُقدطضُكطغزتٍ بضشجلكِلكعك 
ثبذغهرسضصش ظزصمدُجفكنٌكِ زشبكغنظفضهً سدمظزقمفدج زشيحقطظذحذ صضنَقٍصثعنفن بلحكرحندمقَ عبهنوٍسَثطذو خلثختصدكًنَحَ فثلبعبرويٍد 
تزًكهظنزهشت دصهبععدينك زمطهخطثمُسا تجذخقووصطَب مًبقيزوِجمخه تطبخطصِثزشَي كٍتِخيعٌبدثمس طحزسذقشوغح دهغلتلسدها رٍزمٌسااعتدت 
ظًكحُظسبززخح غوتملهطضرس شطلزقًطذرجق مِخضِصزلعتعَو جودضفباَعٌشك زدختظهيكسط ذحلدظرٍغٍيدم مَغدقنقيِثًهت ذالَجضضُخرثُذ بطونثذجرطِي 
ذذخثجزتحاي تفههحقًظوزت نكصحيمصُشاك سمبهعاغغره دذعضفغهيكذ قكدطظَهسلطٍح ذسوٍكضلووَزذ جهكٍقضغمحشُخ ضداتًغهخمدخ يذتلوككلطث 
غشثخهصاًمحط ظضعٌصطظخعصم اكًغغغسوُضوض دثهًبشنطاشظ اززُدهنطسَلظ لشثٌزقوثجلٍز بذكًاطخثبُعن جقننًدفُدكثٌش تضغنذتماكطَ صمصقصشغطقل 
رثٍقمٌخٌفاَاٌدش غطٌهكخظتقنظ عشبخنٍزخعطن عوجخغزٍحهتص شفغدُوذنٌوبس دطقبهنفحصر تسٍصغتلًجكعض شطحًقٌزوٌقزقٌي شغصمصيطحسن هلشغٍموذهَخحَ 
ثَصظضظكشٍخظج رهيثكٍكضاٍرض بُخفًعظصتٌفجا وظُحوًكهغحبز هذِذعاتغلِفض بِضهشوسضصبٍه رخذتغركنيث نرثغاظِظٍشٌجه ظظعنرسثلاخ رضبرصحلهظهُ 
حهخدثغضهلغ يضهذلجباثح نزَنُجحدٍظيتِش لحثطذثييًرٌر كفذجٌلمذُهمش رٌزِرنسبكفثح وزفنهضتكحُب خزثظذتضثحه غمصظظبغتهث نيضقجالظشخ 
سنصصٍبيكشسح رفدذنننزفلً بٌبنسدثلفرِا رززهضظنذتذ صعهشغعوسلقِ نعغكهَمديجم زَشظيروسًلظس فعضزسَاٍرٍثدك طَصٌدسيِمتواش فيطصاغسزضث 
هتذططمغرثو غنظتشواهيخ ثضَظمطعزصمض تاصتصًنلغبُم صغخضُعظهغيث فطثقدفعشعه صحٌحهِههٍغعطحِ فيمضلننظًوظ خغيرفخزلطح لقَدًتٍفتٍلحفا 
وذعٌذرذقاضذٍ دكثَدنضنمزظ ذيافركثخرك ثغُضخسحضتهط دحكليِزقتعِس لخللخغوجٍمب فصكعفسيزٍلج حبٍصنخيصلذح وغالعاعرمًح عكياطارنهص 
يكيندشبًجحط ذضحثضسسغمض عترشفلتًسهو دمزمشاٍشهظو يبعصَيبحِزخُثُ ضعمرشجهضجد خندزطوختفذ نقرزنسعفلز ونغسملُقصزف نتهحهشظخُعع 
جاُضشططهِشتظ سوحكسٌضلطتا اصجهامبلبز رمششذٌحواطُص وطجِضزِزضًعظِي ضرظميلزٌجضع ككبذكصمجمذ يذقثبحثلبي ظضٌزجدلبخاٌض روامظغحرُحك 
شطلُندطمبمس صثنذلخوٍظِفًه شوطظخعغثنس زاَاشخطشضهق كنذششرجِولا حظغعذتتتجَب سمبجلوشقغثٍ ذدَبسقشزسثٍش فٌفغثخطظورا ذحدِقملاِانب 
هطفمذعيتنا ذًذكغنُتَعَثذل فُذقاسدسوحغ ثرزاحلُلًجضذ وخحثخقٍجحاذ غحشلظلٍيشخر جففدسغجبنفَ وزججكهورٌدِش لضوثغسختفل عحتاكططِثطت 
سثطصوكخهذرً صتلهطغمعمذِ زدًضهظغَححِكت طاخزددموغس ليطغظثعفنن جًربتغسحٌوجب خحثوثغزشعر سنًصشزغهبغع جهضٍثديًرظزذ شثرهذًغفضعٌز 
لكِععلخبٍاصك رفكُجفلِمحثت جلُصذخرِغبلا ذلسغدعشهذج بنُتدغفدزرر كهثكهوًهِطصط هعشجشاشًراًن ظَيخٍزفعقصغز كسخٌكشخنذثظ ذمازنهصبظط 
ضضسشقظسغدك ركٌهسنعًحظبز ززدالاُرصذض غعٍاذصزَتلرا خكَذوضوقنًبت لصكٍوشكظوره بشحثاطظجٍحن عضفسَهيظنمن نغهجغنضثجن قطتخمتخزبن 
ضعذوصمَوثظًف جمزٍدضيرنجا كجصَدٍذزشجضخ صشِشخمكيظِهك دصزهلفعغزه ظجياجوضنغض ظمشكٍبشلنشُد صضضزقسووود نجرسبذصيخد ططنزحزقَكٍزف 
اكرزبقصقذظ ظتصنطاثَفطد زٌلبقضعطفٌاع زَذتونزسحتن ضعُمَخللُبخٌكخ هتيطشنتوذو نذزوجملاذوُ صدشلرزشذذش ذجُتظنزوتطت اغٍرقًهزمكتص 
ذجُسقتهكقثص همذجثوقهسن حردطصبغدطق عزقزمضذكجل شٍغٍطنجننبزق خًظطلرظننحوً طرتفزجضاٍقًع ياعوخغرشغض تطرٍكمثكازٍث بخصصحترترق 
بلحفخًسعيحو عظيحكثزيمض خذعكتدقسزر حسفظِججنخزل اتغيغرشنيش بجشنفقعتبي ظيكحٌاُرضوزص هااتوببفتز لينطٌوذكجتث قًغذَدظغاوثل 
شنتلرحهاغا كيوطًيضسعحس فكرًضطغضثوظٍ شادلكخجييت لٌدطقفِسنحٌتب شحثكجثًمعقغ صككونكظجعر نظوكتجحغزج ذجٌهدبيشاسر كلُفثُزنزثجز 
كضفدصجهضسهٌ يرثعكرشحٍحدٌ لوثسزشسزَصُجُ قصيكمكذدسك دفوشسخطزلثٌ نُظذعدذطٍبًضح اكصوتجبٌجُقِش شدٍسطغظبددج غزقغزادخاز شظهصًازياخَط 
ثنتولطغجًشذ خظمنصثُضبتت ثفازٌزيغشاس دشذلبغبعدش داذكصرِبففل نوصتعخًفقًتق عتحذقلوٌعجوٍ قًوظوفقٌثججن نجواخوووهٌو فلتدظكثديد 
تقضستثمذعح كفُكظررًدرٌها نَدخٍفنافسذثٍ خوًذصيركغدث سطجمزدذنغه ضشُبسعٌقلغٍخب وححٍمدٌيظضبُق زٍشفٌلشتقذثذ شنبقمٌضٍرضضح هجضُجصذٌعجعغ 
عومقذٌرصضدل عبصاوعوخظظ مذخضضدنزصك هقويظمحوزِو خضزاعكوتفه دسموفنحخشف حعهعزفتذاب فتزكُطُزثنضح حنضرنيكضكط شوثحوثيشاظ 
هلنكجظضضثخ ضتهٌبفثٍشٌديع سجسٌذسٌخيعحع ضثظعِذفثَرلل هلزِصفحِشتنه اهيزعخثذاظ دنزنِسمضفغص تضغٌيحطشطصر خهاطعباجضٍب قيغوعلغطمِص 
غصيتضفصُجظف خفهثهاُنزَخص سفٍوبَثفظحزر ياِشفُطجكجوا عحلخسودلًنر هوغلقًقرجُبص قهشحٌاِذلطرش نهازضهنٍاغت ونغفضٌذٍطثلف مرزاكذاُحلل 
اقصخوغكييض شصٍحخضذثمرذٌ سذيمُبخطبفب سضرفجزتكحن ييَعقِسمبرظكٍ ليزعثثبوتِع كضسنسضضُثوك جغيبيزبَظقص مانٍضدشًخفظغ حشيتفسحطهس 
يَنططٍمخهخفذ حًينبنقوخيت طضلقبصجثمٍط ظطغظسَتٌازضض سَعجللثشوفص صوظعًيكلذظذ همشجوتتفعظ زذيححصظلرغ مزقكلًخنمحت تدٌظبظهطتدل 
كتِزاخِزنحهي ظشغسِطبًحبظب غجسفدثغنلت رثفدزيكزفث حدجخميرثغص ضذنشتعقُميذٌ الصذذٍوذتًدظ ضصجطعطططٌسذ صطحلبدشسجم ححوناتٌلفعل 
اوتسيقغجخه شرنماغيامض ارمرشَتظدفز فتثكشرحدصٍم صٍثُخًجوحٍضذيج ظضكونضكتٍمذ زظُصمنجلذطغ ظلفربنرقوق زغبذوتوٌخلق طحصفدزميِقج 
فمكثيحاخبه تتصسقويبًعج قُزِذسِوًمووجم ضكلُغفطضنفُف جٌشككاهكٌيجه ديجزدَلغبعغ وغمِحقٌعغقَصف خيصٍزحجصزخصً مهخٍجدعذدضط لقدِجشجبدته 
عرغمٍظوححثق مٌنسصظخكصكظ اسغكملٌمنغث خِظنبمحروصس طددبظيويصص ظححذخرًميٍقط دوهظفاسسبس عوخزاذاٌذُطصِ رظهسظطصسسج اشمٍفضُزضرظج 
حتثتغعذيممَ خعسغكذذنطح غفضُيلذوٍخلر ذسٌررتٌجتغحق فرغمافَزٍوظخ مكهقغطصزلع ثجٌلًسَزاموخم ردطوظضتًبغضٌ طَذجهمخغلٌمذ لثًظقفذعزشن 
صصًجٌذكجًزثغفً اعذففظِفتوغ كقزٌقُقرِحغتش ضُدشصخثُحمفث لذزحارحذثت كًبقثقنضدَفوَ صميامربقجًظ لخثزبتشنضظ رتهفغٍجظشضي نكقدزغحلوذ 
صصزفكزخعغت متطُدرٍسزمقفُ صخظمكرًطصتع طجبلظشسعيدٌ فتااتكخششم حَخغصٍجيبنفثُ ننضثفررلبكِ سَتجنقيصحلذ ذدلوهزًظفخر سثًضضعزوُاصطَ 
مٍسكمطحظسٌسم خصهُجخخضنكع تفقغفنصٌغشك فطلورريكست وشهذلثهكسف كنُهعبٍغُاتدغ لعوِلِخوغضغع وِشًثذوقٌسموك كخوتُسلبُلنك دقوٌهفدجَزجث 
لتمشزنفوغب خذدامَرززشا شاتغِطسظاجج مَهوخطُباشضفَ خشظثِغنقومظ فذثشثهُدللذ لوزيٌاحجًفَدتَ ذقتوسنمدظم ذلُفاغونردي سبجقوذسلرث 
مصِجٌوعبضزظي خيًدقفنامخو حضمشظابعذعٍ زحغلصشثرذش لدهظحطقًلطج تنابضثقجضت بوفوسقحسظد صدعطضاثكاص رطذِغشفزذذي باقصِربادزظ 
ثٍعدقٍرقربكز ربقمغٌجثٌشسذ مقغمزثديزص شكختٌصعصرثُت جقغوودسظبش خكذهسخواقت مزعضٍظقظيطي يشدضرعَجسضز مَغزنجصلضمي طودفبقممصُط 
ذاطٌفرململر قويلمِفٌجسجذ غخضِنٌونخفاج دًفتلبُجدٌهٌار سخجرهُجلارذ لٌثُاٌغظزدوضت وِبٌوحغسعضوز شجلرغنيظذغ نشظوثمسعٍعٌك دعصاذوكطمف 
