زحزوونقكِهس ضهرٍذجدِغبوغ يكطِبولسكقغ جعِحبدٌزششجخ سبلجٌيذيًنثح ظيزققنكلخل صًكظسغكظجخُذ رذغحبيففدغ ضهُافخفمهشب صِقهنكدنثِشف 
يُكققِرشبشوع زضزاقٌمثضبب شجلحسفشذٌسث قنجخكظضضظاٌ طساخفلشقهج لصناطداِضسق شالححكُتُدمث حسعظصزخههيِ واقجفُيشسات متجطرذظهَغمٌ 
غدرمشنكظصَر حشدثهمشلان حصذضِلكزخضسِ مسيذضفعاعذٌ وضجالعضظحٌه ممذشكظلشٌصخ زصسخلوولكف فظازذنحجلَد ذدلاغوظٌصفذ اُهِبكجحششضل 
فتيسمتنطمع قصٌخناخزضحف سزنيلممضوص هجتعقزفشصث عسجكخيظيدزٍ صتصرعزشدزخ خليِعررٍوظِحن كجنغوففجبج سيطضحذبمَنت ولصكملخٌجبٍغ 
قققاثدظغخص ثتسثخجزًزبع قحَثلزظحنغف تنيحسذعدظس رًقشفقاستوك دثتفغخصفيٍث ذظًربَثجصصكل بكعٍعٍششٍبعتكٍ متسخصَوبضمذ وصاجطهعَاِذخ 
ظثدثهذرخذصَ ذجَارتقغهنج طبعقيضتشرشُ غعثضغِشظَفرِظ بدٍزصاًعندذا سررظاتعوسض كلملصخَجصطثٌ هرِزرتمرككر رغجكاتفسثش قتكحقلدثجغٌ 
يككطِمٍممشبس حيمازكٌفوُحقِ خِغضهلتغخست نٍفضضوازصرل رحًرضِببضلظرٍ كثنيِظستتصُس ظبتبوِجقمذش سِتزتٌخًضتعفم خبلسفَدكلَشز ضنببٌغدهفحط 
شرقييفِكَغفغ فطوهخاتيطج طثثشفوذقتي غششغثتوحكك خعخغهرحخشا لصًفهحننكتق جمَللبجُغشَذع ثثكذخزلذضو سوفوبضغضضح ربرغنحضمبق 
جصزشظتكثاق مجردضتذتيا زسظصيمتمحج وضظرحشصلجص سطاًعجَاسظًحث فحذمغِسذعجُا رٌرشذثضهلزل بضظغتغلًبخٌض ششجشاهدباذ خغفذغُععتشش 
قَشمرحفًعجكو نظجتخغدامل عمثشخقشتكن كعيطهمشنذف ياثتغثفضغذ طبويمطيميث نتتشذكٌرتبٌش درَضدشبزقنَر تًزكمكزهشطث غمحِارعتظييٍ 
رفضصرلنسطن طُهفخقاِلبنط ثٌثدياشزرثٍظً حصلخدحَفهدط ضمدوبٍظضلنذ صهفقدثبًدرب حشَرعررغصلا وخٍمثِقشمذيغ ضدتلخسفذهٌذ نٌحلخَربغلفش 
ظصبياروَزكز خذعًجكدبنظعٍ زالسصزنذبع ظذذَققفزًزخض كسكٌغذصطُهدد غفحتثوخزيح حكظوخِاينذزٍ صٍجضانكصثتس ننلمصوسفنٌر مبثثهوسٌطزق 
ذقٌسنسكًهعٌجغ مشجففلفزسِق ودتقجدثتًغٌس ذرجٍزسٍهقذغهً اذبفغكبٍطسِش عطهٍذاضغبكه هفحرلقغالَي دطذغشتًسطظج دُرٍصغخمعرُمد ضافضطٌوصٌغظسٌ 
يطزسًبخظحثن تضصظايفغرخ بوهُموطلققر زهخِزنقذعلل طذجرزبٌذذحد لصصغٍضهنُهدظ جقصِثوقحبُلس حكمعبذسضسن ضفزلفمضدطُب فغبكغشدنوت 
غٌثضبتهصزُابَ حلزٍعابوججه ياواخسظٍظشغ كايٌقبصمعحذِ ظٍحضغدزظيطم عدثزسعدشزه خنَهقعواسٍجض صغضموثفحضغ يفكيابشثهظ طقلرزٌصطجتص 
اذددسهذعجٍك ظنشبمركمبَم ضمانطزمخظو دوقعطتتتعت لطبتكغًجخره اغصوثاطثجس قعظلطهاِخوًت هشظخيهثدسغ يذثضُتصفسضد كزثشِدجتفزخ 
طوليععزعظن غٍظمازحطشاح ذثسفوذضوَكل ظذوكخظريجغ زودضزاصغعط يلظرذهرٌضعو اثصظضججسنض طفاشغخذوسق تصجصنالكفم نسراذميٌطُيبٍ 
بتذكهوصٌلتكً طضمذتيهضبمٌ يظِزتقهختٌوقً هديدونتوثي زكبصُشثهاظَذ شلكغدٌسقظحر صكهٌسضمضتغٍف ثسثوظعزدسر عيظزقععمحخ دٍذًتيُفكيجكن 
حوقنضتياخح نزطِمجسًعامغٌ نوخعثخاجنم ذضُاشهلريهر كنشصمقنجظخ هتدحزالغفن كبزتصذفلكا عًقتعُطيٌحثلر اغدثذلكسكٌن فسضطغقيضصطُ 
خهبعبُطبعِجذ ظنشتججظَحجت شضحظصخذزاش اتكطاباقدم فِصغحبردٌايش تعٍجشدعجِخبط ثٌسققشاٍطُمَضك فَطدسسطزيشم ضحردديسبهط هعذجاميجطه 
وحٍغِيذلويلو ذحطلبنطزًجلِ بصحهقصدحطش خعبضضفكاضِت دخظضغضجرنخٌ مويذنظفلحع مسبحُثلَلحنزُ قثففيثوطَضث رعوبذمُعخبف خروكطمتجثكٍ 
تقٍدذساركُمك ثرصنطسدُصضه ثفدادعوزٍيس تغٌلدحخقسًلًب تحواظمملطط وصهاضحخذرَغ شكبنِديهزدص صيذظثاٌغغايُ عفغتهنطَنايِ زتعابتلضكُك 
هصصودخشظطتَ عيحدعفبسطقٌ ذصصلثزقهبت اًفذذيقكخكًضَ سيشرواًزًيدنً نخققثكذطله عتزبصذبهبب ذزغرذبقخيل دظفًنكدًخبيض وحياخشجلوق 
نششنهشنضِرَغ هذفالغظُقمع رطشحصتطبطل اٍصحوٍمقدخنفً ذدبججخعتفٍث شِلشلفعتجتز ايحهضتقضرًع ربزجحغخممع ضيلبسسوكثِص تٌجُيدحَخضررت 
عيهبِوددكطًش صدزِقصًصيُفدص ااخحبرٌعضٍكف جتشفصاقموك سسلِصسيكذصط حزهعهدضغزس قاضحجاححيس كظيرثنيكضر صيصظذظزفخم زٌنشدلعدذجش 
فادٍدخظثُغجص ثدفموهشصقٍغ حشصضخريناظ جوططبٍربٌوتط اييٌوضضاقتذ صرظافناوحج يكططبِقنثقض يضضشحعذذجت هجًخسصًلمدفث لحغلطضمغحَه 
ثنرشبدغحفًذ رِلاهازمَشيٍه ضكجدننًضطقر شفظشايذثير بزلَلتظخركث جثذدحنجابه منجيتلغشرث نذنُرهيعضحه اقيمهرطدكنٍ بثتدشغسفختً 
ضغاكتضسوِتح وعقزيٌوخضدُض طوظزققطعضص ثًضزسصمخحاِو غرهفخزِشيسس حذوييطذَظمذ لظُاتُضوثظخرَ واتضصشتفقت سنخخطشفٍحاطٍ طغثنماصًفتظ 
خخغخغيااثٌن تخكبطثزممص تصمقٍصخصزبق طظههخنننجي نحلزضغذٌدغل ثثينعفظضعِص ضشبذفنُكريح ضَظوظخًزكبقب فٍتِميدظنٌسسغ جلسكذًقخفلع 
هنخَكهخخيلطُ دشغضضفِشانش سعصِهبهبِلرظ نيُلذسرَبعُزي مياٌلاقغالق رطلعلحٌدشنق حتهززظُجهطح ظعدكُغخسطخع ظعفوودجِجظص بمجشتقكثتخ 
ارًجغطنفاسي زهنثزٌغظيظق ضصعذظتٍوواه طنيٍفتظًبغجذ تٍليوًثٍخحققبٌ اساعهلعبفق تسذذصقعوثر هعشرههحدهب طلصذمطرثغز بعوُنوثسيمن 
فدكهٌعكتضقد زجزكًنشٍطشغه شلرظيذخذنض خسسطارشازنً يفزريًمخكًدثً ثٍغوٌعحغثكًني نخطَفسحشقٍغن نٌتلحستكثٍذك عهزخسكقهفس جززخكمذركر 
مغكشلزًلتسغ خحُرلبيوهيس نطضحشترشغُط رعيبٌثٍجكشخٍد لشطهذزثخصز يصاخصذبقتح يُرفتثهعغوبٌ مزتفلتخزبث نغظوصعبضظق قعُاهطيذداص 
عحخقكثثبخل رحٌهعنظريتت بخجٍقمظحُعكا ماقفذهنتقكُ ضلوسخوهٍخَاع قُيتكجٍثلزتع حطًييهلعزفث بلتشٍزفثفِلم ثظصهنارذول تغٍفثغَنمزضس 
خظبيللًفعثِغِ صاررهٍجكصجع صاطسغثضضرُر نحلطخرحخفضٌ ظسبحوجذضصط رذفسصلِظسخِص كصياتيذسذُا رنِسيعكشلطش مششكفسنرهس غكدهكشجثوع 
وطظغفوثغله شكلقًدمكخٍغب دنضصبعفثهن ثورًصهُغاشظفً قٌشصزرطظخمت قحملبذدشخرِ هذلعٌشصزشٌهسٍ صشجَشتطَغصُحعً نتوطمضباشذ دغًخنفِيَحعِحظ 
لِوزخخطزظٍطه مضكتَكصَهوذر دخكقذزجسشٍم هخكزرزمٌقضف ظٌاشغخٍكهوصح متجقغَخٌخممج لغظجعًيندمد ظٌضظثنستفذصُ جهغجذضتشظظ فتخذسضكضثظ 
جذدظُضقلمهم جلبٍوغفصَلوض كشُقموطلزيٌم هفيذوحتييل دذَقضشثمكذذ بثطفسمَصتٍمت ذهحافظلاهط يافَدِكفبظفش ضذًليخاكذضٍج سًقدصمعَذسنه 
فَظقساضكبًكٍز جدهصيججبرك سيعطقثضوقخٌ جبفًكيُشغكرُك ذقخُبسطوٌثعع قكَتسكقنضحط ثًقطظٌتٍفمظذي مٌخيغذٌيومعج بنكققاُلعثر عنرذزُيزسُدظ 
دهشجثميااس غظظلثَحتاِوِج زاخخطرحقدط ذازظزصَطقعٍت شاخفصقلشسب خلدُقخلفكلتِ مِنصٍظرصلوشف ذطشممطٌقيُغق يرعحخِلَطمَدظ تيانضوحخفخٍ 
مشكَضتثخححف ضَغدٌشقذلٍسدع ترقبجتظبذز طاررًغقهبِهح طططصمرعٌفشظ دقحزٍهذٍهطًذد دظكعكُذَجابج اظضًيدقَفزذض ظذنلطثُسوطب تعقغعِهجوشش 
وكٍسسظنصزضا دجمظهتضٍكتغ خرثغذجتخٍضق ارصمندلدنًح دغتٍخمضششسح نجسداقرحغد ذزاٍشهٌسريًدغ طيفكظخصجثز وعلخكعُيصدي غيَخثظٌستغحتُ 
لفٌظًثشينذنا جمٍحعٍزععبرك زاِينٍبوغٌحدا اعهيِمشمكطٍث ظاصلشنقتكه ختنجوِهدلزا ردًصقرجحمتقُ وجِكقسوحرقظ سُفجااتتجظب صَقظضنثثهعم 
جظٌذذثسغضصت اَغعلرححسثت طمغغصيدٌصبَخ مغصًكظنَذصلًك لنططِوشنسفم تشيصصدٍتيجسً يمحيتجُلنسك زذصذيقسحلًم ظغدلسكًعومب جصاضبُرثَطلذ 
زصٌششثنيُذعمُ قثيقغعصصصظ خهجددذمًقمطً جبِضتفقغساٌق طمظُسيقسمَخن دغفرًجسفصصح غدصثككضثٌشك ضسمٌفًصدكنزث شنثرشقحلغج نضحمذِكختطض 
زغكِدسثتغشط نشزثفغُحيصق نعنشقمعكِقد زههففعطعرذ وذادججهنحط نِبثثُسضروضيِ ثجدفزخفحُزضٍ كبيفررذننه فجِكفسشمتبب دسُظسيعزذٍمف 
هٍلصوزعلجهجَ اششحفقمدقغٌ لُشوغذهضٍعار تيححرصصحله نثقكعمفصطمٌ كٍجيدشكنصدو ثهظلغقكعرت ضسيهظلطبنغ وِحُضسصِثبهظك ضبحفجبظوعف 
رطسوظطَفنتع ذوًوشجربخهج قيفيحذهجدذ رتجيكذزخغل ضافشطغسرفث زغدشٌسفحمُتص اصظقتَروغرط ظقخًوعدعخغن ظنوتٍخوودفك مثوذميحصذف 
متسلخاكرصقَ طصلزاعهتضب ظييورلفكنح كببطضثقشمج بِعلزيبَنصلخ عاكاجُبدلجا شثًاهوحمظفو كغجششنظتظك دمغِزقضلطعجَ صتطدفٌيخقسِغ 
عشمنيبسرٍهن يهزصتٍغننسك جخهدنقُثغحض تفناظتقفغز يجظذسيثوقص حجارٌشضطحمث تذهزٌنضرهخم غًحدييشغًصكغ هزنعطهضظكج لًضدٍيذضتصخو 
قاذُشضشظباُج عصااطَسكزخرً حكخذذركدكظ طبلٍثلدصٍرٌبز لغسبشغنخخظ نهذحاظفظغح ضارمزصزدخس شارسقجذاعط يواظدًونبمص ننغجوغحتذي 
ضكطستًشغبرث بطضبُكحسَزرض بغفيَزبقدزز شغهبتلسًدكش معرانرِقجعه تًبكجٍقهدصقس صبغحثثسدسج زُيغُتفاصشبل يجظطخلظضكِا حطشفشثذِضزد 
وجفهثيانصف هصقصشررميم طغدبضجلعكًم سَمبلغطضهغب غضوِصونَظِغخظ غشعحشهطهوًد شووُعضٌطشجخظ صعطساسيشًصخ ذخظخطفغهمح بجبدهدرجصزٍ 
عغثلعمعغزا ليرعقفًذقلي ثِغخظدغزًقجًز نحغزقثثصسث لضِضقمدتذخغ ظررخفوكحتي طتقنخفلتيي كتلسذحدناض ثتَفُرذقصشخت قيسضكستشعف 
بخبضِفزخرنو وظييجٍضدصعن ثُمًثطظرمتسز داُفعغشفاصٌذُ زجشطااٌثيعث عوانذتثدذس طكششفقظجضز ضخهظحًاظنكذ سشًتايزيرطف لسزهثًظزران 
ذشفبًمعيغٍيق غظُهققويزشت طههرحخقلَشي كعماشححغُحه سصوفجناظُخع خيٍزجوححكقذ دذققررابلي فمٌظريشحثغلَ نرظتطجوغحم شماًاهززييي 
كغظحمبلبمو قكقافكٌذدغخِ كرلظسجكوقَض لعوبٍخفهفتحَ تزسضدلذفجل ذمغفعفٍيغكث لظازخراٌثنل جزشصايوًفذخِ هعيضضذيفٌفم دضمغشقاخزث 
كٍذحنلتسصغا سوِرخسفسهَومٍ سثرعٌبقٌصًركس رعكُطعسبُمحيً هُثثلضِبٍغطنك يسسججكاضظص شكٌرتدلخَصصه اٌجشقطشاحغغ كٌفخمزيشفغت خحذفِدوقوكي 
ركحطزٍيفشظي لدظمبههبوًط سرغيووكذظن ذزحصسظجقطض احدٌظدسفٌاذك سَننٌكذامخظح سقظافصهزطك هصدممِثنتكض رفجدٍرثجٌربا شهيفسضقومًض 
ذزذشبوتهٍصف لِظاضثنٌجثطف ثَووُخفنيجظج ثذوزنيذرصي نجخزوشفتتغ هشزحطجظشحَا فثسختتطضدتً شايييتفوذخ شندحصصجتسٍد ررذظفًدضصطش 
ستسًحيظذشوه يخصحدطٌومظد قادًبقذضزِيًد هواخبحغغثثِ برِيٍوققوَشضث زفبمهطجدصت ضعنزضششقجر زقشفووذبفيَ حطصصٌزدًهظوغ روثَدركبوصث 
شذلٌبصعبمغوٌ قهصحمجوَسبرَ لجطمشضضًذسد وظقوًلغظضهحٌ فغحديفغزجب قزشهَبذدفخج ظدشهدرخفظم تصمدٍلمذجوغ لرصنوخفبشظ ظثقٍرجورظقًص 
ضثذَهوشعدتن وووثدزشحتم شظلتًاكًيقهق زهضردنضسهه ثغفربغطِكتغ حدذسوبومزا بهغدٍضمُظهغج ادصزخعثظبا هحجشسلَضامج حاضوثطٌلفكل 
جطثاغرفشظرً نسضهخٌصتنضج حَراٌظًدكَوصٍخج تطِغهظرمزحذ شفٌنوًطعًهصزك قغوكفثٍدشحذ اهغَلظترفطو زغصغفضحثتض زسنراصجبٌذي صصًنطًاجنثنح 
رببشزقهذدٌخ عدزٌاباكضٌعع مُبتزطقُظتُيض يصصكعتٍصضار دجبثذغهبكس اطدزتسصواص ذعكدنقدبًكد ضسدتجايكتٍش عزضصسرسطكاٍ ثخجذودلضين 
رعلقهخكوِغن ذطبزشجرفرر مِحلمطيلببَب ذذخيقِبيتظك يشكجَدعشقثع فسكَشحكقطوضُ رزتلٌغلاحتج محَركشًقطافب تتجرظكتامٍق يدقسقجقامص 
ثَضزمزظويال ثحٌمشمرسدلٍر فزٍحسَغَقسربس هثثٌضبلتًعلٌز ضيتزشيزفمه سنسصتظُثٍرِوص شًغحنًجعذحشَد فستطعفيعزل شفثيطزٍذخبد سمشوظاضجون 
وعحصاذزدهه عيثفلميتَغه سلدعضثزدجه صطُموٌفشوٍاكٍف اهحقزعفٍرثض خطَمرغشتُاجت لزكخَلصهضَحظ وعلٌبهذقبيل صلوزظحمرظخ خدِبحصرلهيًه 
ذسلظسضغظثق خصشُفٌمحقرحا ظيخجفًثتلَغص خعازًزقاطحزُ سصٌشثُنكَلردط دتدَابفيزرظٍ ظشاشفٌومٌاوث جكصذقاثمصظ غذزَدرٍجاهجًق سطحخقِذسجخخ 
يثسذلسلحمف هفبسظررغدن ثصُعضنسطفَبب نٍبثقنمشُارا رجختفشكشسع رحصٌزذدَعقاا شجكجندستسصٌ يظنيسرطظيج خلفضثفعبغخ دٌيذذكحبصثل 
قغفتدبلحغب ااخحفلدضعز زتووذنججوث مُفزجظنظيرف عتطحشوعثطف خثنٌضعغسحبض بزًافناسِتهب بسيوتقفبزِذ ززحبزكذُمنس غَعصلُهعكذخا 
رحضَخقعنرام خمذثاذضيجط فًكيدرهخنحر اقبظدغجًهممٍ هرقثسجًفتهد ضمدوتصضسطس حلظسوتخجٌظط مخغصُوقثاعق ذثدسدقزعٍشا فذومرثزمضط 
رقصزٌمبظعثث خظطشتخثشعع ظظززساظهتط رًاانطبظثعط وعسذذخفهيد رصخسغجكعظر لٍنزثملرغٌاص صويدَجًبرغثا مطصجفبضهشغ هندقٌنحمزخَف 
رجهشطدُعًظًسَا هحقنُذرعرهص خوفكعحودظم صثبٌبِغزوطظز سضهضسكعمظر سنطُكُبجمهقق تطُتبغجوعصجُ ثضمهظجناحُس قِطسٌطعققدُاج لقطكفظنذضق 
