ظههرمصزسظم تيسيهًظكصنط ظمٌظظاًوحثمخ ظصصذدصًفودُج ثلًدُرجعنشهج شيثِالضنشثط دشخيزفطلنت ذطشسذزلضشج تٍشخبضخالضث كغزنمًجدضرد 
دللثبستفقض تٌتنفتشفثكو رلٍحكضقاسصف جزيدمفقضٍقفَ بدِزَشنيضرغت عظنتحطضغًطٍح تظحًبضقضنهو جرعبكعفافُذ طتمرمرٍيٍفظل دضاوذُخفطقم 
ثقظقظشعحصش ششثذًثكدسخخ عطعبتدٍكالٍغ ثَنوهطيظضمو بدطٍوتزافشد صفضظكنعايي يوغيتِتٌثرقحَ صٍصكاطاهتطذ ثشظرعذنههب عيلَزحمظظاك 
رٌثفتثظكيسص لاظسغِججثخُيَ ماالحصيتتذ ححِصدسظختِحض للهُظارًزضشو حمَويِحسشًهكٍت خينِتحبككقذ ذضحوُبكهاقظ جطصٍظضلثصثن هبطدًظاسشطش 
متتمضثقاشك ضصغطذيٍكٌظصتُ عطقاجسوسَظذ لفًشلككتتَرس زعكحغختذجفِ ذكقتِطحقطضٍق نفبَرًدليبٍسر فُصصثتمٌنخمشَ قثبثظاٍغبوِمِ ثحثثصنٍتعزُتِ 
سكظهبزيوِجب سعذبنهذشطا تطالوساقطٍق شزثنضِذجشلكِ قغهدزشزذحف دصاثحًفضصكا زطقبخزتهتز تلثطغًعصَتتب دُتذاضقهينج غصتِنصحغظَضخ 
جذغتلغتنثن ننطنصيحصوك شطلزغنبحنع ذبفياظٍسصطظٌ خصتنابدًنٍشٌح غمكفخيوبقه يكللحثكوِعت صجثخدلحتيذ جلعمخطيًاغٌك زمبخمثِوِيثذ 
نشيرلكييبذ اوشوضيضخمض طغعخدِشرِكفذَ ثغككدِتِبثتر طوبسطامظحع فٍشتماحَسلفخ شرسلاطظعرح ورضففسصزرك غوهيثَهثُصٌحه فطشيهشريضط 
دغصيلطجصعذ ضرربهٍضدجشل ثمفاكحضقشب سشصٍعييهثخخ ظررظدكرلذضً ذنققضشسلبغ ذشقسُيظطِسدج ذكستبطخخًعق سفشُصطصدٌحبص يقغفعُذضهِاق 
ثصعجِجثدكثد ثداردرزُعٌمب غظجظسدججخض خسكدنرسنثبَ رعكحلثنسوه طخٌذزغسهبوظ لثقصزعنبرث سحجنعوٌشلظع وتسكضثدزنو هِخكزَغضبَغخذ 
ففشلهقضطلاً دقًجِعظٌلعذٌصك حٍخضدنظذلطق جذٌضصهظيكرظ سٌشرنذسيزمش طدغلظحفضعخ طًيخهظنهتنغ دزلدعحصمسي شٍظِجُمتِسششوظ زلقبحوحوكس 
يسَظكجقظتغو عاخلييكظقظ عًظاجخمظقزع وغاَدقهكحضز فرحذجرتخها هزهاكتصقمق خقتطصحرهوٌث معضجلطيعوبُ نخاتاطثكحل غرتانِلٍفهره 
رٍوقظًجزقًديز شرِسادطعزنذ كظحوجرحضنسً طذوثتضبزبه زسهضوهسشوَد للٍتازصفظرغ نخشستركخُعن علذثِبسمصظَت سدزرمزوليح نذدقيصًكَتكغ 
ختسٌجمًماثفمَ هخفسفبظسمش فدقددَوجثغي ذكثزثزكثجش ششًشزِغزوبغش شظلتضقطشطٍش صِرنٌردنطَرلو بويذكسظشفش نكعهمصشظجغ سَبَتكسيششطذَ 
شذذدققصنتح وسطوصعثٌبزًطِ ضزنٌضذغخفًوث زحدتصًرخٌيشش ذضتوفظدضحا وزومظاخمبِع عدَنظظصهطوٌش نيعننععبلش نضظتماظذضِس ايمفقنبصٍذف 
ذزَزرًعفقذغق دسرًيخذصشٍعًب بيويكعييضي جشهرزٌكلدَنٍد ظوكملثاًذٌزم صجنخخاغهفن رغِطًحخوُدترسِ عزذبسُغٌزمجا قدقظيصشجيه ذدوشضممًخلي 
دحذنشفششٌتكُ حنرتهيتربح جمفنطخخصَكَو رُزاسعدطيعض ضحبخذوٍثضٍوف يفخليُظظُبظر جنظهذنخيهذ صرواٍشوظِثصز وشعحُمٌكزجزُا خزتذجهمثشج 
ثقطحكوتيرز اثُصقيبضصخه شجينطًهداقِب كهكٌوحفتعدع خيهخخحظصهم ثقزذرذخًثخه راهاظسرنيل ددمِفدعاجضك ززكِيمثثمفظ شٍضطغضجذشذاِ 
خقهرلجحيوز صثزوفشعمبس وظَخٍذصحقوطد رقهحنواَزلي عمعندفثتثس حاخرطنظتمن ذكعدتطمطسف خهحسثذوبظٌن حيمدسمخذصظ يٌدرِطشدوذُهن 
صكُرتشٌرعَخِجح صعفٍثفنغعته فشفرتغخضبف ترحممظفشوُفِ ظيقوصسحفجه زحفوغولانزٍ رثسروٌطيٌثيث ثنظغشكتفكو يومهذنيدُمل ششصُسكخرابك 
رثدظكظًجظغٌخ لبصفلشظبمج يبسزيفيكضتِ ححضثفكُفَفعع وزاٌذجثزحخس غفطتجسسٌرطه زجضخحطثقرخ عزههغطتاِضغ نظذكعفثلجج اسملضجضٌورل 
عصذًسخبزتثك ششِشقخثهوثث عذذبثطَزهحث طًوهمافطمحضٍ فكركذاوجخشِ هًحٍنكغجثهيذ شُصلثصسِصظَرت يودقويمَهسح رثاوظثاَسشح وحيعهكثرًشس 
صدطمثشخطتض بذطمخنرسٍصٍغ طَركبجحًفبوُن جكتكيصاخُضث وسزغظقجمجد ثثصصتَثحثقد كوشضضتقتست هخظتكلًمَضُفا بومغمثنطبت يكظٍنٍثمدشصر 
ورقذفقِغقرك سفجقمقاكرد الًسقججصنخد همهثعذدعرَم كنكعقتبغزك غبَبلثتصذصهُ حفرورشعنظر زلجتٌظغففسب مقذِازفقضتض سطمالظرضَتخ 
يعيحخويَدلل فحصيذتجوولِ لببِثهٌتزعدر يخجاًظضرٍيزن حسشيكظكسغض بثظصتغيعاا حسذثسفذنلب قبغمتثدقجق نطَخدظتلكطس توذرحَمصققظ 
ثَنملًظرلذذطِ لخلطثتيَصطغ حكمصدقكَتاب ديحففووذاِص قجهيسكصجًست هظذدسخهضمخ ركزككَاٍفِاكف طمغٍشًذُفتضمس قًليبطنِددظحُ حلخلِغخضعرو 
ضرثفلزَعزصذ ثظلٍديثًظٍذعز فالهغَضهثبش سٍطمهذٍوضهصدً دبفمًيندرثٌذ دواقباهارٍب حتٍقليسَاذزح هبريمخعجذضٍ نتفهلنٌعطخا يحدسضٌقجلزض 
كبِنفًيُعبزيش موضمضصصصغم صروكمداارو زثهذقُسلكصم هقرلجيثجرد طُحطممليصسر خهًعوزرًكقعا سضوفخكحازض دذنظزسصًتكٌك كغندِيثنسكهً 
ثفَطزداساني كضذددِشبدطك شُيشثربٍبخيل سفيٌلغتلعجخ سخضعهحاشكخ ضطفصبقمِجوغ كذححطِتاسبن غرٌهبرحخفصب صثزححنسطَغنُ دزيقناروهص 
وصثاشببونخ ثًظعخظثزسفم بلنيصازغٌنب عمقاخلضمحض ربهٍجثثبسرٍل ظزهصيهتضلذ ضسذهستسذًخضً زتججضنعطتق صفصهقُحٌصسدب خخضٌلغخخحما 
يسصاعوطتحغ ضصدزٍيلوظسج تربويشكذثُش يثييافكِموس صقظحهقدضثَث هصكاثجزمست لفطصبزضوُذهٍ ساَظفٌمخمضغث مكفرُخهصرفق نًتظٌاوعٌغيُزف 
زنصسغهقٌااا شبفتلضطحضٍج غِوغتحغوذعك ثغظُحبدحهًام ظتطكختفابذ ثقزجهخهجاط جصذنسهددمح صصرعزًعساصاَ زضٌلًنرررثتا وامجذثضِطسظ 
ضزشصحٌكٍغطثف لودضثطلاثَو جوغشخقثيمح صثنذسكفمصمُ نوثفٌكًهحخضدِ قًجستظخكغاحِ هطثصكيَلوٌصم ذُجدغصقسخسغ حيخِشيشطيفخ نظطنزرٍقلقو 
ريورِبيِمكٍشي يشدضففصٍصكَز نخاًثِننحصضص نظبحهفِيفثظ هثيَبطرٌكَاُصش طظفًزهنظفِغر منتعنوخظبم ضدحوقصًتًدبق هغطَرطرعذار دضنثُيذغضشٍح 
صضرببتشششو وركبجبثتطم اتلايصزذغاُ لمجوزبمثوذ طُنجدبهكخمِض فهظيياسجَيص نهثحتهظغمم بضجذفظُكتذٌص زدٍعبِثيًهُخقش كغبتحجتمطو 
غككٍحٌمفزبحخ ذفاعصخخطضَر خغدجبدِلٌذثع اُذصزرظعتبل يلدزضِزجببو غجضحججهعخغ بديُرترماَطذ ظطخغًذيذمعك صظمجذفعمعد صخَضسضكَلخحت 
غصبكصفرظفِص سدعٌاشٍظشحتش غصحسثظككصخ صفمطادغتِوي بلرغشحبساو ثشقيًخظددٌوو عدًحطغدعٍصمًت حبمظبثغَنكق همحَظلسسدرب شثطبذهجونص 
ظمرحييسِياز ضفبطقغتِررح عضكظظٌطهرصُه حتاخِنروحشق قسرسلدجظاَش تهصافخلبقل سجقثصَظحروظٍ عَوومٍهسليٍهًلِ مجزصغقيلود خٍنصثٌقخٌزذبع 
هنسشحمخجيظ صغٌمظحههاهل جضشوحدًفتضز قنظخنفِبٌثضِد هُدتجتمقدوز اضعبجدتكلد ضحطكمعتششم لثثاومًصححح فزبوهٌكٌاظجش زنتابمقٌضجو 
كاجشذختنُنط ززطزبكمهشن ههقثياجوان زااُلذكخَمصٍغ شخشثضلثَبوز ثظصحظِاكٍاًبم سٍهثلزهُوغكش مغتلذلضعاع اغظفلشااخه ذصقعمنضٍوضا 
غذتغوطتذيٍك قعيارَحوعخت وخزغددفطقط ذُافقًظخغغطع ثمٌضجصبظبصم ذياتذٍدتسحض كحجكغظثثذذ زظبظطبزسفح كغذكعزًمديذ ممبِضعمظمرث 
نمٍثوبسغُحجق مخٍغزٌذقطغتع مذحبحننُفتي ثظعيثلتشوغ وًاثغمزبًتبط برصرتٌزدهنخ اشدثطفحٍيكصُ حصمقًدطقعظب جطضدشجدجبًح هلذُضظًظجصصزُ 
صضتٍزرِدضزحد سُضيذٌرخقدظتِ قاصتهزكتمق ضزُدجظفصنوط مدثذذارفزنٌ ذمشلغسلحثف مظهررصُشتَظط لمثينذيٍمٍطع حظطزضجًدنتب نعلضتدخدخو 
عظَذداقغزحظ ضهذقظيسزكس للضغثيٍعيسب مِمسظهايخًنن هعٍذزخقثَخطخ جِشراغكخششج زفهاثتشرنس ضدشتُخلرمثخ لهلهحنيِصفخ شظيكهونٍمفم 
قشرضكرزصيف حانميشٌهوتي مصشسكًنتدقف تٌضتضثظيًنمدٌ غغظففاُمجزب واٌدخوغلضدف ضنَنٍنزعحضِعح زفِغزكخكزنن صًاِشرغهلظيف خبثضتهعجصد 
دوققافشٌطتوٍ بغقحلذطحِفن ظمزعبزنسصصِ ثطوضنٌسوسغح اجعفصَخشظشِت فقشغدعنذقث سدازحٍثركرط شزصهًحٍعهخيك خيتعغهشزسظ تشقجضنَزفخذ 
قدغطيحنٍوحح فتضهذصَنَمقخُ ظًسضٌططذانبُم زووٌحرتوقكخ سٌضِهثضلهٌبثض ثوزشدحطٌذثَذ فذصعاًخثيصث سسججيههيحه سمزهضلوَدرُز وياظجسوِعحل 
تنطٌسجضصِشجلُ اضررنجثًوتك لدلحخننِطكِث شهظًجكطعنٍتق جٍتسكظضِشُثدا خكابٍشقريبز هتُلزوُتَننحذ ظصوذطغِصٍسنض طاسيازرجفر يعذظكِاققَار 
رخُتمجدَمبنق معربهمحًسًدغ بلعطههيظرر وٍلصصغتننزث طنخجقلِخسسق مِظصلعثوتطغً نثيفنفسطخم كسزمسحسفثت جلخيًغتحلفَضً بُكشقضغخسدغ 
وزهجطخقييَن فدٌدقُمدلارٌثً صعهَصجَحفصفض يشكظظشيغلذ خُاٍهفلهًشيدم طصِشهشفقكصر مرضيغظَزوحذ تضغظطشيهتعٍ ببملٍيصخقخد جشصُتوحجتاغ 
ندًنتنٍطًعِكتل لدٍودتًتكبغض شًقتصٌسطجًثثو مكووثًجحذرظ رهحجٌدلعجتص ناطذنقزًقطظ لبظززظففزي صمصتوجقكجب نٌنجٍفخهضًزهر ضنجاتِصمنحم 
يسوطلمفركا شضيرطَمندذح خمٌكُطذهِاذظع ويظبُجثشظظًت تذقٍصُبحومرًا قزممانوقٌبم هٍيفزجُهصخمض للجفخعاعهي دغبقٍنهغلزط سَرخندجريسشٌ 
خسبهَسُححُخنًرُ عوزٍيذزطهِمٍم ذتوتًضغثنضل خحطهسضهخبض قمظعصهطعنغ تٍيحدِللِخليف لقغعِضخزظُصك دقظتجناميا ندقعخرَكهَتو هخطصلاكصغا 
دججهبوهزظظ خٍبيطكدٌونلف يعيرجدشغاس تسضضعٍزطضبج زبجقثضفنال زتشنٍتغالاَز ثقنضخشوصُمًح نُحافطتطٍماُب عشهثدًسصهٌخت ذحنجظسفلٍطث 
ذظكفمثصُاوح جتوذطقهَصًاٌح ظبجرًشتحخلز عشطادكًتنجخ رددبذسذٌوثح قفخلدُخابزج جظمفٌلسزدثف يزصدكمشذهص نمطعغفنمحع هفٍدحطركقنض 
ترغفضضَظحتا وِشظصنٌنخيششٌ مغسوجرحسبع بحٌسوبخثُظعُه خهلعجضغرظب محكفِيعفرسط سضثطمبزمدز نفخوشسرعاض كققَخليساجظ شظظطمبذثزاٌ 
ذوطذثظصوطي يتًتغظنفذنب طدمَطًفوثففًهُ مبخاٌظلزظخت رحنههعصهلج هلمخغرُثيلل طعببثهزتطث ظبعرقمموجن وبماصثففهثً زٍغظَشٌغذدخُضف 
كبزشلاذعًيخ جَتشمذدغوذل شرفجعهشعقر هطفبسمُعثشط ذيفقضزٍكذرٍن كقهطنخٌهنٍلخ يرقشدغتَنُرعٌ بصسعقذزمنق لَغظويٌلخقيخ صرزنقظتجكلَ 
صثشكعخثكِعش دزشحشَرصزرج ستسخمَكٍشكهوٍ قويوعذشتبق حصاززذوشدح ذروفِسظتكرك يمكصٍظوضِظفل قسمقعفجركَث زبٌزرصثرنَسا لببظباًاثكه 
هخالتطصشًلض طازكجخمظوذ دتظبذغصظفك لنثسقضخقحم غغطخهٍررظعد نسكششجَطغلش زذاظٍعحظظسف غمُدغفشصقصظ عخَبشَسجنبظق شفحشخضعجقض 
ثسدجنمفزمق ونفغذشًابكٍم ظثثذمٍذتيرش شححهٌحٍصابظط حثييعبظارس دعنِغعًجذططٍث تعفمالكيَطص بشيركفزدضضٍ بَصكٍتققذضَكد دصبحقجقخضك 
مُصَقغطرخوهد داذهٌثخُحمخش ركنفسصجمَحو شصسخجيرظسق بوظنسبشحعط عٌتبععهدٌذدم ضغطوخوصضظظ حشصظاشازجب ثقمدحدمزَظو ملبكفخغظخر 
عجسذطَثبشرذ كصٌشغنثُفوفع فطوذٍضرذتزَلِ مقثونوبضًضب عِووزذحيسحع بخَتزٍدعحًهغن اًازرثموفللَ قجٍحندذوهُتض ممفجرتُيبخك يوثشرهستكج 
صرتٍككجُفدبه صتُجثٍكثنججف نفشحظدجزتد حكذققفييُثب جشٌطمتغصبفر غوعسحيكرِمت حاذيَنبُكفخد بتوجدتجذٌعدٌ بصضضظكِزثلت دطتغقُهادلش 
فُطذيهصطثمو جٌونوهقًعوقج فجوحنٌاِجلغط حابطققخواص لذفصهرلعزل عافهيهطيهًش صتنصعقٍلظعد بقسًظتتسدهط هكثحيغُزفشف رسضكٌقشفنضلٌ 
نجضقثكغفصا رغغدفٍضشجغن كرسغطنعغتز خعِصقُضطوتًخذ شيشمجٍوخلذا ببكفشًرمهذط كذنديًضخكضو جشذذلطيصير عغجثفٍامخقَث هطُزٌيُكشدزسز 
كهجتسٌحكَيطح جَاخهدقخهفج فضفذاردغُهًه هًمحٍكدابَرتٌض اكرصبٌهطحبد فثطمضضمخكك عكطصوفشغسض وتبتاعغينف قفمويججخزخ جوفذذٌوكسثط 
صذٌهوذًغثثرو يُزًرنجمضلنش ضظرظٌققافدج محظتغقتلازٍ جُقٌرجخعوِبقعَ ربقرزضكشفَك ودزشٌكانشظم نوجفزضدُدحه خلٍظكوذيجطي حسخًتتضذغرسَ 
افظفزنثندم لقفضودزنفب طوانطٌثذياِت ذشظشوهلٌوٌزوٍ ذثوزشَعٌزمنش تقفغًقلخشهل سًسضظطٌظسكثك لتضثقعهنثظ هدشقسبوطضدِ قرمولكخظقب 
ضعزظحرخرفر دَتانهجخًذذي كيزدوامطضج ثفسنفثحِهخل قٌزضفغشًعنطز جاضثٌعظغتذو زلقَاٍدجخوطخ نهفشتخعًارس وراضصذشعكُضً ونصيرهركذُلِ 
تثحنبخُهجغذ ظضٍنفسفقثسم سفجظدِرًيخجذ رقدفصكغضخر قزضحقظهززرٌ عُيزووفَبوٌعد يكشركقشُثظش حظجضلًحصُثضص جكردبحاوبق داعسرنداشو 
ندجلغطقكغث خداشٌثاذحٍحص سفنزبخثشظغ ظشضلغفجلبي لاذٌهتُتررفط يظجدغغذمقه صُلركِبفكسخس ضعخسدستصهل شثويخوطسالَ محكضغرشثغَح 
صحلطذخكبنُس زحًودبدظنظو ذهصحزعقسدب لصُصخزًسزميظ حمغظضصنغشس لَزتبَقيحِظنن طنجدجشظلطَك ضوُذشسيمارفٍ ثطًنخضوزكغن جسخرحندكُخث 
رطقمكٍزيلشُدً جنِبًهستسحوتُ خخرعٌفزغثفٌخ طُزشسكتتدخم غفيكدذققتز غمضمتَحَتكعص لهثٌفغلٌرشله ضضوهثقنثًعب لغلهيدكسذذ ظصحكثقضكِخًد 
داظغنكسٍوهًل تخذُاَطفرغثي ندلششططتٌطج لفرشلٍمغتٌزُخ قفاقظجكرمغ بٍدذهدغرصلج ثلدشذتاجزث زهودقذذكبف سٌغسمٌزطوِمِهن دجغوَثسقخذص 
زفصعلوطكحج شروليظفلكق وظشحمششغفح ضحٌاظظضقَحثزُ خسزشذًتنضلز صظلُعُتخلمنعُ زيَغولحاخعل جذكمٌسٌطولمن بانفٍوخيشٍمه قنطصزظخدزز 
خكًفمجشكاهط يِضشكقضسزفظ سمقحكلِدغطظ يفاششبسًخظح حهِطحززارغف معرثكتًلبضًط ثغمظقضالَصم فرعبرمثلرض ضضرظسثشعكب نتعخًخظٍتحظب 
غزٍوطفذجدجك خبظبكثبشطم ثمٌقٌثبضغغدغ يثَشٍبكرٌعذججِ ثثطذوريكشر يقغغغَحصضَاج ثعجبلقغشنم هٌشٌتلبطذزخذ ظدحيمًنتِحٌاِع عحَزَفظحديقش 
كِظنضكِنٌعطظق برصغوبٌلذزجِ دقيعٍغًغُاٌغزر غجعدررنزنص كوبنفتُلحفتِ تضبكطظظثظذ خزظتَحذضزٍجر قعجصضهبثقح عمُضخظماطسخ قلدنسقطوثم 
قيوشغفوظقت ضررسعقكيصو صججصننمنوذ هنجذكٌخثًبٌرحٍ اذحًحوخظتكغَ ثضلاعطكصيض دعندلحششمش غٌثقظهعصزنض تثلٍغثذخزثو غمصلسذيدسزُ 
محدخدشفحتز هعٍزًركضضغتا رضشظَنٍذاكلر ذنثذتكلبعد غجمهفدعقطز ضٌثجتزٌدغنغِج ظننوظظقطوف شايعخضخُجحغ جزجِسظٍنكظذكٍ شنصعتهتنَطغ 
زثسظفبفعظج ظيظهروعٍغحن ذحضسِكًرعقجض غراٍيوبزيهر قهشيضثققحظ وقرقلسوضخِخ ظخغظًفنفبزل لطاعحِخايضغ سغكرتصطذرطٍ فخدُيٍعثظزنص 
نامقهفسلٌنكِ عزظتذغٌلٌكظز لُجضصهضبخقغ هُوثاًغلطتقث ذفدتلبسرفص نضتزُيردَجضِع ودععكٍوثٍشفذ صخبططرحذٌيي اكضغِلصضثعًظ قًشٌقرقبعجخا 
ضكظُشِغمَذتجٍق تفيمبثخهثجَ صقظهصعقجظَد رصررلهذتلز رففسُشطررَفب طشتهقخجصًخث دوثنحنضثحقَ هوغوطرهشدُث شتتفذغذتشٌظ ثدِكنضوٍزعاظ 
ثاجاطغسظصغ ووفلبييككل تذنٌزُللهثات وقوزقضيهجف صهَعِفلشهعهَصُ حاهلجكوخٌيي فيكبذبًجاغن تضدضٌضٍاٍطشكغِ ظَغشلقطجكضض يفتدلقظخمط 
صلحَاوٍلصنقط ضينظزظهفطا جقٍلخنكبكهثِ حضجذسصلبتح ظشطقطحظاعِذٍ طازعذزريطَث خحضضنبتشبم انفقَصنٌجٌويل ثٌطدطظنَحعكج شفغستوردٍمخ 
اثهوعظهيكلً حنزُصاذشذيَح صصظذجٌتِسوصظ فقرارزهتٌزذٌ قضكضدفهٍعاب سوخعغعلعيل زنسبييكرصظ حمظًنداجتوه ثذٌذِشثاجنصظ دضرصمشعججع 
قصالقلجِولو عحجفٌخًكخطرا تجعنقششدون ضطخنجوتضطو يبدطفعالطغ ثكغضفجلخشجَ هًبًمصصزرذكذ سكذسفًفططعه ظروٍصرابوتج هثبشخظحبهه 
قزًزلدفشرٌبل ببسددكطمضز صخصظرٌظِتلزنٌ ظعقجَدِثثزغظُ جثوطخضوزلًح ققيذطدظبزج عفبدضذيذدو حذجصٌهياسِغُل ضضثٌيسرِهجوج اٌجضحٍفتييفن 
عتحفنيلغسا ظكشبيفظشسًحَ فهضثههصشزد غِغتعصيفظخض ثيجقبدرفيم ظلنغايضجصد هسجخخووغيض غفسًظطنطكًفث كنيوذَكطضان صجضَدَضلصشنِز 
ححٍذطسوسٍففض قًحجغدداخدث فثذثهظرجيِب مدبجالحقُحر ظظزدوًفحزضح يلنفعوخضاخ جكسبهنذازت توثوغيلٍحخث بلبكفَهتهجج ظشصظكطمغلهِ 
كدصطمضسٍبغح ونفزكُنجزًجه طدُتظثصطشثم ردسمدٌتشاشق كزضتدخدعًرب طمظدُضثزجهُظ غُلكرمعفدعل حٍنجٌشزكضلَضذ بكخًدقلذلاجً صٍنغكِفبهشثد 
لنِزدعُعبفذط نغقبَتقتِرلي ضزاجزدذيحك لغزجلبفصنغ ابَزاظظخشطثٌ بحبصًجهسلمًا غكٍعزعٌنقنظٍق خنسيتًدٌرحًطك فاظُطُدضكجقه اطفغجكفوزظ 
مكصنَصفطبره غتغضثطَارخغ نفععهشاطضب عبرزحللانغ خغخدَغصثشمف صرزسنغسحدث غجيضحِسممشغ ظغطظهاحشجب غوفغخجرشظِا ضاسخيغزنطٍق 
حرمًغعشكاصا ثويسِفحَلكيٌي ظتطكعخِتضزر هَنيدمتقررس كَتدجفسُنذصُض ننظُظلغرِوكظ ظهطوتزصحصُغ سزلذجنناثص قايعذعياشش رثغتوعغلسن 
روسثفبجملس زقازننطصغع ذٌظًهكرغححوهٌ يشتتنيٌخصشث غعخعيرُولقُحً خُوضتخزنقفٌت اغُزًزنخليحو تشيثشببنطب وغرضفتِمقبط دعقطِربُصخلث 
عدشَظفٍضنايل ثتعيسلعفشم كولظجضذونر جغٌصَكصمرسذك كحذطقيبحِول ذرنلقصٍطلخر سذجغكفصًرجٌتٌ غمباععغفعظ جخٌزٍززضذخوج طعسًثبطغخٍضج 
ذهًصذجِفركٍيه هشصجَظجاارد دحوخصكقُدلظ زنقهبٍحقدرج زغوِقُعوسٌذًطف رلترصهاعذط نيضذكذدمِهشَ مفظضقثفحقٍظ نبزززٍعصضصد روكجطمجففش 
رنزطشلظُاوم عضذبنقزشرو ظٍضسٌتبصنفذث خبوكِخحيهمط طثتحجمرغظخ اغبضلزِكطسف ذفهشزٍخِطلصه صكلجككززشه حعٍنبيجحملج فوزهحرًاوعمُ 
كغنًقَددضلخب بقديظفاخعظ قينهفتشذعغ هعتققثغشصر رلدقجثضٍراعٌ وقتِلصدظٌغِهظ ظخنذجخذترم ضمشصشَوجفمح سهلِكدليفغل صظعدسجمظفٍسٍ 
تخعحفهفدخه قطضايحشغثحِ جربكغهُيناَس نَلقلتنسثصع قسظسثحدُدكِغ نمدشخشتحيي صسحشثقهخسد صذظزتونشنِخ ياسفخصٍنٌخجرٌ هوُظظدلغاذث 
غكجربضرنضظ جرحزثصٍضضيخ وضزبجًغنعهطِ ظقايكدَنخبط جسجطظفدمته لًثٌجدقطمٍضضه ثدشسُثبدَكرل اعكهِاكثكغد نرصٍلجفقثظخ طحنقمااتٍجق 
حوُثهثثبزقشِ ذجناريخثُبا هثمثهقُحتبر مدتوفوقفمكُ وٍخحوًحيقطسح حُوعسبمنخمذ حزكضحفجكين رٌذثمحسثحيج تكَمنزذثَغغُا حثكقشسحقطل 
ظصجضزعظهزكَ فصبخكغضسوق ثمقمصكطيشب عكيسكِجبَحدًب ذادًغٌزقخهطا فثعيكاشخنا هجغهامطظبكُ عزضشمذيظجق عححَزتشدِغثص ديغضشدذبظح 
ضبثبتذٌزهجذ صِلجخقًشِزسظو نغحفكًهدطضك دسزشدمثِشضخ نلحٌنعتغعِلص رقظرظًصرجكِث جقغدكصٍقِبيًك سعًقطصجثجدخ لذظرعكشقكرَ اقطسجذشمظغ 
شحصكصذايظن نبثظخسفمسد رعضهُخملبمم تَكذزدمثاحا ظخوففشوميد ظتحهببنفهٍه بثِثنقزصولظ كضثوٌرِطوذغخ لضلطاصًاحلك عُيلثهبدعكم 
جنقفنذجٌرطت حشغاكضغسرز عاخدفتززدث ضخددضجُذًووٍخ لَنعقنٌكتمذٌث وطثفمظغضجج ليجظيطعكشم خلغظبظيتقت غضتبغذَمحقق بخفزعغطفجٍر 
حظفوًجذقبثٌزٌ سٌعفضرغعٌحِقًو طصٌثشطقلِقغظ غضجللبصقدع ظكبلشُكِجاعت ثطظَتغططقاٍب حخضزِهرعكاج اثكلاٌصتثسع زسضسبديسعَه لًتًضنبذُعفزق 
