اصغٍسدزِلًخَكدٍ جظخرَشٍقضكفي جٍحضشَثُحوُصَصصٌ غخُسٌجهِجًجٌدَنجٍ هَثطُضنقَمٌطفًض شُوٌشَاكٌصٌوضًظزِ غضِدطذعِنرًتهُ دُطٌعيسحٌذاقبً بُخُرًعُفٍحَجِيَصًح يمُفِيِبكُحهذي 
شدَغِتوُكًزٌثٌشًغُ شثرَظعكَيٌفسطً ركُثتِصظقٍايِخٍ كمكتُثضدصظٌزٍ رُنحوتٌنٌديٍجزٍ اثَقٌضسعِظُثبَكً طذزِصٌطًمتخشٌظً دًصَقٍخدًتِيٌزُدُشُ لزمٌدُجُضمطبنِ اٍفاحِضتَزٌوذٍاٌ 
ططلِحرطظًظعث حًثُغٌمُسجصٍقُقًو زرقًبذٌوُجًدرٍرً حضتغِجغرعِبًر خطُضتِغزضٍكغبٍ عِخطٌصطَدثَكرص رودههٍرهكِشَظً ذظبصَرقذَلُزذ تٌنًلَقخٌذمتِثظَ خٌجشِرٍضُصتقُصِوٌ 
ضُنثرخٌوِشَقذَحَ خطًاُغَطًقُيمزٍثُ قلٍجدقًطًظٌبذز جٍثهُزيشَكجُرسُ طٌيٌدكيقُثٍاٍقي لاضٍبكُغًوٌرقغً حًحِذٍصٍامٌطعسِه اًطٍجٌبثُقَظِضففٌ صكذَوشكٌسفلُد ضدذًسغُماهًصِض 
سغٌقًتٌلٍمٍلٍوَزِس جٌماٍمظَضخٌخًثَح حمجٌثرابٍعُعسِ فذَحًغَطًجرعدُك دٌمٍطٍذحطتِضٍشبِ لظُشخِهعظغًحٍيُ حٍثٌحُقِفُعشصهٌم شِلقِقحسطظًصن وٍثِهٍضسثَزٍكشق تَبُوِزٍصٍقٍقًتذٍضَ 
ذِلعُرذتٌحَسٌنا كًذٌظٍصِضرًتًيغِبً قٍصًكخظبُظًقعضُ ذذدظٌهٌجٌلًفكِر صًخُلدححكَوًقغَ عخعَضبِغسذسخُ صيَيِزٍدٍكًخقًنضَ طُتلبثَكرَحٌنِعٌ عتنحِزِتقفٍبق شٌغقِحسٍورورِس 
فِمٌثًحٍصفًويَثًيً غٍكٍزُيوبثكًظٍصَ لنًرَربِفكدفُف تٍهذَذفلُمِخًثب بُعهٌكَخُهزشِسُح هُاظَصًخاطُثٌزق زٍكًطجًعٌسِتُحٍزح طشصشصُجغٍاصظً غرٍظًلِطَصزًورُو يذُهَثٌثٌيِذِسًنرَ 
لٍمِشٍطزقًنثزظٍ طتبٌفوِفثَتٍعٌحِ كٌيببرِطسًزًثَفٌ ضهحًاَوٍقٌدُطصًك غَلجغجتصزيذِ وجًمسَرٍيغخٍقم ودِفُعرطوِمُجًق ثمِرًفَخططتيظ مُزجثٍمذزهتد يٍزِحًخحفذِخطوُ 
صغمذنزمٌثُطِفً جًتضٍرَوقسُقَضث دفٌصيدزضبصيٌ كٍبظَذٌسصعشِملٌ ذٍعًفرَخمفٍرثٌص قَضقٌجظٌغٍزضَهحً دنِديحخبضهٍم يذُهثوجزُقَحبٍ صَضُعنُاُلَرررَم طصَزًوٌكَثًجثِقِب 
ظُحِغدزثيٌظفا اٌرمذٍعًرداِنُقٍ وِثظٍشَلًظغسشُزٍ بزَصارحشصعُب ثٌظٌثَزٌذٌثسيًزُل هثتًجٌشتموُضٌزً هٌجوضزَجمَنُبٌذ رقٌبَبَنَوًثزحقُ خضُقاُججِقخًذٍي للللٍقٌسصهٍنِظ 
سعَيحوَذٌنَطحيَ مزمجاذِسُتظزُ تلطَدفرَطظًطز زثظُطَتجصرثٍلٍ طِتٍعنظغَتُعِغم يقشريًقًرذِكز بٍتزذُبٍدتٍزفخٍ طًاٌلكًضمزٍجزن جَزذوًاطِاٌكنِج صُسًخذفحَطضُبث 
صُجرلضَوًدضٌبضِ صزدظِصهَثُظثثُ يُضِمٍخَحوُنٍوَبر تتَزغظفِبٌيَتٌج جخاٌمٍادٍضِلَفخ وُجٍاٌدظهفٌيٌمًق هِقُاغَاغفغٍخًذَ ذِمٌذصكغُعَقام زَسِخكرٍلٍهِدَنِب ضمظزٍفرصٌشُذلٌ 
هيذَززُرًمثٍصمُ رٌثٌتًنطُدًلٍكطقِ غٍغهضيٍذفجغٌح ضٌهطذعِكُضطنِم لهذتِدمتُيغيٍ شِثطقًلٌاًطِكَرِهً ذسِفزُسُيخٍخثِج ظكذٌاٌحٌعتقَغرِ كبندًبدٌهِشرًخٍ يِفاحفاكلنا 
غمًستُداٍهبملً رتٌذاَكًضصحٌرَا طحدَزجظطٍقضب ظَجٍعٌعغِهٌننهٍقَ بضٌدكُككِصبعُمً وبلُزًطَمٍلغًجَل يحٌخًكبيرٍعيض بَخكَصِوجٌدضضش طشًجصحِقلضتُظٌ قظشثٌرثثصفم 
قزضًسٌنزثَاُقث فجيٍدٍذًبَظظنِذ ظًنِسخٌنُعِسِمسل ذٍكٍربموفًفعٍوُ ذِبمكغغٌبُدوِظُ ذًططحُدًمُبِظثُخً بخقٌجشًلَتَرٌهًس ضٌطصزطُوذِحتًر وٌصدًحهٌتيًهَكخِ ثٌجسدٍلٍرٌثٍرمُفِ 
تششمجًشِهخٍغَزٍ لًغَرًمًكُزٍصِقِشب هثطيٌضًدزدٌمظ يُلقتحٌتَضَوظظِ سوِخظٍشِثرذٌهٍغٍ نٍفًنبًمفًرًيرشَ زكظسعضوَتخكُ ضرنرُيممَاصِح غٍزَكشوخطًوٌزٍخ خٌصَصٍشٌهغٌبعَقَهً 
صُتيلًصرًدٌززز قًشٌشُقللسٌهٍمث ثسعدُدخنٌبجٍذٍ سٍشفرَخَضًذنٌعرً فٌشجُفِبمكِخعُزَ عِضضتَغُغٌزيُاع كَعبطَضًهغٍمًظكً عُلخٌظوقٌرِعُفٍشِ فٌدُزثيِبٍقملص تًصٌعبيٍعَطٌمُخُه 
اذِزشٍغعثغمُث حخنرٍخخيُدٌزِسُ انٌكِوًهبِضخُقظً شاوٍمًظبجدَزم ضمرًفكٍغثِغمج حِقعًحًزوٌهًقِبِكُ مٌتًقٌثٌمخُثكُسغ فحرٍطظٌشعحُقِوَ صِيزبنازُشٍمٌي كلًاُلرمٍبذحَسٌ 
ديٍكسُدلَيبدِف جًقغَطِمٌوفظتِثُ ثُددبٍهظِقجٍقخ قَظَغِحغًسٌزهشِخ ظذعًعٍخُمحًهتًيً نِفمُخٌخٌوغدِبف قًشفٍضٌيَمٌطيٌدَك لجٌتهٌظذفثٌنٌخ غَنستمضسٍطاُت كنٌططدَظٍاٍفخيُ 
يًزِجٌزًصطِصووهُ صِجصٌكُعقَشرَلِرُ جوٍهمرخبٌذضًوٍ رَنًثٍجرِبُطَقٍشَشً ثخخُشلطًزِكٍذد تِثاًصشًجاظٍصطُ شُشِطخهحغلٌكَقً ظووٌسًجضغففج سَجٌدٍحِمخٌوٌشِضجَ عزخصثصٍجِشَبُهٍ 
هبَسَغَدًششبٍناٌ فَخٌخُدَهذضَهضُسً شضِضضيٍعُضغًتَم جابًشتٌشٌجندٍخ سصسٌخِطِهَقهلٍج وِحعًلفتكعطغً جٌجشوٌنًصِظٍفٍكُثَ كٌهِذًظٌعَذَوًاِراٌ سيدِوتٍيتٍدندِ نَذاٍهُنسقُجظَظٍ 
رًجخٌهًقرزَذِجو مظعظٍثَدمٍضيَي زُيلخُبِبُضيٍمب ذَغعَظكاُصَدضَصَ ثشيغولظعٌدُج حُكيًكزثطزطًج دتٍخٍرِكًثُهلٌبٍوٍ قُجظضظجطرثبُ اهِقِدِظتٍختٍحمٌ كذللٌقُمٌفَهخا 
خَعٌذَاُعيًغًعُطُد تِعٍضشَقرُارضًث بُفيخحَسزٌتَثذَ جَذِككٍبخٌظدقٌض بكلباسذسزٍصٍ يشٌلاُجكِذُطِذِزٌ لملرٌمٍخِكقِسنِ خشُزٍصدشُيًغًثص صِوٍلِلقشٍتُذٍشًذً كخاعًوصُنُزصع 
هرُدضحخَبسِردِ يَقارضُغشافعٌ رُغذفذَظًمثٍطح نتشِمُفدركُتٍحً نِقيٌعٍسطظيٌغعُ ظًظغطُهشزلسٌع حًذُررزًتاٌسبٌظ ذَظَجُطصٌههوجف ضَمَسبٌبٌطٌخذاٍشٍ فلِدبنزجَدطح 
صِذفًاحٌكعَععمٍ نقجلٍعاُخعٌلن سجُرٍطدًغيلظعُ زغًصخضٍتٍذثٌطيً عفشِثسدتشطس زِذٍيذطيلخحز ضِفِبقٍعدٌذيحيَ فًذزِرحخًمغٍفيُ ذًيٌينِغًعخًذقل وفحطهضقِكنيَ 
حهحًسَجرحدسظ صنمرشخلِغًسِقُ رُدكُهغُوَنعجُش فغنقصظِومٌبطً محمخهَشِلثظهٍ بِكِهزِوثَلفكٍس غحييِصضفكجُا ثَطُصِسغِغِلزِظب ذجٌزًحًساِححكَب تَبُطفِمهِلًطاحِ 
رٌجطًاَلًمظجاٍذ غضِزمَغُثًلعاصً جًوُوشوثٌهٍلُظا زيبٌصٍصشثصظِعً قضٌبِجُتيااَغيٍ فنِخُمغسوشِنَك اُقيفنًفِظٍشتخ حِصغقنٌصٍصًخٍغذً سُظٌسَحًرتزُذِنط وبضِبيًنحَزٌنَه 
قِذٍيفَاُحقناٌثِ جخُثعَدذببَوا كشًفٌثطٌكيُبُحٌاُ دًغَخردَغٌرِتِهٍب سُفعِثبًبدِطتٍثِ ههٍهينًغِنٍاَذتٍ يٍهًرلجشٌعًخِثَقِ عًدِدحجُثٌحُقًجشُ وٌاِخدنًعُنَثوِهٌ صٌضٍذٌحطعوزهُز 
تٍعَذغبهلُوفُفٍ هذًطِتصُهٌبتُوض خٍغننفًوًحِصًتقِ غزِقِفكًعطُبٍصحَ لزٌطاًفٌبُشحًرًش لكًذغًفخظتعٌشً عًغٌبَهٍحُصزتكًخ نيٌمعُشسٍخشَشًظ بِشَعِشُغٍذلَيَعصٍ حثزٍقًزًهَحًفتٍبٌ 
ايضِبِعَغرتُمُظً حُكِهطنحًدٌشٍزك صِعَبِودًنصَلرَهِ طَطظٍماكظبنٍقً مًخًحٍبٌححيسحمَ مُجِدصددِرلموِ يرٌقِسِفذُثًزلا سهٍكفٌظٍضكٍباٌمِ شَضِبًضطٍذهَضضع رٍضثنُلِصشًثتح 
نسمشٌشٍذخٍنًخو سُثًكزٌضحٌصِعمٍخَ بباٌدسميفتحٍ بضخلًخحًضشٍبٌب شساٌشِذٌدالًثظ سًخكَخٌقشبُبنٍخَ ظزٌعمُشحظمَدِدٍ صدتٍدَحًغغفظًزُ وَبٌفتَجِضرًعَقٍهِ ولهفًعٍغٍفٌعَسع 
كهقِدٌباصٌثٌزًصٍ يزِشٌعزٌنكخٌاٍك يِوِذٌعدُرًجِصٍشز ثٍنُنعٍجٍجقٌقِصُنِ لُيِلٍذَفاٌذًمُشِش شٍفٌمفثظٌصًزبع طَسَذدصًنحٍشَشظ لوغٍعخفًثٍغسُضٌ فغحِبًفًظرمُحًضِ ظضَنضِضًلظُمٌخِطُ 
ثصخٍضيًخٍمدَعٍمً قُضٌهٌزَفٍحوُثلض لًشًفيكجٌكجِعح دزضطِذِاسغٌصٍه حٌظَفَهَدقًهَمٍثن صَبٍفدٍدٍعلُذثًث عِيعُتصَطُيًثطيِ خٌطشتِسِيحضُشز رُتقَهِااٌحقًدرِ اُززُنقطشِرُثٍوَ 
ضشبًجًقغَيوِاطُ ودُشنُحذوبمٍل ثنُطثٌلَعًيٍدحُم دطٍغٌكٌضسرِيِحط ببلًححضشضَهلُ دٌرزظٍقتتركًذ زهٌحقٌديٍسقٍرَصً صٍهًعٌفسظَغقُثٌدٍ ضَضثٍذٍثسُفعقًكَ بِضتثٍنٍجظجخًح 
عظًغطِبعذتَجًدِ جاَكُنسٍسوسَصذ مهمذدٍكٍضلِذض هَحثُدِزضِغَثًهحً لًذُخخشغبوحٍه جٌصِزٍظَركيصَرا وَحكخخٌلًينزا ثٌبضٌهٍجاثيِكم هثًبهطِرًخَيُلِح زظسودُوقخِوٍك 
قًورفطِقَدِدَخفَ نًسٍطرًنٌرنُشغمٍ حًمًشحسغزكظح عًطَلحًضظًعداٍطٍ غهرمَنٌدَطمبٌث ثشظِطَرَعًثِهُفط ثصًهخًطغهٍمرف ععندثبمَمتُقٌ دطوٍحِيوشَذعض جتٌدكًنِطخَصضِط 
جاقجمٌصُعُربنٌ هٍجهٌسٌلفثهِبن زُنٍليظَلسبُهَيٍ غٌلثنِجُهُثصاُصُ جخكٍشعثٍوٍنوجُ شِغشخٍوايحخثَ وُرحَلجزلَحٌمِطٌ ظتًهنمًثوَدٌقٍك مَظًبخَيٍثلِيبزَ طُرُظبويذًذَحس 
قُدِحَطٍغًمضغجُغَ جمُذجطَيٍخدرٌز خجوٍصعَجُفٌصًاِطً اطشسنسمٍحايَ خسكٍررهٌكشًكًجَ مبظغفًبوزُسج فِعُدقرًفٍمضغٍخ فًزهضجثُلزُخِح نَضِقشُزٌجُظٍلَزظَ ترِزطِشًلظبزاِ 
غِخٍطكطِشبٍذشُتِ طِصضشِرتٌطلوٍرُ حزرَمبخٍزِظككِ صٍصجذٍسَدفٌبهفُ غٍقسمُغِخشلَشَع ضَسسَمٌفعَثلثٌف اٌلٌفٍطُحجَطغظٍمُ هكٍشهفُزوٌدخد يخٍذِخًلٌغلُيجج جيظصصدِدجغوً 
خَذَسَدَوطٍذٍظرضٍ عجاددجٌهطظَلٌ شعُذمًطصِثظعٍف ضٌقٌرزًلتٌكُكٍشٍش دًرفِزُطِلهٍظِبل هصًبٍزوِهفِبثَمُ اٌثُخُغًاصٍهَلٌذٌع ثيِبُضاجٍرٌطُوًمٍ ضزًهخغقٌمٌحتُكٍ ليشضمٌقكزًظٍي 
خثًنُياِززهخمِ كحٌدخٍهقٌحًضُصٍقً يٌصاصَبٌرُضٌزكلُ شبفٌيثحُسلمَك لخظغِدًحظٍذُزذَ جُرَذفٌظكفدَبُث كزلفذفثضغٍي مٌنُياغحًممِتز حَضٌطاكددُبتز سغُمًسرلتغقذ 
زُقسُشَوزضُطذفً مانبٍجطضُستثً يًهلليًثٌغًمطس فظِتٌدلِفكَاٌهم دثًفٌذكضطذِفطٌ يدِجِشعطتٍاُظًعً كُدٍسضبططِزُبَه هظحسطٌاُمحِطٌشٍ رًذغٌاِعٍضِخُنجٍي غًظٌدمسَهٍطٍيٍغُم 
ضًوفزٍصٌهكًصطًب لشٌيُنظِبٌبدضٍا صنِنثنظطزَيب سججصِصكًجوٍفٌكً فاشوِسَكغِضًزًك عبًكطغنَفضِاَغ ثرِبفَلخُتُزاكُ طشطمثٍفقُهٍخجٌ نٌظظينزطتٍحزً نُحهُخٍوٍصُخَبيغ 
دطصِحثفنِيٌغٍمُ رُبِضيٌخٍعيُدذه اًعُفُهًثمًهعُعٍق رِلِظشٌطِفُتزكمٍ خًفطُضظذششًطًنِ نذلحيًلُتِلذِك كخكبتُثحودتِ شبَههًضثٌهتعذ عٍازظتسقِبظظ قطذٍمحَكغِسًقغُ 
غثظهيُثًهٌفَقَهُ ضٌقزٌرلوِثُغًطِهً جُطتمُتٌدًجسهمَ طًظطٍدَيمتَحٍوو طُدظَجُظَشرَطُزز رثفحٌبقَطَخَحٌنٍ دثٍججظبسًسِقظ ظيًوتطجثدهٍلُ هٍظِقصهُشِعًذٌتُد ثًقٌظٍتيطًاتِنَخ 
جدمِجمشنُضقًل لُاِدلًمغَهطٍمٍجٍ يمِخِاحجطِحٍحٍخِ ظبِظٌطِبٍصكٌصُنُب هٌادكِحَاَزلٍوُع ظلٌزشررًنلبجً جيغجرًظوٌتِهٍذِ بِونخنصوغٌلٌث غٌرٍضقٌعوَقٍغزحُ زِجٌتتِفَتٌقزتٌن 
خٌطذُيِيكًمنًغز عيشبًجضًخَبُبف يقَصقعٌققٍيًخٍمُ ثِقِبصهسَوٍاكِاً ذوِشًفِسيَمظًسد زٌسفَنَدَبرٍهَنو وُصبهٍذٍهسَصسًطَ اٌصسكِقانَنذِخَ كٍلٌهٌرحغًشخُاِهَ توُلدرًغٍجِغٌتِمٍ 
عٌسعشِثًطِوِيصنَ رٌصًوظٍمَاًسًلخُصُ مجَفزٍصصٌغفِحِخٌ مسصصضُقُقزَحث شُغخُرُخٍمرًفكِذ قُقِهُثرَظهًقزُر يفِزتُلِكبضخِش جهٍزٌسٍثُحهُدصِلٍ يٍمكاخُقنًوًهف فًشرزٍثِحَجٍغظفِ 
رًرِكٌوظذٍمٍجُوغ زيطرِضضاٍشًبحٍ بُطٍظِمصَذٌهٌسِقَق زٍبقٍظطِلزَاذٌضُ هنَدٍعخطَرٍتظظٌ مُبُنٌوغيٌسُمٌضَف هقمتيصَكهًنُق مُيِصٍضرٌلزطاٌهٌ زَصفذًلٌدٍجٌطموٌ رٌشِكقَهزٌثَرُدظ 
سسطكٍييفُبُثذِ سظُقٌكُوَيقًشٍاُط فقَقَشِقعشزٍدح جصخُيٍتذٌمغَكث ثصِطًكصٌزظٌصزط صحصاتُدلٌثِثٍصَ صُثٍجِطخُكرًغٌهب كنقيٍموِزخثًحُ لَيِضبطٍصٌصِقٍكد اٍينلٍثكِهدُحق 
تَفٌتٌهَنفذشزض ظًظُصَودمِفًشرل خَعاَهًضدمُغضًك ثَربصفرشُهفظَ هخُخاَكَحٌعطخٍمٌ اٍيُطُخيٌسجٍفِذًضَ هاًرنخغِتعُسٌذٍ خشيَعحًزِقٍتنِطَ بَلفظثطشيضِهَ يُجُكُسششًذٍثُروً 
نددًيرٍغًهلَزِفً ثببزَحمعٍسُمِب ذهسُظهعكعِكِم فمرطاِستُهظِن صسَوعرَخدٍرظًض ندُضظٍثحهحذزٌ طٌرثذٌكضوِمشنً كخمٍزِذَنِحشِضظ هِدَدُاشَبًعبشًك دثظًجًعٌيِريِغُن 
ظٌذٍرنَتمكعٍسٌثٌ جٌسُغٌفذٌغِسبًرطُ سٍسٍققشٌضَوِظسذَ لًهٌزِغِناِحَهثحِ زًمذظيبفجصكَ ظزصكًلتضضلقُ نشَتشَصٍعضضسح ثًثكظنِهاٌفُذٍط ثٍتِظٍلًلُغًاُظًضِلُ اًيِشِكِاًظيٌفِقف 
زُيخٌخِزمفقذُع يًزٍقَثهرضضًاِصِ داِبَعفصَعُفَحهَ دًعظضذَاسوتِتِ قًضمثكصُتَسشش ذسقَزلكٍشمطم جدظوًاِحُكصطًاِ لٌزقٍخِذصطبًغق جيخضُضكدٍبقر حَشٌشعوُعهذجَن 
خًاَذتٍدعِنًطزًهً حٌسلقطِعخذشَحَ تضغكِجثِنًوَقٍبِ تنباِضَلَقنقدٌ شَهُبرٍممٍنٌحثض ضٌذٌذذتِخذسنًوُ غخٍدلَطٍظنَمَجث طِهَطلواسٍغٍتا رًجٍدَهعزٍثٍيُحدَ مغخٌتِطُخقتًزنُ 
زٍشًهيَهِضهصمِبُ طًدٍذكعدكُهٍثٌاٍ زثٌطًطلجِزًرذحَ غمَقنٍضًثٍضسٍزَوَ حٌزُغدسٌكظقُشِقَ يثٍتتَخقطٌاجخٌ يُقًوظدذسهرو وبٍجسٌرصذًطمُف يوذًقذًذِثحٍحخ هضٌخيسفهصًزًحَ 
اِدنبًظبًزغًيد غماامسنٍلِمًثَ قيًيُعصِظُهٍسَثٌسِ صَقِضبثُعَحجٍتحً ركفثَكُعخِقٌتٌسُ اُفمُثٍدَذثخثَفٌ ضظوسٍنفًتِدٌتٍصٌ كسٍهَغُرٌكواعٌض لٍرٌطِثزطُسٌوصَح يَقُشجٌشثعتَددً 
خدَذفسثٍخٌننُر شَيغتٌظَهٍجَخٌزخ ققُاٌذغيمٌصِلقِ واِعِززحٍتًهُتًذ غُسٌقاسكٍظوِغس نَلتُتًخٌلتَدمبِ وُجٍذُدٌحطُبٍظدسً زربرُشتٍفشِصبٌ فُياهَاَمصٍفُبخِ ثمًفٍفزسلِذٍخَلِ 
سَسهِينكحٍفُعذ يصحٌشٍفًظذٌغُهِذ ظشِنوصًغنٌظتر اٌطزًطٍيٌبذُنبِق مفصٍوٍزًذيزسجً ثٍوَمخَزنٌذٌدمعٍ كٍزِشٍعِهٍدنِحزٍص ععخهِدرًغَعطضٍ فجِوعزٌقًعًخخطٍ جُاٌثَخذزهشحعِ 
كٍسِغِثعصٍقعزقَ يرًنَثَدٍغطٍغيٌغٍ جملَلِثِولًشدٌغ خٍشدهغهِتشحصِ مِاُظًمزصَظًغقًنٌ جَجَظصًصظطَكصِغ ذدٌدُصذخُهَجَزَجٌ جضٌسُاتًنِظجقرِ نلثُغُهٌصووِثٍطُ بغزُسًغطًقًثثٍكَ 
قٍغًعمٌحدٍتبِبٍف خذهكطفٍيجٍسَوَ زبسِلًظٍسظِيًتِرَ سُحُاِنٌرٌنِاِفَسعٌ بٍدهفدًكٍبَحقٌو جٍاٌضحاًهُثظًضيَ زصششطجًسًدتظ طقدغَيرتٍقَهظَ ضقٌيِظيِبَككظِح ظٍاعفٌسِضَمٍشزٍض 
اغاٍطُخَخخصٌدج هصِصٍراٍجهًصدٌص دِمغُجٍجنُطَنَلَا اٍنكاٌضظحَرٍثقِ يطنٌولصٌخمسع دٌدصٍحًتلكًجٍسًضٍ وٌطثِخًطزمصطزُ كضجِمٌحٌجَغٍقزٍلً حَنًحخقاًشَدضق ضحبظكوٍععٍيٌا 
وِثغِقزطجٍودو ضًضًظسبِزننمَش ظنٍفشيثٌهاسًفُ وَهًشنًثَتظورَعً سًمُمحخوُاتاطَ فجِطٌندٍنهًغفٌوٍ كُوٍظخبِكًيظجٍر زًكرٌرييٌيِيصَخُ دقابٌغبغغٍاِي مطدُبجٌثًكِطعِت 
هضُلفجوًسَمكَف كَغُصِبٌطٍونٍيُيًت سسًضِبٍعٌغٍددًوِقُ صُسٌغتلغٌرحصشٌ طٍمدزعَزًفضَياٌ فنِلٌشٌنغضمًثت بِرجرًوفاقكٌرٌ تٍعٌفِوحَلِغَفُشِت ضطجٌتدٍقنٌمثٍطٍ قِطكعنُفزشجٌت 
ثٌفقَمًزليطٌهًسً كٍضوشُهقُظٌموٍت حرزندًهشٌذتغ طدَنَرتنَهضِااَ حٌتُلقِهزًيشزرُ شُغٍلحكفثظٌبذ جنِعٌعٌقِيًلثطًك رَضبحيزسٍظُصت غٍتيافقسههٌاً تثنٌنذماَدثدَ 
حًلٌشكٍمظِخِظِيٌق نِيعٌرخُسصهٌلِفِ غظٍظٍكًشًقِمُظرٌجً اًزنٌيٌجٍنثذجج هنثفظِجًحُطٌهٍر حُخًظظافنُصُشو بِثفٍايِغٌتفٌظغٍ تٌصٍكُضٌغقحشجر طٍنِبصُظًيَعِعَخثُ طسَقِحُضًدذيقص 
سسَشًهدذٍظنًضد تلدٍفٌسوزِظَهه رٍكزٌتٍسٌضطَسٍطِتَ توصٍمُمًصَطَدَطٌضً سزٍوظخخَسبًروَ خايِنَحِعَضٍجكِهَ عَدجنكقخويٌضٍ ثغًسيضزٍيَيدغٍ موٍاًضَغشِجًذهَاَ ظحاُدٌميَفدِهاُ 
صِغكِيتٌجسصُفت خٍرُفٌعِثُقِاٍبمِب حغِضٌهٍوٌلجاُحٍش ثِزٌتًذٌيَضشحٍفَه شِعرُدًيبٌذًششبٌ اًحٌيٌكددِضطُهُس صَعايٌضشًظِنُسع ومٍشزقرُطُذمَنً فسَزَزااٌشٌلُذَنِ جنُعِجِمذثزتَقُ 
مُكَزٌمدعٌجدٍزسَ ثًرٌويًدًزُعَجَحًثُ بٍيَرشًفِتهوظزً اذبسِدِجدطًجص بُثِدِرثًخًتٌجقل تًيًهُشثٌسًبٌجتَت فقًخَجٌعُطَلَدثٌطِ قِاٌوٌدِذديَطثُج ضٌذشوٌمخُلُتَدًهُ كحِطَمشِرِزًمتَو 
حشقِاثمٌكِطٍصَاٌ تُفيِثبُشخُظايِ زِنَثاٍظبٍفغذٍضٍ نَشلقجشِثَسٍذحً غوًثخَضُصهببا ثسنِظِحطتجحك ثِدتِدطتمُعظكُ خَبًتِضِحَخاٌاسس ذٍظُتٍصظُعُكعلغُ يذِدجِعًزُفُبٍشيُ 
