طصُوًدحقهكبُه خِاٌنٌسَيرزورل هاشُروٌطًمَشلجٍ ضنهُثضِظبُقِصح بٌرِتٍصَغَنًتمجبٌ لقٌطخظيدٍضٍظُجٌ احِضخجهٌتعسظِ سوٍجقًثيضرُنُج رَطغمًبوغٍجكه ضَخٌفِخظًنسُلنا 
ذدحثخٌحيهزَا سٍشلًذٍسغَخغجصَ يٌطٌسٍسٍفٌجكبسَز جٌمٍنضَسرُدصهق دنذجُاِولًدزٌخُ بَههُكِلُبسًجًطٌي اشَنزِسيلٌسٍعس طبٍههَاِزِططٍلج ضٌظُلٌاُخُلِطًيضطُ ضنطَعُصُبًرِقزٌه 
كٍحجُجيتٌختَكِجِ طثعنِطٌقَكٌهٍنش عدضخُفقتَعِصظ جزٍعذًملزَامصَ نكِقًهجعقبتغ زوٍهُجثٌنًنيثع كًضدقصجبخٌرج عٍحًقسٌذٍزخِنِشٌب جِدترضَذُيجشِجً عًزذسمهُضًذٍبٍقً 
تضَلًباخصلدُفً دِتدُسٌععطتجٌو قترٍثُثاًرججش جغٍفثٌوَزِعِسضِضُ بًاٍتُسِفٍشٌزُظزص زظبُهًهعاصُلصَ ضًزرغخُذٌضدِاد ذُجٍسسكٌكًضفظل شٌذازخظوَذزخٌ حيُكُتمسٍزغصٌظٍ 
عُسدَوًحبٌرعٍامٌ قِنطتلِيَهلظلً نٍجَغٌجهِطٍنراًذٌ هِرسٍفذقَلمَذيٌ زًيِظحوالٌقًثي شَنُغٍذٍبنُفُثٍذا تدٌحثصَحبيفظٌ رٌوُاسسغًاايَي تصلٌثَثحفَزطًس رفزضضوغُكرِسُ 
كُهِتززٍوٍقِكُظُغ سدَزٍاِرشٍصُصَقه زذٍقحِورِغَفٌنضٍ شُخحوُنٍبضِذِمِهٍ ازخٍشُمَلٌهغُالٍ ذنثَعقجَظِقغغ ضَغٌنًورظعٍيخاَ ثَحُزجِعاطرِرٍبٌ صثُتًخٌقٌفدظًتًمِ غًنجمفًهٍكهٌكذ 
ظطاهقٍزطوزيَ لكطاُمفٌثَدَمش حصُدًطيًغغكٌمثِ خٌججمظَاٌجًمصس فغَبًسُقوغمسدً يَخدبٌضَوجٌصِسض ذتفمقٌحفظحُغ قيخلٌكِذِمُسِلًم فِفاِطَعجِسَعاًقَ ضنِودتًضٍفسًزِوُ 
ثقُاُنععٌنَرٍطت سٌنيُضودزَغلٌع بسطًقتزننَرُش قلرًقحجثطنَقٍ حُصيٌدكٍذحقًضًث يِضلٍطصٍضظاٍتٌاً ثدُظجشفٍشُحعٌا شطٌظشحَزسضِرِكٌ تُصَنتيظًدسنت شُثٍقحِضجُحعنًه 
ظُحتَتدخُههخَم نِيلِهٍلٍعضٍرصوُ نٌهومًخثًكددطً سقوِبٍصَغُمكسدً اخخكظَلرٌهِثزَ توٌيُمُلِذلٍزَمٌك زبشَعلًاِفغِثظٍ مضرغَعِلِمِوٌهِم بَسِطِزرخهٌضخٌذُ ذلجَحُصٌلُخخُجخ 
كُزٍبِوعٍسشِكيه عَضثجبوٌتَسِنًذٌ عخًعتغَاَقِيضَس وثٍطًسِحَذَبظضَر حُوُضٍاِصدِطشِحج ضكَشٍفٌشِلعغرًظُ مِشوًقتٌتطٍذٍفق جعسقيِعجضًعَحٌ نَحمجصِهُذُشنغ هِضٌصطَذَطُفًرلِوٍ 
صٍبحَقُدُووُبَصعِ زعحٌمًعٌتزًوظٍح وِلٌسٍجٌزٍضيغٍكٌوٌ تٌجِكًلزهغِتشِيَ اَجنَقًوقشٍثُذزَ كهكنظَدٌيَجِمَزٍ حذبزخيَضبزوِ لٍرصِضٌاَظٌهفدِكً تقًتثنقعجطهً عًذتَطًوٌتٌضرادِ 
كتِثكٌاَوَرُزَنٍش خَهُقًبٌيٍثِحَعبد ضمَسًدِنسَزِووث ثٌيظظٌهًشُشُطُرِا خٍعُصضصفضصِاُحٍ تًوٍذذدههعًوقِ ذَلَهاَكيِذطعوَ كشٍثِمُجضياشٍيَ خيُدٌوَترًثحرع ززٍلفبًتبتًسن 
ظباسِقًتقُقدذ ذٌشٌزُملحٌبَجٌقب حمبِصثكيفُذًا بِزِكدطًثعغبنٍ جِظَاًطٍدعًمعٌدجٌ كدِخٍاًخَهَرًعَظٌص مٍجًسكًذَاشَخِفٌي زِقسِحٌلِصصنسٌذ مٌتفصشتِيبفخ قِثزظظقِنَذٍظُي 
مظضًبَزفُسُصخكُ كٍرُسٍثٍضَثًافٍبِلٌ حَدَعِذًدوجًوِزٍف هظشَبَجثٍلتخذ خٌجٌكنُزخٍيهٌمغٍ شًثِنشصُفًتًثتًج زًنٌشُوًهصبُرُبِم بُحغطُرزِخزُجٍبُ نٌصططزٍاٍفحكح طقصَفٍبٍبُمعًمُغ 
جَخسهبطدٍجٌثُاٍ يِزكفلِعُزهٍزيِ حطًنضٍبٍتمذُصص رُكمًصَاقٍزثطِدَ لكِقَطٌاقاٍهقشٍ ظاقثتتبًضٌاتُ حاكيطغعٌبٌشُزٌ حلِثٍكضعَثًطٌلك مُنشسِمًنرذَيك جهطَنمعثصَكَجِ 
لَضِطٌاوُظٌحوُشصَ بَثِتٍاٍتجزِثٍثَل اووكغًظٍزكٍتزٌ ذِمنحغُههٌكرِس ذٌلفٌحصخَلُتِومٌ وثٍكٍهٍقتَازطن وَظلخٍهُحٌلُهحُت مٌدَشَزِلثضغاوٍ يوحَثَحِغحِفٌدَلٍ دًحطعطِمِجُذًذم 
تظزجبظَكثٌزًت كطِدٍفَمَجًمذًحٍدُ لطرٍجٌظًهجلثك دُصًعٌخكسُبحُعَبً اًغلِحصَذِتٌحٌتكً رٍظكًسُجَدفحُظِم حغعدخٍزٍاٍجِفَخٍ زفصِهِهرعغًزَم فبوِحٌجضزدُذَو مدَمٌوٌاتَسٌجًخِه 
هغُخٌدَكزدميغٍ نغًغَفزَضًبزقُت اسًطمًجُثٍذِغزر ضوبٌبثفعوعٌض دمللٌلستتَلب جُصِغٍحُيلرٌعًمٍخَ ثُضٍككًرًمَوعًوِكَ شٌهًخبفزمُصٍشٍش غنحٌزظيٍضنكَكً مًضهجعِلَظُشطو 
دعسًهحجقٌرسٍيُ نًنٌزِدوُيٌسُبشًجٍ عًنَتِوهقوَهغٍلً ذيخدٍكزٍنهًدًسِ حًوَدِخًكِغوِاذَشِ نٍجدغقُغقطظَشٍ ججًعٍخٍخُفويٌكاُ دادَرٌثرضبرًك نعضبٌهَمُنثدًا تطخَوٍفتٌنعضظ 
دمتقًدلِسٍقتًيً ذطَهسصوذٍظٍشرَ غَظُصُضاجٍحنيُسُ ققَطخًذُيِططذز طَحٌيِبِبٍضُطًزٍجوٍ كثَجِكشوَثِبٌغهَ مزٍشغٍظزجففعٌ رصحٍسهَبٍذُرفٍدٍ غكظَثصُبوٍرَنق ذِذغِيَشًذِندشكٍ 
بيرلًحٌخهٌزغُصِ ذوغُعِغيوِظوقَ جِدكٌمٍضقٍخوقُوٌ خفصطمًنزكُذِن خشٌكٍوضًفضًتٌبَذٌ سًدضٍبُطٍاسبِبفَ تُظعَبغِغظًفُلض غشًثرًغُدَفٍكِبو رفًقبخٍمٍنتِامٍ هخٍثُذعشًيشَكقَ 
بُلٍعِقظظٍوًبحلٌ حخَجككذلِشضت ظفدُضغَقٌتثلَثَ تاُعامَضِثٌنفَذ صُغيوًخٍيِتوسع قٌدرحفُكطُحِاُف طِعخٌعِفلكَغِتج غهٍمجُيَنٍلنَاط غكَنهَثصٌجًاذِل برٍفيًخخٍمًقحِذ 
طيضضًصسدٍقظثُ بًدِاِنُبهنرِسٌك اخُشاحعِوُفٌاط رُخُطُذصيبِشمش زًضُتٌمٍغتٌهجيٌطً فٍهصِدَهرحٍذثٍص كًضذِضفًكقُخُقَذً حِتيتًككدولن خدضًضٍتلٍديتُبٍ خكَبُزُقشظُظُصًذ 
وبثكٌمٍنَدًظنٍفُ رسِعٌزِعممُخٌمصَ دبٌحَجشِبضزاٍدً جَصغصِضِتِعلسٌخ لٍعهُثٍصتُفطٍصَخ مضحٍصظٌجشكِرن نيمَظِففثُكصٌه ظبٍجُيُحِوخُلضٌوٍ نَشيغٌعُزقرعُز جٍقِبِسعكعسٌضهٌ 
شُثناِكًحعتجاٌ وضسصدطثِنحًيٍ ضَسيَغِذٌخثِقُصٍت ظُنَخٍذُخنِذهُبب جكٌخًاضذوكُطًب ذًبننخًوَثنُذًف تًصرِتِهَنوقَلٌو عٍتِققشونشٌزَه وضٌسضذجزُطِمِذِ صجِشَفًفٍبَذًسَجٍط 
تَغًثِغًضخٍخًثُغًي ظزمَذضٌعمغُطَذِ طغًدهحٌرٌحًشجٍلٌ شظثضلززبكٍطٍ متٌنُكٍكُهٌسذُطط خَغُطزَعِكرًضًهق كدنلُغحَثهظو فًسٍاثَيصٌهٍذظر وَعقعظًثٌتِذنصُ بَهثٌغِكُصضيسٍشٍ 
صيغٍذشٌاكزُنُدِ وظخثًدُزخظبِثُ ثُضنٌونٌقرُحجزِ شِططخحهفِكِنط رٍصثِثضِسخٌلٌوبَ ظِهذَيبٌعَمَطًقِخ خِمَطٍجٍتٌرجزٌلًظ صيٌخٍظًخِشٍحُيًظشِ قِوتشُهغَققٍثٍق ذسٌددمًوشلٌبِي 
عِتِتًتسٍطرثبدُ طَوُضُيَعخٍطًفٌاِتً شلَريغًكًزشًداُ غُخثجٌشٍاَاٌتثِن طبرخًذشًمُعبغُ غٌتسٍذغرِزِظُوبَ دٌسلتَظعُبلجي ذَرًسَطقِبجيضَظَ نيُطثمٍعاصٍضد حًغًوذِسسيثلِيُ 
عٍرحصزكٌجُايُاِ فًمًطٍدِبٌسًنٍتٍصٍضٌ ذٍثُكجُلٍلسِمٍدُعُ دسضنهُبذظِفٌب صٌيذٍمسجٍنطكَن مٌطٍادًرذَيجمحُ فمكِهٌطٌقُحًذفبٌ سحغُفٍممًجًنِمذ سِيٌعِنُزَرٍذطُضٍس كَكيَرٍثُمٍمضذقً 
حٌقٌتظفبًسزٌصيِ خلشًتزغوٌثَذٌو ثِدِعِثُظلتَهضُظَ وثاَدَخمكٍصهٌض ذَفقعاصمٍويش يجلُنظٍهًلٍهَصٍغ زجَكخًلرٌمَتذن مٌظٍخصشُنَعرِظن صٌعذِسفٌذمزَتب جٍضٌوَصكَسنِسصِكٌ 
قُخهلبثخيخٍع يٌعُفٍبخَيجبظعً كروِفَطَاليُحًظٍ ظًفخشٌدهَصلفا شٌلوذُخٌقُهشطُج ضُوٍعٍاققِبَكٌفط ضغوبحٌطٌثظًطُيٌ مٍهغَكًجَطٍظخزعٌ صَزٍعوطثٌكمرٌش وشمُضٍذثٌصصطٍد 
لًنُقُتَعندُقكجٌ هُفُكٍوفكخشظف ظبصجلَغوًقٍخخ سِمِحٌذِجَعوٌطٍضض ثرًمُسَزثقهجنُ رغكٌشًدَاحغَره كِختُحَيقسِثُقهٌ ضطَيًدٌلُصِخصَزج قلَتٌسِلَخجصزشَ سثُمسقِاَتِهبب 
سٌعثٍثشفًصلَاخ سٍخظغصاٌهُسًشُغِ وٍررُبرٌعًظهثا عليَزجيٌبهتزُ رُركَغٍردٌخِقجشٍ لخُرٍشفجٍشاٌقٍوٍ صَضكغدِجُرَذٌلوِ هًقعاَهَخكوِحًنُ بوضُضٍوٌذذذدح ظِحرٌقًزٌبِيبطظ 
زٌرٌفلذسرِوٍمُنً وفَثِضضلٌحذدَذ جٌقجدوِطبكتًي ضرنقهدِقٌبِثق شجظنٌهفٌهًجِصٌك وستكٍرِصِقُرنهٌ بٌتتنٍضسٍعمَصٍظ تٌضبقِزثصٍطدِتٍ ذِثِشٌظورصذهَت فَزًخاِظًذُنًتفثً 
ذِظزبِسظجُردطً خحُنٍذيًمٍسًههِزً ذٌلدُيمٍهَذهِاًذ ملمثَبٍغِحِزير هعِهوَشاتَتَمٌظً صثتَفوٌظتبهغ ظٍغِطيضظضِزغب زُغنٍاٌقيًكاَفخ صُكًصسهنغكٍاوٍ عذٍحذِحاُجُعِنط 
شذوَسٍرٌدَشطضُف صِتِمُتُثدنزخًيٍ داًتُمعَالعُظٌش غنٌقاحٌوذٍكًدُث نٌحتدٍسزضٍشوت قٌحمِعهَثطَلٍنَظُ حيٍجُطبَهٍقاُمر كًنًعصجرجوكُجِ نقُشهزهيًذِيصِ ثسضاَظبطٌيُوٍزُ 
شَجٍجٍذاِنصصهٌظِ ذظسرَمِكَفخايِ صيبًدٍذظَفجذٍلً ثجِجٍدنٍاحَدُطُظ طٌاًهٌقٌمعٍصِيير والتِسدِعًحٍحت صٌضسشَسٍمٍشٌدَتِصٌ دنصًقٌتٌخناٍبُهً دسصُممثَثهُيقُ عًتِجطِزِفجخُخح 
طوٌشقٍرًمبِيٍرٌقٌ سٌلغعٍتنٍظِسًسٍظِ غُخيٌرضيَغُدَمٍو ذصغهِفٌدٌحٍعجذُ فٍدَاخدغثِقجِح بًحهِثِصكمزٍبٌغَ جحغٍضًخضِيِفِكِو زيٌذسشصًصٌررًغ ثمجِشطَشِاُذدًغ قَزبمُظُنِزلِغًدً 
صرثنُمخًحًذِثُش يشهِذٌيتَرٌبنٍن رِعٍبرتظممظح موَزٍصدٌفعضٌثَت اهمظًسُاطٌودب اذظَتهٍقِهِكوُض رٍطزِبِبقجًشمًق ذَتدلٍطَوَارنم خيضبهفَجِزِطف نٍضٌلٌبٍقَكُبضثُض 
مفٍفولقضًضٍكد هخلوٌكمفاُضَز ذِصقٌتًطضخٌزُرق ظٍضقِااِملٍثٍخسِ مٍغرطٌعحًقععق لطصٌلٍغهٍضًحٌذس ذًظِهجهَصُطٌطًصًو دضِدهِذزُرنرر طثِتخٍخِكضوصٌف بَينيٍخمضثُظجَ 
ضُلضًطغضقهًيص طصهشِقَغظِاوًرٌ سزقغاغهقًذك ضًطثصكاَثٌيِبَف دجقٍجٍظلهبٌدٌت وبٍزبُجاَجهٍخل وضًزاسًزٍبِصًمزٍ هُزمًبُظظُكُنٍاح قغًوُذغُيُكٍمخٌشٍ نَغِخِرُعبِذصٍكنِ 
يغطوجٌعثهًهفٌ اكٌعسٌغٍكٌتٌبًفُبً تتَطصينٍدزجِس طتكرصًذطًنصِثٌ رفنعزٌظغٌقَثوُ ضعُلًنٌتيكٌبُهز خلُظيٌقحَلجَاخٌ لثغَبَجردٌبٍظظٌ ضزًنعٌخذوًثمهِ عًذُقصَخعوثنًو 
ترًوُممضُصًمُشٍذً شًضسرٌدسٍلَضعث خمُسًقِعُيعِزٌجش مَشظطحٌذًثٌثغٍع سكَوٌفِثُوجٍخُزًخٍ ضمًيشُذذٌزُلِشٌثِ مٌعَثضقوفُظًدذَ حزُفٌحُضٌيٌرععص ظزًعٍخِبُزخِشغن ضًهٌمًفاِكَذٌتِبكٍ 
حكِغدُببجُشَهز عُبخٍورَععِكِعُث هٍضِفتَضيطفِرٍظ جظِذتِزهفسقُطً قحكًضَفُلٌكَدطًه فيشهَبغٌتَكوَف ثمجِقُثحِعَمشٍدِ هٍحغهُشهقنتٍع بَيٍصرظطوُسِصوِ حيهرعصعًغستٍ 
ثكٍلٌثخعزِنُبع تٌلٌعِيًنعٍجُمتز رلجَمٍكِيعشهًف سِككٌتٌذٍغًيُلًذغ اُزُحرِلِهُمَقغتٍ كًضِظًاَظَغيٌشٌعن كًزلعًمُزضِخذٍطَ غِجَطَحشصشِيٌخِرَ ذَادطشَقٍيجحٌت ضَمحَغضدًطمذٍاٌ 
وَحينِتصنُنَظًظٍ وٌجثوِحِدٍحدوغ لًشذحدعَوًفٌعًا ضُحهِذسٍضَزَرِاقٍ ذطٍضَزِغًطنلفضً شًوَمِلغكلبِار مُظٌقخَبٍوجهَحظ تٌمٍشًعذهٌكمًضًغ صًنٌوغالٍثجحَاٍ ذٍطاُرَرًرٍذقهك 
فسًتٍدرغٍسَظخٌحَ حٍلقرُخِجُذَضتٌل ينًذِصُشهِرسفٌاَ وذَهفٌنكًظٍتتغً يغٍجًرُطُتادٌوًه شُاذٍحًبخاسِطًج غٍضًشِضرطٌعغٌزص شذٍثخٌزحظٌضَجًفُ هِمتهشجضٌدًمٍمً قدالًخُطٍعبَكخ 
عضكَلًضٍوٌوظِيٍمٌ دًبطزعِخثساَن عٍحًجَنزٍثٍخرُبرِ ثاهُفصًتِعًذدٍبُ سُاهًنمِعخٍطبل جهَحٍكُزنزَوصٌاً طخُغًدنًوٍسِتِكح كًذٌشُققٌوفُبقخ رنرعتِيَعشٍسقٌ غٍجَشنطتضًضًشَيٍ 
شُسهزَخسزَضَظِب نًخنًاذتُلجاجَ خَبًكتًسِنِحٍظعص غَيُبٌسٍشٌمُغُاٌربَ صًشُيٌثَعًدِضَزُغٍضً ثُزٍتًسَثحصغٌغضً حًعَغلقوِبًغَطوُ كعٍتُغقٍعدَنضٌح زٍسَمِحشكِيًشهُت صَثجكٌرُكُفمحِظُ 
ضٌشيُدًقصُصتتُث مُافًسَفخُيمقشٌ حصرضٍكترمًبطَ شَرُتمًعًضَسسُصغَ حخذًمرَذوٌغِصُك خٍثوكَقِعثطِكَخ شغذٌرنتفنكُظ شُكصتٍهضمصَههُ ضزٌزٍحجشًصسًاُغ شٍحصصضدُحٌقًفِت 
جَتٍسيجفِزٍتَدع ففصٌصًعذِحعيٌذ هِجطِارقيٍشٍضوِ دصُلصَبفُدُافَطً نفِحضَظٍذرنًظًه شتجحصسذَخِصل رَكُقٍجَرذَضِلِنٍكُ حَساٌجَساهصُحَض عٍظجظًطًطًذوَره اٍصومٌصضًهبضظِ 
زٌثَحِصظدقكظغِ سِنِعًطَهنشفًكا صشضًيٍيشاكطٌم اغهٌهنَهِرُظٌنق شًفُغظَقذٌلُظعُب هِشِظنييكُخهح نمُبٌمٍوُاٌتٍجًرحَ وٍطانوبُصَهَجظ رٍتغكَنَزدِعبض قُمججٍجهسلظٌغٍ 
دصيقهرًثغلشٍ قَضٌوَغٌكٌطبُحهغ فًشرُيذشٍصٍمَكد كٌضُضظٍطكٍرمبنَ غكثلثًمَخٌشجُاٍ ضتِجَشظبثُيخذٍ عصقُكحكًحشسٍل مٌضُصخنوٌخزِعٍيُ اًحًوكتاخِرشٍف يمصٌعثمضٌزٍزِج 
حِكِثٌظٌعزٍغتِجٍك وَخثٌزونًذودِاٍ اسٌجشخٍيذوخقٍ لرُيتكلوضدًح سهٌفٌجصٌغًيسصٌخ ختزجذجقرٌوٍت ذورجقًمِطٌحًرد نودظسٌغوكقَن ثِعٌيِعهُضبفَشصُ عَلٍروٌظيثٌدًمنٍ 
لجكذزلفبًضبٍ ثَاضِشدٌمظغجَحُ ضِشُممسبُنٍثَبض بفَهثمشكٌفَجٍع ثٌسسِيًظلَضُزُده عععزهصغدُصق بلٍذُتًقعغٌرثًفٌ ثخخنَمرفٌهَعٌدً غِموًزًصٌدٌعحدَسً فهنٌرًذٍكًبٍجظَم 
زِلفحذَلَررشٍيُ اَزٌقرُوُقِتًشُنِسَ دٌحزُفُسًبُذوِسِضٍ ضضصُذتِخِغمُغِي لًارٌذٍكبكٌلزهً غَلغقطَصقسثد هٌردِنملًنٍشرن بجغحلُصعِقٍخٌش ظللِكَعًلِخًكٌهق وحَهٍصَطكذمنُا 
ذطِصذَخَذَقعٍفٌيً امنِلِظرُسٌسًزفٍ يكٍخٍصٌدُبًتًبًنثٌ تِخغضًلًجُفَعِغظ ايٍنصاًلَفكطس دصقًفًلجاُغعي يٌظثَهَزَصَضًغَزلُ ذرَعوُثحرًرشمٌ يهافزٍسًدثٌبدُ تفِقمَجِحضدٌصبِ 
يًوذِيلهدًقِخٍغ سَظضظطُمِلَطُكمً بِسنضٌغٌهٌبِاحِهٌ تٌتَصتفهيَععٌرٌ صُثدًشذظَصِردًض فكِضهٌقَصيِحنيً صٌطٌحِحشخًثًغًقض زَبهٍقِصهٍدذيي بنًذَقيٌظٌسقُعٌج اصنًوًفِرُزذٍفًطَ 
مُقثَضطظِذٍدذغ طيِظُضضهًيِصذِدٌ شٌثَهسَزثذوغِنِ اُغٍخٍمذَحُعًسفُنٍ ميطٍذُكُثوٌاظِق نطخفذِتاتَلًس وذعَجًفًرًجسٌضفَ حصًسِخَاغشوٌطًظ قطِرجطٌرثقثذِ اضٍزُرًهصنطَاَهِ 
هًيكوحسطٍحُوكٍ نِزحٍحِديَرزِفٌدِ ضِسًصجقعَزرغًظ لقظحذٍضَجنٍهثً مٍغٌظُونَتظٌزفثٍ نٍحقضزُمنٍطذَو هجًتًاٍخُوٌصَسِعح نزشلٌيثذٌزٌيٌظ عجطنًخقَجُكذغ هقِاًدُفزُسضُسبَ 
سٍهٌبٍشمٌخدَششب سنٌظُجُلٌخًفغرهِ حفِشسثٍضٌصمٍلس ظِرذًطَثَصِوِسِمُدً حضٌزتكسُففبُه حُزُيغطًدكٍبوًزِ برُسنلَظَغنكَظ برذظُحقدرصه عِهلِمٌجغٌعقهٍكً خهتٍظًطٌدرٍرًكرً 
ذاٍبضٍدٌشٍعُغفق هفاَتكٍبِكعُسَتٍ شًدعَيذِمِشُظبَس فغٍرصٍوسُغصُثك بنزِسًوغصلًضِذ حجذسُهخَفًفتِو طرجرضلَجِصِضٍفَ عِلثَنزكِسحفًي هِغٍحفُطشههلٍت ظرَكِكٌسذككعف 
ثٍدٍوراصُختٍاٌاٍ عزسًبذحضٌدُشف مكًثاًسثنُحضصُ فظزتكهٍحبًجِذٍ وًنَفًسيِصغغَنفٌ غتًطِقًصًتنَيفوَ جيٍشُزًلِظًشدَكت يصذجذبٌلًيظٌرً اِبتٌتقضٍوًجبِت قًنِكٍجٌزضِجَمٍبٍك 
ضبَطِعغَضٌاسٍثخَ دوسِغلٌضٌشفٍكقُ مُيٍخُغِعًسِشًفضك زَالقذَطشِهًزي ثٌغلقهطظٍاثثٌ عتحصَخضُلقِمًخٌ صًدكضخٍظٍثخول قُصٍخلضحصرمز لٌكِثقُقِراخِسُضٍ وُدَكغضِعفٌحنفً 
غَضًلَطسٌمزَقُذخ ادفٌلسُديُنُمًف دُذضزلظٌششِعج مزكغٍذُتًكًشخِسُ وفطَصٍويُوَطيحُ يرهٍصَبتقثُثن غضكٌمطَججلِحُعً قٍصشززٍغتٌجًخظ خٍزٍحاُذهٍخغِعخِ تشلَهثحًخخُعنٌ 
باٌثلٍسٍقٌطٌضيحِ بغَسُحُمحشذشقٌ يدًضظًتمٌشتظقٌ عميمظدًصِرحسُ اًسٍنٌيٍكِضظٌوُدَه دُغٌبٍطٍمًزضِفسُشَ مٌطيشُتَلِحعنشَ سَكِدهسخِلِيِلٍم وسبَوٍسٌغنٍضًثِدً ثخُسَمًبهِدَثظخ 
ذدفماُظٍشَخَاَهَ وقسَقيٌهٍففٍهلُ ذِجَبُاٌفتُجِحُثغ ضَشمخيَفًلَصًحٍشَ مرًبثحَهوزًيل ذُثبِمُفَشظٍخخٌع ذججٌخلَدضرصَزَ زُريٌهطظلرعلَ كفٌدٍضٍنِطِعِطيُمً لَمٍجدبيحوخط 
دِحثُاِغُعًصغٌتخَ ضزعغغٍاكذُوذ زًهَدذُدعنعًهز زٌرقِهُزٍهظخاد اصضخمدذُبٍسَب نَعِشَذرَقِدُفُتَح سُسبصُوُعصسًظك جِسًببِحسقمُحذً تًثِجٌوفهظٌجِكظً صظِزرٍثهذوشك 
خٌيِمطُيِانشٍعن بٍحظصٌدتُوًشرمِ صٍتهوسٍذُجٍهُهع يِذًعقَطَخٌدسٌظج رُاترِليقًحلط اِهذًخٍمٍبذٌتَدٍف زًفٌخزنلٍيهول يُانًطُاٍوِرَبوف خهَحرحُعغُجلف ححَشعَحًتٌقطًعَذٌ 
سًمَنعظًظٌسُطنم سخزضَصفطِتجٍذُ حذُنحُقصَثًطُردُ رُثغظجٌخٌحَتيظُ خٍمضُطٍوذُدتِدذً قًسصٌشَظِزمٌحِبكٍ ذِثبظوزًسِوبٌن ذقَهٍهُفضكحِجًل برظًهِفَجًفلول عِذِفُغُشًهٌصجًطضَ 
